juggler,n. a performer who juggles objects and performs tricks of manual dexterity
tiger,"n. a fierce or audacious person
n. large feline of forests in most of Asia having a tawny coat with black stripes; endangered"
leopard,"n. the pelt of a leopard
n. large feline of African and Asian forests usually having a tawny coat with black spots"
sheep,"n. woolly usually horned ruminant mammal related to the goat
n. a timid defenseless simpleton who is readily preyed upon
n. a docile and vulnerable person who would rather follow than make an independent decision"
cow,"n. female of domestic cattle: ""`moo-cow' is a child's term""
n. mature female of mammals of which the male is called `bull'
n. a large unpleasant woman"
giraffe,n. tallest living quadruped; having a spotted coat and small horns and very long neck and legs; of savannahs of tropical Africa
kangaroo,n. any of several herbivorous leaping marsupials of Australia and New Guinea having large powerful hind legs and a long thick tail
lion,"n. large gregarious predatory feline of Africa and India having a tawny coat with a shaggy mane in the male
n. a celebrity who is lionized (much sought after)"
too,"r to a degree exceeding normal or proper limits
r in addition"
expensive,a. high in price or charging high prices
skirt,"n. cloth covering that forms the part of a garment below the waist
n. a garment hanging from the waist; worn mainly by girls and women
v. pass around or about; move along the border
v. form the edge of"
clothes,"n clothing in general
v provide with clothes or put clothes on
v furnish with power or authority; of kings or emperors
v cover as if with clothing"
cheap,"a. relatively low in price or charging low prices
s. embarrassingly stingy"
any,"s. one or some or every or all without specification
r. to any degree or extent"
shoes,"n a particular situation
n footwear shaped to fit the foot (below the ankle) with a flexible upper of leather or plastic and a sole and heel of heavier material
n (card games) a case from which playing cards are dealt one at a time
n U-shaped plate nailed to underside of horse's hoof
n a restraint provided when the brake linings are moved hydraulically against the brake drum to retard the wheel's rotation
v furnish with shoes"
pair,"n. a set of two similar things considered as a unit
n. two people considered as a unit
n. a poker hand with 2 cards of the same value
v. form a pair or pairs"
trousers,"n (usually in the plural) a garment extending from the waist to the knee or ankle, covering each leg separately
n a garment (or part of a garment) designed for or relating to trousers"
size,"n. the physical magnitude of something (how big it is)
n. the property resulting from being one of a series of graduated measurements (as of clothing)
n. any glutinous material used to fill pores in surfaces or to stiffen fabrics
n. the actual state of affairs"
cap,"n. a tight-fitting headdress
n. a top (as for a bottle)
n. something serving as a cover or protection
n. a fruiting structure resembling an umbrella or a cone that forms the top of a stalked fleshy fungus such as a mushroom"
dress,"n. a one-piece garment for a woman; has skirt and bodice
v. put on clothes
v. provide with clothes or put clothes on
v. put a finish on"
coat,"n. an outer garment that has sleeves and covers the body from shoulder down; worn outdoors
n. growth of hair or wool or fur covering the body of an animal
v. put a coat on; cover the surface of; furnish with a surface
v. cover or provide with a coat"
sweater,n. a crocheted or knitted garment covering the upper part of the body
jacket,"n. a short coat
n. an outer wrapping or casing
n. the outer skin of a potato
n. the tough metal shell casing for certain kinds of ammunition"
jeans,"n (usually plural) close-fitting trousers of heavy denim for manual work or casual wear
n a coarse durable twill-weave cotton fabric"
shorts,"n trousers that end at or above the knee
n underpants worn by men
n the location on a baseball field where the shortstop is stationed
n accidental contact between two points in an electric circuit that have a potential difference
n the fielding position of the player on a baseball team who is stationed between second and third base
v cheat someone by not returning him enough money
v create a short circuit in"
sandals,n a shoe consisting of a sole fastened by straps to the foot
where,"pron. & conj. Whether.
adv. At or in what place; hence, in what situation, position,
   or circumstances; -- used interrogatively.
adv. At or in which place; at the place in which; hence, in the
   case or instance in which; -- used relatively.
adv. To what or which place; hence, to what goal, result, or
   issue; whither; -- used interrogatively and relatively; as, where are
   you going?
conj. Whereas.
n. Place; situation."
here,"n. the present location; this place
s. being here now
r. in or at this place; where the speaker or writer is
r. in this circumstance or respect or on this point or detail"
behind,"s. having the lower score or lagging position in a contest
r. in or to or toward the rear
r. remaining in a place or condition that has been left or departed from
r. of timepieces"
sofa,n. an upholstered seat for more than one person
under,"s. lower in rank, power, or authority
r. down to defeat, death, or ruin
r. through a range downward
r. into unconsciousness"
in,"s. holding office
s. directed or bound inward
s. currently fashionable
r. to or toward the inside of"
bed,"n. a piece of furniture that provides a place to sleep
n. a plot of ground in which plants are growing
n. a depression forming the ground under a body of water
n. (geology) a stratum of rock (especially sedimentary rock)"
wardrobe,"n. a tall piece of furniture that provides storage space for clothes; has a door and rails or hooks for hanging clothes
n. collection of clothing belonging to one person
n. collection of costumes belonging to a theatrical company"
on,"a. in operation or operational
a. (of events) planned or scheduled
r. indicates continuity or persistence or concentration
r. in a state required for something to function or be effective"
in front of,none
next to,none
bookshelf,n. a shelf on which to keep books
town,"n. an urban area with a fixed boundary that is smaller than a city
n. the people living in a municipality smaller than a city
n. United States architect who was noted for his design and construction of truss bridges (1784-1844)"
map,"n. a diagrammatic representation of the earth's surface (or part of it)
v. make a map of; show or establish the features of details of
v. explore or survey for the purpose of making a map
v. locate within a specific region of a chromosome in relation to known DNA or gene sequences"
near,"a. not far distant in time or space or degree or circumstances
s. being on the left side
s. closely resembling the genuine article
r. near in time or place or relationship"
train station,none
zoo,n the facility where wild animals are housed for exhibition
park,"n. a large area of land preserved in its natural state as public property
n. a piece of open land for recreational use in an urban area
n. Scottish explorer in Africa (1771-1806)
n. a gear position that acts as a parking brake"
go straight,none
turn,"n. the act of changing or reversing the direction of the course
n. (game) the activity of doing something in an agreed succession
n. an unforeseen development
n. the act of turning away or in the opposite direction"
left,"n. location near or direction toward the left side; i.e. the side to the north when a person or object faces east
n. those who support varying degrees of social or political or economic change designed to promote the public welfare
n. the hand that is on the left side of the body
n. a turn toward the side of the body that is on the north when the person is facing east"
right,"n. an abstract idea of that which is due to a person or governmental body by law or tradition or nature; it is something that nobody can take away""
n. location near or direction toward the right side; i.e. the side to the south when a person or object faces east
n. those who support political or social or economic conservatism; those who believe that things are better left unchanged
n. the hand that is on the right side of the body"
toilet,"n. a room or building equipped with one or more toilets
n. a plumbing fixture for defecation and urination
n. the act of dressing and preparing yourself"
post office,n. See under 4th Post.
supermarket,n. a large self-service grocery store selling groceries and dairy products and household goods
cinema,n. a theater where films are shown
lake,"n. a body of (usually fresh) water surrounded by land
n. a purplish red pigment prepared from lac or cochineal
n. any of numerous bright translucent organic pigments"
street,"n. a thoroughfare (usually including sidewalks) that is lined with buildings
n. the part of a thoroughfare between the sidewalks; the part of the thoroughfare on which vehicles travel
n. the streets of a city viewed as a depressed environment in which there is poverty and crime and prostitution and dereliction
n. a situation offering opportunities"
bus stop,none
hospital,"n. a health facility where patients receive treatment
n. a medical institution where sick or injured people are given medical or surgical care"
library,"n. a room where books are kept
n. a collection of literary documents or records kept for reference or borrowing
n. a depository built to contain books and other materials for reading and study
n. (computing) a collection of standard programs and subroutines that are stored and available for immediate use"
