a,"n. the 1st letter of the Roman alphabet
n. the blood group whose red cells carry the A antigen"
American,"n. a native or inhabitant of the United States
n. a native or inhabitant of a North American or Central American or South American country
a. of or relating to the United States of America or its people or language or culture"
and,"conj. A particle which expresses the relation of connection or
   addition. It is used to conjoin a word with a word, a clause with a
   clause, or a sentence with a sentence.
conj. In order to; -- used instead of the infinitival to,
   especially after try, come, go.
conj. It is sometimes, in old songs, a mere expletive.
conj. If; though. See An, conj."
angry,"a. feeling or showing anger
s. (of the elements) as if showing violent anger
s. severely inflamed and painful"
animal,"n. a living organism characterized by voluntary movement
s. marked by the appetites and passions of the body"
another,s. any of various alternatives; some other
answer,"n. a statement (either spoken or written) that is made to reply to a question or request or criticism or accusation
n. the speech act of replying to a question
n. the principal pleading by the defendant in response to plaintiff's complaint; in criminal law it consists of the defendant's plea of `guilty' or `not guilty' (or nolo contendere); in civil law it must contain denials of all allegations in the plaintiff's complaint that the defendant hopes to controvert and it can contain affirmative defenses or counterclaims
n. a nonverbal reaction"
ant,n. social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers
any,"s. one or some or every or all without specification
r. to any degree or extent"
anybody,"n. Any one out of an indefinite number of persons; anyone;
   any person.
n. A person of consideration or standing."
anything,"n. Any object, act, state, event, or fact whatever; thing of
   any kind; something or other; aught; as, I would not do it for
   anything.
n. Expressing an indefinite comparison; -- with as or like.
adv. In any measure; anywise; at all."
anywhere,r. at or in or to any place; (`anyplace' is used informally for `anywhere')
apple,"n. fruit with red or yellow or green skin and sweet to tart crisp whitish flesh
n. native Eurasian tree widely cultivated in many varieties for its firm rounded edible fruits"
April,n. the month following March and preceding May
are,n. a unit of surface area equal to 100 square meters
arm,"n. a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb
n. any projection that is thought to resemble a human arm
n. the part of an armchair or sofa that supports the elbow and forearm of a seated person
v. prepare oneself for a military confrontation"
around,"r. by a circular or circuitous route
r. in a circle or circular motion
r. to a particular destination either specified or understood
r. in circumference"
arrive,"v. reach a destination; arrive by movement or progress
v. succeed in a big way; get to the top"
art,"n. the products of human creativity; works of art collectively
n. the creation of beautiful or significant things
n. a superior skill that you can learn by study and practice and observation"
as,"n a very poisonous metallic element that has three allotropic forms; arsenic and arsenic compounds are used as herbicides and insecticides and various alloys; found in arsenopyrite and orpiment and realgar
n a United States territory on the eastern part of the island of Samoa
n a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation
n any of several fat-soluble vitamins essential for normal vision; prevents night blindness or inflammation or dryness of the eyes
n one of the four nucleotides used in building DNA; all four nucleotides have a common phosphate group and a sugar (ribose)
n (biochemistry) purine base found in DNA and RNA; pairs with thymine in DNA and with uracil in RNA
n the basic unit of electric current adopted under the Systeme International d'Unites
n the 1st letter of the Roman alphabet
n the blood group whose red cells carry the A antigen
r to the same degree (often followed by `as')"
ask,"v. inquire about
v. make a request or demand for something to somebody
v. direct or put; seek an answer to
v. consider obligatory; request and expect"
asleep,"a. in a state of sleep
s. lacking sensation
s. dead
r. into a sleeping state"
at,n. 100 at equal 1 kip in Laos
August,"n. the month following July and preceding September
s. of or befitting a lord
s. profoundly honored"
aunt,n. the sister of your father or mother; the wife of your uncle
autumn,n the season when the leaves fall from the trees
away,"s. not present; having left
a. used of an opponent's ground
s. (of a baseball pitch) on the far side of home plate from the batter
r. from a particular thing or place or position (`forth' is obsolete)"
baby,"n. a very young child (birth to 1 year) who has not yet begun to walk or talk
n. the youngest member of a group (not necessarily young)
n. an unborn child; a human fetus
n. (slang) sometimes used as a term of address for attractive young women"
back,"n. the posterior part of a human (or animal) body from the neck to the end of the spine
n. the part of something that is furthest from the normal viewer
n. (football) a person who plays in the backfield
n. the part of a garment that covers the back of your body"
bad,"n. that which is below standard or expectations as of ethics or decency
a. having undesirable or negative qualities
s. very intense
s. feeling physical discomfort or pain (`tough' is occasionally used colloquially for `bad')"
bag,"n. a flexible container with a single opening
n. the quantity of game taken in a particular period (usually by one person)
n. a container used for carrying money and small personal items or accessories (especially by women)
n. the quantity that a bag will hold"
ball,"n. round object that is hit or thrown or kicked in games
n. an object with a spherical shape
n. the people assembled at a lavish formal dance
n. a spherical object used as a plaything"
balloon,"n. large tough nonrigid bag filled with gas or heated air
n. small thin inflatable rubber bag with narrow neck
v. ride in a hot-air balloon
v. become inflated"
banana,"n. any of several tropical and subtropical treelike herbs of the genus Musa having a terminal crown of large entire leaves and usually bearing hanging clusters of elongated fruits
n. elongated crescent-shaped yellow fruit with soft sweet flesh"
bank,"n. sloping land (especially the slope beside a body of water)
n. a long ridge or pile
n. an arrangement of similar objects in a row or in tiers
n. a supply or stock held in reserve for future use (especially in emergencies)"
basket,"n. a container that is usually woven and has handles
n. the quantity contained in a basket
n. horizontal circular metal hoop supporting a net through which players try to throw the basketball
n. a score in basketball made by throwing the ball through the hoop"
bath,"n. a vessel containing liquid in which something is immersed (as to process it or to maintain it at a constant temperature or to lubricate it)
n. you soak and wash your body in a bathtub
n. an ancient Hebrew liquid measure equal to about 10 gallons
n. a town in southwestern England on the River Avon; famous for its hot springs and Roman remains"
bathroom,n. a room (as in a residence) containing a bathtub or shower and usually a washbasin and toilet
be,"v. have the quality of being; (copula, used with an adjective or a predicate noun)
v. be identical to; be someone or something
v. occupy a certain position or area; be somewhere
v. happen, occur, take place; this was during the visit to my parents' house"""
beach,"n. an area of sand sloping down to the water of a sea or lake
v. land on a beach"
bear,"n. massive plantigrade carnivorous or omnivorous mammals with long shaggy coats and strong claws
n. an investor with a pessimistic market outlook; an investor who expects prices to fall and so sells now in order to buy later at a lower price
v. have
v. move while holding up or supporting"
beautiful,"a. delighting the senses or exciting intellectual or emotional admiration
s. (of weather) highly enjoyable"
because,"conj. By or for the cause that; on this account that; for the
   reason that.
conj. In order that; that."
become,"v. enter or assume a certain state or condition
v. undergo a change or development
v. come into existence
v. enhance the appearance of"
bed,"n. a piece of furniture that provides a place to sleep
n. a plot of ground in which plants are growing
n. a depression forming the ground under a body of water
n. (geology) a stratum of rock (especially sedimentary rock)"
bedroom,n. a room used primarily for sleeping
bee,"n. any of numerous hairy-bodied insects including social and solitary species
n. a social gathering to carry out some communal task or to hold competitions"
beer,n. a general name for alcoholic beverages made by fermenting a cereal (or mixture of cereals) flavored with hops
before,"r earlier in time; previously
r at or in the front"
begin,"n. Israeli statesman (born in Russia) who (as prime minister of Israel) negotiated a peace treaty with Anwar Sadat (then the president of Egypt) (1913-1992)
v. have a beginning, in a temporal, spatial, or evaluative sense
v. set in motion, cause to start
v. begin to speak or say"
behind,"s. having the lower score or lagging position in a contest
r. in or to or toward the rear
r. remaining in a place or condition that has been left or departed from
r. of timepieces"
bell,"n. a hollow device made of metal that makes a ringing sound when struck
n. the sound of a bell being struck
n. (nautical) each of the eight half-hour units of nautical time signaled by strokes of a ship's bell; eight bells signals 4:00, 8:00, or 12:00 o'clock, either a.m. or p.m.
n. the shape of a bell"
beside,"n. At the side of; on one side of.
n. Aside from; out of the regular course or order of; in a
   state of deviation from; out of.
n. Over and above; distinct from; in addition to.
adv. On one side.
adv. More than that; over and above; not included in the
   number, or in what has been mentioned; moreover; in addition."
best,"n. the supreme effort one can make
n. the person who is most outstanding or excellent; someone who tops all others
n. Canadian physiologist (born in the United States) who assisted F. G. Banting in research leading to the discovery of insulin (1899-1978)"
better,"n. something superior in quality or condition or effect
n. a superior person having claim to precedence
n. the superior one of two alternatives
v. surpass in excellence"
between,"r. in the interval
r. in between"
big,"s. significant
s. loud and firm
s. conspicuous in position or importance
s. prodigious"
bike,"n a motor vehicle with two wheels and a strong frame
n a wheeled vehicle that has two wheels and is moved by foot pedals
v ride a bicycle"
bird,"n. warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings
n. the flesh of a bird or fowl (wild or domestic) used as food
v. watch and study birds in their natural habitat"
birthday,"n. an anniversary of the day on which a person was born (or the celebration of it)
n. the date on which a person was born"
biscuit,n. small round bread leavened with baking-powder or soda
bit,"n. a small fragment of something broken off from the whole
n. piece of metal held in horse's mouth by reins and used to control the horse while riding
n. a unit of measurement of information (from binary + digit); the amount of information in a system having two equiprobable states
n. the part of a key that enters a lock and lifts the tumblers"
black,"n. the quality or state of the achromatic color of least lightness (bearing the least resemblance to white)
n. British chemist who identified carbon dioxide and who formulated the concepts of specific heat and latent heat (1728-1799)
n. popular child actress of the 1930's (born in 1928)
n. a person with dark skin who comes from Africa (or whose ancestors came from Africa)"
blackboard,n. sheet of slate; for writing with chalk
blank,"n. a piece of material ready to be made into something
n. a cartridge containing an explosive charge but no bullet
v. keep the opposing (baseball) team from winning
s. (of a surface) not written or printed on"
blouse,n. a top worn by women
blow,"n. a powerful stroke with the fist or a weapon
n. an impact (as from a collision)
n. forceful exhalation through the nose or mouth
v. exhale hard"
blue,"n. blue color or pigment; resembling the color of the clear sky in the daytime
n. blue clothing
n. any organization or party whose uniforms or badges are blue
n. any of numerous small butterflies of the family Lycaenidae"
boat,"n. a small vessel for travel on water
v. ride in a boat on water"
body,"n. the entire structure of an organism (an animal, plant, or human being)
n. a group of persons associated by some common tie or occupation and regarded as an entity
n. a natural object consisting of a dead animal or person
n. an individual 3-dimensional object that has mass and that is distinguishable from other objects"
book,"n. a written work or composition that has been published (printed on pages bound together)
n. physical objects consisting of a number of pages bound together
n. a collection of playing cards satisfying the rules of a card game
n. a collection of rules or prescribed standards on the basis of which decisions are made"
borrow,v. get temporarily
both,s. (used with count nouns) two considered together; the two
bottle,"n. a glass or plastic vessel used for storing drinks or other liquids; typically cylindrical without handles and with a narrow neck that can be plugged or capped
n. the quantity contained in a bottle
n. a vessel fitted with a flexible teat and filled with milk or formula; used as a substitute for breast feeding infants and very young children
v. store (liquids or gases) in bottles"
bounce,"n. the quality of a substance that is able to rebound
n. rebounding from an impact (or series of impacts)
v. spring back; spring away from an impact
v. hit something so that it bounces"
bowl,"n. a round vessel that is open at the top; used chiefly for holding food or liquids; 
n. a concave shape with an open top
n. a dish that is round and open at the top for serving foods
n. the quantity contained in a bowl"
bowling,"n. a game in which balls are rolled at an object or group of objects with the aim of knocking them over or moving them
n. (cricket) the act of delivering a cricket ball to the batsman
n. the playing of a game of tenpins or duckpins etc"
box,"n. a (usually rectangular) container; may have a lid
n. private area in a theater or grandstand where a small group can watch the performance
n. the quantity contained in a box
n. a rectangular drawing"
boy,"n. a friendly informal reference to a grown man
n. (ethnic slur) offensive and disparaging term for Black man"
bread,"n. food made from dough of flour or meal and usually raised with yeast or baking powder and then baked
v. cover with bread crumbs"
breakfast,"n. the first meal of the day (usually in the morning)
v. eat an early morning meal
v. provide breakfast for"
bridge,"n. a structure that allows people or vehicles to cross an obstacle such as a river or canal or railway etc.
n. a circuit consisting of two branches (4 arms arranged in a diamond configuration) across which a meter is connected
n. something resembling a bridge in form or function
n. the hard ridge that forms the upper part of the nose"
bright,"a. emitting or reflecting light readily or in large amounts
s. having striking color
s. characterized by quickness and ease in learning
s. having lots of light either natural or artificial"
bring,"v. take something or somebody with oneself somewhere
v. cause to come into a particular state or condition
v. cause to happen or to occur as a consequence
v. go or come after and bring or take back"
broadcast,"n. message that is transmitted by radio or television
n. a radio or television show
v. sow over a wide area, especially by hand"
broken,"a. physically and forcibly separated into pieces or cracked or split
a. not continuous in space, time, or sequence or varying abruptly
s. subdued or brought low in condition or status
a. (especially of promises or contracts) having been violated or disregarded"
broom,"n. a cleaning implement for sweeping; bundle of straws or twigs attached to a long handle
n. any of various shrubs of the genera Cytisus or Genista or Spartium having long slender branches and racemes of yellow flowers
v. finish with a broom"
brother,"n. a male with the same parents as someone else
n. a male person who is a fellow member (of a fraternity or religion or other group)
n. used as a term of address for those male persons engaged in the same movement
n. (Roman Catholic Church) a title given to a monk and used as form of address"
brown,"n. an orange of low brightness and saturation
n. Scottish botanist who first observed the movement of small particles in fluids now known a Brownian motion (1773-1858)
n. abolitionist who was hanged after leading an unsuccessful raid at Harper's Ferry, Virginia (1800-1859)
v. fry in a pan until it changes color"
brush,"n. a dense growth of bushes
n. an implement that has hairs or bristles firmly set into a handle
n. momentary contact
n. conducts current between rotating and stationary parts of a generator or motor"
building,"n. a structure that has a roof and walls and stands more or less permanently in one place
n. the occupants of a building"
bus,"n. a vehicle carrying many passengers; used for public transport
n. a car that is old and unreliable
v. send or move around by bus
v. ride in a bus"
busy,"v. keep busy with
a. actively or fully engaged or occupied
s. overcrowded or cluttered with detail
s. crowded with or characterized by much activity"
but,r and nothing more
butter,"n. an edible emulsion of fat globules made by churning milk or cream; for cooking and table use
n. a fighter who strikes the opponent with his head
v. spread butter on"
buy,"v. obtain by purchase; acquire by means of a financial transaction
v. be worth or be capable of buying
v. acquire by trade or sacrifice or exchange
v. accept as true"
by,r. so as to pass a given point
bye,n. you advance to the next round in a tournament without playing an opponent
cake,"n. a block of solid substance (such as soap or wax)
n. baked goods made from or based on a mixture of flour, sugar, eggs, and fat"
call,"n. a telephone connection
n. a special disposition (as if from a divine source) to pursue a particular course
n. a demand especially in the phrase ""the call of duty""
n. a brief social visit"
camera,n. equipment for taking photographs (usually consisting of a lightproof box with a lens at one end and light-sensitive film at the other)
can,"n. airtight sealed metal container for food or drink or paint etc.
n. the quantity contained in a can
n. a buoy with a round bottom and conical top
v. preserve in a can or tin"
Canada,n. a nation in northern North America; the French were the first Europeans to settle in mainland Canada
candy,n. a rich sweet made of flavored sugar and often combined with fruit or nuts
cap,"n. a tight-fitting headdress
n. a top (as for a bottle)
n. something serving as a cover or protection
n. a fruiting structure resembling an umbrella or a cone that forms the top of a stalked fleshy fungus such as a mushroom"
capital,"n. assets available for use in the production of further assets
n. wealth in the form of money or property owned by a person or business and human resources of economic value
n. a seat of government
n. one of the large alphabetic characters used as the first letter in writing or printing proper names and sometimes for emphasis; capitals were kept in the upper half of the type case and so became known as upper-case letters"""
car,"n. a motor vehicle with four wheels; usually propelled by an internal combustion engine
n. a wheeled vehicle adapted to the rails of railroad
n. the compartment that is suspended from an airship and that carries personnel and the cargo and the power plant
n. where passengers ride up and down"
card,"n. one of a set of small pieces of stiff paper marked in various ways and used for playing games or for telling fortunes
n. a card certifying the identity of the bearer
n. a rectangular piece of stiff paper used to send messages (may have printed greetings or pictures)
n. thin cardboard, usually rectangular"
care,"n. the work of providing treatment for or attending to someone or something
n. a cause for feeling concern
n. attention and management implying responsibility for safety
n. activity involved in maintaining something in good working order"
careful,"a. exercising caution or showing care or attention
s. cautiously attentive
s. unhurried and with care and dignity
s. full of cares or anxiety"
careless,"a. marked by lack of attention or consideration or forethought or thoroughness; not careful
s. effortless and unstudied
s. (usually followed by `of') without due thought or consideration"
carrot,"n. deep orange edible root of the cultivated carrot plant
n. perennial plant widely cultivated as an annual in many varieties for its long conical orange edible roots; temperate and tropical regions
n. orange root; important source of carotene
n. promise of reward as in ""carrot and stick"";"
carry,"n. the act of carrying something
v. have with oneself; have on one's person
v. serve as a means for expressing something
v. bear or be able to bear the weight, pressure,or responsibility of"
cartoon,"n. a humorous or satirical drawing published in a newspaper or magazine
n. a film made by photographing a series of cartoon drawings to give the illusion of movement when projected in rapid sequence
v. draw cartoons of"
case,"n. an occurrence of something
n. the actual state of things
n. a portable container for carrying several objects
n. a person requiring professional services"
cat,"n. feline mammal usually having thick soft fur and no ability to roar: domestic cats; wildcats
n. a spiteful woman gossip
v. beat with a cat-o'-nine-tails"
catch,"n. a drawback or difficulty that is not readily evident
n. the quantity that was caught
n. a person regarded as a good matrimonial prospect
n. anything that is caught (especially if it is worth catching)"
CD,"n a soft bluish-white ductile malleable toxic bivalent metallic element; occurs in association with zinc ores
n the basic unit of luminous intensity adopted under the Systeme International d'Unites; equal to 1/60 of the luminous intensity per square centimeter of a black body radiating at the temperature of 2,046 degrees Kelvin
n a debt instrument issued by a bank; usually pays interest
n a digitally encoded recording on an optical disk that is smaller than a phonograph record; played back by a laser
s being one hundred more than three hundred"
cent,n. a fractional monetary unit of several countries
certainly,r definitely or positively (`sure' is sometimes used informally for `surely')
chair,"n. a seat for one person, with a support for the back
n. a particular seat in an orchestra
v. act or preside as chair, as of an academic department in a university"
chalk,"n. a soft whitish calcite
n. a pure flat white with little reflectance
n. a piece of calcite or a similar substance, usually in the shape of a crayon, that is used to write or draw on blackboards or other flat surfaces
v. write, draw, or trace with chalk"
cheap,"a. relatively low in price or charging low prices
s. embarrassingly stingy"
check,"n. a written order directing a bank to pay money
n. the bill in a restaurant
n. the act of inspecting or verifying
n. a mark left after a small piece has been chopped or broken off of something"
cheer,"n. a cry or shout of approval
v. give encouragement to
v. show approval or good wishes by shouting
v. cause (somebody) to feel happier or more cheerful"
cheese,"n. a solid food prepared from the pressed curd of milk
v. used in the imperative (get away, or stop it)
v. wind onto a cheese"
chess,"n. weedy annual native to Europe but widely distributed as a weed especially in wheat
n. a board game for two players who move their 16 pieces according to specific rules; the object is to checkmate the opponent's king"
chicken,"n. the flesh of a chicken used for food
n. a domestic fowl bred for flesh or eggs; believed to have been developed from the red jungle fowl
n. a foolhardy competition; a dangerous activity that is continued until one competitor becomes afraid and stops
s. easily frightened"
child,"n. a young person of either sex
n. a human offspring (son or daughter) of any age
n. an immature childish person
n. a member of a clan or tribe"
China,"n. a communist nation that covers a vast territory in eastern Asia; the most populous country in the world
n. high quality porcelain originally made only in China"
Chinese,"n. any of the Sino-Tibetan languages spoken in China; regarded as dialects of a single language (even though they are mutually unintelligible) because they share an ideographic writing system
n. a native or inhabitant of Communist China or of Nationalist China
a. of or pertaining to China or its peoples or cultures"
chocolate,"n. a food made from roasted ground cacao beans
n. a medium brown to dark-brown color"
Christmas,"n. period extending from Dec. 24 to Jan. 6
n. a Christian holiday celebrating the birth of Christ; a quarter day in England, Wales, and Ireland"
cinema,n. a theater where films are shown
circle,"n. ellipse in which the two axes are of equal length; a plane curve generated by one point moving at a constant distance from a fixed point
n. something approximating the shape of a circle
n. a curved section or tier of seats in a hall or theater or opera house; usually the first tier above the orchestra
n. any circular or rotating mechanism"
city,"n. a large and densely populated urban area; may include several independent administrative districts
n. an incorporated administrative district established by state charter
n. people living in a large densely populated municipality"
clap,"v. put quickly or forcibly
v. cause to strike the air in flight
v. clap one's hands together
v. strike the air in flight"
class,"n. a collection of things sharing a common attribute
n. a body of students who are taught together
n. people having the same social, economic, or educational status
n. a league ranked by quality"
classmate,n an acquaintance that you go to school with
classroom,n. a room in a school where lessons take place
clean,"v. make clean by removing dirt, filth, or unwanted substances from
v. remove unwanted substances from, such as feathers or pits
v. be cleanable
v. deprive wholly of money in a gambling game, robbery, etc."
clear,"n. the state of being free of suspicion
v. make a way or path by removing objects
v. remove
v. be debited and credited to the proper bank accounts"
clever,s. showing inventiveness and skill
climb,"n. an event that involves rising to a higher point (as in altitude or temperature or intensity etc.)
n. the act of climbing something
v. go upward with gradual or continuous progress
v. move with difficulty, by grasping"
clock,"n. a timepiece that shows the time of day
v. measure the time or duration of an event or action or the person who performs an action in a certain period of time"
close,"v. move so that an opening or passage is obstructed; make shut
v. become closed
v. finish or terminate (meetings, speeches, etc.)
v. complete a business deal, negotiation, or an agreement"
clothes,"n clothing in general
v provide with clothes or put clothes on
v furnish with power or authority; of kings or emperors
v cover as if with clothing"
cloud,"n. any collection of particles (e.g., smoke or dust) or gases that is visible
n. a visible mass of water or ice particles suspended at a considerable altitude
n. out of touch with reality
n. a cause of worry or gloom or trouble"
cloudy,"s. lacking definite form or limits
a. full of or covered with clouds
s. (of liquids) clouded as with sediment"
coat,"n. an outer garment that has sleeves and covers the body from shoulder down; worn outdoors
n. growth of hair or wool or fur covering the body of an animal
v. put a coat on; cover the surface of; furnish with a surface
v. cover or provide with a coat"
coffee,"n. a beverage consisting of an infusion of ground coffee beans
n. any of several small trees and shrubs native to the tropical Old World yielding coffee beans"
coin,"n. a flat metal piece (usually a disc) used as money
v. make up"
Coke,"n. carbon fuel produced by distillation of coal
n. street names for cocaine
v. become coke"
cola,"n. large genus of African trees bearing kola nuts
n. carbonated drink flavored with extract from kola nuts (`dope' is a southernism in the United States)"
cold,"n. a mild viral infection involving the nose and respiratory passages (but not the lungs)
n. the sensation produced by low temperatures
a. having a low or inadequate temperature or feeling a sensation of coldness or having been made cold by e.g. ice or refrigeration
a. extended meanings; especially of psychological coldness; without human warmth or emotion"
collect,"n. a short prayer generally preceding the lesson in the Church of Rome or the Church of England
v. call for and obtain payment of
v. get or bring together
v. gather or collect"
college,"n. the body of faculty and students of a college
n. an institution of higher education created to educate and grant degrees; often a part of a university
n. a complex of buildings in which an institution of higher education is housed"
colour,"n any material used for its color
n a race with skin pigmentation different from the white race (especially Blacks)
n (physics) the characteristic of quarks that determines their role in the strong interaction
n interest and variety and intensity
n the timbre of a musical sound
n a visual attribute of things that results from the light they emit or transmit or reflect
n an outward or token appearance or form that is deliberately misleading
n the appearance of objects (or light sources) described in terms of a person's perception of their hue and lightness (or brightness) and saturation
v modify or bias
v decorate with colors
v give a deceptive explanation or excuse for
v affect as in thought or feeling
v add color to
v change color, often in an undesired manner
a having or capable of producing colors"
come,"v. move toward, travel toward something or somebody or approach something or somebody
v. come to pass; arrive, as in due course
v. reach or enter a state, relation, condition, use, or position
v. to be the product or result"
company,"n. an institution created to conduct business
n. small military unit; usually two or three platoons
n. the state of being with someone
n. organization of performers and associated personnel (especially theatrical)"
computer,n. a machine for performing calculations automatically
concert,"n. a performance of music by players or singers not involving theatrical staging
v. contrive (a plan) by mutual agreement
v. settle by agreement"
cook,"n. someone who cooks food
n. English navigator who claimed the east coast of Australia for Britain and discovered several Pacific islands (1728-1779)
v. prepare a hot meal
v. prepare for eating by applying heat"
cool,"n. the quality of being at a refreshingly low temperature
v. make cool or cooler
v. loose heat
v. lose intensity"
corner,"n. a place off to the side of an area
n. the point where two lines meet or intersect
n. an interior angle formed by two meeting walls
n. the intersection of two streets"
correct,"v. make right or correct
v. treat a defect
a. free from error; especially conforming to fact or truth
s. socially right or correct"
cost,"n. the total spent for goods or services including money and time and labor
v. be priced at
v. require to lose, suffer, or sacrifice"
cotton,"n. soft silky fibers from cotton plants in their raw state
n. fabric woven from cotton fibers
n. erect bushy mallow plant or small tree bearing bolls containing seeds with many long hairy fibers
n. thread made of cotton fibers"
cough,"n. a sudden noisy expulsion of air from the lungs that clears the air passages; a common symptom of upper respiratory infection or bronchitis or pneumonia or tuberculosis
v. exhale abruptly, as when one has a chest cold or congestion"
could,"imp. of Can
imp. Was, should be, or would be, able, capable, or
   susceptible. Used as an auxiliary, in the past tense or in the
   conditional present."
count,"n. the total number counted
n. the act of counting; reciting numbers in ascending order
n. a nobleman (in various countries) having rank equal to a British earl
v. determine the number or amount of"
country,"n. the territory occupied by a nation
n. an area outside of cities and towns"
course,"n. education imparted in a series of lessons or meetings
n. a connected series of events or actions or developments
n. general line of orientation
n. a mode of action"
cousin,n. the child of your aunt or uncle
cover,"n. the act of concealing the existence of something by obstructing the view of it
n. fire that makes it difficult for the enemy to fire on your own individuals or formations
n. a recording of a song that was first recorded or made popular by somebody else
n. a false identity and background (especially one created for an undercover agent)"
cow,"n. female of domestic cattle: ""`moo-cow' is a child's term""
n. mature female of mammals of which the male is called `bull'
n. a large unpleasant woman"
crayon,"n. writing implement consisting of a colored stick of composition wax used for writing and drawing
v. write, draw, or trace with a crayon"
crop,"n. the yield from plants in a single growing season
n. a cultivated plant that is grown commercially on a large scale
n. a collection of people or things appearing together
n. the output of something in a season"
crazy,"n. someone deranged and possibly dangerous
s. foolish; totally unsound
s. possessed by inordinate excitement
s. bizarre or fantastic"
cross,"n. a wooden structure consisting of an upright post with a transverse piece
n. a representation of the structure on which Jesus was crucified; used as an emblem of Christianity or in heraldry
n. any affliction that causes great suffering
v. fold so as to resemble a cross"
crossing,"n. traveling across
n. a point where two lines (paths or arcs etc.) intersect
n. a path (often marked) where something (as a street or railroad) can be crossed to get from one side to the other
n. a voyage across a body of water (usually across the Atlantic Ocean)"
cry,"n. a loud utterance; often in protest or opposition
n. a loud utterance of emotion (especially when inarticulate)
n. a fit of weeping
n. the characteristic utterance of an animal"
culture,"n. a particular society at a particular time and place
n. the tastes in art and manners that are favored by a social group
n. (biology) the growing of microorganisms in a nutrient medium (such as gelatin or agar)
n. the attitudes and behavior that are characteristic of a particular social group or organization"
cup,"n. a small open container usually used for drinking; usually has a handle
n. the quantity a cup will hold
n. any cup-shaped concavity
n. a United States liquid unit equal to 8 fluid ounces"
cut,"n. a share of the profits
n. (film) an immediate transition from one shot to the next
n. a trench resembling a furrow that was made by erosion or excavation
n. a step on some scale"
dad,n. an informal term for a father; probably derived from baby talk
dance,"n. an artistic form of nonverbal communication
n. a party of people assembled for dancing
n. a party for social dancing
v. move in a graceful and rhythmical way"
dangerous,"a. involving or causing danger or risk; liable to hurt or harm
s. causing fear or anxiety by threatening great harm"
dark,"n. absence of light or illumination
n. an unenlightened state
a. devoid of or deficient in light or brightness; shadowed or black
a. (used of color) having a dark hue"
date,"n. the specified day of the month
n. a participant in a date
n. a meeting arranged in advance
n. a particular but unspecified point in time"
daughter,n. a female human offspring
day,"n. time for Earth to make a complete rotation on its axis
n. some point or period in time
n. a day assigned to a particular purpose or observance
n. the time after sunrise and before sunset while it is light outside"
dead,"n. people who are no longer living
n. a time when coldness (or some other quality associated with death) is intense
a. no longer having or seeming to have or expecting to have life
a. not showing characteristics of life especially the capacity to sustain life; no longer exerting force or having energy or heat"
