a,"n. the 1st letter of the Roman alphabet
n. the blood group whose red cells carry the A antigen"
fossil,"n. the remains (or an impression) of a plant or animal that existed in a past geological age and that has been excavated from the soil
a. characteristic of a fossil"
foster,"n. United States songwriter whose songs embody the sentiment of the South before the American Civil War (1826-1864)
v. promote the growth of
v. bring up under fosterage; of children
v. help develop, help grow"
found,"n. food and lodging provided in addition to money
a. come upon unexpectedly or after searching"
foundation,"n. the basis on which something is grounded
n. an institution supported by an endowment
n. lowest support of a structure
n. education or instruction in the fundamentals of a field of knowledge"
founder,"n. a person who founds or establishes some institution
n. a worker who makes metal castings
v. sink below the surface
v. stumble and nearly fall"
founder,"n. a person who founds or establishes some institution
n. a worker who makes metal castings
v. sink below the surface
v. stumble and nearly fall"
fountain,"n. a structure from which an artificially produced jet of water arises
n. an artificially produced flow of water
n. a plumbing fixture that provides a flow of water"
four,"n. the cardinal number that is the sum of three and one
s. being one more than three"
fourteen,"n. the cardinal number that is the sum of thirteen and one
s. being one more than thirteen"
fourteenth,"n. position 14 in a countable series of things
s. coming next after the thirteenth in position"
fourth,"n. following the third position; number four in a countable series
n. the musical interval between one note and another four notes away from it
s. coming next after the third and just before the fifth in position or time or degree or magnitude"
fowl,"v. hunt fowl
v. hunt fowl in the forest"
fox,"n. alert carnivorous mammal with pointed muzzle and ears and a bushy tail; most are predators that do not hunt in packs
n. the grey or reddish-brown fur of a fox
n. English statesman who supported American independence and the French Revolution (1749-1806)
n. English religious leader who founded the Society of Friends (1624-1691)"
foyer,n a large entrance or reception room or area
fraction,"n. a component of a mixture that has been separated by a fractional process
n. a small part or item forming a piece of a whole
n. the quotient of two rational numbers"
fractional,a. constituting or comprising a part or fraction of a possible whole or entirety
fragile,s. vulnerably delicate
fragment,"n. a piece broken off or cut off of something else
n. an incomplete piece"
fragmentary,s consisting of small disconnected parts
fragrance,"n a distinctive odor that is pleasant
n a pleasingly sweet olfactory property"
fragrant,a. pleasant-smelling
frail,"n. the weight of a frail (basket) full of raisins or figs; between 50 and 75 pounds
n. a basket for holding dried fruit (especially raisins or figs)
a. physically weak"
frame,"n. the framework for a pair of eyeglasses
n. a single one of a series of still transparent pictures forming a cinema, television or video film
n. a single drawing in a comic_strip
n. an application that divides the user's display into two or more windows that can be scrolled independently"
framework,"n. the underlying structure
n. a structure supporting or containing something"
franc,n. the basic monetary unit in many countries; equal to 100 centimes
frank,"n. a member of the ancient Germanic peoples who spread from the Rhine into the Roman Empire in the 4th century
n. a smooth-textured sausage of minced beef or pork usually smoked; often served on a bread roll
v. exempt by means of an official pass or letter, as from customs or other checks
s. clearly manifest; evident"
frankly,r (used as intensives reflecting the speaker's attitude) it is sincerely the case that
fraternity,n. a social club for male undergraduates
fraud,"n. intentional deception resulting in injury to another person
n. something intended to deceive; deliberate trickery intended to gain an advantage"
free,"n. people who are free
v. grant freedom to; free from confinement
v. make (information) available for publication
v. free from obligations or duties"
freebie,n. something that is free (usually provided as part of a promotional scheme)
freedom,n. the condition of being free; the power to act or speak or think without externally imposed restraints
freely,r. in a free manner
freeway,n a broad highway designed for high-speed traffic
freeze,"n. the withdrawal of heat to change something from a liquid to a solid
n. weather cold enough to cause freezing
n. an interruption or temporary suspension of progress or movement
n. fixing (of prices or wages etc) at a particular level"
freezer,n electric refrigerator (trade name Deepfreeze) in which food is frozen and stored for long periods of time
freezing,"n the withdrawal of heat to change something from a liquid to a solid
v stop moving or become immobilized
v change to ice
v be cold
v cause to freeze
v stop a process or a habit by imposing a freeze on it
v be very cold, below the freezing point
v change from a liquid to a solid when cold
v prohibit the conversion or use of (assets)
v anesthetize by cold
v suddenly behave coldly and formally"
freight,"n. transporting goods commercially at rates cheaper than express rates
n. the charge for transporting something by common carrier
v. transport commercially as cargo
v. load with goods for transportation"
French,"n. the Romance language spoken in France and in countries colonized by France
n. the people of France
n. United States sculptor who created the seated marble figure of Abraham Lincoln in the Lincoln Memorial in Washington D.C. (1850-1931)"
Frenchman,n. a person of French nationality
frequency,"n. the number of occurrences within a given time period
n. the ratio of the number of observations in a statistical category to the total number of observations
n. the number of observations in a given statistical category"
frequent,"v. be a regular or frequent visitor to a certain place
a. coming at short intervals or habitually
s. frequently encountered;"
frequently,r. many times at short intervals
fresh,"a. recently made, produced, or harvested
s. (of a cycle) beginning or occurring again
s. original and of a kind not seen before
a. not canned or otherwise preserved"
freshman,"n. a first-year undergraduate
s. used of a person in the first year of an experience (especially in United States high school or college)"
freshwater,n water that is not salty
friction,"n. the resistance encountered when one body is moved in contact with another
n. effort expended in moving one object over another with pressure"
Friday,n. the sixth day of the week; the fifth working day
fridge,n a refrigerator in which the coolant is pumped around by an electric motor
friend,"n. a person you know well and regard with affection and trust
n. a member of the Religious Society of Friends founded by George Fox (the Friends have never called themselves Quakers)"
friendly,"n. troops belonging to or allied with your own military forces
a. characteristic of or befitting a friend
s. inclined to help or support; not antagonistic or hostile
a. easy to understand or use"
friendship,n. the state of being friends (or friendly)
fright,"n an emotion experienced in anticipation of some specific pain or danger (usually accompanied by a desire to flee or fight)
v cause fear in"
frighten,"v. cause fear in
v. drive out by frightening"
frightened,s. made afraid
frightening,"n the act of inspiring with fear
v cause fear in
v drive out by frightening
s causing fear or dread or terror"
frightful,s. extreme in degree or extent or amount or impact
fringe,"n. one of the light or dark bands produced by the interference and diffraction of light
n. a social group holding marginal or extreme views
n. an ornamental border consisting of short lengths of hanging threads or tassels
v. adorn with a fringe"
fro,"adv. From; away; back or backward; -- now used only in opposition
   to the word to, in the phrase to and fro, that is, to and from. See To
   and fro under To.
prep. From."
frog,"n. any of various tailless stout-bodied amphibians with long hind limbs for leaping; semiaquatic and terrestrial species
n. a person of French descent
n. a decorative loop of braid or cord
v. hunt frogs for food"
from,"prep. Out of the neighborhood of; lessening or losing proximity
   to; leaving behind; by reason of; out of; by aid of; -- used whenever
   departure, setting out, commencement of action, being, state,
   occurrence, etc., or procedure, emanation, absence, separation, etc.,
   are to be expressed. It is construed with, and indicates, the point of
   space or time at which the action, state, etc., are regarded as setting
   out or beginning; also, less frequently, the source, the cause, the
   occasion, out of which anything proceeds; -- the aritithesis and
   correlative of to; as, it, is one hundred miles from Boston to
   Springfield; he took his sword from his side; light proceeds from the
   sun; separate the coarse wool from the fine; men have all sprung from
   Adam, and often go from good to bad, and from bad to worse; the merit
   of an action depends on the principle from which it proceeds; men judge
   of facts from personal knowledge, or from testimony."
front,"n. the side that is forward or prominent
n. the outward appearance of a person
n. the side that is seen or that goes first
n. a sphere of activity involving effort"
frontier,"n. a wilderness at the edge of a settled area of a country
n. an international boundary or the area (often fortified) immediately inside the boundary
n. an undeveloped field of study; a topic inviting research and development"
frost,"n. ice crystals forming a white deposit (especially on objects outside)
n. the formation of frost or ice on a surface
n. United States poet famous for his lyrical poems on country life in New England (1874-1963)
v. decorate with frosting"
frosting,n. a flavored sugar topping used to coat and decorate cakes
frosty,s. covered with frost
frown,"n. a facial expression of dislike or displeasure
v. look angry or sullen, wrinkle one's forehead, as if to signal disapproval"
frozen,"a. turned into ice; affected by freezing or by long and severe cold
s. absolutely still
s. not thawed
s. not convertible to cash"
frugal,s avoiding waste
fruit,"n. the ripened reproductive body of a seed plant
n. the consequence of some effort or action
v. cause to bear fruit
v. bear fruit"
fruitful,a. productive or conducive to producing in abundance
fruitless,s unproductive of success
frustrate,"v hinder or prevent (the efforts, plans, or desires) of
v treat cruelly"
frustration,"n. the feeling that accompanies an experience of being thwarted in attaining your goals
n. an act of hindering someone's plans or efforts
n. a feeling of annoyance at being hindered or criticized"
fry,"n. English painter and art critic (1866-1934)
n. English dramatist noted for his comic verse dramas (born 1907)
v. be excessively hot
v. cook on a hot surface using fat"
frying-pan,none
fuel,"n. a substance that can be consumed to produce energy
v. provide with a combustible substance that provides energy
v. provide with fuel
v. take in fuel, as of a ship"
fulfil,"v put in effect
v fill or meet a want or need
v meet the requirements or expectations of"
fulfill,"v put in effect
v meet the requirements or expectations of
v fill or meet a want or need"
fulfilment,"n a feeling of satisfaction at having achieved your desires
n the act of consummating something (a desire or promise etc)"
fulfillment,"n. a feeling of satisfaction at having achieved your desires
n. the act of consummating something (a desire or promise etc)"
full,"v. beat for the purpose of cleaning and thickening
v. make (a garment) fuller by pleating or gathering
a. containing as much or as many as is possible or normal
s. complete in extent or degree and in every particular"
full-time,"a. for the entire time appropriate to an activity
r. for the standard number of hours"
fully,r. to the greatest degree or extent; completely or entirely; (`full' in this sense is used as a combining form)
fume,"v. be mad, angry, or furious
v. emit a cloud of fine particles"
fun,"n. activities that are enjoyable or amusing
n. verbal wit or mockery (often at another's expense but not to be taken seriously)
n. violent and excited activity"
function,"n. (mathematics) a mathematical relation such that each element of a given set (the domain of the function) is associated with an element of another set (the range of the function)
n. what something is used for
n. the actions and activities assigned to or required or expected of a person or group
n. a relation such that one thing is dependent on another"
fund,"n. a reserve of money set aside for some purpose
v. convert (short-term floating debt) into long-term debt that bears fixed interest and is represented by bonds
v. place or store up in a fund for accumulation
v. provide a fund for the redemption of principal or payment of interest"
fundamental,"n. any factor that could be considered important to the understanding of a particular business
n. the lowest tone of a harmonic series
s. being or involving basic facts or principles
s. far-reaching and thoroughgoing in effect especially on the nature of something"
funeral,n. a ceremony at which a dead person is buried or cremated
funfair,"n a commercially operated park with stalls and shows for amusement
n a traveling show; having sideshows and rides and games of skill etc."
fungus,n. an organism of the kingdom Fungi lacking chlorophyll and feeding on organic matter; ranging from unicellular or multicellular organisms to spore-bearing syncytia
funnel,"n. a conical shape with a wider and a narrower opening at the two ends
n. a conically shaped utensil having a narrow tube at the small end; used to channel the flow of substances into a container with a small mouth
n. (nautical) smokestack consisting of a shaft for ventilation or the passage of smoke (especially the smokestack of a ship)
v. move or pour through a funnel"
funny,s. experiencing odd bodily sensations
fur,"n. the dressed hairy coat of a mammal
n. dense coat of fine silky hairs on mammals (e.g., cat or seal or weasel)
n. a garment made of the dressed hairy coat of a mammal"
furious,"s marked by extreme and violent energy
s marked by extreme anger
s (of the elements) as if showing violent anger"
furnace,"n. an enclosed chamber in which heat is produced to heat buildings, destroy refuse, smelt or refine ores, etc."
furnish,v. provide or equip with furniture
furniture,n. furnishings that make a room or other area ready for occupancy
further,"s. more distant in especially degree
r. to or at a greater extent or degree or a more advanced stage (`further' is used more often than `farther' in this abstract sense)
r. in addition or furthermore; further, they should be here already"""
furthermore,"r. in addition; furthermore, their quality is improving""; moreover, mice nested there"""
fury,"n. a feeling of intense anger
n. (classical mythology) the hideous snake-haired monsters (usually three in number) who pursued unpunished criminals"
fuse,"n. an electrical device that can interrupt the flow of electrical current when it is overloaded
n. any igniter that is used to initiate the burning of a propellant
v. become plastic or fluid or liquefied from heat
v. equip with a fuse; provide with a fuse"
fusion,"n. an occurrence that involves the production of a union
n. the merging of adjacent sounds or syllables or words
n. a nuclear reaction in which nuclei combine to form more massive nuclei with the simultaneous release of energy
n. the combining of images from the two eyes to form a single visual percept"
fuss,"n. an angry disturbance
v. worry unnecessarily or excessively"
fussy,"s annoyed and irritable
s overcrowded or cluttered with detail
s exacting especially about details"
futile,s. producing no result or effect
future,"n. the time yet to come
n. a verb tense that expresses actions or states in the future
n. bulk commodities bought or sold at an agreed price for delivery at a specified future date
a. yet to be or coming"
gadget,n a device or control that is very useful for a particular job
gaily,r. in a gay manner
gain,"n. the amount by which the revenue of a business exceeds its cost of operating
v. obtain advantages, such as points, etc.
v. increase or develop
v. earn on some commercial or business transaction; earn as salary or wages"
galaxy,"n. a splendid assemblage (especially of famous people)
n. (astronomy) a collection of star systems; any of the billions of systems each having many stars and nebulae and dust"
gale,n. a strong wind moving 45-90 knots; force 7 to 10 on Beaufort scale
gallery,"n. spectators at a golf or tennis match
n. a room or series of rooms where works of art are exhibited
n. a long usually narrow room used for some specific purpose
n. a covered corridor (especially one extending along the wall of a building and supported with arches or columns)"
gallon,"n. United States liquid unit equal to 4 quarts or 3.785 liters
n. a British imperial capacity measure (liquid or dry) equal to 4 quarts or 4.545 liters"
gallop,"n. a fast gait of a horse; a two-beat stride during which all four legs are off the ground simultaneously
v. ride at a galloping pace
v. go at galloping speed
v. cause to move at full gallop"
gallows,n. an instrument of execution consisting of a wooden frame from which a condemned person is executed by hanging
gamble,"n. money that is risked for possible monetary gain
n. a risky act or venture
v. take a risk in the hope of a favorable outcome
v. play games for money"
gambler,"n. a person who wagers money on the outcome of games or sporting events
n. someone who risks loss or injury in the hope of gain or excitement"
game,"n. a contest with rules to determine a winner
n. a single play of a sport or other contest
n. an amusement or pastime
n. animal hunted for food or sport"
gang,"n. an association of criminals
n. an organized group of workmen
n. tool consisting of a combination of implements arranged to work together
v. act as an organized group"
gangster,n. a criminal who is a member of gang
gaol,"n a correctional institution used to detain persons who are in the lawful custody of the government (either accused persons awaiting trial or convicted persons serving a sentence)
v lock up or confine, in or as in a jail"
gaoler,n someone who guards prisoners
gap,"n. a conspicuous disparity or difference as between two figures
n. a narrow opening
n. a difference (especially an unfortunate difference) between two opinions or two views or two situations
v. make an opening or gap in"
garage,"n. an outbuilding (or part of a building) for housing automobiles
n. a repair shop where cars and trucks are serviced and repaired
v. keep or store in a garage"
garbage,"n. food that is discarded (as from a kitchen)
n. a receptacle where waste can be discarded"
garden,"n. a plot of ground where plants are cultivated
n. the flowers or vegetables or fruits or herbs that are cultivated in a garden
n. a yard or lawn adjoining a house
v. work in the garden"
garlic,"n. bulbous herb of southern Europe widely naturalized; bulb breaks up into separate strong-flavored cloves
n. aromatic bulb used as seasoning"
garment,n. an article of clothing
garrison,"n. a fortified military post where troops are stationed
n. United States abolitionist who published an anti-slavery journal (1805-1879)
n. the troops who maintain and guard a fortified place
v. station (troops) in a fort or garrison"
gas,"n. the state of matter distinguished from the solid and liquid states by: relatively low density and viscosity; relatively great expansion and contraction with changes in pressure and temperature; the ability to diffuse readily; and the spontaneous tendency to become distributed uniformly throughout any container
n. a fluid in the gaseous state having neither independent shape nor volume and being able to expand indefinitely
v. attack with gas; subject to gas fumes"
gaseous,a. existing as or having characteristics of a gas
gash,"n a wound made by cutting
n a trench resembling a furrow that was made by erosion or excavation
n a strong sweeping cut made with a sharp instrument
v cut open"
gasoline,n. a volatile flammable mixture of hydrocarbons (hexane and heptane and octane etc.) derived from petroleum; used mainly as a fuel in internal-combustion engines
gasp,n. a short labored intake of breath with the mouth open
gate,"n. a movable barrier in a fence or wall
n. a computer circuit with several inputs but only one output that can be activated by particular combinations of inputs
n. total admission receipts at a sports event
n. passageway (as in an air terminal) where passengers can embark or disembark"
gateway,n. an entrance that can be closed by a gate
gather,"n. sewing consisting of small folds or puckers made by pulling tight a thread in a line of stitching
n. the act of gathering something
v. assemble or get together
v. conclude from evidence"
gathering,n. a group of persons together in one place
gauze,"n. (medicine) bleached cotton cloth of plain weave used for bandages and dressings
n. a net of transparent fabric with a loose open weave"
gay,"s. full of or showing high-spirited merriment
s. given to social pleasures often including dissipation
s. offering fun and gaiety
s. homosexual or arousing homosexual desires"
gaze,"n. a long fixed look
v. look at with fixed eyes"
gear,"n. a toothed wheel that engages another toothed mechanism in order to change the speed or direction of transmitted motion
n. a mechanism for transmitting motion for some specific purpose (as the steering gear of a vehicle)
n. equipment consisting of miscellaneous articles needed for a particular operation or sport etc.
v. set the level or character of"
gem,"n. art highly prized for its beauty or perfection
n. a crystalline rock that can be cut and polished for jewelry"
gender,n. a grammatical category in inflected languages governing the agreement between nouns and pronouns and adjectives; in some languages it is quite arbitrary but in Indo-European languages it is usually based on sex or animateness
gene,n. (genetics) a segment of DNA that is involved in producing a polypeptide chain; it can include regions preceding and following the coding DNA as well as introns between the exons; it is considered a unit of heredity
general,"n. a general officer of the highest rank
n. the head of a religious order or congregation
n. a fact about the whole (as opposed to particular)
v. command as a general"
generalisation,"n an idea or conclusion having general application
n the process of formulating general concepts by abstracting common properties of instances
n reasoning from detailed facts to general principles
n (psychology) transfer of a response learned to one stimulus to a similar stimulus"
generalization,"n. reasoning from detailed facts to general principles
n. an idea or conclusion having general application
n. (psychology) transfer of a response learned to one stimulus to a similar stimulus"
generalise,"v speak or write in generalities
v draw from specific cases for more general cases
v cater to popular taste to make popular and present to the general public; bring into general or common use
v become systemic and spread throughout the body"
generalize,"v. draw from specific cases for more general cases
v. speak or write in generalities
v. become systemic and spread throughout the body"
generally,r. without distinction of one from others
generation,"n. group of genetically related organisms constituting a single step in the line of descent
n. the normal time between successive generations
n. a stage of technological development or innovation
n. the production of heat or electricity"
generator,"n. an apparatus that produces a vapor or gas
n. engine that converts mechanical energy into electrical energy by electromagnetic induction
n. someone who originates or causes or initiates something
n. an electronic device for producing a signal voltage"
generosity,"n. the trait of being willing to give your money or time
n. acting generously"
generous,"a. willing to give and share unstintingly
a. not petty in character and mind
s. more than adequate"
genetic,"a. pertaining to or referring to origin
a. of or relating to the science of genetics"
genetics,n. the branch of biology that studies heredity and variation in organisms
genius,"n. someone who has exceptional intellectual ability and originality
n. exceptional creative ability"
genocide,n. systematic killing of a racial or cultural group
genre,"n. a kind of literary or artistic work
n. a class of art (or artistic endeavor) having a characteristic form or technique"
gentle,"v. stroke soothingly
s. soft and mild; not harsh or stern or severe
s. having or showing a kindly or tender nature
s. quiet and soothing"
gentleman,n. a man of refinement
genuine,"a. not fake or counterfeit
s. not pretended; sincerely felt or expressed"
geographic,"a. of or relating to the science of geography
a. determined by geography"
geographical,"a of or relating to the science of geography
a determined by geography"
geography,n. study of the earth's surface; includes people's responses to topography and climate and soil and vegetation
geologist,n. a specialist in geology
geology,n. a science that deals with the history of the earth as recorded in rocks
geometric,"s. characterized by simple geometric forms in design and decoration
a. of or relating to or determined by geometry"
geometry,n. the pure mathematics of points and lines and curves and surfaces
geopolitics,n. the study of the effects of economic geography on the powers of the state
germ,n. a small apparently simple structure (as a fertilized egg) from which new tissue can develop into a complete organism
German,"n. a person of German nationality
n. the standard German language; developed historically from West Germanic
a. of or pertaining to or characteristic of Germany or its people or language"
gerund,n. a noun formed from a verb (such as the `-ing' form of an English verb when used as a noun)
gesture,"n. motion of hands or body to emphasize or help to express a thought or feeling
n. the use of movements (especially of the hands) to communicate familiar or prearranged signals
n. something done as an indication of intention"
get,"n. a return on a shot that seemed impossible to reach and would normally have resulted in a point for the opponent
v. come into the possession of something concrete or abstract
v. cause to move; cause to be in a certain position or condition
v. succeed in catching or seizing, especially after a chase"
get-together,none
ghetto,"n. formerly the restricted quarter of many European cities in which Jews were required to live
n. any segregated mode of living or working that results from bias or stereotyping
n. a poor densely populated city district occupied by a minority ethnic group linked together by economic hardship and social restrictions"
ghost,"n. a mental representation of some haunting experience
n. the visible disembodied soul of a dead person
v. move like a ghost
v. write for someone else"
ghostly,s resembling or characteristic of a phantom
giant,"n. any creature of exceptional size
n. an unusually large enterprise
n. a very large person; impressive in size or qualities
n. someone or something that is abnormally large and powerful"
gift,n. something acquired without compensation
gifted,"v give qualities or abilities to
v give as a present; make a gift of
a endowed with talent or talents"
gigantic,s. so exceedingly large or extensive as to suggest a giant or mammoth
giggle,"n. a foolish or nervous laugh
v. laugh nervously"
gild,"v. decorate with, or as if with, gold leaf or liquid gold"
gin,"n. strong liquor flavored with juniper berries
n. a form of rummy in which a player can go out if the cards remaining in their hand total less than 10 points
v. separate the seeds from (cotton) with a cotton gin
v. trap with a snare"
ginger,"n. perennial plants having thick branching aromatic rhizomes and leafy reedlike stems
n. dried ground gingerroot
n. pungent rhizome of the common ginger plant; used fresh as a seasoning especially in Asian cookery
v. add ginger to in order to add flavor"
gipsy,"n a laborer who moves from place to place as demanded by employment
n a member of a people with dark skin and hair who speak Romany and who traditionally live by seasonal work and fortunetelling; they are believed to have originated in northern India but now are living on all continents (but mostly in Europe, North Africa, and North America)"
gypsy,"n. a member of a people with dark skin and hair who speak Romany and who traditionally live by seasonal work and fortunetelling; they are believed to have originated in northern India but now are living on all continents (but mostly in Europe, North Africa, and North America)"
giraffe,n. tallest living quadruped; having a spotted coat and small horns and very long neck and legs; of savannahs of tropical Africa
girl,"n. a young woman
n. a friendly informal reference to a grown woman"
girlfriend,"n. any female friend
n. a girl or young woman with whom a man is romantically involved"
gist,"n the central meaning or theme of a speech or literary work
n the choicest or most essential or most vital part of some idea or experience"
give,"n. the elasticity of something that can be stretched and returns to its original length
v. cause to have, in the abstract sense or physical sense
v. transfer possession of something concrete or abstract to somebody
v. convey or reveal information"
given,"n. an assumption that is taken for granted
s. acknowledged as a supposition"
glacier,n. a slowly moving mass of ice
glad,"a. showing or causing joy and pleasure; especially made happy
s. eagerly disposed to act or to be of service
s. feeling happy appreciation"
glamour,"n alluring beauty or charm (often with sex-appeal)
v cast a spell over someone or something; put a hex on someone or something"
glamor,n. alluring beauty or charm (often with sex-appeal)
glamourous,"s having an air of allure, romance and excitement"
glamorous,"s. having an air of allure, romance and excitement"
glance,"n. a quick look
v. throw a glance at; take a brief look at
v. hit at an angle"
gland,n. any of various organs that synthesize substances needed by the body and release it through ducts or directly into the bloodstream
glare,"n. a light within the field of vision that is brighter than the brightness to which the eyes are adapted
n. an angry stare
v. be sharply reflected
v. shine intensely"
glaring,"v look at with a fixed gaze
v be sharply reflected
v shine intensely
s shining intensely
s conspicuously and outrageously bad or reprehensible"
glass,"n. a brittle transparent solid with irregular atomic structure
n. a container for holding liquids while drinking
n. the quantity a glass will hold
n. glassware collectively"
glasshouse,n a building with glass walls and roof; for the cultivation and exhibition of plants under controlled conditions
gleam,"n. an appearance of reflected light
n. a flash of light (especially reflected light)
v. shine brightly, like a star or a light
v. appear briefly"
glide,"n. the activity of flying a glider
v. move smoothly and effortlessly
v. fly in or as if in a glider plane
v. cause to move or pass silently, smoothly, or imperceptibly"
glider,n. aircraft supported only by the dynamic action of air against its surfaces
glimmer,"n a flash of light (especially reflected light)
n a slight suggestion or vague understanding
v shine brightly, like a star or a light"
glimpse,"n. a brief or incomplete view
n. a vague indication
v. catch a glimpse of or see briefly"
glint,n. a spatially localized brightness
glisten,"n the quality of shining with a bright reflected light
v be shiny, as if wet"
glitter,"n. the quality of shining with a bright reflected light
n. the occurrence of a small flash or spark
v. be shiny, as if wet"
global,s. involving the entire earth; not limited or provincial in scope
globe,n. a sphere on which a map (especially of the earth) is represented
gloom,"n. a state of partial or total darkness
n. a feeling of melancholy apprehension
n. an atmosphere of depression and melancholy"
gloomy,s. filled with melancholy and despondency
glorify,"v. bestow glory upon
v. cause to seem more splendid"
glorious,"a. having or deserving or conferring glory
s. having great beauty and splendor"
glory,"n. a state of high honor
n. brilliant radiant beauty
v. rejoice proudly"
gloss,"n. an explanation or definition of an obscure word in a text
v. give a shine or gloss to, usually by rubbing
v. provide interlinear explanations for words or phrases
v. provide an interlinear translation of a word or phrase"
glossy,"n. a photograph that is printed on smooth shiny paper
s. (of paper and fabric and leather) having a surface made smooth and glossy especially by pressing between rollers
s. superficially attractive and stylish; suggesting wealth or expense"
glove,n. handwear: covers the hand and wrist
glow,"n. a feeling of considerable warmth
n. a steady even light without flames
v. emit a steady even light without flames
v. have a complexion with a strong bright color, such as red or pink"
glue,"n. cement consisting of a sticky substance that is used as an adhesive
v. join or attach with or as if with glue
v. be fixed as if by glue"
gnaw,v. bite or chew on with the teeth
go,"n. a time for working (after which you will be relieved by someone else)
n. a board game for two players who place counters on a grid; the object is to surround and so capture the opponent's counters
v. follow a procedure or take a course
v. move away from a place into another direction"
goal,"n. the state of affairs that a plan is intended to achieve and that (when achieved) terminates behavior intended to achieve it
n. game equipment consisting of the place toward which players of a game try to advance a ball or puck in order to score points
n. a successful attempt at scoring"
goalkeeper,"n. the soccer or hockey player assigned to protect the goal
n. the defensive position on an ice hockey or soccer or lacrosse team who stands in front of the goal and tries to prevent opposing players from scoring"
goat,n. any of numerous agile ruminants related to sheep but having a beard and straight horns
god,"n. the supernatural being conceived as the perfect and omnipotent and omniscient originator and ruler of the universe; the object of worship in monotheistic religions
n. a man of such superior qualities that he seems like a deity to other people"
goddess,n. a female deity
godfather,"n. any man who serves as a sponsor for a child at baptism
n. someone having a relation analogous to that of a male sponsor to his godchild"
godmother,n. any woman who serves as a sponsor for a child at baptism
gold,"n. coins made of gold
n. a soft yellow malleable ductile (trivalent and univalent) metallic element; occurs mainly as nuggets in rocks and alluvial deposits; does not react with most chemicals but is attacked by chlorine and aqua regia
n. great wealth
n. something likened to the metal in brightness or preciousness or superiority etc."
golden,"s. marked by peace and prosperity
s. suggestive of gold
s. presaging or likely to bring good luck"
goldfish,n. small golden or orange-red freshwater fishes of Eurasia used as pond or aquarium fishes
golf,"n. a game played on a large open course with 9 or 18 holes; the object is use as few strokes as possible in playing all the holes
v. play golf"
golfer,n. someone who plays the game of golf
gong,"n. a percussion instrument consisting of a metal plate that is struck with a softheaded drumstick
v. sound a gong"
good,"n. benefit
n. moral excellence or admirableness
n. that which is pleasing or valuable or useful
a. having desirable or positive qualities especially those suitable for a thing specified"
better,"n. something superior in quality or condition or effect
n. a superior person having claim to precedence
n. the superior one of two alternatives
v. surpass in excellence"
best,"n. the supreme effort one can make
n. the person who is most outstanding or excellent; someone who tops all others
n. Canadian physiologist (born in the United States) who assisted F. G. Banting in research leading to the discovery of insulin (1899-1978)"
good-by,n a farewell remark
good-bye,n a farewell remark
good-hearted,s showing or motivated by sympathy and understanding and generosity
good-humoured,s disposed to please
good-humored,s disposed to please
good-looking,s pleasing in appearance especially by reason of conformity to ideals of form and proportion
goodness,"n that which is pleasing or valuable or useful
n moral excellence or admirableness"
good night,none
goods,"n benefit
n moral excellence or admirableness
n that which is pleasing or valuable or useful
n articles of commerce"
goodwill,"n (accounting) an intangible asset valued according to the advantage or reputation a business has acquired (over and above its tangible assets)
n the friendly hope that something will succeed
n a disposition to kindness and compassion"
goose,"n. web-footed long-necked typically gregarious migratory aquatic birds usually larger and less aquatic than ducks
n. flesh of a goose (domestic or wild)
v. pinch in the buttocks
v. prod into action"
gorge,"n. a deep ravine (usually with a river running through it)
v. overeat or eat immodestly; make a pig of oneself"
gorgeous,s. dazzlingly beautiful
gorilla,n. largest anthropoid ape; terrestrial and vegetarian; of forests of central west Africa
gosh,none
gossip,"n. a report (often malicious) about the behavior of other people
n. a person given to gossiping and divulging personal information about others"
Gothic,"n. extinct East Germanic language of the ancient Goths; the only surviving record being fragments of a 4th-century translation of the Bible by Bishop Ulfilas
n. a heavy typeface in use from 15th to 18th centuries
n. a style of architecture developed in northern France that spread throughout Europe between the 12th and 16th centuries; characterized by slender vertical piers and counterbalancing buttresses and by vaulting and pointed arches
a. characteristic of the style of type commonly used for printing German"
gourmet,n a person devoted to refined sensuous enjoyment (especially good food and drink)
govern,"v. direct or strongly influence the behavior of
v. exercise authority over; as of nations
v. require to be in a certain grammatical case, voice, or mood"
governess,n. a woman entrusted with the care and supervision of a child (especially in a private home)
government,"n. the organization that is the governing authority of a political unit
n. the act of governing; exercising authority
n. (government) the system or form by which a community or other political unit is governed"
governor,"n. the head of a state government
n. a control that maintains a steady speed in a machine (as by controlling the supply of fuel)"
gown,"n. a woman's dress, usually with a close-fitting bodice and a long flared skirt, often worn on formal occasions
n. the members of a university as distinguished from the other residents of the town in which the university is located
n. protective garment worn by surgeons during operations
n. outerwear consisting of a long flowing garment used for official or ceremonial occasions"
grab,"n. a mechanical device for gripping an object
v. make a grasping or snatching motion with the hand
v. obtain illegally or unscrupulously
v. take or grasp suddenly"
grace,"n. (Christian theology) a state of sanctification by God; the state of one who is under such divine influence
n. elegance and beauty of movement or expression
n. a disposition to kindness and compassion
n. (Greek mythology) one of three sisters who were the givers of beauty and charm; a favorite subject for sculptors"
graceful,"a. characterized by beauty of movement, style, form, or execution"
gracious,"a. characterized by charm, good taste, and generosity of spirit
s. disposed to bestow favors"
grade,"n. a relative position or degree of value in a graded group
n. the gradient of a slope or road or other surface
n. a degree of ablaut
n. the height of the ground on which something stands"
