a,"n. the 1st letter of the Roman alphabet
n. the blood group whose red cells carry the A antigen"
approval,"n. a feeling of liking something or someone good
n. acceptance as satisfactory
n. a message expressing a favorable opinion"
approve,"v. give sanction to
v. judge to be right or commendable; think well of"
approximate,"v. be close or similar
s. not quite exact or correct
s. very close in resemblance
s. located close together"
apricot,"n. Asian tree having clusters of usually white blossoms and edible fruit resembling the peach
n. downy yellow to rosy-colored fruit resembling a small peach"
April,n. the month following March and preceding May
apron,"n. a garment of cloth or leather or plastic that is tied about the waist and worn to protect your clothing
n. (golf) the part of the fairway leading onto the green
n. a paved surface where aircraft stand while not being used"
apt,"s. (usually followed by `to') naturally disposed toward
s. at risk of or subject to experiencing something usually unpleasant
s. mentally quick and resourceful"
aptitude,n. inherent ability
aquarium,n. a tank or pool or bowl filled with water for keeping live fish and underwater animals
aquatic,"n. a plant that lives in or on water
a. relating to or consisting of or being in water
a. operating or living or growing in water"
Arabia,n a peninsula between the Red Sea and the Persian Gulf; strategically important for its oil resources
Arabian,"n. a spirited graceful and intelligent riding horse native to Arabia
a. relating to or associated with Arabia or its people
a. of or relating to Arabian horses"
Arabic,"n. the Semitic language of the Arabs; spoken in a variety of dialects
a. relating to or characteristic of Arabs"
arbitrary,a. based on or subject to individual discretion or preference or sometimes impulse or caprice
arc,n. a continuous portion of a circle
arch,"n. a curved shape in the vertical plane that spans an opening
n. a curved bony structure supporting or enclosing organs (especially the inner sides of the feet)
n. a passageway under a curved masonry construction
n. (architecture) a masonry construction (usually curved) for spanning an opening and supporting the weight above it"
archaeologist,n an anthropologist who studies prehistoric people and their culture
archaeology,n the branch of anthropology that studies prehistoric people and their cultures
archbishop,n. a bishop of highest rank
architect,n. someone who creates plans to be used in making something (such as buildings)
architecture,"n. an architectural product or work
n. the discipline dealing with the principles of design and construction and ornamentation of fine buildings
n. the profession of designing buildings and environments with consideration for their esthetic effect"
archway,n a passageway under a curved masonry construction
arctic,"n. the regions to the north of the Arctic Circle centered on the North Pole
n. a waterproof overshoe that protects shoes from water or snow
s. extremely cold"
are,n. a unit of surface area equal to 100 square meters
area,"n. a particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography)
n. a subject of study
n. a part of an animal that has a special function or is supplied by a given artery or nerve
n. a part of a structure having some specific characteristic or function"
arena,"n. the central area of an ancient Roman amphitheater where contests and spectacles were held; especially an area that was strewn with sand
n. a playing field where sports events take place"
argue,"v. present reasons and arguments
v. have an argument about something
v. give evidence of"
argument,"n. a fact or assertion offered as evidence that something is true
n. a discussion in which reasons are advanced for and against some proposition or proposal
n. a summary of the subject or plot of a literary work or play or movie
n. (computer science) a reference or value that is passed to a function, procedure, subroutine, command, or program"
argumentative,a. given to or characterized by argument
arid,"s. lacking sufficient water or rainfall
s. lacking vitality or spirit; lifeless"
arise,"v. originate or come into being
v. rise to one's feet
v. result or issue"
aristocracy,"n a privileged class holding hereditary titles
n the most powerful members of a society"
aristocrat,n. a member of the aristocracy
aristocratic,s. belonging to or characteristic of the nobility or aristocracy
arithmetic,n. the branch of pure mathematics dealing with the theory of numerical calculations
arm,"n. a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb
n. any projection that is thought to resemble a human arm
n. the part of an armchair or sofa that supports the elbow and forearm of a seated person
v. prepare oneself for a military confrontation"
armament,n. weaponry used by military or naval force
armchair,n. chair with a support on each side for arms
armour,"n a military unit consisting of armored fighting vehicles
n protective covering made of metal and used in combat
n tough more-or-less rigid protective covering of an animal or plant
v equip with armor"
armor,"n. protective covering made of metal and used in combat
n. a military unit consisting of armored fighting vehicles
n. tough more-or-less rigid protective covering of an animal or plant"
armpit,n. the hollow under the arm where it is joined to the shoulder
army,"n. a permanent organization of the military land forces of a nation or state
n. a large number of people united for some specific purpose"
around,"r. by a circular or circuitous route
r. in a circle or circular motion
r. to a particular destination either specified or understood
r. in circumference"
arouse,"v. call forth (emotions, feelings, and responses)
v. to begin moving, ""As the thunder started the sleeping children began to stir""
v. stimulate sexually"
arrange,"v. put into a proper or systematic order
v. make arrangements for
v. adapt for performance in a different way
v. arrange thoughts, ideas, temporal events"
arrangement,"n. an orderly grouping (of things or persons) considered as a unit; the result of arranging
n. an organized structure for arranging or classifying
n. the act of arranging and adapting a piece of music"
array,"n. an orderly arrangement
n. an impressive display
n. especially fine or decorative clothing
n. an arrangement of aerials spaced to give desired directional characteristics"
arrest,n. the state of inactivity following an interruption
arrival,"n. accomplishment of an objective
n. the act of arriving at a certain place
n. someone who arrives (or has arrived)"
arrive,"v. reach a destination; arrive by movement or progress
v. succeed in a big way; get to the top"
arrogance,n. overbearing pride evidenced by a superior manner toward inferiors
arrogant,s. having or showing feelings of unwarranted importance out of overbearing pride
arrow,"n. a mark to indicate a direction or relation
n. a projectile with a straight thin shaft and an arrowhead on one end and stabilizing vanes on the other; intended to be shot from a bow"
art,"n. the products of human creativity; works of art collectively
n. the creation of beautiful or significant things
n. a superior skill that you can learn by study and practice and observation"
artery,"n. a blood vessel that carries blood from the heart to the body
n. a major thoroughfare that bears important traffic"
article,"n. nonfictional prose forming an independent part of a publication
n. one of a class of artifacts
n. a separate section of a legal document (as a statute or contract or will)
n. (grammar) a determiner that may indicate the specificity of reference of a noun phrase"
artificial,"a. contrived by art rather than nature
s. artificially formal
s. not arising from natural growth or characterized by vital processes"
artillery,"n. large but transportable armament
n. an army unit that uses big guns"
artist,n. a person whose creative work shows sensitivity and imagination
artistic,"a. relating to or characteristic of art or artists
s. satisfying aesthetic standards and sensibilities"
as,"n a very poisonous metallic element that has three allotropic forms; arsenic and arsenic compounds are used as herbicides and insecticides and various alloys; found in arsenopyrite and orpiment and realgar
n a United States territory on the eastern part of the island of Samoa
n a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation
n any of several fat-soluble vitamins essential for normal vision; prevents night blindness or inflammation or dryness of the eyes
n one of the four nucleotides used in building DNA; all four nucleotides have a common phosphate group and a sugar (ribose)
n (biochemistry) purine base found in DNA and RNA; pairs with thymine in DNA and with uracil in RNA
n the basic unit of electric current adopted under the Systeme International d'Unites
n the 1st letter of the Roman alphabet
n the blood group whose red cells carry the A antigen
r to the same degree (often followed by `as')"
ascend,"v. travel up, ""We ascended the mountain""
v. go back in order of genealogical succession
v. become king or queen
v. appear to be moving upward, as by means of tendrils"
ascent,n. an upward slope or grade (as in a road)
ash,"n. the residue that remains when something is burned
n. any of various deciduous pinnate-leaved ornamental or timber trees of the genus Fraxinus
n. strong elastic wood of any of various ash trees; used for furniture and tool handles and sporting goods such as baseball bats
v. convert into ashes"
ashamed,a. feeling shame or guilt or embarrassment or remorse
ashore,r. towards the shore from the water
ashtray,n. a receptacle for the ash from smokers' cigars or cigarettes
Asia,"n. the largest continent with 60% of the earth's population; it is joined to Europe on the west to form Eurasia; it is the site of some of the world's earliest civilizations
n. the nations of the Asian continent collectively"
Asian,"n. a native or inhabitant of Asia
a. of or relating to or characteristic of Asia or the peoples of Asia or their languages or culture"
aside,"n. a line spoken by an actor to the audience but not intended for others on the stage
r. on or to one side
r. out of the way (especially away from one's thoughts)
r. placed or kept separate and distinct as for a purpose"
ask,"v. inquire about
v. make a request or demand for something to somebody
v. direct or put; seek an answer to
v. consider obligatory; request and expect"
asleep,"a. in a state of sleep
s. lacking sensation
s. dead
r. into a sleeping state"
aspect,"n. a distinct feature or element in a problem
n. a characteristic to be considered
n. the beginning or duration or completion or repetition of the action of a verb"
asphalt,"n. mixed asphalt and crushed gravel or sand; used especially for paving but also for roofing
n. a dark bituminous substance found in natural beds and as residue from petroleum distillation; consists mainly of hydrocarbons
v. cover with tar or asphalt"
aspirin,"n. the acetylated derivative of salicylic acid; used as an analgesic anti-inflammatory drug (trade names Bayer, Empirin, and St. Joseph) usually taken in tablet form; used as an antipyretic; slows clotting of the blood by poisoning platelets"
ass,"n. a pompous fool
n. hardy and sure-footed animal smaller and with longer ears than the horse"
assassin,"n. a murderer (especially one who kills a prominent political figure) who kills by a surprise attack and often is hired to do the deed
n. a member of a secret order of Muslims (founded in the 12th century) who terrorized and killed Christian Crusaders"
assassinate,"v. murder; especially of socially prominent persons
v. destroy or damage seriously, as of someone's reputation"
assault,"n. close fighting during the culmination of a military attack
n. a threatened or attempted physical attack by someone who appears to be able to cause bodily harm if not stopped
n. thoroughbred that won the triple crown in 1946"
assemble,"v. create by putting components or members together
v. get people together"
assembly,"n. a group of machine parts that fit together to form a self-contained unit
n. a group of persons who are gathered together for a common purpose
n. a unit consisting of components that have been fitted together
n. the social act of assembling"
assert,"v. state categorically
v. insist on having one's opinions and rights recognized"
assertion,n. a declaration that is made emphatically (as if no supporting evidence were necessary)
assess,"v. charge (a person or a property) with a payment, such as a tax or a fine
v. estimate the value of (property) for taxation"
assessment,"n. an amount determined as payable
n. the market value set on assets"
asset,n. a useful or valuable quality
assign,"v. give out
v. select something or someone for a specific purpose
v. transfer one's right to
v. decide as to where something belongs in a scheme"
assignment,"n. a duty that you are assigned to perform (especially in the armed forces)
n. the instrument by which a claim or right or interest or property is transferred from one person to another
n. the act of distributing something to designated places or persons
n. an undertaking that you have been assigned to do (as by an instructor)"
assist,"n. (sports) the act of enabling another player to make a good play
v. act as an assistant in a subordinate or supportive function"
assistance,"n the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose
n a resource"
assistant,n. a person who contributes to the fulfillment of a need or furtherance of an effort or purpose
associate,"n. a person who joins with others in some activity or endeavor
n. a person with subordinate membership in a society, institution, or commercial enterprise
n. any event that usually accompanies or is closely connected with another
v. make a logical or causal connection"
association,"n. a formal organization of people or groups of people
n. the act of consorting with or joining with others
n. the state of being connected together as in memory or imagination
n. the process of bringing ideas or events together in memory or imagination"
assume,"v. take to be the case or to be true; accept without verification or proof
v. take on titles, offices, duties, responsibilities
v. take on a certain form, attribute, or aspect
v. occupy or take on"
assumption,"n. a hypothesis that is taken for granted
n. the act of taking possession of or power over something
n. celebration in the Roman Catholic Church of the Virgin Mary's being taken up into heaven when her earthly life ended; corresponds to the Dormition in the Eastern Orthodox Church
n. (Christianity) the taking up of the body and soul of the Virgin Mary when her earthly life had ended"
assurance,"n. freedom from doubt; belief in yourself and your abilities
n. a binding commitment to do or give or refrain from something
n. a statement intended to inspire confidence
n. a British term for some kinds of insurance"
assure,"v. inform positively and with certainty and confidence
v. assure somebody of the truth of something with the intention of giving the listener confidence"
assuredly,r. without a doubt
astonish,v affect with wonder
astonishment,n. the feeling that accompanies something extremely surprising
astound,v affect with wonder
astronaut,n. a person trained to travel in a spacecraft
astronomer,n. a physicist who studies astronomy
astronomical,"a relating or belonging to the science of astronomy
s inconceivably large"
astronomy,n. the branch of physics that studies celestial bodies and the universe as a whole
at,n. 100 at equal 1 kip in Laos
athlete,n. a person trained to compete in sports
athletic,"a. relating to or befitting athletics or athletes
s. having a sturdy and well proportioned body"
athletics,n. participation in sports events as an extracurricular activity
Atlantic,"n. the 2nd largest ocean; separates North and South America on the west from Europe and Africa on the east
a. relating to or bordering the Atlantic Ocean"
atlas,"n. (Greek mythology) a Titan who was forced by Zeus to bear the sky on his shoulders
n. a collection of maps in book form
n. the 1st cervical vertebra
n. a figure of a man used as a supporting column"
atmosphere,"n. a particular environment or surrounding influence
n. the mass of air surrounding the Earth
n. the weather or climate at some place
n. the envelope of gases surrounding any celestial body"
atmospheric,a. relating to or located in the atmosphere
atom,"n. (physics and chemistry) the smallest component of an element having the chemical properties of the element
n. (nontechnical usage) a tiny piece of anything"
atomic,"a. of or relating to or comprising atoms
s. immeasurably small"
attach,"v. cause to be attached
v. be attached; be in contact with
v. become attached"
attaché,none
attachment,"n. a feeling of affection for a person or an institution
n. a supplementary part or accessory
n. a writ authorizing the seizure of property that may be needed for the payment of a judgment in a judicial proceeding"
attack,"n. (military) an offensive against an enemy (using weapons)
n. an offensive move in a sport or game
n. the act of attacking
n. a decisive manner of beginning a musical tone or phrase"
attain,"v to gain with effort
v reach a point in time, or a certain state or level
v find unexpectedly
v reach a destination, either real or abstract"
attempt,n. earnest and conscientious activity intended to do or accomplish something
attend,"v. be present at (meetings, church services, university), etc.
v. take charge of or deal with
v. to accompany as a circumstance or follow as a result
v. give heed (to)"
attendance,"n. the act of being present (at a meeting or event etc.)
n. the frequency with which a person is present
n. the number of people that are present"
attendant,"n. someone who waits on or tends to or attends to the needs of another
n. a person who is present and participates in a meeting
s. being present (at meeting or event etc.) ""attendant members of the congreation""
s. following or accompanying as a consequence"
attention,"n. the process whereby a person concentrates on some features of the environment to the (relative) exclusion of others
n. a general interest that leads people to want to know more
n. a courteous act indicating affection
n. the faculty or power of mental concentration"
attentive,a. (often followed by `to') giving care or attention
attic,"n. the dialect of Ancient Greek spoken and written in Attica and Athens and Ionia
n. informal terms for a human head
n. (architecture) a low wall at the top of the entablature; hides the roof
a. of or relating to Attica or its inhabitants or to the dialect spoken in Athens in classical times"
attitude,"n. a complex mental state involving beliefs and feelings and values and dispositions to act in certain ways
n. a theatrical pose created for effect
n. position of aircraft or spacecraft relative to a frame of reference (the horizon or direction of motion)"
attorney,n a professional person authorized to practice law; conducts lawsuits or gives legal advice
attract,"v. direct toward itself or oneself by means of some psychological power or physical attributes
v. be attractive to
v. exert a force on (a body) causing it to approach or prevent it from moving away"
attraction,"n. the force by which one object attracts another
n. an entertainment that is offered to the public
n. the quality of arousing interest; being attractive or something that attracts
n. a characteristic that provides pleasure and attracts"
attractive,"a. pleasing to the eye or mind especially through beauty or charm
s. having power to arouse interest
a. having the properties of a magnet; the ability to draw or pull;"
attribute,n. an abstraction belonging to or characteristic of an entity
auction,"n. a variety of bridge in which tricks made in excess of the contract are scored toward game; now generally superseded by contract bridge
n. the public sale of something to the highest bidder
v. sell at an auction"
audience,"n. a gathering of spectators or listeners at a (usually public) performance
n. the part of the general public interested in a source of information or entertainment"
audio,"n. the audible part of a transmitted signal
n. an audible acoustic wave frequency
n. the sound elements of television"
audiovisuals,n materials using sight or sound to present information
audit,"n. a methodical examination or review of a condition or situation
v. examine carefully for accuracy with the intent of verification
v. attend academic courses without getting credit"
auditor,"n. a student who attends a course but does not take it for credit
n. a qualified accountant who inspects the accounting records and practices of a business or other organization"
auditorium,n. the area of a theater or concert hall where the audience sits
August,"n. the month following July and preceding September
s. of or befitting a lord
s. profoundly honored"
aunt,n. the sister of your father or mother; the wife of your uncle
aural,"a. of or pertaining to hearing or the ear
a. relating to or characterized by an aura"
Australian,"n. a native or inhabitant of Australia
n. the Austronesian languages spoken by Australian aborigines
a. of or relating to or characteristic of Australia or its inhabitants or its languages"
authentic,"s. conforming to fact and therefore worthy of belief
s. not counterfeit or copied"
author,v. be the author of
authorise,"v give or delegate power or authority to
v grant authorization or clearance for"
authorize,v. grant authorization or clearance for
authoritative,"s. having authority or ascendancy or influence
s. of recognized authority or excellence
s. sanctioned by established authority"
authority,"n. the power or right to give orders or make decisions
n. (usually plural) persons who exercise (administrative) control over others
n. an expert whose views are taken as definitive
n. official permission or approval"
autobiographic,"a of or relating to or characteristic of an autobiographer
a relating to or in the style of an autobiography"
autobiographical,"a. of or relating to or characteristic of an autobiographer
a. relating to or in the style of an autobiography"
autobiography,n. a biography of yourself
automate,v make automatic or control or operate automatically
automatic,"a. operating with minimal human intervention; independent of external control
s. resembling the unthinking functioning of a machine
s. without volition or conscious control"
automation,"n. the act of implementing the control of equipment with advanced technology; usually involving electronic hardware
n. the condition of being automatically operated or controlled
n. equipment used to achieve automatic control or operation"
automobile,v. travel in an automobile
autonomous,"s. (of political bodies) not controlled by outside forces
s. existing as an independent entity
s. (of persons) free from external control and constraint in e.g. action and judgment"
autonomy,"n. immunity from arbitrary exercise of authority: political independence
n. personal independence"
autumn,n the season when the leaves fall from the trees
auxiliary,s. functioning in a supporting capacity
availability,n the quality of being at hand when needed
available,"a. obtainable or accessible and ready for use or service
s. not busy; not otherwise committed
s. convenient for use or disposal"
avalanche,"n. a slide of large masses of snow and ice and mud down a mountain
n. a sudden appearance of an overwhelming number of things
v. gather into a huge mass and roll down a mountain, of snow"
avenge,v take revenge for a perceived wrong
avenue,"n. a line of approach
n. a wide street or thoroughfare"
average,"n. a statistic describing the location of a distribution
n. (sports) the ratio of successful performances to opportunities
n. an intermediate scale value regarded as normal or usual
v. amount to or come to an average, without loss or gain"
aviation,"n. the aggregation of a country's military aircraft
n. the operation of aircraft to provide transportation
n. the art of operating aircraft"
avoid,"v. stay clear from; keep away from; keep out of the way of someone or something
v. refrain from doing something"
await,v look forward to the probable occurrence of
awake,a. not in a state of sleep; completely conscious
awaken,"v. cause to become awake or conscious
v. make aware"
award,"n. a grant made by a law court
n. a tangible symbol signifying approval or distinction
v. give, especially as an honor or reward
v. give as judged due or on the basis of merit"
aware,a. (sometimes followed by `of') having or showing knowledge or understanding or realization or perception
awareness,"n. having knowledge of
n. state of elementary or undifferentiated consciousness"
away,"s. not present; having left
a. used of an opponent's ground
s. (of a baseball pitch) on the far side of home plate from the batter
r. from a particular thing or place or position (`forth' is obsolete)"
awe,"n. an overwhelming feeling of wonder or admiration
v. inspire awe in"
awful,s. causing fear or dread or terror
awfully,"r used as intensifiers
r of a dreadful kind
r in a terrible manner"
awkward,"s. causing inconvenience
a. lacking grace or skill in manner or movement or performance
s. difficult to handle or manage especially because of shape
s. not elegant or graceful in expression"
awkwardly,r. in an awkward manner
axe,v. chop or split with an ax
ax,"n. an edge tool with a heavy bladed head mounted across a handle
v. terminate"
axiom,n. (logic) a proposition that is not susceptible of proof or disproof; its truth is assumed to be self-evident
axis,"n. a straight line through a body or figure that satisfies certain conditions
n. the main stem or central part about which plant organs or plant parts such as branches are arranged
n. in World War II the alliance of Germany and Italy in 1936 which later included Japan and other nations
n. the 2nd cervical vertebra; serves as a pivot for turning the head"
axle,n. a shaft on which a wheel rotates
baby,"n. a very young child (birth to 1 year) who has not yet begun to walk or talk
n. the youngest member of a group (not necessarily young)
n. an unborn child; a human fetus
n. (slang) sometimes used as a term of address for attractive young women"
baby-sit,"v. take watchful responsibility for
v. work or act as a baby-sitter; I have too much homework to do"""
bachelor,"n. a man who has never been married
v. lead a bachelor's existence"
back,"n. the posterior part of a human (or animal) body from the neck to the end of the spine
n. the part of something that is furthest from the normal viewer
n. (football) a person who plays in the backfield
n. the part of a garment that covers the back of your body"
backbone,"n. fortitude and determination
n. the part of a network that connects other networks together"
background,"n. a person's social heritage: previous experience or training
n. the part of a scene (or picture) that lies behind objects in the foreground
n. information that is essential to understanding a situation or problem
n. extraneous signals that can be confused with the phenomenon to be observed or measured"
backup,"n. an accumulation caused by clogging or a stoppage
n. (computer science) a copy of a file or directory on a separate storage device"
backward,"a. directed or facing toward the back or rear
a. (used of temperament or behavior) marked by a retiring nature
s. retarded in intellectual development
s. having made less than normal progress"
backwards,"r at or to or toward the back or rear
r in a manner or order or direction the reverse of normal"
backyard,n. the grounds in back of a house
bacon,"n. back and sides of a hog salted and dried or smoked; usually sliced thin and fried
n. English scientist and Franciscan monk who stressed the importance of experimentation; first showed that air is required for combustion and first used lenses to correct vision (1220-1292)
n. English statesman and philosopher; precursor of British empiricism; advocated inductive reasoning (1561-1626)"
bacteria,n. (microbiology) single-celled or noncellular spherical or spiral or rod-shaped organisms lacking chlorophyll that reproduce by fission; important as pathogens and for biochemical properties; taxonomy is difficult; often considered to be plants
bad,"n. that which is below standard or expectations as of ethics or decency
a. having undesirable or negative qualities
s. very intense
s. feeling physical discomfort or pain (`tough' is occasionally used colloquially for `bad')"
worse,"n. something inferior in quality or condition or effect
a. (comparative of `bad') inferior to another in quality or condition or desirability
a. changed for the worse in health or fitness
r. (comparative of `ill') in a less effective or successful or desirable manner"
worst,"n. the least favorable outcome
n. the greatest damage or wickedness of which one is capable
n. the weakest effort or poorest achievement one is capable of
v. defeat thoroughly"
badge,"n. an emblem (a small piece of plastic or cloth or metal) that signifies your status (rank or membership or affiliation etc.)
n. any feature that is regarded as a sign of status (a particular power or quality or rank)
v. put a badge on"
badly,"r. to a severe or serious degree
r. evilly or wickedly
r. in a disobedient or naughty way
r. with great intensity (`bad' is a nonstandard variant for `badly')"
badminton,n. a game played on a court with light long-handled rackets used to volley a shuttlecock over a net
bad-tempered,s annoyed and irritable
bag,"n. a flexible container with a single opening
n. the quantity of game taken in a particular period (usually by one person)
n. a container used for carrying money and small personal items or accessories (especially by women)
n. the quantity that a bag will hold"
baggage,"n. cases used to carry belongings when traveling
n. a worthless or immoral woman
n. the portable equipment and supplies of an army"
baggy,s. not fitting closely; hanging loosely
bail,"n. (criminal law) money that must be forfeited by the bondsman if an accused person fails to appear in court for trial
n. the legal system that allows an accused person to be temporarily released from custody (usually on condition that a sum of money guarantees their appearance at trial)
v. release after a security has been paid
v. deliver something in trust to somebody for a special purpose and for a limited period"
bait,"n. anything that serves as an enticement
n. something used to lure fish or other animals into danger so they can be trapped or killed
v. lure, entice, or entrap with bait
v. attack with dogs or set dogs upon"
bake,"v. cook and make edible by putting in a hot oven
v. prepare with dry heat in an oven
v. be very hot, due to hot weather or exposure to the sun"
baker,"n. someone who bakes commercially
n. someone who bakes bread or cake"
bakery,n. a workplace where baked goods (breads and cakes and pastries) are produced or sold
balance,"n. a state of equilibrium
n. equality between the totals of the credit and debit sides of an account
n. equality of distribution
n. the difference between the totals of the credit and debit sides of an account"
balcony,"n. an upper floor projecting from the rear over the main floor in an auditorium
n. a platform projecting from the wall of a building and surrounded by a balustrade or railing or parapet"
bald,"v. grow bald; lose hair on one's head
s. with no effort to conceal
s. lacking hair on all or most of the scalp
s. without the natural or usual covering"
bale,"n. a large bundle bound for storage or transport
v. make into a bale"
ball,"n. round object that is hit or thrown or kicked in games
n. an object with a spherical shape
n. the people assembled at a lavish formal dance
n. a spherical object used as a plaything"
ballet,"n. a theatrical representation of a story that is performed to music by trained dancers
n. music written for a ballet"
balloon,"n. large tough nonrigid bag filled with gas or heated air
n. small thin inflatable rubber bag with narrow neck
v. ride in a hot-air balloon
v. become inflated"
ballot,"n. a document listing the alternatives that is used in voting
v. vote by ballot"
ball-point pen,none
bamboo,"n. the hard woody stems of bamboo plants; used in construction and crafts and fishing poles
n. woody tropical grass having hollow woody stems; mature canes used for construction and furniture"
ban,"n. 100 bani equal 1 leu in Moldova
n. 100 bani equal 1 leu in Romania
n. an official prohibition or edict against something
v. forbid the public distribution of ( a movie or a newspaper)"
banana,"n. any of several tropical and subtropical treelike herbs of the genus Musa having a terminal crown of large entire leaves and usually bearing hanging clusters of elongated fruits
n. elongated crescent-shaped yellow fruit with soft sweet flesh"
band,"n. instrumentalists not including string players
n. a stripe or stripes of contrasting color
n. an adornment consisting of a strip of a contrasting color or material
n. a range of frequencies between two limits"
bandage,"n. a piece of soft material that covers and protects an injured part of the body
v. dress by covering or binding"
bandit,n. an armed thief who is (usually) a member of a band
bang,"n. a sudden very loud noise
n. a border of hair that is cut short and hangs across the forehead
n. the swift release of a store of affective force
v. to produce a sharp often metallic explosive or percussive sound"
banister,n a railing at the side of a staircase or balcony to prevent people from falling
bank,"n. sloping land (especially the slope beside a body of water)
n. a long ridge or pile
n. an arrangement of similar objects in a row or in tiers
n. a supply or stock held in reserve for future use (especially in emergencies)"
banker,"n. a financier who owns or is an executive in a bank
n. the person in charge of the bank in a gambling game"
banking,"n. engaging in the business of keeping money for savings and checking accounts or for exchange or for issuing loans and credit etc.
n. transacting business with a bank; depositing or withdrawing funds or requesting a loan etc."
bankrupt,"n. someone who has insufficient assets to cover their debts
v. reduce to bankruptcy
s. financially ruined"
bankruptcy,"n. a state of complete lack of some abstract property
n. inability to discharge all your debts as they come due
n. a legal process intended to insure equality among the creditors of a corporation declared to be insolvent"
banner,"n. long strip of cloth or paper used for decoration or advertising
s. unusually good; outstanding"
banquet,"n. a ceremonial dinner party for many people
n. a meal that is well prepared and greatly enjoyed"
baptism,n. a Christian sacrament signifying spiritual cleansing and rebirth
baptize,v. administer baptism to
bar,"n. a counter where you can obtain food or drink
n. a rigid piece of metal or wood; usually used as a fastening or obstruction or weapon
n. an obstruction (usually metal) placed at the top of a goal
n. (meteorology) a unit of pressure equal to a million dynes per square centimeter"
barbarian,s. without civilizing influences
barbaric,s. unrestrained and crudely rich
barbarous,"s. (of persons or their actions) able or disposed to inflict pain or suffering
s. primitive in customs and culture"
barbecue,"n. meat that has been barbecued or grilled in a highly seasoned sauce
n. a cookout in which food is cooked over an open fire; especially a whole animal carcass roasted on a spit
n. a rack to hold meat for cooking over hot charcoal usually out of doors"
barber,"n. United States composer (1910-1981)
n. a hairdresser who cuts hair and shaves beards as a trade
v. perform the services of a barber: cut the hair and/or beard of"
bare,"v. lay bare
s. completely unclothed
s. lacking in amplitude or quantity
a. lacking its natural or customary covering"
barely,r. only a very short time before
bargain,"n. an agreement between parties (usually arrived at after discussion) fixing obligations of each
n. an advantageous purchase
v. come to terms; arrive at an agreement"
barge,"n. a flatbottom boat for carrying heavy loads (especially on canals)
v. push one's way
v. transport by barge on a body of water"
bark,"n. tough protective covering of the woody stems and roots of trees and other woody plants
n. a noise resembling the bark of a dog
n. a sailing ship with 3 (or more) masts
n. the sound made by a dog"
barley,"n. a grain of barley
n. cultivated since prehistoric times; grown for forage and grain"
barn,"n. an outlying farm building for storing grain or animal feed and housing farm animals
n. (physics) a unit of nuclear cross section; the effective circular area that one particle presents to another as a target for an encounter"
barometre,none
barometer,n. an instrument that measures atmospheric pressure
baron,"n. a nobleman (in various countries) of varying rank
n. a British peer of the lowest rank
n. a very wealthy or powerful businessman"
barracks,"n a building or group of buildings used to house military personnel
v lodge in barracks
v spur on or encourage especially by cheers and shouts
v laugh at with contempt and derision"
barrel,"n. a tube through which a bullet travels when a gun is fired
n. a cylindrical container that holds liquids
n. a bulging cylindrical shape; hollow with flat ends
n. the quantity that a barrel (of any size) will hold"
barren,"n. an uninhabited wilderness that is worthless for cultivation
s. not bearing offspring
s. completely wanting or lacking"
barrier,"n. a structure or object that impedes free movement
n. any condition that makes it difficult to make progress or to achieve an objective
n. anything serving to maintain separation by obstructing vision or access"
base,"n. installation from which a military force initiates operations
n. a place that the runner must touch before scoring
n. the bottom or lowest part
n. (anatomy) the part of an organ nearest its point of attachment"
baseball,"n. a ball game played with a bat and ball between two teams of nine players; teams take turns at bat trying to score runs
n. a ball used in playing baseball"
basement,"n. the lowermost portion of a structure partly or wholly below ground level; often used for storage
n. the ground floor facade or interior in Renaissance architecture"
basic,"n. a popular programming language that is relatively easy to learn; an acronym for beginner's all-purpose symbolic instruction code; no longer in general use
n. (usually plural) a necessary commodity for which demand is constant
a. pertaining to or constituting a base or basis
s. reduced to the simplest and most significant form possible without loss of generality"
basically,r. in essence; at bottom or by one's (or its) very nature
basics,n. a statement of fundamental facts or principles
basin,"n. a bowl-shaped vessel; usually used for holding food or liquids
n. the quantity that a basin will hold
n. a natural depression in the surface of the land often with a lake at the bottom of it"
basis,"n. the fundamental assumptions from which something is begun or developed or calculated or explained
n. the most important or necessary part of something"
basket,"n. a container that is usually woven and has handles
n. the quantity contained in a basket
n. horizontal circular metal hoop supporting a net through which players try to throw the basketball
n. a score in basketball made by throwing the ball through the hoop"
basketball,"n. a game played on a court by two opposing teams of 5 players; points are scored by throwing the ball through an elevated horizontal hoop
n. an inflated ball used in playing basketball"
bass,"n. the lowest part of the musical range
n. the lowest part in polyphonic music
n. an adult male singer with the lowest voice
n. the lowest adult male singing voice"
bastard,"n. the illegitimate offspring of unmarried parents
n. derogatory term for a variation that is not genuine; something irregular or inferior or of dubious origin"
bat,"n. nocturnal mouselike mammal with forelimbs modified to form membranous wings and anatomical adaptations for echolocation by which they navigate
n. (baseball) a turn trying to get a hit
n. a club used for hitting a ball in various games
v. strike with, or as if with a baseball bat"
