accustom,v make psychologically or physically used (to something)
survive,"v. continue to live through hardship or adversity
v. continue in existence after (an adversity, etc.)"
accurate,"a. conforming exactly or almost exactly to fact or to a standard or performing with total accuracy
s. (of ideas, images, representations, expressions) characterized by perfect conformity to fact or truth; strictly correct"
approximate,"v. be close or similar
s. not quite exact or correct
s. very close in resemblance
s. located close together"
course,"n. education imparted in a series of lessons or meetings
n. a connected series of events or actions or developments
n. general line of orientation
n. a mode of action"
depart,"v. leave
v. go away or leave"
despair,"n. a state in which all hope is lost or absent
n. the feeling that everything is wrong and nothing will turn out well
v. abandon hope; give up hope; lose heart"
destination,n. the ultimate goal for which something is done
deteriorate,v. become worse or disintegrate
gale,n. a strong wind moving 45-90 knots; force 7 to 10 on Beaufort scale
horizon,"n. the line at which the sky and Earth appear to meet
n. the range of interest or activity that can be anticipated
n. a specific layer or stratum of soil or subsoil in a vertical cross section of land
n. the great circle on the celestial sphere whose plane passes through the sensible horizon and the center of the Earth"
jubilation,"n a feeling of extreme joy
n a joyful occasion for special festivities to mark some happy event
n the utterance of sounds expressing great joy"
navigate,"v. act as the navigator in a car, plane, or vessel and plan, direct, plot the path and position of the conveyance
v. direct carefully and safely"
nostalgia,n. longing for something past
revive,"v. be brought back to life, consciousness, or strength
v. restore from a depressed, inactive, or unused state"
sever,v. set or keep apart
voyage,"n. a journey to some distant place
v. travel on water propelled by wind or by other means"
avalanche,"n. a slide of large masses of snow and ice and mud down a mountain
n. a sudden appearance of an overwhelming number of things
v. gather into a huge mass and roll down a mountain, of snow"
blizzard,n. a storm with widespread snowfall accompanied by strong winds
challenge,"n. a demanding or stimulating situation
n. a call to engage in a contest or fight
n. questioning a statement and demanding an explanation
n. a formal objection to the selection of a particular person as a juror"
conquer,v. overcome by conquest
crevice,n. a long narrow depression in a surface
foolhardy,s. marked by defiant disregard for danger or consequences
lure,n. qualities that attract by seeming to promise some kind of reward
makeshift,n. something contrived to meet an urgent need or emergency
optimist,n. a person disposed to take a favorable view of things
previous,"s. just preceding something else in time or order
s. too soon or too hasty"
route,"v. send documents or materials to appropriate destinations
v. send via a specific route
v. divert in a specified direction"
summit,"n. a meeting of heads of governments
v. reach the summit (of a mountain)"
terse,"s brief and to the point; effectively cut short; `yes'"""
thwart,"n. a crosspiece spreading the gunnels of a boat; used as a seat in a rowboat
v. hinder or prevent (the efforts, plans, or desires) of"
vertical,"n. something that is oriented vertically
a. at right angles to the plane of the horizon or a base line
a. relating to or involving all stages of a business from production to distribution
s. of or relating to different levels in a hierarchy (as levels of social class or income group)"
abolish,v. do away with
agony,"n. intense feelings of suffering; acute mental or physical pain
n. a state of acute pain"
catapult,"n. a device that launches aircraft from a warship
n. an engine that provided medieval artillery used during sieges; a heavy war engine for hurling large stones and other missiles
v. shoot forth or launch, as if from a catapult"
character,"n. the inherent complex of attributes that determines a persons moral and ethical actions and reactions
n. an actor's portrayal of someone in a play
n. a person of a specified kind (usually with many eccentricities)
n. good repute"
denounce,"v. speak out against
v. announce the termination of, as of treaties
v. give away information about somebody"
escalate,v. increase in extent or intensity
grim,s. not to be placated or appeased or moved by entreaty
harbor,"n. a place of refuge and comfort and security
v. maintain (a theory, thoughts, or feelings)
v. secretly shelter (as of fugitives or criminals)"
inflict,v. impose something unpleasant
loathe,v find repugnant
meddle,v. intrude in other people's affairs or business; interfere unwantedly
monstrous,s. abnormally large
rouse,"v become active
v force or drive out
v cause to be agitated, excited, or roused
v cause to become awake or conscious"
steadfast,s. firm and dependable especially in loyalty
translate,"v. restate (words) from one language into another language
v. change from one form or medium into another
v. bring to a certain spiritual state
v. change the position of (figures or bodies) in space without rotation"
colony,"n. a body of people who settle far from home but maintain ties with their homeland; inhabitants remain nationals of their home state but are not literally under the home state's system of government
n. a group of organisms of the same type living or growing together
n. one of the 13 British colonies that formed the original states of the United States
n. a place where a group of people with the same interest or occupation are concentrated"
compensate,"v. adjust for
v. make amends for; pay compensation for
v. make payment to; compensate"
deposit,"n. the phenomenon of sediment or gravel accumulating
n. money deposited in a bank or some similar institution
n. money given as security for an article acquired for temporary use
n. a payment given as a guarantee that an obligation will be met"
fascinate,"v. to render motionless, as with a fixed stare or by arousing terror or awe"
feeble,"s. pathetically lacking in force or effectiveness
s. lacking strength"
formal,"a. being in accord with established forms and conventions and requirements (as e.g. of formal dress)
s. characteristic of or befitting a person in authority
a. (of spoken and written language) adhering to traditional standards of correctness and without casual, contracted, and colloquial forms
s. logically deductive"
frigid,s. devoid of warmth and cordiality; expressive of unfriendliness or disdain
harsh,"s. unpleasantly stern
s. disagreeable to the senses
s. unkind or cruel or uncivil
s. severe"
huddle,"n. (informal) a quick private conference
n. a disorganized and densely packed crowd
v. crowd or draw together
v. crouch or curl up"
remote,"n a device that can be used to control a machine or apparatus from a distance
s located far away spatially
s very unlikely
s separate or apart in time
s inaccessible and sparsely populated; 
a far apart in relevance or relationship or kinship"
resemble,v. appear like; be similar or bear a likeness to
rigid,"s. incapable of or resistant to bending
s. incapable of compromise or flexibility
a. designating an airship or dirigible having a form maintained by a stiff unyielding frame or structure"
solitary,"n confinement of a prisoner in isolation from other prisoners
n one who lives in solitude
s characterized by or preferring solitude
s of plants and animals; not growing or living in groups or colonies
s lacking companions or companionship
s being the only one; single and isolated from others
s devoid of creatures"
substantial,"s. having a firm basis in reality and being therefore important, meaningful, or considerable
a. having substance or capable of being treated as fact; not imaginary"
waddle,n. walking with short steps and the weight tilting from one foot to the other
assemble,"v. create by putting components or members together
v. get people together"
banquet,"n. a ceremonial dinner party for many people
n. a meal that is well prepared and greatly enjoyed"
cargo,n. goods carried by a large vehicle
cask,n. the quantity a cask will hold
celebrate,v. have a celebration
decrease,"n. a change downward
n. a process of becoming smaller or shorter
n. the amount by which something decreases
n. the act of decreasing or reducing something"
desperate,"n. a person who is frightened and in need of help
s. desperately determined
s. (of persons) dangerously reckless or violent as from urgency or despair
s. showing extreme courage; especially of actions courageously undertaken in desperation as a last resort"
edible,a. suitable for use as food
frivolous,a. not serious in content or attitude or behavior
harvest,"n. the consequence of an effort or activity
n. the gathering of a ripened crop
n. the season for gathering crops
v. remove from a culture or a living or dead body, as for the purposes of transplantation"
hew,"v. make or shape as with an axe
v. strike with an axe; cut down, strike"
hostile,"n. troops belonging to the enemy's military forces
a. characterized by enmity or ill will
a. not belonging to your own country's forces or those of an ally
s. impossible to bring into friendly accord"
pledge,"n. a deposit of personal property as security for a debt
n. someone accepted for membership but not yet fully admitted to the group
n. a drink in honor of or to the health of a person or event
v. promise solemnly and formally"
prosper,v make steady progress; be at the high point in one's career or reach a high point in historical significance or importance
task,v. assign a task to
absurd,"n. a situation in which life seems irrational and meaningless
s. inconsistent with reason or logic or common sense
s. incongruous; inviting ridicule"
accomplish,"v put in effect
v to gain with effort"
ascend,"v. travel up, ""We ascended the mountain""
v. go back in order of genealogical succession
v. become king or queen
v. appear to be moving upward, as by means of tendrils"
dense,"s. permitting little if any light to pass through because of denseness of matter
s. hard to pass through because of dense growth
s. having high relative density or specific gravity
s. slow to learn or understand; lacking intellectual acuity"
experiment,"n. the act of conducting a controlled test or investigation
n. the testing of an idea
n. a venture at something new or different
v. to conduct a test or investigation"
flimsy,"s. lacking solidity or strength
s. lacking substance or significance; a fragile claim to fame"""
heroic,"a. relating to or characteristic of heroes of antiquity
s. having or displaying qualities appropriate for heroes"
lumber,"n. the wood of trees cut and prepared for use as building material
v. move heavily or clumsily"
mimic,"n. someone who mimics (especially an actor or actress)
v. imitate (a person or manner), especially for satirical effect
s. constituting an imitation"
significant,"a. important in effect or meaning
s. fairly large
a. too closely correlated to be attributed to chance and therefore indicating a systematic relation"
soar,"n. the act of rising upward into the air
v. rise rapidly
v. fly upwards or high in the sky
v. go or move upward"
spectator,n. a close observer; someone who looks at something (such as an exhibition of some kind)
suspend,"v. hang freely
v. cause to be held in suspension in a fluid
v. bar temporarily; from school, office, etc.
v. make inoperative or stop"
terminate,"v bring to an end or halt
v have an end, in a temporal, spatial, or quantitative sense; either spatial or metaphorical
v be the end of; be the last or concluding part of
v terminate the employment of; discharge from an office or position"
unwieldy,"a. difficult to use or handle or manage because of size or weight or shape
s. difficult to work or manipulate"
available,"a. obtainable or accessible and ready for use or service
s. not busy; not otherwise committed
s. convenient for use or disposal"
bondage,"n. the state of being under the control of a force or influence or abstract power
n. the state of being under the control of another person
n. sexual practice that involves physically restraining (by cords or handcuffs) one of the partners"
donate,v. give to a charity or good cause
establish,"v. set up or found
v. set up or lay the groundwork for
v. bring about
v. use as a basis for; found on"
evade,"v. practice evasion
v. use cunning or deceit to escape or avoid"
liberate,v. grant freedom to
numerous,s. amounting to a large indefinite number
occasion,"n. reason
n. the time of a particular event
n. an opportunity to do something
v. give occasion to"
oppose,"v. be against; express opposition to
v. contrast with equal weight or force
v. be resistant to"
prohibit,v command against
pursue,"v. follow in or as if in pursuit
v. carry further or advance"
reassure,"v. cause to feel sure; give reassurance to
v. give or restore confidence in; cause to feel sure or certain"
reluctant,"s. disinclined to become involved
s. not eager"
superior,"n. one of greater rank or station or quality
n. the head of a religious community
n. a town in northwest Wisconsin on Lake Superior across from Duluth
a. of high or superior quality or performance"
yearn,v. have affection for; feel tenderness for
accelerate,"v. move faster
v. cause to move faster"
altitude,"n. elevation especially above sea level or above the earth's surface
n. the perpendicular distance from the base of a geometric figure to the opposite vertex (or side if parallel)"
anxious,"s. eagerly desirous
s. causing or fraught with or showing anxiety"
brace,"n. a support that steadies or strengthens something else
n. either of two punctuation marks ({ or }) used to enclose textual material
n. a rope on a square-rigged ship that is used to swing a yard about and secure it
n. elastic straps that hold trousers up (usually used in the plural)"
confident,"a. having or marked by confidence or assurance
s. not liable to error in judgment or action"
contact,"n. close interaction
n. the act of touching physically
n. the state or condition of touching or of being in immediate proximity
n. the physical coming together of two or more things"
exult,v. feel extreme happiness or elation
hangar,n a large structure at an airport where aircraft can be stored and maintained
maximum,"n. the largest possible quantity
n. the point on a curve where the tangent changes from positive on the left to negative on the right"
methodical,s. characterized by method and orderliness
nonchalant,s marked by blithe unconcern
proceed,"v. move ahead; travel onward in time or space
v. follow a certain course"
saunter,n. a careless leisurely gait
solo,"n. any activity that is performed alone without assistance
n. a musical composition for one voice or instrument (with or without accompaniment)
n. a flight in which the aircraft pilot is unaccompanied
v. fly alone, without a co-pilot or passengers"
stall,"n. a compartment in a stable where a single animal is confined and fed
n. a booth where articles are displayed for sale
n. a malfunction in the flight of an aircraft in which there is a sudden loss of lift that results in a downward plunge
n. seating in the forward part of the main level of a theater"
convalesce,v get over an illness or shock
dedicate,"v. open to public use, as of a highway, park, or building
v. inscribe or address by way of compliment
v. set apart to sacred uses with solemn rites, of a church"
dictate,"n. an authoritative rule
n. a guiding principle
v. say out loud for the purpose of recording
v. rule as a dictator"
exasperate,"v exasperate or irritate
v make furious
v make worse"
notable,"n a celebrity who is an inspiration to others
s worthy of notice
s widely known and esteemed"
overdue,s past due; not paid at the scheduled time
overthrow,"n. the termination of a ruler or institution (especially by force)
v. cause the downfall of; of rulers"
penetrate,"v. pass into or through, often by overcoming resistance
v. come to understand
v. make one's way deeper into or through
v. insert the penis into the vagina or anus of"
portrait,"n. any likeness of a person, in any medium"
rebel,"n. `Johnny' was applied as a nickname for Confederate soldiers by the Federal soldiers in the American Civil War; `greyback' derived from their grey Confederate uniforms
v. take part in a rebellion; renounce a former allegiance
v. break with established customs"
restrict,"v. place restrictions on
v. place under restrictions; limit access to
v. place limits on (extent or access)"
seldom,r not often
stimulate,"v. act as a stimulant
v. stir the feelings, emotions, or peace of
v. cause to be alert and energetic
v. stir feelings in"
tempest,n. (literary) a violent wind
upbringing,n. properties acquired during a person's formative years
accommodate,"v. provide with something desired or needed
v. have room for; hold without crowding
v. make (one thing) compatible with (another)"
aggressive,"a. having or showing determination and energetic pursuit of your ends; positive in his convictions""
s. tending to spread quickly
s. characteristic of an enemy or one eager to fight"
bask,v. be exposed
carcass,n the dead body of an animal especially one slaughtered and dressed for food
conceal,v. hold back; keep from being perceived by others
flail,"n. an implement consisting of handle with a free swinging stick at the end; used in manual threshing
v. move like a flail; thresh about"
gorge,"n. a deep ravine (usually with a river running through it)
v. overeat or eat immodestly; make a pig of oneself"
morsel,"n. a small quantity of anything
n. a small amount of solid food; a mouthful"
protrude,"v extend out or project in space
v bulge outward
v swell or protrude outwards"
ripple,"n. a small wave on the surface of a liquid
n. (electronics) an oscillation of small amplitude imposed on top of a steady value
v. stir up (water) so as to form ripples
v. flow in an irregular current with a bubbling noise"
slither,v. to pass or move unobtrusively or smoothly
sluggish,s. moving slowly
snout,"n. a long projecting or anterior elongation of an animal's head; especially the nose
n. beaklike projection of the anterior part of the head of certain insects such as e.g. weevils"
taper,"n. a convex shape that narrows toward a point
n. the property possessed by a shape that narrows toward a point (as a wedge or cone)
v. diminish gradually"
visible,"a. capable of being seen; or open to easy view
s. obvious to the eye
s. present and easily available"
access,"n. the right to obtain or make use of or take advantage of something (as services or membership)
n. a way of entering or leaving
n. a code (a series of characters or digits) that must be entered in some way (typed or dialed or spoken) to get the use of something (a telephone line or a computer or a local area network etc.)
n. (computer science) the operation of reading or writing stored information"
associate,"n. a person who joins with others in some activity or endeavor
n. a person with subordinate membership in a society, institution, or commercial enterprise
n. any event that usually accompanies or is closely connected with another
v. make a logical or causal connection"
boisterous,"s. noisy and lacking in restraint or discipline
s. full of rough and exuberant animal spirits
s. violently agitated and turbulent"
brilliant,"s. of surpassing excellence
s. characterized by grandeur
s. full of light; shining intensely"
decade,n. a period of 10 years
delicate,"a. exquisitely fine and subtle and pleasing; susceptible to injury
s. marked by great skill especially in meticulous technique
s. easily broken or damaged or destroyed
s. easily hurt"
employ,"n the state of being employed or having a job
v put into service; make work or employ for a particular purpose or for its inherent or natural purpose
v engage or hire for work"
idle,"n. the state of an engine or other mechanism that is idling
v. run disconnected or idle
v. be idle; exist in a changeless situation
a. not in action or at work"
illuminate,v. add embellishments and paintings to (medieval manuscripts)
provide,"v. give what is desired or needed, especially support, food or sustenance
v. determine (what is to happen in certain contingencies), especially by including a proviso condition or stipulation
v. supply means of subsistence; earn a living
v. take measures in preparation for"
require,"v require as useful, just, or proper
v consider obligatory; request and expect
v make someone do something
v have need of"
taunt,"n aggravation by deriding or mocking or criticizing
v harass with persistent criticism or carping"
tolerant,"a. showing respect for the rights or opinions or practices of others
s. able to tolerate environmental conditions or physiological stress
s. showing the capacity for endurance"
transform,"v. subject to a mathematical transformation
v. change or alter in form, appearance, or nature
v. change in outward structure or looks
v. convert (one form of energy) to another"
wilderness,"n. (politics) a state of disfavor
n. a wooded region in northeastern Virginia near Spotsylvania where bloody but inconclusive battles were fought in the American Civil War
n. a wild and uninhabited area left in its natural condition
n. a bewildering profusion"
disaster,n. an act that has disastrous consequences
flee,v. run away quickly
fracture,"n. breaking of hard tissue such as bone
n. the act of cracking something
v. violate or abuse
v. interrupt, break, or destroy"
immense,s unusually great in size or amount or degree or especially extent or scope
intense,"a. possessing or displaying a distinctive feature to a heightened degree
s. (of color) having the highest saturation"
investigate,"v. investigate scientifically
v. conduct an inquiry or investigation of"
lurch,"n. an unsteady uneven gait
n. a decisive defeat in a game (especially in cribbage)
n. abrupt up-and-down motion (as caused by a ship or other conveyance)
n. the act of moving forward suddenly"
major,"n. a commissioned military officer in the United States Army or Air Force or Marines; below lieutenant colonel and above captain
n. British statesman who was prime minister from 1990 until 1997 (born in 1943)
n. a university student who is studying a particular field as the principal subject
n. the principal field of study of a student at a university"
minor,"a. of lesser importance or stature or rank
a. lesser in scope or effect
a. inferior in number or size or amount
a. of a scale or mode"
petrify,v. cause to become stonelike or stiff or dazed and stunned
predict,v. make a prediction about; tell in advance
prone,"s. having a tendency (to); often used in combination
s. lying face downward"
sparse,s. not dense
topple,v. cause to topple or tumble by pushing
urban,"a. relating to or concerned with a city or densely populated area
a. located in or characteristic of a city or city life"
abdicate,"v. give up, such as power, as of monarchs and emperors, or duties and obligations"
assume,"v. take to be the case or to be true; accept without verification or proof
v. take on titles, offices, duties, responsibilities
v. take on a certain form, attribute, or aspect
v. occupy or take on"
bungle,v. spoil by behaving clumsily or foolishly
dominate,"v. be in control
v. have dominance or the power to defeat over
v. look down on"
former,"n. the first of two or the first mentioned of two
a. referring to the first of two things or persons mentioned (or the earlier one or ones of several); I prefer the former version to the latter one""
s. (used especially of persons) of the immediate past"
guardian,n a person who cares for persons or property
hoist,"n. lifting device for raising heavy or cumbersome objects
v. raise or haul up with or as if with mechanical help
v. move from one place to another by lifting
v. raise"
intercept,"n. the point at which a line intersects a coordinate axis
v. seize on its way"
jubilee,n. a special anniversary (or the celebration of it)
kin,"n. a person having kinship with another or others
n. group of people related by blood or marriage"
pardon,"n. a warrant granting release from punishment for an offense
v. grant a pardon to"
proclaim,"v. declare formally; declare someone to be something; of titles
v. state or announce"
provoke,"v. evoke or provoke to appear or occur
v. provide the needed stimulus for"
reign,"n. a period during which something or somebody is dominant or powerful
n. the period during which a monarch is sovereign
n. royal authority; the dominion of a monarch
v. have sovereign power"
riot,"n. a public act of violence by an unruly mob
v. take part in a riot; disturb the public peace by engaging in a riot"
afflict,"v. cause great unhappiness for; distress
v. cause physical pain or suffering in"
barren,"n. an uninhabited wilderness that is worthless for cultivation
s. not bearing offspring
s. completely wanting or lacking"
consist,"v. have its essential character; be comprised or contained in; be embodied in
v. be consistent in form, tenor, or character; be congruous
v. be composed of"
drought,"n. a shortage of rainfall
n. a prolonged shortage"
erode,"v. become ground down or deteriorate
v. remove soil or rock"
expand,"v. extend in one or more directions
v. become larger in size or volume or quantity
v. make bigger or wider in size, volume, or quantity"
famine,n. a severe shortage of food (as through crop failure) resulting in violent hunger and starvation and death
fertile,a. capable of reproducing
oasis,n. a fertile tract in a desert (where the water table approaches the surface)
pasture,n. a field covered with grass or herbage and suitable for grazing by livestock
primitive,"n. a person who belongs to an early stage of civilization
n. a mathematical expression from which another expression is derived
n. a word serving as the basis for inflected or derived forms
s. used of preliterate or tribal or nonindustrial societies"
refuge,n. a shelter from danger or hardship
revert,"v. go back to a previous state
v. undergo reversion, as in a mutation"
teem,"v. be teeming, be abuzz"
wither,"v wither, as with a loss of moisture
v lose freshness, vigor, or vitality"
animated,"a. having life or vigor or spirit
s. made to appear to move as living creatures do"
betray,"v. reveal unintentionally
v. deliver to an enemy by treachery"
convince,"v make (someone) agree, understand, or realize the truth or validity of something"
decline,"n. change toward something smaller or lower
n. a condition inferior to an earlier condition; a gradual falling off from a better state
v. grow smaller
v. go down"
hilarious,s. marked by or causing boisterous merriment or convulsive laughter
likeness,"n. similarity in appearance or character or nature between persons or things
n. picture consisting of a graphic image of a person or thing"
meager,a. deficient in amount or quality or extent
mischief,n. reckless or malicious behavior that causes discomfort or annoyance in others
negotiate,"v. succeed in passing through, around, or over"
obsolete,s no longer in use
retain,"v. hold back within
v. allow to remain in a place or position or maintain a property or feature
v. secure and keep for possible future use or application
v. keep in one's mind"
sensation,"n. an unelaborated elementary awareness of stimulation
n. a general feeling of excitement and heightened interest
n. a state of widespread public excitement and interest"
somber,s. grave or even gloomy in character
subsequent,a. following in time or order
vow,"n. a solemn pledge (to oneself or to another or to a deity) to do something or to behave in a certain manner
v. make a vow; promise
v. dedicate to a deity by a vow"
dormant,"s. in a condition of biological rest or suspended animation
a. (of e.g. volcanos) not erupting and not extinct
s. lying with head on paws as if sleeping"
elegant,"a. refined and tasteful in appearance or behavior or style
s. suggesting taste, ease, and wealth
s. displaying effortless beauty and simplicity in movement or execution"
erupt,"v. start abruptly
v. erupt or intensify suddenly
v. start to burn or burst into flames
v. break out"
excavate,"v. recover through digging
v. find by digging in the ground
v. form by hollowing
v. remove the inner part or the core of"
expel,v. force to leave or move out
fume,"v. be mad, angry, or furious
v. emit a cloud of fine particles"
molten,s. reduced to liquid form by heating
painstaking,s characterized by extreme care and great effort
perish,v pass from physical life and lose all bodily attributes and functions necessary to sustain life
population,"n. the people who inhabit a territory or state
n. a group of organisms of the same species inhabiting a given area
n. (statistics) the entire aggregation of items from which samples can be drawn
n. the number of inhabitants (either the total number or the number of a particular race or class) in a given place (country or city etc.)"
prelude,"n. music that precedes a fugue or introduces an act in an opera
v. serve as a prelude or opening to
v. play as a prelude"
scald,"n. a burn cause by hot liquid or steam
n. the act of burning with steam or hot water
v. treat with boiling water"
stupendous,s so great in size or force or extent as to elicit awe
suffocate,"v. impair the respiration of or obstruct the air passage of
v. become stultified, suppressed, or stifled
v. suppress the development, creativity, or imagination of
v. be asphyxiated; die from lack of oxygen"
tremor,"n. an involuntary vibration (as if from illness or fear)
n. a small earthquake
n. shaking or trembling (usually resulting from weakness or stress or disease)
v. shake with seismic vibrations"
ample,"a. more than enough in size or scope or capacity
s. affording an abundant supply
s. fairly large"
burden,"n. an onerous or difficult concern
n. the central idea that is expanded in a document or discourse
v. weight down with a load"
compassion,"n. a deep awareness of and sympathy for another's suffering
n. the humane quality of understanding the suffering of others and wanting to do something about it"
comply,"v. act in accordance with someone's rules, commands, or wishes"
cumbersome,s. difficult to handle or use especially because of size or weight
distress,"n. psychological suffering
n. a state of adversity (danger or affliction or need)
n. extreme physical pain
n. the seizure and holding of property as security for payment of a debt or satisfaction of a claim"
encounter,n. a casual meeting with a person or thing
exert,"v. put to use
v. make a great effort at a mental or physical task"
indignant,s. angered at something unjust or wrong
jest,n. activity characterized by good humor
mirth,n great merriment
moral,"n. the significance of a story or event
a. concerned with principles of right and wrong or conforming to standards of behavior and character based on those principles
s. psychological rather than physical or tangible in effect"
outskirts,n. outlying areas (as of a city or town)
resume,"v. take up or begin anew
v. return to a previous location or condition
v. assume anew"
ridicule,"n. language or behavior intended to mock or humiliate
v. subject to laughter or ridicule"
