dear,"s. with or in a close or intimate relationship
s. earnest"
water,"n. binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent
n. once thought to be one of four elements composing the universe (Empedocles)
n. a liquid necessary for the life of most animals and plants
v. supply with water, as with channels or ditches or streams"
watermelon,"n. an African melon
n. large oblong or roundish melon with a hard green rind and sweet watery red or occasionally yellowish pulp"
carried,"v move while supporting, either in a vehicle or in one's hands or on one's body
v have with oneself; have on one's person
v transmit or serve as the medium for transmission
v serve as a means for expressing something
v bear or be able to bear the weight, pressure,or responsibility of
v support or hold in a certain manner
v contain or hold; have within
v extend to a certain degree
v continue or extend
v be necessarily associated with or result in or involve
v win in an election
v include, as on a list
v behave in a certain manner
v have on hand
v include as the content; broadcast or publicize
v propel, ""Carry the ball""
v pass on a communication
v have as an inherent or characteristic feature or have as a consequence
v be conveyed over a certain distance
v keep up with financial support
v have or possess something abstract
v be equipped with (a mast or sail)
v win approval or support for
v compensate for a weaker partner or member by one's own performance
v take further or advance
v have on the surface or on the skin
v capture after a fight
v transfer (entries) from one account book to another
v transfer (a number, cipher, or remainder) to the next column or unit's place before or after, in addition or multiplication
v pursue a line of scent or be a bearer
v bear (a crop)
v propel or give impetus to
v drink alcohol without showing ill effects
v be able to feed
v have a certain range
v cover a certain distance or advance beyond
v secure the passage or adoption (of bills and motions)
v be successful in
v sing or play against other voices or parts
v be pregnant with"
bump,"n. a lump on the body caused by a blow
v. knock against with force or violence
v. dance erotically or dance with the pelvis thrust forward"
hurt,"v. give trouble or pain to
v. cause damage or affect negatively
v. hurt the feelings of
v. feel physical pain"
knee,"n. hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella
n. the part of a trouser leg that provides the cloth covering for the knee"
cut,"n. a share of the profits
n. (film) an immediate transition from one shot to the next
n. a trench resembling a furrow that was made by erosion or excavation
n. a step on some scale"
finger,"n. any of the terminal members of the hand (sometimes excepting the thumb)
n. the length of breadth of a finger used as a linear measure
n. one of the parts of a glove that provides covering for a finger or thumb
v. feel or handle with the fingers"
early,"a. at or near the beginning of a period of time or course of events or before the usual or expected time
a. being or occurring at an early stage of development
s. belonging to the distant past
s. very young"
every,"s. (used of count nouns) each and all of the members of a group considered singly and without exception
s. each and all of a series of entities or intervals as specified"
during,"prep. In the time of; as long as the action or existence of;
   as, during life; during the space of a year."
computer game,none
take,"n. the act of photographing a scene or part of a scene without interruption
v. carry out
v. require (time or space)
v. get into one's hands, take physically"
medicine,"n. the branches of medical science that deal with nonsurgical techniques
n. (medicine) something that treats or prevents or alleviates the symptoms of disease
n. the learned profession that is mastered by graduate training in a medical school and that is devoted to preventing or alleviating or curing diseases and injuries"
a lot of,none
exercise,"n. the activity of exerting your muscles in various ways to keep fit
n. systematic training by multiple repetitions
n. a task performed or problem solved in order to develop skill or understanding
n. (usually plural) a ceremony that involves processions and speeches"
healthy,"a. having or indicating good health in body or mind; free from infirmity or disease
s. financially secure and functioning well
s. promoting health; healthful
s. exercising or showing good judgment"
juice,"n. the liquid part that can be extracted from plant or animal tissue by squeezing or cooking
n. energetic vitality
n. electric current
n. any of several liquids of the body"
before,"r earlier in time; previously
r at or in the front"
after,"s. located farther aft
r. behind or in the rear"
toilet,"n. a room or building equipped with one or more toilets
n. a plumbing fixture for defecation and urination
n. the act of dressing and preparing yourself"
