abatement,n. the act of abating
alienation,"n. the feeling of being alienated from other people
n. separation resulting from hostility
n. (law) the voluntary and absolute transfer of title and possession of real property from one person to another"
allegiance,n. the loyalty that citizens owe to their country (or subjects to their sovereign)
allegory,n. an expressive style that uses fictional characters and events to describe some subject by suggestive resemblances; an extended metaphor
allot,"v give out
v allow to have
v administer or bestow, as in small portions"
alloy,"n. a mixture containing two or more metallic elements or metallic and nonmetallic elements usually fused together or dissolving into each other when molten
v. make an alloy of"
allude,v. make a more or less disguised reference to
allure,n. the power to entice or attract through personal charm
allusion,n. passing reference or indirect mention
allusive,s. characterized by indirect references
ally,"n. a friendly nation
n. an associate who provides cooperation or assistance
v. become an ally or associate, as by a treaty or marriage"
aloof,"s. remote in manner
r. in an aloof manner"
also-ran,n a contestant who loses the contest
alternate,"v. go back and forth; swing back and forth between two states or conditions
v. exchange people temporarily to fulfill certain jobs and functions
v. do something in turns
s. every second one of a series"
alternative,"s. necessitating a choice between mutually exclusive possibilities
s. pertaining to unconventional choices"
altruism,n. the quality of unselfish concern for the welfare of others
amalgam,"n. an alloy of mercury with another metal (usually silver) used by dentists to fill cavities in teeth; except for iron and platinum all metals dissolve in mercury and chemists refer to the resulting mercury mixtures as amalgams
n. a combination or blend of diverse things"
amateur,"n. someone who pursues a study or sport as a pastime
n. an athlete who does not play for pay
s. engaged in as a pastime"
amaze,v. affect with wonder
ambidextrous,"a. equally skillful with each hand
s. marked by deliberate deceptiveness especially by pretending one set of feelings and acting under the influence of another"
ambiguity,"n. an expression whose meaning cannot be determined from its context
n. unclearness by virtue of having more than one meaning"
ambiguous,"a. having more than one possible meaning
s. having no intrinsic or objective meaning; not organized in conventional patterns"
ambitious,"a. having a strong desire for success or achievement
s. requiring full use of your abilities or resources"
ambivalent,s. uncertain or unable to decide about what course to follow
amble,"n. a leisurely walk (usually in some public place)
v. walk leisurely"
ameliorate,"v to make better
v get better"
amenable,"s. disposed or willing to comply
s. readily reacting to suggestions and influences
s. open to being acted upon in a certain way"
amend,v. make amendments to
amendment,"n. the act of amending or correcting
n. a statement that is added to or revises or improves a proposal or document (a bill or constitution etc.)"
amiability,"n a cheerful and agreeable mood
n a disposition to be friendly and approachable (easy to talk to)"
amicable,a. characterized by friendship and good will
amicably,r. in an amicable manner
amorphous,"s. having no definite form or distinct shape
s. lacking the system or structure characteristic of living bodies
s. without real or apparent crystalline form"
anachronistic,s chronologically misplaced
anaerobic,"a. living or active in the absence of free oxygen
a. not aerobic"
analogous,"s. similar or equivalent in some respects though otherwise dissimilar
a. corresponding in function but not in evolutionary origin"
anarchy,n. a state of lawlessness and disorder (usually resulting from a failure of government)
anathema,"n. a detested person
n. a formal ecclesiastical curse accompanied by excommunication"
anatomical,"n an expression that relates to anatomy
a of or relating to the structure of the body
a of or relating to the branch of morphology that studies the structure of organisms"
ancestor,n. someone from whom you are descended (but usually more remote than a grandparent)
ancestral,"s. inherited or inheritable by established rules (usually legal rules) of descent
a. of or belonging to or inherited from an ancestor"
anecdotal,a. having the character of an anecdote
angular,"a. measured by an angle or by the rate of change of an angle
a. having angles or an angular shape"
animated,"a. having life or vigor or spirit
s. made to appear to move as living creatures do"
animosity,n. a feeling of ill will arousing active hostility
annex,"n. an addition that extends a main building
v. take (territory) as if by conquest
v. attach to"
annotate,v. add explanatory notes to or supply with critical comments
anomalous,s. deviating from the general or common order or type
anomaly,"n. deviation from the normal or common order or form or rule
n. a person who is unusual
n. (astronomy) position of a planet as defined by its angular distance from its perihelion (as observed from the sun)"
antagonism,"n. the relation between opposing principles or forces or factors
n. an actively expressed feeling of dislike and hostility
n. (biochemistry) interference in or inhibition of the physiological action of a chemical substance by another having a similar structure"
antagonistic,"s. indicating opposition or resistance
s. characterized by antagonism or antipathy
a. arousing animosity or hostility"
antagonize,"v. provoke the hostility of
v. act in opposition to"
antecedent,"n. a preceding occurrence or cause or event
n. anything that precedes something similar in time
n. the referent of an anaphor; a phrase or clause that is referred to by an anaphoric pronoun"
antedate,"v be earlier in time; go back further
v establish something as being earlier relative to something else"
anterior,"a. of or near the head end or toward the front plane of a body
s. earlier in time"
antibiotic,"n. a chemical substance derivable from a mold or bacterium that can kill microorganisms and cure bacterial infections
a. of or relating to antibiotic drugs"
anticipatory,s. in anticipation
anticlimactic,"a. of or relating to a sudden change from an impressive to a ludicrous style
a. coming after the climax especially of a dramatic or narrative plot"
antidote,n. a remedy that stops or controls the effects of a poison
antipathy,"n. a feeling of intense dislike
n. the object of a feeling of intense aversion; something to be avoided"
antiquarianism,"n. Character of an antiquary; study or love of
   antiquities."
antiquated,"v make obsolete or old-fashioned
v give an antique appearance to
s so extremely old as seeming to belong to an earlier period"
antique,"n. any piece of furniture or decorative object or the like produced in a former period and valuable because of its beauty or rarity
v. shop for antiques
v. give an antique appearance to
s. made in or typical of earlier times and valued for its age"
antiquity,"n. the historic period preceding the Middle Ages in Europe
n. an artifact surviving from the past"
antiseptic,"n. a substance that destroys micro-organisms that carry disease without harming body tissues
a. thoroughly clean and free of or destructive to disease-causing organisms
s. clean and honest
s. freeing from error or corruption"
antithesis,"n. exact opposite
n. the juxtaposition of contrasting words or ideas to give a feeling of balance"
antithetical,s sharply contrasted in character or purpose
apathetic,"s. showing little or no emotion or animation
s. marked by a lack of interest; it is simply indifferent"""
apex,n. the point on the celestial sphere toward which the sun and solar system appear to be moving relative to the fixed stars
aphorism,n. a short pithy instructive saying
appall,"v strike with disgust or revulsion
v fill with apprehension or alarm; cause to be unpleasantly surprised"
apparition,"n. a ghostly appearing figure
n. the appearance of a ghostlike figure
n. something existing in perception only"
appease,"v cause to be more favorably inclined; gain the good will of
v overcome or allay
v make peace with"
appetizing,a. appealing to or stimulating the appetite especially in appearance or aroma
applaud,"v. clap one's hands or shout after performances to indicate approval
v. express approval of"
applicability,n. relevance by virtue of being applicable to the matter at hand
apply,"v. be pertinent or relevant or applicable
v. ask (for something)
v. refer (a word or name) to a person or thing
v. apply oneself to"
apportion,"v distribute according to a plan or set apart for a special purpose
v give out as one's portion or share"
apposite,s. being of striking appropriateness and pertinence
appreciate,"v. recognize with gratitude; be grateful for
v. be fully aware of; realize fully
v. gain in value
v. increase the value of"
appreciative,"s. feeling or expressive of gratitude
s. having or showing appreciation or a favorable critical judgment or opinion"
apprehensive,"s. quick to understand
s. mentally upset over possible misfortune or danger etc
s. in fear or dread of possible evil or harm"
apprise,"v inform (somebody) of something
v make aware of
v gain in value
v increase the value of"
approach,"n. ideas or actions intended to deal with a problem or situation
n. the act of drawing spatially closer to something
n. the event of one object coming closer to another
n. the temporal property of becoming nearer in time"
approaching,s. of the relatively near future
approbation,"n. official approval
n. official recognition or approval"
appropriate,"v. take possession of by force, as after an invasion
a. suitable for a particular person or place or condition etc"
approximate,"v. be close or similar
s. not quite exact or correct
s. very close in resemblance
s. located close together"
apropos,a. of an appropriate or pertinent nature
aptitude,n. inherent ability
aquatic,"n. a plant that lives in or on water
a. relating to or consisting of or being in water
a. operating or living or growing in water"
arable,s. (of farmland) capable of being farmed productively
arbiter,"n. someone with the power to settle matters at will
n. someone chosen to judge and decide a disputed issue"
arbitrary,a. based on or subject to individual discretion or preference or sometimes impulse or caprice
arboreal,"a. inhabiting or frequenting trees
s. resembling a tree in form and branching structure"
arcane,s. requiring secret or mysterious knowledge
archaeological,a. related to or dealing with or devoted to archaeology
archaic,s. little evolved from or characteristic of an earlier ancestral type
archetypally,"adv. With reference to the archetype; originally. ""Parts
   archetypally distinct."""
architect,n. someone who creates plans to be used in making something (such as buildings)
architectural,a. of or pertaining to the art and science of architecture
archive,"n. a depository containing historical records and documents
v. put into an archive"
arduous,"s. characterized by effort to the point of exhaustion; especially physical effort
s. taxing to the utmost; testing powers of endurance
s. difficult to accomplish; demanding considerable mental effort and skill"
argumentative,a. given to or characterized by argument
arid,"s. lacking sufficient water or rainfall
s. lacking vitality or spirit; lifeless"
aristocratic,s. belonging to or characteristic of the nobility or aristocracy
armored,"a. protected by armor (used of persons or things military)
a. used of animals; provided with protective covering
s. equipped with the complete arms and armor of a warrior"
aromatic,"a. (chemistry) of or relating to or containing one or more benzene rings
s. having a strong pleasant odor"
arresting,s. commanding attention
arrogant,s. having or showing feelings of unwarranted importance out of overbearing pride
articulate,"v. unite by forming a joint or joints
v. express or state clearly
a. expressing yourself easily or characterized by clear expressive language"
artisan,n a skilled worker who practices some trade or handicraft
artistry,n a superior skill that you can learn by study and practice and observation
artless,"a. simple and natural; without cunning or deceit
s. showing lack of art
s. (of persons) lacking art or knowledge"
ascent,n. an upward slope or grade (as in a road)
ascetic,"a. pertaining to or characteristic of an ascetic or the practice of rigorous self-discipline
s. practicing great self-denial"
asceticism,"n. the doctrine that through renunciation of worldly pleasures it is possible to achieve a high spiritual or intellectual state
n. rigorous self-denial and active self-restraint"
ascribe,v attribute or credit to
aseptic,s. free of or using methods to keep free of pathological microorganisms
aspect,"n. a distinct feature or element in a problem
n. a characteristic to be considered
n. the beginning or duration or completion or repetition of the action of a verb"
aspen,n. any of several trees of the genus Populus having leaves on flattened stalks so that they flutter in the lightest wind
aspiration,"n. a will to succeed
n. a manner of articulation involving an audible release of breath"
aspiring,"v have an ambitious plan or a lofty goal
s desiring or striving for recognition or advancement"
assail,v. attack someone physically or emotionally
assertion,n. a declaration that is made emphatically (as if no supporting evidence were necessary)
assertive,a. aggressively self-assured
assessment,"n. an amount determined as payable
n. the market value set on assets"
assiduous,s. marked by care and persistent effort
assimilate,"v. become similar to one's environment
v. make similar
v. take (gas, light or heat) into a solution
v. become similar in sound"
assorted,"s. consisting of a haphazard assortment of different kinds
s. of many different kinds purposefully arranged but lacking any uniformity"
assume,"v. take to be the case or to be true; accept without verification or proof
v. take on titles, offices, duties, responsibilities
v. take on a certain form, attribute, or aspect
v. occupy or take on"
assuming,"v take to be the case or to be true; accept without verification or proof
v take on titles, offices, duties, responsibilities
v take on a certain form, attribute, or aspect
v take on as one's own the expenses or debts of another person
v occupy or take on
v seize and take control without authority and possibly with force; take as one's right or possession
v make a pretence of
v take up someone's soul into heaven
v put clothing on one's body
s excessively forward"
assure,"v. inform positively and with certainty and confidence
v. assure somebody of the truth of something with the intention of giving the listener confidence"
assuredness,n great coolness and composure under strain
astigmatic,a. of or relating to a defect in the eye or in a lens caused by a deviation from spherical curvature which prevents light rays from meeting at a common focus and so results in distorted images
astound,v affect with wonder
astounding,s. bewildering or striking dumb with wonder
astray,r. away from the right path or direction
astronomical,"a relating or belonging to the science of astronomy
s inconceivably large"
astute,s. marked by practical hardheaded intelligence
asunder,s. widely separated especially in space
asymmetric,a characterized by asymmetry in the spatial arrangement or placement of parts or components
atheist,"n. someone who denies the existence of god
a. related to or characterized by or given to atheism"
atomic,"a. of or relating to or comprising atoms
s. immeasurably small"
atonement,n. compensation for a wrong
atrocity,"n. the quality of being shockingly cruel and inhumane
n. an act of atrocious cruelty"
atrophy,"n. a decrease in size of an organ caused by disease or disuse
n. any weakening or degeneration (especially through lack of use)
v. undergo atrophy"
attenuation,"n. weakening in force or intensity
n. the property of something that has been weakened or reduced in thickness or density"
attest,"v. provide evidence for; stand as proof of; show by one's behavior, attitude, or external attributes
v. authenticate, affirm to be true, genuine, or correct, as in an official capacity
v. establish or verify the usage of"
attribute,n. an abstraction belonging to or characteristic of an entity
attrition,"n. sorrow for sin arising from fear of damnation
n. a wearing down to weaken or destroy
n. the act of rubbing together; wearing something down by friction"
attune,v. adjust or accustom to; bring into harmony with
audacious,"s. invulnerable to fear or intimidation
s. unrestrained by convention or propriety
s. disposed to venture or take risks"
audible,"n. a football play is changed orally after both teams have assumed their positions at the line of scrimmage
a. heard or perceptible by the ear"
audience,"n. a gathering of spectators or listeners at a (usually public) performance
n. the part of the general public interested in a source of information or entertainment"
audit,"n. a methodical examination or review of a condition or situation
v. examine carefully for accuracy with the intent of verification
v. attend academic courses without getting credit"
augment,"v. enlarge or increase
v. grow or intensify"
auspices,n. kindly endorsement and guidance
auspicious,a. auguring favorable circumstances and good luck
austere,"s. severely simple
s. of a stern or strict bearing or demeanor; forbidding in aspect"
authentic,"s. conforming to fact and therefore worthy of belief
s. not counterfeit or copied"
authenticate,v. establish the authenticity of something
authoritative,"s. having authority or ascendancy or influence
s. of recognized authority or excellence
s. sanctioned by established authority"
autobiographical,"a. of or relating to or characteristic of an autobiographer
a. relating to or in the style of an autobiography"
autobiography,n. a biography of yourself
autograph,"n. something written by one's own hand
n. a person's own signature
v. mark with one's signature"
automated,s. operated by automation
automotive,"a. of or relating to motor vehicles
s. containing within itself the means of propulsion or movement"
autonomous,"s. (of political bodies) not controlled by outside forces
s. existing as an independent entity
s. (of persons) free from external control and constraint in e.g. action and judgment"
autonomy,"n. immunity from arbitrary exercise of authority: political independence
n. personal independence"
avarice,"n. reprehensible acquisitiveness; insatiable desire for wealth (personified as one of the deadly sins)
n. extreme greed for material wealth"
avaricious,s. immoderately desirous of acquiring e.g. wealth
averse,s (usually followed by `to') strongly opposed
avid,"s. (often followed by `for') ardently or excessively desirous
s. marked by active interest and enthusiasm"
avocational,a. of or involved in an avocation
avoid,"v. stay clear from; keep away from; keep out of the way of someone or something
v. refrain from doing something"
awe,"n. an overwhelming feeling of wonder or admiration
v. inspire awe in"
awe-inspiring,s inspiring awe or admiration or wonder
awe-struck,a. Struck with awe.
awkward,"s. causing inconvenience
a. lacking grace or skill in manner or movement or performance
s. difficult to handle or manage especially because of shape
s. not elegant or graceful in expression"
axiom,n. (logic) a proposition that is not susceptible of proof or disproof; its truth is assumed to be self-evident
bacterium,n (microbiology) single-celled or noncellular spherical or spiral or rod-shaped organisms lacking chlorophyll that reproduce by fission; important as pathogens and for biochemical properties; taxonomy is difficult; often considered to be plants
baffle,"n. a flat plate that controls or directs the flow of fluid or energy
v. check the emission of (sound)"
balk,"n. the area on a billiard table behind the balkline
n. an illegal pitching motion while runners are on base"
ballad,"n. a narrative song with a recurrent refrain
n. a narrative poem of popular origin"
balm,n. any of various aromatic resinous substances used for healing and soothing
balmy,"s. informal or slang terms for mentally irregular
s. mild and pleasant"
banal,s. repeated too often; overfamiliar through overuse
bane,n. something causing misery or death
banish,"v. expel from a community or group
v. ban from a place of residence, as for punishment
v. expel, as if by official decree
v. drive away"
banter,n. light teasing repartee
barbarous,"s. (of persons or their actions) able or disposed to inflict pain or suffering
s. primitive in customs and culture"
baroque,"n. the historic period from about 1600 until 1750 when the baroque style of art, architecture, and music flourished in Europe
n. elaborate and extensive ornamentation in decorative art and architecture that flourished in Europe in the 17th century
s. having elaborate symmetrical ornamentation
a. of or relating to or characteristic of the elaborately ornamented style of architecture, art, and music popular in Europe between 1600 and 1750"
barren,"n. an uninhabited wilderness that is worthless for cultivation
s. not bearing offspring
s. completely wanting or lacking"
barrier,"n. a structure or object that impedes free movement
n. any condition that makes it difficult to make progress or to achieve an objective
n. anything serving to maintain separation by obstructing vision or access"
base,"n. installation from which a military force initiates operations
n. a place that the runner must touch before scoring
n. the bottom or lowest part
n. (anatomy) the part of an organ nearest its point of attachment"
bashfulness,n feeling embarrassed due to modesty
bask,v. be exposed
bastion,"n. a group that defends a principle
n. a stronghold into which people could go for shelter during a battle
n. projecting part of a rampart or other fortification"
beaded,s. covered with beads of liquid
befriend,v. become friends with
beleaguer,"v annoy persistently
v surround so as to force to give up"
belie,"v be in contradiction with
v represent falsely"
believable,a capable of being believed
belittle,"v cause to seem less serious; play down
v express a negative opinion of
v lessen the authority, dignity, or reputation of"
bellicose,s having or showing a ready disposition to fight
belligerent,s. engaged in war
bemuse,v cause to be confused emotionally
benefactor,n. a person who helps people or institutions (especially with financial help)
beneficent,"a. doing or producing good
s. generous in assistance to the poor"
beneficiary,"n. the recipient of funds or other benefits
a. having or arising from a benefice"
benevolent,"a. intending or showing kindness
s. generous in providing aid to others"
benign,"a. not dangerous to health; not recurrent or progressive (especially of a tumor)
a. pleasant and beneficial in nature or influence
s. kindness of disposition or manner"
bereave,v. deprive through death
beset,"v. assail or attack on all sides: ""The zebra was beset by leopards"""
besiege,"v. surround so as to force to give up
v. cause to feel distressed or worried
v. harass, as with questions or requests"
bestow,v. give as a gift
betray,"v. reveal unintentionally
v. deliver to an enemy by treachery"
bewilder,v. cause to be confused emotionally
bias,"n. a partiality that prevents objective consideration of an issue or situation
v. influence in an unfair way
v. cause to be biased
s. slanting diagonally across the grain of a fabric"
bibliomania,n. preoccupation with the acquisition and possession of books
bilateral,"s. having identical parts on each side of an axis
s. affecting or undertaken by two parties
s. having two sides or parts"
bilingual,"n. a person who speaks two languages fluently
s. using or knowing two languages"
billion,"n. the number that is represented as a one followed by 12 zeros; in the United Kingdom the usage followed in the United States is frequently seen
n. the number that is represented as a one followed by 9 zeros
s. denoting a quantity consisting of one thousand million items or units in the United States
s. denoting a quantity consisting of one million million items or units in Great Britain"
birthright,"n. a right or privilege that you are entitled to at birth
n. an inheritance coming by right of birth (especially by primogeniture)
n. personal characteristics that are inherited at birth"
bizarre,s. conspicuously or grossly unconventional or unusual
blackmail,"n. extortion of money by threats to divulge discrediting information
v. exert pressure on someone through threats
v. obtain through threats"
blameworthy,s. deserving blame or censure as being wrong or evil or injurious
bland,"s. lacking taste or flavor or tang
s. lacking stimulating characteristics; uninteresting"
blatant,"s. without any attempt at concealment; completely obvious
s. conspicuously and offensively loud; given to vehement outcry"
blazing,s. shining intensely
bleach,"n. the whiteness that results from removing the color from something
n. the act of whitening something by bleaching it (exposing it to sunlight or using a chemical bleaching agent)
v. remove color from
v. make whiter or lighter"
blighted,s. affected by blight; anything that mars or prevents growth or prosperity
blindness,n. the state of being blind or lacking sight
blissful,s. completely happy and contented
blithe,"s. lacking or showing a lack of due concern
s. carefree and happy and lighthearted"
blockbuster,"n. a large bomb used to demolish extensive areas (as a city block)
n. an unusually successful hit with widespread popularity and huge sales (especially a movie or play or recording or novel)"
blueprint,"n. something intended as a guide for making something else
n. photographic print of plans or technical drawings etc.
v. make a blueprint of"
bluff,"n. a high steep bank (usually formed by river erosion)
n. pretense that your position is stronger than it really is
n. the act of bluffing in poker; deception by a false show of confidence in the strength of your cards
v. deceive an opponent by a bold bet on an inferior hand with the result that the opponent withdraws a winning hand"
blur,"n. a hazy or indistinct representation
v. to make less distinct or clear
v. make dim or indistinct
v. become vague or indistinct"
boastfulness,n. outspoken conceit
boisterous,"s. noisy and lacking in restraint or discipline
s. full of rough and exuberant animal spirits
s. violently agitated and turbulent"
bolster,"n. a pillow that is often put across a bed underneath the regular pillows
v. support and strengthen
v. prop up with a pillow or bolster"
bombastic,s. ostentatiously lofty in style
bonanza,n. an especially rich vein of precious ore
boon,s. very close and convivial
boost,"n. the act of giving hope or support to someone
n. the act of giving a push
v. give a boost to; be beneficial to
v. increase or raise"
bootless,s. unproductive of success
boredom,n. the feeling of being bored by something tedious
boundless,"s. seemingly boundless in amount, number, degree, or especially extent"
bowlegged,s have legs that curve outward at the knees
braggart,"n a very boastful and talkative person
s exhibiting self-importance"
braid,"n. a hairdo formed by braiding or twisting the hair
n. trimming used to decorate clothes or curtains
v. make by braiding or interlacing
v. decorate with braids or ribbons"
brassy,"a. resembling the sound of a brass instrument
s. tastelessly showy"
bravado,n. a swaggering show of courage
brazen,"v. face with defiance or impudence
a. made of or resembling brass (as in color or hardness)"
breach,"n. a failure to perform some promised act or obligation
n. an opening (especially a gap in a dike or fortification)"
breed,"n. a special variety of domesticated animals within a species
n. a special type
v. copulate with a female, used especially of horses
v. cause to procreate (animals)"
brevity,"n. the use of brief expressions
n. the attribute of being brief or fleeting"
brilliant,"s. of surpassing excellence
s. characterized by grandeur
s. full of light; shining intensely"
brink,"n. a region marking a boundary
n. the edge of a steep place"
briny,"n any very large body of (salt) water
s slightly salty (especially from containing a mixture of seawater and fresh water)"
brook,n. a natural stream of water smaller than a river (and often a tributary of a river)
brownish,s of a color similar to that of wood or earth
brusqueness,n an abrupt discourteous manner
brutality,n. a brutal barbarous savage act
brute,"n a cruelly rapacious person
n a living organism characterized by voluntary movement
s resembling a beast; showing lack of human sensibility"
buckle,"n. fastener that fastens together two ends of a belt or strap; often has loose prong
v. fasten with a buckle or buckles
v. fold or collapse"
bulky,s. of large size for its weight
bumper,"n. a glass filled to the brim (especially as a toast)
n. a mechanical device consisting of bars at either end of a vehicle to absorb shock and prevent serious damage"
buoyant,"s. tending to float on a liquid or rise in air or gas
s. characterized by liveliness and lightheartedness"
burdensome,"s. not easily borne; wearing; I only had to greet the guests"""
burgeon,v. grow and flourish
burning,"n. the act of burning something
n. execution by fire
n. a form of torture in which cigarettes or cigars or other hot implements are used to burn the victim's skin
s. of immediate import"
