abatement,n. the act of abating
unscathed,s not injured
unscented,none
unscrupulous,a. without scruples or principles
unseemly,s not in keeping with accepted standards of what is right or proper in polite society
unskilled,a. not having or showing or requiring special skill or proficiency
unsound,"a. not in good condition; damaged or decayed
a. not sound financially
s. of e.g. advice"
unspoiled,"s not left to spoil
s not decayed or decomposed"
unspotted,s without soil or spot or stain
unstable,"a. lacking stability or fixity or firmness
s. highly or violently reactive
s. disposed to psychological variability"
unstinting,s very generous
unsubstantiated,s unsupported by other evidence
unsure,"a lacking self-confidence
a lacking or indicating lack of confidence or assurance"
unsurpassed,s not capable of being improved on
unsuspecting,"s. not suspicious
s. (often followed by `of') not knowing or expecting; not thinking likely"
untainted,s (of reputation) free from blemishes
untalented,a. devoid of talent; not gifted
untamed,a in a natural state; not tamed or domesticated or cultivated
untapped,"a. not subjected to tapping
s. not drawn upon or used"
untarnished,s (of reputation) free from blemishes
untasted,s still full
untenable,s (of theories etc) incapable of being defended or justified
untimely,"s badly timed
s uncommonly early or before the expected time
r too soon; in a premature manner"
untold,s. of an incalculable amount
untouched,"s. still full
a. not having come in contact"
untreated,"a. not given medical care or treatment
a. not subjected to chemical or physical treatment
s. (of a specimen for study under a microscope) not treated with a reagent or dye"
untrustworthy,a. not worthy of trust or belief
untutored,s lacking in schooling
unwarranted,"s incapable of being justified or explained
s without a basis in reason or fact
s lacking justification or authorization"
unwieldy,"a. difficult to use or handle or manage because of size or weight or shape
s. difficult to work or manipulate"
unwitting,a. not aware or knowing
unwonted,s. out of the ordinary
unworldly,a. not concerned with the temporal world or swayed by mundane considerations
unyielding,s. resistant to physical force or pressure
uphold,"v. stand up for; stick up for; of causes, principles, or ideals
v. support against an opponent"
upscale,s. appropriate for people with good incomes
upstage,"n. the rear part of the stage
v. treat snobbishly, put in one's place
v. move upstage, forcing the other actors to turn away from the audience
v. steal the show, draw attention to oneself away from someone else"
upstart,"n. an arrogant or presumptuous person
n. a person who has suddenly risen to a higher economic status but has not gained social acceptance of others in that class"
urbane,s showing a high degree of refinement and the assurance that comes from wide social experience
urbanize,"v. make more industrial or city-like
v. impart urban habits, ways of life, or responsibilities upon"
urgency,"n. the state of being urgent; an earnest and insistent necessity
n. pressing importance requiring speedy action
n. an urgent situation calling for prompt action"
usable,"s capable of being put to use
s fit or ready for use or service
s convenient for use or disposal"
utilitarian,"n. someone who believes that the value of a thing depends on its utility
s. having a useful function
s. having utility often to the exclusion of values"
utility,"n. a company that performs a public service; subject to government regulation
n. the quality of being of practical use
n. the service (electric power or water or transportation) provided by a public utility
n. (economics) a measure that is to be maximized in any situation involving choice"
utilize,v. convert (from an investment trust to a unit trust)
utopian,"n. an idealistic (but usually impractical) social reformer
a. of or pertaining to or resembling a utopia
a. characterized by or aspiring to impracticable perfection"
vacillate,"v be undecided about something; waver between conflicting positions or courses of action
v move or sway in a rising and falling or wavelike pattern"
vagueness,"n. unclearness by virtue of being poorly expressed or not coherent in meaning
n. indistinctness of shape or character"
vainglorious,s feeling self-importance
vainglory,n outspoken conceit
valiant,s. having or showing valor
validate,"v. declare or make legally valid
v. prove valid; show or confirm the validity of something
v. give evidence for
v. make valid or confirm the validity of"
valorous,s having or showing valor
valve,"n. a structure in a hollow organ (like the heart) with a flap to insure one-way flow of fluid through it
n. device in a brass wind instrument for varying the length of the air column to alter the pitch of a tone
n. control consisting of a mechanical device for controlling the flow of a fluid
n. the entire one-piece shell of a snail and certain other molluscs"
vanity,n. the quality of being valueless or futile
variability,n. the quality of being subject to variation
variety,"n. (biology) a taxonomic category consisting of members of a species that differ from others of the same species in minor but heritable characteristics
n. a difference that is usually pleasant"
vaulted,"v jump across or leap over (an obstacle)
v bound vigorously
s having a hemispherical vault or dome"
veer,v. shift to a clockwise direction
vehement,s. characterized by great force or energy
vehicle,"n. a conveyance that transports people or objects
n. a medium for the expression or achievement of something
n. any substance that facilitates the use of a drug or pigment or other material that is mixed with it"
veil,"n. a membranous covering attached to the immature fruiting body of certain mushrooms
v. to obscure, or conceal with or as if with a veil"
venal,s capable of being corrupted
venerable,s. impressive by reason of age
venerate,v regard with feelings of respect and reverence; consider hallowed or exalted or be in awe of
venial,"s warranting only temporal punishment
s easily excused or forgiven"
venomous,"s extremely poisonous or injurious; producing venom
s marked by deep ill will; deliberately harmful"
vent,"n. a hole for the escape of gas or air
n. external opening of urinary or genital system of a lower vertebrate
n. a fissure in the earth's crust (or in the surface of some other planet) through which molten lava and gases erupt
n. a slit in a garment (as in the back seam of a jacket)"
venture,"n. any venturesome undertaking especially one with an uncertain outcome
n. a commercial undertaking that risks a loss but promises a profit
v. proceed somewhere despite the risk of possible dangers
v. put at risk"
venturesome,s disposed to venture or take risks
veracious,"s. habitually speaking the truth
s. precisely accurate"
veracity,n. unwillingness to tell lies
verbose,s using or containing too many words
verbosity,n an expressive style that uses excessive or empty words
verdant,s. characterized by abundance of verdure
verifiable,s. capable of being verified
verification,n. (law) an affidavit attached to a statement confirming the truth of that statement
verified,s. proved to be true
verify,"v. confirm the truth of
v. attach or append a legal verification to (a pleading or petition)"
verse,"n. a piece of poetry
n. a line of metrical text
v. compose verses or put into verse
v. familiarize through thorough study or experience"
vertebrate,"n. animals having a bony or cartilaginous skeleton with a segmented spinal column and a large brain enclosed in a skull or cranium
a. having a backbone or spinal column"
vessel,"n. a tube in which a body fluid circulates
n. a craft designed for water transportation
n. an object used as a container (especially for liquids)"
vestige,n an indication that something has been present
vestigial,s. not fully developed in mature animals
vex,"v. subject to prolonged examination, discussion, or deliberation"
vexation,"n anger produced by some annoying irritation
n the psychological state of being irritated or annoyed
n something or someone that causes anxiety; a source of unhappiness
n the act of troubling or annoying someone"
viable,s. capable of life or normal growth and development
vibrant,"s. vigorous and animated
s. of sounds that are strong and resonating
s. of colors that are bright and striking"
vicious,"s (of persons or their actions) able or disposed to inflict pain or suffering
s having the nature of vice
s bringing or deserving severe rebuke or censure
s marked by deep ill will; deliberately harmful"
vicissitude,"n. a variation in circumstances or fortune at different times in your life or in the development of something
n. mutability in life or nature (especially successive alternation from one condition to another)"
vigilance,"n the process of paying close and continuous attention
n vigilant attentiveness"
vigilant,s carefully observant or attentive; on the lookout for possible danger
vigorous,"s. characterized by forceful and energetic action or activity
s. strong and active physically or mentally"
vilify,v. spread negative information about
vindicate,"v. maintain, uphold, or defend
v. clear of accusation, blame, suspicion, or doubt with supporting proof"
vindictive,"s disposed to seek revenge or intended for revenge
s showing malicious ill will and a desire to hurt; motivated by spite"
violate,"v. fail to agree with; be in violation of; as of rules or patterns
v. destroy"
viral,a. relating to or caused by a virus
virtue,"n. the quality of doing what is right and avoiding what is wrong
n. morality with respect to sexual relations
n. a particular moral excellence"
virtuoso,n. a musician who is a consummate master of technique and artistry
virtuous,a. morally excellent
virulence,"n. extreme harmfulness (as the capacity of a microorganism to cause disease)
n. extreme hostility"
viscous,"s having a relatively high resistance to flow
s having the sticky properties of an adhesive"
visible,"a. capable of being seen; or open to easy view
s. obvious to the eye
s. present and easily available"
visionary,"n. a person given to fanciful speculations and enthusiasms with little regard for what is actually possible
n. a person with unusual powers of foresight"
vital,"s. performing an essential function in the living body
s. manifesting or characteristic of life"
vitality,n. an energetic style
vitiate,"v corrupt morally or by intemperance or sensuality
v make imperfect
v take away the legal force of or render ineffective"
vitriolic,"s harsh or corrosive in tone
s of a substance, especially a strong acid; capable of destroying or eating away by chemical action"
vivid,s. having the clarity and freshness of immediate experience
vogue,"n. the popular taste at a given time
n. a current state of general acceptance and use"
volatile,"n. a volatile substance; a substance that changes readily from solid or liquid to a vapor
a. evaporating readily at normal temperatures and pressures
s. tending to vary often or widely"
volcanic,"a. relating to or produced by or consisting of volcanoes
s. explosively unstable
s. igneous rock produced by eruption and solidified on or near the earth's surface; rhyolite or andesite or basalt"
voluble,a. marked by a ready flow of speech
voluminous,s. large in volume or bulk
voluntary,"n. composition (often improvised) for a solo instrument (especially solo organ) and not a regular part of a religious service or musical performance
a. of your own free will or design; done by choice; not forced or compelled
a. controlled by individual volition"
voluptuous,"s having strong sexual appeal
s (of a woman's body) having a large bosom and pleasing curves
s displaying luxury and furnishing gratification to the senses"
voyeur,n. a viewer who enjoys seeing the sex acts or sex organs of others
vulgar,"s lacking refinement or cultivation or taste
s of or associated with the great masses of people
s being or characteristic of or appropriate to everyday language
s conspicuously and tastelessly indecent"
vulnerable,"a. susceptible to attack
s. susceptible to criticism or persuasion or temptation
s. capable of being wounded or hurt"
walrus,n. either of two large northern marine mammals having ivory tusks and tough hide over thick blubber
wanderlust,n. very strong or irresistible impulse to travel
wane,"v. become smaller
v. decrease in phase"
warp,"n. a shape distorted by twisting or folding
n. a moral or mental distortion
n. yarn arranged lengthways on a loom and crossed by the woof"
warrant,"n. a writ from a court commanding police to perform specified acts
n. a type of security issued by a corporation (usually together with a bond or preferred stock) that gives the holder the right to purchase a certain amount of common stock at a stated price"
warrantable,"a. Authorized by commission, precept, or right;
   justifiable; defensible; as, the seizure of a thief is always
   warrantable by law and justice; falsehood is never warrantable."
warranted,"v show to be reasonable or provide adequate ground for
v stand behind and guarantee the quality, accuracy, or condition of"
wary,a. marked by keen caution and watchful prudence
wavy,s. (of hair) having waves
waxy,"a made of or covered with wax
a easily impressed or influenced
s capable of being bent or flexed or twisted without breaking
s having the paleness of wax"
wearisome,s so lacking in interest as to cause mental weariness
weather,"n. the atmospheric conditions that comprise the state of the atmosphere in terms of temperature and wind and clouds and precipitation
v. face and withstand with courage
v. cause to slope
v. sail to the windward of"
weightless,a. having little or no weight or apparent gravitational pull; light
well-deserved,none
well-intentioned,s. marked by good intentions though often producing unfortunate results
welter,"v. toss, roll, or rise and fall in an uncontrolled way
v. be immersed in"
whimsical,s determined by chance or impulse or whim rather than by necessity or reason
whimsy,"n an odd or fanciful or capricious idea
n the trait of acting unpredictably and more from whim or caprice than from reason or judgment"
whittle,"n. English aeronautical engineer who invented the jet aircraft engine (1907-1996)
v. cut small bits or pare shavings from"
wholesale,"n. the selling of goods to merchants; usually in large quantities for resale to consumers
v. sell in large quantities
r. at a wholesale price
r. on a large scale without careful discrimination"
willful,s. done by design
wilt,"n. any plant disease characterized by drooping and shriveling; usually caused by parasites attacking the roots
n. causing to become limp or drooping
v. lose strength
v. become limp"
wistful,s showing pensive sadness
withhold,"v. hold back; refuse to hand over or share
v. retain and refrain from disbursing; of payments"
withstand,"v resist or confront with resistance
v stand up or offer resistance to somebody or something"
witty,s. combining clever conception and facetious expression
woolly,"s having a fluffy character or appearance
s confused and vague; used especially of thinking
s covered with dense often matted or curly hairs
s covered with dense cottony hairs or hairlike filaments"
wordy,s using or containing too many words
world-beater,n a competitor who holds a preeminent position
worthwhile,s. sufficiently valuable to justify the investment of time or interest
worthy,"n. an important, honorable person (word is often used humorously)
a. having worth or merit or value; being honorable or admirable
s. having qualities or abilities that merit recognition in some way"
wring,"v. twist and compress, as if in pain or anguish
v. twist, squeeze, or compress in order to extract liquid"
wrongheaded,s. obstinately perverse in judgment or opinion
xenophobic,s. suffering from xenophobia; having abnormal fear or hatred of the strange or foreign
yearn,v. have affection for; feel tenderness for
zealot,n. a member of an ancient Jewish sect in Judea in the first century who fought to the death against the Romans and who killed or persecuted Jews who collaborated with the Romans
zenith,n. the point above the observer that is directly opposite the nadir on the imaginary sphere against which celestial bodies appear to be projected
abase,v cause to feel shame; hurt the pride of
abash,v cause to be embarrassed; cause to feel self-conscious
abate,v. become less in amount or intensity
abdicate,"v. give up, such as power, as of monarchs and emperors, or duties and obligations"
abhorrent,s. offensive to the mind
abject,"s. of the most contemptible kind
s. most unfortunate or miserable
s. showing utter resignation or hopelessness
s. showing humiliation or submissiveness"
abjure,"v. formally reject or disavow a formerly held belief, usually under pressure"
abnegate,"v. surrender (power or a position)
v. deny or renounce"
abnegation,"n. the denial and rejection of a doctrine or belief
n. renunciation of your own interests in favor of the interests of others"
abolish,v. do away with
abominate,v find repugnant
abortive,s. failing to accomplish an intended result
abound,"v. be abundant or plentiful; exist in large quantities
v. be in a state of movement or action"
aboveboard,s. without concealment or deception; honest
abrade,v. wear away
abrogate,v. revoke formally
abrupt,"s. marked by sudden changes in subject and sharp transitions
s. exceedingly sudden and unexpected
s. extremely steep
s. surprisingly and unceremoniously brusque in manner"
abscond,v. run away; usually includes taking something or somebody along
absolve,v. let off the hook
abstemious,"a. sparing in consumption of especially food and drink
s. marked by temperance in indulgence"
abstention,n the trait of abstaining (especially from alcohol)
abstentious,a. Characterized by abstinence; self-restraining.
abstinent,s. self-restraining; not indulging an appetite especially for food or drink
abuse,"n. a rude expression intended to offend or hurt
v. use foul or abusive language towards
v. use wrongly or improperly or excessively"
abusive,"s. expressing offensive reproach
s. characterized by physical or psychological maltreatment"
acarpous,s producing no fruit
accessory,"n. clothing that is worn or carried, but not part of your main clothing
n. a supplementary component that improves capability
n. someone who helps another person commit a crime
s. furnishing added support"
acclaim,"n. enthusiastic approval
v. praise vociferously"
acclimate,v get used to a certain climate
accolade,n a tangible symbol signifying approval or distinction
accomplished,"s. highly skilled
s. successfully completed or brought to an end
s. settled securely and unconditionally"
accost,"v speak to someone
v approach with an offer of sexual favors"
accountability,n. responsibility to someone or for some activity
accrete,"v. grow together (of plants and organs)
v. grow or become attached by accretion"
accrue,"v. grow by addition
v. come into the possession of"
accumulate,v. collect or gather
accurate,"a. conforming exactly or almost exactly to fact or to a standard or performing with total accuracy
s. (of ideas, images, representations, expressions) characterized by perfect conformity to fact or truth; strictly correct"
acedia,n apathy and inactivity in the practice of virtue (personified as one of the deadly sins)
acerbity,"n. a sharp bitterness
n. a sharp sour taste"
acquiesce,v to agree or express agreement
acquisitive,a. eager to acquire and possess things especially material possessions or ideas
acquit,v. pronounce not guilty of criminal charges
acrid,"s strong and sharp
s harsh or corrosive in tone"
acrobat,n. an athlete who performs acts requiring skill and agility and coordination
acuity,n. sharpness of vision; the visual ability to resolve fine detail (usually measured by a Snellen chart)
acumen,n. a tapering point
adapt,"v. make fit for, or change to suit a new purpose"
additive,"n. something added to enhance food or gasoline or paint or medicine
a. characterized or produced by addition"
addle,"v. mix up or confuse
v. become rotten"
adduce,v. advance evidence for
adherent,s. sticking fast
adjourn,"v. close at the end of a session
v. break from a meeting or gathering"
adjudicate,"v put on trial or hear a case and sit as the judge at the trial of
v bring to an end; settle conclusively"
adjunct,"n. something added to another thing but not an essential part of it
n. a person who is an assistant or subordinate to another
n. a construction that can be used to extend the meaning of a word or phrase but is not one of the main constituents of a sentence"
adolescent,"n. a juvenile between the onset of puberty and maturity
a. relating to or peculiar to or suggestive of an adolescent
s. being of the age 13 through 19
s. displaying or suggesting a lack of maturity"
adroit,a. quick or skillful or adept in action or thought
adulate,v. flatter in an obsequious manner
adulterate,s. mixed with impurities
advent,"n. arrival that has been awaited (especially of something momentous)
n. the season including the four Sundays preceding Christmas"
adventitious,s. associated by chance and not an integral part
advert,"n a public promotion of some product or service
v give heed (to)
v make a more or less disguised reference to
v make reference to"
advisable,a. worthy of being recommended or suggested; prudent or wise
advocate,"n. a person who pleads for a cause or propounds an idea
n. a lawyer who pleads cases in court"
aerate,"v expose to fresh air
v aerate (sewage) so as to favor the growth of organisms that decompose organic matter
v impregnate, combine, or supply with oxygen"
aerial,a. existing or living or growing or operating in the air
affected,"a. acted upon; influenced
a. speaking or behaving in an artificial way to make an impression"
affiliate,"n. a subordinate or subsidiary associate; a person who is affiliated with another or with an organization
n. a subsidiary or subordinate organization that is affiliated with another organization
v. join in an affiliation"
affiliation,"n. a social or business relationship
n. the act of becoming formally connected or joined"
affix,"n. a linguistic element added to a word to produce an inflected or derived form
v. attach to
v. attach or become attached to a stem word"
affliction,"n. a state of great suffering and distress due to adversity
n. a condition of suffering or distress due to ill health
n. a cause of great suffering and distress"
aftermath,n. the consequences of an event (especially a catastrophic event)
agape,"n. (Christian theology) the love of God or Christ for mankind
n. selfless love of one person for another without sexual implications (especially love that is spiritual in nature)
n. a religious meal shared as a sign of love and fellowship"
agenda,"n. a temporally organized plan for matters to be attended to
n. a list of matters to be taken up (as at a meeting)"
aggregate,"n. material such as sand or gravel used with cement and water to make concrete, mortar, or plaster
n. a sum total of many heterogenous things taken together
v. amount in the aggregate to
v. gather in a mass, sum, or whole"
aggrieve,v. infringe on the rights of
agile,"s. moving quickly and lightly
s. mentally quick"
agitated,"a. troubled emotionally and usually deeply
a. physically disturbed or set in motion"
agnostic,"n. someone who is doubtful or noncommittal about something
n. a person who claims that they cannot have true knowledge about the existence of God (but does not deny that God might exist)
a. of or pertaining to an agnostic or agnosticism"
agog,s. highly excited
agreeable,"a. conforming to your own liking or feelings or nature
s. prepared to agree or consent"
ague,"n. a fit of shivering or shaking
n. successive stages of chills and fever that is a symptom of malaria"
ail,v. be ill or unwell
airtight,"s. having no weak points
s. not allowing air or gas to pass in or out"
albeit,conj. Even though; although; notwithstanding.
aleatory,s. dependent on chance
alert,"n. condition of heightened watchfulness or preparation for action
n. a warning serves to make you more alert to danger
a. engaged in or accustomed to close observation
s. quick and energetic"
allay,"v lessen the intensity of or calm
v satisfy (thirst)"
allergic,"a. characterized by or caused by allergy
s. having an allergy or peculiar or excessive susceptibility (especially to a specific factor)"
alleviate,"v provide physical relief, as from pain
v make easier"
allocate,v. distribute according to a plan or set apart for a special purpose
allowance,"n. an amount allowed or granted (as during a given period)
n. a sum granted as reimbursement for expenses
n. an amount added or deducted on the basis of qualifying circumstances
n. a permissible difference; allowing some freedom to move within limits"
alluring,s. highly attractive and able to arouse hope or desire
alter,"v. make an alteration to
v. remove the ovaries of"
amalgamate,s. joined together into a whole
amass,"v collect or gather
v get or gather together"
ambience,"n a particular environment or surrounding influence
n the atmosphere of an environment"
ambush,"n. the act of concealing yourself and lying in wait to attack by surprise
v. wait in hiding to attack"
amiable,s. disposed to please
amity,"n. a cordial disposition
n. a state of friendship and cordiality"
amnesia,n. partial or total loss of memory
amnesty,"n. a period during which offenders are exempt from punishment
n. the formal act of liberating someone
v. grant a pardon to (a group of people)"
ample,"a. more than enough in size or scope or capacity
s. affording an abundant supply
s. fairly large"
amplify,v. increase the volume of
amuse,"v. occupy in an agreeable, entertaining or pleasant fashion
v. make (somebody) laugh"
analgesia,n. absence of the sense of pain without loss of consciousness
analogy,"n. an inference that if things agree in some respects they probably agree in others
n. drawing a comparison in order to show a similarity in some respect"
ancillary,s furnishing added support
anesthetic,"n. a drug that causes temporary loss of bodily sensations
s. characterized by insensibility"
anguish,"n. extreme mental distress
n. extreme distress of body or mind
v. suffer great pains or distress"
animadvert,v. express blame or censure or make a harshly critical remark
animate,"v. give new life or energy to
a. belonging to the class of nouns that denote living beings
a. endowed with animal life as distinguished from plant life"
animation,"n. the condition of living or the state of being alive
n. the property of being able to survive and grow
n. quality of being active or spirited or alive and vigorous"
animus,n a feeling of ill will arousing active hostility
anneal,"v. bring to a desired consistency, texture, or hardness by a process of gradually heating and cooling"
annihilate,v kill in large numbers
announce,"v. make known; make an announcement
v. announce publicly or officially
v. give the names of
v. foreshadow or presage"
annoy,"v. cause annoyance in; disturb, especially by minor irritations"
annul,"v declare invalid
v cancel officially"
anonymity,n. the state of being anonymous
antecedence,n preceding in time
anthem,n. a song of devotion or loyalty (as to a nation or school)
antic,"n. a ludicrous or grotesque act done for fun and amusement
s. ludicrously odd"
anticipate,"v. act in advance of; deal with ahead of time
v. realize beforehand
v. be excited or anxious about
v. be a forerunner of or occur earlier than"
anvil,n. a heavy block of iron or steel on which hot metals are shaped by hammering
aplomb,n. great coolness and composure under strain
apocryphal,"s. being of questionable authenticity
a. of or belonging to the Apocrypha"
apologize,"v. acknowledge faults or shortcomings or failing
v. defend, explain, clear away, or make excuses for by reasoning"
apostate,s. not faithful to religion or party or cause
appeal,"n. attractiveness that interests or pleases or stimulates
n. (law) a legal proceeding in which the appellant resorts to a higher court for the purpose of obtaining a review of a lower court decision and a reversal of the lower court's judgment or the granting of a new trial
v. take a court case to a higher court for review
v. request earnestly (something from somebody); ask for aid or protection"
applicant,n. a person who requests or seeks something such as assistance or employment or admission
appoint,"v. create and charge with a task or function
v. assign a duty, responsibility or obligation to
v. furnish"
appraise,"v evaluate or estimate the nature, quality, ability, extent, or significance of
v consider in a comprehensive way"
apprentice,"n. works for an expert to learn a trade
v. be or work as an apprentice"
apron,"n. a garment of cloth or leather or plastic that is tied about the waist and worn to protect your clothing
n. (golf) the part of the fairway leading onto the green
n. a paved surface where aircraft stand while not being used"
apt,"s. (usually followed by `to') naturally disposed toward
s. at risk of or subject to experiencing something usually unpleasant
s. mentally quick and resourceful"
aquiline,s. curved down like an eagle's beak
arbitrate,v act between parties with a view to reconciling differences
archer,n. a person who is expert in the use of a bow and arrow
archetype,n something that serves as a model or a basis for making copies
ardent,"s. characterized by intense emotion
s. characterized by strong enthusiasm
s. glowing or shining like fire"
aristocracy,"n a privileged class holding hereditary titles
n the most powerful members of a society"
aroma,n. a distinctive odor that is pleasant
arouse,"v. call forth (emotions, feelings, and responses)
v. to begin moving, ""As the thunder started the sleeping children began to stir""
v. stimulate sexually"
arraign,"v. call before a court to answer an indictment
v. accuse of a wrong or an inadequacy"
arrant,s. without qualification; used informally as (often pejorative) intensifiers
array,"n. an orderly arrangement
n. an impressive display
n. especially fine or decorative clothing
n. an arrangement of aerials spaced to give desired directional characteristics"
arrest,n. the state of inactivity following an interruption
arson,n. malicious burning to destroy property
artifact,n. a man-made object taken as a whole
artifice,n a deceptive maneuver (especially to avoid capture)
artificial,"a. contrived by art rather than nature
s. artificially formal
s. not arising from natural growth or characterized by vital processes"
ashen,"s. anemic looking from illness or emotion
s. made of wood of the ash tree"
asinine,s. devoid of intelligence
askance,"s. (used especially of glances) directed to one side with or as if with doubt or suspicion or envy
r. with suspicion or disapproval
r. with a side or oblique glance"
askew,"s. turned or twisted toward one side
r. turned or twisted to one side"
aspersion,"n. a disparaging remark
n. an abusive attack on a person's character or good name
n. the act of sprinkling water in baptism (rare)"
aspirant,"n. an ambitious and aspiring young person
s. desiring or striving for recognition or advancement"
aspire,v have an ambitious plan or a lofty goal
assault,"n. close fighting during the culmination of a military attack
n. a threatened or attempted physical attack by someone who appears to be able to cause bodily harm if not stopped
n. thoroughbred that won the triple crown in 1946"
assemble,"v. create by putting components or members together
v. get people together"
assent,"n. agreement with a statement or proposal to do something
v. to agree or express agreement"
assert,"v. state categorically
v. insist on having one's opinions and rights recognized"
assess,"v. charge (a person or a property) with a payment, such as a tax or a fine
v. estimate the value of (property) for taxation"
associate,"n. a person who joins with others in some activity or endeavor
n. a person with subordinate membership in a society, institution, or commercial enterprise
n. any event that usually accompanies or is closely connected with another
v. make a logical or causal connection"
assoil,v pronounce not guilty of criminal charges
assuage,"v cause to be more favorably inclined; gain the good will of
v satisfy (thirst)
v provide physical relief, as from pain"
asterisk,n. a star-shaped character * used in printing
asteroid,"n. any of numerous small celestial bodies composed of rock and metal that move around the sun (mainly between the orbits of Mars and Jupiter)
s. shaped like a star"
astrology,n. a pseudoscience claiming divination by the positions of the planets and sun and moon
atheism,"n. the doctrine or belief that there is no God
n. a lack of belief in the existence of God or gods"
atonal,a. characterized by avoidance of traditional western tonality
atone,"v make amends for
v turn away from sin or do penitence"
atrocious,"s. shockingly brutal or cruel
s. exceptionally bad or displeasing
s. provoking horror"
attach,"v. cause to be attached
v. be attached; be in contact with
v. become attached"
attenuate,"v. become weaker, in strength, value, or magnitude
s. reduced in strength"
attire,n. clothing of a distinctive style or for a particular occasion
augmentation,"n. the amount by which something increases
n. the statement of a theme in notes of greater duration (usually twice the length of the original)
n. the act of augmenting"
augury,n. an event that is experienced as indicating important things to come
august,"n. the month following July and preceding September
s. of or befitting a lord
s. profoundly honored"
austerity,n. the trait of great self-denial (especially refraining from worldly pleasures)
authorization,n. the act of conferring legality or sanction or formal warrant
autocracy,"n. a political system governed by a single individual
n. a political theory favoring unlimited authority by a single individual"
autocrat,n a cruel and oppressive dictator
automation,"n. the act of implementing the control of equipment with advanced technology; usually involving electronic hardware
n. the condition of being automatically operated or controlled
n. equipment used to achieve automatic control or operation"
auxiliary,s. functioning in a supporting capacity
aver,"v report or maintain
v to declare or affirm solemnly and formally as true"
aversion,n. the act of turning yourself (or your gaze) away
avert,v. turn away or aside
avocation,n. an auxiliary activity
avow,v. admit openly and bluntly; make no bones about
awry,r. away from the correct or expected course
azure,"n. a light shade of blue
v. color azure
s. of a deep somewhat purplish blue color similar to that of a clear October sky"
backdrop,n. scenery hung at back of stage
backset,"n. A check; a relapse; a discouragement; a setback.
n. Whatever is thrown back in its course, as water.
v. i. To plow again, in the fall; -- said of prairie land
   broken up in the spring."
backslide,"v drop to a lower level, as in one's morals or standards"
badge,"n. an emblem (a small piece of plastic or cloth or metal) that signifies your status (rank or membership or affiliation etc.)
n. any feature that is regarded as a sign of status (a particular power or quality or rank)
v. put a badge on"
badger,"n. sturdy carnivorous burrowing mammal with strong claws; widely distributed in the northern hemisphere
v. persuade through constant efforts"
badinage,n. frivolous banter
bait,"n. anything that serves as an enticement
n. something used to lure fish or other animals into danger so they can be trapped or killed
v. lure, entice, or entrap with bait
v. attack with dogs or set dogs upon"
balderdash,n. trivial nonsense
bale,"n. a large bundle bound for storage or transport
v. make into a bale"
ballot,"n. a document listing the alternatives that is used in voting
v. vote by ballot"
ballyhoo,"n. blatant or sensational promotion
v. advertize noisily or blatantly"
bamboozle,v. conceal one's true motives from especially by elaborately feigning good intentions so as to gain an end
ban,"n. 100 bani equal 1 leu in Moldova
n. 100 bani equal 1 leu in Romania
n. an official prohibition or edict against something
v. forbid the public distribution of ( a movie or a newspaper)"
bar,"n. a counter where you can obtain food or drink
n. a rigid piece of metal or wood; usually used as a fastening or obstruction or weapon
n. an obstruction (usually metal) placed at the top of a goal
n. (meteorology) a unit of pressure equal to a million dynes per square centimeter"
bare,"v. lay bare
s. completely unclothed
s. lacking in amplitude or quantity
a. lacking its natural or customary covering"
barefaced,"s with no effort to conceal
s unrestrained by convention or propriety"
bargain,"n. an agreement between parties (usually arrived at after discussion) fixing obligations of each
n. an advantageous purchase
v. come to terms; arrive at an agreement"
barn,"n. an outlying farm building for storing grain or animal feed and housing farm animals
n. (physics) a unit of nuclear cross section; the effective circular area that one particle presents to another as a target for an encounter"
barrister,n. a British or Canadian lawyer who speaks in the higher courts of law on behalf of either the defense or prosecution
barter,"n. an equal exchange
v. exchange goods without involving money"
bawl,"v. shout loudly and without restraint
v. cry loudly"
bazaar,"n. a shop where a variety of goods are sold
n. a street of small shops (especially in Orient)
n. a sale of miscellany; often for charity"
beacon,"n. a fire (usually on a hill or tower) that can be seen from a distance
n. a tower with a light that gives warning of shoals to passing ships
v. shine like a beacon
v. guide with a beacon"
beam,"n. long thick piece of wood or metal or concrete, etc., used in construction
n. a group of nearly parallel lines of electromagnetic radiation
n. a column of light (as from a beacon)
n. (nautical) breadth amidships"
bearing,"n. relevant relation or interconnection
n. the direction or path along which something moves or along which it lies
n. dignified manner or conduct
n. a rotating support placed between moving parts to allow them to move easily"
beatific,s. experiencing or bestowing celestial joy
beckon,"v. signal with the hands or nod
v. appear inviting
v. summon with a wave, nod, or some other gesture"
bedraggled,"s. limp and soiled as if dragged in the mud
s. in deplorable condition"
befoul,"v spot, stain, or pollute"
befuddle,v. make stupid with alcohol
beget,v. make children
begrudge,v. wish ill or allow unwillingly
behold,v. see with attention
beholden,s. under a moral obligation to someone
behoove,v. be appropriate or necessary
belabor,"v. to work at or to absurd length
v. attack verbally with harsh criticism"
belligerence,n. hostile or warlike attitude or nature
bellow,"n. a very loud utterance (like the sound of an animal)
n. United States author (born in Canada) whose novels influenced American literature after World War II (1915-2005)
v. make a loud noise, as of animal"
