abate,v. become less in amount or intensity
antagonize,"v. provoke the hostility of
v. act in opposition to"
competent,"a. properly or sufficiently qualified or capable or efficient
s. adequate for the purpose
a. legally qualified or sufficient"
comprise,"v be composed of
v include or contain; have as a component
v form or compose"
correspond,v. exchange messages
dilapidated,"v bring into a condition of decay or partial ruin by neglect or misuse
v fall into decay or ruin
s in deplorable condition"
illustrious,s. having or conferring glory
incident,"n. a single distinct event
n. a public disturbance
a. falling or striking of light rays on something"
inherit,"v. obtain from someone after their death
v. receive from a predecessor
v. receive by genetic transmission"
latitude,"n. the angular distance between an imaginary line around a heavenly body parallel to its equator and the equator itself
n. freedom from normal restraints in conduct
n. an imaginary line around the Earth parallel to the equator
n. scope for freedom of e.g. action or thought; freedom from restriction"
loath,s. unwillingness to do something contrary to your custom
maintain,v. state or assert
renovate,v. restore to a previous or better condition
reprimand,v. rebuke formally
supervise,"v watch and direct
v keep tabs on; keep an eye on; keep under surveillance"
adequate,"a. having the requisite qualities or resources to meet a task
s. sufficient for the purpose
s. about average; acceptable"
administer,"v. work in an administrative capacity; supervise or be in charge of
v. perform (a church sacrament) ritually
v. give or apply (medications)
v. direct the taking of"
agitate,"v. try to stir up public opinion
v. cause to be agitated, excited, or roused
v. change the arrangement or position of"
capitulate,v. surrender under agreed conditions
citrus,"n. any of numerous fruits of the genus Citrus having thick rind and juicy pulp; grown in warm regions
n. any of numerous tropical usually thorny evergreen trees of the genus Citrus having leathery evergreen leaves and widely cultivated for their juicy edible fruits having leathery aromatic rinds"
disrupt,v. throw into disorder
hovel,n. small crude shelter used as a dwelling
illiterate,"n. a person unable to read
a. not able to read or write
a. lacking culture, especially in language and literature"
indifferent,"s. showing no care or concern in attitude or action
s. fairly poor to not very good
s. marked by no especial liking or dislike or preference for one thing over another
s. characterized by a lack of partiality"
menial,n. a domestic servant
permanent,"a. continuing or enduring without marked change in status or condition or place
s. not capable of being reversed or returned to the original condition"
respite,"n. a pause from doing something (as work)
n. a pause for relaxation"
strenuous,s. characterized by or performed with much energy or force
toil,"n productive work (especially physical work done for wages)
v work hard"
urgent,s compelling immediate action
addict,"n. someone who is so ardently devoted to something that it resembles an addiction
n. someone who is physiologically dependent on a substance; abrupt deprivation of the substance produces withdrawal symptoms
v. to cause (someone or oneself) to become dependent (on something, especially a narcotic drug)"
aspire,v have an ambitious plan or a lofty goal
bias,"n. a partiality that prevents objective consideration of an issue or situation
v. influence in an unfair way
v. cause to be biased
s. slanting diagonally across the grain of a fabric"
blatant,"s. without any attempt at concealment; completely obvious
s. conspicuously and offensively loud; given to vehement outcry"
candid,"s. informal or natural; especially caught off guard or unprepared
s. openly straightforward and direct without reserve or secretiveness"
confront,"v. oppose, as in hostility or a competition
v. deal with (something unpleasant) head on
v. present somebody with something, usually to accuse or criticize
v. be face to face with"
debut,"n. the presentation of a debutante in society
v. present for the first time to the public
v. appear for the first time in public
v. make one's debut"
enroll,v. register formally as a participant or member
fluster,"v. be flustered; behave in a confused manner
v. cause to be nervous or upset"
impunity,n. exemption from punishment or loss
intensify,"v. make more intense, stronger, or more marked
v. become more intense
v. make the chemically affected part of (a negative) denser or more opaque in order produce a stronger contrast between light and dark"
intimidate,"v. make timid or fearful
v. to compel or deter by or as if by threats"
obnoxious,s causing disapproval or protest
retort,"n. a vessel where substances are distilled or decomposed by heat
v. answer back"
stint,"n. an individual's prescribed share of work
v. supply sparingly and with restricted quantities"
beseech,v ask for or request earnestly
consternation,n fear resulting from the awareness of danger
delectable,"s. extremely pleasing to the sense of taste
s. capable of arousing desire"
garland,"n. United States singer and film actress (1922-1969)
n. a city in northeastern Texas (suburb of Dallas)
v. adorn with bands of flowers or leaves"
gratify,v. yield (to); give satisfaction to
haughty,s having or showing arrogant superiority to and disdain of those one views as unworthy
impetuous,s. marked by violent force
lavish,"v. expend profusely; also used with abstract nouns
s. very generous
s. characterized by extravagance and profusion"
pluck,"n. the act of pulling and releasing a taut cord
v. pull or pull out sharply
v. pull lightly but sharply with a plucking motion
v. strip of feathers"
ponder,v reflect deeply on a subject
privilege,"n. a special advantage or immunity or benefit not enjoyed by all
n. (law) the right to refuse to divulge information obtained in a confidential relationship
v. bestow a privilege upon"
prostrate,"v. get into a prostrate position, as in submission
v. render helpless or defenseless
v. throw down flat, as on the ground"
rapture,"n a state of being carried away by overwhelming emotion
n a state of elated bliss"
revelry,n unrestrained merrymaking
whim,"n a sudden desire
n an odd or fanciful or capricious idea"
acrid,"s strong and sharp
s harsh or corrosive in tone"
casualty,"n. someone injured or killed or captured or missing in a military engagement
n. someone injured or killed in an accident
n. a decrease of military personnel or equipment"
congested,s. overfull as with blood
cope,"n. a long cloak; worn by a priest or bishop on ceremonial occasions
v. come to terms with"
headlong,"r. with the head foremost
r. at breakneck speed
r. in a hasty and foolhardy manner"
hurtle,v. move with or as if with a rushing sound
impede,v. be a hindrance or obstacle to
inevitable,"n. an unavoidable event
a. incapable of being avoided or prevented
s. invariably occurring or appearing"
initiate,"n. someone who has been admitted to membership in a scholarly field
n. people who have been introduced to the mysteries of some field or activity
v. take the lead or initiative in; participate in the development of
v. accept people into an exclusive society or group, usually with some rite"
irate,s. feeling or showing extreme anger
lax,"s. lacking in rigor or strictness
a. pronounced with muscles of the tongue and jaw relatively relaxed (e.g., the vowel sound in `bet')
a. lacking in strength or firmness or resilience
s. emptying easily or excessively"
negligent,a. characterized by neglect and undue lack of concern
smolder,"v. burn slowly and without a flame
v. have strong suppressed feelings"
stringent,s demanding strict attention to rules and procedures
throng,v. press tightly together or cram
dumbfound,v be a mystery or bewildering to
ensue,"v issue or terminate (in a specified way, state, etc.); end"
era,"n. a period marked by distinctive character or reckoned from a fixed point or event
n. a major division of geological time; an era is usually divided into two or more periods"
flourish,"n. a showy gesture
n. an ornamental embellishment in writing
n. a display of ornamental speech or language
n. the act of waving"
garrison,"n. a fortified military post where troops are stationed
n. United States abolitionist who published an anti-slavery journal (1805-1879)
n. the troops who maintain and guard a fortified place
v. station (troops) in a fort or garrison"
grievous,s. causing or marked by grief or anguish
hoard,"n. a secret store of valuables or money
v. save up as for future use"
inundate,"v. fill or cover completely, usually with water"
invincible,s. incapable of being overcome or subdued
nomad,n. a member of a people who have no permanent home but move about according to the seasons
placate,v cause to be more favorably inclined; gain the good will of
principal,"n. the original amount of a debt on which interest is calculated
n. the educator who has executive authority for a school
n. capital as contrasted with the income derived from it
n. (criminal law) any person involved in a criminal offense, regardless of whether the person profits from such involvement"
recede,v. become faint or more distant
ruthless,s without mercy or pity
sacrifice,"n. personnel that are sacrificed (e.g., surrendered or lost in order to gain an objective)
n. a loss entailed by giving up or selling something at less than its value
n. the act of killing (an animal or person) in order to propitiate a deity
n. (baseball) an out that advances the base runners"
aquatic,"n. a plant that lives in or on water
a. relating to or consisting of or being in water
a. operating or living or growing in water"
assert,"v. state categorically
v. insist on having one's opinions and rights recognized"
avert,v. turn away or aside
bleak,s. unpleasantly cold and damp
blithe,"s. lacking or showing a lack of due concern
s. carefree and happy and lighthearted"
docile,"a. willing to be taught or led or supervised or directed
s. ready and willing to be taught
s. easily handled or managed"
dwindle,v. become smaller or lose substance
lethal,s of an instrument of certain death
monitor,"n. an ironclad vessel built by Federal forces to do battle with the Merrimac
n. display produced by a device that takes signals and displays them on a television screen or a computer monitor
n. electronic equipment that is used to check the quality or content of electronic transmissions
n. a piece of electronic equipment that keeps track of the operation of a system continuously and warns of trouble"
mutilate,"v. destroy or injure severely
v. destroy or injure severely"
nimble,"s moving quickly and lightly
s mentally quick"
plight,n. a solemn pledge of fidelity
ponderous,"s. having great mass and weight and unwieldiness
s. labored and dull"
verge,"n. the limit beyond which something happens or changes
n. a grass border along a road
v. border on; come close to"
vigilant,s carefully observant or attentive; on the lookout for possible danger
ballast,"n. any heavy material used to stabilize a ship or airship
n. coarse gravel laid to form a bed for streets and railroads
n. an attribute that tends to give stability in character and morals; something that steadies the mind or feelings
n. an electrical device for starting and regulating fluorescent and discharge lamps"
buoyant,"s. tending to float on a liquid or rise in air or gas
s. characterized by liveliness and lightheartedness"
clamber,"n. an awkward climb
v. climb awkwardly, as if by scrambling"
detach,"v. cause to become detached or separated; take off
v. separate (a small unit) from a larger, especially for a special assignment
v. come to be detached"
eerie,"s. suggestive of the supernatural; mysterious
s. inspiring a feeling of fear; strange and frightening"
fathom,"n. a linear unit of measurement (equal to 6 feet) for water depth
n. (mining) a unit of volume (equal to 6 cubic feet) used in measuring bodies of ore
v. measure the depth of (a body of water) with a sounding line"
pique,"n. tightly woven fabric with raised cords
n. a sudden outburst of anger
v. cause to feel resentment or indignation"
probe,"n. an inquiry into unfamiliar or questionable activities
n. a flexible slender surgical instrument with a blunt end that is used to explore wounds or body cavities
n. an exploratory action or expedition
n. an investigation conducted using a flexible surgical instrument to explore an injury or a body cavity"
realize,"v. make real or concrete; give reality or substance to
v. convert into cash; of goods and property
v. expand or complete (a part in a piece of baroque music) by supplying the harmonies indicated in the figured bass"
rupture,"n. state of being torn or burst open
n. a personal or social separation (as between opposing factions)
n. the act of making a sudden noisy break"
sphere,"n. a particular environment or walk of life
n. any spherically shaped artifact
n. the geographical area in which one nation is very influential
n. a solid figure bounded by a spherical surface (including the space it encloses)"
submerge,"v. sink below the surface; go under or as if under water
v. cover completely or make imperceptible
v. put under water"
tedious,"s so lacking in interest as to cause mental weariness
s using or containing too many words"
ultimate,"n. the finest or most superior quality of its kind
a. furthest or highest in degree or order; utmost or extreme
s. being the last or concluding element of a series"
unscathed,s not injured
abduct,v. pull away from the body
abode,"n any address at which you dwell more than temporarily
n housing that someone is living in
v dwell
v put up with something or somebody unpleasant"
abyss,n. a bottomless gulf or pit; any unfathomable (or apparently unfathomable) cavity or chasm or void extending below (often used figuratively)
arbitrate,v act between parties with a view to reconciling differences
attribute,n. an abstraction belonging to or characteristic of an entity
capricious,"s. changeable
s. determined by chance or impulse or whim rather than by necessity or reason"
compromise,"n. a middle way between two extremes
n. an accommodation in which both sides make concessions
v. make a compromise; arrive at a compromise; we all must compromise""
v. settle by concession"
devout,s. deeply religious
distraught,s. deeply agitated especially from emotion
enlighten,"v. make understand
v. give spiritual insight to; in religion"
incline,"v. bend or turn (one's ear) towards a speaker in order to listen well
v. lower or bend (the head or upper body), as in a nod or bow
v. feel favorably disposed or willing"
intervene,"v. get involved, so as to alter or hinder an action, or through force or threat of force
v. be placed or located between other things or extend between spaces and events
v. occur between other event or between certain points of time"
necessity,"n. the condition of being essential or indispensable
n. anything indispensable"
orbit,"n. the (usually elliptical) path described by one celestial body in its revolution about another
n. the path of an electron around the nucleus of an atom"
sacred,"a. concerned with religion or religious purposes
s. worthy of respect or dedication
s. (often followed by `to') devoted exclusively to a single use or purpose or person"
arduous,"s. characterized by effort to the point of exhaustion; especially physical effort
s. taxing to the utmost; testing powers of endurance
s. difficult to accomplish; demanding considerable mental effort and skill"
canny,s showing self-interest and shrewdness in dealing with others
climax,"n. the highest point of anything conceived of as growing or developing or unfolding
n. the decisive moment in a novel or play
n. the most severe stage of a disease
n. arrangement of clauses in ascending order of forcefulness"
endorse,v. sign as evidence of legal transfer
exuberant,s. produced or growing in extreme abundance
intrepid,s invulnerable to fear or intimidation
kindle,"v. catch fire
v. cause to start burning"
lucrative,s. producing a sizeable profit
mentor,"n. a wise and trusted guide and advisor
v. serve as a teacher or trusted counselor"
obsession,n. an unhealthy and compulsive preoccupation with something or someone
personable,s. (of persons) pleasant in appearance and personality
proficient,"s having or showing knowledge and skill and aptitude
a of or relating to technique or proficiency in a practical skill"
scanty,"n short underpants for women or children (usually used in the plural)
s lacking in amplitude or quantity"
strait,"n. a narrow channel of the sea joining two larger bodies of water
s. narrow"
zest,v. add herbs or spices to
allege,v. report or maintain
conclusive,a. forming an end or termination; especially putting an end to doubt or question
counterpart,"n. a person or thing having the same function or characteristics as another
n. a duplicate copy"
dismal,s causing dejection
enthrall,v hold spellbound
exotic,s. strikingly strange or unusual
incredulous,a. not disposed or willing to believe; unbelieving
legendary,s. so celebrated as to having taken on the nature of a legend
lurk,"v. lie in wait, lie in ambush, behave in a sneaky and secretive manner"
menagerie,"n. a collection of live animals for study or display
n. the facility where wild animals are housed for exhibition"
naive,"a. marked by or showing unaffected simplicity and lack of guile or worldly experience
s. inexperienced"
pander,v. arrange for sexual partners for others
plausible,"a. apparently reasonable and valid, and truthful
s. given to or characterized by presenting specious arguments"
preposterous,s incongruous; inviting ridicule
scrupulous,a. having scruples; arising from a sense of right and wrong; principled
complement,"n. a word or phrase used to complete a grammatical construction
n. a complete number or quantity
n. number needed to make up a whole force
n. something added to complete or embellish or make perfect"
component,"n. an abstract part of something
n. an artifact that is one of the individual parts of which a composite entity is made up; especially a part that can be separated from or attached to a system"
conjure,"v summon into action or bring into existence, often as if by magic
v ask for or request earnestly
v engage in plotting or enter into a conspiracy, swear together"
emphasize,"v to stress, single out as important
v give extra weight to (a communication)"
homage,n respectful deference
impromptu,"n. an extemporaneous speech or remark
n. a short musical passage that seems to have been made spontaneously without advance preparation"
lush,s. full of juice
medley,n. a musical composition consisting of a series of songs or other musical pieces from various sources
oblige,"v. bind by an obligation; cause to be indebted
v. provide a service or favor for someone"
pretentious,a. making claim to or creating an appearance of (often undeserved) importance or distinction
prowess,n a superior skill that you can learn by study and practice and observation
rustic,n. an unsophisticated country person
subtle,s. able to make fine distinctions
vocation,"n the particular occupation for which you are trained
n a body of people doing the same kind of work"
warble,"n. a lumpy abscess under the hide of domestic mammals caused by larvae of a botfly or warble fly
v. sing or play with trills, alternating with the half note above or below"
bounty,"n. payment or reward (especially from a government) for acts such as catching criminals or killing predatory animals or enlisting in the military
n. generosity evidenced by a willingness to give freely
n. a ship of the British navy; in 1789 part of the crew mutinied against their commander William Bligh and set him afloat in an open boat"
camouflage,"n. fabric dyed with splotches of green and brown and black and tan; intended to make the wearer of a garment made of this fabric hard to distinguish from the background
n. device or stratagem for concealment or deceit
v. disguise by camouflaging; exploit the natural surroundings to disguise something"
ebb,"n. a gradual decline (in size or strength or power or number)
n. the outward flow of the tide
v. flow back or recede"
forage,v. wander and feed
harass,"v. annoy continually or chronically
v. exhaust by attacking repeatedly"
insulate,"v. protect from heat, cold, or noise by surrounding with insulating material"
lethargic,a. deficient in alertness or activity
maneuver,"n. a military training exercise
n. a deliberate coordinated movement requiring dexterity and skill
n. a move made to gain a tactical end"
mottled,"v mark with spots or blotches of different color or shades of color as if stained
v colour with streaks or blotches of different shades
s having spots or patches of color"
murky,s. dark or gloomy
proximity,"n. the property of being close together
n. the region close around a person or thing
n. a Gestalt principle of organization holding that (other things being equal) objects or events that are near to one another (in space or time) are perceived as belonging together as a unit"
replenish,v. fill something that had previously been emptied
sleek,s. well-groomed and neatly tailored; especially too well-groomed
wary,a. marked by keen caution and watchful prudence
wean,"v. gradually deprive (infants and young mammals) of mother's milk
v. detach the affections of"
appoint,"v. create and charge with a task or function
v. assign a duty, responsibility or obligation to
v. furnish"
assent,"n. agreement with a statement or proposal to do something
v. to agree or express agreement"
concur,v. happen simultaneously
consult,"v. get or ask advice from
v. seek information from
v. advise professionally"
dissuade,v. turn away from by persuasion
flabbergast,v. overcome with amazement
haggle,"n. an instance of intense argument (as in bargaining)
v. wrangle (over a price, terms of an agreement, etc.)"
perturb,"v. disturb in mind or make uneasy or cause to be worried or alarmed
v. disturb or interfere with the usual path of an electron or atom
v. cause a celestial body to deviate from a theoretically regular orbital motion, especially as a result of interposed or extraordinary gravitational pull"
procure,v. get by special effort
receptive,"s. open to arguments, ideas, or change
a. ready or willing to receive favorably
s. able to absorb liquid (not repellent)"
repudiate,"v. refuse to acknowledge, ratify, or recognize as valid
v. refuse to recognize or pay
v. reject as untrue, unfounded, or unjust"
resolve,"v. make clearly visible
v. find the solution"
signify,"v. convey or express a meaning
v. make known with a word or signal"
sovereign,"n. a nation's ruler or head of state usually by hereditary right
s. greatest in status or authority or power"
trifling,"n the deliberate act of delaying and playing instead of working
v waste time; spend one's time idly or inefficiently
v act frivolously
v consider not very seriously
s not worth considering"
acclaim,"n. enthusiastic approval
v. praise vociferously"
bigot,n. a prejudiced person who is intolerant of any opinions differing from his own
covet,"v. wish, long, or crave for (something, especially the property of another person)"
deceased,"n someone who is no longer alive
v pass from physical life and lose all bodily attributes and functions necessary to sustain life
s dead"
formidable,"s. extremely impressive in strength or excellence
s. inspiring fear"
ghetto,"n. formerly the restricted quarter of many European cities in which Jews were required to live
n. any segregated mode of living or working that results from bias or stereotyping
n. a poor densely populated city district occupied by a minority ethnic group linked together by economic hardship and social restrictions"
momentous,s. of very great significance
oppress,v. come down on or keep down by unjust use of one's authority
overwhelm,"v. overcome, as with emotions or perceptual stimuli
v. charge someone with too many tasks"
perceive,"v. to become aware of through the senses
v. become conscious of"
premiere,n. the first public performance of a play or movie
prospective,a. of or concerned with or related to the future
spurn,v reject with contempt
staunch,"v stop the flow of a liquid
s firm and dependable especially in loyalty"
theme,"n. a unifying idea that is a recurrent element in literary or artistic work
n. (music) melodic subject of a musical composition
v. provide with a particular theme or motive"
adverse,"s. contrary to your interests or welfare
s. in an opposing direction"
aloof,"s. remote in manner
r. in an aloof manner"
alternative,"s. necessitating a choice between mutually exclusive possibilities
s. pertaining to unconventional choices"
canine,"n. one of the four pointed conical teeth (two in each jaw) located between the incisors and the premolars
n. any of various fissiped mammals with nonretractile claws and typically long muzzles
a. of or relating to a pointed conical tooth"
compulsory,s. required by rule
consecutive,"s. in regular succession without gaps
r. in a consecutive manner"
desolate,s. crushed by grief
dispatch,"n. an official report (usually sent in haste)
n. the act of sending off something
n. the property of being prompt and efficient
n. killing a person or animal"
distinction,"n. a distinguishing quality
n. a distinguishing difference"
endure,"v put up with something or somebody unpleasant
v face and withstand with courage
v continue to live through hardship or adversity
v undergo or be subjected to
v last and be usable
v persist for a specified period of time
v continue to exist"
fluctuate,"v. cause to fluctuate or move in a wavelike pattern
v. move or sway in a rising and falling or wavelike pattern
v. be unstable"
grueling,s characterized by effort to the point of exhaustion; especially physical effort
maul,"n. a heavy long-handled hammer used to drive stakes or wedges
v. split (wood) with a maul and wedges
v. injure badly by beating"
participate,v. share in something
robust,"a. sturdy and strong in form, constitution, or construction
s. strong enough to withstand or overcome intellectual challenges or adversity
s. rough and crude"
apathy,"n. an absence of emotion or enthusiasm
n. the trait of lacking enthusiasm for or interest in things generally"
badger,"n. sturdy carnivorous burrowing mammal with strong claws; widely distributed in the northern hemisphere
v. persuade through constant efforts"
compel,"v. force somebody to do something
v. necessitate or exact"
delude,v be false to; be dishonest with
deplore,"v. express strong disapproval of
v. regret strongly"
derelict,"n. a person without a home, job, or property
s. failing in what duty requires"
detriment,n. a damage or loss
diversity,n. the condition or result of being changeable
emit,"v. expel (gases or odors)
v. give off, send forth, or discharge; as of light, heat, or radiation, vapor, etc."
foster,"n. United States songwriter whose songs embody the sentiment of the South before the American Civil War (1826-1864)
v. promote the growth of
v. bring up under fosterage; of children
v. help develop, help grow"
inanimate,"a. belonging to the class of nouns denoting nonliving things
a. not endowed with life"
incentive,n. a positive motivational influence
omen,n. a sign of something about to happen
species,"n. (biology) taxonomic group whose members can interbreed
n. a specific kind of something"
toxic,a. of or relating to or caused by a toxin or poison
