abolish,v. do away with
dilute,v. lessen the strength or flavor of a solution or mixture
dilution,"n. a diluted solution
n. weakening (reducing the concentration) by the addition of water or a thinner"
lavish,"v. expend profusely; also used with abstract nouns
s. very generous
s. characterized by extravagance and profusion"
relay,"n. the act of passing something along from one person or group to another
n. a crew of workers who relieve another crew
n. a fresh team to relieve weary draft animals
n. a race between teams; each member runs or swims part of the distance"
delegate,"n. a person appointed or elected to represent others
v. transfer power to someone
v. give an assignment to (a person) to a post, or assign a task to (a person)"
delegation,"n a group of representatives or delegates
n authorizing subordinates to make certain decisions"
diligent,"s. quietly and steadily persevering especially in detail or exactness
a. characterized by care and perseverance in carrying out tasks"
diligence,"n. conscientiousness in paying proper attention to a task; giving the degree of care required in a given situation
n. persevering determination to perform a task"
elegant,"a. refined and tasteful in appearance or behavior or style
s. suggesting taste, ease, and wealth
s. displaying effortless beauty and simplicity in movement or execution"
elegance,"n. a refined quality of gracefulness and good taste
n. a quality of neatness and ingenious simplicity in the solution of a problem (especially in science or mathematics)"
eligible,a. qualified for or allowed or worthy of being chosen
elite,n. a group or class of persons enjoying superior intellectual or social or economic status
intellect,"n knowledge and intellectual ability
n the capacity for rational thought or inference or discrimination
n a person who uses the mind creatively"
intellectual,"n. a person who uses the mind creatively
s. of or associated with or requiring the use of the mind
a. appealing to or using the intellect"
intelligent,"a. having the capacity for thought and reason especially to a high degree
s. possessing sound knowledge
s. endowed with the capacity to reason"
intelligible,"a. well articulated or enunciated, and loud enough to be heard distinctly"
selection,n. an assortment of things from which a choice can be made
oblige,"v. bind by an obligation; cause to be indebted
v. provide a service or favor for someone"
obligation,"n. the state of being obligated to do or pay something
n. a personal relation in which one is indebted for a service or favor
n. a legal agreement specifying a payment or action and the penalty for failure to comply"
allege,v. report or maintain
legend,n. a story about mythical or supernatural beings or events
legendary,s. so celebrated as to having taken on the nature of a legend
legislation,"n. law enacted by a legislative body
n. the act of making or enacting laws"
legislative,"a. relating to a legislature or composed of members of a legislature
a. of or relating to or created by legislation"
legitimate,"v. show or affirm to be just and legitimate
v. make (an illegitimate child) legitimate; declare the legitimacy of (someone)
a. of marriages and offspring; recognized as lawful
s. based on known statements or events or conditions"
dilemma,n. state of uncertainty or perplexity especially as requiring a choice between equally unfavorable options
alleviate,"v provide physical relief, as from pain
v make easier"
alleviation,"n the feeling that comes when something burdensome is removed or reduced
n the act of reducing something unpleasant (as pain or annoyance)"
elevate,"v give a promotion to or assign to a higher position
v raise from a lower to a higher position
v raise in rank or condition"
elevation,"n. the event of something being raised upward
n. angular distance above the horizon (especially of a celestial object)
n. distance of something above a reference point (such as sea level)"
lever,"n. a rigid bar pivoted about a fulcrum
n. a simple machine that gives a mechanical advantage when given a fulcrum
n. a flat metal tumbler in a lever lock"
leverage,"n. the mechanical advantage gained by being in a position to use a lever
n. strategic advantage; power to act effectively
n. investing with borrowed money as a way to amplify potential gains (at the risk of greater losses)
v. supplement with leverage"
levy,"n. a charge imposed and collected
n. the act of drafting into military service
v. impose and collect"
relieve,"v. provide physical relief, as from pain
v. free from a burden, evil, or distress
v. take by stealing
v. alleviate or remove (pressure or stress) or make less oppressive"
deliberate,s. carefully thought out in advance
deliberation,"n. (usually plural) discussion of all sides of a question
n. careful consideration
n. the trait of thoughtfulness in action or decision"
deliberately,"r with intention; in an intentional manner
r in a deliberate unhurried manner"
elicit,v. derive by reason
lieutenant,"n. a commissioned military officer
n. an officer in a police force
n. an officer holding a commissioned rank in the United States Navy or the United States Coast Guard; below lieutenant commander and above lieutenant junior grade"
enlighten,"v. make understand
v. give spiritual insight to; in religion"
enlightenment,"n. education that results in understanding and the spread of knowledge
n. a movement in Europe from about 1650 until 1800 that advocated the use of reason and individualism instead of tradition and established doctrine"
twilight,"n. the time of day immediately following sunset
n. the diffused light from the sky when the sun is below the horizon but its rays are refracted by the atmosphere of the earth
n. a condition of decline following successes"
alignment,"n. the spatial property possessed by an arrangement or position of things in a straight line or in parallel lines
n. the act of adjusting or aligning the parts of a device in relation to each other"
linear,"a. designating or involving an equation whose terms are of the first degree
a. of or in or along or relating to a line; involving a single dimension
s. (of a leaf shape) long and narrow
s. measured lengthwise"
linen,"n. a fabric woven with fibers from the flax plant
n. a high-quality paper made of linen fibers or with a linen finish
n. white goods or clothing made with linen cloth"
liner,"n. (baseball) a hit that flies straight out from the batter
n. a piece of cloth that is used as the inside surface of a garment
n. a large commercial ship (especially one that carries passengers on a regular schedule)"
outline,"n. the line that appears to bound an object
n. a sketchy summary of the main points of an argument or theory
n. a schematic or preliminary plan"
streamline,v. contour economically or efficiently
underline,v. draw a line or lines underneath to call attention to
eclipse,"n. one celestial body obscures another
v. cause an eclipse of (a celestial body) by intervention"
literate,"n. a person who can read and write
a. able to read and write
a. versed in literature; dealing with literature
s. knowledgeable and educated in one or several fields"
illiterate,"n. a person unable to read
a. not able to read or write
a. lacking culture, especially in language and literature"
illiteracy,"n. ignorance resulting from not reading
n. an inability to read"
literacy,n. the ability to read and write
literal,"s. without interpretation or embellishment
a. limited to the explicit meaning of a word or text
s. avoiding embellishment or exaggeration (used for emphasis)"
literary,"a. of or relating to or characteristic of literature
s. knowledgeable about literature
s. appropriate to literature rather than everyday speech or writing"
allocate,v. distribute according to a plan or set apart for a special purpose
allocation,n. (computer science) the assignment of particular areas of a magnetic disk to particular data or instructions
locality,n a surrounding or nearby region
location,"n. a point or extent in space
n. a workplace away from a studio at which some or all of a movie may be made"
locate,"v. discover the location of; determine the place of; find by searching or examining
v. assign a location to"
locomotive,"n. a wheeled vehicle consisting of a self-propelled engine that is used to draw trains along railway tracks
a. of or relating to locomotion"
locomotion,"n. the power or ability to move
n. self-propelled movement"
analogue,"n. something having the property of being analogous to something else
a. of a circuit or device having an output that is proportional to the input"
analogous,"s. similar or equivalent in some respects though otherwise dissimilar
a. corresponding in function but not in evolutionary origin"
analogy,"n. an inference that if things agree in some respects they probably agree in others
n. drawing a comparison in order to show a similarity in some respect"
catalogue,"v. make an itemized list or catalog of; classify
v. make a catalogue, compile a catalogue"
log,"n. a segment of the trunk of a tree when stripped of branches
n. a written record of messages sent or received
n. a written record of events on a voyage (of a ship or plane)
n. measuring instrument that consists of a float that trails from a ship by a knotted line in order to measure the ship's speed through the water"
monologue,"n. a long utterance by one person (especially one that prevents others from participating in the conversation)
n. a (usually long) dramatic speech by a single actor"
slogan,n a favorite saying of a sect or political group
longevity,"n. duration of service
n. the property of being long-lived"
longitude,n. the angular distance between a point on any meridian and the prime meridian at Greenwich
prolong,"v. lengthen in time; cause to be or last longer
v. lengthen or extend in duration or space"
eloquent,"s. expressing yourself readily, clearly, effectively"
eloquence,n. powerful and effective language
lubricate,"v. have lubricating properties
v. apply a lubricant to
v. make slippery or smooth through the application of a lubricant"
lubricant,n. a substance capable of reducing friction by making surfaces smooth or slippery
illustrate,"v. depict with an illustration
v. supply with illustrations"
illustration,"n. artwork that helps make something clear or attractive
n. a visual representation (a picture or diagram) that is used make some subject more pleasing or easier to understand"
delusion,"n. (psychology) an erroneous belief that is held in the face of evidence to the contrary
n. a mistaken or unfounded opinion or idea
n. the act of deluding; deception by creating illusory ideas"
delude,v be false to; be dishonest with
illusion,"n. an erroneous mental representation
n. something many people believe that is false"
illusory,s based on or having the nature of an illusion
disillusion,"n freeing from false belief or illusions
v free from enchantment"
illuminate,v. add embellishments and paintings to (medieval manuscripts)
illumination,n. the degree of visibility of your environment
illuminator,"n. One whose occupation is to adorn books, especially
   manuscripts, with miniatures, borders, etc. See Illuminate, v. t., 3.
v. t. A condenser or reflector of light in optical
   apparatus; also, an illuminant."
luminous,s softly bright or radiant
lunar,a. of or relating to or associated with the moon
luxurious,"s displaying luxury and furnishing gratification to the senses
s rich and superior in quality"
luxury,"n. something that is an indulgence rather than a necessity
n. wealth as evidenced by sumptuous living"
analyst,"n. someone who is skilled at analyzing data
n. an expert who studies financial data (on credit or securities or sales or financial patterns etc.) and recommends appropriate business actions
n. a licensed practitioner of psychoanalysis"
analytic,"a. using or subjected to a methodology using algebra and calculus
a. using or skilled in using analysis (i.e., separating a whole--intellectual or substantial--into its elemental parts or basic principles)
a. expressing a grammatical category by using two or more words rather than inflection"
analytical,"a using or skilled in using analysis (i.e., separating a whole--intellectual or substantial--into its elemental parts or basic principles)
a of a proposition that is necessarily true independent of fact or experience"
catalyst,"n. (chemistry) a substance that initiates or accelerates a chemical reaction without itself being affected
n. something that causes an important event to happen"
paralyse,"v make powerless and unable to function
v cause to be paralyzed and immobile"
magistrate,n. a lay judge or civil authority who administers the law (especially one who conducts a court dealing with minor offenses)
magnify,"v. increase in size, volume or significance"
magnification,"n. the act of expanding something in apparent size
n. the ratio of the size of an image to the size of the object"
magnitude,"n. the property of relative size or extent (whether large or small)
n. relative importance"
malice,n. feeling a need to see others suffer
malicious,a. having the nature of or resulting from malice
mammal,n. any warm-blooded vertebrate having the skin more or less covered with hair; young are born alive except for the small subclass of monotremes and nourished with milk
mansion,n. a large and imposing house
remainder,"n. something left after other parts have been taken away
n. the part of the dividend that is left over when the dividend is not evenly divisible by the divisor
n. the number that remains after subtraction; the number that when added to the subtrahend gives the minuend
v. sell cheaply as remainders"
remnant,"n a small part or portion that remains after the main part no longer exists
n a piece of cloth that is left over after the rest has been used or sold"
maintenance,"n. means of maintenance of a family or group
n. the unauthorized interference in a legal action by a person having no interest in it (as by helping one party with money or otherwise to continue the action) so as to obstruct justice or promote unnecessary litigation or unsettle the peace of the community"
manifest,"n. a customs document listing the contents put on a ship or plane
v. record in a ship's manifest
v. reveal its presence or make an appearance"
manifestation,"n. a clear appearance
n. a manifest indication of the existence or presence or nature of some person or thing"
manipulate,"v. influence or control shrewdly or deviously
v. hold something in one's hands and move it
v. control (others or oneself) or influence skillfully, usually to one's advantage
v. treat manually, as with massage, for therapeutic purposed"
manipulation,n. exerting shrewd or devious influence especially for one's own advantage
manuscript,"n. the form of a literary work submitted for publication
n. handwritten book or document"
margin,"n. the boundary line or the area immediately inside the boundary
n. an amount beyond the minimum necessary
n. the amount of collateral a customer deposits with a broker when borrowing from the broker to buy securities
n. the blank space that surrounds the text on a page"
marginal,s. producing at a rate that barely covers production costs
masculine,"n. a gender that refers chiefly (but not exclusively) to males or to objects classified as male
a. of grammatical gender
a. associated with men and not with women
s. (music or poetry) ending on an accented beat or syllable"
automatic,"a. operating with minimal human intervention; independent of external control
s. resembling the unthinking functioning of a machine
s. without volition or conscious control"
automation,"n. the act of implementing the control of equipment with advanced technology; usually involving electronic hardware
n. the condition of being automatically operated or controlled
n. equipment used to achieve automatic control or operation"
pneumatic,a. of or relating to or using air (or a similar gas)
mature,"v. develop and reach maturity; undergo maturation
v. develop and work out fully in one's mind
v. become due for repayment
a. characteristic of maturity"
premature,"a. born after a gestation period of less than the normal time
s. uncommonly early or before the expected time"
permeate,v. spread or diffuse through
mechanics,n. the branch of physics concerned with the motion of bodies in a frame of reference
mechanical,"a. using (or as if using) mechanisms or tools or devices
a. relating to or concerned with machinery or tools
a. relating to or governed by or in accordance with mechanics"
mechanism,"n. the atomic process that occurs during a chemical reaction
n. the technical aspects of doing something
n. a natural object resembling a machine in structure or function
n. (philosophy) the philosophical theory that all phenomena can be explained in terms of physical or biological causes"
mediate,"v. occupy an intermediate or middle position or form a connecting link or stage between two others
a. acting through or dependent on an intervening agency"
mediation,"n. a negotiation to resolve differences that is conducted by some impartial party
n. the act of intervening for the purpose of bringing about a settlement"
intermediate,"n. a substance formed during a chemical process before the desired product is obtained
a. lying between two extremes in time or space or state"
midst,n. the location of something surrounded by other things
meditation,"n. continuous and profound contemplation or musing on a subject or series of subjects of a deep or abstruse nature
n. (religion) contemplation of spiritual matters (usually on religious or philosophical subjects)"
meditate,"v reflect deeply on a subject
v think intently and at length, as for spiritual purposes"
commemorate,"v. mark by some ceremony or observation
v. call to remembrance; keep alive the memory of someone or something, as in a ceremony
v. be or provide a memorial to a person or an event"
commemoration,n. a ceremony to honor the memory of someone or something
memorize,v. commit to memory; learn by heart
memorization,n. learning so as to be able to remember verbatim
menace,"n. something that is a source of danger
n. a threat or the act of threatening
v. express a threat either by an utterance or a gesture
v. act in a threatening manner"
commend,"v. express approval of
v. present as worthy of regard, kindness, or confidence
v. give to in charge
v. express a good opinion of"
recommendation,"n. something (as a course of action) that is recommended as advisable
n. something that recommends (or expresses commendation of) a person or thing as worthy or desirable
n. any quality or characteristic that gains a person a favorable reception or acceptance or admission"
amend,v. make amendments to
commentary,n a written explanation or criticism or illustration that is added to a book or other textual material
commercial,"n. a commercially sponsored ad on radio or television
a. connected with or engaged in or sponsored by or used in commerce or commercial enterprises
a. of or relating to commercialism
s. of the kind or quality used in commerce; average or inferior"
merchandise,n. commodities offered for sale
emerge,"v. come out into view, as from concealment
v. become known or apparent
v. come up to the surface of or rise"
emergence,"n. the gradual beginning or coming forth
n. the becoming visible
n. the act of emerging"
immerse,"v. thrust or throw into
v. enclose or envelop completely, as if by swallowing"
merge,"v become one
v mix together different elements
v join or combine"
metallic,"n. a fabric made of a yarn that is partly or entirely of metal
n. a yarn made partly or entirely of metal
a. containing or made of or resembling or characteristic of a metal"
metallurgy,n. the science and technology of metals
metallurgical,a. of or relating to metallurgy
metallurgist,n. an engineer trained in the extraction and refining and alloying and fabrication of metals
barometer,n. an instrument that measures atmospheric pressure
dimension,"n. the magnitude of something in a particular direction (especially length or width or height)
n. one of three Cartesian coordinates that determine a position in space
v. indicate the dimensions on
v. shape or form to required dimensions"
measurement,n. the act or process of assigning numbers to phenomena according to a rule
parameter,"n. a constant in the equation of a curve that can be varied to yield a family of similar curves
n. any factor that defines a system and determines (or limits) its performance
n. a quantity (such as the mean or variance) that characterizes a statistical population and that can be estimated by calculations from sample data"
perimeter,n. a line enclosing a plane areas
symmetry,"n. (mathematics) an attribute of a shape or relation; exact reflection of form on opposite sides of a dividing line or plane
n. balance among the parts of something"
symmetrical,"a. having similarity in size, shape, and relative position of corresponding parts"
metropolitan,"n. in the Eastern Orthodox Church this title is given to a position between bishop and patriarch; equivalent to archbishop in western Christianity
n. a person who lives in a metropolis
a. relating to or characteristic of a metropolis"
metropolis,"n a large and densely populated urban area; may include several independent administrative districts
n people living in a large densely populated municipality"
migrate,"v. move from one country or region to another and settle there
v. move periodically or seasonally"
migration,"n. the movement of persons from one country or locality to another
n. a group of people migrating together (especially in some given time period)
n. (chemistry) the nonrandom movement of an atom or radical from one place to another within a molecule"
emigrate,v. leave one's country of residence for a new one
emigrant,n. someone who leaves one country to settle in another
immigrate,"v. migrate to a new environment
v. introduce or send as immigrants
v. come into a new country and change residency"
immigration,"n. migration into a place (especially migration to a country of which you are not a native in order to settle there)
n. the body of immigrants arriving during a specified interval"
migrant,"n. traveler who moves from one region or country to another
s. habitually moving from place to place especially in search of seasonal work"
militant,"n. a militant reformer
s. disposed to warfare or hard-line policies"
military,"n. the military forces of a nation
a. of or relating to the study of the principles of warfare
a. characteristic of or associated with soldiers or the military
a. associated with or performed by members of the armed services as contrasted with civilians"
administer,"v. work in an administrative capacity; supervise or be in charge of
v. perform (a church sacrament) ritually
v. give or apply (medications)
v. direct the taking of"
administration,"n. a method of tending to or managing the affairs of a some group of people (especially the group's business affairs)
n. the persons (or committees or departments etc.) who make up a body for the purpose of administering something
n. the act of administering medication
n. the act of meting out justice according to the law"
diminish,"v. lessen the authority, dignity, or reputation of"
miniature,"n. painting or drawing included in a book (especially in illuminated medieval manuscripts)
n. a copy that reproduces a person or thing in greatly reduced size
s. being on a very small scale"
minimal,a. the least possible
minimum,"n. the smallest possible quantity
n. the point on a curve where the tangent changes from negative on the left to positive on the right"
minimize,"v. make small or insignificant
v. cause to seem less serious; play down"
dominate,"v. be in control
v. have dominance or the power to defeat over
v. look down on"
domination,"n. social control by dominating
n. power to dominate or defeat"
dominant,"n. (music) the fifth note of the diatonic scale
a. exercising influence or control
a. (of genes) producing the same phenotype whether its allele is identical or dissimilar"
predominant,"s most frequent or common
s having superior power and influence"
admiration,"n. a feeling of delighted approval and liking
n. a favorable judgment"
admirable,"s. deserving of the highest esteem or admiration
s. inspiring admiration or approval"
miser,n. a stingy hoarder of money and possessions (often living miserably)
miserly,s (used of persons or behavior) characterized by or indicative of lack of generosity
misery,"n. a state of ill-being due to affliction or misfortune
n. a feeling of intense unhappiness"
miserable,"s. very unhappy; full of misery
s. characterized by physical misery"
commission,"n. a fee for services rendered based on a percentage of an amount received or collected or agreed to be paid (as distinguished from a salary)
n. the act of granting authority to undertake certain functions
n. the state of being in good working order and ready for operation
n. a formal statement of a command or injunction to do something"
commit,"v. cause to be admitted; of persons to an institution
v. engage in or perform"
committee,"n. a special group delegated to consider some matter
n. a self-constituted organization to promote something"
dismiss,"v. bar from attention or consideration
v. cease to consider; put out of judicial consideration
v. stop associating with
v. end one's encounter with somebody by causing or permitting the person to leave"
dismission,"n official notice that you have been fired from your job
n the termination of someone's employment (leaving them free to depart)"
emission,"n. the act of emitting; causing to flow forth
n. the release of electrons from parent atoms
n. the occurrence of a flow of water (as from a pipe)"
emissive,"a. Sending out; emitting; as, emissive powers."
emit,"v. expel (gases or odors)
v. give off, send forth, or discharge; as of light, heat, or radiation, vapor, etc."
intermittent,s. stopping and starting at irregular intervals
missionary,"n. someone who attempts to convert others to a particular doctrine or program
n. someone sent on a mission--especially a religious or charitable mission to a foreign country
a. relating to or connected to a religious mission"
permissible,"a. that may be permitted especially as according to rule
s. that may be accepted or conceded"
permissive,"a. not preventive
a. granting or inclined or able to grant permission; not strict in discipline"
permission,n. approval to do something
premise,"n. a statement that is assumed to be true and from which a conclusion can be drawn
v. set forth beforehand, often as an explanation
v. take something as preexisting and given"
promising,s. showing possibility of achievement or excellence
transmission,"n. the act of sending a message; causing a message to be transmitted
n. communication by means of transmitted signals
n. the gears that transmit power from an automobile engine via the driveshaft to the live axle"
transmit,v. send from one person or place to another
transmitter,n. set used to broadcast radio or tv signals
mob,n. a disorderly crowd of people
mobbish,s. characteristic of a mob; disorderly or lawless
mobilize,"v. make ready for action or use
v. get ready for war
v. cause to move around"
mobilization,"n. act of assembling and putting into readiness for war or other emergency: ""mobilization of the troops""
n. act of marshaling and organizing and making ready for use or action"
accommodate,"v. provide with something desired or needed
v. have room for; hold without crowding
v. make (one thing) compatible with (another)"
accommodation,"n. a settlement of differences
n. in the theories of Jean Piaget: the modification of internal representations in order to accommodate a changing knowledge of reality
n. living quarters provided for public convenience
n. the act of providing something (lodging or seat or food) to meet a need"
commodity,n. articles of commerce
moderately,r. with moderation; in a moderate manner
moderation,"n. quality of being moderate and avoiding extremes
n. the action of lessening in severity or intensity"
modesty,"n. freedom from vanity or conceit
n. formality and propriety of manner"
modify,"v. make less severe or harsh or extreme
v. add a modifier to a constituent"
modification,"n. slightly modified copy; not an exact copy
n. the grammatical relation that exists when a word qualifies the meaning of the phrase"
modulate,"v. change the key of, in music
v. adjust the pitch, tone, or volume of
v. vary the frequency, amplitude, phase, or other characteristic of (electromagnetic waves)"
modulation,"n. (electronics) the transmission of a signal by using it to vary a carrier wave; changing the carrier's amplitude or frequency or phase
n. a manner of speaking in which the loudness or pitch or tone of the voice is modified
n. the act of modifying or adjusting according to due measure and proportion (as with regard to artistic effect)"
module,"n. detachable compartment of a spacecraft
n. computer circuit consisting of an assembly of electronic components (as of computer hardware)
n. a self-contained component (unit or item) that is used in combination with other components"
molecular,"a. relating to or produced by or consisting of molecules
a. relating to simple or elementary organization"
momentary,s lasting for a markedly brief time
momentarily,"r. for an instant or moment
r. at any moment"
momentum,"n. an impelling force or strength
n. the product of a body's mass and its velocity"
sermon,"n. an address of a religious nature (usually delivered during a church service)
n. a moralistic rebuke"
sermonize,v. speak as if delivering a sermon; express moral judgements
sermonizer,n someone whose occupation is preaching the gospel
summon,"v. call in an official matter, such as to attend court
v. ask to come"
monk,"n. a male religious living in a cloister and devoting himself to contemplation and prayer and work
n. United States jazz pianist who was one of the founders of the bebop style (1917-1982)"
monkish,s. befitting a monk; inclined to self-denial
monstrous,s. abnormally large
morality,n. concern with the distinction between good and evil or right and wrong; right or good conduct
moralize,"v. interpret the moral meaning of
v. improve the morals of"
mortal,"a. subject to death
s. unrelenting and deadly"
mortality,n. the quality or state of being mortal
immortal,"n. a person (such as an author) of enduring fame
a. not subject to death"
immortality,"n. the quality or state of being immortal
n. perpetual life after death"
immortalize,v. make famous forever
mortgage,"n. a conditional conveyance of property as security for the repayment of a loan
v. put up as security or collateral"
mortgagee,n. the person who accepts a mortgage
mortgagor,n. the person who gives a mortgage in return for money to be repaid
motel,n. a motor hotel
motivate,v. give an incentive for action
motivation,"n. the psychological feature that arouses an organism to action toward a desired goal; the reason for the action; that which gives purpose and direction to behavior
n. the condition of being motivated
n. the act of motivating; providing incentive"
promotion,"n. a message issued in behalf of some product or cause or idea or person or institution
n. act of raising in rank or position
n. encouragement of the progress or growth or acceptance of something"
mount,"n. a mounting consisting of a piece of metal (as in a ring or other jewelry) that holds a gem in place
v. attach to a support
v. fix onto a backing, setting, or support
v. put up or launch"
mounting,n. framework used for support or display
mountainous,"s. like a mountain in size and impressiveness
s. containing many mountains"
ammunition,"n. projectiles to be fired from a gun
n. any nuclear or chemical or biological material that can be used as a weapon of mass destruction
n. information that can be used to attack or defend a claim or argument or viewpoint"
community,"n. a group of people living in a particular local area
n. common ownership
n. a group of nations having common interests
n. agreement as to goals"
communal,"s. for or by a group rather than individuals
a. relating to a small administrative district or community"
immune,"n. a person who is immune to a particular infection
a. relating to the condition of immunity
s. secure against
s. relating to or conferring immunity (to disease or infection)"
immunity,"n. (medicine) the condition in which an organism can resist disease
n. the quality of being unaffected by something"
municipal,"a. relating or belonging to or characteristic of a municipality
s. of or relating to the government of a municipality"
municipality,"n. an urban district having corporate status and powers of self-government
n. people living in a town or city having local self-government"
amusement,n. a feeling of delight at being entertained
commute,"n. a regular journey of some distance to and from your place of work
v. exchange positions without a change in value
v. travel back and forth regularly, as between one's place of work and home
v. exchange a penalty for a less severe one"
commuter,"n. a passenger train that is ridden primarily by passengers who travel regularly from one place to another
n. someone who travels regularly from home in a suburb to work in a city"
common,"a. belonging to or participated in by a community as a whole; public
a. having no special distinction or quality; widely known or commonly encountered; average or ordinary or usual
s. common to or shared by two or more parties
s. commonly encountered"
commonality,n. sharing of common attributes
commonplace,"s. completely ordinary and unremarkable
s. not challenging; dull and lacking excitement"
commonsense,s. exhibiting native good judgment
commonwealth,"n. the official name of some states in the United States (Massachusetts and Pennsylvania and Virginia and Kentucky) and associated territories (Puerto Rico)
n. a world organization of autonomous states that are united in allegiance to a central power but are not subordinate to it or to one another"
kidnap,v. take away to an undisclosed location against their will and usually in order to extract a ransom
kidnapper,n. someone who unlawfully seizes and detains a victim (usually for ransom)
interconnect,v. cause to be interconnected or interwoven
interconnection,"n. a state of being connected reciprocally
n. (computer science) the act of interconnecting (wires or computers or theories etc.)"
negative,"n. a reply of denial
n. a piece of photographic film showing an image with light and shade or colors reversed
a. characterized by or displaying negation or denial or opposition or resistance; having no positive features
a. expressing or consisting of a negation or refusal or denial"
negligence,"n. failure to act with the prudence that a reasonable person would exercise under the same circumstances
n. the trait of neglecting responsibilities and lacking concern"
negligent,a. characterized by neglect and undue lack of concern
negligible,"s. so small as to be meaningless; insignificant
s. not worth considering"
neutron,n. an elementary particle with 0 charge and mass about equal to a proton; enters into the structure of the atomic nucleus
nominal,"a. relating to or constituting or bearing or giving a name
s. insignificantly small; a matter of form only (`tokenish' is informal)
a. pertaining to a noun or to a word group that functions as a noun
a. of, relating to, or characteristic of an amount that is not adjusted for inflation"
nominate,"v. propose as a candidate for some honor
v. put forward; nominate for appointment to an office or for an honor or position"
nomination,"n. the act of officially naming a candidate
n. the condition of having been proposed as a suitable candidate for appointment or election"
autonomy,"n. immunity from arbitrary exercise of authority: political independence
n. personal independence"
autonomous,"s. (of political bodies) not controlled by outside forces
s. existing as an independent entity
s. (of persons) free from external control and constraint in e.g. action and judgment"
abnormal,"a. not normal; not typical or usual or regular or conforming to a norm
a. departing from the normal in e.g. intelligence and development
s. much greater than the normal"
norm,n. a standard or model or pattern regarded as typical
normalization,n the imposition of standards or regulations
normalize,"v. become normal or return to its normal state
v. make normal or cause to conform to a norm or standard"
denote,"v. be a sign or indication of
v. have as a meaning"
denotation,"n the act of indicating or pointing out by name
n the most direct or specific meaning of a word or expression; the class of objects that an expression refers to"
notable,"n a celebrity who is an inspiration to others
s worthy of notice
s widely known and esteemed"
notation,"n. a technical system of symbols used to represent special things
n. the activity of representing something by a special system of marks or characters"
notify,v inform (somebody) of something
notification,n. a request for payment
notorious,s known widely and usually unfavorably; 
notoriety,n. the state of being known for some unfavorable act or quality
announce,"v. make known; make an announcement
v. announce publicly or officially
v. give the names of
v. foreshadow or presage"
announcement,"n. a formal public statement
n. a public statement containing information about an event that has happened or is going to happen"
denounce,"v. speak out against
v. announce the termination of, as of treaties
v. give away information about somebody"
denouncement,n a public act of denouncing
nourish,v. provide with nourishment
nourishing,"v provide with nourishment
v give nourishment to
s of or providing nourishment"
nourishment,n. the act of nourishing
nutrient,n. any substance (such as a chemical element or inorganic compound) that can be taken in by a green plant and used in organic synthesis
nutrition,"n. (physiology) the organic process of nourishing or being nourished; the processes by which an organism assimilates food and uses it for growth and maintenance
n. the scientific study of food and drink (especially in humans)"
malnutrition,n. a state of poor nutrition; can result from insufficient or excessive or unbalanced diet or from inability to absorb foods
nurture,"n the properties acquired as a consequence of the way you were treated as a child
n helping someone grow up to be an accepted member of the community
v help develop, help grow
v bring up
v provide with nourishment"
innovation,"n a creation (a new device or process) resulting from study and experimentation
n the creation of something in the mind
n the act of starting something for the first time; introducing something new"
innovative,s. being or producing something like nothing done or experienced or created before
novelty,n. originality by virtue of being new and surprising
renovate,v. restore to a previous or better condition
renovation,"n. the act of improving by renewing and restoring
n. the state of being restored to its former good condition"
innumerable,s too numerous to be counted
numerical,a. relating to or having ability to think in or work with numbers
numerically,r. in number; with regard to numbers
obedience,"n. the act of obeying; dutiful or submissive behavior with respect to another person
n. the trait of being willing to obey
n. behavior intended to please your parents"
obedient,"a. dutifully complying with the commands or instructions of those in authority; the refractory remain unburdened""- Edmund Burke"
melody,n. the perception of pleasant arrangements of musical notes
melodious,a. containing or constituting or characterized by pleasing melody
anonymous,"a. having no known name or identity or known source
s. not known or lacking marked individuality"
anonymity,n. the state of being anonymous
cooperative,"n. a jointly owned commercial enterprise (usually organized by farmers or consumers) that produces and distributes goods and services and is run for the benefit of its owners
n. an association formed and operated for the benefit of those using it
a. done with or working with others for a common purpose or benefit"
cooperation,"n. joint operation or action
n. the practice of cooperating"
operation,"n. the state of being in effect or being operative
n. a business especially one run on a large scale
n. a planned activity involving many people performing various actions
n. (computer science) data processing in which the result is completely specified by a rule (especially the processing that results from a single instruction)"
adoption,"n. the act of accepting with approval; favorable reception
n. a legal proceeding that creates a parent-child relation between persons not related by blood; the adopted child is entitled to all privileges belonging to a natural child of the adoptive parents (including the right to inherit)"
option,"n. the right to buy or sell property at an agreed price; the right is purchased and if it is not exercised by a stated date the money is forfeited
n. one of a number of things from which only one can be chosen"
optional,a. possible but not necessary; left to personal choice
optical,a. of or relating to or involving light or optics
optimism,"n. the optimistic feeling that all is going to turn out well
n. a general disposition to expect the best in all things"
optimist,n. a person disposed to take a favorable view of things
optimistic,a. expecting the best in this best of all possible worlds
optimum,"n. most favorable conditions or greatest degree or amount possible under given circumstances
s. most desirable possible under a restriction expressed or implied"
adore,v. love intensely
adorable,s. lovable especially in a childlike or naive way
coordinate,"n. a number that identifies a position relative to an axis
v. bring into common action, movement, or condition
v. be co-ordinated
s. of equal importance, rank, or degree"
coordination,"n. the skillful and effective interaction of movements
n. the regulation of diverse elements into an integrated and harmonious operation
n. the grammatical relation of two constituents having the same grammatical form"
extraordinarily,r extremely
