hurdling,"n a footrace in which contestants must negotiate a series of hurdles
v jump a hurdle"
autonomous,"s. (of political bodies) not controlled by outside forces
s. existing as an independent entity
s. (of persons) free from external control and constraint in e.g. action and judgment"
federal,"n. a member of the Union Army during the American Civil War
n. any federal law-enforcement officer
s. national; especially in reference to the government of the United States as distinct from that of its member units
a. of or relating to the central government of a federation"
defence,"n (psychiatry) an unconscious process that tries to reduce the anxiety associated with instinctive desires
n (sports) the team that is trying to prevent the other team from scoring
n the defendant and his legal advisors collectively
n an organization of defenders that provides resistance against attack
n the speech act of answering an attack on your assertions
n the justification for some act or belief
n a structure used to defend against attack
n a defendant's answer or plea denying the truth of the charges against him
n (military) military action or resources protecting a country against potential enemies
n protection from harm
n the act of defending someone or something against attack or injury"
policy,"n. a plan of action adopted by an individual or social group
n. a line of argument rationalizing the course of action of a government
n. written contract or certificate of insurance"
tax,"n. charge against a citizen's person or property or activity for the support of government
v. levy a tax on
v. set or determine the amount of (a payment such as a fine)
v. use to the limit"
taxation,n. the imposition of taxes; the practice of the government in levying taxes on the subjects of a state
nation,"n. the people who live in a nation or country
n. United States prohibitionist who raided saloons and destroyed bottles of liquor with a hatchet (1846-1911)
n. a federation of tribes (especially Native American tribes)"
citizen,n. a native or naturalized member of a state or other political community
citizenship,"n. the status of a citizen with rights and duties
n. conduct as a citizen"
celebration,"n. a joyful occasion for special festivities to mark some happy event
n. any joyous diversion
n. the public performance of a sacrament or solemn ceremony with all appropriate ritual"
birthplace,"n. the place where someone was born
n. where something originated or was nurtured in its early existence"
tolerate,"v. recognize and respect (rights and beliefs of others)
v. have a tolerance for a poison or strong drug or pathogen or environmental condition"
tolerance,"n. the power or capacity of an organism to tolerate unfavorable environmental conditions
n. the act of tolerating something
n. willingness to recognize and respect the beliefs or practices of others"
migrant,"n. traveler who moves from one region or country to another
s. habitually moving from place to place especially in search of seasonal work"
homeland,n the country where you were born
via,"n. A road way.
prep. By the way of; as, to send a letter via Queenstown to
   London."
Adelaide,n. the state capital of South Australia
superb,s. surpassingly good
Nullarbor,none
rust,"n. a red or brown oxide coating on iron or steel caused by the action of oxygen and moisture
n. a plant disease that produces a reddish-brown discoloration of leaves and stems; caused by various rust fungi
n. the formation of reddish-brown ferric oxides on iron by low-temperature oxidation in the presence of water
n. any of various fungi causing rust disease in plants"
rusty,s. covered with or consisting of rust
tropical,"s. relating to or situated in or characteristic of the tropics (the region on either side of the equator)
a. of or relating to the tropics, or either tropic
s. characterized by or of the nature of a trope or tropes; changed from its literal sense
s. of weather or climate; hot and humid as in the tropics"
splendour,"n a quality that outshines the usual
n the quality of being magnificent or splendid or grand"
timetable,"n. a schedule listing events and the times at which they will take place
n. a schedule of times of arrivals and departures"
heritage,n. practices that are handed down from the past by tradition
aboriginal,"a. of or pertaining to members of the indigenous people of Australia
s. having existed from the beginning; in an earliest or original stage or state"
out of respect,none
fortnight,n. a period of fourteen consecutive days
reservation,"n. a district that is reserved for particular purpose
n. a statement that limits or restricts some claim
n. the written record or promise of an arrangement by which accommodations are secured in advance
n. something reserved in advance (as a hotel accommodation or a seat on a plane etc.)"
Hobart,n. a port and state capital of Tasmania
highway,n. a major road for any form of motor transport
cradle,"n. a baby bed with sides and rockers
n. birth of a person
v. hold gently and carefully
v. bring up from infancy"
rainfall,n water falling in drops from vapor condensed in the atmosphere
agriculture,n. the class of people engaged in growing food
sow,"n. an adult female hog
v. place (seeds) in or on the ground for future growth
v. introduce into an environment"
bachelor,"n. a man who has never been married
v. lead a bachelor's existence"
correspond,v. exchange messages
correspond with,none
owe,"v. be obliged to pay or repay
v. be indebted to, in an abstract or intellectual sense
v. be in debt"
owe ... to,none
enclosure,"n. a structure consisting of an area that has been enclosed for some purpose
n. the act of enclosing something inside something else
n. a naturally enclosed space
n. something (usually a supporting document) that is enclosed in an envelope with a covering letter"
authority,"n. the power or right to give orders or make decisions
n. (usually plural) persons who exercise (administrative) control over others
n. an expert whose views are taken as definitive
n. official permission or approval"
desperate,"n. a person who is frightened and in need of help
s. desperately determined
s. (of persons) dangerously reckless or violent as from urgency or despair
s. showing extreme courage; especially of actions courageously undertaken in desperation as a last resort"
shrink,"v. reduce in size; reduce physically
v. become smaller or draw together
v. decrease in size, range, or extent"
barbecue,"n. meat that has been barbecued or grilled in a highly seasoned sauce
n. a cookout in which food is cooked over an open fire; especially a whole animal carcass roasted on a spit
n. a rack to hold meat for cooking over hot charcoal usually out of doors"
talk ... into ...,none
wind,"n. air moving (sometimes with considerable force) from an area of high pressure to an area of low pressure
n. a tendency or force that influences events
n. breath
n. empty rhetoric or insincere or exaggerated talk"
wound,"n. an injury to living tissue (especially an injury involving a cut or break in the skin)
n. a casualty to military personnel resulting from combat
n. a figurative injury (to your feelings or pride)
n. the act of inflicting a wound"
limb,"n. one of the jointed appendages of an animal used for locomotion or grasping: arm; leg; wing; flipper
n. any of the main branches arising from the trunk or a bough of a tree
n. (astronomy) the circumferential edge of the apparent disc of the sun or the moon or a planet
n. either of the two halves of a bow from handle to tip"
venom,"n. toxin secreted by animals; secreted by certain snakes and poisonous insects (e.g., spiders and scorpions)"
venomous,"s extremely poisonous or injurious; producing venom
s marked by deep ill will; deliberately harmful"
anti-venom,none
paralyze,"v. make powerless and unable to function
v. cause to be paralyzed and immobile"
sickness,n. defectiveness or unsoundness
recover,"v. get or find back; recover the use of
v. regain a former condition after a financial loss
v. regain or make up for
v. cover anew"
funnel,"n. a conical shape with a wider and a narrower opening at the two ends
n. a conically shaped utensil having a narrow tube at the small end; used to channel the flow of substances into a container with a small mouth
n. (nautical) smokestack consisting of a shaft for ventilation or the passage of smoke (especially the smokestack of a ship)
v. move or pour through a funnel"
funnelweb spider,none
snatch,"n. a small fragment
n. a weightlift in which the barbell is lifted overhead in one rapid motion
v. to grasp hastily or eagerly
v. to make grasping motions"
amongst,"prep. Mixed or mingled; surrounded by.
prep. Conjoined, or associated with, or making part of the
   number of; in the number or class of.
prep. Expressing a relation of dispersion, distribution,
   etc.; also, a relation of reciprocal action."
vinegar,"n. sour-tasting liquid produced usually by oxidation of the alcohol in wine or cider and used as a condiment or food preservative
n. dilute acetic acid"
unconscious,"a. not conscious; lacking awareness and the capacity for sensory perception as if asleep or dead
s. without conscious volition
s. (followed by `of') not knowing or perceiving"
pollinate,v. fertilize by transfering pollen
pollinator,n. an insect that carries pollen from one flower to another
courtyard,n an area wholly or partly surrounded by walls or buildings
balcony,"n. an upper floor projecting from the rear over the main floor in an auditorium
n. a platform projecting from the wall of a building and surrounded by a balustrade or railing or parapet"
exotic,s. strikingly strange or unusual
date back to,none
distant,"a. separated in space or coming from or going to a distance
a. far apart in relevance or relationship or kinship
s. separate or apart in time
s. located far away spatially"
Egypt,n. a republic in northeastern Africa known as the United Arab Republic until 1971; site of an ancient civilization that flourished from 2600 to 30 BC
goods,"n benefit
n moral excellence or admirableness
n that which is pleasing or valuable or useful
n articles of commerce"
scale,"n. an ordered reference standard
n. relative magnitude
n. the ratio between the size of something and a representation of it
n. a specialized leaf or bract that protects a bud or catkin"
conflict,"n. an open clash between two opposing groups (or individuals)
n. opposition between two simultaneous but incompatible feelings
n. a state of opposition between persons or ideas or interests
n. an incompatibility of dates or events"
missionary,"n. someone who attempts to convert others to a particular doctrine or program
n. someone sent on a mission--especially a religious or charitable mission to a foreign country
a. relating to or connected to a religious mission"
d'Incarville,none
Joseph Banks,none
endeavour,"n a purposeful or industrious undertaking (especially one that requires effort or boldness)
n earnest and conscientious activity intended to do or accomplish something
v attempt by employing effort"
anchor,"n. a mechanical device that prevents a vessel from moving
n. a central cohesive source of support and stability
n. a television reporter who coordinates a broadcast to which several correspondents contribute
v. fix firmly and stably"
Nathaniel Ward,none
tight,"a. closely constrained or constricted or constricting
s. set so close together as to be invulnerable to penetration
s. affected by scarcity and expensive to borrow
a. of such close construction as to be impermeable"
seal,"n. a device incised to make an impression; used to secure a closing or to authenticate documents
n. the pelt or fur (especially the underfur) of a seal
n. a stamp affixed to a document (as to attest to its authenticity or to seal it)
n. a finishing coat applied to exclude moisture"
container,n. any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another)
Wardian case,none
restriction,"n. a principle that limits the extent of something
n. the act of keeping something within specified bounds (by force if necessary)"
fluency,"n. skillfulness in speaking or writing
n. the quality of being facile in speech and writing"
shave,"n. the act of removing hair with a razor
v. remove body hair with a razor
v. cut closely
v. cut the price of"
thunderstorm,n. a storm resulting from strong rising air currents; heavy rain or hail along with thunder and lightning
pirate,"n. someone who robs at sea or plunders the land from the sea without having a commission from any sovereign nation
n. a ship that is manned by pirates
v. copy illegally; of published material"
Father Farges,none
appeal,"n. attractiveness that interests or pleases or stimulates
n. (law) a legal proceeding in which the appellant resorts to a higher court for the purpose of obtaining a review of a lower court decision and a reversal of the lower court's judgment or the granting of a new trial
v. take a court case to a higher court for review
v. request earnestly (something from somebody); ask for aid or protection"
dove,"n. any of numerous small pigeons
n. someone who prefers negotiations to armed conflict in the conduct of foreign relations
n. an emblem of peace"
botanist,n. a biologist specializing in the study of plants
chrysanthemum,"n. the flower of a chrysanthemum plant
n. any of numerous perennial Old World herbs having showy brightly colored flower heads of the genera Chrysanthemum, Argyranthemum, Dendranthema, Tanacetum; widely cultivated"
red date,none
lower,"v. move something or somebody to a lower position
v. set lower
v. cause to drop or sink"
beard,"n. the hair growing on the lower part of a man's face
n. a tuft or growth of hairs or bristles on certain plants such as iris or grasses
n. a person who diverts suspicion from someone (especially a woman who accompanies a male homosexual in order to conceal his homosexuality)
n. hairy growth on or near the face of certain mammals"
ripe,"a. fully developed or matured and ready to be eaten or used
s. fully prepared or eager
s. at the highest point of development especially in judgment or knowledge"
irrigation,"n. supplying dry land with water by means of ditches etc
n. (medicine) cleaning a wound or body organ by flushing or washing out with water or a medicated solution"
weed,"n. any plant that crowds out cultivated plants
n. a black band worn by a man (on the arm or hat) as a sign of mourning
v. clear of weeds"
spear,"n. a long pointed rod used as a tool or weapon
n. an implement with a shaft and barbed point used for catching fish
v. pierce with a spear
v. thrust up like a spear"
string,"n. a lightweight cord
n. a tightly stretched cord of wire or gut, which makes sound when plucked, struck, or bowed
n. a sequentially ordered set of things or events or ideas in which each successive member is related to the preceding
n. a linear sequence of symbols (characters or words or phrases)"
spade,"n. a playing card in the major suit that has one or more black figures on it
n. a sturdy hand shovel that can be pushed into the earth with the foot
v. dig (up) with a spade"
postpone,v. hold back to a later time
pyramid,"n. a polyhedron having a polygonal base and triangular sides with a common vertex
n. (stock market) a series of transactions in which the speculator increases his holdings by using the rising market value of those holdings as margin for further purchases
n. a massive monument with a square base and four triangular sides; begun by Cheops around 2700 BC as royal tombs in ancient Egypt
v. enlarge one's holdings on an exchange on a continued rise by using paper profits as margin to buy additional amounts"
monument,n. an important site that is marked and preserved as public property
pitcher,"n. (baseball) the person who does the pitching
n. an open vessel with a handle and a spout for pouring
n. the quantity contained in a pitcher
n. (botany) a leaf that that is modified in such a way as to resemble a pitcher or ewer"
Rafflesia arnoldii,none
rot,"n a state of decay usually accompanied by an offensive odor
n (biology) the process of decay caused by bacterial or fungal action
n unacceptable behavior (especially ludicrously false statements)
v break down
v become physically weaker"
evolve,"v. work out
v. undergo development or evolution"
evolution,n. (biology) the sequence of events involved in the evolutionary development of a species or taxonomic group of organisms
nectar,"n. a sweet liquid secretion that is attractive to pollinators
n. fruit juice especially when undiluted"
attach,"v. cause to be attached
v. be attached; be in contact with
v. become attached"
wasp,"n. a white person of Anglo-Saxon ancestry who belongs to a Protestant denomination
n. social or solitary hymenopterans typically having a slender body with the abdomen attached by a narrow stalk and having a formidable sting"
beetle,"n. insect having biting mouthparts and front wings modified to form horny covers overlying the membranous rear wings
v. fly or go in a manner resembling a beetle
v. beat with a beetle
s. jutting or overhanging"
bat,"n. nocturnal mouselike mammal with forelimbs modified to form membranous wings and anatomical adaptations for echolocation by which they navigate
n. (baseball) a turn trying to get a hit
n. a club used for hitting a ball in various games
v. strike with, or as if with a baseball bat"
moth,n. typically crepuscular or nocturnal insect having a stout body and feathery or hairlike antennae
humming-bird,n. tiny American bird having brilliant iridescent plumage and long slender bills; wings are specialized for vibrating flight
typical,"a. exhibiting the qualities or characteristics that identify a group or kind or category
s. conforming to a type"
petal,n. part of the perianth that is usually brightly colored
tube,"n. conduit consisting of a long hollow object (usually cylindrical) used to hold and conduct objects or liquids or gases
n. electronic device consisting of a system of electrodes arranged in an evacuated glass or metal envelope
n. (anatomy) any hollow cylindrical body structure
v. provide with a tube or insert a tube into"
delicate,"a. exquisitely fine and subtle and pleasing; susceptible to injury
s. marked by great skill especially in meticulous technique
s. easily broken or damaged or destroyed
s. easily hurt"
fragrant,a. pleasant-smelling
daisy,n. any of numerous composite plants having flower heads with well-developed ray flowers usually arranged in a single whorl
odour,"n the sensation that results when olfactory receptors in the nose are stimulated by particular chemicals in gaseous form
n any property detected by the olfactory system"
odourless,a having no odor
give out,none
dull,"v. make dull in appearance
v. become dull or lusterless in appearance; lose shine or brightness
v. make dull or blunt
v. make less lively or vigorous"
musty,"s covered with or smelling of mold
s stale and unclean smelling"
fruity,s. tasting or smelling richly of or as of fruit
billboard,n. large outdoor signboard
