fallacy,n. a misconception resulting from incorrect reasoning
fossil,"n. the remains (or an impression) of a plant or animal that existed in a past geological age and that has been excavated from the soil
a. characteristic of a fossil"
treaty,n. a written agreement between two states or sovereigns
particulates,n. a small discrete mass of solid or liquid matter that remains individually dispersed in gas or liquid emissions (usually considered to be an atmospheric pollutant)
poll,"n. an inquiry into public opinion conducted by interviewing a random sample of people
n. the part of the head between the ears
n. a tame parrot
n. the counting of votes (as in an election)"
insurgent,"n. a person who takes part in an armed rebellion against the constituted authority (especially in the hope of improving conditions)
s. in opposition to a civil authority or government"
extinct,"a. no longer in existence; lost or especially having died out leaving no living representatives
a. (of e.g. volcanos) permanently inactive
s. being out or having grown cold"
indefinite,"a. vague or not clearly defined or stated
s. not decided or not known"
wisp,"n. a small tuft or lock
n. a small person
n. a small bundle of straw or hay
n. a flock of snipe"
hitherto,r used in negative statement to describe a situation that has existed up to this point or up to the present time
synthesis,"n. the process of producing a chemical compound (usually by the union of simpler chemical compounds)
n. the combination of ideas into a complex whole"
plateau,n a relatively flat highland
linear,"a. designating or involving an equation whose terms are of the first degree
a. of or in or along or relating to a line; involving a single dimension
s. (of a leaf shape) long and narrow
s. measured lengthwise"
fusion,"n. an occurrence that involves the production of a union
n. the merging of adjacent sounds or syllables or words
n. a nuclear reaction in which nuclei combine to form more massive nuclei with the simultaneous release of energy
n. the combining of images from the two eyes to form a single visual percept"
confederation,"n. a union of political organizations
n. the act of forming an alliance or confederation"
solar,a. relating to or derived from the sun or utilizing the energies of the sun
glitter,"n. the quality of shining with a bright reflected light
n. the occurrence of a small flash or spark
v. be shiny, as if wet"
glittering,"v be shiny, as if wet
s having brief brilliant points or flashes of light"
intricate,s. having many complexly arranged elements; elaborate
gadget,n a device or control that is very useful for a particular job
fringe,"n. one of the light or dark bands produced by the interference and diffraction of light
n. a social group holding marginal or extreme views
n. an ornamental border consisting of short lengths of hanging threads or tassels
v. adorn with a fringe"
apparatus,"n. equipment designed to serve a specific function
n. (anatomy) a group of body parts that work together to perform a given function"
combustion,"n. a process in which a substance reacts with oxygen to give heat and light
n. a state of violent disturbance and excitement"
semiconductor,n. a substance as germanium or silicon whose electrical conductivity is intermediate between that of a metal and an insulator; its conductivity increases with temperature and in the presence of impurities
transistor,n. a semiconductor device capable of amplification
rotary,a. relating to or characterized by rotation
turbine,n. rotary engine in which the kinetic energy of a moving fluid is converted into mechanical energy by causing a bladed rotor to rotate
clockwise,"a. in the same direction as the rotating hands of a clock
r. in the direction that the hands of a clock move"
counterclockwise,"a. in the direction opposite to the rotation of the hands of a clock
r. in a direction opposite to the direction in which the hands of a clock move"
axis,"n. a straight line through a body or figure that satisfies certain conditions
n. the main stem or central part about which plant organs or plant parts such as branches are arranged
n. in World War II the alliance of Germany and Italy in 1936 which later included Japan and other nations
n. the 2nd cervical vertebra; serves as a pivot for turning the head"
viable,s. capable of life or normal growth and development
slash,"n. an open tract of land in a forest that is strewn with debris from logging (or fire or wind)
n. a strong sweeping cut made with a sharp instrument
v. cut with sweeping strokes; as with an ax or machete
v. cut open"
clearing,"n. a tract of land with few or no trees in the middle of a wooded area
n. the act of freeing from suspicion
n. the act of removing solid particles from a liquid"
outflow,n. the process of flowing out
excavation,"n. the act of digging
n. a hole in the ground made by excavating"
biomass,"n. plant materials and animal waste used as fuel
n. the total mass of living matter in a given unit area"
standby,"n. something that can be relied on when needed
s. ready for emergency use"
ventilate,"v. expose to the circulation of fresh air so as to retard spoilage
v. circulate through and freshen
v. furnish with an opening to allow air to circulate or gas to escape"
diffuse,"v. move outward
s. spread out; not concentrated in one place
s. lacking conciseness"
dioxide,n. an oxide containing two atoms of oxygen in the molecule
automation,"n. the act of implementing the control of equipment with advanced technology; usually involving electronic hardware
n. the condition of being automatically operated or controlled
n. equipment used to achieve automatic control or operation"
bulletin,"n. a brief report (especially an official statement issued for immediate publication or broadcast)
v. make public by bulletin"
hinge,"n. a joint that holds two parts together so that one can swing relative to the other
n. a circumstance upon which subsequent events depend
v. attach with a hinge"
unify,v. become one
unified,"v become one
v to bring or combine together or with something else
v bring together for a common purpose or action or ideology or in a shared situation
v act in concert or unite in a common purpose or belief
v join or combine
s formed or united into a whole
s operating as a unit"
supersonic,"a. (of speed) greater than the speed of sound in a given medium (especially air)
s. having frequencies above those of audible sound"
inaugurate,"v. commence officially
v. open ceremoniously or dedicate formally
v. be a precursor of"
collaboration,"n. act of working jointly
n. act of cooperating traitorously with an enemy that is occupying your country"
factor sth. in,none
factor in sth.,none
be projected to do sth.,none
on a ... scale,none
fill up,none
clear up,none
be derived from,none
pose a risk to sth.,none
hinge on sth.,none
hinge upon sth.,none
be upon sb.,none
spike,"n. a transient variation in voltage or current
n. sports equipment consisting of a sharp point on the sole of a shoe worn by athletes
n. (botany) an indeterminate inflorescence bearing sessile flowers on an unbranched axis
n. a sharp rise followed by a sharp decline"
equator,"n. an imaginary line around the Earth forming the great circle that is equidistant from the north and south poles
n. a circle dividing a sphere or other surface into two usually equal and symmetrical parts"
riot,"n. a public act of violence by an unruly mob
v. take part in a riot; disturb the public peace by engaging in a riot"
recur,"v. happen or occur again
v. return in thought or speech to something"
consultancy,n. the practice of giving expert advice within a particular field
turnout,"n. the group that gathers together for a particular occasion
n. a part of a road that has been widened to allow cars to pass or park
n. attendance for a particular event or purpose (as to vote in an election)
n. (ballet) the outward rotation of a dancer's leg from the hip"
disclose,v. disclose to view as by removing a cover
oracle,"n. a prophecy (usually obscure or allegorical) revealed by a priest or priestess; believed to be infallible
n. a shrine where an oracular god is consulted"
foretell,"v foreshadow or presage
v make a prediction about; tell in advance
v indicate by signs"
intrigue,"n. a crafty and involved plot to achieve your (usually sinister) ends
n. a clandestine love affair
v. cause to be interested or curious"
garment,n. an article of clothing
intermittent,s. stopping and starting at irregular intervals
hoard,"n. a secret store of valuables or money
v. save up as for future use"
wholesale,"n. the selling of goods to merchants; usually in large quantities for resale to consumers
v. sell in large quantities
r. at a wholesale price
r. on a large scale without careful discrimination"
pistol,n. a firearm that is held and fired with one hand
volatile,"n. a volatile substance; a substance that changes readily from solid or liquid to a vapor
a. evaporating readily at normal temperatures and pressures
s. tending to vary often or widely"
dual,s. a grammatical number category referring to two items or units as opposed to one item (singular) or more than two items (plural)
infrastructure,"n. the basic structure or features of a system or organization
n. the stock of basic facilities and capital equipment needed for the functioning of a country or area"
livestock,n. any animals kept for use or profit
recipe,n. directions for making something
excerpt,"n. a passage selected from a larger work
v. take out of a literary work in order to cite or copy"
pamphlet,"n a small book usually having a paper cover
n a brief treatise on a subject of interest; published in the form of a booklet"
affluent,"n. an affluent person; a person who is financially well off
s. having an abundant supply of money or possessions of value"
piracy,n. hijacking on the high seas or in similar contexts; taking a ship or plane away from the control of those who are legally entitled to it
neutralize,"v. make politically neutral and thus inoffensive
v. make ineffective by counterbalancing the effect of
v. get rid of (someone who may be a threat) by killing
v. make incapable of military action"
dodge,"n. a quick evasive movement
n. a statement that evades the question by cleverness or trickery
v. make a sudden movement in a new direction so as to avoid
v. move to and fro or from place to place usually in an irregular course"
intersection,"n. a point where lines intersect
n. a junction where one street or road crosses another
n. a point or set of points common to two or more geometric configurations"
councilor,n. A member of a council.
bureaucratic,a. of or relating to or resembling a bureaucrat or bureaucracy
foresight,n. providence by virtue of planning prudently for the future
subsidy,n. a grant paid by a government to an enterprise that benefits the public
appropriation,"n. money set aside (as by a legislature) for a specific purpose
n. a deliberate act of acquisition of something, often without the permission of the owner"
militia,"n. civilians trained as soldiers but not part of the regular army
n. the entire body of physically fit civilians eligible by law for military service"
coherent,"a. marked by an orderly, logical, and aesthetically consistent relation of parts
s. capable of thinking and expressing yourself in a clear and consistent manner
a. (physics) of waves having a constant phase relation
s. sticking together"
rupture,"n. state of being torn or burst open
n. a personal or social separation (as between opposing factions)
n. the act of making a sudden noisy break"
seam,"n. joint consisting of a line formed by joining two pieces
n. a stratum of ore or coal thick enough to be mined with profit
v. put together with a seam"
discrepancy,"n. a difference between conflicting facts or claims or opinions
n. an event that departs from expectations"
signpost,"n. a post bearing a sign that gives directions or shows the way
v. mark with a signpost, as of a path"
non-profit,s. not commercially motivated
donor,"n. person who makes a gift of property
n. (medicine) someone who gives blood or tissue or an organ to be used in another person (the host)"
syndrome,"n. a complex of concurrent things
n. a pattern of symptoms indicative of some disease"
collision,"n. (physics) a brief event in which two or more bodies come together
n. an accident resulting from violent impact of a moving object
n. a conflict of opposed ideas or attitudes or goals"
soluble,"a. (of a substance) capable of being dissolved in some solvent (usually water)
a. susceptible of solution or of being solved or explained"
staircase,n a way of access (upward and downward) consisting of a set of steps
calm down,none
level off,none
be starved of sth.,none
run out of sth.,none
keep sth. at bay,none
hold sth. at bay,none
rescue ... from ...,none
get a recipe for sth.,none
be a recipe for sth.,none
point to,none
on a collision course,none
angel,"n. spiritual being attendant upon God
n. invests in a theatrical production
n. the highest waterfall; has more than one leap; flow varies seasonally"
obituary,n. a notice of someone's death; usually includes a short biography
seminar,"n. any meeting for an exchange of ideas
n. a course offered for a small group of advanced students"
specimen,"n. an example regarded as typical of its class
n. a bit of tissue or blood or urine that is taken for diagnostic purposes"
assassin,"n. a murderer (especially one who kills a prominent political figure) who kills by a surprise attack and often is hired to do the deed
n. a member of a secret order of Muslims (founded in the 12th century) who terrorized and killed Christian Crusaders"
secular,"a. of or relating to the doctrine that rejects religion and religious considerations
a. of or relating to clergy not bound by monastic vows"
oath,"n. a commitment to tell the truth (especially in a court of law); to lie under oath is to become subject to prosecution for perjury
n. a solemn promise, usually invoking a divine witness, regarding your future acts or behavior"
graphic,"n. an image that is generated by a computer
s. written or drawn or engraved
s. describing nudity or sexual activity in graphic detail
a. of or relating to the graphic arts"
brochure,n a small book usually having a paper cover
leaflet,n. part of a compound leaf
audio,"n. the audible part of a transmitted signal
n. an audible acoustic wave frequency
n. the sound elements of television"
batch,"n. all the loaves of bread baked at the same time
n. (often followed by `of') a large number or amount or extent
n. a collection of things or persons to be handled together
v. batch together; assemble or process as a batch"
enclosure,"n. a structure consisting of an area that has been enclosed for some purpose
n. the act of enclosing something inside something else
n. a naturally enclosed space
n. something (usually a supporting document) that is enclosed in an envelope with a covering letter"
vapor,n. a visible suspension in the air of particles of some substance
siege,n. the action of an armed force that surrounds a fortified place and isolates it while continuing to attack
boycott,"n. a group's refusal to have commercial dealings with some organization in protest against its policies
v. refuse to sponsor; refuse to do business with"
incur,v. make oneself subject to; bring upon oneself; become liable to
wrath,"n. intense anger (usually on an epic scale)
n. belligerence aroused by a real or supposed wrong (personified as one of the deadly sins)"
judicious,s. marked by the exercise of good judgment or common sense in practical matters
mastermind,v. plan and direct (a complex undertaking)
malpractice,"n. professional wrongdoing that results in injury or damage
n. a wrongful act that the actor had no right to do; improper professional conduct"
lawsuit,n. a comprehensive term for any proceeding in a court of law whereby an individual seeks a legal remedy
sue,n. French writer whose novels described the sordid side of city life (1804-1857)
passionate,a. having or expressing strong emotions
ministerial,"a. of or relating to a minister of religion or the minister's office
a. of or relating to a government minister or ministry"
parliamentary,"a. relating to or having the nature of a parliament
s. having the supreme legislative power resting with a body of cabinet ministers chosen from and responsible to the legislature or parliament
s. in accord with rules and customs of a legislative or deliberative assembly"
sideline,"n. a line that marks the side boundary of a playing field
n. an auxiliary line of merchandise
v. remove from the center of activity or attention; place into an inferior position"
revenge,v. take revenge for a perceived wrong
kit,"n. a case for containing a set of articles
n. gear consisting of a set of articles or tools for a specified purpose
n. young of any of various fur-bearing animals"
chronicle,v. record in chronological order; make a historical record
expectancy,"n an expectation
n something expected (as on the basis of a norm)"
life expectancy,none
stalk,"n. a slender or elongated structure that supports a plant or fungus or a plant part or plant organ
n. a hunt for game carried on by following it stealthily or waiting in ambush
n. the act of following prey stealthily
n. a stiff or threatening gait"
condolence,n. an expression of sympathy with another's grief
terminate,"v bring to an end or halt
v have an end, in a temporal, spatial, or quantitative sense; either spatial or metaphorical
v be the end of; be the last or concluding part of
v terminate the employment of; discharge from an office or position"
questionnaire,n. a form containing a set of questions; submitted to people to gain statistical information
stripe,"n. a piece of braid, usually on the sleeve, indicating military rank or length of service
n. a kind or category
n. a narrow marking of a different color or texture from the background
v. mark with stripes"
striped,s. marked or decorated with stripes
pajamas,"n a pair of loose trousers tied by a drawstring around the waist; worn by men and women in some Asian countries
n (usually plural) loose-fitting nightclothes worn for sleeping or lounging; have a jacket top and trousers"
retrospective,"n. an exhibition of a representative selection of an artist's life work
a. concerned with or related to the past"
infinity,n time without end
successor,"n. a person who follows next in order
n. a thing or person that immediately replaces something or someone
n. a person who inherits some title or office"
antibiotic,"n. a chemical substance derivable from a mold or bacterium that can kill microorganisms and cure bacterial infections
a. of or relating to antibiotic drugs"
vaccinate,v perform vaccinations or produce immunity in by inoculation
cape,"n. a strip of land projecting into a body of water
n. a sleeveless garment like a cloak but shorter"
crusader,n. a warrior who engages in a holy war
cemetery,n. a tract of land used for burials
turn up,n the lap consisting of a turned-back hem encircling the end of the sleeve or leg
put out,n. an out resulting from a fielding play (not a strikeout)
alert sb. to sth.,none
lay siege to sth.,none
lay siege to sb.,none
follow suit,none
in the face of,none
stand on the sidelines,none
stay on the sidelines,none
remain the sidelines,none
get revenge for sth.,none
get revenge on sb. for sth.,none
appeal to sb. to do sth.,none
swamp,"n. low land that is seasonally flooded; has more woody plants than a marsh and better drainage than a bog
n. a situation fraught with difficulties and imponderables
v. drench or submerge or be drenched or submerged"
handset,n. telephone set with the mouthpiece and earpiece mounted on a single handle
subscription,"n. a payment for consecutive issues of a newspaper or magazine for a given period of time
n. agreement expressed by (or as if expressed by) signing your name
n. a pledged contribution
n. the act of signing your name; writing your signature (as on a document)"
thesis,n. an unproved statement put forward as a premise in an argument
indignant,s. angered at something unjust or wrong
activate,"v. make active or more active
v. make more adsorptive
v. aerate (sewage) so as to favor the growth of organisms that decompose organic matter
v. make (substances) radioactive"
Catholic,"n. a member of a Catholic church
a. of or relating to or supporting Catholicism
s. free from provincial prejudices or attachments"
patron,"n. a regular customer
n. the proprietor of an inn
n. someone who supports or champions something"
ashore,r. towards the shore from the water
deport,"v behave in a certain manner
v hand over to the authorities of another country
v expel from a country"
adherence,"n faithful support for a cause or political party or religion
n the property of sticking together (as of glue and wood) or the joining of surfaces of different composition"
tribute,"n. something given or done as an expression of esteem
n. payment by one nation for protection by another"
defendant,n. a person or institution against whom an action is brought in a court of law; the person being sued or accused
tribunal,n an assembly (including one or more judges) to conduct judicial business
denounce,"v. speak out against
v. announce the termination of, as of treaties
v. give away information about somebody"
outdate,none
outdated,s. old; no longer valid or fashionable
vibrate,"v. shake, quiver, or throb; move back and forth rapidly, usually in an uncontrolled manner"
agitate,"v. try to stir up public opinion
v. cause to be agitated, excited, or roused
v. change the arrangement or position of"
agitation,"n. a mental state of extreme emotional disturbance
n. a state of agitation or turbulent change or development
n. the feeling of being agitated; not calm"
logo,n. a company emblem or device
trumpet,"v. proclaim on, or as if on, a trumpet
v. play or blow on the trumpet
v. utter in trumpet-like sounds"
prosecute,"v. conduct a prosecution in a court of law
v. bring a criminal action against (in a trial)
v. carry out or participate in an activity; be involved in"
animated,"a. having life or vigor or spirit
s. made to appear to move as living creatures do"
wax,"n. any of various substances of either mineral origin or plant or animal origin; they are solid at normal temperatures and insoluble in water
v. cover with wax
v. go up or advance
v. increase in phase"
tentative,"s under terms not final or fully worked out or agreed upon
s unsettled in mind or opinion"
tentatively,r. in a tentative manner
commentary,n a written explanation or criticism or illustration that is added to a book or other textual material
tack,"n. the heading or position of a vessel relative to the trim of its sails
n. a short nail with a sharp point and a large head
n. (nautical) the act of changing tack
n. sailing a zigzag course"
superintendent,n. a caretaker for an apartment house; represents the owner as janitor and rent collector
tickle,"n. a cutaneous sensation often resulting from light stroking
n. the act of tickling
v. touch (a body part) lightly so as to excite the surface nerves and cause uneasiness, laughter, or spasmodic movements
v. touch or stroke lightly"
flutter,"n. abnormally rapid beating of the auricles of the heart (especially in a regular rhythm); can result in heart block
v. flap the wings rapidly or fly with flapping movements"
dub,"n. the new sounds added by dubbing
v. give a nickname to
v. provide (movies) with a soundtrack of a foreign language"
incidentally,r. of a minor or subordinate nature
ignite,v. cause to start burning; subject to fire or great heat
impetus,"n a force that moves something along
n the act of applying force suddenly"
manuscript,"n. the form of a literary work submitted for publication
n. handwritten book or document"
incomprehensive,a not comprehensive
bewilder,v. cause to be confused emotionally
module,"n. detachable compartment of a spacecraft
n. computer circuit consisting of an assembly of electronic components (as of computer hardware)
n. a self-contained component (unit or item) that is used in combination with other components"
skeleton,"n. something reduced to its minimal form
n. a scandal that is kept secret
n. the internal supporting structure that gives an artifact its shape"
crown,"n. the Crown (or the reigning monarch) as the symbol of the power and authority of a monarchy
n. the part of a tooth above the gum that is covered with enamel
n. a wreath or garland worn on the head to signify victory
n. an ornamental jeweled headdress signifying sovereignty"
marvel,v. express astonishment or surprise about something
nucleus,"n. a part of the cell containing DNA and RNA and responsible for growth and reproduction
n. the positively charged dense center of an atom
n. (astronomy) the center of the head of a comet; consists of small solid particles of ice and frozen gas that vaporizes on approaching the sun to form the coma and tail
n. any histologically identifiable mass of neural cell bodies in the brain or spinal cord"
serial,"n. a serialized set of programs
a. pertaining to or composed in serial technique
a. pertaining to or occurring in or producing a series
s. of or relating to the sequential performance of multiple operations"
timely,"s. before a time limit expires
s. done or happening at the appropriate or proper time"
particle,"n. a body having finite mass and internal structure but negligible dimensions
n. a function word that can be used in English to form phrasal verbs"
retrieve,"v. go for and bring back
v. run after, pick up, and bring to the master"
be swamped by ...,none
be swamped with ...,none
fight discrimination against sb.,none
in adherence to,none
come to life,none
tack sth. up,none
dub ... as ...,none
marvel at,none
marvel over,none
feel strongly about sth.,none
