shouter,n someone who communicates vocally in a very loud voice
lot,"n. a parcel of land having fixed boundaries
n. (Old Testament) nephew of Abraham; God destroyed Sodom and Gomorrah but chose to spare Lot and his family who were told to flee without looking back at the destruction
v. divide into lots, as of land, for example"
exemplify,"v. be characteristic of
v. clarify by giving an example of"
adage,n a condensed but memorable saying embodying some important fact of experience that is taken as true by many people
pharmacy,"n. the art and science of preparing and dispensing drugs and medicines,"
vacancy,n. being unoccupied
mall,"n a public area set aside as a pedestrian walk
n mercantile establishment consisting of a carefully landscaped complex of shops representing leading merchandisers; usually includes restaurants and a convenient parking area; a modern version of the traditional marketplace"
plot,"n. a secret scheme to do something (especially something underhand or illegal)
n. a small area of ground covered by specific vegetation
n. the story that is told in a novel or play or movie etc.
n. a chart or map showing the movements or progress of an object"
liquor,"n. an alcoholic beverage that is distilled rather than fermented
n. a liquid substance that is a solution (or emulsion or suspension) used or obtained in an industrial process
n. the liquid in which vegetables or meat have be cooked"
outlet,"n a place of business for retailing goods
n receptacle providing a place in a wiring system where current can be taken to run electrical devices
n an opening that permits escape or release
n activity that frees or expresses creative energy or emotion"
cluster,v. come together as in a cluster or flock
syringe,"n. a medical instrument used to inject or withdraw fluids
v. spray or irrigate (a body part) with a syringe"
hedge,"n. a fence formed by a row of closely planted shrubs or bushes
n. any technique designed to reduce or eliminate financial risk; for example, taking two positions that will offset each other if prices change
n. an intentionally noncommittal or ambiguous statement
v. avoid or try to avoid fulfilling, answering, or performing (duties, questions, or issues)"
sacredness,n. the quality of being sacred
quote,"v. repeat a passage from
v. name the price of
v. refer to for illustration or proof
v. put quote marks around"
inescapable,"s impossible to avoid or evade:""inescapable conclusion"""
mutuality,"n. a reciprocality of sentiments
n. a reciprocal relation between interdependent entities (objects or individuals or groups)"
yield,"n. an amount of a product
v. be the cause or source of
v. give in, as to influence or pressure
v. bring in"
wrapper,"n a loose dressing gown for women
n the covering (usually paper or cellophane) in which something is wrapped
n cloak that is folded or wrapped around a person"
malt,"n. a lager of high alcohol content; by law it is considered too alcoholic to be sold as lager or beer
n. a cereal grain (usually barley) that is kiln-dried after having been germinated by soaking in water; used especially in brewing and distilling
v. treat with malt or malt extract
v. turn into malt, become malt"
fortified-wine,none
tackle,"n. the person who plays that position on a football team
n. (American football) a position on the line of scrimmage
n. (American football) grasping an opposing player with the intention of stopping by throwing to the ground
v. seize and throw down an opponent player, who usually carries the ball"
glove,n. handwear: covers the hand and wrist
dustpan,"n. the quantity that a dustpan will hold
n. a short-handled receptacle into which dust can be swept"
recycle,"v. cause to repeat a cycle
v. use again after processing"
ozone,n. a colorless gas (O3) soluble in alkalis and cold water; a strong oxidizing agent; can be produced by electric discharge in oxygen or by the action of ultraviolet radiation on oxygen in the stratosphere (where it acts as a screen for ultraviolet radiation)
globally,r. throughout the world
global,s. involving the entire earth; not limited or provincial in scope
executive,"n. a person responsible for the administration of a business
n. persons who administer the law
a. having the function of carrying out plans or orders etc."
old-growth,none
Zen,"n. school of Mahayana Buddhism asserting that enlightenment can come through meditation and intuition rather than faith; China and Japan
n. a Buddhist doctrine that enlightenment can be attained through direct intuitive insight"
gingko,n deciduous dioecious Chinese tree having fan-shaped leaves and fleshy yellow seeds; exists almost exclusively in cultivation especially as an ornamental street tree
monk,"n. a male religious living in a cloister and devoting himself to contemplation and prayer and work
n. United States jazz pianist who was one of the founders of the bebop style (1917-1982)"
adapt,"v. make fit for, or change to suit a new purpose"
thrive,v. make steady progress; be at the high point in one's career or reach a high point in historical significance or importance
mesh,"n. the number of openings per linear inch of a screen; measures size of particles
n. the act of interlocking or meshing
v. work together in harmony"
kneel,"n. supporting yourself on your knees
v. rest one's weight on one's knees"
scratch,"n. a competitor who has withdrawn from competition
n. (golf) a handicap of zero strokes
n. an indication of damage
v. cut the surface of; wear away the surface of"
wrist,n. a joint between the distal end of the radius and the proximal row of carpal bones
at risk,none
at risk of,none
be flooded with,none
turn round,n act or process of unloading and loading and servicing a vessel or aircraft for a return trip
turn a round,"n. time need to prepare a vessel or ship for a return trip
n. an area sufficiently large for a vehicle to turn around
n. act or process of unloading and loading and servicing a vessel or aircraft for a return trip"
have a hard time,none
have a difficult time,none
have a hard time doing ...,none
have a difficult time doing ...,none
fall victim to,none
disapprove of,none
give away,"n. a gift of public land or resources for the private gain of a limited group
n. an unintentional disclosure"
run out of,none
give up on,none
here and now,none
clean up,n. (baseball) the fourth position in the batting order (usually filled by the best batter on the team)
on faith,none
trademark,"n. a formally registered symbol identifying the manufacturer or distributor of a product
v. register the trademark of"
outfit,"n. any cohesive unit such as a military company
n. a set of clothing (with accessories)"
rural,"a. living in or characteristic of farming or country life
a. of or relating to the countryside as opposed to the city"
mortgage,"n. a conditional conveyance of property as security for the repayment of a loan
v. put up as security or collateral"
spill,"n. liquid that is spilled
n. the act of allowing a fluid to escape
n. a sudden drop from an upright position
v. cause or allow (a liquid substance) to run or flow from a container"
ignite,v. cause to start burning; subject to fire or great heat
license,"n. a legal document giving official permission to do something
n. freedom to deviate deliberately from normally applicable rules or practices (especially in behavior or speech)
n. excessive freedom; lack of due restraint
n. the act of giving a formal (usually written) authorization"
deputy,"n. someone authorized to exercise the powers of sheriff in emergencies
n. an assistant with power to act when his superior is absent
n. a member of the lower chamber of a legislative assembly (such as in France)
n. a person appointed to represent or act on behalf of others"
exposure,"n. vulnerability to the elements; to the action of heat or cold or wind or rain; 
n. the act of subjecting someone to an influencing experience
n. the disclosure of something secret
n. aspect resulting from the direction a building or window faces"
trigger,"n. a device that activates or releases or causes something to happen
n. an act that sets in motion some course of events
v. release or pull the trigger on"
batch,"n. all the loaves of bread baked at the same time
n. (often followed by `of') a large number or amount or extent
n. a collection of things or persons to be handled together
v. batch together; assemble or process as a batch"
unfold,"v. open to the view
v. extend or stretch out to a greater or the full length
v. spread out or open from a closed or folded state"
document,"n. writing that provides information (especially information of an official nature)
n. anything serving as a representation of a person's thinking by means of symbolic marks
n. a written account of ownership or obligation
v. record in detail"
sentence,"n. a string of words satisfying the grammatical rules of a language
v. pronounce a sentence on (somebody) in a court of law"
kid,"n. soft smooth leather from the hide of a young goat
n. young goat
v. be silly or tease one another"
extraterrestrial,a. originating or located or occurring outside Earth or its atmosphere
ponder,v reflect deeply on a subject
muse,"n. in ancient Greek mythology any of 9 daughters of Zeus and Mnemosyne; protector of an art or science
n. the source of an artist's inspiration"
contemplate,"v. look at thoughtfully; observe deep in thought
v. consider as a possibility"
exotic,s. strikingly strange or unusual
biology,"n. the science that studies living organisms
n. characteristic life processes and phenomena of living organisms"
exquisite,"s. intense or sharp
s. lavishly elegant and refined
s. of extreme beauty"
acceptable,"a. worthy of acceptance or satisfactory
s. judged to be in conformity with approved usage
s. adequate for the purpose"
extraordinary,"a. beyond what is ordinary or usual; highly unusual or exceptional or remarkable
s. far more than usual or expected
s. (of an official) serving an unusual or special function in addition to those of the regular officials"
unimaginably,r. to an unimaginable extent
astronomy,n. the branch of physics that studies celestial bodies and the universe as a whole
array,"n. an orderly arrangement
n. an impressive display
n. especially fine or decorative clothing
n. an arrangement of aerials spaced to give desired directional characteristics"
detector,"n. any device that receives a signal or stimulus (as heat or pressure or light or motion etc.) and responds to it in a distinctive manner
n. rectifier that extracts modulation from a radio carrier wave
n. electronic equipment that detects the presence of radio signals or radioactivity"
operationally,r. in respect to operation
operational,"a. pertaining to a process or series of actions for achieving a result
a. (military) of or intended for or involved in military operations
s. being in effect or operation"
the Milky Way Galaxy,none
abundance,"n. the property of a more than adequate quantity or supply
n. (physics) the ratio of the number of atoms of a specific isotope of an element to the total number of isotopes present
n. (chemistry) the ratio of the total mass of an element in the earth's crust to the total mass of the earth's crust; expressed as a percentage or in parts per million"
planetary,a. of or relating to or characteristic of the planet Earth or its inhabitants
probability,"n. a measure of how likely it is that some event will occur; a number expressing the ratio of favorable cases to the whole number of cases possible
n. the quality of being probable; a probable event or the most probable event"
characteristically,r. in characteristic manner
characteristic,"n. a distinguishing quality
n. the integer part (positive or negative) of the representation of a logarithm; in the expression log 643 = 2.808 the characteristic is 2
n. any measurable property of a device measured under closely specified conditions
a. typical or distinctive"
breathtakingly,none
exhilarating,s. making lively and cheerful
diversity,n. the condition or result of being changeable
diverse,s. distinctly dissimilar or unlike
lifestyle,n a manner of living that reflects the person's values and attitudes
commerce,"n. transactions (sales and purchases) having the objective of supplying commodities (goods and services)
n. social exchange, especially of opinions, attitudes, etc."
candidate,n. someone who is considered for something (for an office or prize or honor etc.)
consideration,"n. the process of giving careful thought to something
n. a discussion of a topic (as in a meeting)
n. kind and considerate regard for others
n. a considerate and thoughtful act"
astronaut,n. a person trained to travel in a spacecraft
visitation,"n. any disaster or catastrophe
n. an official visit for inspection or supervision"
remote,"n a device that can be used to control a machine or apparatus from a distance
s located far away spatially
s very unlikely
s separate or apart in time
s inaccessible and sparsely populated; 
a far apart in relevance or relationship or kinship"
inexpensive,a relatively low in price or charging low prices
anthropocentric,a. human-centered
electromagnetic,a. pertaining to or exhibiting magnetism produced by electric charge in motion
spectrum,"n. an ordered array of the components of an emission or wave
n. a broad range of related objects or values or qualities or ideas or activities"
gamma ray,none
backward,"a. directed or facing toward the back or rear
a. (used of temperament or behavior) marked by a retiring nature
s. retarded in intellectual development
s. having made less than normal progress"
observatory,n. a building designed and equipped to observe astronomical phenomena
princess,n. a female member of a royal family other than the queen (especially the daughter of a sovereign)
optimistic,a. expecting the best in this best of all possible worlds
imply,"v. express or state indirectly
v. suggest as a logically necessary consequence; in logic
v. have as a necessary feature"
stellar,a. being or relating to or resembling or emanating from stars
muster,"n. a gathering of military personnel for duty
v. gather or bring together
v. call to duty, military service, jury duty, etc."
spectacular,"n. a lavishly produced performance
s. characteristic of spectacles or drama"
respectability,n. honorableness by virtue of being respectable and having a good reputation
Viking,n. any of the Scandinavian people who raided the coasts of Europe from the 8th to the 11th centuries
Mars,"n. a small reddish planet that is the 4th from the sun and is periodically visible to the naked eye; minerals rich in iron cover its surface and are responsible for its characteristic color
n. (Roman mythology) Roman god of war and agriculture; father of Romulus and Remus; counterpart of Greek Ares"
burgeon,v. grow and flourish
manifestation,"n. a clear appearance
n. a manifest indication of the existence or presence or nature of some person or thing"
manifest,"n. a customs document listing the contents put on a ship or plane
v. record in a ship's manifest
v. reveal its presence or make an appearance"
skeptic,n. someone who habitually doubts accepted beliefs
skeptical,"s denying or questioning the tenets of especially a religion
s marked by or given to doubt"
interstellar,a. between or among stars
spacecraft,"n. a craft capable of traveling in outer space; technically, a satellite around the sun"
ply,"n. one of the strands twisted together to make yarn or rope or thread; often used in combination
n. (usually in combinations) one of several layers of cloth or paper or wood as in plywood
v. apply oneself diligently
v. travel a route regularly"
colony,"n. a body of people who settle far from home but maintain ties with their homeland; inhabitants remain nationals of their home state but are not literally under the home state's system of government
n. a group of organisms of the same type living or growing together
n. one of the 13 British colonies that formed the original states of the United States
n. a place where a group of people with the same interest or occupation are concentrated"
premature,"a. born after a gestation period of less than the normal time
s. uncommonly early or before the expected time"
surmise,v. infer from incomplete evidence
isolated,"s. not close together in time
s. cut off or left behind
s. under forced isolation especially for health reasons"
isolate,"v. place or set apart
v. obtain in pure form
v. separate (experiences) from the emotions relating to them"
detect,"v. discover or determine the existence, presence, or fact of"
incompletely,r. not to a full degree or extent
modulation,"n. (electronics) the transmission of a signal by using it to vary a carrier wave; changing the carrier's amplitude or frequency or phase
n. a manner of speaking in which the loudness or pitch or tone of the voice is modified
n. the act of modifying or adjusting according to due measure and proportion (as with regard to artistic effect)"
pulsar,n. a degenerate neutron star; small and extremely dense; rotates very fast and emits regular pulses of polarized radiation
quasar,n. a starlike object that may send out radio waves and other forms of energy; many have large red shifts
galactic,a. of or relating to a galaxy (especially our galaxy the Milky Way)
ethic,"n. the principles of right and wrong that are accepted by an individual or a social group
n. a system of principles governing morality and acceptable conduct"
noninterference,n a foreign policy of staying out of other countries' disputes
immortality,"n. the quality or state of being immortal
n. perpetual life after death"
gallivant,v. wander aimlessly in search of pleasure
adolescent,"n. a juvenile between the onset of puberty and maturity
a. relating to or peculiar to or suggestive of an adolescent
s. being of the age 13 through 19
s. displaying or suggesting a lack of maturity"
assurance,"n. freedom from doubt; belief in yourself and your abilities
n. a binding commitment to do or give or refrain from something
n. a statement intended to inspire confidence
n. a British term for some kinds of insurance"
brim,"n. the top edge of a vessel or other container
n. a circular projection that sticks outward from the crown of a hat
v. be completely full
v. fill as much as possible"
amenable,"s. disposed or willing to comply
s. readily reacting to suggestions and influences
s. open to being acted upon in a certain way"
verification,n. (law) an affidavit attached to a statement confirming the truth of that statement
organism,"n. a living thing that has (or can develop) the ability to act or function independently
n. a system considered analogous in structure or function to a living body"
if any,none
cast light on,none
throw light on,none
shed light on,none
might very well,none
to date,none
hand in hand with,none
along with,none
depend on,none
in a position to,none
brim over with,none
cry out for,none
evolve,"v. work out
v. undergo development or evolution"
bizarre,s. conspicuously or grossly unconventional or unusual
explosion,"n. a violent release of energy caused by a chemical or nuclear reaction
n. the act of exploding or bursting
n. a sudden great increase
n. the noise caused by an explosion"
remnant,"n a small part or portion that remains after the main part no longer exists
n a piece of cloth that is left over after the rest has been used or sold"
relic,n. an antiquity that has survived from the distant past
resist,"v. stand up or offer resistance to somebody or something
v. withstand the force of something
v. resist immunologically the introduction of some foreign tissue or organ
v. refuse to comply"
seemingly,r from appearances alone
trait,n. a distinguishing feature of your personal nature
successor,"n. a person who follows next in order
n. a thing or person that immediately replaces something or someone
n. a person who inherits some title or office"
fossil,"n. the remains (or an impression) of a plant or animal that existed in a past geological age and that has been excavated from the soil
a. characteristic of a fossil"
regarding,"v deem to be
v look at attentively
v connect closely and often incriminatingly"
rub,"n. the act of rubbing or wiping
v. move over something with pressure
v. cause friction
v. scrape or rub as if to relieve itching"
undertake,"v. enter upon an activity or enterprise
v. accept as a challenge
v. promise to do or accomplish
v. accept as a charge"
exploration,"n. to travel for the purpose of discovery
n. a careful systematic search
n. a systematic consideration"
metallic,"n. a fabric made of a yarn that is partly or entirely of metal
n. a yarn made partly or entirely of metal
a. containing or made of or resembling or characteristic of a metal"
spray,"n. a pesticide in suspension or solution; intended for spraying
n. a quantity of small objects flying through the air
n. flower arrangement consisting of a single branch or shoot bearing flowers and foliage
n. water in small drops in the atmosphere; blown from waves or thrown up by a waterfall"
shell,"n. ammunition consisting of a cylindrical metal casing containing an explosive charge and a projectile; fired from a large gun
n. the material that forms the hard outer covering of many animals
n. the hard usually fibrous outer layer of some fruits especially nuts
n. the exterior covering of a bird's egg"
trillion,"n. the number that is represented as a one followed by 18 zeros
n. the number that is represented as a one followed by 12 zeros
s. one quintillion in Great Britain
s. one million million in the United States"
frequency,"n. the number of occurrences within a given time period
n. the ratio of the number of observations in a statistical category to the total number of observations
n. the number of observations in a given statistical category"
harbor,"n. a place of refuge and comfort and security
v. maintain (a theory, thoughts, or feelings)
v. secretly shelter (as of fugitives or criminals)"
lobby,"n. the people who support some common cause or business or principle or sectional interest
n. a group of people who try actively to influence legislation
v. detain in conversation by or as if by holding on to the outer garments of; as for political or economic favors"
porter,"n. a person employed to carry luggage and supplies
n. United States writer of novels and short stories (1890-1980)
n. United States composer and lyricist of musical comedies (1891-1946)
n. United States writer of short stories whose pen name was O. Henry (1862-1910)"
mop,"n cleaning implement consisting of absorbent material fastened to a handle; for cleaning floors
v to wash or wipe with or as if with a mop
v make a sad face and thrust out one's lower lip"
commercial,"n. a commercially sponsored ad on radio or television
a. connected with or engaged in or sponsored by or used in commerce or commercial enterprises
a. of or relating to commercialism
s. of the kind or quality used in commerce; average or inferior"
hearsay,s. heard through another rather than directly
editor,n. a person responsible for the editorial aspects of publication; the person who determines the final content of a text (especially of a newspaper or magazine)
denunciation,n. a public act of denouncing
scorn,"n lack of respect accompanied by a feeling of intense dislike
n open disrespect for a person or thing
v look down on with disdain
v reject with contempt"
denounce,"v. speak out against
v. announce the termination of, as of treaties
v. give away information about somebody"
castigate,v. inflict severe punishment on
riverfront,none
patronize,"v. do one's shopping at; do business with; be a customer or client of
v. treat condescendingly
v. be a regular customer or client of"
insecure,"a. not firm or firmly fixed; likely to fail or give way
a. lacking in security or safety
a. lacking self-confidence or assurance
s. not safe from attack"
offhand,"s. casually thoughtless or inconsiderate
r. without previous thought or preparation
r. in a casually inconsiderate manner"
banter,n. light teasing repartee
contempt,"n. lack of respect accompanied by a feeling of intense dislike
n. a manner that is generally disrespectful and contemptuous
n. open disrespect for a person or thing
n. a willful disobedience to or disrespect for the authority of a court or legislative body"
solidarity,n. a union of interests or purposes or sympathies among members of a group
Baptist,n. follower of Baptistic doctrines
Kluxer,none
sympathizer,"n. commiserates with someone who has had misfortune
n. someone who shares your feelings or opinions and hopes that you will be successful"
anti,"n. a person who is opposed (to an action or policy or practice etc.)
a. not in favor of (an action or proposal etc.)"
category,n. a general concept that marks divisions or coordinations in a conceptual scheme
pope,"n. the head of the Roman Catholic Church
n. English poet and satirist (1688-1744)"
lover,"n. a person who loves someone or is loved by someone
n. a significant other to whom you are not related by marriage"
southerner,n. an American who lives in the South
imponderable,"n. a factor whose effects cannot be accurately assessed
a. difficult or impossible to evaluate with precision"
suspiciously,r. with suspicion
pose,"n. a posture assumed by models for photographic or artistic purposes
v. pretend to be someone you are not; sometimes with fraudulent intentions
v. behave affectedly or unnaturally in order to impress others"
supervise,"v watch and direct
v keep tabs on; keep an eye on; keep under surveillance"
forge,"n. furnace consisting of a special hearth where metal is heated before shaping
n. a workplace where metal is worked by heating and hammering
v. create by hammering
v. make a copy of with the intent to deceive"
foolproof,s. not liable to failure
nigger,n. (ethnic slur) extremely offensive name for a Black person
errand,n. a short trip that is taken in the performance of a necessary task or mission
doff,v. remove
unbookish,none
patron,"n. a regular customer
n. the proprietor of an inn
n. someone who supports or champions something"
optical,a. of or relating to or involving light or optics
suspicious,"s openly distrustful and unwilling to confide
s not as expected"
suspicion,"n. the state of being suspected
n. being of a suspicious nature"
duck,"n. small wild or domesticated web-footed broad-billed swimming bird usually having a depressed body and short legs
n. (cricket) a score of nothing by a batsman
n. flesh of a duck (domestic or wild)
n. a heavy cotton fabric of plain weave; used for clothing and tents"
bold,"a. fearless and daring
s. clear and distinct"
pointedly,r. in such a manner as to make something clearly evident
doubtful,"s. open to doubt or suspicion
s. fraught with uncertainty or doubt
s. unsettled in mind or opinion"
stamp,"n. a type or class
n. a symbol that is the result of printing or engraving
n. machine consisting of a heavy bar that moves vertically for pounding or crushing ores
n. a block or die used to imprint a mark or design"
title,"n. a heading that names a statute or legislative bill; may give a brief summary of the matters it deals with
n. the name of a work of art or literary composition etc.
n. a general or descriptive heading for a section of a written work
n. an identifying appellation signifying status or function: e.g. `Mr.' or `General'"
thumb,"n. the thick short innermost digit of the forelimb
n. the part of a glove that provides a covering for the thumb"
frown,"n. a facial expression of dislike or displeasure
v. look angry or sullen, wrinkle one's forehead, as if to signal disapproval"
bean,"n. any of various edible seeds of plants of the family Leguminosae used for food
n. any of various seeds or fruits that are beans or resemble beans
n. any of various leguminous plants grown for their edible seeds and pods
v. hit on the head, especially with a pitched baseball"
jar,"n. a vessel (usually cylindrical) with a wide mouth and without handles
n. the quantity contained in a jar
v. shock physically
v. affect in a disagreeable way"
sweeping,"n. the act of cleaning with a broom
s. taking in or moving over (or as if over) a wide area; often used in combination
s. ignoring distinctions"
demon,n. someone extremely diligent or skillful
slash,"n. an open tract of land in a forest that is strewn with debris from logging (or fire or wind)
n. a strong sweeping cut made with a sharp instrument
v. cut with sweeping strokes; as with an ax or machete
v. cut open"
extol,"v praise, glorify, or honor"
mock,"n. the act of mocking or ridiculing
v. treat with contempt
v. imitate with mockery and derision
s. constituting a copy or imitation of something"
weapon,"n. any instrument or instrumentality used in fighting or hunting
n. a means of persuading or arguing"
club,"n. a formal association of people with similar interests
n. stout stick that is larger at one end
n. a playing card in the minor suit that has one or more black trefoils on it
v. unite with a common purpose"
conviction,"n. an unshakable belief in something without need for proof or evidence
n. (criminal law) a final judgment of guilty in a criminal case and the punishment that is imposed"
revel,"n. unrestrained merrymaking
v. celebrate noisily, often indulging in drinking; engage in uproarious festivities"
crude,"s. not carefully or expertly made
s. conspicuously and tastelessly indecent
s. belonging to an early stage of technical development; characterized by simplicity and (often) crudeness
s. not processed or subjected to analysis"
surge,"n. a sudden or abrupt strong increase
v. see one's performance improve"
hunger,"n. a physiological need for food; the consequence of food deprivation
n. strong desire for something (not food or drink)
v. feel the need to eat"
disbelieve,v. reject as false; refuse to accept
lug,"n. ancient Celtic god
n. a projecting piece that is used to lift or support or turn something
v. carry with difficulty"
golf,"n. a game played on a large open course with 9 or 18 holes; the object is use as few strokes as possible in playing all the holes
v. play golf"
mythical,s based on or told of in traditional stories; lacking factual basis or historical validity
myth,n. a traditional story accepted as history; serves to explain the world view of a people
revive,"v. be brought back to life, consciousness, or strength
v. restore from a depressed, inactive, or unused state"
naturalism,"n. (philosophy) the doctrine that the world can be understood in scientific terms without recourse to spiritual or supernatural explanations
n. an artistic movement in 19th century France; artists and writers strove for detailed realistic and factual description"
steep,"n. a steep place (as on a hill)
v. devote (oneself) fully to
v. let sit in a liquid to extract a flavor or to cleanse
a. having a sharp inclination"
mood,n. verb inflections that express how the action or state is conceived by the speaker
ream,"n. a large quantity of written matter
n. a quantity of paper; 480 or 500 sheets; one ream equals 20 quires
v. squeeze the juice out (of a fruit) with a reamer
v. remove by making a hole or by boring"
sufficiently,r. to a sufficient degree
sufficient,a. of a quantity that can fulfill a need or requirement but without being abundant
Jim Crow,"n. A machine for bending or straightening rails.
n. A planing machine with a reversing tool, to plane both
   ways."
on earth,none
call down,none
out of the question,none
fit into,none
address oneself to,none
on errands,none
slip up,n a minor inadvertent mistake usually observed in speech or writing or in small accidents or memory lapses etc.
be clear of,none
under one's breath,none
be through,none
be consumed with,none
run across,none
surge up,none
hunger for,none
nothing less than,none
beyond one's reach,none
anyhow,"r. used to indicate that a statement explains or supports a previous statement; anyhow, they're quiet""; anyway, it's gone""; in any case, there was a brief scuffle""
r. in any way whatsoever"
pillar,"n. a fundamental principle or practice
n. a prominent supporter"
disadvantage,"n. the quality of having an inferior or less favorable position
v. put at a disadvantage; hinder, harm"
gang,"n. an association of criminals
n. an organized group of workmen
n. tool consisting of a combination of implements arranged to work together
v. act as an organized group"
lawn,n. a field of cultivated and mowed grass
rank,"n. a row or line of people (especially soldiers or police) standing abreast of one another
n. relative status
v. take or have a position relative to others
v. take precedence or surpass others in rank"
stitch,"n. a link or loop or knot made by an implement in knitting, crocheting, embroidery, or sewing
n. a sharp spasm of pain in the side resulting from running"
brood,"n. the young of an animal cared for at one time
v. think moodily or anxiously about something
v. hang over, as of something threatening, dark, or menacing
v. sit on (eggs)"
nurse,"n. one skilled in caring for young children or the sick (usually under the supervision of a physician)
v. try to cure by special care of treatment, of an illness or injury
v. serve as a nurse; care for sick or handicapped people
v. treat carefully"
trench,"n. a ditch dug as a fortification having a parapet of the excavated earth
n. a long steep-sided depression in the ocean floor
n. any long ditch cut in the ground
v. fortify by surrounding with trenches"
barrel,"n. a tube through which a bullet travels when a gun is fired
n. a cylindrical container that holds liquids
n. a bulging cylindrical shape; hollow with flat ends
n. the quantity that a barrel (of any size) will hold"
smack,"n. a sailing ship (usually rigged like a sloop or cutter) used in fishing and sailing along the coast
n. an enthusiastic kiss
n. the act of smacking something; a blow delivered with an open hand
v. deliver a hard blow to"
impart,"v. transmit (knowledge or skills)
v. transmit or serve as the medium for transmission"
monstrous,s. abnormally large
