describe,v. give a description of
withdrawn,"v pull back or move away or backward
v withdraw from active participation
v release from something that holds fast, connects, or entangles
v cause to be returned
v take back what one has said
v keep away from others
v break from a meeting or gathering
v retire gracefully
v remove (a commodity) from (a supply source)
v lose interest
v make a retreat from an earlier commitment or activity
v remove something concrete, as by lifting, pushing, or taking off, or remove something abstract
s withdrawn from society; seeking solitude
s tending to reserve or introspection"
melancholy,"n. a feeling of thoughtful sadness
n. a constitutional tendency to be gloomy and depressed
s. characterized by or causing or expressing sadness"
inhibition,"n. (psychology) the conscious exclusion of unacceptable thoughts or desires
n. the quality of being inhibited
n. (physiology) the process whereby nerves can retard or prevent the functioning of an organ or part"
sphere,"n. a particular environment or walk of life
n. any spherically shaped artifact
n. the geographical area in which one nation is very influential
n. a solid figure bounded by a spherical surface (including the space it encloses)"
aggressive,"a. having or showing determination and energetic pursuit of your ends; positive in his convictions""
s. tending to spread quickly
s. characteristic of an enemy or one eager to fight"
betray,"v. reveal unintentionally
v. deliver to an enemy by treachery"
neurosis,n. a mental or personality disturbance not attributable to any known neurological or organic dysfunction
depression,"n. a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity
n. a long-term economic state characterized by unemployment and low prices and low levels of trade and investment
n. sad feelings of gloom and inadequacy
n. a period during the 1930s when there was a worldwide economic depression and mass unemployment"
fitfully,r. in a fitful manner
typically,r. in a typical manner
blah,n pompous or pretentious talk or writing
compensate,"v. adjust for
v. make amends for; pay compensation for
v. make payment to; compensate"
insomniac,"n. someone who cannot sleep
s. experiencing or accompanied by sleeplessness"
presume,"v. constitute reasonable evidence for
v. take liberties or act with too much confidence"
recuperation,n gradual healing (through rest) after sickness or injury
conclude,"v. bring to a close
v. reach a conclusion after a discussion or deliberation
v. come to a close
v. reach agreement on"
consciousness,n. an alert cognitive state in which you are aware of yourself and your situation
measurably,r. to a measurable degree
mull over,none
wakeful,"s carefully observant or attentive; on the lookout for possible danger
s (of sleep) easily disturbed
s marked by full consciousness or alertness"
symptom,"n. (medicine) any sensation or change in bodily function that is experienced by a patient and is associated with a particular disease
n. anything that accompanies X and is regarded as an indication of X's existence"
resolutely,r. showing firm determination or purpose
subconscious,s. just below the level of consciousness
work out,n the activity of exerting your muscles in various ways to keep fit
nutrient,n. any substance (such as a chemical element or inorganic compound) that can be taken in by a green plant and used in organic synthesis
depression,"n. a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity
n. a long-term economic state characterized by unemployment and low prices and low levels of trade and investment
n. sad feelings of gloom and inadequacy
n. a period during the 1930s when there was a worldwide economic depression and mass unemployment"
symptom,"n. (medicine) any sensation or change in bodily function that is experienced by a patient and is associated with a particular disease
n. anything that accompanies X and is regarded as an indication of X's existence"
consumption,"n. the process of taking food into the body through the mouth (as by eating)
n. (economics) the utilization of economic goods to satisfy needs or in manufacturing
n. the act of consuming something"
antioxidant,n. substance that inhibits oxidation or inhibits reactions promoted by oxygen or peroxides
lycopene,n. carotenoid that makes tomatoes red; may lower the risk of prostate cancer
prostate,a. relating to the prostate gland
psychological,"s. mental or emotional as opposed to physical in nature
a. of or relating to or determined by psychology"
sort out,none
digestive,"n. any substance that promotes digestion
a. relating to or having the power to cause or promote digestion"
neurotransmitter,n. a neurochemical that transmits nerve impulses across a synapse
Thiamine,n a B vitamin that prevents beriberi; maintains appetite and growth
stabilize,"v. make stable and keep from fluctuating or put into an equilibrium
v. become stable or more stable"
Niacin,n. a B vitamin essential for the normal function of the nervous system and the gastrointestinal tract
Folic Acid,none
almond,"n. small bushy deciduous tree native to Asia and North Africa having pretty pink blossoms and highly prized edible nuts enclosed in a hard green hull; cultivated in southern Australia and California
n. oval-shaped edible seed of the almond tree"
broccoli,"n. plant with dense clusters of tight green flower buds
n. branched green undeveloped flower heads"
sushi,n. rice (with raw fish) wrapped in seaweed
cantaloupe,n. a variety of muskmelon vine having fruit with a tan rind and orange flesh
fortified cereals,none
pioneer,"n. someone who helps to open up a new line of research or technology or art
n. one the first colonists or settlers in a new territory
v. open up an area or prepare a way
v. open up and explore a new area"
emerge,"v. come out into view, as from concealment
v. become known or apparent
v. come up to the surface of or rise"
chronobiology,none
interact,v. act together or towards others or with others
antique,"n. any piece of furniture or decorative object or the like produced in a former period and valuable because of its beauty or rarity
v. shop for antiques
v. give an antique appearance to
s. made in or typical of earlier times and valued for its age"
remind,v. put in the mind of someone
live by,none
pressure,"n. the force applied to a unit area of surface; measured in pascals (SI unit) or in dynes (cgs unit)
n. a force that compels
n. the somatic sensation that results from applying force to an area of skin
n. an oppressive condition of physical or mental or social or economic distress"
anxiety,"n. (psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic
n. a vague unpleasant emotion that is experienced in anticipation of some (usually ill-defined) misfortune"
tension,"n. (psychology) a state of mental or emotional strain or suspense
n. the physical condition of being stretched or strained
n. a balance between and interplay of opposing elements or tendencies (especially in art or literature)
n. (physics) a stress that produces an elongation of an elastic physical body"
contribute,"v. contribute to some cause
v. be conducive to"
stroke,"n. (sports) the act of swinging or striking at a ball with a club or racket or bat or cue or hand
n. a sudden loss of consciousness resulting when the rupture or occlusion of a blood vessel leads to oxygen lack in the brain
n. a light touch
n. a light touch with the hands"
frequent,"v. be a regular or frequent visitor to a certain place
a. coming at short intervals or habitually
s. frequently encountered;"
stress-induced,none
technique,n. a practical method or art applied to some particular task
insist on,none
even though,none
schedule,"n. an ordered list of times at which things are planned to occur
v. plan for an activity or event
v. make a schedule; plan the time and place for events"
addict,"n. someone who is so ardently devoted to something that it resembles an addiction
n. someone who is physiologically dependent on a substance; abrupt deprivation of the substance produces withdrawal symptoms
v. to cause (someone or oneself) to become dependent (on something, especially a narcotic drug)"
timepiece,n. a measuring instrument or device for keeping time
waste,"n. any materials unused and rejected as worthless or unwanted
n. useless or profitless activity; using or expending or consuming thoughtlessly or carelessly
n. (law) reduction in the value of an estate caused by act or neglect
v. spend thoughtlessly; throw away"
synchronize,"v. make synchronous and adjust in time or manner
v. happen at the same time
v. make (motion picture sound) exactly simultaneous with the action
v. arrange or represent events so that they co-occur"
rhythm,"n. the basic rhythmic unit in a piece of music
n. recurring at regular intervals
n. the arrangement of spoken words alternating stressed and unstressed elements"
crab,"n. decapod having eyes on short stalks and a broad flattened carapace with a small abdomen folded under the thorax and pincers
n. a quarrelsome grouch
n. the edible flesh of any of various crabs
n. a stroke of the oar that either misses the water or digs too deeply"
squirrel,"n. a kind of arboreal rodent having a long bushy tail
n. the fur of a squirrel"
accurate,"a. conforming exactly or almost exactly to fact or to a standard or performing with total accuracy
s. (of ideas, images, representations, expressions) characterized by perfect conformity to fact or truth; strictly correct"
mechanical,"a. using (or as if using) mechanisms or tools or devices
a. relating to or concerned with machinery or tools
a. relating to or governed by or in accordance with mechanics"
adjust to,none
isolate,"v. place or set apart
v. obtain in pure form
v. separate (experiences) from the emotions relating to them"
external,"n. outward features
a. happening or arising or located outside or beyond some limits or especially surface
s. coming from the outside
s. from or between other countries"
cue,"n. an actor's line that immediately precedes and serves as a reminder for some action or speech
n. sports implement consisting of a tapering rod used to strike a cue ball in pool or billiards"
temperature,"n. the degree of hotness or coldness of a body or environment (corresponding to its molecular activity)
n. the somatic sensation of cold or heat"
humidity,n. wetness in the atmosphere
complex,"n. a conceptual whole made up of complicated and related parts
n. a compound described in terms of the central atom to which other atoms are bound or coordinated
n. (psychoanalysis) a combination of emotions and impulses that have been rejected from awareness but still influence a person's behavior
a. complicated in structure; consisting of interconnected parts"
internal,"a. happening or arising or located within some limits or especially surface
s. occurring within an institution or community"
in unison,none
subtle,s. able to make fine distinctions
biochemical,a. of or relating to biochemistry; involving chemical processes in living organisms
individual,"n. a single organism
a. being or characteristic of a single thing or person
s. separate and distinct from others of the same kind
s. characteristic of or meant for a single person or thing"
cult,"n. followers of an exclusive system of religious beliefs and practices
n. followers of an unorthodox, extremist, or false religion or sect who often live outside of conventional society under the direction of a charismatic leader
n. a religion or sect that is generally considered to be unorthodox, extremist, or false
n. a system of religious beliefs and rituals"
mob,n. a disorderly crowd of people
alter,"v. make an alteration to
v. remove the ovaries of"
brink,"n. a region marking a boundary
n. the edge of a steep place"
recall,"n. a request by the manufacturer of a defective product to return the product (as for replacement or repair)
n. a call to return
n. a bugle call that signals troops to return
n. the process of remembering (especially the process of recovering information by mental effort)"
in an instant,none
motion,"n. a change of position that does not entail a change of location
n. a state of change
n. a formal proposal for action made to a deliberative assembly for discussion and vote
n. the act of changing location from one place to another"
apparently,r. from appearances alone
survival,"n. a state of surviving; remaining alive
n. a natural process resulting in the evolution of organisms best adapted to the environment
n. something that survives"
accelerate,"v. move faster
v. cause to move faster"
perceptual,a. of or relating to the act of perceiving
victim,"n. an unfortunate person who suffers from some adverse circumstance
n. a person who is tricked or swindled"
differ in,none
perceive,"v. to become aware of through the senses
v. become conscious of"
industrialized,s. made industrial; converted to industrialism
frown upon,none
Hispanic,a. related to a Spanish-speaking people or culture
priority,n. preceding in time
appointment,"n. the act of putting a person into a non-elective position
n. (usually plural) furnishings and equipment (especially for a ship or hotel)
n. the job to which you are (or hope to be) appointed
n. (law) the act of disposing of property by virtue of the power of appointment"
flexible,"a. capable of being changed
a. able to flex; able to bend easily
s. bending and snapping back readily without breaking"
advantage,"n. the quality of having a superior or more favorable position
n. (tennis) first point scored after deuce
n. benefit resulting from some event or action
v. give an advantage to"
disadvantage,"n. the quality of having an inferior or less favorable position
v. put at a disadvantage; hinder, harm"
tyranny,"n a form of government in which the ruler is an absolute dictator (not restricted by a constitution or laws or opposition etc.)
n dominance through threat of punishment and violence"
related,"a. being connected either logically or causally or by shared characteristics
a. connected by kinship, common origin, or marriage"
intriguing,s. capable of arousing interest or curiosity
curiosity,n. a state in which you want to learn more about something
profound,"a. showing intellectual penetration or emotional depth
s. of the greatest intensity; complete
s. coming from deep within one
s. situated at or extending to great depth; too deep to have been sounded or plumbed"
identifiable,a. capable of being identified
component,"n. an abstract part of something
n. an artifact that is one of the individual parts of which a composite entity is made up; especially a part that can be separated from or attached to a system"
evolutionary,a. of or relating to or produced by evolution
structure,"n. a thing constructed; a complex entity constructed of many parts
n. the manner of construction of something and the arrangement of its parts
n. the complex composition of knowledge as elements and their combinations
n. a particular complex anatomical part of a living thing"
function,"n. (mathematics) a mathematical relation such that each element of a given set (the domain of the function) is associated with an element of another set (the range of the function)
n. what something is used for
n. the actions and activities assigned to or required or expected of a person or group
n. a relation such that one thing is dependent on another"
organism,"n. a living thing that has (or can develop) the ability to act or function independently
n. a system considered analogous in structure or function to a living body"
microbe,n. a minute life form (especially a disease-causing bacterium); the term is not in technical use
transcend,"v be greater in scope or size than some standard
v be superior or better than some standard"
arbitrary,a. based on or subject to individual discretion or preference or sometimes impulse or caprice
biomolecule,none
nucleic acid,none
inheritance,"n. hereditary succession to a title or an office or property
n. that which is inherited; a title or property or estate that passes by law to the heir on the death of the owner
n. (genetics) attributes acquired via biological heredity from the parents
n. any attribute or immaterial possession that is inherited from ancestors"
translate,"v. restate (words) from one language into another language
v. change from one form or medium into another
v. bring to a certain spiritual state
v. change the position of (figures or bodies) in space without rotation"
genetic code,none
nucleotide,n. a phosphoric ester of a nucleoside; the basic structural unit of nucleic acids (DNA or RNA)
nitrogenous,a. of or relating to or containing nitrogen
phosphate,"n. a salt of phosphoric acid
n. carbonated drink with fruit syrup and a little phosphoric acid"
uracil,n a base containing nitrogen that is found in RNA (but not in DNA) and derived from pyrimidine; pairs with adenine
thymine,n. a base found in DNA (but not in RNA) and derived from pyrimidine; pairs with adenine
catalyze,v. change by catalysis or cause to catalyze
myriad,n. a large indefinite number
amino acid,none
carboxyl group,none
uniformity,"n. a condition in which everything is regular and unvarying
n. the quality of lacking diversity or variation (even to the point of boredom)"
metabolic,"a. of or relating to metabolism
a. undergoing metamorphosis"
foodstuff,n. a substance that can be used or prepared for use as food
kinship,n. (anthropology) relatedness or connection by blood or marriage or adoption
geological,a. of or relating to or based on geology
multidisciplinary,none
scenario,"n. an outline or synopsis of a play (or, by extension, of a literary work)
n. a setting for a work of art or literature
n. a postulated sequence of possible events"
inorganic,"a. relating or belonging to the class of compounds not having a carbon basis
a. lacking the properties characteristic of living organisms"
endeavor,v. attempt by employing effort
