abbreviate,v. shorten
stanza,n. a fixed number of lines of verse forming a unit of a poem
staple,"n. a natural fiber (raw cotton, wool, hemp, flax) that can be twisted to form yarn
n. a short U-shaped wire nail for securing cables
n. paper fastener consisting of a short length of U-shaped wire that can fasten papers together
v. secure or fasten with a staple or staples"
starch,"n. a complex carbohydrate found chiefly in seeds, fruits, tubers, roots and stem pith of plants, notably in corn, potatoes, wheat, and rice; an important foodstuff and used otherwise especially in adhesives and as fillers and stiffeners for paper and textiles
n. a commercial preparation of starch that is used to stiffen textile fabrics in laundering
v. stiffen with starch"
stardom,n. the status of being acknowledged as a star
stark,"s. complete or extreme
r. completely"
stash,"n a secret store of valuables or money
v save up as for future use"
stately,s. of size and dignity suggestive of a statue
stature,"n. high level of respect gained by impressive development or achievement
n. (of a standing person) the distance from head to foot"
steadfast,s. firm and dependable especially in loyalty
stellar,a. being or relating to or resembling or emanating from stars
sterile,"a. incapable of reproducing
s. deficient in originality or creativity; lacking powers of invention"
stifle,"n. joint between the femur and tibia in a quadruped; corresponds to the human knee
v. smother or suppress"
stipend,n. a sum of money allotted on a regular basis; usually for some specific purpose
stipulate,"v. specify as a condition or requirement in a contract or agreement; make an express demand or provision in an agreement
v. give a guarantee or promise of
v. make an oral contract or agreement in the verbal form of question and answer that is necessary to give it legal force"
stocky,s having a short and solid form or stature
stout,"n. a strong very dark heavy-bodied ale made from pale malt and roasted unmalted barley and (often) caramel malt with hops
n. a garment size for a large or heavy person"
strand,"n. a pattern forming a unity within a larger structural whole
n. line consisting of a complex of fibers or filaments that are twisted together to form a thread or a rope or a cable
n. a poetic term for a shore (as the area periodically covered and uncovered by the tides)
n. a street in west central London famous for its theaters and hotels"
strata,"n one of several parallel layers of material arranged one on top of another (such as a layer of tissue or cells in an organism or a layer of sedimentary rock)
n people having the same social, economic, or educational status
n an abstract place usually conceived as having depth"
strenuous,s. characterized by or performed with much energy or force
stringent,s demanding strict attention to rules and procedures
stuffy,s. affected with a sensation of stoppage or obstruction
stunning,"s. causing great astonishment and consternation
s. causing or capable of causing bewilderment or shock or insensibility
s. strikingly beautiful or attractive"
stunt,"n. a difficult or unusual or dangerous feat; usually done to gain attention
n. a creature (especially a whale) that has been prevented from attaining full growth
v. check the growth or development of
v. perform a stunt or stunts"
subside,"v. wear off or die down
v. sink to a lower level or form a depression
v. sink down or precipitate"
subsist,v support oneself
substantiate,"v. solidify, firm, or strengthen"
substantive,"n. any word or group of words functioning as a noun
a. defining rights and duties as opposed to giving the rules by which rights and duties are established"
subterranean,"s. being or operating under the surface of the earth
s. lying beyond what is openly revealed or avowed (especially being kept in the background or deliberately concealed)"
subversive,"n a radical supporter of political or social revolution
s in opposition to a civil authority or government"
succinct,s briefly giving the gist of something
succumb,v. be fatally overwhelmed
sumptuous,s rich and superior in quality
sunlight,n. the rays of the sun
superfluous,"s serving no useful purpose; having no excuse for being
s more than is needed, desired, or required"
superintendent,n. a caretaker for an apartment house; represents the owner as janitor and rent collector
supernatural,"n. supernatural forces and events and beings collectively
a. not existing in nature or subject to explanation according to natural laws; not physical or material"
supplant,v. take the place or move into the position of
supple,v. make pliant and flexible
surcharge,"n. an additional charge (as for items previously omitted or as a penalty for failure to exercise common caution or common skill)
v. charge an extra fee, as for a special service
v. fill to capacity with people
v. print a new denomination on a stamp or a banknote"
surmount,v. be on top of
sustenance,n. the act of sustaining life by food or providing a means of subsistence
syllable,n. a unit of spoken language larger than a phoneme
symbiosis,n. the relation between two different species of organisms that are interdependent; each gains benefits from the other
symbolize,v. represent or identify by using a symbol; use symbols
symmetrical,"a. having similarity in size, shape, and relative position of corresponding parts"
synonym,n. two words that can be interchanged in a context are said to be synonymous relative to that context
synthesize,"v. combine so as to form a more complex, product
v. combine and form a synthesis"
syrup,n. a thick sweet sticky liquid
tableland,n. a relatively flat highland
taboo,"n. a prejudice (especially in Polynesia and other South Pacific islands) that prohibits the use or mention of something because of its sacred nature
n. an inhibition or ban resulting from social custom or emotional aversion
v. declare as sacred and forbidden
s. forbidden to profane use especially in South Pacific islands"
tactile,s. producing a sensation of touch
tag,"n. a label written or printed on paper, cardboard, or plastic that is attached to something to indicate its owner, nature, price, etc.
n. a label associated with something for the purpose of identification
n. a game in which one child chases the others; the one who is caught becomes the next chaser
n. (sports) the act of touching a player in a game (which changes their status in the game)"
taint,"n the state of being contaminated
v place under suspicion or cast doubt upon
v contaminate with a disease or microorganism"
talkative,"s full of trivial conversation
s unwisely talking too much
s friendly and open and willing to talk"
tally,"v. keep score, as in games"
tardy,s after the expected or usual time; delayed
tarnish,"n. discoloration of metal surface caused by oxidation
v. make dirty or spotty, as by exposure to air; also used metaphorically"
tavern,n. a building with a bar that is licensed to sell alcoholic drinks
tectonics,n. the branch of geology studying the folding and faulting of the earth's crust
tedium,"n the feeling of being bored by something tedious
n dullness owing to length or slowness"
temperate,"a. (of weather or climate) free from extremes; mild; or characteristic of such weather or climate
a. not extreme in behavior"
tenement,n. a run-down apartment house barely meeting minimal standards
tentacle,"n. something that acts like a tentacle in its ability to grasp and hold
n. any of various elongated tactile or prehensile flexible organs that occur on the head or near the mouth in many animals; used for feeling or grasping or locomotion"
terminology,n. a system of words used to name things in a particular discipline
terminus,"n. (architecture) a statue or a human bust or an animal carved out of the top of a square pillar; originally used as a boundary marker in ancient Rome
n. either end of a railroad or bus route"
termite,n. whitish soft-bodied ant-like social insect that feeds on wood
terrestrial,a. operating or living or growing on land
thaw,"n. the process whereby heat changes something from a solid to a liquid
n. warm weather following a freeze; snow and ice melt
n. a relaxation or slackening of tensions or reserve; becoming less hostile"
thigh,n. the part of the leg between the hip and the knee
thrifty,a. careful and diligent in the use of resources
thunderstorm,n. a storm resulting from strong rising air currents; heavy rain or hail along with thunder and lightning
tint,v. color lightly
topography,"n. the configuration of a surface and the relations among its man-made and natural features
n. precise detailed study of the surface features of a region"
topsoil,n. the layer of soil on the surface
torch,"n. a light usually carried in the hand; consists of some flammable substance
v. burn maliciously, as by arson"
tornado,n. a localized and violently destructive windstorm occurring over land characterized by a funnel-shaped cloud extending toward the ground
torpor,n. a state of motor and mental inactivity with a partial suspension of sensibility
torrent,n. a violently fast stream of water (or other liquid)
tortuous,"s. marked by repeated turns and bends
s. not straightforward"
touching,"n the event of something coming in contact with the body
n the act of putting two things together with no space between them
v make physical contact with, come in contact with
v perceive via the tactile sense
v affect emotionally
v be relevant to
v be in direct physical contact with; make contact
v have an effect upon
v deal with; usually used with a form of negation
v cause to be in brief contact with
v to extend as far as
v be equal to in quality or ability
v tamper with
v make a more or less disguised reference to
v comprehend
v consume
v color lightly
s arousing affect"
tournament,"n. a sporting competition in which contestants play a series of games to decide the winner
n. a series of jousts between knights contesting for a prize"
towering,"v appear very large or occupy a commanding position
s of imposing height; especially standing out above others"
toxic,a. of or relating to or caused by a toxin or poison
tramp,"n. a disreputable vagrant
n. a heavy footfall
v. travel on foot, especially on a walking expedition
v. cross on foot"
trample,"n. the sound of heavy treading or stomping
v. injure by trampling or as if by trampling"
tranquil,"s (of a body of water) free from disturbance by heavy waves
s not agitated; without losing self-possession"
transcend,"v be greater in scope or size than some standard
v be superior or better than some standard"
translucent,s. allowing light to pass through diffusely
transmute,v. alter the nature of (elements)
trash,"n. worthless people
v. dispose of (something useless or old)"
treacherous,s. dangerously unstable and unpredictable
tread,"n. the grooved surface of a pneumatic tire
n. the part (as of a wheel or shoe) that makes contact with the ground
n. structural member consisting of the horizontal part of a stair or step
v. tread or stomp heavily or roughly"
treason,"n. a crime that undermines the offender's government
n. disloyalty by virtue of subversive behavior"
trespass,"n. a wrongful interference with the possession of property (personal property as well as realty), or the action instituted to recover damages
n. entry to another's property without right or permission
v. enter unlawfully on someone's property
v. make excessive use of"
tributary,"s. (of a stream) flowing into a larger stream
s. paying tribute"
trickle,"v. run or flow slowly, as in drops or in an unsteady stream"
trilogy,n. a set of three literary or dramatic works related in subject or theme
troupe,n organization of performers and associated personnel (especially theatrical)
trustworthy,"a. worthy of trust or belief
s. taking responsibility for one's conduct and obligations"
turnpike,"n. (from 16th to 19th centuries) gates set across a road to prevent passage until a toll had been paid
n. an expressway on which tolls are collected"
twig,v. branch out in a twiglike manner
twine,v. make by twisting together or intertwining
tycoon,n a very wealthy or powerful businessman
tyrannical,"s marked by unjust severity or arbitrary behavior
s characteristic of an absolute ruler or absolute rule; having absolute sovereignty"
ultimatum,n. a final peremptory demand
ultrasonic,s having frequencies above those of audible sound
unanimity,n. everyone being of one mind
unbiased,s. without bias
unbridgeable,a. not bridgeable
unbridled,s. not restrained or controlled
unbroken,"a. marked by continuous or uninterrupted extension in space or time or sequence
s. not subdued or trained for service or use
a. (especially of promises or contracts) not violated or disregarded
a. not broken; whole and intact; in one piece"
underdeveloped,s. not yet fully developed
undergraduate,n. a university student who has not yet received a first degree
underscore,"n. a line drawn underneath (especially under written matter)
v. give extra weight to (a communication)"
undertaking,"n. any piece of work that is undertaken or attempted
n. the trade of a funeral director"
underwater,"s beneath the surface of the water
s growing or remaining under water"
undo,"v. cancel, annul, or reverse an action or its effect
v. cause the ruin or downfall of"
unearth,v. bring to light
unfair,a. not fair; marked by injustice or partiality or deception
unmatched,"s of the remaining member of a pair, of socks e.g.
s eminent beyond or above comparison"
unpack,v. remove from its packing
unprecedented,a. having no precedent; novel
unravel,v. become or cause to become undone by separating the fibers or threads of
unrestrained,a. not subject to restraint
unscrupulous,a. without scruples or principles
unsophisticated,s. not wise in the ways of the world
unwieldy,"a. difficult to use or handle or manage because of size or weight or shape
s. difficult to work or manipulate"
upheaval,n. (geology) a rise of land to a higher elevation (as in the process of mountain building)
upright,"n. a vertical structural member as a post or stake
n. a piano with a vertical sounding board
s. in a vertical position; not sloping"
uproar,"n a state of commotion and noise and confusion
n loud confused noise from many sources"
uproot,"v. move (people) forcibly from their homeland into a new and foreign environment
v. destroy completely, as if down to the roots
v. pull up by or as if by the roots"
upside-down,s being in such a position that top and bottom are reversed
utilitarian,"n. someone who believes that the value of a thing depends on its utility
s. having a useful function
s. having utility often to the exclusion of values"
utmost,n. the greatest possible degree
vanity,n. the quality of being valueless or futile
varnish,"n. a coating that provides a hard, lustrous, transparent finish to a surface
v. cover with varnish"
venom,"n. toxin secreted by animals; secreted by certain snakes and poisonous insects (e.g., spiders and scorpions)"
vertebrate,"n. animals having a bony or cartilaginous skeleton with a segmented spinal column and a large brain enclosed in a skull or cranium
a. having a backbone or spinal column"
vestige,n an indication that something has been present
viable,s. capable of life or normal growth and development
vibrant,"s. vigorous and animated
s. of sounds that are strong and resonating
s. of colors that are bright and striking"
vie,v compete for something; engage in a contest; measure oneself against others
vigilance,"n the process of paying close and continuous attention
n vigilant attentiveness"
viscosity,n. resistance of a liquid to shear forces (and hence to flow)
virtue,"n. the quality of doing what is right and avoiding what is wrong
n. morality with respect to sexual relations
n. a particular moral excellence"
vista,n the visual percept of a region
volatile,"n. a volatile substance; a substance that changes readily from solid or liquid to a vapor
a. evaporating readily at normal temperatures and pressures
s. tending to vary often or widely"
voracious,"s excessively greedy and grasping
s devouring or craving food in great quantities"
walkout,"n. a strike in which the workers walk out
n. the act of walking out (of a meeting or organization) as a sign of protest"
wane,"v. become smaller
v. decrease in phase"
warrior,n. someone engaged in or experienced in warfare
wary,a. marked by keen caution and watchful prudence
weird,"s. strikingly odd or unusual; some weird effect of shadow""- Bram Stoker"
well-being,n a contented state of being happy and healthy and prosperous
whim,"n a sudden desire
n an odd or fanciful or capricious idea"
wholesale,"n. the selling of goods to merchants; usually in large quantities for resale to consumers
v. sell in large quantities
r. at a wholesale price
r. on a large scale without careful discrimination"
wholesome,"a. conducive to or characteristic of physical or moral well-being
s. sound or exhibiting soundness in body or mind"
wildlife,n. all living things (except people) that are undomesticated
witty,s. combining clever conception and facetious expression
woods,"n the trees and other plants in a large densely wooded area
n the hard fibrous lignified substance under the bark of trees
n the trees and other plants in a large densely wooded area
n United States film actress (1938-1981)
n English conductor (1869-1944)
n English writer of novels about murders and thefts and forgeries (1814-1887)
n United States painter noted for works based on life in the Midwest (1892-1942)
n any wind instrument other than the brass instruments
n a golf club with a long shaft used to hit long shots; originally made with a wooden head"
wring,"v. twist and compress, as if in pain or anguish
v. twist, squeeze, or compress in order to extract liquid"
yardstick,"n. a measure or standard used for comparison
n. a ruler or tape that is three feet long"
zenith,n. the point above the observer that is directly opposite the nadir on the imaginary sphere against which celestial bodies appear to be projected
zigzag,"n. an angular shape characterized by sharp turns in alternating directions
v. travel along a zigzag path
s. having short sharp turns or angles"
