abbreviate,v. shorten
erratic,"s. liable to sudden unpredictable change
s. having no fixed course
s. likely to perform unpredictably; sometimes it would start and sometimes it wouldn't"""
escalate,v. increase in extent or intensity
etiquette,n. rules governing socially acceptable behavior
eventful,a. full of events or incidents
evergreen,"n. a plant having foliage that persists and remains green throughout the year
a. (of plants and shrubs) bearing foliage throughout the year"
eviscerate,"v. remove the contents of
v. take away a vital or essential part of
s. having been disembowelled"
exacting,"v claim as due or just
v take as an undesirable consequence of some event or state of affairs
a having complicated nutritional requirements; especially growing only in special artificial cultures
s severe and unremitting in making demands
s requiring precise accuracy"
exalted,s. of high moral or intellectual value; elevated in nature or style
excavate,"v. recover through digging
v. find by digging in the ground
v. form by hollowing
v. remove the inner part or the core of"
exemplary,s. worthy of imitation
exhale,"v. expel air
v. give out (breath or an odor)"
exhausted,"s. drained of energy or effectiveness; extremely tired; completely exhausted
a. depleted of energy, force, or strength
s. drained physically"
exhilarating,s. making lively and cheerful
exorbitant,s. greatly exceeding bounds of reason or moderation
expanse,n. a wide and open space or area as of surface or land or sky
exponential,"n. a function in which an independent variable appears as an exponent
a. of or involving exponents"
expressive,s. characterized by expression
expressly,r. with specific intentions; for the express purpose
exterminate,v. kill en masse; kill on a large scale; kill many
extol,"v praise, glorify, or honor"
extremity,"n. an external body part that projects from the body
n. an extreme condition or state (especially of adversity or disease)
n. the greatest or utmost degree"
exuberant,s. produced or growing in extreme abundance
eyewitness,"n. a spectator who can describe what happened
v. be present at an event and see it with one's own eyes"
facade,"n. the face or front of a building
n. a showy misrepresentation intended to conceal something unpleasant"
facsimile,"n. an exact copy or reproduction
n. duplicator that transmits the copy by wire or radio"
faction,n. a dissenting clique
factual,a. of or relating to or characterized by facts
falcon,"n. diurnal birds of prey having long pointed powerful wings adapted for swift flight
v. hunt with falcons"
fanatical,s marked by excessive enthusiasm for and intense devotion to a cause or idea
farce,"n. a comedy characterized by broad satire and improbable situations
v. fill with a stuffing while cooking"
fateful,"s. having momentous consequences; of decisive importance
s. ominously prophetic"
faucet,n. a regulator for controlling the flow of a liquid from a reservoir
fault,"n. (geology) a crack in the earth's crust resulting from the displacement of one side with respect to the other
n. (electronics) equipment failure attributable to some defect in a circuit (loose connection or insulation failure or short circuit etc.)
n. responsibility for a bad situation or event
n. (sports) a serve that is illegal (e.g., that lands outside the prescribed area)"
feat,n. a notable achievement
ferment,"n. a substance capable of bringing about fermentation
v. be in an agitated or excited state
v. work up into agitation or excitement
v. cause to undergo fermentation"
fervor,"n feelings of great warmth and intensity
n the state of being emotionally aroused and worked up"
feud,"n. a bitter quarrel between two parties
v. carry out a feud"
feverish,"s. marked by intense agitation or emotion
s. having or affected by a fever"
fidelity,"n. accuracy with which an electronic system reproduces the sound or image of its input signal
n. the quality of being faithful"
figurehead,n. figure on the bow of some sailing vessels
finesse,n subtly skillful handling of a situation
fishy,"a. of or relating to or resembling fish
s. not as expected"
fitness,"n. the quality of being suitable
n. good physical condition; being in shape or in condition
n. the quality of being qualified"
flabby,s out of condition; not strong or robust; incapable of exertion or endurance
flair,n. a natural talent
flake,"v. form into flakes
v. cover with flakes or as if with flakes"
flamboyant,s. marked by ostentation but often tasteless
fleeting,s. lasting for a markedly brief time
flickering,s. shining unsteadily
flint,"n. a hard kind of stone; a form of silica more opaque than chalcedony
n. a river in western Georgia that flows generally south to join the Chattahoochee River at the Florida border where they form the Apalachicola River
n. a city in southeast central Michigan near Detroit; automobile manufacturing"
flounder,"n. flesh of any of various American and European flatfish
n. any of various European and non-European marine flatfish
v. behave awkwardly; have difficulties"
fluffy,s like down or as soft as down
fluorescent,"n. a lighting fixture that uses a fluorescent lamp
s. emitting light during exposure to radiation from an external source
s. brilliantly colored and apparently giving off light"
flux,"n. the rate of flow of energy or particles across a given surface
n. a flow or discharge
n. a substance added to molten metals to bond with impurities that can then be readily removed
n. excessive discharge of liquid from a cavity or organ (as in watery diarrhea)"
foe,n. a personal enemy
foggy,"s stunned or confused and slow to react (as from blows or drunkenness or exhaustion)
s indistinct or hazy in outline
s filled or abounding with fog or mist
s obscured by fog"
folklore,n. the unwritten lore (stories and proverbs and riddles and songs) of a culture
folly,"n. the trait of acting stupidly or rashly
n. the quality of being rash and foolish
n. foolish or senseless behavior"
foment,v. bathe with warm water or medicated lotions
footnote,n. a printed note placed below the text on a printed page
forage,v. wander and feed
foray,"n. a sudden short attack
n. an initial attempt (especially outside your usual areas of competence)
v. briefly enter enemy territory"
forbidding,"n an official prohibition or edict against something
v command against
v keep from happening or arising; make impossible
s harshly uninviting or formidable in manner or appearance
s threatening or foreshadowing evil or tragic developments"
ford,"n. United States film maker (1896-1973)
n. grandson of Henry Ford (1917-1987)
n. son of Henry Ford (1893-1943)
n. English writer and editor (1873-1939)"
forebear,n. a person from whom you are descended
forefront,n. the part in the front or nearest the viewer
forerunner,"n a person who goes before or announces the coming of another
n something that precedes and indicates the approach of something or someone
n anything that precedes something similar in time"
foreshadow,v indicate by signs
forestall,"v keep from happening or arising; make impossible
v act in advance of; deal with ahead of time"
foretell,"v foreshadow or presage
v make a prediction about; tell in advance
v indicate by signs"
formation,"n. an arrangement of people or things acting as a unit
n. the act of fabricating something in a particular shape
n. a particular spatial arrangement
n. natural process that causes something to form"
formative,"n. minimal language unit that has a syntactic (or morphological) function
s. capable of forming new cells and tissues
s. forming or capable of forming or molding or fashioning"
former,"n. the first of two or the first mentioned of two
a. referring to the first of two things or persons mentioned (or the earlier one or ones of several); I prefer the former version to the latter one""
s. (used especially of persons) of the immediate past"
fortress,n. a fortified defensive structure
fortuitous,s. occurring by happy chance
fray,v. wear away by rubbing
frenetic,s excessively agitated; distraught with fear or other violent emotion
frenzy,n state of violent mental agitation
fresco,"n. a mural done with watercolors on wet plaster
n. a durable method of painting on a wall by using watercolors on wet plaster
v. paint onto wet plaster on a wall"
freshly,"r very recently
r in an impudent or impertinent manner"
frivolity,n. the trait of being frivolous; not serious or sensible
frugal,s avoiding waste
furry,s covered with a dense coat of fine silky hairs
fuss,"n. an angry disturbance
v. worry unnecessarily or excessively"
gallantry,n. polite attentiveness to women
gallop,"n. a fast gait of a horse; a two-beat stride during which all four legs are off the ground simultaneously
v. ride at a galloping pace
v. go at galloping speed
v. cause to move at full gallop"
galvanize,"v. cover with zinc
v. stimulate (muscles) by administering a shock"
garb,"n clothing of a distinctive style or for a particular occasion
v provide with clothes or put clothes on"
gay,"s. full of or showing high-spirited merriment
s. given to social pleasures often including dissipation
s. offering fun and gaiety
s. homosexual or arousing homosexual desires"
gazette,"n. a newspaper or official journal
v. publish in a gazette"
gem,"n. art highly prized for its beauty or perfection
n. a crystalline rock that can be cut and polished for jewelry"
genesis,"n. a coming into being
n. the first book of the Old Testament: tells of Creation; Adam and Eve; the Fall of Man; Cain and Abel; Noah and the flood; God's covenant with Abraham; Abraham and Isaac; Jacob and Esau; Joseph and his brothers"
genial,a. of or relating to the chin or median part of the lower jaw
genre,"n. a kind of literary or artistic work
n. a class of art (or artistic endeavor) having a characteristic form or technique"
gentility,n elegance by virtue of fineness of manner and expression
gibe,"n an aggressive remark directed at a person like a missile and intended to have a telling effect
v be compatible, similar or consistent; coincide in their characteristics
v laugh at with contempt and derision"
girder,n. a beam made usually of steel; a main support in a structure
glacial,a. relating to or derived from a glacier
glamorous,"s. having an air of allure, romance and excitement"
glassware,n. an article of tableware made of glass
glaze,"n. any of various thin shiny (savory or sweet) coatings applied to foods
n. a glossy finish on a fabric
n. a coating for ceramics, metal, etc.
v. coat with a glaze"
glean,"v gather, as of natural products"
glossy,"n. a photograph that is printed on smooth shiny paper
s. (of paper and fabric and leather) having a surface made smooth and glossy especially by pressing between rollers
s. superficially attractive and stylish; suggesting wealth or expense"
gnaw,v. bite or chew on with the teeth
gourmet,n a person devoted to refined sensuous enjoyment (especially good food and drink)
graceful,"a. characterized by beauty of movement, style, form, or execution"
graft,"n. (surgery) tissue or organ transplanted from a donor to a recipient; in some cases the patient can be both donor and recipient
n. the act of grafting something onto something else
v. cause to grow together parts from different plants"
graphic,"n. an image that is generated by a computer
s. written or drawn or engraved
s. describing nudity or sexual activity in graphic detail
a. of or relating to the graphic arts"
graphite,n. used as a lubricant and as a moderator in nuclear reactors
gravitational,a. of or relating to or caused by gravitation
gulp,"n. a large and hurried swallow
n. a spasmodic reflex of the throat made as if in swallowing
v. to swallow hurriedly or greedily or in one draught
v. utter or make a noise, as when swallowing too quickly"
gush,"n a sudden rapid flow (as of water)
n an unrestrained expression of emotion
v gush forth in a sudden stream or jet
v praise enthusiastically
v issue in a jet; come out in a jet; stream or spring forth"
gust,n. a strong current of air
habitat,n. the type of environment in which an organism or group normally lives or occurs
hallmark,n. a distinctive characteristic or attribute
handful,"n. a small number or amount
n. the quantity that can be held in the hand"
handy,"n. United States blues musician who transcribed and published traditional blues music (1873-1958)
s. easy to reach
s. easy to use
s. skillful with the hands"
haphazard,"s. dependent upon or characterized by chance
s. marked by great carelessness
r. without care; in a slapdash manner"
hardy,"n. United States slapstick comedian who played the pompous and overbearing member of the Laurel and Hardy duo who made many films (1892-1957)
n. English novelist and poet (1840-1928)
s. having rugged physical strength; inured to fatigue or hardships
s. able to survive under unfavorable weather conditions"
harmonize,"v. go together
v. write a harmony for
v. sing or play in harmony
v. bring (several things) into consonance or relate harmoniously"
haven,n. a shelter serving as a place of safety or sanctuary
hearty,"s. showing warm and heartfelt friendliness
s. providing abundant nourishment
s. endowed with or exhibiting great bodily or mental health
s. consuming abundantly and with gusto"
heavenly,a. of or belonging to heaven or god
hedge,"n. a fence formed by a row of closely planted shrubs or bushes
n. any technique designed to reduce or eliminate financial risk; for example, taking two positions that will offset each other if prices change
n. an intentionally noncommittal or ambiguous statement
v. avoid or try to avoid fulfilling, answering, or performing (duties, questions, or issues)"
heed,v. pay close attention to; give heed to
hell,"n. any place of pain and turmoil; 
n. a cause of difficulty and suffering
n. (Christianity) the abode of Satan and the forces of evil; where sinners suffer eternal punishment
n. (religion) the world of the dead"
helpless,"s. lacking in or deprived of strength or power
s. unable to function; without help
s. unable to manage independently"
hem,"n. the edge of a piece of cloth; especially the finished edge that has been doubled under and stitched down
n. the utterance of a sound similar to clearing the throat; intended to get attention, express hesitancy, fill a pause, hide embarrassment, warn a friend, etc.
v. fold over and sew together to provide with a hem
v. utter `hem' or `ahem'"
herald,n. (formal) a person who announces important news
herd,"n. a group of cattle or sheep or other domestic mammals all of the same kind that are herded by humans
n. a group of wild mammals of one species that remain together: antelope or elephants or seals or whales or zebra
v. cause to herd, drive, or crowd together
v. move together, like a herd"
heredity,"n. the biological process whereby genetic factors are transmitted from one generation to the next
n. the total of inherited attributes"
heroism,n. the qualities of a hero or heroine; exceptional or heroic courage when facing danger (especially in battle)
heterogeneous,a. consisting of elements that are not of the same kind or nature
heyday,n the period of greatest prosperity or productivity
hibernate,"v. sleep during winter
v. be in an inactive or dormant state"
hike,"n. a long walk usually for exercise or pleasure
v. increase
v. walk a long way, as for pleasure or physical exercise"
hilly,s having hills and crags
hinterland,n a remote and undeveloped area
hoe,"n. a tool with a flat blade attached at right angles to a long handle
v. dig with a hoe"
homely,"s. lacking in physical beauty or proportion
s. plain and unpretentious
s. without artificial refinement or elegance"
homemade,a. made or produced in the home or by yourself
homespun,"n. a rough loosely woven fabric originally made with yarn that was spun at home
s. of textiles; having a rough surface
s. made of cloth spun or woven in the home"
homogenize,"v. cause to become equal or homogeneous as by mixing
v. break up the fat globules of
v. become homogeneous or similar, as by mixing"
hook,"n. a catch for locking a door
n. a sharp curve or crook; a shape resembling a hook
n. a mechanical device that is curved or bent to suspend or hold or pull something
n. a curved or bent implement for suspending or pulling something"
horde,"n. a vast multitude
n. a nomadic community"
hub,"n. the central part of a car wheel (or fan or propeller etc) through which the shaft or axle passes
n. a center of activity or interest or commerce or transportation; a focal point around which events revolve"
huddle,"n. (informal) a quick private conference
n. a disorganized and densely packed crowd
v. crowd or draw together
v. crouch or curl up"
hue,"n. the quality of a color as determined by its dominant wavelength
v. take on color or become colored"
humiliate,v. cause to feel shame; hurt the pride of
hump,"n something that bulges out or is protuberant or projects from its surroundings
v round one's back by bending forward and drawing the shoulders forward
v have sexual intercourse with"
husk,"n. outer membranous covering of some fruits or seeds
v. remove the husks from"
hustle,"v. cause to move furtively and hurriedly
v. sell something to or obtain something from by energetic and especially underhanded activity
v. get by trying hard
v. pressure or urge someone into an action"
hygiene,"n. a condition promoting sanitary practices
n. the science concerned with the prevention of illness and maintenance of health"
hypersensitive,s having an allergy or peculiar or excessive susceptibility (especially to a specific factor)
iceberg,n. a large mass of ice floating at sea; usually broken off of a polar glacier
icicle,"n. ice resembling a pendent spear, formed by the freezing of dripping water"
icon,"n. (computer science) a graphic symbol (usually a simple picture) that denotes a program or a command or a data file or a concept in a graphical user interface
n. a conventional religious painting in oil on a small wooden panel; venerated in the Eastern Church"
idyllic,"s. excellent and delightful in all respects
s. suggestive of an idyll; charmingly simple and serene"
igneous,"a. produced under conditions involving intense heat; especially from molten magma""
a. produced by the action of fire or intense heat"
illegible,"a. (of handwriting, print, etc.) not legible"
illiterate,"n. a person unable to read
a. not able to read or write
a. lacking culture, especially in language and literature"
imagery,n the ability to form mental images of things or events
imbibe,v. receive into the mind and retain
immobile,a. not capable of movement or of being moved
impartial,a. showing lack of favoritism
impede,v. be a hindrance or obstacle to
impending,"v be imminent or about to happen
s close in time; about to occur"
impersonal,"a. not relating to or responsive to individual persons
s. having no personal preference"
impersonate,"v. assume or act the character of
v. represent another person with comic intentions"
implication,"n. an accusation that brings into intimate and usually incriminating connection
n. a logical relation between propositions p and q of the form `if p then q'; if p is true then q cannot be false
n. a relation implicated by virtue of involvement or close connection (especially an incriminating involvement)"
imposing,"v compel to behave in a certain way
v impose something unpleasant
v impose and collect
s impressive in appearance
s used of a person's appearance or behavior; befitting an eminent person"
imprint,"n. a distinctive influence
n. an identification of a publisher; a publisher's name along with the date and address and edition that is printed at the bottom of the title page
n. an impression produced by pressure or printing
n. a device produced by pressure on a surface"
imprisonment,"n. putting someone in prison or in jail as lawful punishment
n. the act of confining someone in a prison (or as if in a prison)"
improbable,"a. not likely to be true or to occur or to have occurred
s. having a probability too low to inspire belief
s. too improbable to admit of belief"
improvise,"v. perform without preparation
v. manage in a makeshift way; do with whatever is at hand"
inanimate,"a. belonging to the class of nouns denoting nonliving things
a. not endowed with life"
incapacitate,"v make unable to perform a certain action
v injure permanently"
incense,"n. a substance that produces a fragrant odor when burned
n. the pleasing scent produced when incense is burned"
incessant,s uninterrupted in time and indefinitely long continuing
incident,"n. a single distinct event
n. a public disturbance
a. falling or striking of light rays on something"
incisive,s. suitable for cutting or piercing
inclination,"n. an attitude of mind especially one that favors one alternative over others
n. (astronomy) the angle between the plane of the orbit and the plane of the ecliptic stated in degrees
n. (geometry) the angle formed by the x-axis and a given line (measured counterclockwise from the positive half of the x-axis)
n. that toward which you are inclined to feel a liking"
incompatible,"a. not compatible
a. incapable of being used with or connected to other devices or components without modification
s. used especially of solids or solutions; incapable of blending into a stable homogeneous mixture"
incongruous,a. lacking in harmony or compatibility or appropriateness
indent,"n. an order for goods to be exported or imported
v. set in from the margin
v. cut or tear along an irregular line so that the parts can later be matched for authentication"
indigestion,n. a disorder of digestive function characterized by discomfort or heartburn or nausea
indiscriminate,"s. failing to make or recognize distinctions
a. not marked by fine distinctions"
inextricably,r. in an inextricable manner
infertile,a incapable of reproducing
infest,"v. invade in great numbers
v. live on or in a host, as of parasites"
infiltrate,"v. cause (a liquid) to enter by penetrating the interstices
v. enter a group or organization in order to spy on the members
v. pass into or through by filtering or permeating
v. pass through an enemy line; in a military conflict"
inflate,"v. exaggerate or make bigger
v. fill with gas or air
v. cause prices to rise by increasing the available currency or credit
v. increase the amount or availability of, creating a rise in value"
inflexible,"a. incapable of change
a. resistant to being bent; 
s. incapable of adapting or changing to meet circumstances"
influential,a. having or exercising influence or power
influenza,n. an acute febrile highly contagious viral disease
influx,n the process of flowing in
informal,"a. not formal
s. not officially recognized or controlled
a. used of spoken and written language"
informed,a. having much knowledge or education
infuse,"v. undergo the process of infusion
v. introduce into the body through a vein, for therapeutic purposes"
innate,"a not established by conditioning or learning
s being talented through inherited qualities
s present at birth but not necessarily hereditary; acquired during fetal development"
innermost,"s being deepest within the self
s situated or occurring farthest within"
instructive,a. serving to instruct or enlighten or inform
insurmountable,a. not capable of being surmounted or overcome
intelligent,"a. having the capacity for thought and reason especially to a high degree
s. possessing sound knowledge
s. endowed with the capacity to reason"
intentionally,r. with intention; in an intentional manner
interlocking,"n contact by fitting together
n the act of interlocking or meshing
v coordinate in such a way that all parts work together effectively
v hold in a locking position
v become engaged or intermeshed with one another
s linked or locked closely together as by dovetailing"
interpersonal,s. occurring among or involving several people
intersect,v. meet at a point
intoxication,n. excitement and elation beyond the bounds of sobriety
intrepid,s invulnerable to fear or intimidation
introspective,a. given to examining own sensory and perceptual experiences
intrusion,"n. entrance by force or without permission or welcome
n. the forcing of molten rock into fissures or between strata of an earlier rock formation
n. rock produced by an intrusive process"
inundate,"v. fill or cover completely, usually with water"
invertebrate,"n. any animal lacking a backbone or notochord; the term is not used as a scientific classification
a. lacking a backbone or spinal column"
inviting,a. attractive and tempting
involuntary,"a. not subject to the control of the will
a. controlled by the autonomic nervous system; without conscious control"
irrelevant,a. having no bearing on or connection with the subject at issue
irreparable,"a. impossible to repair, rectify, or amend"
irresistible,"a. impossible to resist; overpowering
s. overpoweringly attractive"
irreversible,a. incapable of being reversed
irritating,"s. (used of physical stimuli) serving to stimulate or excite
s. causing physical discomfort; they can be very painful"""
itinerary,"n an established line of travel or access
n a guidebook for travelers
n a proposed route of travel"
Jewish,a. of or relating to Jews or their culture or religion
jolly,n. a happy party
jolt,"n. a sudden jarring impact
v. move or cause to move with a sudden jerky motion
v. disturb (someone's) composure"
journal,"n. a periodical dedicated to a particular subject
n. a record book as a physical object
n. the part of the axle contained by a bearing"
jubilant,"s joyful and proud especially because of triumph or success
s full of high-spirited delight"
judicious,s. marked by the exercise of good judgment or common sense in practical matters
jumble,"n. small flat ring-shaped cake or cookie
v. be all mixed up or jumbled together
v. assemble without order or sense"
jurisdiction,n. in law; the territory within which power can be exercised
juvenile,"n. a young person, not fully developed
a. of or relating to or characteristic of or appropriate for children or young people"
juxtapose,v. place side by side
ken,"n range of what one can know or understand
n the range of vision"
kernel,"n. the inner and usually edible part of a seed or grain or nut or fruit stone
n. a single whole grain of a cereal
n. the choicest or most essential or most vital part of some idea or experience"
kinetic,"a. relating to the motion of material bodies and the forces associated therewith
s. characterized by motion"
laborious,s characterized by effort to the point of exhaustion; especially physical effort
labyrinth,"n complex system of paths or tunnels in which it is easy to get lost
n a complex system of interconnecting cavities; concerned with hearing and equilibrium"
lament,"n. a cry of sorrow and grief
v. express grief verbally"
landlord,n. a landowner who leases to others
landslide,"n. an overwhelming electoral victory
n. a slide of a large mass of dirt and rock down a mountain or cliff"
lark,n. any of numerous predominantly Old World birds noted for their singing
lash,"n. leather strip that forms the flexible part of a whip
v. lash or flick about sharply
v. bind with a rope, chain, or cord"
lateral,"s. situated at or extending to the side
s. lying away from the median and sagittal plane of a body"
laurels,"n a tangible symbol signifying approval or distinction
n the state of being honored
n any of various aromatic trees of the laurel family
n United States slapstick comedian (born in England) who played the scatterbrained and often tearful member of the Laurel and Hardy duo who made many films (1890-1965)
n (antiquity) a wreath of laurel foliage worn on the head as an emblem of victory"
lava,n. rock that in its molten form (as magma) issues from volcanos; lava is what magma is called when it reaches the surface
lavish,"v. expend profusely; also used with abstract nouns
s. very generous
s. characterized by extravagance and profusion"
lawsuit,n. a comprehensive term for any proceeding in a court of law whereby an individual seeks a legal remedy
ledge,n. a projecting ridge on a mountain or submerged under water
legacy,n (law) a gift of personal property by will
legendary,s. so celebrated as to having taken on the nature of a legend
legible,"a. (of handwriting, print, etc.) capable of being read or deciphered"
legume,"n. an erect or climbing bean or pea plant of the family Leguminosae
n. the fruit or seed of any of various bean or pea plants consisting of a case that splits along both sides when ripe and having the seeds attach to one side of the case
n. the seedpod of a leguminous plant (such as peas or beans or lentils)"
lethal,s of an instrument of certain death
lethargic,a. deficient in alertness or activity
lettuce,"n. any of various plants of the genus Lactuca
n. leaves of any of various plants of Lactuca sativa"
libel,"n. a false and malicious publication printed for the purpose of defaming a living person
n. the written statement of a plaintiff explaining the cause of action (the defamation) and any relief he seeks
v. print slanderous statements against"
limestone,n. a sedimentary rock consisting mainly of calcium that was deposited by the remains of marine animals
lineage,n. the descendants of one individual
linguistic,"a. consisting of or related to language
a. of or relating to the scientific study of language"
literate,"n. a person who can read and write
a. able to read and write
a. versed in literature; dealing with literature
s. knowledgeable and educated in one or several fields"
literature,"n. creative writing of recognized artistic value
n. the humanistic study of a body of literature
n. published writings in a particular style on a particular subject
n. the profession or art of a writer"
livelihood,n the financial means whereby one lives
livestock,n. any animals kept for use or profit
loaf,n. a quantity of food (other than bread) formed in a particular shape
loathsome,"s causing or able to cause nausea
s highly offensive; arousing aversion or disgust"
lobby,"n. the people who support some common cause or business or principle or sectional interest
n. a group of people who try actively to influence legislation
v. detain in conversation by or as if by holding on to the outer garments of; as for political or economic favors"
lobster,"n. flesh of a lobster
n. any of several edible marine crustaceans of the families Homaridae and Nephropsidae and Palinuridae"
locomotion,"n. the power or ability to move
n. self-propelled movement"
longevity,"n. duration of service
n. the property of being long-lived"
loom,"n. a textile machine for weaving yarn into a textile
v. come into view indistinctly, often threateningly
v. appear very large or occupy a commanding position
v. weave on a loom"
lore,n. knowledge gained through tradition or anecdote
lucrative,s. producing a sizeable profit
lull,"n. a period of calm weather
v. calm by deception
v. become quiet or less intensive"
lure,n. qualities that attract by seeming to promise some kind of reward
luster,"n. a quality that outshines the usual
n. a surface coating for ceramics or porcelain"
lyric,"n. the text of a popular song or musical-comedy number
n. a short poem of songlike quality
v. write lyrics for (a song)
s. expressing deep emotion"
maid,"n. a female domestic
n. an unmarried girl (especially a virgin)"
maize,"n tall annual cereal grass bearing kernels on large ears: widely cultivated in America in many varieties; the principal cereal in Mexico and Central and South America since pre-Columbian times
n a strong yellow color"
makeup,"n. cosmetics applied to the face to improve or change your appearance
n. an event that is substituted for a previously cancelled event"
malfunction,"n. a failure to function normally
v. fail to function or function improperly"
mallet,"n. a sports implement with a long handle and a head like a hammer; used in sports (polo or croquet) to hit a ball
n. a light drumstick with a rounded head that is used to strike such percussion instruments as chimes, kettledrums, marimbas, glockenspiels, etc.
n. a tool resembling a hammer but with a large head (usually wooden); used to drive wedges or ram down paving stones or for crushing or beating or flattening or smoothing"
malnutrition,n. a state of poor nutrition; can result from insufficient or excessive or unbalanced diet or from inability to absorb foods
mammal,n. any warm-blooded vertebrate having the skin more or less covered with hair; young are born alive except for the small subclass of monotremes and nourished with milk
mammoth,n. any of numerous extinct elephants widely distributed in the Pleistocene; extremely large with hairy coats and long upcurved tusks
mandatory,"n the recipient of a mandate
n a territory surrendered by Turkey or Germany after World War I and put under the tutelage of some other European power until they are able to stand by themselves
s required by rule"
mania,"n. an irrational but irresistible motive for a belief or action
n. a mood disorder; an affective disorder in which the victim tends to respond excessively and sometimes violently"
manly,a. possessing qualities befitting a man
mannerism,"n a behavioral attribute that is distinctive and peculiar to an individual
n a deliberate pretense or exaggerated display"
mansion,n. a large and imposing house
mantle,"n. the cloak as a symbol of authority
n. United States baseball player (1931-1997)
n. the layer of the earth between the crust and the core
n. (zoology) a protective layer of epidermis in mollusks or brachiopods that secretes a substance forming the shell"
manure,"n. any animal or plant material used to fertilize land especially animal excreta usually with litter material
v. spread manure, as for fertilization"
maritime,s. bordering on or living or characteristic of those near the sea
mason,"n. American Revolutionary leader from Virginia whose objections led to the drafting of the Bill of Rights (1725-1792)
n. English film actor (1909-1984)
n. English writer (1865-1948)
n. a craftsman who works with stone or brick"
materialism,"n. a desire for wealth and material possessions with little interest in ethical or spiritual matters
n. (philosophy) the philosophical theory that matter is the only reality"
maverick,"n. someone who exhibits great independence in thought and action
n. an unbranded range animal (especially a stray calf); belongs to the first person who puts a brand on it"
meager,a. deficient in amount or quality or extent
meaningful,a. having a meaning or purpose
melodious,a. containing or constituting or characterized by pleasing melody
melodrama,n. an extravagant comedy in which action is more salient than characterization
membrane,"n. a thin pliable sheet of material
n. a pliable sheet of tissue that covers or lines or connects the organs or cells of animals or plants"
mesmerize,"v attract strongly, as if with a magnet
v induce hypnosis in"
metabolism,n. the organic processes (in a cell or organism) that are necessary for life
metaphor,n. a figure of speech in which an expression is used to refer to something that it does not literally denote in order to suggest a similarity
meteor,n. a streak of light in the sky at night that results when a meteoroid hits the earth's atmosphere and air friction causes the meteoroid to melt or vaporize or explode
methodology,"n. the branch of philosophy that analyzes the principles and procedures of inquiry in a particular discipline
n. the system of methods followed in a particular discipline"
meticulous,"s. marked by precise accordance with details
s. marked by extreme care in treatment of details"
microbe,n. a minute life form (especially a disease-causing bacterium); the term is not in technical use
mighty,"s. having or showing great strength or force or intensity
r. (Southern regional intensive) very; to a great degree"
migrant,"n. traveler who moves from one region or country to another
s. habitually moving from place to place especially in search of seasonal work"
milestone,"n. stone post at side of a road to show distances
n. a significant event in your life (or in a project)"
milieu,n. the environmental condition
millennia,"n a span of 1000 years
n (New Testament) in Revelations it is foretold that those faithful to Jesus will reign with Jesus over the earth for a thousand years; the meaning of these words have been much debated; some denominations (e.g. Jehovah's Witnesses) expect it to be a thousand years of justice and peace and happiness
n the 1000th anniversary (or the celebration of it)"
millionaire,n. a person whose material wealth is valued at more than a million dollars
mime,"n. an actor who communicates entirely by gesture and facial expression
n. a performance using gestures and body movements without words
v. act out without words but with gestures and bodily movements only"
mimicry,n. the resemblance of an animal species to another species or to natural objects; provides concealment and protection from predators
minuscule,"n. a small cursive script developed from uncial between the 7th and 9th centuries and used in medieval manuscripts
a. of or relating to a small cursive script developed from uncial; 7th to 9th centuries
s. very small"
mirage,"n. an optical illusion in which atmospheric refraction by a layer of hot air distorts or inverts reflections of distant objects
n. something illusory and unattainable"
mischief,n. reckless or malicious behavior that causes discomfort or annoyance in others
mistrust,"n doubt about someone's honesty
n the trait of not trusting others
v regard as untrustworthy; regard with suspicion; have no faith or confidence in"
mitigate,v. make less severe or harsh
moan,"n an utterance expressing pain or disapproval
v indicate pain, discomfort, or displeasure"
moat,n. ditch dug as a fortification and usually filled with water
mold,"n. container into which liquid is poured to create a given shape when it hardens
n. loose soil rich in organic matter
n. a fungus that produces a superficial growth on various kinds of damp or decaying organic matter"
molten,s. reduced to liquid form by heating
momentary,s lasting for a markedly brief time
monarch,n. large migratory American butterfly having deep orange wings with black and white markings; the larvae feed on milkweed
monetary,a. relating to or involving money
monochromatic,"a. of or relating to monochromatism
a. (of light or other electromagnetic radiation) having only one wavelength
s. having or appearing to have only one color"
monopolize,"v. have and control fully and exclusively
v. have or exploit a monopoly of"
monotonous,"s tediously repetitious or lacking in variety; all work and no play""
s sounded or spoken in a tone unvarying in pitch"
morale,n. a state of individual psychological well-being based upon a sense of confidence and usefulness and purpose
morphology,"n. the branch of biology that deals with the structure of animals and plants
n. studies of the rules for forming admissible words
n. the admissible arrangement of sounds in words"
mortar,"n. a muzzle-loading high-angle gun with a short barrel that fires shells at high elevations for a short range
n. used as a bond in masonry or for covering a wall
n. a bowl-shaped vessel in which substances can be ground and mixed with a pestle
v. plaster with mortar"
mosaic,"n. art consisting of a design made of small pieces of colored stone or glass
n. viral disease in solanaceous plants (tomatoes, potatoes, tobacco) resulting in mottling and often shriveling of the leaves
n. a freeware browser
n. a pattern resembling a mosaic"
motif,"n. a design or figure that consists of recurring shapes or colors, as in architecture or decoration
n. a theme that is repeated or elaborated in a piece of music"
