hot dog,v perform intricate maneuvers while skiing
seed,"n. a small hard fruit
n. a mature fertilized plant ovule consisting of an embryo and its food source and having a protective coat or testa
v. go to seed; shed seeds
v. help (an enterprise) in its early stages of development by providing seed money"
flew,"v travel through the air; be airborne
v move quickly or suddenly
v operate an airplane
v transport by aeroplane
v cause to fly or float
v be dispersed or disseminated
v change quickly from one emotional state to another
v pass away rapidly
v travel in an airplane
v display in the air or cause to float
v run away quickly
v travel over (an area of land or sea) in an aircraft
v hit a fly
v decrease rapidly and disappear"
spent,"v pass time in a specific way
v pay out
v spend completely
a depleted of energy, force, or strength
s drained of energy or effectiveness; extremely tired; completely exhausted"
video,"n. the visible part of a television transmission
n. (computer science) the appearance of text and graphics on a video display"
someday,r. some unspecified time in the future
born,"n. British nuclear physicist (born in Germany) honored for his contributions to quantum mechanics (1882-1970)
a. brought into existence"
illness,n. impairment of normal physiological function affecting part or all of an organism
round,"n. a charge of ammunition for a single shot
n. (often plural) a series of professional calls (usually in a set order)
n. the usual activities in your day
n. the course along which communications spread"
all over the world,none
cup,"n. a small open container usually used for drinking; usually has a handle
n. the quantity a cup will hold
n. any cup-shaped concavity
n. a United States liquid unit equal to 8 fluid ounces"
classmate,n an acquaintance that you go to school with
baseball,"n. a ball game played with a bat and ball between two teams of nine players; teams take turns at bat trying to score runs
n. a ball used in playing baseball"
brought,"v take something or somebody with oneself somewhere
v cause to come into a particular state or condition
v cause to happen or to occur as a consequence
v go or come after and bring or take back
v bring into a different state
v be accompanied by
v advance or set forth in court
v bestow a quality on
v be sold for a certain price
v attract the attention of
v induce or persuade"
more,"n. English statesman who opposed Henry VIII's divorce from Catherine of Aragon and was imprisoned and beheaded; recalled for his concept of Utopia, the ideal state
a. (comparative of `much' used with mass nouns) a quantifier meaning greater in size or amount or extent or degree
a. (comparative of `many' used with count nouns) quantifier meaning greater in number
r. used to form the comparative of some adjectives and adverbs"
mistake,"n. a wrong action attributable to bad judgment or ignorance or inattention
n. an understanding of something that is not correct
v. identify incorrectly"
make mistakes,none
word,"n. a unit of language that native speakers can identify
n. a brief statement
n. a verbal command for action
n. a word is a string of bits stored in computer memory"
wish,"n. a specific feeling of desire
n. an expression of some desire or inclination
n. the particular preference that you have
v. hope for; have a wish"
best wishes,none
luck,"n. an unknown and unpredictable phenomenon that causes an event to result one way rather than another
n. an unknown and unpredictable phenomenon that leads to a favorable outcome"
primary,"n. a preliminary election where delegates or nominees are chosen
n. one of the main flight feathers projecting along the outer edge of a bird's wing
n. (astronomy) a celestial body (especially a star) relative to other objects in orbit around it
a. of first rank or importance or value; direct and immediate rather than secondary"
primary school,none
keep,"n. the main tower within the walls of a medieval castle or fortress
v. keep in a certain state, position, or activity; e.g., ""keep clean""
v. retain possession of
v. look after; be the keeper of; have charge of"
forever,r. for a very long or seemingly endless time
joy,"n. the emotion of great happiness
n. something or someone that provides a source of happiness"
future,"n. the time yet to come
n. a verb tense that expresses actions or states in the future
n. bulk commodities bought or sold at an agreed price for delivery at a specified future date
a. yet to be or coming"
taught,"v impart skills or knowledge to
v accustom gradually to some action or attitude"
wonderful,s extraordinarily good or great; used especially as intensifiers
happiness,"n. state of well-being characterized by emotions ranging from contentment to intense joy
n. emotions experienced when in a state of well-being"
middle,"n. an intermediate part or section
n. the middle area of the human torso (usually in front)
n. time between the beginning and the end of a temporal period
v. put in the middle"
middle school,none
speech,"n. (language) communication by word of mouth
n. something spoken
n. the exchange of spoken words"
September,n. the month following August and preceding October
excited,a. in an aroused state
geography,n. study of the earth's surface; includes people's responses to topography and climate and soil and vegetation
same,"a. same in identity
a. closely similar or comparable in kind or quality or quantity or degree
s. unchanged in character or nature"
at the same time,none
little,"n. a small amount or duration
a. (quantifier used with mass nouns) small in quantity or degree; not much or almost none or (with `a') at least some
s. (of children and animals) young, immature
s. (of a voice) faint"
keep on,none
sometime,r. at some indefinite or unstated time
each other,none
chemistry,"n. the science of matter; the branch of the natural sciences dealing with the composition of substances and their properties and reactions
n. the chemical composition and properties of a substance or object
n. the way two individuals relate to each other"
physics,"n. the science of matter and energy and their interactions
n. the physical properties, phenomena, and laws of something"
