colonist,n a person who settles in a new colony or moves into new country
prompt,"n. a cue given to a performer (usually the beginning of the next line to be spoken)
n. (computer science) a symbol that appears on the computer screen to indicate that the computer is ready to receive a command
v. serve as the inciting cause of
v. assist (somebody acting or reciting) by suggesting the next words of something forgotten or imperfectly learned"
intolerable,a. incapable of being put up with
signatory,n someone who signs and is bound by a document
abstain,"v. refrain from voting
v. choose not to consume"
silversmith,n. someone who makes or repairs articles of silver
patriot,n. one who loves and defends his or her country
patriotism,n. love of country and willingness to sacrifice for it
craftsman,"n. a professional whose work is consistently of high quality
n. a creator of great skill in the manual arts
n. a skilled worker who practices some trade or handicraft"
military,"n. the military forces of a nation
a. of or relating to the study of the principles of warfare
a. characteristic of or associated with soldiers or the military
a. associated with or performed by members of the armed services as contrasted with civilians"
row,"n. an arrangement of objects or people side by side in a line
n. a long continuous strip (usually running horizontally)
n. a linear array of numbers, letters, or symbols side by side
n. a continuous chronological succession without an interruption"
sentry,n a person employed to keep watch for some anticipated event
regular,"n. a regular patron
n. a soldier in the regular army
n. a dependable follower (especially in party politics)
n. a garment size for persons of average height and weight"
patrol,"n. a detachment used for security or reconnaissance
n. the activity of going around or through an area at regular intervals for security purposes
n. a group that goes through a region at regular intervals for the purpose of security
v. maintain the security of by carrying out a patrol"
release,"n. merchandise issued for sale or public showing (especially a record or film)
n. a process that liberates or discharges something
n. a device that when pressed will release part of a mechanism
n. activity that frees or expresses creative energy or emotion"
take liberties with,none
credit,"n. money available for a client to borrow
n. an accounting entry acknowledging income or capital items
n. used in the phrase `to your credit' in order to indicate an achievement deserving praise; 
n. arrangement for deferred payment for goods and services"
exaggerate,"v to enlarge beyond bounds or the truth
v do something to an excessive degree"
give an account of,none
unanimous,"s in complete agreement
s acting together as a single undiversified whole"
endow,"v. give qualities or abilities to
v. furnish with an endowment"
unalienable,a incapable of being repudiated or transferred to another
usurpation,n. wrongfully seizing and holding (an office or powers) by force (especially the seizure of a throne or supreme authority)
tyranny,"n a form of government in which the ruler is an absolute dictator (not restricted by a constitution or laws or opposition etc.)
n dominance through threat of punishment and violence"
solemnly,r. in a grave and sedate manner
tyrant,"n. a cruel and oppressive dictator
n. in ancient Greece, a ruler who had seized power without legal right to it
n. any person who exercises power in a cruel way"
grievance,"n. an allegation that something imposes an illegal obligation or denies some legal right or causes injustice
n. a complaint about a (real or imaginary) wrong that causes resentment and is grounds for action"
abolition,n. the act of abolishing a system or practice or institution (especially abolishing slavery)
defy,"v. resist or confront with resistance
v. elude, especially in a baffling way
v. challenge"
discriminate,"v. recognize or perceive the difference
v. treat differently on the basis of sex or race
v. distinguish
a. marked by the ability to see or make fine distinctions"
applicable,s. capable of being applied; having relevance
sensitivity,"n. (physiology) responsiveness to external stimuli; the faculty of sensation
n. the ability to respond to physical stimuli or to register small physical amounts or differences
n. sensitivity to emotional feelings (of self and others)"
focus,"n. the concentration of attention or energy on something
n. maximum clarity or distinctness of an image rendered by an optical system
n. maximum clarity or distinctness of an idea
n. a central point or locus of an infection in an organism"
ruling,"n the reason for a court's judgment (as opposed to the decision itself)
v exercise authority over; as of nations
v decide with authority
v be larger in number, quantity, power, status or importance
v decide on and make a declaration about
v have an affinity with; of signs of the zodiac
v mark or draw with a ruler
v keep in check
s exercising power or authority"
enrol,v register formally as a participant or member
precise,a. sharply exact or accurate or delimited
mob,n. a disorderly crowd of people
smash,"n. a serious collision (especially of motor vehicles)
v. hit hard
v. break into pieces, as by striking or knocking over
v. hit violently"
integration,"n. the action of incorporating a racial or religious group into a community
n. an operation used in the calculus whereby the integral of a function is determined"
on the run,none
imprisonment,"n. putting someone in prison or in jail as lawful punishment
n. the act of confining someone in a prison (or as if in a prison)"
apartheid,n. a social policy or racial segregation involving political and economic and legal discrimination against people who are not Whites; the former official policy in South Africa
legislation,"n. law enacted by a legislative body
n. the act of making or enacting laws"
restrict,"v. place restrictions on
v. place under restrictions; limit access to
v. place limits on (extent or access)"
outlaw,v. declare illegal; outlaw
pave,"n. a setting with precious stones so closely set that no metal shows
v. cover with a material such as stone or concrete to make suitable for vehicle traffic"
spark,"n. a small but noticeable trace of some quality that might become stronger
n. Scottish writer of satirical novels (born in 1918)
n. a small fragment of a burning substance thrown out by burning material or by friction
v. emit or produce sparks"
defiance,"n. intentionally contemptuous behavior or attitude
n. a hostile challenge
n. a defiant act"
segregation,"n. (genetics) the separation of paired alleles during meiosis so that members of each pair of alleles appear in different gametes
n. a social system that provides separate facilities for minority groups
n. the act of segregating or sequestering"
sanction,"n. formal and explicit approval
n. a mechanism of social control for enforcing a society's standards
n. the act of final authorization
v. give authority or permission to"
seamstress,n someone who makes or mends dresses
jail,n. a correctional institution used to detain persons who are in the lawful custody of the government (either accused persons awaiting trial or convicted persons serving a sentence)
immeasurable,a. impossible to measure
boycott,"n. a group's refusal to have commercial dealings with some organization in protest against its policies
v. refuse to sponsor; refuse to do business with"
inherently,r. in an inherent manner
culminate,"v. end, especially to reach a final or climactic stage
v. bring to a head or to the highest point
v. reach the highest or most decisive point
v. reach the highest altitude or the meridian, of a celestial body"
precede,"v. come before
v. be the predecessor of
v. move ahead (of others) in time or space
v. furnish with a preface or introduction"
initiate,"n. someone who has been admitted to membership in a scholarly field
n. people who have been introduced to the mysteries of some field or activity
v. take the lead or initiative in; participate in the development of
v. accept people into an exclusive society or group, usually with some rite"
infliction,n. an act causing pain or damage
inhumanity,"n the quality of lacking compassion or consideration for others
n an act of atrocious cruelty"
incentive,n. a positive motivational influence
shape,"n. any spatial attributes (especially as defined by outline)
n. the spatial arrangement of something as distinct from its substance
n. a concrete representation of an otherwise nebulous concept
v. make something, usually for a specific function"
instrumental,a. relating to or designed for or performed on musical instruments
rectify,"v. math: determine the length of
v. set straight or right
v. convert into direct current"
unspeakable,"s defying expression or description
s exceptionally bad or displeasing
s too sacred to be uttered"
flaw,"n. defect or weakness in a person's character
n. an imperfection in a plan or theory or legal document that causes it to fail or that reduces its effectiveness
v. add a flaw or blemish to; make imperfect or defective"
shame,"n. a painful emotion resulting from an awareness of inadequacy or guilt
n. a state of dishonor
v. compel through a sense of shame
v. cause to be ashamed"
root,"n. (botany) the usually underground organ that lacks buds or leaves or nodes; absorbs water and mineral salts; usually it anchors the plant to the ground
n. (linguistics) the form of a word after all affixes are removed
n. a number that, when multiplied by itself some number of times, equals a given number
n. the part of a tooth that is embedded in the jaw and serves as support"
creed,n. any system of principles or beliefs
expose,"n. the exposure of an impostor or a fraud
v. expose or make accessible to some action or influence
v. to show, make visible or apparent
v. expose to light, of photographic film"
access,"n. the right to obtain or make use of or take advantage of something (as services or membership)
n. a way of entering or leaving
n. a code (a series of characters or digits) that must be entered in some way (typed or dialed or spoken) to get the use of something (a telephone line or a computer or a local area network etc.)
n. (computer science) the operation of reading or writing stored information"
accommodation,"n. a settlement of differences
n. in the theories of Jean Piaget: the modification of internal representations in order to accommodate a changing knowledge of reality
n. living quarters provided for public convenience
n. the act of providing something (lodging or seat or food) to meet a need"
toll,"n. a fee levied for the use of roads or bridges (used for maintenance)
v. ring slowly
v. charge a fee for using"
blow up,"n a violent release of energy caused by a chemical or nuclear reaction
n an unrestrained expression of emotion
n a photographic print that has been enlarged"
unwilling,"a. not disposed or inclined toward
s. in spite of contrary volition"
watercress,"n. any of several water-loving cresses
n. cresses that grow in clear ponds and streams"
crisp,"s. (of something seen or heard) clearly defined
s. tender and brittle
s. pleasantly cold and invigorating
s. pleasingly firm and fresh"
peppery,s. having the piquant burning taste of peppers
stalk,"n. a slender or elongated structure that supports a plant or fungus or a plant part or plant organ
n. a hunt for game carried on by following it stealthily or waiting in ambush
n. the act of following prey stealthily
n. a stiff or threatening gait"
kneel,"n. supporting yourself on your knees
v. rest one's weight on one's knees"
lower,"v. move something or somebody to a lower position
v. set lower
v. cause to drop or sink"
ledge,n. a projecting ridge on a mountain or submerged under water
smock,v. embellish by sewing in straight lines crossing each other diagonally
carbine,n. light automatic rifle
sling,"n. a highball with liquor and water with sugar and lemon or lime juice
n. a simple weapon consisting of a looped strap in which a projectile is whirled and then released
n. bandage to support an injured forearm; consisting of a wide triangular piece of cloth hanging from around the neck
v. hurl as if with a sling"
scramble,"n. an unceremonious and disorganized struggle
v. to move hurriedly
v. bring into random order
v. make unintelligible"
get to one's feet,none
grudgingly,r. in a grudging manner
grin,"v. to draw back the lips and reveal the teeth, in a smile, grimace, or snarl"
flap,"n. any broad thin and limber covering attached at one edge; hangs loose or projects freely
n. the motion made by flapping up and down
n. a movable piece of tissue partly connected to the body
n. a movable airfoil that is part of an aircraft wing; used to increase lift or drag"
flannel,"n. a soft light woolen fabric; used for clothing
n. (usually in the plural) trousers made of flannel or gabardine or tweed or white cloth"
sullenly,r in a sullen manner
dynamite,"n. an explosive containing nitrate sensitized with nitroglycerin absorbed on wood pulp
v. blow up with dynamite"
evenly,"r. in equal amounts or shares; in a balanced or impartial way
r. in a level and regular way"
sack,"n. a bag made of paper or plastic for holding customer's purchases
n. the quantity contained in a sack
n. any of various light dry strong white wine from Spain and Canary Islands (including sherry)
n. a woman's full loose hiplength jacket"
gaunt,s very thin especially from disease or hunger or cold
crease,"n an angular or rounded shape made by folding
n a slight depression in the smoothness of a surface
n a Malayan dagger with a wavy blade
v make wrinkles or creases on a smooth surface; make a pressed, folded or wrinkled line in
v make wrinkled or creased
v scrape gently
v become wrinkled or crumpled or creased"
erosion,"n. (geology) the mechanical process of wearing or grinding something down (as by particles washing over it)
n. condition in which the earth's surface is worn away by the action of water and wind
n. a gradual decline of something"
marlin,n. large long-jawed oceanic sport fishes; related to sailfishes and spearfishes; not completely cold-blooded i.e. able to warm their brains and eyes
appeal,"n. attractiveness that interests or pleases or stimulates
n. (law) a legal proceeding in which the appellant resorts to a higher court for the purpose of obtaining a review of a lower court decision and a reversal of the lower court's judgment or the granting of a new trial
v. take a court case to a higher court for review
v. request earnestly (something from somebody); ask for aid or protection"
relatively,r. in a relative manner; by comparison to something else
apparently,r. from appearances alone
mechanic,s. resembling the action of a machine
seemingly,r from appearances alone
invalid,"n. someone who is incapacitated by a chronic illness or injury
v. force to retire, remove from active duty, as of firemen
a. having no cogency or legal force
s. no longer valid"
cynical,s. believing the worst of human nature and motives; having a sneering disbelief in e.g. selflessness of others
lavish,"v. expend profusely; also used with abstract nouns
s. very generous
s. characterized by extravagance and profusion"
constraint,"n. the state of being physically constrained
n. the act of constraining; the threat or use of force to control the thoughts or behavior of others"
distinctly,"r. clear to the mind; with distinct mental discernment
r. in a distinct and distinguishable manner
r. to a distinct degree"
flowery,"a. of or relating to or suggestive of flowers
s. marked by elaborate rhetoric and elaborated with decorative details"
sparse,s. not dense
prose,"n. ordinary writing as distinguished from verse
n. matter of fact, commonplace, or dull expression"
leave out,none
innovative,s. being or producing something like nothing done or experienced or created before
clod,"n a compact mass
n an awkward stupid person"
promontory,n. a natural elevation (especially a rocky one that juts out into the sea)
diminish,"v. lessen the authority, dignity, or reputation of"
pipe,"n. a tube with a small bowl at one end; used for smoking tobacco
n. a long tube made of metal or plastic that is used to carry water or oil or gas etc.
n. a hollow cylindrical shape
n. a tubular wind instrument"
magnify,"v. increase in size, volume or significance"
disguise,"n. an outward semblance that misrepresents the true nature of something
n. any attire that modifies the appearance in order to conceal the wearer's identity
n. the act of concealing the identity of something by modifying its appearance
v. make unrecognizable"
arch-," A prefix signifying chief, as in archbuilder, archfiend."
combat,n. an engagement fought between two military forces
hound,"n. any of several breeds of dog used for hunting typically having large drooping ears
v. pursue or chase relentlessly"
forgery,n. criminal falsification by making or altering an instrument with intent to defraud
attendant,"n. someone who waits on or tends to or attends to the needs of another
n. a person who is present and participates in a meeting
s. being present (at meeting or event etc.) ""attendant members of the congreation""
s. following or accompanying as a consequence"
shrewd,"s marked by practical hardheaded intelligence
s used of persons"
unimaginative,s. dealing only with concrete facts
stretch out,none
flatten,"v. make flat or flatter
v. become flat or flatter
v. lower the pitch of (musical notes)"
indication,"n. something that serves to indicate or suggest
n. the act of indicating or pointing out by name
n. (medicine) a reason to prescribe a drug or perform a procedure
n. something (as a course of action) that is indicated as expedient or necessary"
scrawl,"n poor handwriting
v write carelessly"
legend,n. a story about mythical or supernatural beings or events
consult,"v. get or ask advice from
v. seek information from
v. advise professionally"
be connected to,none
lean,"v. to incline or bend from a vertical position
v. cause to lean or incline
v. rely on for support
a. lacking in mineral content or combustible material"
concerning,"v be relevant to
v be on the mind of"
moor,"n. one of the Muslim people of north Africa; of mixed Arab and Berber descent; converted to Islam in the 8th century; conqueror of Spain in the 8th century
n. open land usually with peaty soil covered with heather and bracken and moss
v. secure in or as if in a berth or dock
v. come into or dock at a wharf"
be connected with,none
give sb. credit for,none
reassure,"v. cause to feel sure; give reassurance to
v. give or restore confidence in; cause to feel sure or certain"
insatiable,a impossible to satisfy
appetite,n. a feeling of craving something
faithful,"n. any loyal and steadfast following
a. steadfast in affection or allegiance
a. not having sexual relations with anyone except your husband or wife, or your boyfriend or girlfriend"
substitute,"n. a person or thing that takes or can take the place of another
n. an athlete who plays only when a starter on the team is replaced
v. put in the place of another; switch seemingly equivalent items
v. be a substitute"
genre,"n. a kind of literary or artistic work
n. a class of art (or artistic endeavor) having a characteristic form or technique"
dismiss,"v. bar from attention or consideration
v. cease to consider; put out of judicial consideration
v. stop associating with
v. end one's encounter with somebody by causing or permitting the person to leave"
pulp,"n. any soft or soggy mass
n. a soft moist part of a fruit
n. a mixture of cellulose fibers
n. an inexpensive magazine printed on poor quality paper"
be viewed as,none
intriguing,s. capable of arousing interest or curiosity
manor,"n. the mansion of a lord or wealthy person
n. the landed estate of a lord (including the house on it)"
cosy,n. a padded cloth covering to keep a teapot warm
unrealistic,a. not realistic
in contrast to,none
revolve,v. turn on or around an axis or a center
flock,"n. a church congregation guided by a pastor
n. a group of birds
n. a group of sheep or goats
v. move as a crowd or in a group"
sanitation,"n. the state of being clean and conducive to health
n. making something sanitary (free of germs) as by sterilizing"
scavenger,"n. a chemical agent that is added to a chemical mixture to counteract the effects of impurities
n. any animal that feeds on refuse and other decaying organic matter"
sewage,n. waste matter carried away in sewers or drains
conduct,"v. direct the course of; manage or control
v. lead, as in the performance of a composition; Barenboim conducted the Chicago symphony for years""
v. lead musicians in the performance of"
doctorate,n one of the highest earned academic degrees conferred by a university
psychometric,a. of or relating to psychometrics
scale,"n. an ordered reference standard
n. relative magnitude
n. the ratio between the size of something and a representation of it
n. a specialized leaf or bract that protects a bud or catkin"
aggression,"n. a disposition to behave aggressively
n. a feeling of hostility that arouses thoughts of attack
n. violent action that is hostile and usually unprovoked
n. the act of initiating hostilities"
notable,"n a celebrity who is an inspiration to others
s worthy of notice
s widely known and esteemed"
mechanism,"n. the atomic process that occurs during a chemical reaction
n. the technical aspects of doing something
n. a natural object resembling a machine in structure or function
n. (philosophy) the philosophical theory that all phenomena can be explained in terms of physical or biological causes"
trigger,"n. a device that activates or releases or causes something to happen
n. an act that sets in motion some course of events
v. release or pull the trigger on"
incongruous,a. lacking in harmony or compatibility or appropriateness
familiarity,"n. usualness by virtue of being familiar or well known
n. close or warm friendship
n. an act of undue intimacy"
or rather,none
outcome,"n something that results
n a phenomenon that follows and is caused by some previous phenomenon"
pun,"n. a humorous play on words
v. make a play on words"
perception,"n. a way of conceiving something
n. the process of perceiving
n. knowledge gained by perceiving"
incongruity,n. the quality of disagreeing; being unsuitable and inappropriate
superior,"n. one of greater rank or station or quality
n. the head of a religious community
n. a town in northwest Wisconsin on Lake Superior across from Duluth
a. of high or superior quality or performance"
detached,"s. being or feeling set or kept apart from others
s. no longer connected or joined
a. used of buildings; standing apart from others
s. lacking affection or warm feeling"
immune,"n. a person who is immune to a particular infection
a. relating to the condition of immunity
s. secure against
s. relating to or conferring immunity (to disease or infection)"
transcend,"v be greater in scope or size than some standard
v be superior or better than some standard"
limitation,"n. the quality of being limited or restricted
n. (law) a time period after which suits cannot be brought
n. an act of limiting or restricting (as by regulation)"
fable,n. a short moral story (often with animal characters)
see about,none
count on,none
turbulent,"s characterized by unrest or disorder or insubordination
s (of a liquid) agitated vigorously; in a state of turbulence"
hint,"n. an indirect suggestion
n. a slight indication
v. drop a hint; intimate by a hint"
venture,"n. any venturesome undertaking especially one with an uncertain outcome
n. a commercial undertaking that risks a loss but promises a profit
v. proceed somewhere despite the risk of possible dangers
v. put at risk"
coward,"n. a person who shows fear or timidity
n. English dramatist and actor and composer noted for his witty and sophisticated comedies (1899-1973)"
address,"n. (computer science) the code that identifies where a piece of information is stored
n. the place where a person or organization can be found or communicated with
n. the act of delivering a formal spoken communication to an audience
n. the manner of speaking to another individual"
resemblance,n. similarity in appearance or external or superficial details
deceive,"v. be false to; be dishonest with
v. cause someone to believe an untruth"
flattered,v praise somewhat dishonestly
for an instant,none
cordially,r in a hearty manner
vaguely,r. in a vague way
branch,"n. a division of some larger or more complex organization
n. a division of a stem, or secondary stem arising from the main stem of a plant
n. a part of a forked or branching shape
n. a stream or river connected to a larger one"
betray,"v. reveal unintentionally
v. deliver to an enemy by treachery"
blank,"n. a piece of material ready to be made into something
n. a cartridge containing an explosive charge but no bullet
v. keep the opposing (baseball) team from winning
s. (of a surface) not written or printed on"
troublesome,s. difficult to deal with
affection,n. a positive feeling of liking
proceed,"v. move ahead; travel onward in time or space
v. follow a certain course"
blush,"n. sudden reddening of the face (as from embarrassment or guilt or shame or modesty)
v. turn red, as if in embarrassment or shame
v. become rosy or reddish"
presently,r. at this time or period; now
compliment,"n. a remark (or act) expressing praise and admiration
v. say something to someone that expresses praise
v. express respect or esteem for"
aphorism,n. a short pithy instructive saying
nominate,"v. propose as a candidate for some honor
v. put forward; nominate for appointment to an office or for an honor or position"
bridge,"n. a structure that allows people or vehicles to cross an obstacle such as a river or canal or railway etc.
n. a circuit consisting of two branches (4 arms arranged in a diamond configuration) across which a meter is connected
n. something resembling a bridge in form or function
n. the hard ridge that forms the upper part of the nose"
visualise,"v view the outline of by means of an X-ray
v form a mental picture of something that is invisible or abstract
v imagine; conceive of; see in one's mind
v make visible"
imbue,v. suffuse with color
prevalence,"n. the quality of prevailing generally; being widespread
n. (epidemiology) the ratio (for a given time period) of the number of occurrences of a disease or event to the number of units at risk in the population"
imperfection,n. the state or an instance of being imperfect
perceive,"v. to become aware of through the senses
v. become conscious of"
gaiety,"n. a gay feeling
n. a festive merry feeling"
subtle,s. able to make fine distinctions
nourish,v. provide with nourishment
dwell,"v. originate (in)
v. exist or be situated within"
indulge,"v. give free rein to
v. enjoy to excess"
contradiction,"n. opposition between two conflicting forces or ideas
n. (logic) a statement that is necessarily false
n. the speech act of contradicting someone"
bounce,"n. the quality of a substance that is able to rebound
n. rebounding from an impact (or series of impacts)
v. spring back; spring away from an impact
v. hit something so that it bounces"
lightness,"n. the property of being comparatively small in weight
n. having a light color"
subtlety,n. the quality of being difficult to detect or analyze
sham,"n something that is a counterfeit; not what it seems to be
n a person who makes deceitful pretenses
v make a pretence of
v make believe with the intent to deceive
s adopted in order to deceive"
stupidity,"n. a poor ability to understand or to profit from experience
n. a stupid mistake"
humbug,"n. communication (written or spoken) intended to deceive
v. trick or deceive"
witty,s. combining clever conception and facetious expression
sane,a. mentally healthy; free from mental disorder
rage,"n. a state of extreme anger
n. something that is desired intensely
n. violent state of the elements
v. be violent; as of fires and storms"
come into existence,none
headquarters,"n. (usually plural) the office that serves as the administrative center of an enterprise
n. the military installation from which a commander performs the functions of command
n. (plural) a military unit consisting of a commander and the headquarters staff"
charter,"n. a document incorporating an institution and specifying its rights; includes the articles of incorporation and the certificate of incorporation
n. a contract to hire or lease transportation
v. grant a charter to"
resolution,"n. a formal expression by a meeting; agreed to by a vote
n. finding a solution to a problem
n. analysis into clear-cut components
n. (computer science) the number of pixels per square inch on a computer-generated display; the greater the resolution, the better the picture"
recommendation,"n. something (as a course of action) that is recommended as advisable
n. something that recommends (or expresses commendation of) a person or thing as worthy or desirable
n. any quality or characteristic that gains a person a favorable reception or acceptance or admission"
enforce,"v. ensure observance of laws and rules; 
v. compel to behave in a certain way"
ensure,"v make certain of
v be careful or certain to do something; make certain of something"
at a time,none
veto,"n. a vote that blocks a decision
n. the power or right to prohibit or reject a proposed or intended act (especially the power of a chief executive to reject a bill passed by the legislature)
v. vote against; refuse to endorse; refuse to assent"
proposal,"n. something proposed (such as a plan or assumption)
n. the act of making a proposal"
diplomat,"n. an official engaged in international negotiations
n. a person who deals tactfully with others"
neutral,"n. one who does not side with any party in a war or dispute
s. not supporting or favoring either side in a war, dispute, or contest
a. possessing no distinctive quality or characteristics
s. lacking distinguishing quality or characteristics"
budget,"n. a sum of money allocated for a particular purpose
n. a summary of intended expenditures along with proposals for how to meet them
v. make a budget"
administer,"v. work in an administrative capacity; supervise or be in charge of
v. perform (a church sacrament) ritually
v. give or apply (medications)
v. direct the taking of"
refugee,n. an exile who flees for safety
beret,n. a cap with no brim or bill; made of soft cloth
dispute,"n. a disagreement or argument about something important
n. coming into conflict with"
vulnerable,"a. susceptible to attack
s. susceptible to criticism or persuasion or temptation
s. capable of being wounded or hurt"
exploit,"v. use or manipulate to one's advantage
v. draw from; make good use of"
hail,"n. precipitation of ice pellets when there are strong rising air currents
n. many objects thrown forcefully through the air
n. enthusiastic greeting
v. be a native of"
partnership,"n. the members of a business venture created by contract
n. a cooperative relationship between people or groups who agree to share responsibility for achieving some specific goal
n. a contract between two or more persons who agree to pool talent and money and share profits or losses"
testimony,"n. a solemn statement made under oath
n. an assertion offering firsthand authentication of a fact
n. something that serves as evidence"
forge,"n. furnace consisting of a special hearth where metal is heated before shaping
n. a workplace where metal is worked by heating and hammering
v. create by hammering
v. make a copy of with the intent to deceive"
disposal,"n. the power to use something or someone
n. the act or means of getting rid of something
n. a kitchen appliance for disposing of garbage"
commemorate,"v. mark by some ceremony or observation
v. call to remembrance; keep alive the memory of someone or something, as in a ceremony
v. be or provide a memorial to a person or an event"
showcase,n. a setting in which something can be displayed to best effect
coordinate,"n. a number that identifies a position relative to an axis
v. bring into common action, movement, or condition
v. be co-ordinated
s. of equal importance, rank, or degree"
contemporary,"n. a person of nearly the same age as another
s. characteristic of the present
s. belonging to the present time"
degradation,n. changing to a lower state (a less respected state)
symposium,n. a meeting or conference for the public discussion of some topic especially one in which the participants form an audience and make presentations
hearten,v give encouragement to
means,"n. how a result is obtained or an end is achieved
n. an instrumentality for accomplishing some end
n. considerable capital (wealth or income)"
implement,"n. instrumentation (a piece of equipment or tool) used to effect an end
v. apply in a manner consistent with its purpose or design"
genocide,n. systematic killing of a racial or cultural group
heinous,"s extremely wicked, deeply criminal"
secretariat,"n. an administrative unit responsible for maintaining records and other secretarial duties; especially for international organizations
n. thoroughbred that won the triple crown in 1973"
proliferation,"n. growth by the rapid multiplication of parts
n. a rapid increase in number (especially a rapid increase in the number of deadly weapons)"
disarmament,n act of reducing or depriving of arms
mark,"n. a number or letter indicating quality (especially of a student's performance)
n. a visible indication made on a surface
n. the impression created by doing something unusual or extraordinary that people notice and remember
n. a symbol of disgrace or infamy"
indispensable,"a. not to be dispensed with; essential
s. unavoidable"
fare,"n. the sum charged for riding in a public conveyance
n. a paying (taxi) passenger
n. the food and drink that are regularly served or consumed
v. eat well"
capacity,"n. capability to perform or produce
n. the amount that can be contained
n. the maximum production possible
n. a specified function"
multilateral,a. having many parts or sides
ongoing,s. currently happening
transformation,"n. a qualitative change
n. (mathematics) a function that changes the position or direction of the axes of a coordinate system
n. a rule describing the conversion of one syntactic structure into another related syntactic structure"
constructive,"a. constructing or tending to construct or improve or promote development
s. emphasizing what is laudable or hopeful or to the good"
dynamic,"a. characterized by action or forcefulness or force of personality
a. of or relating to dynamics"
synergy,n. the working together of two things (muscles or drugs for example) to produce an effect greater than the sum of their individual effects
augur,"n. (ancient Rome) a religious official who interpreted omens to guide public policy
v. predict from an omen"
fulfilment,"n a feeling of satisfaction at having achieved your desires
n the act of consummating something (a desire or promise etc)"
fruitful,a. productive or conducive to producing in abundance
launch,"n. a motorboat with an open deck or a half deck
v. propel with force
v. launch for the first time; launch on a maiden voyage
v. get going; give impetus to"
cradle,"n. a baby bed with sides and rockers
n. birth of a person
v. hold gently and carefully
v. bring up from infancy"
delicate,"a. exquisitely fine and subtle and pleasing; susceptible to injury
s. marked by great skill especially in meticulous technique
s. easily broken or damaged or destroyed
s. easily hurt"
ecology,"n. the environment as it relates to living organisms
n. the branch of biology concerned with the relations between organisms and their environment"
rhinoceros,n. massive powerful herbivorous odd-toed ungulate of southeast Asia and Africa having very thick skin and one or two horns on the snout
preserve,"n. a domain that seems to be specially reserved for someone
n. a reservation where animals are protected
v. prevent (food) from rotting
v. keep undisturbed for personal or private use for hunting, shooting, or fishing"
