enable,v. render capable or able for some task
aural,"a. of or pertaining to hearing or the ear
a. relating to or characterized by an aura"
oral,"n. an examination conducted by spoken communication
s. using speech rather than writing
a. of or relating to or affecting or for use in the mouth
a. of or involving the mouth or mouth region or the surface on which the mouth is located"
author,v. be the author of
authority,"n. the power or right to give orders or make decisions
n. (usually plural) persons who exercise (administrative) control over others
n. an expert whose views are taken as definitive
n. official permission or approval"
authorize,v. grant authorization or clearance for
authorization,n. the act of conferring legality or sanction or formal warrant
unauthorized,"a. not endowed with authority
s. without official authorization"
authentic,"s. conforming to fact and therefore worthy of belief
s. not counterfeit or copied"
authenticate,v. establish the authenticity of something
abolish,v. do away with
absurd,"n. a situation in which life seems irrational and meaningless
s. inconsistent with reason or logic or common sense
s. incongruous; inviting ridicule"
abuse,"n. a rude expression intended to offend or hurt
v. use foul or abusive language towards
v. use wrongly or improperly or excessively"
misuse,n. improper or excessive use
academy,"n. a secondary school (usually private)
n. an institution for the advancement of art or science or literature
n. a school for special training
n. a learned establishment for the advancement of knowledge"
academic,"a. associated with academia or an academy
s. hypothetical or theoretical and not expected to produce an immediate or practical result
s. marked by a narrow focus on or display of learning especially its trivial aspects"
accelerate,"v. move faster
v. cause to move faster"
acceleration,"n. an increase in rate of change
n. the act of accelerating; increasing the speed
n. (physics) a rate of increase of velocity"
accompany,v. go or travel along with
accumulate,v. collect or gather
accumulation,"n. the act of accumulating
n. (finance) profits that are not paid out as dividends but are added to the capital base of the corporation"
accuse,v. bring an accusation against; level a charge against
accusation,"n. a formal charge of wrongdoing brought against a person; the act of imputing blame or guilt
n. an assertion that someone is guilty of a fault or offence"
acknowledge,"v. report the receipt of
v. express obligation, thanks, or gratitude for
v. accept as legally binding and valid
v. accept (someone) to be what is claimed or accept his power and authority"
acknowledged,"a. recognized or made known or admitted
s. generally accepted"
unacknowledged,"a. not recognized or admitted
s. not openly acknowledged"
acquaintance,"n. personal knowledge or information about someone or something
n. a relationship less intimate than friendship
n. a person with whom you are acquainted"
address,"n. (computer science) the code that identifies where a piece of information is stored
n. the place where a person or organization can be found or communicated with
n. the act of delivering a formal spoken communication to an audience
n. the manner of speaking to another individual"
admire,"v. feel admiration for
v. look at with admiration"
admiration,"n. a feeling of delighted approval and liking
n. a favorable judgment"
admirable,"s. deserving of the highest esteem or admiration
s. inspiring admiration or approval"
advisable,a. worthy of being recommended or suggested; prudent or wise
aerial,a. existing or living or growing or operating in the air
affiliate,"n. a subordinate or subsidiary associate; a person who is affiliated with another or with an organization
n. a subsidiary or subordinate organization that is affiliated with another organization
v. join in an affiliation"
affiliation,"n. a social or business relationship
n. the act of becoming formally connected or joined"
afford,"v. be able to spare or give up
v. have the financial means to do something or buy something
v. afford access to"
affordable,s that you have the financial means for
unaffordable,none
agony,"n. intense feelings of suffering; acute mental or physical pain
n. a state of acute pain"
alarm,"n. fear resulting from the awareness of danger
n. a device that signals the occurrence of some undesirable event
n. an automatic signal (usually a sound) warning of danger
v. warn or arouse to a sense of danger or call to a state of preparedness"
alert,"n. condition of heightened watchfulness or preparation for action
n. a warning serves to make you more alert to danger
a. engaged in or accustomed to close observation
s. quick and energetic"
ambitious,"a. having a strong desire for success or achievement
s. requiring full use of your abilities or resources"
ambition,"n. a cherished desire
n. a strong drive for success
v. have as one's ambition"
amount,"n. the relative magnitude of something with reference to a criterion
v. be tantamount or equivalent to"
anguish,"n. extreme mental distress
n. extreme distress of body or mind
v. suffer great pains or distress"
annoy,"v. cause annoyance in; disturb, especially by minor irritations"
annual,"n. (botany) a plant that completes its entire life cycle within the space of a year
n. a reference book that is published regularly once every year
a. completing its life cycle within a year
s. occurring or payable every year"
annually,r. without missing a year
anxious,"s. eagerly desirous
s. causing or fraught with or showing anxiety"
anxiety,"n. (psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic
n. a vague unpleasant emotion that is experienced in anticipation of some (usually ill-defined) misfortune"
apparent,"s. clearly revealed to the mind or the senses or judgment
s. appearing as such but not necessarily so"
apparently,r. from appearances alone
appoint,"v. create and charge with a task or function
v. assign a duty, responsibility or obligation to
v. furnish"
appointment,"n. the act of putting a person into a non-elective position
n. (usually plural) furnishings and equipment (especially for a ship or hotel)
n. the job to which you are (or hope to be) appointed
n. (law) the act of disposing of property by virtue of the power of appointment"
disappoint,v. fail to meet the hopes or expectations of
disappointed,"v fail to meet the hopes or expectations of
s disappointingly unsuccessful"
disappointment,"n. a feeling of dissatisfaction that results when your expectations are not realized
n. an act (or failure to act) that disappoints someone"
approach,"n. ideas or actions intended to deal with a problem or situation
n. the act of drawing spatially closer to something
n. the event of one object coming closer to another
n. the temporal property of becoming nearer in time"
approachable,"a. easy to meet or converse or do business with
s. easily approached"
appropriate,"v. take possession of by force, as after an invasion
a. suitable for a particular person or place or condition etc"
inappropriate,"a. not suitable for a particular occasion etc
s. not in keeping with what is correct or proper"
arouse,"v. call forth (emotions, feelings, and responses)
v. to begin moving, ""As the thunder started the sleeping children began to stir""
v. stimulate sexually"
assault,"n. close fighting during the culmination of a military attack
n. a threatened or attempted physical attack by someone who appears to be able to cause bodily harm if not stopped
n. thoroughbred that won the triple crown in 1946"
asset,n. a useful or valuable quality
assess,"v. charge (a person or a property) with a payment, such as a tax or a fine
v. estimate the value of (property) for taxation"
assessment,"n. an amount determined as payable
n. the market value set on assets"
astonishing,s. so surprisingly impressive as to stun or overwhelm
award,"n. a grant made by a law court
n. a tangible symbol signifying approval or distinction
v. give, especially as an honor or reward
v. give as judged due or on the basis of merit"
reward,"n. payment made in return for a service rendered
n. an act performed to strengthen approved behavior
n. the offer of money for helping to find a criminal or for returning lost property
v. act or give recompense in recognition of someone's behavior or actions"
rewarding,a. providing personal satisfaction
awkward,"s. causing inconvenience
a. lacking grace or skill in manner or movement or performance
s. difficult to handle or manage especially because of shape
s. not elegant or graceful in expression"
awkwardly,r. in an awkward manner
band,"n. instrumentalists not including string players
n. a stripe or stripes of contrasting color
n. an adornment consisting of a strip of a contrasting color or material
n. a range of frequencies between two limits"
band-aid,none
bind,"n. something that hinders as if with bonds
v. create social or emotional ties
v. make fast; tie or secure, with or as if with a rope
v. wrap around with something so as to cover or enclose"
binding,"n. the capacity to attract and hold something
n. strip sewn over or along an edge for reinforcement or decoration
n. the protective covering on the front, back, and spine of a book
s. executed with proper legal authority"
bonus,"n. anything that tends to arouse
n. an additional payment (or other remuneration) to employees as a means of increasing output"
bound,"v. form the boundary of; be contiguous to
a. confined by bonds
a. held with another element, substance or material in chemical or physical union
a. secured with a cover or binding; often used as a combining form"
abound,"v. be abundant or plentiful; exist in large quantities
v. be in a state of movement or action"
abundant,a. present in great quantity
abundance,"n. the property of a more than adequate quantity or supply
n. (physics) the ratio of the number of atoms of a specific isotope of an element to the total number of isotopes present
n. (chemistry) the ratio of the total mass of an element in the earth's crust to the total mass of the earth's crust; expressed as a percentage or in parts per million"
abandon,"n. the trait of lacking restraint or control; reckless freedom from inhibition or worry
v. forsake, leave behind
v. give up with the intent of never claiming again
v. stop maintaining or insisting on; of ideas or claims"
combine,"n. harvester that heads and threshes and cleans grain while moving across the field
v. add together from different sources
v. join for a common purpose or in a common action"
behave,"v. behave in a certain manner
v. behave well or properly"
behavior,"n. manner of acting or controlling yourself
n. the action or reaction of something (as a machine or substance) under specified circumstances
n. (psychology) the aggregate of the responses or reactions or movements made by an organism in any situation"
behavioural,a of or relating to behavior
battle,"n. a hostile meeting of opposing military forces in the course of a war
v. battle or contend against in or as if in a battle"
combat,n. an engagement fought between two military forces
combative,"s inclined or showing an inclination to dispute or disagree, even to engage in law suits
s striving to overcome in argument
s having or showing a ready disposition to fight"
battery,"n. group of guns or missile launchers operated together at one place
n. a device that produces electricity; may have several primary or secondary cells arranged in parallel or series
n. a collection of related things intended for use together
n. a unit composed of the pitcher and catcher"
debate,"n. the formal presentation of a stated proposition and the opposition to it (usually followed by a vote)
v. argue with one another
v. discuss the pros and cons of an issue"
background,"n. a person's social heritage: previous experience or training
n. the part of a scene (or picture) that lies behind objects in the foreground
n. information that is essential to understanding a situation or problem
n. extraneous signals that can be confused with the phenomenon to be observed or measured"
balance,"n. a state of equilibrium
n. equality between the totals of the credit and debit sides of an account
n. equality of distribution
n. the difference between the totals of the credit and debit sides of an account"
imbalance,n. a lack of balance or state of disequilibrium
unbalanced,"a. being or thrown out of equilibrium
s. debits and credits are not equal"
counterbalance,n. a compensating equivalent
bargain,"n. an agreement between parties (usually arrived at after discussion) fixing obligations of each
n. an advantageous purchase
v. come to terms; arrive at an agreement"
behalf,"n. as the agent of or on someone's part (usually expressed as ""on behalf of"" rather than ""in behalf of""); 
n. for someone's benefit (usually expressed as `in behalf' rather than `on behalf' and usually with a possessive)"
beneath,r in or to a place that is lower
benefit,"n. financial assistance in time of need
n. something that aids or promotes well-being
n. a performance to raise money for a charitable cause
v. be beneficial for"
beneficial,s. promoting or enhancing well-being
profit,"n. the advantageous quality of being beneficial
v. derive a benefit from
v. make a profit; gain money or materially"
profitable,a. yielding material gain or profit
profitably,r in a productive way
bill,"n. a statute in draft before it becomes law
n. an itemized statement of money owed for goods shipped or services rendered
n. a piece of paper money (especially one issued by a central bank)
n. the entertainment offered at a public presentation"
blank,"n. a piece of material ready to be made into something
n. a cartridge containing an explosive charge but no bullet
v. keep the opposing (baseball) team from winning
s. (of a surface) not written or printed on"
blunt,"v. make less intense
v. make less sharp
s. having a broad or rounded end
s. used of a knife or other blade; not sharp"
blunder,n. an embarrassing mistake
board,"n. a committee having supervisory powers
n. a stout length of sawn timber; made in a wide variety of sizes and used for many purposes
n. a flat piece of material designed for a special purpose
n. food or meals in general"
aboard,"r. on a ship, train, plane or other vehicle
r. on first or second or third base
r. side by side
r. part of a group"
broad,"n. slang term for a woman
s. not detailed or specific
s. lacking subtlety; obvious
s. being at a peak or culminating point"
broadly,"r. without regard to specific details or exceptions
r. in a wide fashion"
broaden,"v. make broader
v. become broader"
abroad,"s. in a foreign country
r. to or in a foreign country"
boast,"n. speaking of yourself in superlatives
v. show off"
boost,"n. the act of giving hope or support to someone
n. the act of giving a push
v. give a boost to; be beneficial to
v. increase or raise"
boom,"n. a deep prolonged loud noise
n. a state of economic prosperity
n. a sudden happening that brings good fortune (as a sudden opportunity to make money)
n. a pole carrying an overhead microphone projected over a film or tv set"
burden,"n. an onerous or difficult concern
n. the central idea that is expanded in a document or discourse
v. weight down with a load"
burdensome,"s. not easily borne; wearing; I only had to greet the guests"""
overburden,"n. the surface soil that must be moved away to get at coal seams and mineral deposits
v. burden with too much work or responsibility
v. load with excessive weight"
camp,"n. temporary living quarters specially built by the army for soldiers
n. a group of people living together in a camp
n. temporary lodgings in the country for travelers or vacationers
n. a penal institution (often for forced labor)"
campaign,"n. a series of actions advancing a principle or tending toward a particular end
n. several related operations aimed at achieving a particular goal (usually within geographical and temporal constraints)
n. an overland journey by hunters (especially in Africa)
v. run, stand, or compete for an office or a position"
campus,n. a field on which the buildings of a university are situated
chamber,"n. a natural or artificial enclosed space
n. an enclosed volume in the body
n. a room where a judge transacts business
n. a deliberative or legislative or administrative or judicial assembly"
capable,"a. (usually followed by `of') having capacity or ability
s. possibly accepting or permitting
a. (followed by `of') having the temperament or inclination for"
incapable,"a. (followed by `of') lacking capacity or ability
s. not being susceptible to or admitting of something (usually followed by `of')
a. (followed by `of') not having the temperament or inclination for
s. not meeting requirements"
capability,"n. the quality of being capable -- physically or intellectually or legally
n. the susceptibility of something to a particular treatment
n. an aptitude that may be developed"
captain,"n. an officer holding a rank below a major but above a lieutenant
n. the naval officer in command of a military ship
n. a policeman in charge of a precinct
n. the leader of a group of people"
capital,"n. assets available for use in the production of further assets
n. wealth in the form of money or property owned by a person or business and human resources of economic value
n. a seat of government
n. one of the large alphabetic characters used as the first letter in writing or printing proper names and sometimes for emphasis; capitals were kept in the upper half of the type case and so became known as upper-case letters"""
capitalism,n. an economic system based on private ownership of capital
capture,"n. the act of forcibly dispossessing an owner of property
n. a process whereby a star or planet holds an object in its gravitational field
n. any process in which an atomic or nuclear system acquires an additional particle
n. the act of taking of a person by force"
captive,"n. an animal that is confined
n. a person held in the grip of a strong emotion or passion
s. being in captivity
s. giving or marked by complete attention to"
captivate,v attract; cause to be enamored
capacity,"n. capability to perform or produce
n. the amount that can be contained
n. the maximum production possible
n. a specified function"
capacious,s. large in capacity
escape,"n. the act of escaping physically
n. an inclination to retreat from unpleasant realities through diversion or fantasy
n. an avoidance of danger or difficulty
n. a means or way of escaping"
participate,v. share in something
participation,n. the condition of sharing in common with others (as fellows or partners etc.)
participant,n. someone who takes part in an activity
anticipate,"v. act in advance of; deal with ahead of time
v. realize beforehand
v. be excited or anxious about
v. be a forerunner of or occur earlier than"
anticipation,"n. an expectation
n. something expected (as on the basis of a norm)
n. anticipating with confidence of fulfillment"
ancient,"n. a very old person
n. a person who lived in ancient times
s. belonging to times long past especially of the historical period before the fall of the Western Roman Empire
s. very old"
ancestor,n. someone from whom you are descended (but usually more remote than a grandparent)
ancestry,n. inherited properties shared with others of your bloodline
ancestral,"s. inherited or inheritable by established rules (usually legal rules) of descent
a. of or belonging to or inherited from an ancestor"
discipline,"n. a branch of knowledge
n. a system of rules of conduct or method of practice; 
n. the trait of being well behaved
n. training to improve strength or self-control"
disciplinary,"a. relating to discipline in behavior
a. relating to a specific field of academic study"
occupy,"v. live (in a certain place)
v. occupy the whole of"
occupation,"n. the principal activity in your life that you do to earn money
n. the control of a country by military forces of a foreign power
n. any activity that occupies a person's attention
n. the act of occupying or taking possession of a building"
care,"n. the work of providing treatment for or attending to someone or something
n. a cause for feeling concern
n. attention and management implying responsibility for safety
n. activity involved in maintaining something in good working order"
scare,n. a sudden attack of fear
scary,s provoking fear terror
scared,"v cause fear in
v cause to lose courage
v mark with a scar
s made afraid"
dread,"n fearful expectation or anticipation
v be afraid or scared of; be frightened of
s causing fear or dread or terror"
fright,"n an emotion experienced in anticipation of some specific pain or danger (usually accompanied by a desire to flee or fight)
v cause fear in"
frighten,"v. cause fear in
v. drive out by frightening"
frightened,s. made afraid
caress,"n. a gentle affectionate stroking (or something resembling it)
v. touch or stroke lightly in a loving or endearing manner"
cherish,v be fond of; be attached to
concern,"n. something that interests you because it is important or affects you
n. an anxious feeling
n. a feeling of sympathy for someone or something
n. something or someone that causes anxiety; a source of unhappiness"
concerning,"v be relevant to
v be on the mind of"
curious,"s. beyond or deviating from the usual or expected
a. eager to investigate and learn or learn more (sometimes about others' concerns)
s. having curiosity aroused; eagerly interested in learning more"
curiosity,n. a state in which you want to learn more about something
proceed,"v. move ahead; travel onward in time or space
v. follow a certain course"
process,"n. (psychology) the performance of some composite cognitive activity; an operation that affects mental contents
n. a mental process that you are not directly aware of
n. a natural prolongation or projection from a part of an organism either animal or plant
n. a sustained phenomenon or one marked by gradual changes through a series of states"
processor,"n. a business engaged in processing agricultural products and preparing them for market
n. someone who processes things (foods or photographs or applicants etc.)"
microprocessor,n. integrated circuit semiconductor chip that performs the bulk of the processing and controls the parts of a system
procedure,"n. a particular course of action intended to achieve a result
n. a mode of conducting legal and parliamentary proceedings"
precede,"v. come before
v. be the predecessor of
v. move ahead (of others) in time or space
v. furnish with a preface or introduction"
preceding,a. existing or coming before
precedent,"n. an example that is used to justify similar occurrences at a later time
n. a subject mentioned earlier (preceding in time)
s. preceding in time, order, or significance"
precedented,a. having or supported or justified by a precedent
unprecedented,a. having no precedent; novel
predecessor,n. one who precedes you in time (as in holding a position or office)
recession,"n. the state of the economy declines; a widespread decline in the GDP and employment and trade lasting from six months to a year
n. the withdrawal of the clergy and choir from the chancel to the vestry at the end of a church service
n. the act of ceding back"
recede,v. become faint or more distant
succeed,"v. attain success or reach a desired goal
v. be the successor (of)"
success,"n. an event that accomplishes its intended purpose
n. an attainment that is successful
n. a state of prosperity or fame"
successful,a. having succeeded or being marked by a favorable outcome
successfully,r. with success; in a successful manner
succession,"n. a group of people or things arranged or following in order
n. the action of following in order
n. (ecology) the gradual and orderly process of change in an ecosystem brought about by the progressive replacement of one community by another until a stable climax is established
n. acquisition of property by descent or by will"
successive,s in regular succession without gaps
successor,"n. a person who follows next in order
n. a thing or person that immediately replaces something or someone
n. a person who inherits some title or office"
exceed,"v. be greater in scope or size than some standard
v. be superior or better than some standard"
excess,"n. a quantity much larger than is needed
n. immoderation as a consequence of going beyond sufficient or permitted limits
s. more than is needed, desired, or required"
excessive,"s. beyond normal limits
s. unrestrained, especially with regard to feelings"
exceedingly,r to an extreme degree
excel,v. distinguish oneself
excellent,s. very good; of the highest quality
excellence,"n. the quality of excelling; possessing good qualities in high degree
n. an outstanding feature; something in which something or someone excels"
concede,"v. admit (to a wrongdoing)
v. be willing to concede
v. give over; surrender or relinquish to the physical control of another
v. acknowledge defeat"
concession,"n. a contract granting the right to operate a subsidiary business
n. the act of conceding or yielding
n. a point conceded or yielded"
access,"n. the right to obtain or make use of or take advantage of something (as services or membership)
n. a way of entering or leaving
n. a code (a series of characters or digits) that must be entered in some way (typed or dialed or spoken) to get the use of something (a telephone line or a computer or a local area network etc.)
n. (computer science) the operation of reading or writing stored information"
accessible,"a. capable of being reached
s. capable of being read with comprehension
s. easily obtained
s. easy to get along with or talk to; friendly"
receive,"v. get something; come into possession of
v. receive a specified treatment (abstract)
v. express willingness to have in one's home or environs
v. accept as true or valid"
reception,"n. the manner in which something is greeted
n. a formal party of people; as after a wedding
n. quality or fidelity of a received broadcast
n. the act of receiving"
receptor,n. a cellular structure that is postulated to exist in order to mediate between a chemical agent that acts on nervous tissue and the physiological response
accept,"v. consider or hold as true
v. receive willingly something given or offered
v. give an affirmative reply to; respond favorably to
v. react favorably to; consider right and proper"
acceptable,"a. worthy of acceptance or satisfactory
s. judged to be in conformity with approved usage
s. adequate for the purpose"
acceptance,"n. the state of being acceptable and accepted
n. (contract law) words signifying consent to the terms of an offer (thereby creating a contract)
n. banking: a time draft drawn on and accepted by a bank
n. the act of taking something that is offered"
unacceptable,"s. not adequate to give satisfaction
a. not acceptable; not welcome
s. not conforming to standard usage; `You can access your cash at any of 300 automatic tellers'"""
concept,n. an abstract or general idea inferred or derived from specific instances
conception,n. the act of becoming pregnant; fertilization of an ovum by a spermatozoon
misconception,n. an incorrect conception
conceptual,s. being or characterized by concepts or their formation
conceive,v. become pregnant; undergo conception
perceive,"v. to become aware of through the senses
v. become conscious of"
perception,"n. a way of conceiving something
n. the process of perceiving
n. knowledge gained by perceiving"
deceive,"v. be false to; be dishonest with
v. cause someone to believe an untruth"
deception,n. the act of deceiving
deceptive,"s. causing one to believe what is not true or fail to believe what is true
s. designed to deceive or mislead either deliberately or inadvertently"
deceptiveness,n. the quality of being deceptive
except,"v take exception to
v prevent from being included or considered or accepted"
exception,"n. a deliberate act of omission
n. an instance that does not conform to a rule or generalization; the only exception was her last child""
n. grounds for adverse criticism"
exceptional,s. deviating widely from a norm of physical or mental ability; used especially of children below normal in intelligence
susceptible,"a. (often followed by `of' or `to') yielding readily to or capable of
s. easily impressed emotionally"
century,n. a period of 100 years
innocent,"n. a person who lacks knowledge of evil
a. free from evil or guilt
s. lacking intent or capacity to injure
s. lacking in sophistication or worldliness"
innocence,n. a state or condition of being innocent of a specific crime or offense
incentive,n. a positive motivational influence
central,"n. a workplace that serves as a telecommunications facility where lines from telephones can be connected together to permit communication
a. in or near a center or constituting a center; the inner area"
centralize,v. make central
centralized,a. drawn toward a center or brought under the control of a central authority
centralization,"n. the act of consolidating power under a central control
n. gathering to a center"
concentrate,"n. a concentrated form of a foodstuff; the bulk is reduced by removing water
n. a concentrated example of something
v. make denser, stronger, or purer
v. direct one's attention on something"
concentration,"n. the strength of a solution; number of molecules of a substance in a given volume
n. the spatial property of being crowded together
n. strengthening the concentration (as of a solute in a mixture) by removing diluting material
n. increase in density"
certain,"s. definite but not specified or identified
a. having or feeling no doubt or uncertainty; confident and assured
a. established beyond doubt or question; definitely known
a. certain to occur; destined or inevitable"
certainly,r definitely or positively (`sure' is sometimes used informally for `surely')
certainty,"n. the state of being certain
n. something that is certain"
uncertain,"a. lacking or indicating lack of confidence or assurance
a. not established beyond doubt; still undecided or unknown
a. not certain to occur; not inevitable
s. not consistent or dependable"
uncertainty,n. being unsettled or in doubt or dependent on chance
certify,"v. guarantee payment on; of checks
v. guarantee as meeting a certain standard
v. declare legally insane"
certificate,"n. a document attesting to the truth of certain stated facts
v. present someone with a certificate
v. authorize by certificate"
decide,"v. reach, make, or come to a decision about something
v. bring to an end; settle conclusively
v. cause to decide
v. influence or determine"
decision,"n. the act of making up your mind about something
n. a position or opinion or judgment reached after consideration
n. (boxing) a victory won on points when no knockout has occurred
n. the outcome of a game or contest"
decisive,"a. determining or having the power to determine an outcome
s. unmistakable
a. characterized by decision and firmness"
decisiveness,n. the trait of resoluteness as evidenced by firmness of character or purpose
suicide,"n. the act of killing yourself
n. a person who kills himself intentionally"
homicide,n. the killing of a human being by another human being
precise,a. sharply exact or accurate or delimited
precisely,"r. indicating exactness or preciseness
r. in a precise manner
r. just as it should be"
precision,n the quality of being reproducible in amount or performance
genocide,n. systematic killing of a racial or cultural group
casual,"s. marked by blithe unconcern
s. without or seeming to be without plan or method; offhand
s. appropriate for ordinary or routine occasions
s. occurring or appearing or singled out by chance"
casually,"r. not methodically or according to plan
r. in an unconcerned manner"
casualty,"n. someone injured or killed or captured or missing in a military engagement
n. someone injured or killed in an accident
n. a decrease of military personnel or equipment"
accident,"n. an unfortunate mishap; especially one causing damage or injury
n. anything that happens suddenly or by chance without an apparent cause"
accidental,"n. a musical notation that makes a note sharp or flat or natural although that is not part of the key signature
s. happening by chance or unexpectedly or unintentionally"
accidentally,"r without advance planning
r of a minor or subordinate nature
r without intention; in an unintentional manner"
incident,"n. a single distinct event
n. a public disturbance
a. falling or striking of light rays on something"
incidental,"n. an item that is incidental
a. (sometimes followed by `to') minor or casual or subordinate in significance or nature or occurring as a chance concomitant or consequence
s. not of prime or central importance"
incidentally,r. of a minor or subordinate nature
incidence,"n. the relative frequency of occurrence of something
n. the striking of a light beam on a surface"
coincidence,"n. an event that might have been arranged although it was really accidental
n. the quality of occupying the same position or area in space"
coincident,"s. occurring or operating at the same time
s. matching point for point"
coincide,"v. go with, fall together
v. be the same"
civil,"s. applying to ordinary citizens as contrasted with the military
a. not rude; marked by satisfactory (or especially minimal) adherence to social usages and sufficient but not noteworthy consideration for others
a. of or occurring within the state or between or among citizens of the state
a. of or relating to or befitting citizens as individuals"
civility,n. formal or perfunctory politeness
civilian,"n. a nonmilitary citizen
a. associated with civil life or performed by persons who are not active members of the military"
civilization,"n. a society in an advanced state of social development (e.g., with complex legal and political and religious organizations)
n. the social process whereby societies achieve an advanced stage of development and organization"
civilize,v. raise from a barbaric to a civilized state
claim,"n. an assertion of a right (as to money or property)
n. an assertion that something is true or factual
n. demand for something as rightful or due
n. an informal right to something"
acclaim,"n. enthusiastic approval
v. praise vociferously"
exclaim,"v. utter aloud; often with surprise, horror, or joy"
proclaim,"v. declare formally; declare someone to be something; of titles
v. state or announce"
announce,"v. make known; make an announcement
v. announce publicly or officially
v. give the names of
v. foreshadow or presage"
announcement,"n. a formal public statement
n. a public statement containing information about an event that has happened or is going to happen"
pronounce,"v. speak, pronounce, or utter in a certain way
v. pronounce judgment on"
pronouncement,n. an authoritative declaration
clarity,n. free from obscurity and easy to understand; the comprehensibility of clear expression
clarify,"v. make clear and (more) comprehensible
v. make clear by removing impurities or solids, as by heating"
declare,"v. state emphatically and authoritatively
v. state firmly
v. declare to be
v. authorize payments of"
declaration,"n. a statement that is emphatic and explicit (spoken or written)
n. (law) unsworn statement that can be admitted in evidence in a legal transaction
n. a statement of taxable goods or of dutiable properties"
class,"n. a collection of things sharing a common attribute
n. a body of students who are taught together
n. people having the same social, economic, or educational status
n. a league ranked by quality"
classify,"v. arrange or order by classes or categories
v. declare unavailable, as for security reasons"
reclassify,"v. classify anew, change the previous classification"
