cinema,n. a theater where films are shown
direction,"n. a line leading to a place or point
n. the spatial relation between something and the course along which it points or moves
n. a general course along which something has a tendency to develop
n. a message describing how something is to be done"
east,"n. the cardinal compass point that is at 90 degrees
n. the countries of Asia
n. the region of the United States lying to the north of the Ohio River and to the east of the Mississippi River
n. the direction corresponding to the eastward cardinal compass point"
famous,s widely known and esteemed
first,"n. the first or highest in an ordering or series
n. the first element in a countable series
n. an honours degree of the highest class
a. preceding all others in time or space or degree"
map,"n. a diagrammatic representation of the earth's surface (or part of it)
v. make a map of; show or establish the features of details of
v. explore or survey for the purpose of making a map
v. locate within a specific region of a chromosome in relation to known DNA or gene sequences"
middle,"n. an intermediate part or section
n. the middle area of the human torso (usually in front)
n. time between the beginning and the end of a temporal period
v. put in the middle"
most,"a. (superlative of `many' used with count nouns and often preceded by `the') quantifier meaning the greatest in number
a. the superlative of `much' that can be used with mass nouns and is usually preceded by `the'; a quantifier meaning the greatest in amount or extent or degree
r. used to form the superlative
r. very"
north,"n. the region of the United States lying to the north of the Mason-Dixon line
n. the cardinal compass point that is at 0 or 360 degrees
n. a location in the northern part of a country, region, or city
n. the direction corresponding to the northward cardinal compass point"
palace,"n. a large and stately mansion
n. the governing group of a kingdom
n. a large ornate exhibition hall
n. official residence of an exalted person (as a sovereign)"
Queen,"n. the only fertile female in a colony of social insects such as bees and ants and termites; its function is to lay eggs
n. a female sovereign ruler
n. the wife or widow of a king
n. something personified as a woman who is considered the best or most important of her kind"
right,"n. an abstract idea of that which is due to a person or governmental body by law or tradition or nature; it is something that nobody can take away""
n. location near or direction toward the right side; i.e. the side to the south when a person or object faces east
n. those who support political or social or economic conservatism; those who believe that things are better left unchanged
n. the hand that is on the right side of the body"
river,n. a large natural stream of water (larger than a creek)
second,"n. 1/60 of a minute; the basic unit of time adopted under the Systeme International d'Unites
n. following the first in an ordering or series
n. a 60th part of a minute of arc
n. the official attendant of a contestant in a duel or boxing match"
third,"n. following the second position in an ordering or series
n. the musical interval between one note and another three notes away from it
s. coming next after the second and just before the fourth in position
r. in the third place"
twin towers,none
west,"n. the countries of (originally) Europe and (now including) North America and South America
n. the cardinal compass point that is a 270 degrees
n. the region of the United States lying to the west of the Mississippi River
n. the direction corresponding to the westward cardinal compass point"
anything,"n. Any object, act, state, event, or fact whatever; thing of
   any kind; something or other; aught; as, I would not do it for
   anything.
n. Expressing an indefinite comparison; -- with as or like.
adv. In any measure; anywise; at all."
back,"n. the posterior part of a human (or animal) body from the neck to the end of the spine
n. the part of something that is furthest from the normal viewer
n. (football) a person who plays in the backfield
n. the part of a garment that covers the back of your body"
call out,n. a challenge to a fight or duel
check,"n. a written order directing a bank to pay money
n. the bill in a restaurant
n. the act of inspecting or verifying
n. a mark left after a small piece has been chopped or broken off of something"
check out,"n. the latest time for vacating a hotel room
n. a counter in a supermarket where you pay for your purchases"
corn,"n. tall annual cereal grass bearing kernels on large ears: widely cultivated in America in many varieties; the principal cereal in Mexico and Central and South America since pre-Columbian times
n. the dried grains or kernels or corn used as animal feed or ground for meal
n. ears of corn that can be prepared and served for human food
n. a hard thickening of the skin (especially on the top or sides of the toes) caused by the pressure of ill-fitting shoes"
dark,"n. absence of light or illumination
n. an unenlightened state
a. devoid of or deficient in light or brightness; shadowed or black
a. (used of color) having a dark hue"
doorbell,n. a push button at an outer door that gives a ringing or buzzing signal when pushed
down,"n. soft fine feathers
n. (American football) a complete play to advance the football
n. English physician who first described Down's syndrome (1828-1896)
n. (usually plural) a rolling treeless highland with little soil"
dress up,none
far,"a. located at a great distance in time or space or degree
s. being of a considerable distance or length
s. being the animal or vehicle on the right or being on the right side of an animal or vehicle
s. beyond a norm in opinion or actions"
festival,"n. a day or period of time set aside for feasting and celebration
n. an organized series of acts and performances (usually in one place)"
fourth,"n. following the third position; number four in a countable series
n. the musical interval between one note and another four notes away from it
s. coming next after the third and just before the fifth in position or time or degree or magnitude"
full,"v. beat for the purpose of cleaning and thickening
v. make (a garment) fuller by pleating or gathering
a. containing as much or as many as is possible or normal
s. complete in extent or degree and in every particular"
get,"n. a return on a shot that seemed impossible to reach and would normally have resulted in a point for the opponent
v. come into the possession of something concrete or abstract
v. cause to move; cause to be in a certain position or condition
v. succeed in catching or seizing, especially after a chase"
Halloween,n. the evening before All Saints' Day; often devoted to pranks played by young people
hunt,"n. Englishman and Pre-Raphaelite painter (1827-1910)
n. United States architect (1827-1895)
n. British writer who defended the Romanticism of Keats and Shelley (1784-1859)
n. an association of huntsmen who hunt for sport"
important,"a. of great significance or value
s. having or suggesting a consciousness of high position"
invite,"n. a colloquial expression for invitation
v. increase the likelihood of
v. invite someone to one's house
v. ask someone in a friendly way to do something"
land,"n. the land on which real estate is located
n. material in the top layer of the surface of the earth in which plants can grow (especially with reference to its quality or use)
n. the solid part of the earth's surface
n. United States inventor who incorporated Polaroid film into lenses and invented the one step photographic process (1909-1991)"
lock out,n. a management action resisting employee's demands; employees are barred from entering the workplace until they agree to terms
lunar,a. of or relating to or associated with the moon
Mid-Autumn Festival,none
moon cake,none
myself,"pron. I or me in person; -- used for emphasis, my own self or
   person; as I myself will do it; I have done it myself; -- used also
   instead of me, as the object of the first person of a reflexive verb,
   without emphasis; as, I will defend myself."
Native American,none
nobody,n a person of no influence
officer,"n. a person authorized to serve in a position of authority on a vessel
v. direct or command as an officer"
peanut,"n. underground pod of the peanut vine
n. widely cultivated American plant cultivated in tropical and warm regions; showy yellow flowers on stalks that bend over to the soil so that seed pods ripen underground
n. a young child who is small for his age
n. pod of the peanut vine containing usually 2 nuts or seeds; `groundnut' and `monkey nut' are British terms"
plant,"n. buildings for carrying on industrial labor
n. (botany) a living organism lacking the power of locomotion
n. an actor situated in the audience whose acting is rehearsed but seems spontaneous to the audience
n. something planted secretly for discovery by another"
ring,"n. a characteristic sound
n. a toroidal shape
n. the sound of a bell ringing
n. a platform usually marked off by ropes in which contestants box or wrestle"
strange,"a. being definitely out of the ordinary and unexpected; slightly odd or even a bit weird
s. not known before"
surprise,"n. the astonishment you feel when something totally unexpected happens to you
n. a sudden unexpected event
n. the act of surprising someone
v. cause to be surprised"
sweet potato,none
Thanksgiving,n. fourth Thursday in November in the United States; second Monday in October in Canada; commemorates a feast held in 1621 by the Pilgrims and the Wampanoag
the Mayflower,none
treat,"n. an occurrence that causes special pleasure or delight
v. interact in a certain way
v. provide treatment for
v. provide with a gift or entertainment"
trick,"n. a cunning or deceitful action or device
n. a period of work or duty
n. an attempt to get you to do something foolish or imprudent
n. (card games) in a single round, the sequence of cards played by all the players; the high card is the winner"
trick or treat,none
turkey,"n. large gallinaceous bird with fan-shaped tail; widely domesticated for food
n. a Eurasian republic in Asia Minor and the Balkans; on the collapse of the Ottoman Empire in 1918, the Young Turks, led by Kemal Ataturk, established a republic in 1923
n. flesh of large domesticated fowl usually roasted
n. an event that fails badly or is totally ineffectual"
upstairs,"n. the part of a building above the ground floor
a. on or of upper floors of a building
r. on a floor above
r. with respect to the mind"
wild,"n. a wild primitive state untouched by civilization
a. marked by extreme lack of restraint or control
a. in a natural state; not tamed or domesticated or cultivated
s. in a state of extreme emotion"
accident,"n. an unfortunate mishap; especially one causing damage or injury
n. anything that happens suddenly or by chance without an apparent cause"
bandage,"n. a piece of soft material that covers and protects an injured part of the body
v. dress by covering or binding"
belt,"n. endless loop of flexible material between two rotating shafts or pulleys
n. a band to tie or buckle around the body (usually at the waist)
n. an elongated region where a specific condition or characteristic is found
n. ammunition (usually of small caliber) loaded in flexible linked strips for use in a machine gun"
bottle,"n. a glass or plastic vessel used for storing drinks or other liquids; typically cylindrical without handles and with a narrow neck that can be plugged or capped
n. the quantity contained in a bottle
n. a vessel fitted with a flexible teat and filled with milk or formula; used as a substitute for breast feeding infants and very young children
v. store (liquids or gases) in bottles"
campsite,n. a site where people on holiday can pitch a tent
cut,"n. a share of the profits
n. (film) an immediate transition from one shot to the next
n. a trench resembling a furrow that was made by erosion or excavation
n. a step on some scale"
deep,"n. the central and most intense or profound part
n. literary term for an ocean
a. relatively deep or strong; affecting one deeply
s. marked by depth of thinking"
finally,r. after an unspecified period of time or an especially long delay
helmet,"n. armor plate that protects the head
n. a protective headgear made of hard material to resist blows"
keep,"n. the main tower within the walls of a medieval castle or fortress
v. keep in a certain state, position, or activity; e.g., ""keep clean""
v. retain possession of
v. look after; be the keeper of; have charge of"
keep to,none
kind,"n. a category of things distinguished by some common characteristic or quality
a. having or showing a tender and considerate and helpful nature; used especially of persons and their behavior
s. agreeable, conducive to comfort
s. tolerant and forgiving under provocation"
matter,"n. a vaguely specified concern
n. that which has mass and occupies space
n. a problem
n. (used with negation) having consequence"
pad,"n. a number of sheets of paper fastened together along one edge
n. the large floating leaf of an aquatic plant (as the water lily)
n. a block of absorbent material saturated with ink; used to transfer ink evenly to a rubber stamp
n. a flat mass of soft material used for protection, stuffing, or comfort"
put away,none
right,"n. an abstract idea of that which is due to a person or governmental body by law or tradition or nature; it is something that nobody can take away""
n. location near or direction toward the right side; i.e. the side to the south when a person or object faces east
n. those who support political or social or economic conservatism; those who believe that things are better left unchanged
n. the hand that is on the right side of the body"
rule,"n. a principle or condition that customarily governs behavior
n. prescribed guide for conduct or action
n. (linguistics) a rule describing (or prescribing) a linguistic practice
n. the duration of a monarch's or government's power"
safe,"n. strongbox where valuables can be safely kept
n. a ventilated or refrigerated cupboard for securing provisions from pests
a. free from danger or the risk of harm
s. (of an undertaking) secure from risk"
stay,"n. continuing or remaining in a place or state
n. a judicial order forbidding some action until an event occurs or the order is lifted
n. a thin strip of metal or bone that is used to stiffen a garment (e.g. a corset)
n. (nautical) brace consisting of a heavy rope or wire cable used as a support for a mast or spar"
stitch,"n. a link or loop or knot made by an implement in knitting, crocheting, embroidery, or sewing
n. a sharp spasm of pain in the side resulting from running"
swimming,n. the act of swimming
take care,none
understand,"v. know and comprehend the nature or meaning of
v. perceive (an idea or situation) mentally
v. make sense of a language
v. believe to be the case"
unhappy,"a. experiencing or marked by or causing sadness or sorrow or discontent
s. causing discomfort"
village,"n. a community of people smaller than a town
n. a settlement smaller than a town"
well,"n. a deep hole or shaft dug or drilled to obtain water or oil or gas or brine
n. a cavity or vessel used to contain liquid
n. an abundant source
n. an open shaft through the floors of a building (as for a stairway)"
anyone,"n. One taken at random rather than by selection; anybody.
   [Commonly written as two words.]"
bamboo,"n. the hard woody stems of bamboo plants; used in construction and crafts and fishing poles
n. woody tropical grass having hollow woody stems; mature canes used for construction and furniture"
black rhino,none
danger,"n. the condition of being susceptible to harm or injury
n. a cause of pain or injury or loss
n. a dangerous place"
dig,"n. the site of an archeological exploration
n. a small gouge (as in the cover of a book)
n. the act of touching someone suddenly with your finger or elbow
v. turn up, loosen, or remove earth"
dirty,"v. make soiled, filthy, or dirty
a. soiled or likely to soil with dirt or grime
a. (of behavior or especially language) characterized by obscenity or indecency
s. vile; despicable"
fur,"n. the dressed hairy coat of a mammal
n. dense coat of fine silky hairs on mammals (e.g., cat or seal or weasel)
n. a garment made of the dressed hairy coat of a mammal"
grass,"n. narrow-leaved green herbage: grown as lawns; used as pasture for grazing animals; cut and dried as hay
n. German writer of novels and poetry and plays (born 1927)
v. shoot down, of birds
v. cover with grass"
have a look,none
horn,"n. a noisemaker (as at parties or games) that makes a loud noise when you blow through it
n. one of the bony outgrowths on the heads of certain ungulates
n. a noise made by the driver of an automobile to give warning; 
n. a high pommel of a Western saddle (usually metal covered with leather)"
kill,"n. the destruction of an enemy plane or ship or tank or missile
v. cause to die; put to death, usually intentionally or knowingly
v. thwart the passage of
v. be fatal"
kingfisher,n. nonpasserine large-headed bird with a short tail and long sharp bill; usually crested and bright-colored; feed mostly on fish
leaf,"n. the main organ of photosynthesis and transpiration in higher plants
n. a sheet of any written or printed material (especially in a manuscript or book)
n. hinged or detachable flat section (as of a table or door)
v. turn over pages"
medicine,"n. the branches of medical science that deal with nonsurgical techniques
n. (medicine) something that treats or prevents or alleviates the symptoms of disease
n. the learned profession that is mastered by graduate training in a medical school and that is devoted to preventing or alleviating or curing diseases and injuries"
mud,"n. water soaked soil; soft wet earth
n. slanderous remarks or charges
v. plaster with mud"
nest,"n. a structure in which animals lay eggs or give birth to their young
n. a kind of gun emplacement
n. a cosy or secluded retreat
n. a gang of people (criminals or spies or terrorists) assembled in one locality"
part,"n. something determined in relation to something that includes it
n. something less than the whole of a human artifact
n. a portion of a natural object
n. that which concerns a person with regard to a particular role or situation"
rhino,n massive powerful herbivorous odd-toed ungulate of southeast Asia and Africa having very thick skin and one or two horns on the snout
riverbank,n. the bank of a river
save,"n. (sports) the act of preventing the opposition from scoring
v. to keep up and reserve for personal or special use
v. bring into safety
v. spend less; buy at a reduced price"
so,"r. to a very great extent or degree
r. in a manner that facilitates
r. in such a condition or manner, especially as expressed or implied
r. to a certain unspecified extent or degree"
South China Tiger,none
sweet,"n. English phonetician; one of the founders of modern phonetics (1845-1912)
n. a food rich in sugar
n. the taste experience when sugar dissolves in the mouth
a. having or denoting the characteristic taste of sugar"
web,"n. an intricate network suggesting something that was formed by weaving or interweaving
n. an intricate trap that entangles or ensnares its victim
n. a fabric (especially a fabric in the process of being woven)
n. membrane connecting the toes of some aquatic birds and mammals"
work,"n. activity directed toward making or doing something
n. a product produced or accomplished through the effort or activity or agency of a person or thing
n. (physics) a manifestation of energy; the transfer of energy from one physical system to another expressed as the product of a force and the distance through which it moves a body in the direction of that force
v. exert oneself by doing mental or physical work for a purpose or out of necessity"
American,"n. a native or inhabitant of the United States
n. a native or inhabitant of a North American or Central American or South American country
a. of or relating to the United States of America or its people or language or culture"
band,"n. instrumentalists not including string players
n. a stripe or stripes of contrasting color
n. an adornment consisting of a strip of a contrasting color or material
n. a range of frequencies between two limits"
bookshop,n. a shop where books are sold
camera,n. equipment for taking photographs (usually consisting of a lightproof box with a lens at one end and light-sensitive film at the other)
CD,"n a soft bluish-white ductile malleable toxic bivalent metallic element; occurs in association with zinc ores
n the basic unit of luminous intensity adopted under the Systeme International d'Unites; equal to 1/60 of the luminous intensity per square centimeter of a black body radiating at the temperature of 2,046 degrees Kelvin
n a debt instrument issued by a bank; usually pays interest
n a digitally encoded recording on an optical disk that is smaller than a phonograph record; played back by a laser
s being one hundred more than three hundred"
CD player,none
chicken,"n. the flesh of a chicken used for food
n. a domestic fowl bred for flesh or eggs; believed to have been developed from the red jungle fowl
n. a foolhardy competition; a dangerous activity that is continued until one competitor becomes afraid and stops
s. easily frightened"
club,"n. a formal association of people with similar interests
n. stout stick that is larger at one end
n. a playing card in the minor suit that has one or more black trefoils on it
v. unite with a common purpose"
cute,s. obviously contrived to charm
dream,"n. a series of mental images and emotions occurring during sleep
n. imaginative thoughts indulged in while awake
n. a state of mind characterized by abstraction and release from reality
n. someone or something wonderful"
each other,none
feed,"n. food for domestic livestock
v. provide as food
v. give food to
v. feed into; supply"
forever,r. for a very long or seemingly endless time
grown-up,"n a fully developed person from maturity onward
s (of animals) fully developed"
hobby,"n. a child's plaything consisting of an imitation horse mounted on rockers; the child straddles it and pretends to ride
n. small Old World falcon formerly trained and flown at small birds"
job,"n. a specific piece of work required to be done as a duty or for a specific fee
n. a workplace; as in the expression ""on the job""; 
n. an object worked on; a result produced by working
n. the responsibility to do something"
little,"n. a small amount or duration
a. (quantifier used with mass nouns) small in quantity or degree; not much or almost none or (with `a') at least some
s. (of children and animals) young, immature
s. (of a voice) faint"
mango,"n. large evergreen tropical tree cultivated for its large oval fruit
n. large oval tropical fruit having smooth skin, juicy aromatic pulp, and a large hairy seed"
national,"n. a person who owes allegiance to that nation
a. of or relating to or belonging to a nation or country
a. limited to or in the interests of a particular nation
a. concerned with or applicable to or belonging to an entire nation or country"
near,"a. not far distant in time or space or degree or circumstances
s. being on the left side
s. closely resembling the genuine article
r. near in time or place or relationship"
once,"r. on one occasion
r. as soon as
r. at a previous time;"
own,"v. have ownership or possession of
s. belonging to or on behalf of a specified person (especially yourself); preceded by a possessive"
peace,"n. the state prevailing during the absence of war
n. harmonious relations; freedom from disputes
n. the absence of mental stress or anxiety
n. the general security of public places"
photograph,"n. a representation of a person or scene in the form of a print or transparent slide; recorded by a camera on light-sensitive material
v. record on photographic film
v. undergo being photographed in a certain way"
player,"n. a person who participates in or is skilled at some game
n. a person who pursues a number of different social and sexual partners simultaneously
n. an important participant (as in a business deal)"
poor,"a. having little money or few possessions
a. characterized by or indicating poverty
a. lacking in specific resources, qualities or substances
s. unsatisfactory"
poverty,n. the state of having little or no money and few or no material possessions
precious,"s. of high worth or cost
r. extremely"
signature,"n. your name written in your own handwriting
n. a melody used to identify a performer or a dance band or radio/tv program
n. a sheet with several pages printed on it; it folds to page size and is bound with other signatures to form a book"
soccer,n. a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal
sorrow,"n. an emotion of great sadness associated with loss or bereavement
n. sadness associated with some wrong done or some disappointment"
war,"n. the waging of armed conflict against an enemy
n. a legal state created by a declaration of war and ended by official declaration during which the international rules of war apply
n. an active struggle between competing entities
n. a concerted campaign to end something that is injurious"
without,"prep. On or at the outside of; out of; not within; as,
   without doors.
prep. Out of the limits of; out of reach of; beyond.
prep. Not with; otherwise than with; in absence of,
   separation from, or destitution of; not with use or employment of;
   independently of; exclusively of; with omission; as, without labor;
   without damage.
conj. Unless; except; -- introducing a clause.
adv. On or art the outside; not on the inside; not within;
   outwardly; externally.
adv. Outside of the house; out of doors."
hotel,n. a building where travelers can pay for lodging and meals and other services
plaster,"n. a mixture of lime or gypsum with sand and water; hardens into a smooth solid; used to cover walls and ceilings
n. a surface of hardened plaster (as on a wall or ceiling)
n. adhesive tape used in dressing wounds
v. apply a heavy coat to"
