abandon oneself to,沉溺于
enter for,"na. 参加(赛跑)
[网络] 报名参加；报名参赛；报名参加比赛"
even as,"正巧在...的时候, 正如"
even if,即使
even though,"na. “even if”的变体
[网络] 纵然；即使；尽管"
ever since,自从…时候起(一直)
every now and then,"常常, 不时地"
every now and again,"有时, 时时, 偶尔"
every other,"na. 每隔；所有其他；每隔一；其他的…都
[网络] 每隔一个的；每隔一个地；其他的...都"
except for,"除...以外
[经] 除...外"
exist in, 存在于…中
expose ... to ...,"un. 暴露于
[网络] 接触；使易受；使受"
face to face,"na. 面对面
[网络] 面对面的课堂学习；面对面地"
fade away,"n. 消退, 低速曲球"
fall in love with,爱上
fall over,"na. 倒了；落在地上；(计算机)程序停止运行；跌倒
[网络] 故障转移方式；摔倒；摔入"
fall behind,"落在后面, 拖欠"
far from,"远离, 远非"
far too,"非常,极其,太"
feed on,"以...为食, 以...为能源"
feel like,"na. 〈口〉想要…；愿意…；感觉像是…
[网络] 感觉气温"
feel one's way,"摸索着走, 谨慎行事"
figure out,"na. 估计；解决；了解；〈口〉确定
[网络] 弄清楚；算出；推测"
fill in,"na. 填充；填写；同“fill”
[网络] 可达到加强节奏弦音效果；过门；备注"
find out,"na. 查出；发现；看清…的面目；识破
[网络] 查明；找出；了解"
first of all,首先
fix on,"确定, 决定"
fix upon,决定
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
focus upon,[网络] 专注于；集中于
for free,免费地
for sale,"na. 出售(的)
[网络] 待售；供出售；出售的"
for sure,"adv. 确实
[网络] 肯定地；确切地；毫无疑问"
for the time being,暂时
free from,"na. 无…的
[网络] 不受…影响的；免于；没有"
from time to time,有时
get across,"na. 使了解；使通过；使人了解；与(人)冲突
[网络] 讲清楚；使被理解；解释清楚"
get along,"na. 过活；生活；团结；有起色
[网络] 相处；进展；融洽相处"
get on,"na. 上马；安上；过日子；相投 (with together)
[网络] 上车；进展；相处"
get along with,"进展, 走开"
get on with, 继续（干某事）; 和…友好相处
get away from,"离开,摆脱,脱离"
get away with,na. 拿走；避开责备[惩罚]；〈俚〉卷(款)潜逃；吃掉，喝掉
get down to,开始认真考虑;着手办理(某事)
get in touch, 取得联系
get in touch with,与...联系
get into,[网络] 到达什么地方；这个错误可能使他陷入困境
get involved in, 涉及
get off,"na. 下车；脱下(衣服等)；脱(衣)；下(马)
[网络] 下来；动身；离开"
get on,"na. 上马；安上；过日子；相投 (with together)
[网络] 上车；进展；相处"
get rid of,"摆脱, 除去"
get stuck,v. 受骗; 卡; 揢
get through,"做完, 通过, 度过"
get tired of,"讨厌,厌倦"
give away,"na. 赠送；分发；放弃；露马脚
[网络] 泄露；出卖；分送"
give in,"na. 让步；屈服；投降；上交
[网络] 交上；认输；放弃"
give off,"na. 发散(水蒸气等)
[网络] 发出；放出；释放"
give out,"na. 发表；放出；分发
[网络] 发出；用完；发出传票"
give sb. a lift,[网络] 让…搭车；搭便车
glare at,怒视
go against,"反对, 违反, 不利于"
go ahead,"na. 取得进展
[网络] 前进；开始；向前"
go in for,"参加, 追求, 从事, 赞成"
go on a diet,"用规定食谱, 节食"
go through,"经历, 经受, 仔细检查, 搜查, 参加, 履行, 被通过, 用完"
had better,"na. 最好；最好…
[网络] 应该；最好还是；还是…好"
hand back,"v. 归还
[网络] 交还；退还；手背"
hang about,"na. 荡来荡去；缠住不放；在附近逗留
[网络] 闲荡；徘徊；闲逛"
hardly ... when ...,一…就…
have a class,[网络] 上课；学生上课
have classes, 上课
have a cold,患感冒
have a gift for,对...有天赋
have a go,un. 走到…身边；试一试；好好干一场
have a good time,过得快乐
have a great time,n. 玩得愉快
have a hand in,"插手..., 参加, 分担"
have a population of,无
have a say in,在…上有发言权
have a taste of, 领略
have a temperature,发烧
have a word with,和…说几句话
have an appetite for,爱好
have an effect on,"对…有影响;对…起作用,产生效果"
have an eye for,很能鉴赏
have an impact on,对…有影响
have a desire to do,无
have difficulty in,对…有困难
have faith in,"na. 相信
[网络] 信任；对……有信心；信仰"
have fun in,"玩得开心
有乐趣"
have fun with, 玩得开心
have to,"v. 必须；要；一定；应当
[网络] 不得不；需要；只索"
have got to, 必须; 不得不; 非得
have ... in common,"un. 没有共同之处；有某些共同之处
[网络] 共同点；与…有共通之处；有共同点"
have influence on,[网络] 对某物施加影响；对……产生影响；有影响
have an influence on,对...有影响
have something to do with,与...有点关系
have sth. on one's mind,惦记；挂在心上；为…担心，忧虑(某事)
have sth. in stock,无
have sth. to do,[网络] 不得不做某事；必须做某事；应该做什么事
have trouble doing sth.,[网络] 做某事有困难；做……有困难；做某事有麻烦
have trouble in doing sth.,无
have words with,和某人吵架
hear about,"听说,听到过"
hear of,"na. 听说；获悉；收到…的消息；知道
[网络] 听到；听说过；得悉"
heart and soul,na. 全心全意地
help oneself,自用
help oneself to,自用
help ... out,"v. 帮助…摆脱困境；救出；协助
[网络] 帮忙；帮助解决困难；帮助克服困难"
help sb. with,"v. 帮助
[网络] 帮助做；帮助做某事；帮忙某人做"
here you are,[口语]；我们(或你，你们)到了!；这就是我们(或你，你们)所要的东西。
hit on,"忽然想到,碰巧遇见,到达"
hit upon, 偶然发现
hold back,"na. 阻止；踌躇；隐瞒；抑制
[网络] 退缩；控制；退缩不前"
how about,[网络] 怎么样；如何；怎麽样
how far,"na. (离…)多远；到什么程度[范围]
[网络] 距离；有多远；多长距离"
how long,"conj. 多长时间
[网络] 多久；默然挥手；后浪"
hundreds of,"几百..., 许许多多..."
hunt for,搜寻
hurry into,(使)匆忙进入…; (使)赶快〔匆忙〕开始从事〔做〕…
hurry up,"na. 催促；赶快
[网络] 快点；赶紧；匆匆完成"
if only,"na. 只要；只要…；要是…就好  if possible 如果可能
[网络] 如果能再爱一次；要是……就好了；但愿"
if possible,如果可能的话
impress on,"v. 给…深刻印象；盖印于
[网络] 留下印象；给……印象；给…以深刻印象"
impress with,"v. 深深打动
[网络] 使铭记；因…获得好印象；对……印象深刻"
improve on,改进
improve upon,作出比…更好的东西;对…作出改进
in a dilemma,"陷入困境,处境尴尬,进退两难"
in a flash,"一刹那间, 瞬间, 即刻"
in a hurry,匆忙
in a rush,"急急忙忙地,匆匆地"
in a moment,立刻
in a nutshell,"简括地说, 一句话"
in a row,"成一长行, 连续, 一连串"
in a way,"在某种程度上, 稍稍"
in a whisper,"轻声地,窃窃私语地,嘀咕着"
in whispers,无
in a word,"na. “in a few words”的变体
[网络] 总之；简言之；总而言之"
in accordance with,"与...一致, 依照"
in addition,另外
in advance,"预先
[经] 预先"
in agreement with,"同意,与…一致"
in aid of,"为援助,以援救…"
in all,"总共
[经] 合计, 全部"
in amazement,"吃惊地,惊讶地"
in answer to,"回答, 响应"
in any case,无论如何
in appreciation of,"感激
欣赏"
in battle, 在战斗中，在战争中
in brief,"简言之, 以简洁的形式"
in case,"v. 装进箱,筒,鞘等容器内, 包"
in case of,"假设, 万一"
in cash,[经] 用现金
in celebration of,为庆祝...
in charge,"主管, 看管, 在...看管下"
in charge of,"负责..., 管理..., 主管..., 掌管..., 看管..., 在...掌管/看管之下"
in common,"un. 和…有共同之处；公有
[网络] 共同的；共有的；共用的"
in company,"a. 公司内部的, 内部作业的"
in comparison with,与...比较
in comparison to,"与…比较,与…相比"
in conclusion,"na. 最后
[网络] 总之；总而言之；最后总结"
in ... condition,"健康状况好, 保存得好"
in confidence,"na. 偷偷地
[网络] 暗中；秘密地；推心置腹地"
in contrast to,"与...形成对照, 而..."
in control,"na. 由…控制(住)
[网络] 控制中；控制狀态中；管理状态"
in control of,控制住
in danger,"na. 在危险中
[网络] 垂危；处于危险之中；处于危险中"
in debt,"un. 背上了债；负债；欠款
[网络] 欠债；欠债，欠情；欠著债"
in demand,"un. 要求；抢手
[网络] 有需求；销路好；非常需要的"
in detail,详细地
in disguise,乔装着
in effect,"有效
[法] 有效, 生效, 实际上"
in English, 用英语
in error,在出错状态
in exchange, [财]在兑换中
in existence,现有的；现存的；实际存在的；实有的
in the face of,面对
in fact,"na. 其实；总之
[网络] 事实上；实际上；I事实上我"
in favor of,"赞同, 有利于"
in force,"na. 大批地；有效
[网络] 现行；实施中；有效的"
in front,n. 盈方
in front of,在...前面
in future,[法] 将来
in general,大多数
in hand,"na. 现有；(工作)正在进行；控制住
[网络] 在掌握中；在进行中；在控制中"
in harmony,"n. 不和谐, 不调和, 冲突"
in harmony with,"与...协调, 与...一致"
in honor of,"为向…表示敬意,为庆祝…为纪念…"
in hospital,[网络] 在医院内；住院治疗；住院期间
in line,"un. 把话说死；排队；循规蹈矩；一列的
[网络] 成一直线；一致；排成一行"
in memory of,纪念...
in nature,"na. 现在存在；事实上；究竟
[网络] 本质上；性质上；实际上"
in need,"在急需时,在贫困时,在危难中"
in need of,"需要...时, 如果需要..."
in no case,决不
in no hurry,不慌不忙
in no time,立刻
in one's opinion,"na. 据某人意见
[网络] 在……看来；在某人看来；就某人看来"
in one's view, 依某人看来
in one's sight,[网络] 照某人的眼光看来；在视线内
in one's turn,轮到某人
in order,"整齐, 状况良好, 适宜"
in order that,"为了,以便"
in order to do sth., 俾
in other words,换句话说
in pairs,"成双地, 成对地"
in part,部分地
in particular,特别
in peace,"平静地,安静地,和睦地"
in person,"a. 亲自的, 亲身的；本人的; 现场的, 实况的"
in place,"na. 得其所；适当的
[网络] 在适当的位置；在合适的位置；适当地"
in place of,"代替
[法] 代替"
in possession of,"获得,弄到,佔有,佔领…"
in practice,"在实践中, 实际上, 熟练"
in praise of,为赞扬
in preference to,优先于...
in private,n. 隐私模式（IE8的一种模式）
in public,当众
in rags,"穿着破衣服,衣衫褴褛"
in reality,"实际上, 事实上"
in recognition of,[法] 为酬谢
in relief, 浮雕一般，鲜明地，显著地; 阳
in response to,"回答..., 响应..., 对...有反应
[法] 为响应, 答复"
in return,作为报答
in ruins,成为一片废墟
in search of,寻找
in season,"na. (水果等)正旺；当令；应时；时机正好的
[网络] 时鲜；旺季；是否在常规赛上场"
in shape,"un. 完全不；情况；模样
[网络] 处于良好状态；形状上"
in short,"简而言之
[法] 简言之"
in sight,"na. 看得见；“in/within sight”的变体
[网络] 内视；洞见；洞察力"
in silence,沉默着
in some case,[网络] 在某种情况下；在某些方面
in spite of,不管
in store,"贮藏着, 保存着, 准备着, 将要发生
[经] 存仓"
in sum,总言之
in support of,"支持, 支援"
in surprise,惊异地
in terms of,"用...的话, 根据, 按照, 在...方面
[法] 用...话, 以...措词, 按照"
in that case, 如果是那样的话
in the abstract,"抽象地, 理论上"
in the area of,在…方面
in the balance, 悬而未决，犹豫; 在危急状态中
in the beginning," 起初, 首先"
in the charge of,"由…保管,在…的率领下"
in the company of,在...陪同下
in the course of,"在...期间
[法] 在...过程中, 在...期间"
in the distance,在远处
in the end,"最后, 终于"
in the flesh,"na. 亲身；以肉体形式；活着的
[网络] 本人"
in the form of,以…形式
in the front of,在最前面; 在最重要的位置
in the future,"未来, 将来, 往后"
in the history of,无
in the hope of,怀着希望
in the least,丝毫
in the long run,"长远, 最后"
in the meantime,"同时;当其时,在其间"
in the middle of,"在...当中, 在...的中途, 在...中央"
in the mood for,"有…的兴致,想做…"
in the open air,在户外
in the way,挡道
in one's way,"挡道的, 妨碍人的, 使人不便的, (英)近在咫尺, 在场"
in the world,"(加强语气用)到底,究竟;其实"
in theory, 理论上
in this way,这样
in time,"na. 经过一段时间以后；早晚；在恰好的时候；和…合拍
[网络] 及时；钟点战；时间规划局"
in total,"总共, 总计
[经] 合计, 全部"
in trouble,"处于不幸中, 在监禁中"
in turn,"na. 挨次
[网络] 依次；轮流；反过来"
in use,"na. 正在用；通行；“in/out of use”的变体
[网络] 中；使用过；在使用中"
in vain,"na. 无益地；轻忽地
[网络] 徒然；徒劳；白白地"
in view of,"考虑到, 由于
[法] 鉴于"
in want of,"需要,缺少"
increase to,增长到…
infer from,从…中推导出
inferior to, 次于，劣于; 不如; 不及
insist on,"坚持, 坚决要求"
insist upon,"坚持(做)..., 坚决要求(做)..."
instead of,"na. 对某人很有用
[网络] 代替；替代；而不是"
join hands,"会战,合作,联合行动"
join in,"na. 参加；参与
[网络] 加入；招商加盟；诚邀每个人"
join the army, 参军; 当兵
join up,"参军, 联合起来"
jot down,"v. 草草记下
[网络] 匆匆记下；略记下；写下"
judge ... from ...,根据〔由〕…作出判断
judge ... by ...,根据〔由〕…作出判断
judging by,根据…来判断
judging from,根据…来判断
jump the queue,"插队, 获得优惠待遇"
just a minute,稍等一下；等一会儿!；慢着!别忙(我还有话说)!
just a moment, 等一会儿
just about,"几乎, 正是"
just now,刚刚
just so,正是如此
just then," 就在这时候, 那时候; 方才"
keep a record of,"记录,记载,把…记下来"
keep an eye on,"照看, 密切注视"
keep an eye out,"注视,注意,警惕"
keep an eye out for,留心〔注意〕某人〔某事物〕
keep at,"na. 纠缠；坚持地做
[网络] 继续做；坚持做；使不停地做"
keep away,"v. 避开
[网络] 让空；保持低调；小强打不死"
keep away from,(使)远离，(使)不接近；(使)不在
keep back,"na. 隐瞒；阻止；阻止向前；忍住
[网络] 留下；留在后面；保留"
keep fit,"保持健康,健身"
keep from ...,"na. 避开；禁止；抑制；隐瞒
[网络] 阻止；使免于；使…不"
keep ... from ...,"na. 避开；禁止；抑制；隐瞒
[网络] 阻止；使免于；使…不"
keep ... in mind,"na. 记在心里；记住；注意
[网络] 牢记；紧记；牢记在心"
keep in touch,[网络] 保持联络；保持联系；再联系
keep in touch with,与...保持联络
keep it up, 继续下去，不松劲
keep off,"让开, 不接近"
keep on doing,继续做某事；继续做
keep one's balance,保持平衡
keep one's eyes on,"注视,监视"
keep one's head,保持冷静
keep one's promise,遵守诺言
keep a promise,"遵守诺言, 履行诺言
[经] 守约"
keep one's word,守信
keep out of,"v. 置身事外；把…挡在…外
[网络] 躲开；置身…之外；使不进入"
keep pace with,"并驾齐驱, 齐头并进"
keep to,"v. 坚持；固守
[网络] 保持；遵守；遵循"
keep up,"na. 维持；保持；持续；停歇
[网络] 继续；坚持；继续下去"
keep up with,"跟上
[法] 追上, 跟上, 赶得上"
kick off,"n. 开球, 开始, 肇始"
kill off,"na. 消灭
[网络] 杀光；扼杀，否决；除去"
kill time,"n. 用来消磨时间的事情, 用来消遣的事情"
kind of,"na. 有点儿；有几分
[网络] 单位属性；用法小释"
knock about,"n. 武打戏的表演[演员]；结实的东西；狠斗；流浪汉
adj. 吵闹的；〈口〉流浪的；(衣服)结实的
[网络] 碰撞；漫游；闲逛"
knock around,"漫游; 四处走动; 殴打; 在肉体〔精神〕上虐待; 接连打击, 毁坏; 活着; 放着无人理睬"
know about,"知道,了解,听说过…"
know of,"知道,了解,听说过…"
know ... by heart,[网络] 记在心中；能背上来
know ... from ...,"v. 辨识；区别
[网络] 区别于；区分；分辨"
lack of, 缺乏
land on one's feet,[网络] 安全摆脱困境
last but not least,最后但并不是最不重要的(一点)
later on,稍后
laugh at,"嘲笑, 漠视, 因...发笑"
laugh one's head off,狂笑
lay aside,"na. 保存；放在一边；丢弃；留着
[网络] 储蓄；搁置；把…放在一边"
lay down,"v. 躺下；不反抗；屈服；顺从
[网络] 放下；制定；规定"
lay off,"n. 解雇, (临时)解雇期, 关闭, 停歇
[经] 临时解雇, 停止工作, 休息"
lay out,"n. 布局, 陈列, 规划图, 页面布局, 版面编排
[计] 页面布局, 版面"
lay up,"贮存, 搁置, 卧床
[经] 贮存, 储蓄, 暂停使用"
lead a ... life,"过活,过日子"
lead the way,"带路, 示范"
lead to,"导致, 通向"
