speak to,"对...说话, 说到, 责备, 证明"
the Bund, 外滩（上海）; [电影]外滩佚事
famous,"a. 出名的, 极好的"
town,"n. 城镇，市镇；市内商业区
n. (Town)人名；(英)汤"
dream,"vi. 梦想；做梦，梦见；想到
n. 梦想，愿望；梦
vt. 梦想；做梦；想到
adj. 梦的；理想的；不切实际的"
tour guide,"旅游向导,导游"
travel around the world,"na. 作环球旅行
[网络] 周游世界；环游世界；环球旅游"
land,表示：u201c某种质量的土地u201d：grassland; u201c特定的地方或境界u201d：fairyland
go to college, 上大学
join,"vi. 参加, 结合, 加入
vt. 连接, 结合, 参加, 加入
n. 连接, 结合, 接合点
[计] 连接; 汇合指令"
the National Team,无
study,"n. 学习, 研究, 学科, 论文, 求学, 书房, 试作
vt. 学习, 读书, 研究, 考虑, 计划
vi. 学习, 思索"
come true,"实现, 成为事实"
hard,"a. 坚硬的, 硬的, 难的, 艰苦的, 困难的, 坚固的, 猛烈的, 艰难的, 结实的, 确实的
adv. 坚硬地, 努力地, 辛苦地, 接近地, 猛烈地, 牢固地"
from now on,从现在开始
one day,有一天
maybe, 也许，可能
believe,"vi. 信任；料想；笃信宗教
vt. 相信；认为；信任"
