find out,"na. 查出；发现；看清…的面目；识破
[网络] 查明；找出；了解"
lay out,"n. 布局, 陈列, 规划图, 页面布局, 版面编排
[计] 页面布局, 版面"
keep an eye out for,留心〔注意〕某人〔某事物〕
bring about,"na. 造成；带来；【航】(使船)回转
[网络] 引起；导致；产生"
in question,"正被讨论, 可怀疑
[法] 正被谈论的, 成问题的, 被争论"
be under way, 进行中
in the first place,首先
get on well with, 与…相处融洽
by accident,偶然
in the face of,面对
wear off,"逐渐减弱, 消失, 磨损, 耗损"
in short,"简而言之
[法] 简言之"
arise from,"从…中产生,由…而引起"
be incapable of,不能
in a word,"na. “in a few words”的变体
[网络] 总之；简言之；总而言之"
succeed in sth.,在...方面成功
respond to,"答复,响应,对…作出反应"
serve on,为成员
divide into,"把…划分成,分成"
of necessity,必然地
glare at,怒视
for example,"na. 例如
[网络] 举例；比如；譬如"
look for,"寻找, 期待"
turn around,"na. 转身；〈美〉使向好的方向转变
[网络] 回转；转过身；转过来"
invite ... to,邀请(某人)参加
instead of,"na. 对某人很有用
[网络] 代替；替代；而不是"
in part,部分地
be designed to,[网络] 被设计用于做；目的是；被设计作
insure against,给...保险
move on,"na. 继续前进；不停地向前走；〔交通警察命令〕向前!
[网络] 慕风；继续前进协会；木木"
a group of,"一组,一队,一群,一伙,一批…"
make a profit,"获利,得益,赚钱"
consent to,"同意, 答应"
in the midst of,在...之中
in fashion,"时髦,流行,合潮流"
rip off,"v. 剥削；抢劫；强奸；〈俚〉剽窃
[网络] 宰客；宰人；撕掉"
for instance,n. [美国口语]例子
account to,向(某人)报账
embody in,在…体现; 使具体化
under stress,"应力不足, 加压不足"
come true,"实现, 成为事实"
thousands of,"成千上万,数千,许许多多"
accord with,"与...符合, 与...一致"
stand for,"代表, 代替, 象征, 支持, 担任...的候选人
[法] 代替, 代表, 拥护"
think of,"考虑, 关心, 想起, 记起, 想像, 有...的看法"
brand ... as,标以…记号(指恶名)，给…加上…的污名；给(商品)加上…商标
identify with, 认为…等同于; 觉得与…有联系; 支持; 同情（某人）
be entitled to,[法] 有资格或权利...
in addition,另外
be grateful for, 感恩戴德
think back, 回想
engage with,交战
have nothing to do with,与...无关
return the favor, 回报，报答
return a favor,无
be applicable to,(适)用于
line up,"n. 一排人; 一组人; （用途相同的）一批东西; （比赛时）球员的阵容
v. 排成行, 排成直线"
go through with,完成
make fun of,取笑
make efforts to,n. 努力，下功夫
make an effort to,努力
in touch with, 与…保持联络
nothing more than,不过是...
rather than,"na. 而不
[网络] 而不是；而非；宁愿"
without question,毫无疑问
stake out,"na. “stake off”的变体
[网络] 立桩标出；放样；监视"
relate to,"na. 有关联；与…有关；理解
[网络] 涉及；与…有联系；与……有关联"
place a burden on,无
tens of thousands of, 千百万; 千千万万; 成千上万
hundreds of millions of,无
pray for,"v. 祈求
[网络] 祈祷；为…而祈祷；为求得…而祈祷"
invest in,"投资于, 买进"
be eager to,"盼望,渴望"
come into one's own,"得到自己该得的东西, 盛行起来
[法] 得到自己应得的东西, 继承"
keep track of,了解
clean up,"na. 收拾干净；【机械工程】改正；〔俚语〕赚厚利
[网络] 打扫；打扫干净；清除"
open up,"展开, 给...开刀, 打开, 开发, 开办, 展示, 开始
[法] 吐露真情"
part of,"adj. 部分
[网络] 半数；部分的；部分整体关系"
common sense,"a. 有常识的, 一望而知的, 明明白白的"
from the outset,从一开始
in favor of,"赞同, 有利于"
be seen to be,无
or else,否则
talk of,"[法] 谈到, 说到, 说及"
turn off,"关掉, 卖掉, 使转变方向, 解雇, 生产, 制造, 车削成, 使厌烦, 拐弯, 变成"
attempt to, 尝试，企图; 试图做某事
look inside, 往里看
in depth,"na. 广泛
[网络] 深入地；全面深入地；深入的"
so that,"如此…以致…；以致…, 结果是…；以便"
work for,"为…工作,致力于…"
come to fruition,"实现,完成"
in exchange, [财]在兑换中
in exchange for,交换
be interested in,对…很感兴趣
set limits on,无
lean towards,"朝…倾斜,倾向于…"
as a result,因此;结果
vary from ... to ...,无
shrug off,"na. (耸肩)表示轻蔑[不屑]；摆脱；扭身脱掉(衣服)
[网络] 耸肩表示对…不屑理睬；对…不屑一顾；对……满不在乎"
not long ago,不久前
remove from,从...除去
rest on,n. 莱斯顿（姓）；雷斯顿（美国、加拿大、英国地名）
keep ... away from,(使)远离，(使)不接近；(使)不在
with confidence,满怀信心地
appear to, 似乎，好像
provide sth. for sb.,"v. 为…作准备
[网络] 为…提供；供养；赡养"
be expected to, 被期待做某事; 有望做某事; 期许
pledge to,无
substitute for,"代替…,替换…,取代…"
wait for,"na. 等；等待
[网络] 等候；动作上的等待；等待某人"
draw attention to,"un. 促使…注意
[网络] 对……表示注意；吸引对……的注意；吸引注意力"
draw sb.'s attention to,无
none of ...,千万别…
decide to,[网络] 决定；决定去做；决定要
in the long term,长远地
break up,"打碎, 破碎, 分裂, 分解, 驱散, 结束, 衰退, 衰落, 变坏"
be hostile to,对...有敌意
be hostile towards,无
be linked to,与...连接
be packed with,"挤满..., 装满..., 塞满..."
in addition to,"另外, 加之, 除…之外还"
be apt to,倾向于
assign sb. to sth.,"un. 指定(时间、地点)；提出(理由等)；分配；分给…用
[网络] 指派；选派；分配给"
assign sb. to do sth.,无
stick with, 继续做; 跟着…; 插满
tease out,"na. (将纠缠在一起的东西)整理；得出
[网络] 梳理；哄取；挑出"
rise above,升到…之上; 超越…; 克服; 沾沾自喜
wipe out,"na. 擦去；【无线】遮蔽；遮蔽地域；【信】封闭
[网络] 消灭；彻底摧毁；消灭，毁灭"
strip sb. of sth.,"un. 剥去；剥掉；剥夺；失去
[网络] 除去"
come to terms with,"与…达成协议,慢慢习惯"
place emphasis on,"强调,重视,着重于…"
put emphasis on,强调；着重于；强调；着重在，重视
side with,"同意, 站在...的一边"
look after,"目送, 照顾, 关心"
rush to, （使某人）急速去; 奔; 奔赴
set off,"出发, 开始, 引起, 衬托, 点缀, 抵销, 分开, 划分
[法] 抵销"
flee to,逃至
out of line,"na. 不一致；不成一直线
[网络] 出格；过分；越界"
with the exception of,"除...以外
[法] 除...外"
lay off,"n. 解雇, (临时)解雇期, 关闭, 停歇
[经] 临时解雇, 停止工作, 休息"
set back,"na. 阻碍；延迟；〈非正式〉花费
[网络] 推迟；推迟，延缓；使退步"
be born with,"生来就有…,有…天赋"
no less than,正如
in such a case,在这种情况下
all the more so,"更加如此,尤其这样"
be accessible to,"可以进入,拿得到,对…开放,易受…影响"
in essence,"na. 本质上；大体上
[网络] 本质生活"
cling to,"依附, 依靠, 坚持"
do harm to, 损害。。。，伤害。。。; 残害
make it,（病痛等）好转；达到预定目标；及时抵达；走完路程
for the better,"转好,变好,改善"
for fear of,"害怕,恐怕,生怕,唯恐,以防"
for fear that, 唯恐，害怕; 生恐; 惟恐; 生怕
take control of,"控制,掌管"
bear on,"使难以承受负荷, 有关, 瞄准
[法] 施力压力, 有关系, 有影响"
bear upon,"使难以承受负荷, 有关, 瞄准"
flag up,adj. (出租汽车司机)不启动出租车计程器的
in need of,"需要...时, 如果需要..."
turn on,"na. 转向；对…进行突击
[网络] 打开；接通；开启"
in the meantime,"同时;当其时,在其间"
participate in,"参加, 参与, 分享"
apply to,抹；涂；把...应用于
out of necessity,出于需要，必定
manage to, 达成，设法
leave behind,"na. 遗留；留下；追过；留在后头
[网络] 超过；落后；丢弃"
on the one hand,na. 一方面
on the other hand,另一方面
correlate with,与…相关
concern for, 为…担心
at a time,"每次, 在某时"
in place,"na. 得其所；适当的
[网络] 在适当的位置；在合适的位置；适当地"
differentiate ... from ...,指出〔显示〕出…与…有区别
correspond to,"相当于..., 与...相对应"
split up, <非正>瓜分; 劈成; （使）分成若干小部分; <非正>（使）断绝关系
keep to,"v. 坚持；固守
[网络] 保持；遵守；遵循"
at night,在晚上
in silence,沉默着
fend off,"na. 挡开；避开(灾祸等)
[网络] 挡回；抵御；垫开"
be another matter,无
prove to be, 成为
the hard way,"na. 用笨法
[网络] 小生当差；桃李飘零；艰难"
a kind of,"一种,一类"
in total,"总共, 总计
[经] 合计, 全部"
compensate for,赔偿
need to,需要；需要做
be biased against,"na. 对…抱有偏见
[网络] 对……有偏见"
be biased towards,无
pop into,急急走进…
for sale,"na. 出售(的)
[网络] 待售；供出售；出售的"
work against,对…不利
wake up,"na. 同“wake”；叫醒；醒来；振作起来
[网络] 唤醒；起床；醒醒"
at first,起先，首先；最初
at the same time,"同时, 但是"
cannot but,"不得不, 不能不"
cannot help, 不得不
cannot help but,"adv. 不得不
[网络] 禁不住；原形；考生之家"
be better off,境况好
be better off doing,无
classify ... into ...,无
cast light on sth.,"使显得非常清楚, 阐明, 使人了解"
shed light on sth.,"为...提供线索, 对...透露情况, 使...清楚地显出, 阐明..."
throw light on sth.,"照亮,阐明,使理解,启迪"
above average,"adj. 异乎寻常的
[网络] 高于平均水平；平均以上；超过平均水平"
be cautious about,无
give away,"na. 赠送；分发；放弃；露马脚
[网络] 泄露；出卖；分送"
proceed to,进入...
or so,"un. 与其说…不如说…；大约
[网络] 职业退休计划(Occupational Retirement Scheme Ordinance)；职业退休计划保障；公积金"
depart from, 离开…; 背离，违背
amount to,"[经] 等于, 相当于"
insist on,"坚持, 坚决要求"
deal with,"安排, 处理, 涉及, 做生意"
peculiar to, 是…特有的
do one's utmost,竭力
try one's utmost, 竭力尽全力; 竭尽心力
be independent of,"独立于...之外, 不受...支配, 与...无关, 不依赖..."
provide ... with sth.,"v. 供给；供应
[网络] 提供；给…提供；以…装备"
body of,[网络] 胆囊体
come along,"na. 进步；同意；一道来；请过来
[网络] 出现；进展；快点"
be concerned with,"涉及..., 与...有关"
by chance,"偶然, 也许"
struggle against,与…进行斗争
struggle to,[网络] 竞争；救援人员今早奋力；斗争
take turns,"轮流, 依次"
roll out,"铺开, 洪亮地讲出
[电] 滚出"
be full of,充满
prefer to,"un. 较喜欢；宁愿:
[网络] 更喜欢；宁可；倾向于"
offer up, 献上
make the most of,尽量利用
in principle,"原则上, 大体上"
outside of,"在...的外面, 超出...的范围, 除了...之外"
connect to, 使与…连接; 使与…接通电话
receptive to,[网络] 乐於接受的
second only to,仅次于
be second only to,无
middle ground,"na. “middle distance”的变体；中间立场
[网络] 中景"
take a stand,採取某种立场
take one's stand,在…的位置；在…上站岗；站在…的立场；以…为根据
take a stand on sth.,对…采取坚定的立场(或政策、姿态等)
take one's stand on sth.,无
hail from,来自
at work,"na. 做着；在做活；起着作用；运转中
[网络] 在工作；仲介；忙于"
lead to,"导致, 通向"
keep ... from doing sth.,[网络] 避免做；避免做某事；从某事中停下来
all of a sudden,突然
evolve from,由...进化
a few,"na. 几个；的确；〈俚〉一点点
[网络] 一些；有些；某些"
work with,"与…共事,与…协作"
press on,"na. 向前挤；坚决推进；“press ahead”的变体
[网络] 加紧赶路；加紧进行；压迫"
press ahead,"推进,挺进,勇勐前进,奋勇前进"
press forward,奋力向前
press on with,"加紧, 决心继续"
press ahead with,[网络] 加紧进行；推行；推进
press forward with,无
have an impact on,对…有影响
have an impact upon,"对…有影响;对…起作用,产生效果"
be possible to,[网络] 做得到的；有可能
rein in,"na. 勒住(马)；控制
[网络] 抑制；放慢；约束"
seize on,"抓住, 占有"
seize upon,"抓住,利用"
persuade sb. into sth.,劝某人做某事
persuade sb. into doing sth.,无
not to mention,不必提及
be necessary to,"na. 为…所必要
[网络] 对…有必要；对…有须要"
a bit,abbr. 巴西纺织工业同业公会（Brazilian Textile and Apparel Industry Association）；升技电脑公司（世界知名主板市场厂商）
seek ... from,从…中寻找〔找到〕
make sense,有意义
be vulnerable to,易受...的伤害
out of control,"na. 失去控制
[网络] 失控；不在管制状态下；在控制中"
in front of,在...前面
look down on,"轻视, 看不起"
disagree about sth.,"不同意,对…持有异议"
disagree on sth.,[网络] 众议纷纭；对…持有不同看法；众议纷坛
be unfamiliar with,"不熟悉…,对…很陌生"
arrive at,"到达, 达到"
arrive in,"到达,抵达,来到"
take over,"na. 接管；继承
[网络] 接收；接任；接替"
take effort,无
be about to,即将
lure sb. into sth.,引诱(某人或某动物)进入(某处); 诱骗(某人)(做某事)
lure sb. into doing sth.,无
tell apart,辨别；将……区分开
sum up,"计算...的总数, 概括, 总结
[法] 总结, 概述"
be disappointed at,对…感到失望
feel disappointed at,无
in the form of,以…形式
decide on,"决定,选定,确定…"
decide upon,对…作出决定[决议]
in the end,"最后, 终于"
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
in dispute,在争论中
be essential to,对…必要的
let rip," （非正式）全力以赴, 无拘无束行事, 自由自在地行动"
after all,adv. 毕竟；终究
comply with,照做
be suspicious of,怀疑
be suspicious about,"对…怀疑,怀疑…"
ascribe ... to,"v. 把…归于
[网络] 归因于；归咎于；归功于"
aim for, 计划， 打算
aim at,"v. 目的在于
[网络] 瞄准；针对；旨在"
as a whole,总体上
filter out,[化] 滤出
as opposed to,"完全不同, 截然相反, 反对, 对照"
have confidence in,"信任,信赖 in confidence 秘密地,私下,暗中"
tax on,abbr. taxonomic；taxonomy
relative to,"相对于, 涉及
[计] 相对于"
be relative to,"与...有关, 与...成比例/相应"
such as,"un. 像；例如；象…这样；诸如…之类
[网络] 三千石地产；三千石地产有限公司"
react to,作出反应
drop back to,无
go against,"反对, 违反, 不利于"
make the best of,充分利用
by all means,"na. 必定；千方百计；不惜一切；好的
[网络] 务必；一定；无论如何"
be bound to do sth.,[网络] 注定；一定会做某事；必然
keep away,"v. 避开
[网络] 让空；保持低调；小强打不死"
keep away from,(使)远离，(使)不接近；(使)不在
along with,"与…一道,与…一起,连同…"
at large,"未被捕, 详尽, 普遍
[法] 未被捕的, 逍遥法外的, 详尽的"
in detail,详细地
lose faith in,不再信任
under fire,"na. 在炮火下；受到攻击；在弹雨下
[网络] 欠火的；自下燃烧；搧风点火"
work out,"v. 作出；拟定；制定；计划一下
[网络] 算出；解决；制定出"
adapt to,适应…;适合…
look at,"na. 看；考虑
[网络] 看着；注视；瞧"
be representative of,"代表..., 表现..., 是...的典型"
on that count,无
function as,起…作用
eligible for sth.,适宜于；有…的资格的，合格的
be eligible for sth.,"适合…,有资格…"
be qualified to, 能胜任…
free from,"na. 无…的
[网络] 不受…影响的；免于；没有"
sign on,"[计] 开始指令
[经] 开始(指令)"
at times,"有时, 不时"
come out,"到边远地区来, 出现, 露出, 出版, 罢工, 结果是, 褪去, 被解出, 宣布"
be parallel with,"与...同时, 随着..., 与...比较, 与...相应, 与...并联"
be parallel to,"与...平行, 与...类似"
try to do sth., 试着做某事; 尽力做某事
kick out,"na. 踢出；解雇；踢足球出界
[网络] 逐出；把球踢出界；开除"
talk about,"na. 讲(某事)
[网络] 谈论；心语；同本义"
be reluctant to do sth.,无
emigrate to,迁居到
sort out,"na. 清理
[网络] 分类；整理；解决"
knock off,"na. 敲落；中止(工作)；即席作(诗文等)；减低(价格)
[网络] 下班；停工；打落"
worry about,"焦虑..., 为...而操心/担心"
up to,"na. 到；干(着)；适于；…的责任
[网络] 高达；一直到；轮到"
by default,"因对方缺席,在对方缺席的情况下"
turn over,"打翻, 营业额达到, 周转, 移交给, 翻阅, 反复考虑, 翻身
[法] 移交, 交付, 让渡"
for use,[网络] 以便使用；用途；供使用
bring forth,生(孩子)；开(花)；结(果)；产生；宣布，公布，提出，显示；引起
attribute to,"na. 认为(成功)是(努力)的结果
[网络] 归因于；把…归因于；归咎于"
see ... as,[网络] 视…为；看作；看作为
perceive ... as,[网络] 认为；视为；当作
compete with,与…竞争
come down,"下来, 下跌, 落泊, 流传下来, 捐钱, 反对"
jump at,欣然接受
pay attention to,注意
listen to,听
be licensed to,被许可…
be obliged to, 不得不; 只得; 必须
guard against,"预防,使提防"
to come,"n. 将来
[网络] 到来；即将到来"
turn out,"打扫, 驱逐, 使外歪, 生产, 制造, 培养出, 翻出, 关掉, 装饰, 出动, 起床, 结果是
[法] 逐出, 驱逐, 结果"
let alone,"na. 任随；更不用说；放任；莫说…(连)
[网络] 更别提；更不必说；不管"
half of,无
come to mind,[网络] 想到；出现在脑海中；想起
promise to,[网络] 许诺做；承诺；给自己承诺
out of style,na. 没有样子；“in/out of style”的变体
renege on,[网络] 食言；违背；违约
for my part,"就我而言, 对我来说"
for the best,出于好意
evolve into,"进化成,渐渐发展成"
suck in,"na. 吸进去；吸收(知识)；(漩涡等)卷进去
[网络] 痧氪喑"
exclusive to, 专为…所独有
take up,"拿起, 开始从事, 继续, 接纳, 吸收, 占据, 拘捕, 承兑, 认购, 绷紧
[经] 付清, 承兑(汇票), 认购(债券等)"
look back,"na. 回顾；回头看；追想 (to；upon)；(对事业等)不起劲
[网络] 回环；同本义；追忆"
lack of, 缺乏
approve of,"赞成,批准…"
weigh in,"称重量, 参加
[法] 参加, 介入"
call out,"召唤...行动, 唤起, 大声叫唤"
no exception,[网络] 没有例外；无一例外；不例外
set out,"出发, 开始, 陈列, 宣布, 陈述, 栽种, 设计...的布局, 测定
[法] 发表, 宣布, 打算"
speed up,"加速
[经] 加速"
fit in, 有地方容纳; 有时间从事（某事）; 有时间接待（某人）; 相处融洽
in a dilemma,"陷入困境,处境尴尬,进退两难"
in charge,"主管, 看管, 在...看管下"
day by day,adj. 每天的
in the name of,"以...的名义
[法] 假借...名义, 以...的名义, 代表..."
by the name of,名叫...
infuse sb. with sth.,灌输
infuse sth. with sth.,灌输
be susceptible to,"易患..., 对...敏感"
be sympathetic to,无
become sympathetic to,无
give priority to,"给…以优先权,优先考虑…"
detect ... from ...,从…中发现
do damage to ...,"损害,破坏"
get together,"adj. 协议的；会商的；大群人的
n. 会商；〈美〉联欢会；集会
[网络] 聚会；聚集；聚一聚"
revolve around," 旋转, 绕转; 环绕"
catch one's attention,无
gaze into,无
lose one's job, 失业; 丢饭碗
all too often,时常，经常是
be hailed as ...,[网络] 被当作；被誉为；被一致认为
push sb. too far,无
at the moment,此刻
at the speed of,以…的速度
similar to,"v. 与…类似
[网络] 相似；与……相似；与……类似"
differentiate between A and B,把(甲)和(乙)区别/分开来
rely on,"v. 依靠；信赖
[网络] 依赖；同本义；凭借"
by the end of,"到…结束的时候,到…末"
register for,"登记参加,报名参加"
be dominant over,无
doze off,不知不觉地睡着了
pin down,"na. 强迫(人)承认[履行]条约；用…束缚住；阻止；牵制
[网络] 确定；压制；使受约束"
at that point, 就在那时
empower sb. to do sth.,无
be prone to,"有...的倾向, 易于"
devote to, 把…专用于，完全用于（某事或做某事）; 致力于…; 务; 倾注
in advance,"预先
[经] 预先"
far beyond,[网络] 是远远超过的意思；融解的速度远超过；大大超越
point out,"na. 指出
[网络] 指明；说明；指示"
be enthusiastic about,对…热心
put an end to,"结束, 终止"
sit for the bar,无
put on,"把...放上去, 穿上, 假装, 增加, 上演, 使...上场, 使起作用, 施加于"
be put on hold,[网络] 暂停；搁置；被叫停
come with," 伴随…发生, 与…一起供给"
value in,无
lose control of,失控
in prison,"na. 在狱中
[网络] 坐牢；在坐牢；在监狱里"
make up for,"补偿,弥补"
a string of,n. 一串的，一系列，一批; 一连串
be willing to,愿意(做)...
most often,adj. 常常( often的最高级 ); 经常; 时常; 在大多数情况下
be confronted with,面临
be afraid to,害怕
make conversation,"对话,谈话;没话找话,闲扯"
show sympathy for,无
take ... for granted,[法] 认为当然
most of,"大多数,大部分"
at all,"na. 全然；既然
[网络] 根本；究竟；丝毫"
weigh down,"na. 使负重担；压迫
[网络] 压倒；使…负重担；沉重地压在心头"
follow the example of,学习…的榜样
go away,"na. 离开；带走
[网络] 走开；离去；消失"
as a means of,作为…的工具；作为…的方法
around the clock,adj. 连续二十四小时的(昼夜不停的)
be serious about, 对…是认真的，认真对待
search for,搜查
lean on,"na. 靠在；倚赖；【军】据险(固守)
[网络] 依靠；依赖；倚靠"
in reality,"实际上, 事实上"
quick fix,"n. 权宜之计
[网络] 快速治疗者；快速答案；速效办法"
in conjunction with,与...协力
look up to," 抬头看（某人或某物）, 尊重[敬仰]（某人）; 企慕; 瞧得起; 仰慕"
a big deal,要人
switch to,"切换到
[计] 切换到"
volunteer to,[网络] 志愿提出某事；自愿去；V自愿从事
for good,"永久地, 永远地, 一劳永逸地"
cater to,迎合
a piece of cake,轻松的事
get rid of,"摆脱, 除去"
on average, 平均起来
other than,(人、物等)不同于…
escape from,逃脱
bring back,"na. 送回；使恢复；使回忆起
[网络] 拿回来；带回；带回来"
fall short, 缺乏; 不足; 达不到（目标）; 不符合
thirst for,"渴望, 热望"
to the effect that,"大意是, 以便"
take measures,採用措施
offer to,[网络] 提供；提出；愿意
in the wake of,"尾随, 紧跟, 仿效"
cast doubt on,"引起对...的怀疑, 使人们不相信..."
leave sb. in the dark,[网络] 留在黑暗中
hand out,"n. 施舍物, 救济品, 分发的印刷品资料, 广告物品"
not ... until,直到...才...
die of,"死于…,因…而死"
press forward,奋力向前
live with, 与…一起生活; 与（异性）同居; 学会去适应; 接受并忍受
owing to,"由于..., 因为..."
be meant to,"有意要,打算"
in so far as,"在...的限度内, 在...的范围内, 到如此程度"
be generous to,无
be popular with,为...所喜欢
emerge from,从…出现
look into,"窥视, 浏览, 观察
[法] 调查"
pay for,付...款
keep an eye on,"照看, 密切注视"
to say the least,退一步说
come across,偶遇
at the start of,[网络] 在…开始的时候；在……的开始；在---的开端
want to,"na. 应该
[网络] 绵阳；用法；想要做"
known as," 被称为, 公认为"
be known as,被认为是
in some cases, 在某些情况下; 有时候
pile into,"挤入, 进入"
stand out,"na. 突出；显眼；不参加战争；抵抗到底
[网络] 突出量；才华出众的人；杰出人才"
at the beginning of,在…刚开始的时候
send out,"na. “send forth”的变体
[网络] 发出；派遣；发送"
reflect on,"深思, 反省, 导致, 招致非议"
a lot of,许多的
boot up,"un. 启动；自举；引导；使系统开始工作
[网络] 启动磁盘；引导程序"
in the manner of,"以…方式,按照,根据…"
pose sth. to,无
enter into,"进入, 参加, 成为...一部分, 讨论, 研讨, 体谅, 分享
[法] 进入, 参加, 缔结"
a list of,"一列, 一栏"
at the brink of,[网络] 濒临……边缘
apply for,"申请,请求,要求…"
with ease,"容易, 不费力"
on the charge of,以…之罪
be inferior to,"劣于..., 比...差"
for the benefit of,为…的利益 ; 为惩戒…
all in all,"总而言之, 合计, 头等重要的东西"
in the absence of,"无…时,缺少…时"
take hold,adj. [美国口语] =take-charge
regardless of,"不注意, 不关心"
eat up,"吃光, 耗尽, 吞灭"
ban ... from,禁止
by all accounts,据大家所说
learn from,向...学习
solution to, 解决方法
in need,"在急需时,在贫困时,在危难中"
dedicate to,献身
on campus,"na. 在校内
[网络] 住在校内；对校园；校内居住"
mess up,"na. 搞砸；弄糟；弄脏；弄乱
[网络] 搞糟；陷入困境；把…弄糟"
tempt sb. into sth.,无
tempt sb. into doing sth.,无
would rather,"倒愿意…,宁愿…"
work at,解(题)
work on,"继续工作, 设法说服, 影响"
make progress,取得进步/展
differ from,不同
put up with,"忍受, 容忍
[法] 容忍"
hundreds of,"几百..., 许许多多..."
look to,"照看, 注意, 指望"
in the future,"未来, 将来, 往后"
on account of,由于
do with,"与...相处, 忍受, 对付"
in the way of,在…方面;在…过程中;作为…;阻碍…
be going to,将要；打算
be busy doing sth.,忙于(做)...
an array of,"一排,一大批…"
in place of,"代替
[法] 代替"
go along with,"陪...一起去, 赞同, 附和"
refrain from,"忍住, 节制, 戒除"
look out of,从…向外看
in one way,"在某点上, 在某种程度上, 有几分, 稍微"
research into,"探究, 调查"
to the letter,"严格按照字句, 不择不扣地"
take a page from,无
for the long term,无
ask for,"na. 要(价)；来找
[网络] 请求；要求；要求得到"
in conclusion,"na. 最后
[网络] 总之；总而言之；最后总结"
adjust to,[计] 调整至
be able to,"能, 会"
at the very least,"至少, 起码, 无论如何"
as soon as,一...就
bound for,"adj. 驶往…的
[网络] 开往；飞往；开往……的"
in the case of,在...的情况
give up,"放弃, 停止, 献出, 抛弃, 认输, 把...送交
[法] 放弃, 停止, 把...送交"
go off,"离开, 去世, 消失, 爆炸, 被发射, 变质, 进行, 睡去, 卖掉"
write off,"na. 注销(债款等)；报废；提笔就写(文章等)；减低资产账面额
[网络] 勾销；取消；冲销"
embed ... in,使牢牢嵌入
faint praise,无
compare to, 把…比作， 喻为; 与…相比
something wrong with,"在…方面有问题,…出了毛病"
grow up,"na. 长大
[网络] 成长；长大成人；成年"
set up,"n. 装备, 组织, 计划, 机构, 调整, 设置
[计] 准备; 安排; 建立"
slow down,"n. 降低速度, 减速"
be different from,"与…不同,和…不一样"
prevent ... from,"vt. 阻止, 制止"
by no means,决不
think about,"考虑, 回想"
relieve of,"v. 解除
[网络] 减轻；消除；减轻……的"
take advantage of,"v. 利用
 欺骗, 占…的便宜"
scrape through,勉强通过
buy into,出钱入(某组织或企业)
pay a price for,无
billions of, 数以亿计的；亿万
millions of,"成千上万的..., 无数的..."
beside the point,"离题, 不中肯"
at once,na. 立刻；同时
persuade sb. to do sth.,无
a growing number of,无
knock out,"n. (拳击)击倒对方, 被击倒, 击倒, (非正式)令人倾慕的人/物, 轰动的事物
a. 击倒的, 引人注目的, 轰动的, 使昏迷的"
be comparable to,"与...可比较的, 比得上...的"
contrary to,与…相反
link A to B,无
protect ... from,保护
plunge into,"投入, 跳入"
immune to, 对…免疫; 不受…感染; 不受影响的
be immune to,"对...有免疫力, 可避免..., 不受...的影响"
be worse off,比以前更穷〔不愉快、不健康〕
sign up,"签约参加工作, 签约雇用"
sign up for, 注册，选课；报名参加
cooperate with,与...合作
do away with,"废除, 弄死"
fall asleep,"入睡, 长眠, 懈怠, 静止不动"
make ends meet,"量入为出,使收支相抵"
