abide,"vi.坚持,遵守;vt.忍受,容忍"
brook,n.小溪vt.容忍
broom,"n.扫帚,[植]金雀花vt.扫除"
bruise,"n.瘀伤,擦伤v.打伤,撞伤"
brush,"n.刷子,毛刷,画笔vt.刷,掸,拂"
bubble,"n.泡沫,幻想的计划vi.起泡,潺潺的流"
bucket,"n.桶,一桶的量,[桶壮物]铲斗"
buddha,n.佛
budget,"n.预算vi.做预算,编入预算"
bug,"n.小虫,臭虫,缺陷,错误;v.装置窃昕器,打扰"
bugle,"n.喇叭,军号"
bulb,"n.鳞茎,球形物"
bulk,"n.大小,体积,大批,大多数,散装vt.显得大,显得重要,"
bull,"n.[动]公牛,粗壮如牛的人"
bulletin,"n.公告,报告"
bump,"n.撞击,肿块v.碰(伤),撞(破),颠簸"
lump,"n.块(尤指小块),肿块,笨人vt.使成块状,混在一起,忍耐,笨重地移动vi.结块"
plump,"adj.圆胖的,丰满的,鼓起的vt.突然放下,使丰满,使鼓起vi.变丰满,鼓起adv.使发胖(或鼓起)的东西,鼓鳃物,沉重(或突然)坠落,沉重地,突然地,坦白地n.扑通声"
pump,"n.泵,抽水机vt.(用泵)抽(水),抽吸"
dump,"vt.倾倒(垃圾),倾卸n.堆存处"
bunch,"n.串,束v.捆成一束"
burden,"n.担子,负担v.负担"
bureau,"n.办公桌,衣柜 <美>局,办公署"
burglar,n.夜贼
burn,"v.烧,烧焦,点(灯),使感觉烧热n.烧伤,灼伤"
burst,"v.爆裂,炸破,急于,爆发n.突然破裂,爆发,脉冲"
bury,"vt.埋葬,掩埋,隐藏"
bush,"n.矮树丛,(机械)衬套"
butcher,"n.屠夫,屠户vt.屠宰,屠杀"
butt,"n.粗大的一端,靶垛,笑柄v.以头抵撞,碰撞"
button,"n.钮扣,[计]按钮v.扣住,扣紧"
buzz,"n.嗡嗡声v.作嗡嗡声,嗡嗡作响,逼近"
bypass,"n.旁路vt.设旁路,迂回"
by-product,
cabbage,"n.[植]甘蓝,卷心菜"
cabin,"n.小屋,船舱"
cabinet,"n.(有抽屉或格子的)橱柜,<美>内阁adj.<美>内阁的,小巧的"
cable,"n.电缆,海底电报,缆,索v.打(海底)电报"
cafeteria,n.自助餐厅
cage,"n.笼,槛,(矿井)贯笼"
calculate,"v.计算,考虑,计划,打算v.<美>以为,认为"
camel,"n.骆驼,[船](打捞用的)浮筒"
camp,"n.露营地,阵营vi.露营,扎营"
campaign,"n.[军]战役,(政治或商业性)活动,竞选运动vi.参加活动,从事活动,作战"
canal,"n.运河,小道,导管,槽,沟渠vt.开运河"
cancel,"vt.取消,删去"
cane,"n.细长的茎,藤条vt.以杖击,以藤编制"
cannon,"n.大炮,加农炮v.炮轰"
canoe,"n.独木舟,轻舟"
canteen,"n.小卖部,食具箱,饭盒,(军用)水壶"
capital,"n.首都,首府,大写字母,资本,资金,资产adj.首都的,重要的,死罪的,大写的,<口>极好的"
capture,"n.捕获,战利品vt.俘获,捕获,夺取"
caption,"n.标题,说明,字幕vt.加上标题,加上说明"
handicap,"n.障碍,阻碍,障碍赛跑v.妨碍,使不利,阻碍"
capable,"adj.有能力的,能干的,有可能的,可以...的"
capacity,"n.容量,生产量,容量,智能,才能,能力,接受力,地位"
cape,"n.海角,岬"
captain,"n.队长,首领,船长,机长,(空军,海军)上校,(陆军)上尉v.指挥,统帅"
captive,"n.俘虏,被美色或爱情迷住的人adj.被俘的,被迷住的"
cargo,"n.船货,(车、船、飞机等运输的)货物"
carpenter,n.木匠
carpet,n.地毯
carry,"n.进位,射程,运载vt.携带,运送,支持,支撑,传送,意味vi.被携带,能达到"
marry,"vt.娶,嫁,和...结婚"
merry,"adj.欢乐的,愉快的"
hurricane,"n.飓风,狂风"
hurry,"v.(使)赶紧,(使)匆忙,加速n.匆忙,仓促"
cherry,"n.樱桃,樱桃树,如樱桃的鲜红色,<俚,鄙>处女膜,处女"
berry,n.浆果
lorry,"n.<古>卡车,铁路货车"
worry,"n.烦恼,忧虑,苦恼,撕咬vt.使烦恼,使焦虑,使苦恼,撕咬,困扰,折磨vi.烦恼,担心,撕咬,挣扎着前进"
ferry,"n.摆渡,渡船,渡口vt.渡运,(乘渡船)渡过,运送vi.摆渡,(船)来往行驶"
cart,"n.大车,手推车vt.用车装载"
cassette,"n.盒子,盒式磁带"
cast,"n.投掷,铸件,脱落物,一瞥,演员表v.投,抛,投射,浇铸,计算,派(角色)"
castle,n.城堡
casual,"adj.偶然的,不经意的,临时的"
catalog,"n.目录,目录册v.编目录"
catalyze,"vt.催化,刺激,促进"
category,"n.种类,别,[逻]范畴"
cater,"vi.备办食物,满足(需要),投合"
cautious,"adj.谨慎的,小心的"
cavity,"n.洞,空穴,[解剖]腔"
cease,"v.停止,终了"
ceiling,"n.天花板,最高限度"
celebrate,"v.庆祝,祝贺,表扬,赞美,举行"
cement,"n.水泥,接合剂vt.接合,用水泥涂,巩固vi.粘牢"
censor,"n.检查员vt.检查,审查"
centigrade,"adj.分为百度的,百分度的,摄氏温度的"
centimeter,n.厘米
century,"n.世纪,百年,百个,板球中的一百分,百元(钞票)"
cereal,"n.谷类食品,谷类"
ceremony,"n.典礼,仪式,礼节,报幕员"
certain,"adj.确定的,某一个,无疑的,必然的,可靠的 pron.某几个,某些"
contain,"vt.包含,容纳,容忍vi.自制v.[军]牵制(敌军)v.[数]可被...除尽"
mountain,"n.山,山脉"
ascertain,"vt.确定,探知"
attain,"vt.达到,获得v.达到"
maintain,"vt.维持,维修,继续,供养,主张"
entertain,"vt.娱乐,招待,接受,怀抱vi.款待"
mount,"n.乘用马,衬纸,山,装配vi.乘马,爬上,增长vt.爬上,使上马,装上,设置,安放,制作...的标本,上演"
maintenance,"n.维护,保持,生活费用,扶养"
fountain,"n.泉水,喷泉,源泉"
retain,"vt.保持,保留"
sustain,"vt.支撑,撑住,维持,持续"
detain,"v.拘留,留住,阻止"
sustainable,"adj.可以忍受的,足可支撑的,养得起的,"
stain,"n.污点,瑕疵v.染污,沾污"
obtain,"vt.获得,得到"
certificate,"n.证书,证明书vt.发给证明书,以证书形式授权给..."
certify,"v.证明,保证"
challenge,n.挑战vt.向...挑战
chain,"n.链(条),[常 pl.] 镣铐,一连串,一系列vt.用链条拴住"
chamber,"n.室,房间,议院,会所,(枪)膛"
champagne,"n.香槟酒,香槟色"
champion,"n.冠军,拥护者,战士vt.拥护,支持"
chap,
chapter,n.(书籍)章
charcoal,n.木炭
character,"n.(事物的)特性,性质,特征(的总和),(人的)品质,字符,性格,特征,人物vt.写,刻,印,使具有特征"
charge,"n.负荷,电荷,费用,主管,掌管,充电,充气,装料v.装满,控诉,责令,告诫,指示,加罪于,冲锋,收费"
discharge,"vt.卸下,放出,清偿(债务),履行(义务),解雇,开(炮),放(枪),射(箭)vi.卸货,流注n.卸货,流出,放电"
charity,"n.慈善,施舍,慈善团体,"
charm,"n.吸引力,(女人的)魔力,魅力,符咒vt.迷人,使陶醉,行魔法vi.用符咒,有魔力"
chart,"n.海图,图表vt.制图"
charter,"vt.租,包(船、车等)n.宪章"
chase,"n.追赶,追击vt.追赶,追逐,雕镂"
chatter,"n.(动物,尤其是鸟类)唠叨,啁啾声,(小溪的)潺潺流水声vi.喋喋不休的谈,卡搭作响"
cheat,"n.欺骗,骗子v.欺骗,骗取"
check,"n.阻止,制止,控制,阻止物,支票,检讫的记号,饭馆的帐单vt.检查,制止,核对,寄存,托运vi.证明无误,核对无误,逐项相符,[象棋]将军"
cheek,"n.颊,厚颜,类似颊的事物,<俚>臀部"
cheer,"n.愉快,欢呼v.(使)快活,(对)欢呼"
cherish,"vt.珍爱,怀抱(希望等)"
chest,"n.胸腔,胸膛,箱,柜"
chestnut,n.栗子
chew,"vt.咀爵(食物等)v.咀嚼,认真考虑"
chord,"n.弦,和音,情绪n.[解]腱"
chill,"n.寒意,寒战,寒心adj.寒冷的,扫兴的v.使冷,变冷,冷藏"
chimney,"n.烟囱,灯罩"
chin,"n.下巴,下颚"
chip,"n.碎片,筹码v.削成碎片,碎裂 芯片"
choke,"v.窒息,哽住,使呼吸困难,阻塞n.窒息,阻气门"
choose,"v.选择,选定"
chop,"n.砍,排骨,官印,商标vt.剁碎,砍,(风浪)突变"
chorus,"n.合唱,合唱队,齐声"
Christ,
circuit,"n.电路,一圈,周游,巡回"
circular,"adj.圆形的,循环的n.函件 通知"
circulate,"v.(使)流通,(使)运行,(使)循环,(使)传播"
circus,"n.马戏团,杂技团,马戏场,杂技场"
circumference,"n.圆周,周围"
cite,"vt.引用,引证,提名表扬"
civil,"adj.全民的,市民的,公民的,国民的,民间的.民事的,根据民法的,文职的,有礼貌的"
claim,"n.(根据权利提出)要求,要求权,主张,要求而得到的东西vt.(根据权利)要求,认领,声称,主张,需要"
reclaim,"vt.要求归还,收回,开垦"
exclaim,"v.呼喊,惊叫,大声叫"
proclaim,"vt.宣布,声明,显示,显露"
clamp,"n.夹子,夹具,夹钳vt.夹住,夹紧"
clasp,"n.扣子,钩,紧握,抱住v.扣紧,紧握,搂抱,密切合作"
clap,"n.拍手声,霹雳声v.鼓掌,轻拍"
clarify,"v.澄清,阐明"
clash,"n.冲突,撞击声,抵触v.(使)发出撞击声,猛撞,冲突"
classic,"n.[pl.] 杰作,名著adj.第一流的"
classical,"adj.古典的,正统派的,古典文学的"
classify,"vt.分类,分等"
claw,"n.爪,脚爪v.抓"
clay,"n.粘土,泥土,肉体,人体,似黏土的东西,陶土制的烟斗"
clerk,"n.职员,办事员,<美> 店员"
client,"n.[计]顾客,客户,委托人,客户机程序"
cliff,"n.悬崖,绝壁"
climax,"n.高潮,顶点"
clinic,"n.门诊部,临床"
cure,"v.治愈,治疗n.治愈,痊愈"
cling,"vi.粘紧,附着,紧贴,坚持(意见),墨守(习惯)"
clip,"n.夹子,回形针,子弹夹vt.夹住,剪短,修剪"
cloak,"n.斗蓬,宽大外衣,掩护vt.用外衣遮蔽,披斗篷"
clockwise,adj.顺时针方向的adv.顺时针方向地
closet,"n.壁橱,储藏室,厕所adj.关起门来的vt.关入私室密谈"
clothes,"n.衣服,[总称]被褥,各种衣服,<美俚>家丑"
clown,"n.小丑,粗鲁愚蠢的人"
clue,n.线索
clumsy,adj.笨拙的
cluster,"n.串,丛;vi.丛生,成群"
clutch,"v.抓住,攫住n.离合器"
coach,"n.四轮大马车,长途汽车,教练v.训练,指导"
coarse,"adj.粗糙的,粗鄙的"
coast,"n.海岸,滑坡v.沿海岸而行"
code,"n.代码,代号,密码,编码v.编码"
cock,"n.公鸡,雄鸟,头目,(水)龙头,<俚>阴茎vt.使耸立,使竖起,堆成锥形vi.大摇大摆地走,翘起"
coherent,"adj.粘在一起的,一致的,连贯的"
collaborate,"vi.合作,通敌"
collapse,"n.倒塌,崩溃,失败,虚脱vi.倒塌,崩溃,瓦解,失败,病倒"
collar,
colleague,"n.同事,同僚"
collect,"v.收集,聚集,集中,搜集adj.由收件人付款的adv.由收件人付款地"
collective,adj.集体的n.集体
recollect,"v.回忆,想起,记起,忆起,记得"
elect,"vt.选举,推选v.选择,作出选择,选举,选举,选举"
select,"vt.选择,挑选adj.精选的"
neglect,"vt.忽视,疏忽,漏做n.忽视,疏忽,漏做"
negligible,"adj.可以忽略的,不予重视的"
coffin,n.棺材
coin,n.硬币vt.铸造(硬币)
coke,"n.可乐,焦炭v.(使)成焦炭"
collide,"vi.碰撞,抵触"
colonel,"n.陆军上校,团长"
colony,"n.殖民地,侨民,(聚居的)一群同业,一批同行,(生物)群体"
column,"n.圆柱,柱壮物,专栏,纵队"
combat,"n.战斗,格斗v.战斗,搏斗,抗击"
combustion,n.燃烧
comedy,"n.喜剧,喜剧性的事情"
comfort,"n.安慰,舒适,安慰者vt.安慰,使(痛苦等)缓和"
command,"n.命令,掌握,司令部v.命令,指挥,克制,支配,博得,俯临"
commence,"v.开始,着手"
commend,"vt.称赞,表扬,推荐,委托,吸引"
commerce,n.商业
commit,"vt.犯(错误),干(坏事),把...交托给,提交,答应负责"
commitment,"n.委托事项,许诺,承担义务"
committee,n.委员会
commission,"n.委任,委托,代办(权),代理(权),犯(罪),佣金vt.委任,任命,委托,委托制作,使服役"
permit,"n.通行证,许可证,执照v.许可,允许,准许"
admit,"v.容许,承认,接纳"
omit,"vt.省略,疏忽,遗漏"
submit,"v.(使)服从,(使)顺从vt.提交,递交"
summit,"n.顶点,最高阶层adj.政府首脑的vi.参加最高级会议的"
emit,"vt.发出,放射,吐露,散发,发表,发行"
transmit,"vt.传输,转送,传达,传导,发射,遗传,传播vi.发射信号,发报"
commodity,n.日用品
common,"adj.共同的,公共的,公有的,普通的,庸俗的,伪劣的n.[复][总]平民,公有,普通,共通"
communism,n.共产主义
community,"n.公社,团体,社会,(政治)共同体,共有,一致,共同体,(生物)群落"
company,"n.公司,陪伴,(一)群,(一)队,(一)伙,连,连队"
compact,"adj.紧凑的,紧密的,简洁的n.契约,合同,小粉盒"
compare,"v.比较,相比,比喻 n.比较"
compass,"n.罗盘,指南针,[pl.] 圆规v.包围"
compassion,"n.同情,怜悯"
compatible,"adj.谐调的,一致的,兼容的"
compel,"vt.强迫,迫使"
compelling,"adj.强制的,强迫的,引人注目的"
compulsory,"adj.必需做的,必修的,被强迫的,被强制的,义务的"
compulsive,"adj.强制的,强迫的,由强迫产生的,禁不住的"
expel,"v.驱逐,开除,排出,发射"
propel,"vt.推进,驱使"
repel,"vt.击退,抵制,使厌恶,使不愉快"
compensate,"v.偿还,补偿,付报酬"
compete,"vi.比赛,竞争"
competent,"adj.有能力的,胜任的"
compile,"vt.编译,编辑,汇编"
complete,"adj.全部的,完全的,完成的vt.完成,使完善"
entire,"adj.全部的,完整的,整个"
thorough,"adj.十分的,彻底的"
complement,"n.补足物,[文法]补语,[数]余角vt.补助,补足"
supplement,"n.补遗,补充,附录,增刊v.补充"
implement,"n.[常pl.] 工具,器具vt.贯彻,实现v.执行"
complex,"adj.复杂的,合成的,综合的n.联合体"
complicated,"adj.复杂的,难解的"
comply,"vi.顺从,答应,遵守"
imply,"vt.暗示,意味"
explicit,"adj.外在的,清楚的,直率的,(租金等)直接付款的"
reply,"n.答复,报复,答辩vi.答复,回击,报复,答辩vt.回答"
multiply,"v.繁殖,乘,增加"
compliment,"n.称赞,恭维,致意,问候,道贺vt.称赞,褒扬,恭维"
compose,"v.组成,写作,排字,(使)安定,调解"
decompose,"v.分解,(使)腐烂"
composite,"adj.合成的,复合的n.合成物"
pose,"n.姿势,姿态v.(使...)摆好姿势,形成,引起,造成vi.摆姿势,佯装,矫揉造作"
position,"n.位置,职位,立场,形势,阵地vt.安置,决定...的位置"
preposition,n.前置词
positive,"adj.肯定的,实际的,积极的,绝对的,确实的adj.[数]正的adj.[电]阳的adj.[语法] 原级的"
negative,"n.否定,负数,底片adj.否定的,消极的,负的,阴性的vt.否定,拒绝(接受)"
oppose,"vt.反对,使对立,使对抗,抗争vi.反对"
opponent,"adj.对立的,对抗的n.对手,反对者"
expose,"vt.使暴露,受到,使曝光v.揭露"
suppose,"vt.推想,假设,猜想vi.料想 conj.假使...结果会怎样"
purpose,"n.目的,意图,用途,效果,决心,意志vt.打算,企图,决心"
propose,"vt.计划,建议,向...提议,求(婚)vi.打算,求婚"
dispose,"v.处理,处置,部署vt.布置,安排,除去,使愿意"
deposit,"n.堆积物,沉淀物,存款,押金,保证金,存放物vt.存放,堆积vi.沉淀"
impose,"vt.征税,强加,以...欺骗vi.利用,欺骗,施影响"
compound,"n.混合物,[化]化合物adj.复合的v.混合,配合"
comprehend,"vt.领会,理解,包括(包含),由...组成"
compromise,"n.妥协,折衷v.妥协,折衷,危及...的安全"
compute,"v.计算,估计,用计算机计算(或确定)"
comrade,"n.朋友,同志,伙伴"
conceal,"vt.隐藏,隐蔽,隐瞒v.隐蔽"
conceit,"n.原义:想法,意见,自负,幻想,狂妄"
concentrate,"v.集中,浓缩"
concert,"n.音乐会,一致"
conclude,"v.结束,终止,决定,作出结论vt.推断,断定,缔结,议定"
inclusive,
exclude,"vt.拒绝接纳,把...排除在外,排斥"
concrete,"adj.具体的,有形的n.混凝土v.用混凝土修筑,浇混凝土,凝结"
condemn,"vt.判刑,处刑,声讨,谴责"
condense,"v.(使)浓缩,精简"
dense,"adj.密集的,浓厚的"
condition,"n.条件,情形,环境,社会地位vt.以...为条件,使达到要求的情况"
conduct,"n.行为,操行v.引导,管理,为人,传导"
semiconductor,n.[物] 半导体
introduce,"vt.介绍,传入,引进,提出"
produce,"n.产物,农产品vt.提出,出示,生产,制造,结(果实),引起,招致,创作"
productive,"adj.生产性的,生产的,能产的,多产的"
reproduce,"v.繁殖,再生,复制,使...在脑海中重现"
induce,"vt.劝诱,促使,导致,引起,感应"
deduce,"vt.推论,演绎出"
deduct,"vt.扣除,演绎"
confess,"v.承认,坦白,忏悔"
confidence,n.信心
confine,"vt.限制,禁闭n.界限,边界"
fine,"adj.美好的,优良的,杰出的,精美的,杰出的,细,纤细,纯粹n.罚款,罚金,晴天,精细vt.罚款,精炼,澄清vi.变清,变细adv.<口>很好,妙,[常用于构成复合词]细微地,精巧地"
refine,"vt.精炼,精制,使文雅高尚"
define,"vt.定义,详细说明"
definite,"adj.明确的,一定的"
finite,"adj.有限的,[数]有穷的,限定的"
confirm,"vt.确定,批准,使巩固,使有效v.确认,(基督教中)给...行按手礼"
conflict,"n.斗争,冲突vi.抵触,冲突"
confront,"vt.使面临,对抗"
confuse,"vt.搞乱,使糊涂"
congress,"n.(代表)大会,[C～] (美国等国的)国会,议会"
conquer,"vt.征服,战胜,占领,克服(困难等),破(坏习惯等)"
conscience,"n.良心,道德心"
conscious,
consecutive,"adj.连续的,联贯的"
consequence,"n.结果,[逻]推理,推论,因果关系,重要的地位"
sequence,"n.次序,顺序,序列"
subsequent,"adj.后来的,并发的"
conserve,"vt.保存,保藏"
service,"n.服务,服务性工作,服役,仪式vt.保养,维修adj.(军队)服现役的,服务性的,仆人的,耐用的"
observe,"vt.观察,观测,遵守,评述,说"
deserve,"vt.应受,值得v.应受"
preserve,"vt.保护,保持,保存,保藏vi.做蜜饯,禁猎n.蜜饯,果酱,禁猎地,禁区,防护物"
reserve,"n.储备(物),储藏量,预备队vt.储备,保存,保留,预定,预约"
reservoir,"n.水库,蓄水池"
considerable,"adj.相当大(或多)的,值得考虑的,相当可观的"
considerate,adj.考虑周到的
console,"vt.安慰,藉慰n.[计] 控制台"
consolidate,v.巩固
conspire,"v.共谋,阴谋,(指事件)凑合起来"
spirit,"n.精神,灵魂,幽灵,妖精,勇气,火力,热情,情绪vt.诱拐,鼓励,鼓舞"
respire,v.呼吸
inspire,"vt.吸(气),鼓舞,感动,激发,启示,使生灵感,产生vi.吸入,赋予灵感"
expire,"v.期满,终止,呼气,断气,届满"
spiral,adj.螺旋形的n.螺旋v.盘旋
constant,"n.[数、物]常数,恒量adj.不变的,持续的,坚决的"
constitution,"n.宪法,构造,体质,体格,国体,章程,惯例"
constituent,"n.选举者,委托人,要素adj.有选举权的,组成的"
institute,"n.学会,学院,协会vt.创立,开始,制定,开始(调查),提起(诉讼)"
substitute,"n.代用品,代替者,替代品v.代替,替换,替代"
constrain,"vt.强迫,抑制,拘束"
consul,"n.领事,(古罗马的)两执政官之一,[史](1799年至1804年间,法兰西共和国的)三执政官之一"
consult,"v.商量,商议,请教,参考,考虑"
contact,"n.接触,联系vt.接触,联系"
contemporary,"n.同时代的人adj.当代的,同时代的"
temple,"n.庙,寺,神殿,教堂,礼拜堂,太阳穴,鬓角"
tempo,"n.(音乐)速度、拍子,发展速度"
temporary,"adj.暂时的,临时的,临时性"
tempt,"vt.诱惑,引诱,吸引,使感兴趣,考验,试探"
temper,"n.(钢等)韧度,回火,性情,脾气,情绪,心情,调剂,趋向v.(冶金)回火、锻炼,调和,调节"
contend,"v.斗争,竞争,主张"
content,"n.内容,容量,目录,满足adj.满足的,满意的,愿意vt.使满足"
context,"n.上下文,文章的前后关系"
continent,"n.大陆,陆地"
continue,"v.继续,连续,延伸"
contradict,"vt.同...矛盾,同...抵触"
addict,"vt.使沉溺,使上瘾;n.入迷的人,有瘾的人"
dedicate,"vt.献(身),致力,题献(一部著作给某人)"
diction,"n.措辞,用语,言语"
dictate,"v.口述,口授,使听写,指令,指示,命令,规定n.指示(指理智,变心)"
indicate,"vt.指出,显示,象征,预示,需要,简要地说明"
predict,"v.预知,预言,预报"
contrast,"vt.使与...对比,使与...对照vi.和...形成对照n.对比,对照,(对照中的)差异"
contrary,"adj.相反的,逆的,<口语>执拗n.反面adv.相反地"
controversy,"n.论争,辩论,论战"
convenient,"adj.便利的,方便的"
convention,"n.大会,协定,习俗,惯例"
converse,"n.相反的事物,倒,逆行adj.相反的,颠倒的vi.谈话,交谈,认识"
convey,"vt.搬运,传达,转让"
convict,"vt.证明...有罪,宣告...有罪n.罪犯"
conviction,"n.深信,确信,定罪,宣告有罪"
convince,"vt.使确信,使信服"
cooperate,"vi.合作,协作"
coordinate,"n.同等者,同等物,坐标(用复数)adj.同等的,并列的vt.调整,整理"
copper,"n.铜,警察"
cord,"n.绳索,束缚"
corn,"n.<美>玉米,<英>谷物,五谷,[医]鸡眼vt.腌(肉等)"
corporate,"adj.社团的,法人的,共同的,全体的"
incorporate,"adj.合并的,结社的,一体化的vt.合并,使组成公司,具体表现vi.合并,混合,组成公司vt.[律]结社,使成为法人组织"
correlate,vt.使相互关联vi.和...相关
correspond,"vi.符合,协调,通信,相当,相应"
correspondence," /n.函授 principle//n.对 school//n.函授/n.相应,通信,信件/纬"
corresponding,"adj.相应的,通讯的"
correspondent,"n.通讯记者,通信者"
corrode,"v.使腐蚀,侵蚀"
corridor,n.走廊
cosmic,adj.宇宙的
cost,"n.成本,价钱,代价vt.价值为,(使)花费(金钱,时间,劳力等),使失去(生命,健康等),令人付出vi.花费"
couch,"n.(文学)床,睡椅 v.(用语言)表达"
cottage,"n.村舍,小别墅"
cotton,"n.棉花,棉线"
cough,n.咳嗽v.咳嗽
counsel,"n.讨论,商议,辩护律师vt.劝告,忠告"
council,"n.政务会,理事会,委员会,参议会,讨论会议,顾问班子,立法班子"
courage,"n.勇气,精神"
court,"n.法院,庭院,朝廷,宫庭,球场,奉承,求爱,殷勤vt.向...献殷勤,追求,设法获得(他人的支持等),博得(喝彩),招致(失败、危险等)vi.求爱"
courtesy,"n.谦恭,允许,礼貌"
cousin,"n.堂兄弟姊妹,表兄弟姊妹"
coward,"n.懦弱的人,胆小的人"
cozy,"adj.舒适的,安逸的,惬意的"
crab,"n.螃蟹,类似螃蟹的动物,脾气乖戾的人,吹毛求疵vi.捕蟹,偏航,发牢骚vt.使偏航,发脾气,破坏"
crack,"n.裂缝,噼啪声v.(使)破裂,裂纹,(使)爆裂adj.最好的,高明的"
cradle,"n.摇篮,发源地,支船架vt.将...放在摇篮内"
craft,"n.工艺,手艺"
crane,n.起重机
crash,"n.碰撞,坠落,坠毁,撞击声,爆裂声v.碰撞,坠落,坠毁,(指商业公司,政府等)破产,垮台"
rash,"adj.轻率的,匆忙的,卤莽的n.[医]皮疹"
crawl,"vi.爬行,蠕动,徐徐行进n.爬行,蠕动,缓慢的行进"
create,"vt.创造,创作,引起,造成"
credible,"adj.可信的,可靠的"
credit,"n.信任,信用,声望,荣誉,[财务]贷方,银行存款vt.相信,信任,把...归给"
crew,"n.全体人员,(工作)队 vbl.crow的过去式"
cricket,"n.[昆]蟋蟀,[运动]板球"
cripple,n.跛子v.削弱
crisis,"n.疾病的转折点(或转好或恶化),决定性时刻,危机,危险期,历史上的紧要关头,[医]危象,转换期"
crisp,"adj.脆的,易碎的"
criterion,"n.(批评判断的)标准,准据,规范"
critical,"adj.评论的,鉴定的,批评的,危急的,临界的"
crop,"n.农作物,产量,平头,短发vt.收割,修剪,种植vi.收获"
crow,"n.乌鸦,似乌鸦的鸟,撬棍vi.啼叫,报晓,(婴孩)格格地笑"
crude,"adj.天然的,未加工的,粗糙的,拙劣的,粗鲁的n.天然的物质"
cruel,"adj.残酷的,悲惨的,使痛苦的"
cruise,"vi.巡游,巡航n.巡游,巡航"
crush,"vt.压碎,碾碎,压服,压垮,粉碎,(使)变形"
crust,"n.外壳,硬壳,面包皮vt.盖以硬皮vi.结硬皮"
crystal,"adj.结晶状的n.水晶,水晶饰品,结晶,晶体"
cube,"n.立方体,立方"
cuckoo,"n.[动]杜鹃鸟,布谷鸟"
cultivate,"vt.培养,耕作"
cunning,"adj.狡猾的,巧妙的,<美>漂亮的,可爱的n.狡猾,诡诈"
cupboard,"n.食橱,碗碟橱"
curious,"adj.好奇的,求知的,古怪的,爱挑剔的"
curl,v.(使)卷曲
curriculum,n.课程
current,"adj.当前的,通用的,流通的,现在的,草写的,最近的n.涌流,趋势,电流,水流,气流"
curse,"n.诅咒,咒语,祸根,祸因vt.诅咒,咒骂,降祸,使受罪"
curtain,"n.窗帘,门帘v.装上门帘"
curve,"n.曲线,弯曲,[棒球]曲线球,[统]曲线图表vt.弯,使弯曲vi.成曲形"
cushion,"n.垫子,软垫,衬垫v.加衬垫"
custom,"n.习惯,风俗,<动词单用>海关,(封建制度下)定期服劳役,缴纳租税,自定义,<偶用作>关税v.定制,承接定做活的"
cycle,"n.周期,循环,自行车,一段时间,整套,(电学)周波vi.循环,轮转,骑自行车vt.使循环,使轮转"
cylinder,"n.圆筒,圆柱体,汽缸,柱面"
dairy,"n.牛奶场,奶品场,售牛奶,奶油,鸡蛋等的商店,奶制品"
dam,"n.水坝,障碍v.控制,筑坝"
damn,v.谴责
dash,"n.少量(搀加物),冲撞,破折号,锐气,精力,干劲vi.猛掷,冲撞vt.泼溅,使猛撞,搀和,使破灭,使沮丧,匆忙完成"
dawn,"n.黎明,拂晓,破晓vi.破晓,开始现生,变得(为人所)明白v.破晓 Dawn 道恩(女子名)"
dazzle,"v.(使)眼花,眩耀n.耀眼"
deadly,"adj.致命的,势不两立的,死一般的,极度的,必定的"
dean,"n.(大学)院长,主持牧师,(基督教)教长n. 迪安 Dean(男子名)"
deafen,vt.使聋vi.变聋
debate,"v.争论,辩论n.争论,辩论"
deal,"n.交易,(政治上的)密约,待遇,份量,<口>买卖vi.处理,应付,做生意vt.分配,分给(out),发牌,给予"
decay,"vi.腐朽,腐烂,衰减,衰退n.腐朽,腐烂,衰减,衰退v.衰落"
decide,"v.决定,判决"
decor,"n.舞台装饰,装饰之格调"
decree,"n.法令,政令,教令,天命,判决v.颁布"
debt,"n.债务,罪过"
decade,"n.十年,十"
deceive,"v.欺骗,行骗"
receive,"vt.收到,接到,接收,遭到,受到,接待,接见"
reception,"n.接待,招待会,接收"
perceive,"vt.察觉v.感知,感到,认识到"
receipt,"n.收条,收据,收到v.收到"
conceive,"vt.构思,以为,持有vi.怀孕,考虑,设想"
decent,"adj.正派的,端庄的,有分寸的,(服装)得体的,大方的adj.<口>相当好的、象样的"
decimal,"adj.十进的,小数的,以十为基础的,十进制n.小数"
decisive,adj.决定性的
deck,"n.甲板,舰板,覆盖物,一副(纸牌)vt.装饰,修饰,打扮,装甲板"
declare,"vt.断言,宣称,宣布,宣告,声明,(向海关)中报进口应纳税之货物"
decline,"vi.下倾,下降,下垂v.拒绝,衰落n.下倾,下降,下垂,斜面,斜坡,衰败,衰落"
deed,"n.行为,事实,功绩,实行,契约vt.立契转让(旧产等)"
deem,"v.认为,相信"
deer,
default,"n.默认(值),缺省(值),食言,不履行责任,[律]缺席v.疏怠职责,缺席,拖欠,默认"
defeat,"n.击败,战胜,失败vt.击败,战胜,使失败,挫折v.击败"
defence,"n.防卫,防卫设备n.[律](被告的)答辩、辩护"
defy,"vt.不服从,公然反抗,藐视,挑衅,违抗,使...难于n.挑战"
deficient,"adj.缺乏的,不足的,不完善的"
deflate,"vt.放气,抽出空气,使缩小,紧缩(通货)vi.缩小"
