Abacavir,"n. 【药】阿巴卡韦
[网络] 阿巴卡伟；阿巴卡韦及片；阿卡维尔"
absorptiometry,"吸光测定法, 吸收测量学"
absorption,"n. 吸收, 专心, 全神贯注
[化] 吸收; 吸收作用"
absorptive,"a. 吸收性的, 有吸收力的
[医] 吸收的"
abstain,"vi. 自制, 戒绝, 弃权, 回避"
abstinence,"n. 节制, 禁欲, 戒酒
[医] 节制, 禁戒(如禁酒,节欲)"
abstract,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
[计] 摘录; 摘要; 抽象"
abstraction,"n. 抽象化, 心不在焉, 空想, 提炼, 抽象派作品
[化] 提取; 抽取; 夺取; 夺取反应; 除去"
abstruse,"a. 难解的, 深奥的"
absurd,"a. 荒谬的, 不合理的, 可笑的
n. 荒诞"
abundance,"n. 丰富, 充足, 大量
[经] 丰富, 充裕"
abundant,"a. 丰富的, 充分的, 大量的"
abuse,"n. 滥用, 虐待, 恶习, 辱骂
vt. 滥用, 辱骂, 虐待"
academic,"a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员"
academy,"n. 学院, 院校, 学会"
acalculia,n. [医]计算力缺失
acanthocytosis,[医] 棘红细胞[增多]症
acanthopanax,刺五加
acariasis,"n. 疥癣, 疥虫病"
acatalepsia,领会不能
accelerate,"v. 加速, 促进"
acceleration,"n. 加速, 促进, 加速度
[化] 加速度"
accelerator,"n. 加速剂, 加速器, 油门
[化] 加速器; 早强剂; 促进剂; 硫化促进剂"
accentuate,"vt. 以重音念, 强调, 重读"
acceptable,"a. 可接受的, 合意的, 可忍受的"
acceptor,"n. 接受者, 承兑人, 接收器
[化] 接纳体; 接受体; 受体; 受主; 被诱物"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
[计] 访问, 存取"
accessibility,"n. 易接近, 可进入
[化] 可及性; 可达性; 可接近性; 吸湿性"
accessible,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的"
accessory,"n. 附件, 零件, 附加物, 从犯, 同谋
a. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的
[计] 附件"
accident,[网络] 意外事故；意外
accidental,"a. 意外的, 偶然的, 非主要的, 附属的
n. 临时记号, 次要方面"
acclimatization,驯化〔作用〕
accommodate,"vt. 使适应, 调和, 通融, 容纳, 向...提供
vi. 适应"
accommodation,"n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款
[医] 调节(眼); 适应"
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱"
accomplish,"vt. 完成, 达到, 实现, 使完美"
accord,"n. 一致, 调和, 协定
vt. 给与, 使一致
vi. 相符合"
accordance,"n. 一致, 和谐"
account,"n. 账户；解释；账目，账单；理由
vi. 解释；导致；报账
vt. 认为；把…视为"
accredit,"vt. 信托, 确认, 归结于, 委派
[经] 发行信用证, 信托, 委托"
accretion,"n. 自然增大, 添加, 添加物, 连生
[化] 停滞堆积"
accumulate,"v. 积聚, 堆积"
accumulation,"n. 积聚, 累积, 积聚物
[医] 蓄积, 累积"
accuracy,"n. 精确, 正确
[计] 准确度"
accurate,"a. 正确的, 精确的
[经] 准确的, 精确的"
accurately,"adv. 正确地, 精确地"
accuse,"vt. 指责, 控告, 归咎于
vi. 指责, 控告"
acellular,"a. 非细胞的,非细胞组成的"
acetabuloplasty,[医] 髋臼成形术
acetabulum,"n. 髋臼, 吸盘
[医] 髋臼; 腹吸盘"
acetaminophen,"n. 乙酰, 退热净, 氨基酚
[化] 对乙酰氨基酚; 扑热息痛"
acetate,"n. 醋酸盐
[化] 醋酸盐(或酯、根)"
acetazolamide,"n. [药]乙酰唑胺,醋唑磺胺(利尿剂)"
acetic,"a. 醋的, 乙酸的
[医] 醋酸的, 醋的"
acetone,"n. 丙酮
[化] 丙酮"
acetonuria,(=oxonuria)丙酮尿
acetyl,"n. 乙酰(基)
[化] 乙酰; 乙酰基"
acetylator,[化] 乙酰化器
acetylcholine,乙酰胆碱
acetylcholinesterase,乙酰胆碱酯酶
acetylcysteine,乙酰半胱氨酸
acetylsalicylic,a. 乙酰水杨酸的
acetyltransferase,乙酰转移酶
achalasia,n. [医]弛缓不能
achieve,"vt. 完成, 达到
vi. 如愿以偿"
achlorhydria,n. [医]胃酸缺乏
achondroplastic,[医] 软骨发育不全的
achylia,胃液缺乏
acid,酸
acidemia,"n. 酸血症
[医] 酸血[症]"
acid-fast,[医] 耐酸的
acidic,"a. 成酸的, 尖刻的, 酸性的
[机] 酸性"
acidification,"n. 使发酸, 酸化, 成酸性
[化] 酸化; 加酸"
acidify,"vt. 使变酸, 使成酸
vi. 变酸"
acidity,"n. 酸性
[化] 酸度; 酸性; 酸性反应"
acidophilic,a. 嗜酸的
acidosis,"n. 酸中毒
[化] 酸中毒"
aciduria,"n. 酸尿
[医] 酸尿"
acinar,[医] 腺泡的
acinebacter,无
acinetobacter,不动细菌属
acinus,"n. 小核果, 浆果, 葡萄核, 腺泡
[医] 腺泡"
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿
[经] 承认, 答谢, 收到的通知"
acknowledgement,n. (对错误等的)承认；认知；(对权威、主张、要求、权利、功绩等的)确认(或承认)；认可；(对收到来信、汇款等的)确认通知，回条，回执；回复，回音，作答，回答
acleistocardia,卵圆孔未闭
acme,"n. 顶点, 极度, 最高点
[医] 极期"
acne,"n. 痤疮, 粉刺
[医] 痤疮, 粉刺"
aconitase,n. [生化]顺乌头酸酶
aconitine,"n. 乌头碱
[化] 乌头碱"
acquaint,"vt. 使认识, 介绍"
acquire,"vt. 获得, 学到
[电] 目标锁定"
acquired,"a. 获得的, 后天的
[医] 获得的, 后天的"
acquisition,"n. 获得, 获得物
[经] 收购, 招揽, 取得"
acroanesthesia,[医] [四]肢麻木
acrocentric,a. & n.[生](染色体)近端着丝(的)
acrocyanosis,n. [医]手足发绀
acrognosis,[医] 肢体感
acromegaly,"n. 肢端肥大症
[医] 肢端巨大症"
acromion,n. [解剖]肩峰
acropachy,[医] 杵状指
acrosome,[医] 顶体(精子)
actigraphy,[网络] 腕动计；活动记录检查；腕动仪活动记录检查
actin,"n. 【生】肌动朊
[网络] 肌动蛋白；肌纤蛋白；肌动蛋白基因"
actinobacillus,[医] 放线杆菌属
actinobacteria,[网络] 放线菌门；放线菌纲；放线杆菌纲
actinomycete,n. 放射菌类
actinomycin,"[化] 放线菌素
[医] 放线菌素"
actinomycosis,n. 放射菌病
action,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼
vt. 对...起诉
[计] 方式"
activate,"vt. 使活动, 使激活, 正式建成
vi. 有活力"
activation,"n. 活化, 激活
[化] 活化; 活化作用; 激活; 激活作用"
activator,"n. 活化剂, 催化剂, 触媒剂
[化] 助催化剂; 活化剂; 激活剂; 激活剂发光材料"
active,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的
n. 主动语态, 积极分子"
activity,"n. 活动, 行动, 活跃, 活力
[计] 活动"
actually,"adv. 事实上, 竟然, 如今, 现在"
acuity,"n. 尖锐, (疾病的)剧烈, 敏锐
[化] 锐度; 分辨能力"
acumen,"n. 敏锐, 聪明"
acupoint,穴位
acupuncture,"n. 针刺, 针刺疗法
vt. 施以针灸"
acupuncturist,n. 针灸医生
acute,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的
[医] 急性的; 尖锐的"
acutely,"adv. 尖锐地, 剧烈地"
acyanotic,不发绀的
acyclovir,[化] 阿昔洛韦; 无环鸟苷; 无糖环鸟苷
adapt,"vt. 使适应, 改编
vi. 适应"
adaptation,"n. 适应, 改编, 改编本
[医] 适应[作用]"
adaptin,[网络] 衔接蛋白；吞噬泡中接合素蛋白；蛋白与
adaptive,"a. 适应的, 能适应的"
adaptor,"n. 改编者, 插座, 转接器, 接合器, 拾音器
[计] 适配器, 转接器"
add,[网络] 度；新增；注意力缺陷症
addict,"vt. 使沉溺, 使上瘾
n. 入迷的人, 上瘾者"
addiction,"n. 入迷, 瘾
[医] 瘾, 癖嗜"
addition,"n. 加法, 增加的人(或物)
[计] 加法"
additional,"a. 附加的, 另外的, 额外的
[机] 加添的, 附加的"
additive,"a. 添加的, 附加的, 加法的, 累积的
n. 添加物"
adduct,"vt. 使内收
n. 加合物"
adduction,[化] 加合离子
adductor,n. 【解剖学】收肌，内收肌；【动物学】肉柱，闭壳肌
adenemphraxia,"腺梗阻,腺阻塞"
adenine,腺嘌呤
adenitis,n. [医]腺炎
adenocarcinoma,"n. 腺癌
[医] 腺癌"
adenohypophysis,n. [解]腺(性)垂体( 前叶 )
adenoid,"a. 腺的, 淋巴组织的
[医] 腺样的"
adenoidectomy,[医] 增殖腺切除术
adenoiditis,增殖腺炎
adenoma,"n. 腺瘤
[医] 腺瘤"
adenomatosis,腺瘤病
adenomatous,"a. 腺瘤
[医] 腺瘤的"
adenomyoma,腺肌瘤
adenomyosis,[医] 子宫内膜异位
adenopathy,"n. 腺病
[医] 腺病"
adenosarcoma,腺肉瘤
adenosine,腺苷
adenosis,n. [医] 腺病
adenosquamous,n. 腺鳞状
adenovirus,"n. 腺病毒
[医] 腺病毒"
adept,"a. 熟练的, 老练的, 巧妙的
n. 能手, 内行"
adequacy,"n. 适当, 足够"
adequate,"a. 适当的, 足够的
[法] 胜任的, 适当的, 充分的"
adequately,"adv. 足够地, 适当地"
adhere,"vi. 依附, 粘着, 坚持, 追随, 拥护
vt. 使粘附"
adherence,"n. 依附, 固执, 坚持
[化] 粘合"
adherent,"n. 信徒, 追随者
a. 附着的, 发生联系的"
adhesion,"n. 附着, 粘着, 支持, 追随
[化] 粘合; 粘附; 附着; 粘合力; 粘附力; 附着力"
adhesive,"a. 粘着的, 涂有粘性物质的
n. 粘合剂, 橡皮膏"
ad hoc,"特别地
[经] 特定, 专设, 临时"
adipocyte,n. 脂肪细胞
adipocytokine,[网络] 脂肪细胞因子；脂肪细胞激素；脂肪细胞素
adipokines,[网络] 脂肪因子；脂肪激素；脂肪细胞因子
adiponectin,n. 脂联素；脂肪连接蛋白
adipose,"a. 动物脂肪的, 肥胖的
n. 动物脂肪"
adiposis,n. [医]肥胖病
adiposity,"n. 肥胖
[医] 肥胖[症]"
adjacent,"a. 毗连的, 邻近的, 连接的
[机] 相邻的, 邻位的, 交界的"
adjoin,"v. 邻接, 毗连"
adjudication,"n. 判决, 裁定, 宣告
[经] 判决, 裁决"
adjunct,"n. 附属物, 附件, 助手, 修饰语
a. 附属的"
adjunctive,"a. 附属的, 附加的"
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
adjustment,"n. 调整, 调节, 校正
[化] 调节"
adjuvant,"a. 辅助的
n. 佐药, 助手"
ad libitum,"随意
[医] 随意, 任意"
administer,"vt. 管理；执行；给予
vi. 给予帮助；执行遗产管理人的职责；担当管理人"
administration,"n. 行政, 管理, 政府机关
[化] 给药"
administrative,"a. 管理的, 行政的
[法] 行政的, 管理的, 遗产管理的"
administratively,adv. administrative的变形
admission,"n. 准许进入, 入场费, 录用, 承认
[经] 加入, 入股"
admit,"vt. 承认, 接受, 允许进入, 容许
vi. 开向, 容许, 承认"
admonition,"n. 警告, 劝告, 训诫
[法] 警告, 申戒, 劝告"
adnexa,"[复] n.[解](器官的)附件(如眼睛的眼睑和泪腺, 尤指胚胎的胚膜及其他临时部份)"
adnexal,"附件的, 附属器的"
adnexitis,(=annexitis)子宫附件炎
adolescence,"n. 青春期
[医] 青年期, 青春期"
adolescent,"a. 青春期的, 青少年的
n. 青少年"
adopt,"vt. 采用, 正式通过, 收养, 接受
[医] 采取"
adoptive,"a. 有收养关系的, 采用的
[法] 收养的, 采用的"
adrenal,"a. 肾上的, 肾上腺的
n. 肾上腺"
adrenalectomy,n. [医]肾上腺切除术
adrenalin,"n. 肾上腺素
[化] 肾上腺素"
adrenergic,"adj. 【医】肾上腺素能的
[网络] 肾上腺素的；肾上腺素性；肾上腺素能药"
adrenocortical,[网络] 肾上腺皮质
adrenocorticoid,"肾上腺类皮质激素,肾上腺皮质素"
adrenocorticosteroid,"n. [生化]肾上腺皮质甾类,肾上腺皮质类固醇"
adrenocorticotropic,"a. 促肾上腺皮质的
[医] 促肾上腺皮质的"
adrenocorticotropin,n. [生化]促肾上腺皮质激素
adrenodoxin,n. [生化]( 肾上腺) 皮质铁氧还蛋白
adrenogenital,肾上腺(性)生殖器的
adriamycin,"n. [微]亚德里亚霉素,阿霉素(一种抗肿瘤药)"
adsorption,"n. 吸附
[化] 吸附"
adult,"n. 成人, 成虫
a. 成年的, 成熟的"
adulterant,"a. 掺杂用的
n. 掺杂物"
advance,"n. 前进, 进展, 行过的路程
vi. 前进, 进展, 提高, 上涨
vt. 使前进, 促进, 提出, 提高, 使提前, 预付
a. 前面的, 预先的"
advanced,"a. 在前的, 高级的, 先进的, 年老的
[法] 预付的, 预支的, 垫付的"
advantage,"n. 优势；利益；有利条件
vi. 获利
vt. 有利于；使处于优势"
advantageous,adj. 有利的；有益的
advent,"n. 来到, 来临"
adverse,"a. 不利的, 敌对的, 相反的, 逆的
[法] 相反的, 敌对的, 逆的"
adversely,"adv. 不利, 有害, 相反, 逆, 敌对, 逆向"
adversity,"n. 逆境, 不幸, 灾祸, 灾难"
advisable,"a. 适当的, 明智的"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
adynamic,"a. 无力的
[医] 动力缺失的, 无力的"
aeration,"n. 通风
[化] 换气; 曝气"
aerial,"a. 空中的, 航空的, 空气的, 空想的
n. 天线"
aeroallergen,"n. [医]高空过敏症, 气源性致敏原"
aerobe,"n. 需氧菌
[化] 嗜氧性微生物; 需氧微生物"
aerobic,"a. 需氧的, 需氧菌产生的, 增氧健身法的
[医] 需氧的"
aerococcaceae,气球菌科
aerogel,"[化] 气凝胶
[医] 气凝胶[体]"
aerosil,"一种高度分散的硅胶, 氧相二氧化硅"
aerosol,"[机] 气溶胶, 湿剂"
aesculetin,"亭, 七叶内脂, 秦皮乙素, 6,7 二羟香豆素"
afebrile,"a. 无热的
[医] 无热的"
affect,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于
n. 自觉感情"
affected,"a. 假装的, 做作的, 受影响的"
affection,"n. 影响, 病, 喜爱, 情感, 倾向
[医] 疾患, 病变, 病; 感情"
affective,"a. 情感的, 表达感情的
[医] 感情的, 情感的"
afferent,"a. 传入的
[医] 传入的, 输入的"
affiliate,"vt. 使紧密联系, 使附属, 接纳, 收养
vi. 发生联系, 参加"
affiliation,"n. 联系, 从属关系
[医] 父权(判定私生儿的父亲)"
affinity,"n. 吸引, 姻亲关系, 类同
[化] 亲合力; 亲合能; 亲合势; 近似; 类似"
afflict,"vt. 使苦恼, 折磨"
affliction,"n. 苦恼, 折磨, 苦恼的事由"
afford,"vt. 买得起, 足以, 给予"
affordability,n. 支付能力；负担能力；可购性
affront,"n. 公开侮辱, 轻蔑
vt. 公开侮辱, 冒犯, 面对"
afibrinogenemia,[医] 无纤维蛋白原血症
aflatoxicosis,[医]黄曲霉毒素中毒
aflatoxin,[化] 黄曲霉毒素
afterbirth,胎衣；胞衣；后产
afterbrain,"n. 后脑
[医] 后脑; 菱脑"
afterload,后负荷
afterward,adv. 以后，后来
agalactia,"[医] 乳汔缺乏, 无乳"
agammaglobulinemia,"[医] 血γ-球蛋白缺乏, 缺γ-球蛋白血"
agar,琼脂
agastache,藿香
age,comb. 表示数量;表示动作;表示身份;表示地方
aged,"a. 老的, 陈的, 有...岁的
[化] 老化的; 老化了的; 陈化的; 陈化了的"
agency,"n. 代理机构, 经销商, 中介
[化] 办事处"
agenesis,"n. 无生殖力, 发育不全
[医] 发育不全; 无生殖力"
agent,[网络] 代理；智能体；软件代理
agglomerate,集块岩
agglutinate,"a. 粘着的, 胶合的
vt. 使...粘着
vi. 粘合, 成胶状"
agglutination,"n. 粘着, 胶合, 粘结团
[化] 烧结; 烧结作用; 凝集; 凝集作用"
agglutinin,"n. 凝集素
[化] 凝集素"
agglutinogen,n. [生](产生凝集素的)凝集原
aggravate,"vt. 使恶化, 使更严重, 加重"
aggravation,"n. 恶化, 加重, 恼怒
[法] 加重, 严重"
aggregate,"n. 合计, 总计, 聚集体
a. 合计的, 聚集的
v. 聚集, 集合, 合计达
[计] 聚合体; 聚集"
aggregation,"n. 集合, 聚合, 集合体
[化] 聚集; 聚集作用"
aggressive,"a. 侵略的, 挑畔的, 进取的
[法] 侵略的, 爱挑衅的, 行为过火的"
aggressiveness,"n. (贬)侵略, 侵犯, 寻衅, (褒)敢作敢为, 有进取心, (武器)攻击性, 过分, 放肆"
aging,[网络] 老化研究研究所；不要太快
agitate,"vt. 使摇动, 搅动, 使激动, 使不安
vi. 鼓动, 煽动"
agitation,"n. 激动, 焦虑, 煽动, 搅动, 摇动
[化] 搅拌; 搅拌作用"
agnosia,n. [医]认识不能
agonist,"n. 主动肌, 促效药, 显效药, 主缩肌
[化] 兴奋剂; 激动剂"
agonize,"vt. 使极度痛苦, 折磨
vi. 感到痛苦"
agonizing,"a. 折磨人的, 痛苦难忍的"
agony,"n. 极大的痛苦, 挣扎
[医] 濒死苦闷; 剧痛"
agranulocyte,n. [解]无颗粒白细胞
agranulocytosis,n. 粒性白血球缺乏症
agraphesthesia,无
agreement,"n. 同意, 合约, 协议
[经] 契约, 协议, 协定"
agricultural,"a. 农业的
[法] 农业的, 耕作的"
agrimophol,仙鹤草酚; 鹤草酚
aid,comb.form [多用以构成专有名词]表示“…的慈善机构”，“为…募捐”：Ferry-aid
AIDS,"n. 爱滋病(获得性免疫缺陷综合征)
[计] 高级综合数据系统, 先进交互调试系统, 自动图解文档编制系统
美国决策学学会, 信息自动显示系统, 自动综合调试系统"
ailment,"n. 病痛, 疾病
[医] 疾病"
ainhum,[医] 阿洪病(自发性断趾病)
air,"n. 空气；空中；天空；神态
v. 晾；播出；播送；晾干
[网络] 大气；执行环境(Adobe Integrated Runtime)；青空"
airborne,"[经] 空运的, 非机上的"
airspace,[医] 气腔
airway,[机] 通风道
akathisia,n. [医]静坐不能
akebiaquinata,木通
akin,"a. 同类的, 同族的, 同源的"
akinesia,"n. [医]运动不能,失运动能"
ala,.....型式的
alarmingly,adv. 让人担忧地
albinism,"n. 白化病
[医] 白化病"
albumin,"n. 清蛋白, 白蛋白
[化] 白蛋白; 清蛋白"
albuminoid,"a. 蛋白质的
n. 蛋白质"
albuminous,"a. [化](=albuminose) 含白朊的, 多胚乳的"
albuminuria,"n. 蛋白尿
[医] 蛋白尿"
Alcaligenes,[医] 产硷杆菌属
alcohol,"n. 酒精, 酒
[化] 醇; 乙醇; 酒精"
alcoholase,醇酶
alcoholic,"adj. 酒精的，含酒精的
n. 酒鬼，酗酒者"
alcoholism,"n. 酗酒, 酒精中毒
[化] 酒中毒"
aldactone,"[化] 螺甾内酯
[医] 螺内酯(螺旋内酯)"
aldehyde,醛
aldolase,n. [生化]醛缩酶
aldosterone,"n. 醛固酮
[化] 醛甾酮"
aldosteronism,"[医]醛甾酮增多症, 醛甾酮症"
alert,"a. 警觉的, 灵敏的, 留心的
n. 警报
vt. 使警觉, 通知, 使意识到"
alertness,"n. 警戒, 机敏"
alga,"n. 藻类, 海藻
[机] 藻"
algal,[医] 藻的
alginate,藻酸盐
algorithm,"n. 算法
[计] 算法"
alienate,"vt. 使疏远, 离间, 转让
[法] 转让, 让与, 疏远"
align,"vi. 排列, 排成一行, 结盟
vt. 使结盟, 使成一行, 校正"
alimentary,"a. 饮食的, 供养的
[化] 营养的"
alive,"a. 活着的, 活泼的, 敏感的, 热闹的"
alkali,"n. 碱
a. 碱性的"
alkaline,"a. 碱的, 碱性的
[化] 碱的; 强碱的"
alkalinity,"n. 碱度
[化] 碱度; 碱性"
alkaloid,"n. 生物碱
[化] 生物碱"
alkaloidal,[医] 生物硷的
alkalosis,"n. 碱中毒, 碱毒(血)症
[化] 碱中毒"
alkalotic,碱中毒的
alkylate,n. [化]烷基化物
alkylation,"n. 烷化作用, 烷化
[化] 烷基化; 烷基取代"
allege,"vt. 宣称, 主张, 提出, 断言
[法] 断言, 指称, 指证"
allele,"[医] 等位基因, 对偶基因"
allelotaxis,[医] 异源发生(一个器官由数个不同的胚质发生)
allergen,"n. 变(态反)应原
[化] 过敏素; 变应原"
allergic,"a. 对...过敏的, 极反感的
[医] 变应性的"
allergy,"n. 变应性, 反感, 厌恶
[化] 变态反应; 变应性"
allesthesia,[医] 异处感觉
alleviate,"vt. 减轻, 使缓和"
alliance,"n. 联盟, 联合
[法] 同盟, 联盟, 联姻"
allied,"a. 联盟的, 联姻的, 联系起来的"
alloantigen,n. [生]同种抗原
allocate,"vt. 分派, 分配
[计] 分配"
allocation,"n. 配置, 分配, 拨给
[经] 分配, 拨款, 分摊"
allogeneic,"a. 同种异体的, 同种组织移植的
[化] 同种异基因的"
allograft,n. 同种移植物
alloimmunization,"异源免疫, 同种异体免疫"
allolalia,"反常言语, 言语障碍"
allopurinol,n. [药]别嘌呤醇(治痛风药)
alloreactivity,[网络] 同种异体反应性；同种反应性
allorecognition,[网络] 同种识别；同种异型识别；同种识别e
allosteric,a. [生化]变构(象)的
allotransplantation,[医] 异体移植术
allotropy,n. 同素异形(现象)
allotype,n. (同种)异型
allowance,"n. 津贴, 零用钱, 限额, 折扣, 允许
vt. 定量供应"
alloy,"n. 合金
vt. 将...铸成合金, 减低成色
vi. 合铸"
almond,"n. 杏仁
[化] 杏仁"
aloesin,[网络] 芦荟苦素；芦荟叶含芦荟苦素；芦荟辛
alopecia,"n. 脱发
[医] 脱发, 秃[发]"
alpha,"n. 希腊字母表的第一个字母, 最初, 开端
[医] α(希腊文的第一个字母), 甲种"
alpha-fetoprotein, [医](AFP)甲胎蛋白，α胎儿蛋白
alphainterferon, [医]α干扰素
alpha-methyldopa,[网络] a-甲基多巴
alpinetin,山姜素
alter,v. 改变
alterable,"a. 可变的, 可改的"
alteration,"n. 变更, 改动
[医] 变更"
alternate,"a. 交替的, 轮流的, 间隔的
v. 轮流, (使)交替"
alternating,"a. 交互的
[医] 交替的"
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
[计] 选择对象"
altretamine,[化] 六甲蜜胺; 六甲基蜜胺
altruism,"n. 利他主义, 利他"
alum,"n. 明矾, 矾, 校友
[化] 明矾; 钾铝明矾"
aluminum,"n. 铝
[化] 铝Al"
alveolar,"a. 牙槽的, 肺泡的
n. 齿槽音"
alveolitis,n. 齿槽炎
alveolus,"n. 小窝, 牙槽, 肺泡
[医] 牙槽, 肺泡, 小泡, 小窝"
Alzheimer's disease,早老性痴呆；阿耳滋海默氏病
amaranth,"n. 不凋花, 苋属植物, 紫红色
[化] 苋菜红"
amazing,a. 令人惊异的
amber,"n. 琥珀, 琥珀色
a. 琥珀色的, 琥珀似的"
amblyopia,"n. 弱视
[医] 弱视"
ambulance,"n. 救护车
[医] 救护车"
ambulant,"a. 走动的, 流动的
[医] 能走动的, 不卧床的"
ambulation,"n. 移动, 步行"
ambulatory,"a. 步行的, 走动的, 流动的, 非固定的
n. 回廊"
ameba,"n. 阿米巴, 变形虫
[医] 阿米巴, 变形虫"
amebiasis,"n. [医]阿米巴病,变形虫病(尤指原虫寄生肠内引起的阿米巴痢疾)"
amebic,"a. 阿米巴, 变形虫
[医] 阿米巴的, 变形虫的"
ameboid,"a. 阿米巴样的
[医] 阿米巴样的, 变形虫样的"
ameliorate,"v. 改善, 改良, 改进"
amelioration,"n. 改善, 改良, 改进
[医] 改善, 转佳"
amenable,"a. 服从的, 会接纳的, 有义务的
[法] 服从的, 有责任的, 有服从义务的"
amendment,"n. 修订, 改善, 改良, 改正
[化] 调理剂; 修正"
amenorrhea,"n. 经闭, 无月经
[医] 经闭, 无月经"
amensalism,[医] 无害寄生
amentia,"n. 智力缺陷
[医] 智力缺陷, 精神发育不全, 精神错乱"
amidase,n. [生化]酰胺酶
amikacin,氨基羟丁基卡那霉素A(即：抗菌素BBK8)
amination,[化] 氨基化; 胺化; 胺化作用(直接加入氨基)
amine,comb.form [用于复合词词尾]= amino-:
amino acid,n. [生化] 氨基酸
aminoacid,n. [生化] 氨基酸
aminoacidopathy,氨基酸病
aminoglutethimide,氨鲁米特
aminoglycoside,n. 氨基糖苷类
aminophylline,氨茶碱
aminopterin,n. [药]氨喋呤
aminopyrine,"n. 一种无色透明化合物,氨基比林"
aminotransferase,[化] 氨基转移酶; 转氨酶
ammonia,"n. 氨水, 阿摩尼亚
[化] 氨"
ammonification,"n. [化]加氨(作用), 氨化(作用)"
ammonium,"n. 铵
[化] 铵"
amnesia,"n. 健忘症, 记忆缺失
[医] 记忆缺失, 遗忘[症]"
amnestic,"a. 记忆缺失, 健忘(症)
[医] 遗忘的, 引起遗忘的"
amniocentesis,n. 羊膜穿刺术
amnion,"n. 羊膜
[医] 羊膜"
amnioscopy,n. [医]羊水镜检法
amniotic,"a. 羊膜的
[医] 羊膜的"
amniotomy,[医] 羊膜穿破术
amodiaquine,"[化] 阿莫地喹
[医] 阿莫待喹, 卡莫喹"
amorphous,"a. 无定形的, 无组织的
[化] 非晶形的; 无定形的"
