intellect,n.智力
golden,"adj.金色的,金黄色的,贵重的,极好的,黄金的"
scoop,"n.铲子v.掘,挖"
everything," pron.每件事物,万事"
cave,"n.洞穴,窑洞vi.凹陷,投降vt.挖洞,使凹陷"
curious,"adj.好奇的,求知的,古怪的,爱挑剔的"
routine,"n.例行公事,常规,日常事务,程序"
curse,"n.诅咒,咒语,祸根,祸因vt.诅咒,咒骂,降祸,使受罪"
deem,"v.认为,相信"
feed,"n.饲养,饲料,(动物或婴儿的)一餐vt.喂养,饲养,放牧,靠...为生vi.吃东西,流入"
god,"n.神,上帝,神像,偶像vt.使神化"
herb,"n.药草,香草"
less,"n.较少,较小adj.少的,小的adv.较少地,更小地,不及 prep.减去"
match,"n.火柴,比赛,竞赛,匹配,(足球,捧球,蓝球)比赛v.相配,相称,比赛,相比,匹配"
pater,n.(英国学生用的俚语)父亲
recollect,"v.回忆,想起,记起,忆起,记得"
secular,adj.长期的
suspect,"n.嫌疑犯adj.令人怀疑的,不可信的,可疑的v.怀疑,猜想,对...有所觉察"
theme,"n.(谈话,写作等的)题目,主题,学生的作文,作文题,[音乐] 主题,主题曲,主旋律"
conduct,"n.行为,操行v.引导,管理,为人,传导"
unfocused,
virtuous,"adj.善良的,有道德的,贞洁的,有效力的"
whole,"n.全部,全体,整体,完全之体系adj.所有的,完整的,完全的,纯粹的,未损伤的,未打破的adv.完全,整个"
add,"vt.增加,添加,计算...总和,补充说,又说;vi.加,加起来,增添,做加法"
bias,"n.偏见,偏爱,斜线vt.使存偏见"
celebrate,"v.庆祝,祝贺,表扬,赞美,举行"
celebrity,"n.名声,名人"
curve,"n.曲线,弯曲,[棒球]曲线球,[统]曲线图表vt.弯,使弯曲vi.成曲形"
custom,"n.习惯,风俗,<动词单用>海关,(封建制度下)定期服劳役,缴纳租税,自定义,<偶用作>关税v.定制,承接定做活的"
default,"n.默认(值),缺省(值),食言,不履行责任,[律]缺席v.疏怠职责,缺席,拖欠,默认"
good,"n.好,好事,慷慨的行为,好处,利益adj.优良的,上等的,虔诚的,愉快的,慈善的,好心的,有益的"
herd,"n.兽群,牧群v.把...赶在一起放牧,成群"
inborn,"adj.天生的,生来的,先天的"
lest," conj.唯恐,以免,免得,(用于fear,be afraid之后,等于that)"
mate,"n.配偶,对手,助手vt.使配对,使一致,结伴vi.成配偶,紧密配合"
nonsense,"n.胡说,废话"
attach,"vt.缚上,系上,贴上v.配属,隶属于"
orient,"n.东方,东方诸国(指地中海以东各国)adj.东方的,上升的,灿烂的vi.适应形势,向东vt.使朝东,使适应,确定方向"
pathway,"n.路,径"
suspend,"vt.吊,悬挂v.延缓"
swab,"n.拖把,药签vt.拭抹,擦洗"
theology,n.神学
unfolding,
visible,"adj.看得见的,明显的,显著的n.可见物"
wholesale,"n.批发,趸售adj.批发的,[喻] 大规模的"
across,"adv.横过,交叉地,在对面 prep.越过,交叉,在...的那边,在...对面那边"
anxious,"adj.观念的,担忧的,渴望的,盼望的"
attack,"n.进攻,攻击,(用语言)抨击,批评,疾病发作,侵袭vt.攻击,抨击,动手处理(某事)vi.攻击"
bandwidth, 带宽
body,"n.身体,肉体,人,尸体,主要部分,团体,大量vt.赋以形体"
carry-on,
cultural,adj.文化的
divert,"v.转移,转向,使高兴"
embarrassed,
erase,"vt.抹去,擦掉,消磁,<俚>杀死"
fantasize,"v.梦想,幻想"
grassland,"n.牧草地,草原"
holiness,"n.神圣,(对教皇的尊称)陛下"
instinctive,adj.本能的
investigator,n.调查人
leading,"adj.领导的,第一位的,最主要的"
minimal,"adj.最小的,最小限度的"
oppressive,"adj.压制性的,压迫的,沉重的,难以忍受的"
paper,"n.纸,报纸,文件,证件,论文,考卷vt.用纸糊(墙壁等),用纸包装adj.纸的,象纸的,纸上的"
pocketbook,"n.笔记本,钱袋,皮夹,经济来源"
problem,"n.问题,难题"
reader,"n.读者,读物,读本,读卡机"
remodel,"vt.重新塑造,改造,改变"
rural,"adj.乡下的,田园的,乡村风味的,生活在农村的"
sensible,"adj.有感觉的,明智的,有判断力的"
society,"n.社会,...会,...社,友伴,交际,社交界,上流社会"
storehouse,n.仓库
time-limited,
tuition,n.学费
volunteer,"n.志愿者,志愿兵adj.志愿的,义务的,无偿的v.自愿"
widen,"v.加宽,放宽,扩展"
bid,"vt.出价,投标,祝愿,命令,吩咐n.出价,投标v.支付"
cell,"n.单元,细胞,蜂房,(尤指监狱或寺院的)单人房间,电池"
customer,n.消费者
cut,"v.切(割、削),(直线等)相交,剪,截,刺穿,刺痛,删节,开辟n.(刀、剑、鞭等的)切削,削减,删节,伤口,切口"
cute,"adj.可爱的,聪明的,伶俐的,装腔作势的"
defeat,"n.击败,战胜,失败vt.击败,战胜,使失败,挫折v.击败"
female,"n.女性,女人,雌兽adj.女性的,女子的,妇女的,雌的,柔弱的,(声,色)柔和的"
good-natured,
here,"adv.在这里,此时,这时,[宗]在尘世间n.这里"
letter,"n.文字,字母,信函,字面意义,铅字,(pl.)证书,(pl.)文学,学问vt.用字母标明,在...上刻(或题)字vi.写印刷体字母"
mathematics,n.数学
non-standard,
origin,"n.起源,由来,起因,出身,血统,[数]原点"
patient,"n.病人,患者adj.忍耐的,耐心的"
reconsider,"v.重新考虑,重新审议"
see,"v.看,看见,了解,领会,注意,留心,经历,阅历"
swear,"vi.诅咒v.宣誓,发誓"
congress,"n.(代表)大会,[C～] (美国等国的)国会,议会"
congressional,"adj.会议的,大会的,国会的"
sweat,n.汗v.(使)出汗
wide,"adj.宽的,广阔的,张大的,远离目标的adv.广阔地,广大地,远离目标地"
bilingual,adj.能说两种语言的
census,n.人口普查
cycle,"n.周期,循环,自行车,一段时间,整套,(电学)周波vi.循环,轮转,骑自行车vt.使循环,使轮转"
encourage,"vt.鼓励,怂恿v.鼓励,鼓励"
goods,"n.货物,<美俚>工具"
inch,n.英寸(=1/12英尺)
level,"n.水平,水平面,水准,标准,级别adj.同高的,平坦的,齐平的,水平的vt.使...水平,夷平,使同等,瞄准,对准vi.变平,拉平"
matter,"n.事件,问题,物质,内容,实质,原因,(印刷或书写的)文件,(文章或讲话等的)素材vi.有关系,要紧"
norm,"n.标准,规范"
patrol,"v.出巡,巡逻n.巡逻"
reconstruct,"v.重建,改造,推想"
seek,"v.寻找,探索,寻求"
sweater,"n.厚运动衫,毛线衫"
sweep,"v.扫,打扫,清扫,席卷,冲光,扫过,掠过"
swim,"n.游泳,漂浮,潮流,眼花adj.游泳时穿戴的vi.游泳,游,漂浮,旋转,覆盖,充溢,眩晕,浸vt.游过,使浮起adj.游泳时穿戴的"
swing,"v.摇摆,摆动,回转,旋转n.秋千,摇摆,摆动"
therapy,n.治疗
unfortunately,adv.不幸地
visit,"n.拜访,访问,游览,参观,(作客)逗留,视察,调查vt.拜访,访问,参观,视察,降临vi.访问,参观,闲谈"
bill,"n.帐单,钞票,票据,清单,议案,法案,广告vt.用海报宣传,把...列成表,给...开帐单"
centre,"n.中心,中央,中心区v.集中"
center,"n.中心,中央,中心点,中锋adj.中央的,位于正中的vt.集中,使聚集在一点,定中心,居中vi.居中,有中心,被置于中心"
end,"n.末端,尽头,结束,目标,限度,梢,末端,死亡v.结束,终结,终止"
fever,"n.发烧,发热,热病,狂热,高度兴奋v.(使)发烧,(使)患热病,(使)狂热"
gossip,"n.闲话,闲谈"
hijack,"vt.抢劫,劫持,劫机,揩油"
highjack,"v.抢劫(走私卡车等),劫持"
meaningless,adj.无意义的
ought," aux.(～ to [verb]) 应当,应该"
seem,"vi.象是,似乎"
system,"n.系统,体系,制度,体制,秩序,规律,方法"
thermostat,"n.自动调温器,温度调节装置"
unimaginable,"adj.,想不到的,不可思议的"
unionist,"n.联合主义者,工会会员,工会主义者"
vital,"adj.生死攸关的,重大的,生命的,生机的,至关重要的,所必需的"
wild,"adj.野性的,野生的,野蛮的,狂热的,疯狂的"
will,"n.意志,决心,意向,遗嘱v.aux.将,愿意,必须"
adjoining,"adj.邻接的,隔壁的"
billion,n.adj.十亿(的)
certain,"adj.确定的,某一个,无疑的,必然的,可靠的 pron.某几个,某些"
few,"adj.很少的,不多的,少数的n.[表示否定]很少数,几乎没有"
govern,"v.统治,支配,管理"
hinder,"adj.后面的v.阻碍,打扰"
liberty,"n.自由,特权,随意,冒失,冒昧,失礼"
maximum,"n.最大量,最大限度,极大adj.最高的,最多的,最大极限的"
pay,"n.薪水,工资v.支付,交纳,给予,有利,值得,合算"
recover,"vt.重新获得,恢复,使改过vi.痊愈,复原,胜诉"
seething,"adj.沸腾的,火热的"
thick,"adj.厚的,粗的,稠的,浓的n.最拥挤部份,活动最多部份,事物的粗大浓密部份"
uninformed,"adj.未被通知的,未获情报,无生气的"
vivid,"adj.生动的,鲜明的,鲜艳的,大胆的,清晰的,活泼的,逼真的"
wilful,adj.任性的
willful,"adj.任性的,故意的"
bind,"v.绑,镶边,装订,凝固,约束"
defy,"vt.不服从,公然反抗,藐视,挑衅,违抗,使...难于n.挑战"
endure,"v.耐久,忍耐"
fiction,"n.虚构,编造,小说"
grace,"n.优美,雅致,优雅 Grace 格雷斯(女子名)"
hip,"n.臀,蔷薇果,忧郁adj.熟悉内情的vt.使忧郁,给(屋顶)造屋脊int.喝彩声"
mean,"adj.低劣的,卑鄙的,普通的,吝啬的,简陋的,平均的,惭愧的,不舒服的vt.意谓,想要,预定vi.用意,有意义n.平均数,中间,中庸"
note,"n.笔记,短信,(外交)照会,注解,注释,票据,纸币,音符vt.注意,记录,笔记"
outlive,"v.比...长命,比...耐久,渡过...而存在,经受住"
paycheck,"n.付薪水的支票,薪水"
thin,"adj.薄的,细的,瘦的,稀少的,稀疏的,(液体、气体)稀薄的,淡的,空洞的vt.使变薄,使变细,使稀少,使淡vi.变薄,变细,稀少,变淡adv.薄地,稀疏地,微弱地n.细小部分"
union,"n.联合,合并,结合,联盟,协会"
vocation,"n.召唤,号召,天命,天职,特殊的适应性,才能,行业,职业"
win,"v.(获)胜,赢得,劝诱,取得胜利n.赢,胜利"
actually,"adv.实际上,事实上,竟然,居然,如今"
anymore,"adv.不再,再也不"
bang,"n.重击,突然巨响v.发巨响,重击"
case,"n.事,病例,案例,情形,场合,讼案,容器,(语法)格"
collective,adj.集体的n.集体
converge,"v.聚合,集中于一点vt.会聚"
cunning,"adj.狡猾的,巧妙的,<美>漂亮的,可爱的n.狡猾,诡诈"
difficult,"adj.困难的,艰难的,(人)难相处的"
doctrine,"n.教条,学说"
erupt,vt.喷出vi.爆发
formally,"adv.正式地,形式上"
grassroots,
homebuyer,
indication,"n.指出,指示,迹象,暗示"
instructor,"n.教师,<美>讲师"
involuntary,"adj.自然而然的,无意的,不知不觉的,偶然的,不随意的"
legacy,"n.遗赠(物),遗产(祖先传下来)"
mandatory,"adj.命令的,强制的,托管的"
minimize,vt.将...减到最少v.最小化
normal,"n.正规,常态,[数学]法线adj.正常的,正规的,标准的"
orbiter,"n.盘旋物,人造卫星"
paradise,n.天堂
polarize,"v.(使)偏振,(使)极化,(使)两极分化"
reasonableness,"n.合理,妥当"
renaissance,"n.复兴,复活,新生,文艺复兴,文艺复兴时期"
rustle,"n.沙沙声,飒飒声vi.发出沙沙声,奋力工作,急速移动vt.使沙沙响"
solvable,"adj.可以解的,可以解决的"
streaming,
tablet,"n.写字板,书写板,碑,牌匾,拍纸簿,便笺簿,药片,小块"
timely,"adj.及时的,适时的"
tune,"n.曲调,调子,和谐,合调vt.调音,调整,拨收,收听,知道或察觉他人所说的话或表现的情绪"
unresponsive,"adj.无答复的,反应迟钝的,感受性迟钝的,无同情心的"
voter,"n.投票者,选举人,有投票权者"
widow,n.寡妇v.使成寡妇(或鳏夫)
chair,"n.椅子,教授职位,主席位,讲座vt.使入座,使就任要职"
degrade,"v.(使)降级,(使)堕落,(使)退化"
energy,"n.精力,精神,活力,[物]能量"
field,"n.原野,旷野,领域,(一块)田地,牧场,域,战场,运动场vt.把(谷物等)暴晒于场上,使上场vi.担任场外队员adj.田间的,野生的,野外的,田赛的 扫描场"
graduate,"n.(大学)毕业生,研究生v.(使)(大学)毕业"
hire,"n.租金,工钱,租用,雇用vt.雇请,出租vi.受雇"
live,"adj.活的,生动的,精力充沛的,实况转播的,点燃的vi.活着,生活,居住,流在人们记忆中vt.过着,度过,经历adv.以实况地"
measure,"n.尺寸,量度器,量度标准,方法,测量,措施vt.测量,测度,估量,分派,权衡,调节vi.量"
noteworthy,"adj.值得注目的,显著的"
peace,"n.和平,和睦,安宁,静寂vi.安静下来"
recur,"vi.复发,重现,再来"
self-conscious,
think,"v.想,思索,认为vt.认为,以为,预料"
beyond," prep.在(到)...较远的一边,超过,那一边adv.在远处n.远处"
unpleasant,"adj.使人不愉快的,讨厌的"
degree,"n.度数,度,程度,[律](罪行的)轻重,学位,地位,身份,[数]次数"
fierce,"adj.凶猛的,猛烈的,热烈的,暴躁的<美>极讨厌的,难受的,<英方>精力旺盛的"
grain,"n.谷物,谷类,谷粒,细粒,颗粒,粮食"
whistle,"n.口哨,汽笛,口哨声,汽笛声v.吹口哨,鸣汽笛"
gross,"adj.总的,毛重的n.总额"
burdensome,"adj.繁重的,烦累的,难以承担的"
spark,"n.火花,火星,闪光,情郎,花花公子,活力,电信技师,瞬间放电vi.闪烁,发火花,求婚vt.发动,鼓舞,使有朝气,求婚"
unilateral,"adj.单方面,单边的,片面的,单系,[植]单侧的,[语]单边音"
time,"n.时间,时侯,时机,节拍,期限,次数,时期,比赛限时vt.安排...的时间,记录...的时间,计时,定时vi.打拍子,(...)合拍adj.时间的,记时的,定时的,定期的,分期的 /n.时间/日期"
keep,"n.保持,保养,生计,监狱,[史]要塞vt.保持,保存,遵守,经营,看守,拘留,维持,记(日记,帐等)vi.保持,继续不断"
cascade,"n.小瀑布,喷流vi.成瀑布落下n.层叠"
medieval,"adj.中世纪的,仿中世纪的,老式的,<贬>原始的"
bridge,"n.桥,船桥,鼻梁,桥牌vt.架桥,渡过;网桥"
unexplored,
each,"adj.各自的,每个的,每一 pron.各,各自,每个adv.每个"
animal,n.动物
voice,"n.声音,嗓音,发音能力,意见,发言权,[语法]语态vt.表达,吐露"
wind,"n.风v.绕,缠,上发条,旋紧"
Hispanic,
income,"n.收入,收益,进款,所得"
medicine,"n.药,医学,内科学,内服药vt.给...用药"
notice,"n.通知,布告,注意v.注意到"
outside,"n.外面,外表,外界adj.外面的,外表的,外界的adv.在外面,外表,出界 prep.在...外"
redefine,vt.重新定义vi.重新定义
sell,"v.出售,卖"
thorough,"adj.十分的,彻底的"
void,"n.空间,空旷,空虚,怅惘adj.空的,无人的,空闲的,无效的,无用的,没有的"
wing,"n.翅,翅膀,翼,飞翔,机翼,派别vt.装以翼,飞过,使飞,空运,增加...速度vi.飞,飞行"
biomass,n.(单位面积或体积内)生物的数量
constrain,"vt.强迫,抑制,拘束"
delay,"v.耽搁,延迟,延期,迟滞n.耽搁,延迟,迟滞"
engage,"vt.使忙碌,雇佣,预定,使从事于,使参加vi.答应,从事,交战,[机]接合,啮合"
fight,"n.打架,战斗,斗志vi.打仗,搏斗,对抗,打架vt.与...打仗,指挥战斗,反对...提案"
grammar,"n.文法,有关原理的书,入门的书"
history,"n.历史,历史学,过去的事(的记载),来历,历史记录"
incomplete,"adj.不完全的,不完善的"
lifestyle,
memory,"n.记忆,记忆力,回忆,存储(器),存储器 存储器,内存"
notion,"n.概念,观念,想法,意见,打算,主张,(复数)<美语>小饰物"
outweigh,v.在重量(或价值等)上超过
semen,"n.精液,精子"
though,"adv.虽然,可是 conj.虽然,尽管"
unpretentious,"adj.不骄傲的,谦逊的"
volume,"n.卷,册,体积,量,大量,音量"
wipe,"v.擦,揩,擦去"
chance,"n.机会,可能性,偶然性,运气v.碰巧,偶然发生,冒...的险adj.偶然的"
engine,"n.发动机,机车,火车头"
hither,adv.这里
inconclusive,adj.非决定的
lift,"n.举起,电梯,起重机,搭车vt.升高,提高,举起,空运vi.升起,(指雾等)消散,耸立"
novel,"n.小说,长篇故事adj.新奇的,新颖的,异常的"
oval,"adj.卵形的,椭圆的n.卵形,椭圆形"
ovary,"n.(生物)卵巢,(植物)子房"
send,"vt.送,寄,发送,派遣,打发"
thoughtless,adj.欠考虑的
unique,"adj.唯一的,独特的"
vote,"n.投票,选举,选票,选举权,表决,得票数vi.投票,选举vt.投票选举,投票决定,公认,<口>建议,使投票"
adopt,"vt.采用,收养"
fill,"vt.装满,注满,充满,填充,弥漫,供应,供给,满足vi.充满n.满足,饱,充分,填方v.填充"
grape,"n.葡萄,葡萄树"
hold,"n.把握,把持力,柄,控制,监禁,掌握,货舱vt.拿着,保存,支持,占据,持有,拥有vi.支持,保持,有效n.控制,保留"
incorrect,"adj.错误的,不正确的"
light,"n.光,日光,发光体,灯adj.轻的,发光的,明亮的,浅的vt.点燃,照亮adv.轻地vi.点着,变亮"
mere,"adj.仅仅的,起码的,纯粹的"
nowhere,"adv.无处,到处都无"
over,"adv.结束,越过,从头到尾 prep.在...之上,越过adj.上面的vt.额外的东西,越过n.额外的东西"
re-evaluate,
senior,"adj.年长的,资格较老的,地位较高的,高级的"
unsustainable,
wise,"adj.英明的,明智的,慎虑的,聪明的,博学的,明白的,贤明的,狡猾的vi.知道vt.告诉,劝导n.方法,方式"
birth,"n.出生,产生,出身"
change,"n.改变,变化,转变,找回的零钱,找头,辅币vt.改变,变革,改造,兑换"
delicious,adj.美味的
enjoy,"vt.享受...的乐趣,欣赏,喜爱v.满意"
film,"n.薄膜,膜层,胶卷,影片,薄雾,轻烟,电影vt.在...上覆以薄膜,拍成电影vi.生薄膜,变成朦胧,拍电影"
grasp,"vt.抓住,抓紧,掌握,领会n.抓住,抓紧,掌握,领会"
homogeneous,"adj.同类的,相似的,均一的,均匀的"
increase,"n.增加,增大,增长vt.增加,加大vi.增加,繁殖"
like,"n.爱好,同样的人(或物)adj.相似的,同样的vt.喜欢,希望,愿意vi.喜欢,希望 prep.象,如同adv.可能"
overall,"adj.全部的,全面的"
penny,"n.便士,<美> 分"
refer,"vt.提交,谈及,归诸于,指点把...提交,使求助于vi.提到,涉及,查阅,咨询"
sense,"n.官能,感觉,判断力,见识,...感,意义,理性vt.感到,理解,认识"
thrill,v.发抖
wish,"n.愿望,心愿,请求,所愿望的事物,祝愿v.希望,想要,但愿,祝贺"
advance,"n.前进,提升,预付款v.前进,提前,预付adj.前面的,预先的 预付(款项)"
birthplace,n.诞生地
delight,"n.快乐,高兴,喜悦v.(使)高兴,(使)欣喜"
register,"n.记录,登记簿,登记,注册,寄存器vt.记录,登记,注册,提示,把...挂号vi.登记,注册,挂号"
enlarge,"v.扩大,放大"
grass,n.草
honor,"n.尊敬,敬意,荣誉,光荣vt.尊敬,给以荣誉"
honour,"n.尊敬,敬意,荣誉,光荣vt.尊敬,给以荣誉"
incur,v.招致
likely,"adj.很可能的,合适的,可靠的,有希望的adv.或许,很可能"
number,"n.数,数字,数量,号码,算术,诗,韵律v.遍号码,共计...,计入,计算,算入"
overburden,"vt.装载过多,负担过多,使过劳n.过重的负担"
sentence,"n.句子,判决,宣判,文句vt.宜判,判决"
thrive,"v.兴旺,繁荣,茁壮成长,旺盛"
unjust,adj.不公平的
wit,"n.智力,才智,智慧"
additional,"adj.另外的,附加的,额外的"
banker,n.银行家
cautiousness,
college,"n.(综合大学中的)学院,(独立的)学院,<美>大学,<英>公学,书院,高等专科学院,大学,学会"
curriculum,n.课程
dip,
embodiment,"n.体现,具体化,化身"
especially,"adv.特别,尤其"
favoritism,"n.偏爱,得宠,偏袒"
favouritism,
forthcoming,adj.即将来临的n.来临
industrial,"adj.工业的,产业的,实业的,从事工业的n.工业工人,[商]工业股票"
involvement,"n.连累,包含"
legally,"adv.法律上,合法地"
manuscript,"n.手稿,原稿"
minute,"n.分,分钟,片刻,一瞬间,备忘录,笔记vt.记录,摘录,测定时间adj.微小的,详细的,仔细而准确的"
ordinary,"adj.平常的,普通的,平凡的n.[律] 推事,<英>[宗]罪犯的忏悔牧师"
parliament,"n.国会,议会"
police,"n.警察队,警察机关,公安部门vt.管辖,维持治安adj.警察的,有关警察的"
receive,"vt.收到,接到,接收,遭到,受到,接待,接见"
renewal,"n.更新,复兴,恢复,续借,重申,补充"
shed,"vt.流出,发散,散发,脱落,脱皮,摆脱n.分水岭,棚,小屋,工棚,货棚v.把...放入棚内,流下"
somewhat,"adv.稍微,有点,有些"
tag,"n.标签,鞋带、绳子等末端的金属物,垂下物,附属物,名称,标记符,陈词滥调,结束语vt.加标签于,紧随,添饰,起浑名,连接vi.紧随"
time-wasting,
ultra-thin,
unsettled,"adj.未处理的,未决定的"
wallet,"n.皮夹,钱夹,钓鱼带"
wildfire,"n.古时攻打敌船所用的燃料剂,磷火,鬼火,散布(或传播)极快的事物"
bite,
find,"vt.找到,发现,感到,查明,得到,认为,见到...的存在vi.裁决n.发现 [计] 在文件中查找指定的字符串"
hook,"n.钩,吊钩v.钩住,沉迷,上瘾"
indeed,
likewise,"adv.同样地,照样地,又,也n.同样地"
mess,"n.混乱,脏乱v.弄乱"
overcharge,"v.讨价过高,使过量装填过度充电n.超载,过重的负担,过度充电"
reform,"n.改革,改善,改良运动,感化vt.改革,革新,重新组成vi.革新,改过,重组"
consequence,"n.结果,[逻]推理,推论,因果关系,重要的地位"
consequently,"adv.从而,因此"
separate,"adj.分开的,分离的,个别的,单独的v.分开,隔离,分散,分别"
throat,"n.咽喉,喉咙,嗓音,窄路,口子vt.用喉音说,开沟于"
unknowable,"adj.不能知道的,不可知的"
witch,"n.巫婆,女巫,迷人的女子vt.施巫术,迷惑"
advertise,"v.做广告,登广告"
advertize,"vt.做广告,通知vi.做广告"
bitter,"adj.苦的,痛苦的,怀恨的"
enormous,"adj.巨大的,庞大的,<古>极恶的,凶暴的"
fine,"adj.美好的,优良的,杰出的,精美的,杰出的,细,纤细,纯粹n.罚款,罚金,晴天,精细vt.罚款,精炼,澄清vi.变清,变细adv.<口>很好,妙,[常用于构成复合词]细微地,精巧地"
grave,"n.墓穴,坟墓adj.严重的,(颜色)黯淡的,(声音)低沉的v.雕刻,铭记"
horizon,"n.地平线n.地平(线),(知识,思想等的)范围,视野"
limb,"n.肢,翼,分支"
message,"n.消息,通讯,讯息,音讯,差使,广告词,预言,教训vt.通知vi.带信息"
overcome,"vt.战胜,克服,胜过,征服vi.得胜"
perfect,"n.完成式adj.完美的,全然的,理想的,正确的,熟练的,精通的完成式的vt.使完美,修改,使熟练"
refreshing,"adj.提神的,凉爽的,使人喜欢的"
through," prep.穿过,通过,从开始到结束,经由,以adv.从头到尾,自始至终,直达地,彻底,完全adj.直达的,直通的"
unknown,"adj.不知道的,未知的n.不知名的"
blaspheme,"v.亵渎,咒骂,辱骂"
blame,"n.过失,责备vt.责备,谴责"
charge,"n.负荷,电荷,费用,主管,掌管,充电,充气,装料v.装满,控诉,责令,告诫,指示,加罪于,冲锋,收费"
enrage,vt.激怒
fine-grained,
graveyard,n.墓地
hormone,"n.荷尔蒙,激素"
limit,"n.界限,限度,限制vt.限制,限定"
method,n.方法
overdressed,
refuse,"vt.拒绝,谢绝n.废物,垃圾"
unless," conj.如果不,除非"
blog,
demographics,
enrich,"vt.使富足,使肥沃,装饰,加料于,浓缩"
finger,"n.手指(尤指大拇指以外的手指),指状物,指针,查找器(查找因特网用户的程序)v.用手指拨弄,伸出"
great,"adj.伟大的,大的,强烈的,非常的,主要的,大写的,重大的,崇高的adv.顺利地,得意地n.全部,大人物,大师"
horn,"n.(牛、羊等的)角,喇叭,触角v.装角"
line,"n.绳,索,线路,航线,诗句vt.排成一行,顺...排列,划线于,使有线条,使起皱纹vi.排队"
mind,"n.头脑,智力,精神,意见,情绪vi.介意,照顾,留心vt.注意,留意,专心于,照看,介意"
period,"n.时期,学时,节,句点,周期,(妇女的)经期adj.过去某段时期的int.没有了"
regal,"adj.帝王的,适于帝王的"
serious,"adj.严肃的,认真的,严重的"
stem,"n.茎,干,词干,茎干v.滋生,阻止"
throw,"n.投,掷v.扔,抛,(指马)把骑者摔在地上,使苦恼,惊忧,投掷"
need,"n.需要,必需,必需品,要求,贫困vt.需要 modalv.必要,必须"
highly,"adv.高地,非常"
attune,"vt.(为乐器)调音,使合调,使相合"
enemy,"n.敌人,仇敌,[集合名词]敌军,[喻]大敌adj.敌人的,敌方的"
asocial,"adj.缺乏社交性的,自我中心的,自私的"
mouse,"n.鼠,耗子v.搜寻"
colorful,"adj.华美的,色彩的,有趣的"
colourful,"adj.富色彩的,华美的"
cage,"n.笼,槛,(矿井)贯笼"
size,"n.大小,尺寸,(衣服等)尺码vt.依大小排列 /n.大小/移动"
tail,"n.尾部,尾巴,尾状物,后部,踪迹,排的长队,限定继承权;adj.在后面的,限定继承的,尾部的,后面来的,后部的;vt.为...装尾,附于其后,尾随,跟踪,监视,使架住;vi.成为散乱的行列,跟踪,嵌入,船尾搁浅"
smell,"n.气味,臭味,嗅觉v.嗅,闻到,散发(...的)气味,有(...的)气味"
unlike,"adj.不同的,不相似的 prep.不象...,和...不同"
blood,"n.血,血液,血统v.使(某人)先取得经验"
chase,"n.追赶,追击vt.追赶,追逐,雕镂"
finite,"adj.有限的,[数]有穷的,限定的"
great-grandparent,
horrify,"v.使恐怖,使极度厌恶,惊骇"
mine,"n.矿,矿山,矿井,源泉,宝库,地雷,水雷vt.挖掘,开采,在...布雷,破坏vi.开矿,埋设地雷 pron.我的"
overfish,
perish,"vi.毁灭,死亡,腐烂,枯萎vt.毁坏,使麻木"
sermon,"n.训诫,说教,布道"
thrust,"n.插,戳,刺,推力,猛推,口头攻击vt.力推,冲,插入,挤进,刺,戳,强加,延伸vi.插入,刺,戳,延伸,强行推进"
unmistakable,"adj.明白的,不会弄错的"
wonder,"n.奇迹,惊奇,惊愕vt.对...感到惊讶,惊奇,想知道vi.惊讶,怀疑adj.非凡的,奇妙的"
board,"n.木板,(供特殊用途的)木板,甲板,膳食费用,会议桌,部vt.用板盖上,包饭,提供膳食,上(船、飞机等)"
chat,v.聊天n.聊天
chatter,"n.(动物,尤其是鸟类)唠叨,啁啾声,(小溪的)潺潺流水声vi.喋喋不休的谈,卡搭作响"
fire,"n.火,炉火,火灾,失火,闪光,炮火,热情,激情vt.点燃,烧制,使发光,给(炉子等)加燃料,放枪,激动,<口>解雇vi.开枪,射击,着火,烧火,激动"
green,"n.绿色,绿色颜料,绿色物品adj.绿色的,未成熟的,新鲜的,精力旺盛的,无经验的,青春的"
horse,"n.马,[总称]骑兵,脚架,马力vi.骑马,作弄人vt.使骑马,系马于"
linguist,n.语言学家
miniskirt,"n.迷你短裙,超短裙"
overfund,
serve,"v.当仆人,服务,服役,供职,招待,侍候,供应,适合n.发球"
unnecessary,"adj.不必要的,多余的"
word,"n.字,词,话,消息,诺言,命令vt.为...措辞"
boil,"n.沸点,沸腾,疖子v.煮沸,激动"
cheat,"n.欺骗,骗子v.欺骗,骗取"
dentist,n.牙科医生
entail,"vt.使必需,使蒙受,使承担,遗传给n.[建]限定继承权"
fireplace,n.壁炉
greet,"vt.问候,向...致意,获悉(消息),映入眼帘"
indirect,"adj.间接的,迂回的"
link,"n.链环,连结物,火把,链接vt.连结,联合,挽vi.连接起来"
minister,"n.部长,大臣"
overlap,v.(与...)交迭
tiny,"adj.很少的,微小的"
unrealistic,"adj.不切实际的,不实在的"
work,"n.工作,劳动,操作,职业,[物]功,手工,作品,机件v.(使)工作,(使)运转,起作用,造成,产生,经营,(使)渐渐移动,煅制"
adherence,"n.粘着,忠诚,坚持"
collapse,"n.倒塌,崩溃,失败,虚脱vi.倒塌,崩溃,瓦解,失败,病倒"
baseless,adj.无根据的
boundary,"n.边界,分界线"
cease,"v.停止,终了"
comfortable,adj.舒适的
data,"n.datum的复数,[计] 资料,数据"
diplomacy, 外交
embody,"vt.具体表达,使具体化,包含,收录"
