accord,"n.一致,符合,调和,协定;vt.一致,给与;vi.符合"
visual,"adj.看的,视觉的,形象的,栩栩如生的"
volume,"n.卷,册,体积,量,大量,音量"
weird,"adj.怪异的,超自然的,神秘的,不可思议的,超乎事理之外的n.<古><苏格兰>命运,预言,符咒"
welfare,"n.福利,安宁,幸福,福利事业,社会安全adj.福利的"
witness,"n.[律]证人,目击者,证据,证明,证词vt.目击,为...作证,证明,表明vi.作证,成为证据"
abandon,"vt.放弃,遗弃;n.放任,狂热"
abound,"vi.多,大量存在,富于,充满"
absorb,"vt.吸收,吸引"
absurd,"adj.荒谬的,可笑的"
academy,"n.(高等)专科院校,研究院,学会,学术团体,学院"
accelerate,"v.加速,促进"
accordingly,"adv.因此,从而"
accountant,"n.会计(员),会计师"
accurate,"adj.正确的,精确的"
acquaint,"vt.使熟知,通知"
acute,"adj.敏锐的,[医]急性的,剧烈"
administer,"v.管理,给予,执行"
adolescent,"adj.青春期的,青春的;n.青少年"
advent,"n.(尤指不寻常的人或事)出现,到来 (Advent)n. 基督降临 2降临节"
advisable,"adj.可取的,明智的"
aerial,"adj.航空的,生活在空气中的,空气的,高耸的n.天线"
affiliate,"v.(使...)加入,接受为会员"
agony,"n.苦恼,极大的痛苦"
agreeable,"adj.使人愉快的,惬意的,适合的"
allege,"vt.宣称,断言"
alleviate,"vt.使(痛苦等)易于忍受,减轻"
alliance,"n.联盟,联合"
alternate,"adj.交替的,轮流的,预备的v.交替,轮流,改变"
altitude,"n.(尤指海拔)高度,高处(海拔甚高的地方),(等级,地位等)高等"
amaze,vt.使吃惊
ambulance,"n.战时流动医院,救护车"
amiable,"adj.亲切的,和蔼可亲的"
amid, prep.在...中
ample,"adj.充足的,丰富的"
amuse,"vt.使发笑,使愉快"
analogy,"n.类似,类推"
anecdote,"n.轶事,奇闻"
annoy,"vt.使苦恼,骚扰"
anonymous,adj.匿名的
antique,"n.古物,古董adj.古时的,过时的"
apartment,"n.<美>公寓住宅,单元住宅,房间"
appliance,"n.用具,器具"
applicable,"adj.可适用的,可应用的"
appoint,"vt.约定,指定(时间,地点),任命,委任"
appointment,
architecture,"n.建筑,建筑学 体系机构"
arithmetic,"n.算术,算法"
articulate,"adj.有关节的,发音清晰的vt.用关节连接,接合,清晰明白地说"
aspire,"vi.热望,立志"
assault,"n.攻击,袭击v.袭击"
assurance,"n.确信,断言,保证,担保"
astonish,vt.使惊讶
atom,n.原子
attendant,n.服务员
attorney,"n.<美>律师,(业务或法律事务上的)代理人"
automatic,"n.自动机械adj.自动的,无意识的,机械的"
autonomy,n.自治
auxiliary,"adj.辅助的,补助的"
await,vt.等候
awkward,"adj.难使用的,笨拙的"
backward,"adv.adj.向后地(的),相反地(的),追溯,退步,由好变坏"
bait,"n.饵,诱惑物vt.以饵引诱(动物),把饵装上,欺负,折磨vi.中途休息"
ballot,"n.选举票,投票,票数vi.投票"
beam,"n.梁,桁条,(光线的)束,柱,电波,横梁v.播送"
beneath,adv.在...之下 prep.在...之下
bitter,"adj.苦的,痛苦的,怀恨的"
blade,"n.刀刃,刀片"
blog,
boast,"n.自夸,值得夸耀的事物v.自夸,以有...而自豪"
bond,"n.结合(物),粘结(剂),联结,公债,债券,合同v.结合"
bonus,"n.奖金,红利"
bound,"n.跃进,跳,范围,限度adj.正要启程的,开往...去的,被束缚的,装订的v.跳跃,限制"
breakdown,"n.崩溃,衰弱,细目分类"
breast,"n.胸部,乳房,胸怀,心情vt.以胸对着,对付"
breed,"v.(使)繁殖,教养,抚养n.品种,种类"
bribe,"n.贿赂vt.贿赂,向...行贿"
bruise,"n.瘀伤,擦伤v.打伤,撞伤"
bud,"n.芽,蓓蕾vi.发芽,萌芽"
bulk,"n.大小,体积,大批,大多数,散装vt.显得大,显得重要,"
burst,"v.爆裂,炸破,急于,爆发n.突然破裂,爆发,脉冲"
cabin,"n.小屋,船舱"
canoe,"n.独木舟,轻舟"
cape,"n.海角,岬"
census,n.人口普查
chase,"n.追赶,追击vt.追赶,追逐,雕镂"
cherish,"vt.珍爱,怀抱(希望等)"
chip,"n.碎片,筹码v.削成碎片,碎裂 芯片"
choke,"v.窒息,哽住,使呼吸困难,阻塞n.窒息,阻气门"
chop,"n.砍,排骨,官印,商标vt.剁碎,砍,(风浪)突变"
circulate,"v.(使)流通,(使)运行,(使)循环,(使)传播"
circus,"n.马戏团,杂技团,马戏场,杂技场"
civilize,"vt.使开化,使文明,教化"
civilise,"v.(=civilize)文明化,教化"
classic,"n.[pl.] 杰作,名著adj.第一流的"
classify,"vt.分类,分等"
clause,"n.子句,条款"
claw,"n.爪,脚爪v.抓"
cling,"vi.粘紧,附着,紧贴,坚持(意见),墨守(习惯)"
clip,"n.夹子,回形针,子弹夹vt.夹住,剪短,修剪"
cloak,"n.斗蓬,宽大外衣,掩护vt.用外衣遮蔽,披斗篷"
cluster,"n.串,丛;vi.丛生,成群"
coincide,"vi.一致,符合"
collaborate,"vi.合作,通敌"
column,"n.圆柱,柱壮物,专栏,纵队"
combination,"n.结合,联合,合并,化合,化合物"
commence,"v.开始,着手"
commute,"v.交换,抵偿,减刑,<电工>整流"
compatible,"adj.谐调的,一致的,兼容的"
compel,"vt.强迫,迫使"
competent,"adj.有能力的,胜任的"
compliment,"n.称赞,恭维,致意,问候,道贺vt.称赞,褒扬,恭维"
comprehend,"vt.领会,理解,包括(包含),由...组成"
compress,"vt.压缩,摘要叙述n.(外科)敷布"
compulsory,"adj.必需做的,必修的,被强迫的,被强制的,义务的"
compute,"v.计算,估计,用计算机计算(或确定)"
conceal,"vt.隐藏,隐蔽,隐瞒v.隐蔽"
concise,"adj.简明的,简练的"
condense,"v.(使)浓缩,精简"
confess,"v.承认,坦白,忏悔"
confidential,"adj.秘密的,机密的"
conjunction,"n.联合,关联,连接词"
conquer,"vt.征服,战胜,占领,克服(困难等),破(坏习惯等)"
consensus,"n.一致同意,多数人的意见,舆论"
consent,"vi.同意,赞成,答应n.同意,赞成,允诺"
consolidate,v.巩固
conspicuous,adj.显著的
conspiracy,"n.共谋,阴谋"
contemporary,"n.同时代的人adj.当代的,同时代的"
conversely,"adv.倒地,逆地"
convict,"vt.证明...有罪,宣告...有罪n.罪犯"
coordinate,"n.同等者,同等物,坐标(用复数)adj.同等的,并列的vt.调整,整理"
correspondence," /n.函授 principle//n.对 school//n.函授/n.相应,通信,信件/纬"
counsel,"n.讨论,商议,辩护律师vt.劝告,忠告"
coupon,"n.息票,商家的优待券"
crude,"adj.天然的,未加工的,粗糙的,拙劣的,粗鲁的n.天然的物质"
cue,"n.暗示,提示,球杆"
cultivate,"vt.培养,耕作"
curse,"n.诅咒,咒语,祸根,祸因vt.诅咒,咒骂,降祸,使受罪"
curve,"n.曲线,弯曲,[棒球]曲线球,[统]曲线图表vt.弯,使弯曲vi.成曲形"
damn,v.谴责
declare,"vt.断言,宣称,宣布,宣告,声明,(向海关)中报进口应纳税之货物"
decorate,"v.装饰,为...做室内装修"
deficiency,"n.缺乏,不足"
delete,vt.删除
delivery,"n.递送,交付,分娩,交货,引渡n.[律] 财产等的正式移交 发送,传输"
denote,"vt.指示,表示"
density,n.密度
depart,"vi.离开,起程,不按照,逝世adj.过去的,逝世的"
departure,"n.启程,出发,离开"
depict,"vt.描述,描写"
depress,"vt.使沮丧,使消沉,压下,压低,使不活泼,使萧条v.压下"
deputy,"n.代理人,代表"
descendant,"n.子孙,后裔,后代"
destiny,"n.命运,定数"
destruction,"n.破坏,毁灭"
devil,"n.魔鬼,恶棍"
devise,"vt.设计,发明,图谋,作出(计划),想出(办法),遗赠给n.遗赠"
dialect,"n.方言,语调"
differentiate,"v.区别,区分"
digest,"n.分类,摘要vi.消化vt.消化,融会贯通"
dignity,"n.尊严,高贵"
dilemma,"n.进退两难的局面,困难的选择"
diligent,"adj.勤勉的,用功的,细心而继续不断的"
dilute,"v.冲淡,变淡,变弱,稀释adj.淡的,弱的,稀释的"
disable,"v.使残废,使失去能力,丧失能力"
discern,"v.目睹,认识,洞悉,辨别,看清楚"
discount,n.折扣
discourage,"vt.使气馁,阻碍"
discriminate,"v.歧视,区别,区别待遇"
disguise,"v.假装,伪装,掩饰n.伪装"
disperse,"v.(使)分散,(使)散开,疏散"
displace,"vt.移置,转移,取代,置换v.转移"
dispose,"v.处理,处置,部署vt.布置,安排,除去,使愿意"
disposition,n.部署
dissolve,"v.溶解,解散"
distil,"v.蒸馏,提取....的精华"
distill,"vt.蒸馏,提取vi.滴下"
distinct,"adj.清楚的,明显的,截然不同的,独特的"
disturbance,"n.骚动,动乱,打扰,干扰,骚乱,搅动"
divert,"v.转移,转向,使高兴"
diversion,"n.转移,转换,牵制,解闷,娱乐"
dividend,"n.被除数,股息,红利,额外津贴,奖金,年息"
dizzy,"adj.(指人)晕眩的,昏乱的,(指地点,情况)使人晕眩的"
dock,"n.<美> 码头,船坞,被告席,尾巴的骨肉部分vt.靠码头,引入坞,剪短vi.入船坞"
documentary,"n.记录片adj.文件的 纪录片 记录片,文献片"
domain,"n.领土,领地,(活动、学问等的)范围,领域"
doze,"vi.瞌睡,假寐vt.打瞌睡度过n.瞌睡"
drawback,"n.缺点,障碍,退还的关税,退税(指进口货物再出口时退还其进口时的关税)"
dubious,"adj.可疑的,不确定的"
duration,"n.持续时间,为期"
earnest,"adj.认真的,热心的,重要的n.真挚,定金,认真,热心"
elapse,"vi.(时间)过去,消逝v.流逝"
embark,"v.上船,上飞机,着手,从事,装于船上,登上"
embarrass,"vt.使困窘,使局促不安,阻碍,麻烦"
embed,"vt.使插入,使嵌入,深留,嵌入,[医]包埋"
emergency,"n.紧急情况,突然事件,非常时刻,紧急事件"
emigrate,vi.永久(使)移居vt.(使)移民
eminent,"adj.显赫的,杰出的,有名的,优良的"
empirical,"adj.完全根据经验的,经验主义的,[化]实验式"
endorse,"v.在(票据)背面签名,签注(文件),认可,签署"
endurance,"n.忍耐(力),持久(力),耐久(性)"
engineering,n.工程(学)
enrich,"vt.使富足,使肥沃,装饰,加料于,浓缩"
enrol,"vt.登记,入学vi.参军,注册"
enroll,"v.[亦作enrol] 登记,招收,使入伍(或入会、入学等),参加,成为成员"
entity,n.实体
envisage,v.正视
equation,"n.相等,平衡,综合体,因素,方程式,等式,"
equator,"n.赤道,赤道似的圈.圆"
erupt,vt.喷出vi.爆发
estate,"n.状态,不动产,时期,阶层,财产"
ethnic,"adj.人种的,种族的,异教徒的"
exceed,"vt.超越,胜过vi.超过其他"
exceedingly,"adv.非常地,极度地"
exempt,v.免除adj.被免除的
exotic,"adj.异国情调的,外来的,奇异的"
expel,"v.驱逐,开除,排出,发射"
expire,"v.期满,终止,呼气,断气,届满"
extinct,"adj.熄灭的,灭绝的,耗尽的vt.<古>使熄灭"
extinguish,"vt.熄灭,消灭,压制,使黯然失色,偿清"
extract,"n.精,汁,榨出物,摘录,选粹vt.拔出,榨取,开方,求根,摘录,析取,吸取"
extraordinary,"adj.非常的,特别的,非凡的,特派的"
extravagant,"adj.奢侈的,浪费的,过分的,放纵的"
fabricate,"vt.制作,构成,捏造,伪造,虚构"
fabulous,"adj.寓言中的,寓言般的,神话般的,传统上的,惊人的,难以置信的"
faculty,"n.才能,本领,能力,全体教员,(大学的)系,科,(授予的)权力"
faint,"n.昏晕,昏倒adj.虚落地,衰弱的,软弱的,无力的,微弱的,暗淡的,模糊的vi.昏晕,昏倒,变得微弱,变得没气力"
faithful,"adj.守信的,忠实的,详确的,可靠的n.信徒"
fake,"n.假货,欺骗adj.假的vt.伪造,赝造,捏造,假造,仿造vi.伪装"
fancy,"adj.奇特的,异样的vt.想象,设想,认为,爱好,自负n.爱好,迷恋,想象力"
fantasy,"n.幻想,白日梦"
fasten,"vt.扎牢,扣住,闩住,拴紧,使固定,系,集中于,强加于vi.扣紧,抓住"
fate,"n.天数,命运,运气vt.注定,送命"
fearful,"adj.可怕的,吓人的,恐怕的,严重的"
feasible,"adj.可行的,切实可行的"
feat,"n.技艺,功绩,武艺,壮举,技艺表演adj.漂亮的,合适的"
ferry,"n.摆渡,渡船,渡口vt.渡运,(乘渡船)渡过,运送vi.摆渡,(船)来往行驶"
fertilizer,"n.肥料(尤指化学肥料),[动]受精媒介物"
fertiliser,n.<主英>=fertilizer
fierce,"adj.凶猛的,猛烈的,热烈的,暴躁的<美>极讨厌的,难受的,<英方>精力旺盛的"
filter,"n.滤波器,过滤器,滤光器,筛选vt.过滤,渗透,用过滤法除去vi.滤过,渗入,(消息等)走漏,慢慢传开"
fitting,"adj.适合的,相称的,适宜的n.试穿,试衣,装配,装置"
flap,"n.拍打,拍打声,副翼v.拍打,鼓翼而飞,飘动,拉下(帽)的边,扔,掷"
flare,"n.闪光,闪耀vi.闪光,突然烧起来,闪耀vt.使闪耀,使张开"
flock,"n.羊群,(禽、畜等的)群,大量,众多v.聚结"
forge,"v.稳步前进,铸造,伪造"
format,"n.开本,版式,形式,格式vt.安排...的格局(或规格),[计]格式化(磁盘)"
formidable,"adj.强大的,令人敬畏的,可怕的,艰难的"
formula,"n.公式,规则,客套语"
forthcoming,adj.即将来临的n.来临
fossil,"n.化石,僵化的事物adj.化石的,陈腐的,守旧的"
foster,"vt.养育,抚育,培养,鼓励,抱(希望) n.养育者,鼓励者"
frank,"adj.坦白的,率直的,老实的vt.免费邮寄n.免费邮寄特权 Frank 弗兰克(男子名)"
frown,"vi.皱眉,蹙额,不赞成,反对v.皱眉"
frustrate,"v.挫败,阻挠,使感到灰心,阻止"
fume,"n.(浓烈或难闻的)烟,气体,一阵愤怒(或不安)v.用烟熏,冒烟,发怒"
fuse,"n.保险丝,熔丝v.熔合"
fuss,"n.忙乱,大惊小怪,大惊小怪的人v.忙乱,大惊小怪"
gallery,"n.走廊、戏院、教堂等中最高的楼座,美术陈列室,画廊,图库"
gasp,"vi.喘息,气喘vt.气吁吁地说"
gear,"n.齿轮,传动装置v.调整,(使)适合,换档"
genre,"n.类型,流派"
geometry,n.几何学
giant,"n.巨人,大力士,巨大的动物或植物,伟人,天才adj.庞大的,巨大的"
gigantic,"adj.巨人般的,巨大的"
glamor,"n.魔法,迷人的美vt.迷惑"
glamour,"n.[亦作glamor] 魔力,魅力v.迷惑"
glitter,"vi.闪闪发光,闪烁,闪光n.闪光"
gloomy,"adj.黑暗的,阴沉的,令人沮丧的,阴郁的"
glow,"vi.发光,发热"
gossip,"n.闲话,闲谈"
grab,"v.抢夺,攫取,夺取"
grateful,"adj.感激的,感谢的"
gratitude,n.感谢的心情
grave,"n.墓穴,坟墓adj.严重的,(颜色)黯淡的,(声音)低沉的v.雕刻,铭记"
greedy,"adj.贪吃的,贪婪的,渴望的"
groan,"n.呻吟,叹息vi.呻吟,受折磨,受压迫发出嘎吱声vt.呻吟着说"
guidance,"n.指导,领导"
guideline,n.方针
guilt,"n.罪行,内疚"
guilty,"adj.犯罪的,有罪的,心虚的"
halt,"n.停止,暂停,中断vt.使停止,使立定vi.立定,停止,踌躇,有缺点"
handful,"n.一把,少数"
handicap,"n.障碍,阻碍,障碍赛跑v.妨碍,使不利,阻碍"
harness,"n.(全套)马具,系在身上的绳子,甲胄vt.上马具,披上甲胄,利用(河流、瀑布等)产生动力(尤指电力)"
harsh,"adj.粗糙的,荒芜的,苛刻的,刺耳的,刺目的"
hasty,"adj.匆忙的,草率的"
hedge,"n.树篱,障碍物v.用树篱围住,避免作正面答复"
heighten,"v.提高,升高"
helicopter,"n.直升(飞)机,直升机"
hemisphere,n.半球
highway,"n.公路,大路"
hinder,"adj.后面的v.阻碍,打扰"
hum,"v.嗡嗡叫,哼n.嗡嗡声,吵杂声"
humble,"adj.卑下的,微贱的,谦逊的,粗陋的vt.使...卑下,挫,贬抑"
hurl,"n.<俚>[棒球]用力或猛烈的投掷vt.用力投掷,愤慨地说出,丢下,推翻vi.猛投,猛掷"
hydrogen,n.氢
hypocrisy,n.伪善
identical,"adj.同一的,同样的"
idiom,"n.成语,方言,土语,习惯用语"
ignorant,adj.无知的
ignorance,"n.无知,不知"
illiterate,"n.文盲adj.不识字的,没受教育的"
imaginary,"adj.假想的,想象的,虚构的"
immense,"adj.极广大的,无边的,<口>非常好的"
impetus,"n.推动力,促进"
impressive,"adj.给人深刻印象的,感人的"
incidentally,"adv.附带地,顺便提及"
incorporate,"adj.合并的,结社的,一体化的vt.合并,使组成公司,具体表现vi.合并,混合,组成公司vt.[律]结社,使成为法人组织"
indignant,"adj.愤怒的,愤慨的"
induce,"vt.劝诱,促使,导致,引起,感应"
infect,"vt.[医] 传染,感染"
inhabitant,"n.居民,居住者"
innocent,"adj.(～ of) 清白的,无罪的,天真的,无知的"
innumerable,"adj.无数的,数不清的"
insight,"n.洞察力,见识"
instal,
install,"vt.安装,安置,使就职"
instruct,"vt.教,教导,命令,指示,通知"
instruction,"n.指示,用法说明(书),教育,指导,指令"
insure,vt.给...保险v.确保
interface,"n.[地质]分界面,接触面,[物、化]界面"
interference,"n.冲突,干涉"
intersection,"n.[数]交集,十字路口,交叉点"
intervene,"vi.干涉,干预,插入,介入,(指时间)介于其间v.干涉"
intimidate,v.胁迫
intricate,"adj.复杂的,错综的,难以理解的"
intrude,"vi.闯入,侵入vt.强挤入,把(自己的思想)强加于人"
invade,"vt.侵略,侵袭,拥挤"
invalid,"n.病人,残废者adj.有病的,残废的"
inventory,"n.详细目录,存货,财产清册,总量"
invert,"adj.转化的vt.使颠倒,使转化n.颠倒的事物"
investigate,"v.调查,研究"
irritate,"vt.激怒,使急躁v.刺激"
jealous,"adj.妒忌的,猜疑的,警惕的,嫉妒的"
junction,"n.连接,接合,交叉点,汇合处"
junior,"n.年少者,晚辈,下级,(年龄、职位等)较低者,大学三年级学生adj.年少的,下级的,后进的"
keen,"adj.锋利的,敏锐的,敏捷的,热心的,渴望的"
kin,"n.家属(集合称),亲戚,同族,血缘关系,家族adj.有亲属关系的,性质类似的,同类的"
knit,"v.编织,密接,结合"
knot,"n.(绳等的)结,(树的)节,节(船速,＝哩／小时)v.打结"
laptop,膝上型电脑
league,"n.同盟,联盟,盟约,联合会,社团v.组联盟,(使)加盟"
leak,"n.漏洞,漏出,漏出物,泄漏,<俚>撒尿vi.漏,泄漏vt.使渗漏"
legacy,"n.遗赠(物),遗产(祖先传下来)"
leisure,"n.空闲,闲暇,悠闲,安逸"
liberty,"n.自由,特权,随意,冒失,冒昧,失礼"
likelihood,"n.可能,可能性"
limb,"n.肢,翼,分支"
linger,"v.逗留,闲荡,拖延,游移"
liquid,"n.液体,流体,流音adj.液体的,清澈的,透明的,明亮的,流动的,易变的,(财务)易变卖的"
litter,"n.垃圾,(供动物睡眠或防冻用的)干草、树叶,(一)窝,轿,担架vt.乱丢,铺草,弄乱vi.产仔,乱丢垃圾"
lodge,"n.门房,(猎人住的)山林小屋,(游览区的)旅馆,(地方社团的)集会处vi.临时住宿,寄宿(某人家)vt.容纳,寄存,把...射入,存放,(向有关当局)提出(声明)"
loom,"n.织布机,织机v.隐现,迫近"
lottery,n.抽彩给奖法
loyal,"adj.忠诚的,忠心的"
luxury,"n.奢侈,华贵"
machinery,"n.[总称] 机器,机械"
magnetic,"adj.磁的,有磁性的,有吸引力的"
magnify,"vt.放大,扩大,赞美,夸大,夸张vi.有放大能力"
magnitude,"n.大小,数量,巨大,广大,量级"
mammal,n.哺乳动物
manual,"n.手册,指南adj.手的,手动的,手工的,体力的,手册(性质)的,[律]实际占有的"
manufacture,"vt.制造,加工n.制造,制造业,产品"
massacre,"n.残杀,大屠杀v.残杀,集体屠杀"
merge,"v.合并,并入,结合,吞没,融合"
merit,"n.优点,价值v.有益于"
metropolitan,"adj.首都的,主要都市的,大城市"
midst,n.中间 prep.在...中间
minority,"n.少数,少数民族"
miserable,"adj.痛苦的,悲惨的,可怜"
mission,"n.使命,任务,使团,代表团"
mixture,"n.混合,混合物,混合剂"
mold,"n.模子,铸型vt.浇铸,塑造"
mould,"n.[亦作mold] 肥土,壤土,[亦作mold] 霉,模具v.用土覆盖,发霉,铸造"
moan,"n.呻吟,哀悼,呼啸vi.发出呻吟声,抱怨,哀悼vt.呻吟"
mobilize,v.动员
mobilise,"v.(=mobilize)动员,赋予可动性"
molecule,"n.[化]分子,些微"
monopoly,"n.垄断,垄断者,专利权,专利事业"
monotonous,"adj.单调的,无变化的"
multiple,"adj.多样的,多重的n.倍数,若干v.成倍增加"
multitude,"n.多数,群众"
naive,adj.天真的
negligible,"adj.可以忽略的,不予重视的"
neutral,"n.中立者,中立国,非彩色,齿轮的空档adj.中立的,中立国的,中性的,无确定性质的,(颜色等)不确定的"
nitrogen,n.[化]氮
notable,"adj.值得注意的,显著的,著名的"
notorious,adj.声名狼籍的
novelty,"n.新颖,新奇,新鲜,新奇的事物"
nurture,"n.养育,教育,教养,营养品vt.养育,给与营养物,教养"
nutrition,"n.营养,营养学"
obsession,"n.迷住,困扰"
obsolete,"adj.荒废的,陈旧的n.废词,陈腐的人"
obstacle,"n.障碍,妨害物"
occasion,"n.场合,时机,机会"
offensive,"adj.讨厌的,无礼的,攻击性的n.进攻,攻势"
optional,"adj.可选择的,随意的"
orbit,"n.轨道,势力范围,生活常规,眼眶vt.绕...轨道而行vi.进入轨道,沿轨道飞行,盘旋"
orchestra,"n.管弦乐队,乐队演奏处"
orient,"n.东方,东方诸国(指地中海以东各国)adj.东方的,上升的,灿烂的vi.适应形势,向东vt.使朝东,使适应,确定方向"
ornament,"n.装饰物,教堂用品vt.装饰,修饰"
orphan,"n.孤儿,失去生母的幼小动物adj.无双亲的,孤儿的vt.使成孤儿"
outfit,"n.用具,配备,机构,全套装配,vt.配备,装备vi.得到装备"
outset,"n.开端,开始"
outward,"adj.外面的,外表的,公开的,向外的,外出的adv.向外,在外,表面上n.外表,周围世界"
overseas,"adv.海外adj.外国的,海外的"
overwhelm,"vt.淹没,覆没,受打击,制服,压倒"
pad,"n.垫,衬垫,便笺簿v.加上衬垫"
palm,"n.手掌,棕榈,(象征胜利的)棕榈叶vt.与...握手,藏...于掌中,蒙混"
pamphlet,n.小册子
panic,"n.惊慌,恐慌,没有理由的"
panorama,"n.全景 全景画,全景摄影"
parachute,n.降落伞
parade,"n.游行,炫耀,阅兵,检阅,阅兵场v.游行,炫耀,夸耀,(使)列队行进"
parcel,"n.小包,包裹vt.打包,捆扎"
participate,"vi.参与,参加,分享,分担"
passion,"n.激情,热情,耶稣的受难和死亡"
patch,"n.片,补缀,碎片,斑纹,斑点,小块地,眼罩,傻瓜;vt.修补,补缀,掩饰,平息"
patrol,"v.出巡,巡逻n.巡逻"
peculiar,"adj.奇特的,罕见的,特殊的n.特有财产,特权"
periodical,"adj.周期的,定期的n.期刊,杂志"
perish,"vi.毁灭,死亡,腐烂,枯萎vt.毁坏,使麻木"
permission,"n.许可,允许"
perpetual,adj.永久的
persevere,v.坚持
personnel,"n.人员,职员"
phase,"n.阶段,状态,相,相位v.定相"
pierce,"vt.刺穿,刺破,穿透,突破,深深感动"
pinch,"n.捏,撮,收缩,紧急关头,匮乏,压力vt.掐,夹痛,修剪,勒索,使感缺乏,使萎缩,偷vi.收缩,节省"
plateau,"n.高地,高原(上升后的)稳定水平(或时期、状态)"
plea,"n.恳求,请求,辩解,藉口"
pledge,"n.保证,誓言,抵押,抵押品vt.保证,使发誓,抵押,典当,举杯祝...健康"
poke,"n.刺,戳,懒汉,袋子vt.戳,捅,拨开,刺vi.戳,刺,捅,伸出,刺探,闲荡"
poll,"n.选举之投票,民意测验v.投票,获得选票,选举中获得"
ponder,"v.沉思,考虑"
portion,"n.一部分,一分"
portray,v.描绘
postpone,"vt.推迟,使延期,延迟"
posture,"n.(身体的)姿势,体态,状态,情况,心境,态度v.令取某种姿势,摆姿势,作出姿态"
precedent,n.先例
preceding,"adj.在前的,前述的"
precise,"adj.精确的,准确的n.精确"
predecessor,"n.前辈,前任,(被取代的)原有事物"
preface,"n.序文,绪言,前言vi.作序,写前言vt.为...写序言,开始"
pregnant,"adj.怀孕的,重要的,富有意义的,孕育的"
prescribe,"v.指示,规定,处(方),开(药)"
preside,v.主持
prevalent,"adj.普遍的,流行的"
prick,"vt.刺,戳,刺痛,竖起vi.刺,竖起n.扎,一刺,刺痛,锥,阴茎adj.竖起的"
prime,"n.最初,青春,精华adj.主要的,最初的,有青春活力的,最好的,第一流的,根本的,[数]素数的v.预先准备好,<口>让人吃(喝)足,灌注,填装"
primitive,"adj.原始的,远古的,粗糙的,简单的"
principal,"n.负责人,首长,校长,主犯,本金adj.主要的,首要的"
probability,"n.可能性,或然性,概率"
probe,"n.探针,探测器vt.(以探针等)探查,查明"
proceeding,"n.行动,进行,[pl.] 会议录,学报"
proclaim,"vt.宣布,声明,显示,显露"
proficiency,"n.熟练,精通,熟练程度"
profile,"n.剖面,侧面,外形,轮廓"
progressive,"n.改革论者,进步论者adj.前进的,(税收)累进的,进步的"
prompt,"n.提示,付款期限vt.提示,鼓动,促使,(给演员)提白adj.敏捷的,迅速的,即时的adv.准时地"
prone,adj.倾向于
propaganda,"n.宣传,[天主教]传道总会"
propel,"vt.推进,驱使"
proposal,"n.提议,建议"
proposition,"n.主张,建议,陈述,命题"
prosecute,"vt.实行,从事,告发,起诉vi.告发,起诉,作检察官"
prosper,"v.成功,兴隆,昌盛,(指上帝)使成功,使昌隆,繁荣"
prosperous,adj.繁荣的
publicity,n.公开
punch,"n.冲压机,冲床,打孔机vt.冲孔,打孔"
punctual,"adj.严守时刻的,准时的"
rally,"v.重整旗鼓,给予新力量,(使)恢复健康,力量,决心,集结n.集会"
rap,"n.叩击,轻拍,轻敲,斥责vt.敲,拍,打,厉声说出,斥责,使着迷vi.敲击,交谈 [军] Rocket Assisted Projectile,火箭助推炮弹"
readily,"adv.乐意地,欣然,容易地"
receipt,"n.收条,收据,收到v.收到"
reception,"n.接待,招待会,接收"
recession,"n.撤回,退回,退后,工商业之衰退,不景气"
reckon,"vt.计算,总计,估计,猜想vi.数,计算,估计,依赖,料想"
reconcile,"vt.使和解,使和谐,使顺从"
recreation,"n.消遣,娱乐"
recycle,"v.使再循环,反复应用n.再循环,再生,重复利用"
refugee,"n.难民,流亡者"
relax,"vi.放松,休息,休养,变从容vt.使松驰,缓和,使松懈,使休息"
renaissance,"n.复兴,复活,新生,文艺复兴,文艺复兴时期"
repel,"vt.击退,抵制,使厌恶,使不愉快"
repertoire,"n.(准备好演出的)节目,保留剧目,(计算机的)指令表,指令系统,<美>(某个人的)全部技能"
rescue,"vt.援救,营救n.援救,营救"
resemble,"vt.象,类似"
reserve,"n.储备(物),储藏量,预备队vt.储备,保存,保留,预定,预约"
reservoir,"n.水库,蓄水池"
residence,"n.居住,住处"
restraint,"n.抑制,制止,克制"
retrospect,n.回顾
revolt,"v.反抗,起义,反叛,反感,厌恶"
rigid,"adj.刚硬的,刚性的,严格的"
rip,"v.撕,剥,劈,锯,裂开,撕裂n.裂口,裂缝  愿灵安眠 RIP(rest in peace)"
robust,adj.精力充沛的
rot,"v.(使)腐烂,(使)腐败n.腐烂,腐败"
route,"n.路线,路程,通道v.发送"
safeguard,"vt.维护,保护,捍卫n.安全装置,安全措施"
sanction,"n.批准,同意,支持,制裁,认可v.批准,同意,支持,鼓励,认可"
sarcastic,adj.讽刺的
satire,"n.讽刺文学,讽刺"
savage,"adj.野蛮的,未开化的,凶猛的,残忍的vt.用暴力对付n.原始的人,粗鲁的人"
scandal,"n.丑行,丑闻,诽谤,耻辱,流言蜚语"
scarcely,"adv.几乎不,简直没有"
scare,"v.惊吓,受惊,威吓n.惊恐,恐慌,恐惧"
schedule,"n.时间表,进度表v.确定时间"
scold,"v.责骂,申斥,斥责"
scorn,"n.轻蔑,嘲笑,被叱责的人vt.轻蔑,不屑做"
