accord,"n.一致,符合,调和,协定;vt.一致,给与;vi.符合"
gradual,"adj.逐渐的,逐步的,渐进的"
historical,"adj.历史(上)的,有关历史的"
imperative,"n.命令,诫命,需要,规则,祈使语气adj.命令的,强制的,紧急的,必要的,势在必行的,[语法]祈使的"
implement,"n.[常pl.] 工具,器具vt.贯彻,实现v.执行"
implicit,"adj.暗示的,盲从的,含蓄的,固有的,不怀疑的,绝对的"
influential,"adj.有影响的,有势力的"
inherit,"vt.继承,遗传而得"
initiative,n.主动
institute,"n.学会,学院,协会vt.创立,开始,制定,开始(调查),提起(诉讼)"
invisible,"adj.看不见的,无形的"
joint,"n.接缝,接合处,接合点,关节,(牛、羊等的腿)大块肉adj.共同的,联合的,连接的,合办的vt.连接,接合,使有接头vi.贴合,生节"
jury,"n.[律] 陪审团,评判委员会,陪审员adj.[海]临时应急的"
juvenile,"adj.青少年的,幼稚的n.青少年,少年读物"
lag,"n.落后,囚犯,迟延,桶板,防护套adj.最后的vi.缓缓而行,滞后vt.落后于,押往监狱,加上外套"
lane,"n.(乡间)小路,巷,里弄,狭窄的通道,航线"
latter,"adj.后面的,(两者中)后者的,较后的,近来的"
likewise,"adv.同样地,照样地,又,也n.同样地"
limitation,"n.限制,局限性"
linguistic,"adj.语言上的,语言学上的"
literally,"adv.照字面意义,逐字地"
locate,"vt.查找...的地点,使...坐落于,位于v.定位,位于"
logical,"adj.合乎逻辑的,合理的"
medium,"n.媒体,方法,媒介adj.中间的,中等的,半生熟的"
mode,"n.方式,模式,样式,时尚"
mood,"n.心情,情绪,语气,状态"
negotiate,"v.(与某人)商议,谈判,磋商,,买卖,让渡(支票、债券等),通过,越过"
nevertheless," conj.然而,不过adv.仍然,不过"
observation,"n.观察,观测,[pl.] 观察资料(或报告)"
passive,adj.被动的
pension,"n.养老金,退休金"
personality,"n.个性,人格,人物,名人,(用复数)诽谤、人身攻击"
physiology,n.生理学
plot,"n.小块土地,地区图,图,秘密计划(特指阴谋),(小说的)情节.结构vt.划分,绘图,密谋vi.密谋,策划"
possess,"vt.占有,拥有,持有,摆布,支配"
precede,"v.领先(于),在...之前,先于"
preliminary,"adj.预备的,初步的"
premier,"adj.第一的,首要的n.总理"
prior,"adj.优先的,在前的n.预先adv.在"
priority,"n.先,前,优先,优先权"
privilege,"n.特权,特别待遇,基本公民权力,特免vt.给与...特权,特免"
prosperity,n.繁荣
protest,"n.主张,断言,抗议v.主张,断言抗议,拒付"
qualify,"v.(使)具有资格,证明合格,限制修饰vt.限制,限定"
quest,n.寻求
rage,"n.愤怒,情绪激动,狂暴,精神错乱vi.大怒,狂吹,风行"
regardless,"adj.不管,不顾,不注意"
reliable,"adj.可靠的,可信赖的"
relief,"n.(痛苦等的)减轻,(债务等的)免除,救济,调剂,安慰,浮雕,地貌"
reluctant,"adj.不顾的,勉强的,难得到的,难处理的"
remarkable,"adj.不平常的,非凡的,值得注意的,显著的"
render,"vt.呈递,归还,着色,汇报,致使,放弃,表演,实施vi.给予补偿n.交纳,粉刷,打底"
represent,"vt.表现,描绘,声称,象征,扮演,回忆,再赠送,再上演vi.提出异议"
resident,"n.居民adj.居住的,常驻的"
resistance,"n.反抗,抵抗,抵抗力,阻力,电阻,阻抗"
resistant,"adj.抵抗的,有抵抗力的"
resolve,"n.决心v.决心,决定,决心要,(使)分解,溶解,解决vt.解决"
restrain,"vt.抑制,制止"
restrict,"vt.限制,约束,限定"
retreat,"vi.撤退,退却n.撤退,退却"
scatter,"v.分散,散开,撒开,驱散"
senior,"adj.年长的,资格较老的,地位较高的,高级的"
severe,"adj.严厉的,严格的,剧烈的,严重的,严峻的"
shift,"n.移动,轮班,移位,变化,办法,手段vt.替换,转移,改变,移转,推卸,变速vi.转换,移动,转变,推托,变速"
significance,"n.意义,重要性"
specialize,"vi.专攻,专门研究,使适应特殊目的,使专用于"
specialise,"v.专门研究,深入"
stem,"n.茎,干,词干,茎干v.滋生,阻止"
submit,"v.(使)服从,(使)顺从vt.提交,递交"
supervise,"v.监督,管理,指导"
supplement,"n.补遗,补充,附录,增刊v.补充"
surplus,"n.剩余,过剩,[会计]盈余adj.过剩的,剩余的vt.转让,卖掉"
talent,"n.天才,才干,才能"
tendency,"n.趋向,倾向"
territory,"n.领土,版图,地域"
token,"n.表示,向征,记号,代币adj.象征的,表意的"
tolerance,"n.公差,宽容,忍受,容忍,(食物中残存杀虫剂的)(法定)容许量vt.给(机器部件等)规定公差"
trial,"n.试验,考验,审讯,审判"
triumph,"n.胜利,成功v.获得胜利"
underlie,"vt.位于...之下,成为...的基础"
valid,"adj.[律]有效的,有根据的,正当的,正确的"
verbal,adj.口头的
veto,"n.否决,禁止,否决权vt.否决,禁止"
victim,"n.受害人,牺牲者,牺牲品"
violence,"n.猛烈,强烈,暴力,暴虐,暴行,强暴"
visible,"adj.看得见的,明显的,显著的n.可见物"
vulnerable,"adj.易受攻击的,易受...的攻击"
whereas," conj.然而,反之,鉴于,尽管,但是"
worthwhile,"adj.值得做的,值得出力的"
accomplish,"vt.完成,达到,实现"
accuracy,"n.精确性,正确度"
acquaintance,"n.相识,熟人"
adequate,
admission,"n.允许进入,承认某事之陈述,供认"
agenda,n.pl.议程
alike,"adj.相同的,相似的adv.以同样的方式,类似于"
amount,"n.数量vi.(to) 总计,等于"
announce,"vt.宣布,通告"
anticipate,"vt.预期,期望,过早使用,先人一着,占先v.预订,预见,可以预料"
anxiety,"n.忧虑,焦急,渴望,热望"
assemble,"vt.集合,聚集,装配vi.集合"
assembly,"n.集合,装配,集会,集结,汇编"
attribute,"n.属性,品质,特征,加于,归结于"
award,"n.奖,奖品vt.授予,判给"
balance,"n.秤,天平,平衡,[商] 收支差额,结余,余额v.平衡,称,权衡,对比,结算n.资产平稳表"
bang,"n.重击,突然巨响v.发巨响,重击"
barrier,"n.(阻碍通道的)障碍物,栅栏,屏障"
beneficial,"adj.有益的,受益的,[法律]有使用权的adj.有益的,得利的,[律]有使用权的"
brand,"n.商标,牌子,烙印vt.打火印,污辱"
campus,"n.<美>校园,大学教育"
caution,"n.小心,谨慎,警告vt.警告"
cautious,"adj.谨慎的,小心的"
cease,"v.停止,终了"
celebrity,"n.名声,名人"
chamber,"n.室,房间,议院,会所,(枪)膛"
chancellor,"n.长官,大臣"
chorus,"n.合唱,合唱队,齐声"
circuit,"n.电路,一圈,周游,巡回"
coherent,"adj.粘在一起的,一致的,连贯的"
combat,"n.战斗,格斗v.战斗,搏斗,抗击"
command,"n.命令,掌握,司令部v.命令,指挥,克制,支配,博得,俯临"
commerce,n.商业
compact,"adj.紧凑的,紧密的,简洁的n.契约,合同,小粉盒"
compensate,"v.偿还,补偿,付报酬"
comply,"vi.顺从,答应,遵守"
composition,"n.写作,作文,成分,合成物"
conception,"n.观念,概念"
concrete,"adj.具体的,有形的n.混凝土v.用混凝土修筑,浇混凝土,凝结"
confident,"adj.自信的,确信的"
confine,"vt.限制,禁闭n.界限,边界"
confirm,"vt.确定,批准,使巩固,使有效v.确认,(基督教中)给...行按手礼"
confusion,"n.混乱,混淆"
consistent,"adj.一致的,调和的,坚固的,[数、统]相容的"
constrain,"vt.强迫,抑制,拘束"
consultant,"n.顾问,商议者,咨询者"
contend,"v.斗争,竞争,主张"
contest,"n.论争,竞赛v.,争论,争辩,竞赛,争夺"
convert,"n.皈依者vt.使转变,转换...,使...改变信仰"
conviction,"n.深信,确信,定罪,宣告有罪"
corrupt,"adj.腐败的,贪污的,被破坏的,混浊的,(语法)误用的vt.使腐烂,腐蚀,使恶化vi.腐烂,堕落"
criterion,"n.(批评判断的)标准,准据,规范"
cunning,"adj.狡猾的,巧妙的,<美>漂亮的,可爱的n.狡猾,诡诈"
curb,n.路边
cycle,"n.周期,循环,自行车,一段时间,整套,(电学)周波vi.循环,轮转,骑自行车vt.使循环,使轮转"
decrease,"n.减少,减少之量v.减少"
deem,"v.认为,相信"
defy,"vt.不服从,公然反抗,藐视,挑衅,违抗,使...难于n.挑战"
deliberate,"adj.深思熟虑的,故意的,预有准备的v.商讨"
deliver,"vt.递送,陈述,释放,发表(一篇演说等),交付,引渡,瞄准,给予(打击)"
dense,"adj.密集的,浓厚的"
descend,"vi.下来,下降,遗传(指财产,气质,权利),突击,出其不意的拜访v.下去"
desperate,"adj.不顾一切的,拚死的,令人绝望的"
diffuse,"v.散播,传播,漫射,扩散,(使)慢慢混合adj.散开的,弥漫的"
dimension,"n.尺寸,尺度,维(数),度(数),元"
disgrace,"n.耻辱,失宠,丢脸的人(或事)v.玷污"
distort,"vt.弄歪(嘴脸等),扭曲,歪曲(真理、事实等),误报"
distribute,"vt.分发,分配,散布,分布,分类,分区v.分发"
division,"n.分开,分割,区分,除法,公司,(军事)师,分配,分界线"
doom,"n.厄运,毁灭,死亡,世末日v.注定,判决 著名的3D动作游戏"
ease,"n.安逸,安心,不费力,悠闲vt.使悠闲,使安心,减轻,放松vi.减弱,减轻,放松,灵活地移动"
elaborate,"adj.精心制作的,详细阐述的,精细vt.精心制作,详细阐述v.详细描述"
elegant,"adj.文雅的,端庄的,雅致的,<口>上品的,第一流的"
embrace,"vt.拥抱,互相拥抱,包含,收买,信奉vi.拥抱n.拥抱"
engagement,"n.约会,婚约,诺言,交战,接站,雇拥,[机]接合"
enterprise,"n.企业,事业,计划,事业心,进取心,干事业"
enthusiasm,"n.狂热,热心,积极性,激发热情的事物"
entrepreneur,"n.<法>企业家,主办人"
episode,"n.一段情节,[音]插曲,插话,有趣的事件"
equality,"n.等同性,同等,平等,相等,等式"
esteem,"vt.把...看作,尊敬,尊重,认为n.尊敬,尊重"
evade,"v.规避,逃避,躲避"
exclusive,"adj.排外的,孤高的,唯我独尊的,独占的,唯一的,高级的"
expense,"n.费用,代价,损失,开支,费钱之物"
exposure,"n.暴露,揭露,暴光,揭发,揭露,位向,方向,陈列"
extensive,"adj.广大的,广阔的,广泛的"
fade,"vi.(声音等)减弱下去,褪色,消失,枯萎,凋谢vt.使褪色n.淡入,淡出adj.乏味的,平淡的"
feedback,"n.[无]回授,反馈,反应"
fertile,"adj.肥沃的,富饶的,能繁殖的"
fiction,"n.虚构,编造,小说"
flexible,"adj.柔韧性,易曲的,灵活的,柔软的,能变形的,可通融的"
fluctuate,"vi.变动,波动,涨落,上下,动摇vt.使动摇,使波动,使起伏"
formulate,"vt.用公式表示,明确地表达,作简洁陈述v.阐明"
fragile,"adj.易碎的,脆的"
framework,"n.构架,框架,结构"
generous,"adj.慷慨的,大方的,有雅量的"
genius,"n.天才,天赋,天才人物"
govern,"v.统治,支配,管理"
horizon,"n.地平线n.地平(线),(知识,思想等的)范围,视野"
illuminate,"vt.照明,照亮,阐明,说明,使灿烂,以灯火装饰(街道等)vi.照亮"
illusion,n.幻想
imitate,"vt.模仿,仿效,仿制,仿造v.模仿"
implication,"n.牵连,含意,暗示"
indifferent,adj.无关紧要的
industrialize,vt.使工业化vi.工业化
industrialise,v.<主英>=industrialize
inherent,"adj.固有的,内在的,与生俱来的"
instinct,n.本能
integrity,"n.正直,诚实,完整,完全,完整性"
intensity,"n.强烈,剧烈,强度 亮度"
intention,"n.意图,目的"
interact,"vi.互相作用,互相影响"
interpret,"v.解释,说明,口译,通译,认为是...的意思"
intuition,"n.直觉,直觉的知识"
invasion,n.入侵
label,"n.标签,签条,商标,标志vt.贴标签于,指...为,分类,标注 [计] 加上或修改磁盘的标签"
launch,"n.下水,汽艇,发射,发行,投放市场vt.使(船)下水,掷(标枪等),发射(导弹、火箭等),开办,发动,发起vi.起飞,下水,投入,开始"
layer,"n.层,阶层"
literacy,"n.有文化,有教养,有读写能力"
literary,"adj.文学(上)的,从事写作的,文艺的,精通文学的,书本的"
lump,"n.块(尤指小块),肿块,笨人vt.使成块状,混在一起,忍耐,笨重地移动vi.结块"
lure,v.引诱
maintenance,"n.维护,保持,生活费用,扶养"
manipulate,"vt.(熟练地)操作,使用(机器等),操纵(人或市价、市场),利用,应付,假造vt.(熟练地)操作,巧妙地处理"
margin,"n.页边的空白,(湖、池等的)边缘,极限,利润,差数,(时间、金额等的)富余vt.加边于,加旁注于"
marine,"n.舰队,水兵,海运业adj.海的,海产的,航海的,船舶的,海运的"
mechanic,"n.技工,机修工,机械士"
mechanism,"n.机械装置,机构,机制"
melt,"v.(使)融化,(使)熔化,使软化,使感动"
mislead,vt.误导
moderate,"adj.中等的,适度的,适中的v.缓和"
monetary,"adj.货币的,金钱的"
motivate,v.激发
motive,"n.动机,目的adj.发动的,运动的"
municipal,"adj.市政的,市立的,地方性的,地方自治的"
nasty,"adj.污秽的,肮脏的,令人厌恶的,淫秽的,下流的,凶相的,威胁的"
nuclear,"adj.[核]核子的,原子能的,核的,中心的"
objection,"n.异议,缺陷,妨碍,拒绝之理由"
occupy,"vt.占,占用,占领,占据"
offend,"v.犯罪,冒犯,违反,得罪,使...不愉快"
orientation,"n.方向,方位,定位,倾向性,向东方"
outline,"n.大纲,轮廓,略图,外形,要点,概要vt.描画轮廓,略述"
outrage,"n.暴行,侮辱,愤怒vt.凌辱,引起...义愤,强奸"
owing,"adj.(～ to) 由于,该付的,未付的,应归功于"
pace,"n.(一)步,速度,步调,步法,步态vi.踱步,缓慢的走vt.用步测,踱步于,(马)溜花蹄"
panel,"n.面板,嵌板,仪表板,座谈小组,全体陪审员vt.嵌镶板"
peak,"n.山顶,顶点,帽舌,(记录的)最高峰adj.最高的vi.到达最高点,消瘦,缩小vt.使竖起,使达到最高点"
persist,"vi.坚持,持续"
plunge,"n.跳进,投入vi.投入,跳进,陷入vt.使投入,使插入,使陷入"
pose,"n.姿势,姿态v.(使...)摆好姿势,形成,引起,造成vi.摆姿势,佯装,矫揉造作"
preach,v.鼓吹
preferable,"adj.更可取的,更好的,更优越的"
preference,"n.偏爱,优先选择"
prevail,"vi.流行,盛行,获胜,成功"
profound,"adj.深刻的,意义深远的,渊博的,造诣深的"
prominent,"adj.卓越的,显著的,突出的"
provoke,"vt.激怒,挑拨,煽动,惹起,驱使"
prudent,adj.谨慎的
react,"vi.起反应,起作用,反抗,起反作用"
rear,"n.后面,背后,后方,屁股adj.后面的,背面的,后方的vt.培养,饲养,举起,树立,栽种vi.高耸,暴跳,用后腿站起"
recall,"vt.回忆,回想,记起,取消n.召回"
recipient,"adj.容易接受的,感受性强的n.容纳者,容器"
recovery,"n.恢复,痊愈,防御"
refine,"vt.精炼,精制,使文雅高尚"
refrain,"n.重复,叠句,[乐]副歌vi.节制,避免,制止"
regulate,"vt.管制,控制,调节,校准"
reign,"vi.统治,支配,盛行,占优势n.统治,统治时期,支配"
reinforce,"vt.加强,增援,补充,增加...的数量,修补,加固vi.求援,得到增援n.加固物"
renew,"vt.使更新,使恢复,重申,补充,续借,复兴vi.更新,重新开始"
resent,"v.愤恨,怨恨"
resist,"vt.抵抗,反抗,抗,忍得住"
resort,"vi.求助,诉诸,采取(某种手段等),常去n.凭借,手段,常去之地,胜地"
sacrifice,"n.牺牲,献身,祭品,供奉v.牺牲,献出,献祭,供奉"
sample,"n.标本,样品,例子vt.取样,采样,抽取...的样品,试验的一部分,尝试"
scheme,"n.安排,配置,计划,阴谋,方案,图解,摘要v.计划,设计,图谋,策划"
settlement,"n.沉降,解决,结算,殖民,殖民地"
shield,"n.防护物,护罩,盾,盾状物vt.(from) 保护,防护v.遮蔽"
simplify,"vt.单一化,简单化"
slack,"n.松弛,静止,淡季,闲散,家常裤adj.松弛的,不流畅的,疏忽的,软弱的,漏水的,呆滞的,懒散的adv.马虎地,缓慢地vt.使松弛,使缓慢,马虎从事vi.松懈,减弱,松驰"
slip,"n.滑倒,事故,片,纸片;vi.滑动,滑倒,失足,减退;vt.使滑动,滑过,摆脱,闪开,塞入;adj.滑动的,活络的,有活结的;Serial Line Interface Protocol,串行线路接口协议"
somehow,adv.不知何故
sore,"adj.疼痛的,痛心的,剧烈的n.痛的地方,痛处"
span,"n.跨度,跨距,范围v.横越"
spiritual,adj.精神上的
sponsor,"n.发起人,主办者,保证人,主办人vt.发起,主办v.赞助"
squeeze,"n.压榨,挤v.压榨,挤,挤榨"
stability,n.稳定性
stern,"adj.严厉的,苛刻的n.船尾"
stride,"v.大步走(过),跨过,大步行走n.步幅"
stuff,"n.原料,材料,素材资料vt.塞满,填满,填充"
subscribe,"v.捐款,订阅,签署(文件),赞成,预订"
subsidy,"n.补助金,津贴"
subtle,"adj.狡猾的,敏感的,微妙的,精细的,稀薄的"
superficial,"adj.表面的,肤浅的,浅薄的"
suppose,"vt.推想,假设,猜想vi.料想 conj.假使...结果会怎样"
suppress,"vt.镇压,抑制,查禁,使止住"
surpass,"vt.超越,胜过"
surround,"vt.包围,环境v.围绕"
suspicion,"n.猜疑,怀疑"
switch,"n.开关,电闸,转换vt.转换,转变"
symptom,"n.[医][植]症状,征兆"
systematic,"adj.系统的,体系的"
tactic,"n.策略,战略adj.按顺序的,排列的"
thoughtful,"adj.深思的,有思想性的,体贴的,关切的"
timely,"adj.及时的,适时的"
tolerant,"adj.容忍的,宽恕的,有耐药力的"
tolerate,"vt.忍受,容忍"
trait,"n.显著的特点,特性"
tutor,"n.家庭教师,(大学)指导教师,助教,监护人,辅导教师v.辅导"
twist,"n.一扭,扭曲,盘旋,曲折,歪曲,手法,螺旋状vt.拧,扭曲,绞,搓,捻,使苦恼,使转动,编织vi.扭弯,扭曲,缠绕,扭动,呈螺旋形"
undergraduate,"n.大学肄业生,(尚未取得学位的)大学生adj.大学生的"
