fallacy,"n.谬误,谬论"
coil,"v.盘绕,卷"
distill,"vt.蒸馏,提取vi.滴下"
queer,"n.同性恋者adj.奇怪的,可疑的,不舒服的vt.搞糟n.同性恋者"
colonize,"vt.拓殖,殖民"
illiterate,"n.文盲adj.不识字的,没受教育的"
lash,"n.鞭子,鞭打,睫毛,责骂,讽刺vt.鞭打,摆动,扎捆,冲击,煽动,讽刺vi.猛击,急速甩动"
detention,"n.拘留,禁闭,阻止,滞留,留堂"
execution,"n.实行,完成,执行,死刑,制作,(武器等的)破坏效果,杀伤力"
virgin,"n.处女,(晚近用法)处男adj.处女的,童贞的,纯洁的,洁白无瑕疵的,未被玷污的,原始的,处于原耒状态的,未采伐过的森林 美国著名游戏软件公司"
judicial,"adj.司法的,法院的,公正的,明断的"
transit,"n.经过,通行,搬运,运输,运输线,转变vt.横越,通过,经过vi.通过n.[天] 中天,经纬仪"
pilgrim,"n.圣地朝拜者,朝圣"
colonial,"adj.殖民的,殖民地的n.殖民地居民"
isle,"n.小岛,岛vt.使成为岛屿vi.住在岛屿上"
throne,"n.王座,君主"
overthrow,"n.推翻,打倒,扔得过远得球vt.打倒,推翻,颠覆"
discriminatory,"adj.有辨识力的,有差别的"
ballot,"n.选举票,投票,票数vi.投票"
electoral,"adj.选举人的,选举的"
senate,"n.参议院,上院"
commission,"n.委任,委托,代办(权),代理(权),犯(罪),佣金vt.委任,任命,委托,委托制作,使服役"
patent,"n.专利权,执照,专利品adj.特许的,专利的,显著的,明白的,新奇的vt.取得...的专利权,请准专利"
chorus,"n.合唱,合唱队,齐声"
spatula,"n.(涂油漆,涂药等)抹刀,压舌板"
sponge,"n.海绵,海绵体,海绵状物,(外科用的)棉球,纱布v.用海绵等冼涤、揩拭、擦拭或清除,用海绵吸收(液体),(俗)依赖某人生活,诈取某人钱财,海绵般吸收"
kidney,"n.肾,(动物可食用的)腰子,个性,性格"
kidney bean,
transcribe,v.转录
midwife,"n.助产士,接生员,产婆"
segregation,n.种族隔离
trophy,"n.战利品,奖品vt.用战利品装饰,授予...奖品"
trophy wife,
liner,"n.<美>班机,划线者,衬垫"
hostage,"n.人质,抵押品"
tunnel,"n.隧道,地道"
solicitor,"n.律师,法律顾问"
ghost,"n.鬼,幽灵"
pirate,"n.海盗,盗印者,盗版者,侵犯专利权者vt.盗印,盗版,掠夺,翻印vi.做海盗"
quench,"vt.结束,熄灭,淬火vi.熄灭,平息"
appendix,"n.附录,附属品,[解]阑尾"
artifact,n.人造物品
bygone,n.过去的事adj.过去的
epoch,"n.新纪元,时代,时期,时间上的一点,[地质]世"
vigilant,"adj.警惕着的,警醒的"
continuance,"n.持续,继续,停留"
forbid sb. from doing sth.,
keep house,
eject sb. from sth.,
coil sth. up with sth.,
against one's will,
run for,
look down on sb.,
look down on sth.,
take up,
a ghost of sth.,
the ghost of sth.,
density,n.密度
triple,"n.三倍数,三个一组adj.三倍的vt.三倍与vi.增至三倍"
uranium,n.铀
monopoly,"n.垄断,垄断者,专利权,专利事业"
fossil,"n.化石,僵化的事物adj.化石的,陈腐的,守旧的"
treaty,"n.条约,谈判"
particulates,
poll,"n.选举之投票,民意测验v.投票,获得选票,选举中获得"
insurgent,adj.起义的
extinct,"adj.熄灭的,灭绝的,耗尽的vt.<古>使熄灭"
indefinite,"adj.模糊的,不确定的,[语]不定的"
wisp,"n.小把,小束,小捆,小物体,纤细的东西vt.把...卷成一捆"
hitherto,"adv.迄今,至今"
synthesis,"n.综合,合成"
plateau,"n.高地,高原(上升后的)稳定水平(或时期、状态)"
linear,"adj.线的,直线的,线性的"
fusion,"n.熔化,熔解,熔合,熔接"
confederation,n.联邦
solar,"adj.太阳的,日光的"
glitter,"vi.闪闪发光,闪烁,闪光n.闪光"
glittering,
intricate,"adj.复杂的,错综的,难以理解的"
gadget,"n.小器具,小配件,小玩意,诡计"
fringe,"n.边缘,须边,刘海adj.边缘的,额外的v.在...上加以缘饰,成为...的边缘"
apparatus,"n.器械,设备,仪器"
combustion,n.燃烧
semiconductor,n.[物] 半导体
transistor,n.[电子]晶体管
rotary,adj.旋转的
turbine,n.涡轮
clockwise,adj.顺时针方向的adv.顺时针方向地
counterclockwise,adj.反时针方向的adv.反时针方向
axis,
viable,"adj.能养活的,能生育的,可行的"
slash,"v.猛砍,鞭打,砍伤,大量削减,严历批评,抽打n.猛砍,(大幅度)削减,斜线"
clearing,n.空旷地
outflow,"n.流出,流出物"
excavation,"n.挖掘,发掘,挖掘成的洞,出土文物"
biomass,n.(单位面积或体积内)生物的数量
standby,"n.可以信任的人,使船待命的信息 备用"
ventilate,"vt.使通风,给...装通风设备"
diffuse,"v.散播,传播,漫射,扩散,(使)慢慢混合adj.散开的,弥漫的"
dioxide,n.二氧化物
automation,"n.自动控制,自动操作"
bulletin,"n.公告,报告"
hinge,"n.(门、盖等的)铰链,枢纽,关键vt.装铰链v.装以绞链,依...而转移"
unify,"vt.统一,使成一体"
unified,
supersonic,"adj.超音波的n.超声波,超声频"
inaugurate,"vt.举行就职典礼,创新,开辟,举行开幕(落成、成立)典礼."
collaboration,"n.协作,通敌"
factor sth. in,
factor in sth.,
be projected to do sth.,
on a ... scale,
fill up,
clear up,
be derived from,
pose a risk to sth.,
hinge on sth.,
hinge upon sth.,
be upon sb.,
spike,"n.穗,长钉,钉鞋,女高跟鞋,道钉v.用大钉钉,用长而尖之物刺,阻止,穿刺"
equator,"n.赤道,赤道似的圈.圆"
riot,"n.暴乱,骚动,(植物,疾病等)蔓延,放荡,暴动v.骚乱,放纵,挥霍,参加骚动"
recur,"vi.复发,重现,再来"
consultancy,
turnout,"n.聚集的人群,出席者,产量"
disclose,"vt.揭露,透露"
oracle,"n.[宗](古希腊)神谕,预言,神谕处,神使,哲人,圣贤 美国ORACLE公司,主要生产数据库产品,也是主要的网络计算机的倡导者"
foretell,"v.预言,预示,预测"
intrigue,"n.阴谋,诡计vi.密谋,私通vt.激起...的兴趣,用诡计取得"
garment,"n.衣服,外衣,外表"
intermittent,"adj.间歇的,断断续续的"
hoard,v.储藏
wholesale,"n.批发,趸售adj.批发的,[喻] 大规模的"
pistol,n.手枪
volatile,"adj.飞行的,挥发性的,可变的,不稳定的,轻快的,爆炸性的n.[现罕]有翅的动物,挥发物"
dual,"adj.双的,二重的,双重"
infrastructure,"n.下部构造,基础下部组织"
livestock,"n.家畜,牲畜"
recipe,n.处方
excerpt,"n.vt.摘录,引用"
pamphlet,n.小册子
affluent,"adj.丰富的,富裕的"
piracy,"n.海盗行为,侵犯版权,非法翻印 盗版"
neutralize,v.压制
dodge,"v.避开,躲避n.<俗> 诡计,躲藏"
intersection,"n.[数]交集,十字路口,交叉点"
councilor,"n.议员,评议员"
bureaucratic,adj.官僚政治的
foresight,"n.远见,深谋远虑"
subsidy,"n.补助金,津贴"
appropriation,"n.据为己有,占有,挪用(只指定用途的一笔),拨款"
militia,n.民兵
coherent,"adj.粘在一起的,一致的,连贯的"
rupture,"v.破裂,裂开,断绝(关系等),割裂n.破裂,决裂,敌对,割裂"
seam,"n.接缝,线缝,缝合线,衔接口,伤疤,层vt.缝合,接合,焊合,使留下伤痕vi.裂开,发生裂痕"
discrepancy,"n.相差,差异,矛盾"
signpost,n.路标
non-profit,
donor,n.捐赠人n.[化] 原料物质
syndrome,n.综合病症
collision,"n.碰撞,冲突"
soluble,"adj.可溶的,可溶解的"
staircase,n.楼梯
calm down,
level off,
be starved of sth.,
run out of sth.,
keep sth. at bay,
hold sth. at bay,
rescue ... from ...,
get a recipe for sth.,
be a recipe for sth.,
point to,
on a collision course,
angel,"n.天使,完善可爱的人"
obituary,n.讣告adj.死亡的
seminar,"n.研究会,讨论发表会"
specimen,"n.范例,标本,样品,样本,待试验物"
assassin,"n.暗杀者,刺客"
secular,adj.长期的
oath,"n.誓言,宣誓,诅咒"
graphic,"adj.绘画似的,图解的"
brochure,n.小册子
leaflet,"n.小叶,传单"
audio,"adj.音频的,声频的,声音的"
batch,"n.(面包等)一炉,一批,批处理"
enclosure,"n.围住,围栏,四周有篱笆或围墙的场地"
vapor,"n.水汽,水蒸气,无实质之物vi.蒸发,自夸vt.使蒸发n.自夸者"
siege,"n.包围,围城,长期努力,不断袭击,围攻v.包围,围攻"
boycott,"n.vt.联合抵制,联合排斥某国货物或与某国绝交"
incur,v.招致
wrath,n.愤怒
judicious,adj.明智的
mastermind,v.策划
malpractice,n.玩忽职守
lawsuit,n.诉讼(尤指非刑事案件)
sue,"vt.控告,向...请求,请愿vi.提出诉讼,提出请求"
passionate,adj.充满热情的
ministerial,adj.部的
parliamentary,adj.议会的
sideline,"n.副业,边界线,兼职,附带销售的货物,局外人的观点adj.倾斜的vt.迫使退出"
revenge,"n.报仇,复仇vt.替...报仇,复仇"
kit,"n.成套工具,用具包,工具箱,成套用具"
chronicle,n.编年史v.编入编年史
expectancy,"n.期待,期望"
life expectancy,
stalk,"n.茎,柄,梗,秆"
condolence,"n.哀悼,吊唁"
terminate,"v.停止,结束,终止"
questionnaire,"n.调查表,问卷"
stripe,"n.斑纹,条纹"
striped,adj.有斑纹的
pajamas,"n.睡衣,宽长裤"
retrospective,adj.回顾的
infinity,"n.无限,无穷大"
successor,"n.继承者,接任者,后续的事物"
antibiotic,n.抗生素adj.抗生的
vaccinate,v.进行预防接种n.被接种牛痘者
cape,"n.海角,岬"
crusader,"n.十字军战士,改革者"
cemetery,"n.墓地,公墓"
turn up,
put out,
alert sb. to sth.,
lay siege to sth.,
lay siege to sb.,
follow suit,
in the face of,
stand on the sidelines,
stay on the sidelines,
remain the sidelines,
get revenge for sth.,
get revenge on sb. for sth.,
appeal to sb. to do sth.,
swamp,"n.沼泽,湿地,煤层聚水v.陷入沼泽,淹没,覆没"
handset,"n.电话听筒,手机,手持机"
subscription,"n.捐献,订金,订阅,签署,同意,[医]下标处方"
thesis,"n.论题,论文"
indignant,"adj.愤怒的,愤慨的"
activate,
Catholic,
patron,"n.(对某人,某种目标,艺术等)赞助人,资助人"
ashore,"adv.向岸地,在岸上地"
deport,"vt.举止,驱逐"
adherence,"n.粘着,忠诚,坚持"
tribute,"n.贡品,礼物,颂词,殷勤,贡物"
defendant,"n.被告adj.辩护的,为自己辩护的"
tribunal,"n.法官席,审判员席,(特等)法庭"
denounce,"vt.公开指责,公然抨击,谴责"
outdate,vt.使过时
outdated,"adj.过时的,不流行的"
vibrate,"v.(使)振动,(使)摇摆"
agitate,"v.搅动,摇动,煽动,激动"
agitation,"n.激动,兴奋,煽动,搅动"
logo,n.标识语 Logo教学语言
trumpet,n.喇叭
prosecute,"vt.实行,从事,告发,起诉vi.告发,起诉,作检察官"
animated,"adj.活生生的,活泼的,动的,愉快的"
wax,"n.蜡,蜡状物,增加,月亮由亏转盈vi.变大,增大,月亮渐满vt.上蜡于"
tentative,"n.试验,假设adj.试验性的,试探的,尝试的,暂定的"
tentatively,"adv.试验性地,暂时地"
commentary,"n.注释,解说词"
tack,"n.大头钉,粗缝,行动方针,食物vt.以大头针钉住,附加vi.抢风航行,作文字形移动"
superintendent,"n.主管,负责人,指挥者,管理者"
tickle,"n.搔,胳肢,发痒vt.胳肢,逗笑,使高兴,使发痒vi.觉得痒,使人痒"
flutter,"n.摆动,鼓翼,烦扰vi.鼓翼,飘动,悸动,乱跳,烦扰vt.拍(翅),使焦急"
dub,"vt.[电影]配音,轻点,授予称号,打击n.鼓声,笨蛋"
incidentally,"adv.附带地,顺便提及"
ignite,"v.点火,点燃"
impetus,"n.推动力,促进"
manuscript,"n.手稿,原稿"
incomprehensive,"adj.范围狭小的,不了解的"
bewilder,"vt.使迷惑,使不知所措,使昏乱"
module,"n.模数,模块,登月舱,指令舱"
skeleton,"n.(动物之)骨架,骨骼,基干,纲要,万能钥匙"
crown,"n.王冠,花冠,顶vt.加冕,顶上有,表彰,使圆满完成"
marvel,"n.奇迹v.大为惊异,觉得惊奇"
nucleus," [nuclear的复数,见nuclear];n.核子"
serial,adj.连续的
timely,"adj.及时的,适时的"
particle,"n.粒子,点,极小量,微粒,质点,小品词,语气"
retrieve,v.重新得到n.找回
be swamped by ...,
be swamped with ...,
fight discrimination against sb.,
in adherence to,
come to life,
tack sth. up,
dub ... as ...,
marvel at,
marvel over,
feel strongly about sth.,
