relationship,n. 关系；关联
involve,"vt. 包括, 使陷于, 潜心于, 包围
[医] 累及, 牵涉, 包含"
item,"n. 项目, 条款, 一则, 项
[计] 项"
employee,"n. 职员, 员工, 受雇人员
[化] 职工; 雇员"
identify,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
current,"n. 涌流, 趋势, 流
a. 流通的, 现在的, 当前的, 流行的
[计] 当前的"
rate,"n. 比率, 率, 速度, 价格, 费用, 等级
vt. 估价, 认为, 鉴定等级, 责骂
vi. 被评价, 责骂"
contribute,"vt. 有助于, 捐助, 投稿
vi. 出力, 捐献, 投稿"
essential,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
[计] 本质冒险"
purchase,"n. 购买, 购买品, 紧握, 绞辘
vt. 购买, 赢得, 努力取得, 用滑轮起(锚等)"
ignore,"vt. 不理睬, 忽视, 驳回, 忽略
[计] 忽略"
promote,"vt. 促进, 晋升, 创办, 推销
[经] 促进, 推广, 推销"
data,"pl. 资料, 数据
[计] 数据; DOS内部命令:用于显示或设定系统的日期"
maintain,"vt. 维持, 维修, 保持, 坚持, 供养, 主张
[化] 维修"
overseas,"adv. 在海外，海外
adj. 海外的，国外的"
instance,"n. 建议, 情况, 例子, 场合
vt. 引以为例, 举例说明"
exchange,"n. 交换, (电话)交换局, 交换机, 汇兑, 交易所
v. 交换, 交易, 兑换
[计] 交换; 电话局"
highly,"adv. 非常, 非常赞许地
[电] 大大地"
formal,"a. 正式的, 形式的, 礼仪的, 拘于礼节的, 拘谨的
n. 正式的社交活动"
economy,[网络] 经济；电子经济
predict,"v. 预知, 预言, 预报"
consume,"vt. 消耗, 消费, 消灭
vi. 耗尽, 毁灭"
investment,"n. 投资
[医] 包埋料, 围模料, 包埋法, 围模法"
resource,"n. 资源, 财力, 办法, 策略, 急智, 消遣
[计] 资源"
variety,"n. 多样, 种类, 变种, 杂耍
[化] 变种"
claim,叫喊
remove,"vt. 移动, 调动, 除去, 迁移, 开除, 移交
vi. 迁移, 移动, 搬家
n. 班级, 升级, 移动, 搬家, 间距
[计] 删除"
contact,[网络] 装饰用套子
peer,"n. 同等的人, 匹敌, 贵族
vi. 凝视, 窥视, 费力地看, 隐现
vt. 与...同等, 封为贵族"
supply,"n. 补给, 供给, 供应品
vt. 补给, 供给, 提供, 补充
vi. 替代"
display,"n. 显示, 陈列, 炫耀, 显示器
vt. 陈列, 显示, 表现, 夸示
[计] 显示器; 显示"
appeal,"n. 恳求, 诉请, 上诉, 吸引力
vi. 呼吁, 诉请, 要求, 上诉, 有吸引力
vt. 将...上诉"
realize,"vt. 了解, 实现, 使显得逼真, 变卖
vi. 变卖"
participate,"vi. 参加, 分享, 参与, 带有
vt. 分享, 分担"
specific,"a. 特殊的, 特定的；明确的；详细的；[药] 具有特效的
n. 特性；细节；特效药"
particularly,"adv. 特别, 格外, 尤其, 详细地, 细致地"
vary,"vt. 改变, 使多样化
vi. 变化, 有不同, 违反"
range,"n. 排, 行, 山脉, 范围, 行列, 射程
vt. 排列, 归类于, 使并列, 放牧
vi. 平行, 延伸, 漫游
[计] 量程; 范围; 域; 距离"
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出
[电] 绩效, 性能"
therefore,adv. 因此；所以
loan,"n. 贷款, 借出
v. 借, 供应货款, 借给"
appreciate,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏
vi. 增值, 涨价"
pursue,"vt. 追赶, 追踪, 追随, 追求, 实行, 继续, 从事
vi. 追赶, 继续"
indicate,"vt. 显示, 象征, 指示, 指出
[医] 指示"
crucial,"a. 决定性的, 重要的, 严厉的
[医] 十字形的; 决断的, 定局的"
solution,"n. 解决, 解答, 溶液
[化] 溶液"
scientific,"a. 科学的, 系统的, 符合科学规律的
[计] 科学记数法"
payment,"n. 付款, 支付的款项(或实物), 偿还, 报应, 惩罚
[经] 支付, 缴纳, 支付款额"
phenomenon,"n. 现象, 迹象, 表现, 奇迹, 奇才
[化] 现象"
mobile,[网络] -移动
eventually,"adv. 最后, 终于"
ensure,"vt. 确定, 保证, 担保, 保护
[经] 确保, 确定"
suffer,"vt. 遭受, 经历, 忍受
vi. 受痛苦, 受损害"
workforce,"劳动力
[经] 劳动力"
household,"n. 家眷, 家务, 王室
a. 家务的, 家常的"
decrease,"n. 减少, 减少量
v. 减少"
responsibility,"n. 责任, 职责, 负担, 可靠性
[化] 职责"
device,"n. 装置, 设计, 策略, 发明物, 设备
[计] 设备; DOS内部命令:该命令要求DOS安装一个设备驱动程序"
assignment,"n. 分配, 功课, 任务, 转让, 归因, 陈述
[计] 赋值"
debate,"n. 辩论, 讨论
v. 争论, 辩论"
majority,"n. 多数, 大半
[计] 多数逻辑"
challenge,"n. 挑战, 盘问
vt. 向...挑战, 要求, 怀疑
vi. 挑战, 对(证据等)表示异议"
partly,"adv. 部分地, 在一定程度上"
quit,"vi. 离开, 辞职, 停止
vt. 离开, 放弃, 使解除, 停止
n. 离开
[计] 结束, 退出"
advanced,"a. 在前的, 高级的, 先进的, 年老的
[法] 预付的, 预支的, 垫付的"
effective,"a. 有效的, 有力的, 实际的
n. 有生力量"
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
online,"[经] (与主机)联机, 在线, 机内"
gain,"n. 增益, 获得, 利润, 收获, 增加
vt. 得到, 增进, 赚到
vi. 获利, 增加
[计] 增益"
enrich,"vt. 使富足, 使肥沃"
agency,"n. 代理机构, 经销商, 中介
[化] 办事处"
agent,[网络] 代理；智能体；软件代理
explore,"v. 探险, 探测, 探究"
willing,"a. 乐意的, 自愿的, 甘愿的"
commit,"vt. 委托(托付), 犯罪, 指派...作战, 使承担义务
[法] 犯, 做, 把...交托给"
trend,"n. 趋势, 倾向, 走向
vi. 倾向, 转向
[计] 趋势"
character,"n. 个性, 字符, 人物, 性质, 品格, 资格
[计] 字符"
concentrate,"n. 浓缩, 精选
v. 集中, 专心"
perform,"vt. 进行, 履行, 完成, 执行, 表演
vi. 行动, 工作, 执行, 演出"
throughout,[网络] 生产量；有效产出；透背
significant,"a. 重要的, 有效的, 有含义的, 暗示的, 值得注意的"
female,"n. 女性, 女人, 雌性动物
a. 女性的, 女子的"
margin,"n. 页边的空白, 边缘, 界限, 余裕, 差数, 差额, 保证金
vt. 加边于, 加旁注于
[计] 页边距"
recommend,"vt. 推荐, 介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
select,"a. 挑选出来的, 极好的
v. 选择, 挑选
n. 被挑选者, 精萃
[计] 选定"
staff,"n. 全体人员, 工作班子, 棍棒, 杆, 拐杖, 支柱, 权杖
a. 职员的, 雇员的, 参谋的
vt. 为...配备人员"
global,"a. 通用的, 全球的, 球形的, 综合的, 普遍的
[计] 共用"
expense,"n. 费用, 代价, 开支, 损失
[经] 费用, 开支, 将支出转为费用"
cultural,"a. 文化的, 教养的, 修养的
[医] 培养的"
improvement,"n. 进步, 改善, 利用
[医] 改善, 好转, 进步"
additional,"a. 附加的, 另外的, 额外的
[机] 加添的, 附加的"
digital,"a. 数字显示的, 数字的
n. 数字仪表, 数字式电子表(或时钟)
[计] 数字, 数字式"
source,"n. 来源, 水源, 根源, 原始资料, 源
[计] 来源, 源程序"
award,"n. 奖品, 裁定, 判决
vt. 授予, 给予"
relate,"vt. 讲, 叙述, 使互相关联
vi. 有关, 符合, 相处得好"
priority,"n. 优先权, 优先
[计] 优先级"
gap,"n. 缝隙, 缺口, 间断, 间距, 通用汇编程序
vt. 打开缺口, 造成缝隙
vi. 豁开
[计] 通用汇编程序, 图形应用程序, 间距"
combine,"v. (使)联合, (使)结合
n. (企业的)联合, 联合收割机"
enable,"vt. 使能够
[计] 允许, 使能, 打开"
profit,[网络] 专家型；宝发实业有限公司
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
remarkable,"a. 不平常的, 值得注意的, 显著的"
expectation,"n. 期待, 指望, 展望
[化] 期望值"
delay,"n. 耽搁, 迟滞
v. 耽搁, 延迟
[计] 延迟, 延时"
typical,"a. 典型的, 象征性的
[医] 典型的"
permanent,"a. 永久的, 不变的, 固定的, 持久的
n. 烫发
[计] 永久的"
complain,"v. 抱怨, 抗议, 控诉"
launch,"n. 下水, 汽艇, 发射
vt. 使下水, 发射, 发动
vi. 起飞, 下水, 投入, 开始"
occur,"vi. 发生, 被想到, 存在"
option,"n. 选择权, 挑选, 选项
[计] 选项"
cope,"vi. 处理；对付；竞争
n. 长袍
n. (Cope)人名；(英)科普；(西)科佩"
handle,"n. 柄, 把手, 把柄, 柄状物, 手感
vt. 触摸, 运用, 买卖, 处理, 操作
vi. 搬运, 易于操纵
n. 句柄
[计] 句柄"
complex,"n. 综合体, 情结, 络合物
a. 复杂的, 组合的"
necessarily,"adv. 必然地, 必须地, 必要地"
fascinate,"vt. 令人入神, 使着迷
vi. 入迷"
recognize,[网络] 重新认知；认清
reward,"n. 报酬, 酬谢, 赏金
vt. 奖赏, 酬谢, 给...应有报应"
minor,"n. 未成年人, 副修科目
a. 较小的, 二流的, 未成年的
vi. 副修
[计] 次要"
factor,"n. 因素, 因数, 系数, 基因, 代理人
[计] 因式"
occasion,"n. 场合, 时机, 机会, 诱因, 理由
vt. 惹起, 引起"
conflict,"n. 战斗, 冲突, 矛盾, 争执
vi. 争执, 战斗, 冲突, 抵触
[计] 冲突"
release,"vt. 释放；发射；让与；允许发表
n. 释放；发布；让与"
despite,"n. 轻视, 憎恨
prep. 虽然, 尽管"
reserve,[网络] 再服务
prosperity,"n. 繁荣, 茂盛, 成功
[经] 繁荣"
circumstance,"n. 环境, 状况, 事件"
attribute,"n. 属性, 标志, 定语
vt. 把...归于, 认为...属于
[计] 属性"
institution,[网络] 刚刚开始研究中国制度；新制度经济学把制度
publish,"vt. 出版, 发行, 公开, 发表, 宣传, 公布
vi. 出版, 发行"
possibility,"n. 可能性, 可能的事
[法] 可能性, 可能发生的事, 不确定权"
insurance,n. 保险；保险费；保险契约；赔偿金
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
hire,"n. 雇用，租用；租金，工钱
vt. 雇用；出租
vi. 雇用，租用；受雇"
delight,"n. 高兴, 愉快
vt. 使高兴, 乐于
vi. 感到高兴(或愉快、快乐)"
threaten,"vt. 恐吓, 威胁, 预示...的凶兆
vi. 威胁, 恫吓, 可能来临"
characteristic,"n. 特性, 特征, 特色
a. 特性的, 特有的, 有特色的
[计] 阶; 指数"
characterize,"vt. 描绘...的特性, 刻划...的性格"
ideal,"n. 理想, 典范, 观念, 思想, 最后目标
a. 理想的, 完美的, 空想的, 观念的, 唯心论的"
establish,"vt. 建立, 确立, 制定
vi. 移植生长"
platform,"n. 平台；月台, 站台；坛；讲台"
treatment,"n. 治疗, 待遇, 处理
[医] 疗法, 治疗; 处理"
council,"n. 会议, 委员会
[经] 委员会"
associate,"n. 同伴, 伙伴, 关联的事物
vt. 使联合, 使发生联系
vi. 交往
[计] 关联"
attempt,"n. 尝试, 企图
vt. 尝试, 企图"
boost,"n. 推进, 吹捧
vt. 推进, 提高, 宣扬, 促进"
obtain,"vt. 获得, 达到
vi. 流行, 得到公认"
exception,"n. 例外, 除外, 异议
[计] 例外; 异常"
popularity,"n. 名声, 受大众欢迎, 流行"
finding,"n. 发现, 发现物, 决定, 裁决
[法] 调查结果, 对事实的认定, 判定的要素"
ambitious,"a. 有野心的, 抱负不凡的, 雄心勃勃的"
contest,"n. 竞赛, 争论
vt. 竞争, 争取, 争辩
vi. 竞争"
costly,"a. 昂贵的, 奢华的, 费用大的"
competitive,"a. 竞争的
[经] 竞争的"
mechanic,"n. 机械工, 技工
a. 手工的"
revolution,"n. 革命, 大变革, 旋转, 转数, 循环
[化] 回转"
finance,"n. 财政, 财务
vt. 供给...经费, 负担经费
vi. 筹措资金"
largely,"adv. 大量地, 很多地, 大半地"
determine,"v. 决定, 决心"
liberal,"adj. 自由主义的；慷慨的；不拘泥的；宽大的
n. 自由主义者
n. (Liberal)人名；(葡)利贝拉尔"
budget,adj. 预算的；与形容词；像'low'和'big'连用形成形容词指花费多少钱的尤指拍电影的预算；comb
fancy,"n. 想象力, 幻想, 喜好
a. 想象的, 精美的, 新奇的, 奇特的, 高价的, 特级的
vt. 想象, 设想, 相信, 喜爱
vi. 想象, 幻想"
response,"n. 反应, 回答, 响应
[计] 应答"
desire,"n. 欲望, 要求
vt. 想要, 请求
vi. 渴望"
rely,"vi. 信赖, 依赖, 信任"
technical,"a. 技术上的, 专门的, 工业的, 严格根据法律的
[化] 技巧"
schedule,"n. 时间表, 一览表, 计划表, 议事日程
vt. 预定, 编制目录, 制...表, 安排"
domestic,"a. 家庭的, 国内的, 驯养的
[医] 家庭的, 家用的"
equal,"n. 对手, 匹敌, 同辈
a. 相等的, 平等的, 胜任的, 合适的, 平静的, 不相上下的
vt. 等于, 比得上
[计] 等长度编码"
generous,"具,有"
economist,[网络] 经济学家
previous,"a. 早先的, 前面的, 过急的
[法] 以前的, 生前的, 前述的"
awareness,"n. 意识, 认识
[计] 识别, 议定, 明白"
string,"n. 线, 细绳, 一串, 字符串
vt. 串起, 成串, 收紧, 缚, 扎
vi. 成一串
[计] 字符串, 串"
productive,"a. 能生产的, 有生产价值的, 多产的
[医] 产出性的, 产生性的"
independent,"adj. 独立的；自主的；自治的；不相干的人所做的（或提供的）
n. 无党派议员（或候选人等）
[网络] 有主见的；独立报；独立自主的"
broaden,"vi. 变宽, 扩大
vt. 放宽, 使扩大"
justify,"vt. 替...辩护, 证明
vi. 证明合法
[计] 段落重排, 两端对齐"
behavior,"n. 行为, 举止
[医] 行为"
behaviour,作，行为；性能，特性，品质；状态，工况，运行情况
shock,"n. 震动, 冲突, 震惊, 冲击, 突击, 禾束堆, 休克, 长毛狗
vt. 使震动, 使休克, 使受电击, 震惊得
vi. 震动, 吓人
a. 蓬乱浓密的"
attach,"vt. 附上, 使依附, 使附属, 使喜爱, 系, 缚
vi. 附属, 归属, 联系在一起
[计] 挂接服务器命令, 关联, 挂接, 附加"
vital,"a. 生命的, 重要的, 充满活力的, 生死攸关的, 致命的
[医] 生命的, 生活的, 生活上必需的, 紧要的"
attitude,"n. 态度, 看法, 姿势
[医] 体态, 姿势, 态度"
primarily,"adv. 主要地, 首先地"
label,"n. 标签, 称号, 商标, 标志
vt. 贴标签于, 标注
[计] 标志; 标注; DOS外部命令:用于建立改变或删除磁盘卷标号"
beneficial,"a. 有益的, 受益的
[经] 有使用权的, 可享利益的"
cultivate,"vt. 培养, 耕作"
capacity,"n. 容量, 能力, 才能, 资格
[计] 容量"
extent,"n. 范围, 程度, 区域
[计] 范围"
critic,"n. 批评家, 鉴定家"
grant,"n. 授予, 授予物, 允许
vt. 允许, 承认, 授与
[计] 授权命令"
bankrupt,"n. 破产者
a. 破产的
vt. 使破产"
personality,"n. 个性, 人格, (团体、地方、国家)特有特性, 名人
[医] 人格; 个性"
recruit,"n. 新兵, 新手, 新会员, 补给品
vt. 恢复, 补充, 充实, 征募
vi. 征募新兵, 复原, 得到补充"
assign,"vt. 分配, 指派, 赋值
[计] 赋值"
citizen,"n. 市民, 公民
[法] 公民, 国民, 市民"
strategy,"n. 战略, 策略
[经] 战略, 策略"
strategic,"a. 战略的, 战略上的
[经] 战略的"
prospect,"n. 景色, 展望
vt. 勘探, 勘察
vi. 勘探, 有前途"
talent,"n. 天才, 才能, 有才干的人, 天资"
negative,"n. 否定, 否定语, 负数, 底片
a. 否定的, 消极的, 负的, 阴性的
n. 负数, 负值
[计] 负数, 负值"
resolve,"vi. 决定, 分解, 决心
vt. 使分解, 解析, 解决, 消除, 决心
n. 决定之事, 决心, 坚决"
replace,"vt. 取代, 代替；替换, 更换；归还, 偿还；把…放回原处"
institute,"vt. 开始（调查）；制定；创立；提起（诉讼）
n. 学会，协会；学院"
revenue,"n. 收入, 岁入, 税收, 税务局
[经] 岁入, 税收, 税务局"
exhibit,"n. 显示, 显现, 展览品, 陈列品, 展览
vt. 展现, 陈列, 展览
vi. 开展览会"
discount,"n. 折扣, 贴现率
vt. 打折扣
vi. 贴现"
sponsor,"n. 保证人, 赞助者, 发起者, 倡议者, 教父
vt. 发起, 赞助, 倡议"
convenient,"a. 方便的, 合宜的
[法] 适当的, 合理而可行的, 方便的"
convenience,"n. 方便, 便利的事物, 方便的时候"
announce,"vt. 宣布, 声称, 显示, 预告
vi. 当报幕员, 宣布参加竞选"
consumption,"n. 消费, 消费量, 痨病
[化] 消耗量; 耗量"
qualify,"vi. 取得资格, 有资格
vt. 使有资格, 使合格, 限定, 限制, 准予"
reference,"n. 参考, 索引, 参照
vt. 给...加上参考资料
vt. 引用
vi. 引用
[计] 引用"
dependent,"adj. 取决于；依靠的；依赖的；有瘾的
n. 受赡养者；扈从；依存[从属]物
[网络] 从属的；因变量"
immediate,"a. 立即的, 直接的, 接近的
[医] 直接的, 立即的"
insist,"v. 坚持, 坚决主张, 强调"
participation,n. participate的变形
differ,"vi. 不一致, 不同
[机] 差异, 不同"
comment,"n. 注解, 批评, 评论, 备注
vi. 评论, 注解
[计] 备注"
document,"n. 文件, 公文, 文档
vt. 证明, 为...引证
[计] 文档"
extend,"v. 扩充, 延伸, 伸展, 扩大
[计] 扩展"
reputation,"n. 名誉, 名声, 声望
[法] 名声, 名誉, 公认证据"
prosperous,"a. 成功的, 繁盛的, 幸运的
[经] 繁荣的, 昌盛的"
locate,"vt. 找出, 设于, 位于
vi. 定居"
rarely,"adv. 很少地, 罕有地"
reveal,"vt. 露出, 显示, 透露, 揭露, 泄露, (神)启示
n. 窗侧, 门侧"
historical,"a. 历史的, 史实的, 历史上的
[法] 历史性的"
reservation,"n. 保留, 预定, 保留品, 保留地
[经] 预定, 预约, 权益保留"
employer,"n. 雇主, 老板
[经] 雇主, 业主"
concept,"n. 观念, 概念
[医] 概念"
observe,"vt. 觉察到, 遵守, 注意到, 庆祝
vi. 注意, 评论"
resort,vt. 使再分类
energetic,"a. 精力充沛的, 积极的"
conduct,"n. 行为, 举动, 指导
vt. 为人, 指挥, 管理, 实施
vi. 领导, 传导, 指挥"
derive,"vt. 得自
vi. 起源"
mystery,"n. 秘密, 神秘, 奥秘"
creation,"n. 创造, 创作物, 发明
[化] 产生"
creative,"a. 有创造力的, 创作的, 产生的"
intention,"n. 意图, 目的, 含义
[医] 愈合, 意向"
confident,"a. 有信心的, 有把握的"
confidence,[网络] 有自信
estimate,"n. 估计, 判断
vt. 估计, 评价, 判断
vi. 估计"
dominate,"v. 支配, 占优势"
strip,"n. 长条, 条状, 带, 脱衣舞
vt. 脱衣, 被剥去, 剥夺, 拆卸
vi. 脱衣服"
dozen,"n. 打, 十二个
a. 一打的"
survival,"n. 生存, 残存, 幸存者
a. 赖以生存的"
generate,"vt. 产生, 发生, 导致
[电] 产生"
living,"n. 生活, 生计, 生存
a. 活的, 逼真的, 现存的"
scene,"n. 场, 情景, 镜头, 发生地点, 道具, 布景, 景色
[化] 现场"
justice,"n. 正义, 公平, 公正, 正确, 司法, 审判"
exert,"vt. 发挥, 运用, 施以影响
[法] 施加, 产生, 行使"
mass,"n. 块, 大多数, 质量, 大量, 群众, 弥撒
a. 群众的, 大规模的, 整个的
vt. 使集合, 集中
vi. 聚集"
site,"n. 网站；站点；现场；位置
v. 使坐落在；为…选址
[网络] 场所；地点；场地"
positive,"a. 肯定的, 积极的, 有把握的
[医] 正的, 阳性的"
industrial,"a. 工业的, 供工业用的, 工业高度发展的, 产业的
n. 工业工人, 工业股票"
perspective,"n. 远景, 透视感, (观察问题的)视角, 透视法, 看法, 透视图
a. 透视的, 透视法的
[计] 透视"
otherwise,[网络] 聪明
recall,[网络] 召回；汽车召回制度；招回
extreme,"adj. 极端的；极度的；偏激的；尽头的
n. 极端；末端；最大程度；极端的事物"
constant,"n. 常数, 恒量
a. 不变的, 一定的, 时常的
[计] 常量; 常数; 恒值"
realistic,"a. 现实的, 逼真的, 现实主义的, 实在论的"
compete,"vi. 竞争, 对抗"
propose,"vt. 计划, 打算, 建议, 提议, 求(婚)
vi. 打算, 求婚"
entire,"n. 整个, 全部
a. 全体的, 完全的, 全部的"
ingredient,"n. 成分, 因素
[化] 配合剂; 拼料; 成分; 组分"
poll,"n. 投票, 民意测验, 选举投票, 投票数, 一组人中的一个, 头颈和后脑部, 鹦鹉
vt. 对...进行民意测验, 获得...票, 剪树枝, 轮询
vi. 投票
a. 剪过毛的, 修过枝的
[计] 轮询"
clue,"n. 线索, 暗示
vt. 暗示, 提供线索"
campus,"n. 校园, 大学生活"
aware,"a. 知道的, 有觉悟的"
conference,"n. 会议
[经] 会议, 讨论会, 协商会"
deliver,"vt. 递送, 陈述, 释放, 发表, 引渡, 投递, 交付
[经] 交运"
transportation,输送，运输，运输工具
recession,"n. 后退, 凹处, 衰退, 归还
[医] 退缩"
inform,"身体好,竞技状态好"
tension,"n. 紧张, 不安, 拉紧, 张力, 压力, 电压
vt. 拉紧, 使紧张"
evolve,"vi. 进展, 进化, 展开
vt. 使发展, 使推断出, 使进化"
transaction,"n. 交易, 办理, 学报, 和解协议
[计] 事务处理"
crisis,危象
guarantee,"n. 担保, 抵押品, 保证书
vt. 保证, 担保"
restore,[网络] 再储藏；恢复
requirement,"n. 需求, 必要条件, 要求
[化] 要求; 合同要求"
committee,n. 委员会
revise,"n. 校订, 修正, 改样
vt. 校订, 修正, 校正"
optimistic,"a. 乐观的, 乐观主义的, 乐天的"
dramatic,"a. 戏剧性的, 生动的"
poverty,"n. 贫穷, 贫困, 缺乏
[医] 贫乏, 缺乏"
literature,"n. 文学, 文艺, 著作
[经] 广告, 商品介绍等文学"
definitely,"adv. 明确无疑地, 清楚地"
emotional,"a. 情绪的, 情感的
[医] 情绪的"
sacrifice,"n. 牺牲, 供奉, 祭品
vt. 牺牲, 祭祀, 贱卖
vi. 献祭"
federal,"a. 联邦的, 联合的, 同盟的
[法] 联邦的, 联邦制的, 联盟的"
income,"n. 收入, 收益, 流入
[经] 收益"
presence,"n. 出席, 面前, 存在, 仪态, 风度
[电] 出现"
style," 表示：“…式样的”：familystyle; “按…式样”, “有点儿…地”; 表示“…柱式”,“…柱的”：distyle"
engage,"vi. 答应, 从事, 交战
vt. 使忙碌, 雇佣, 预定, 使从事于, 使参加"
efficient,"comb.form 表示“效率高的”,“充分利用的”：cost-efficient,energy-efficient"
facility,"n. 容易, 灵巧, 设备
[计] 设施; 设备; 装备"
bound,comb. 因某种情况而受阻的；开往…的，往…去的
similarly,"adv. 相像地, 类似于"
implication,"n. 牵连, 含义, 暗示
[法] 推断, 含蓄之意, 暗示"
virtually,adv. 事实上
virtual,"a. 实际上起作用的, 虚的, 实质的, 有效的, 事实上生效的
[计] 虚拟"
process,[网络] 过程；流程；进程
location,[网络] 偏重于以区位
criticism,"n. 批评, 评论, 非难
[法] 批判, 批评, 评论"
specifically,"adv. 特定地, 明确地, 按特性"
optional,"a. 可选择的, 随意的
[化] 选购的"
contribution,"n. 捐助, 捐助之物, 贡献
[经] 贡献, 捐款, 补助品"
discourage,"vt. 使气馁, 阻碍"
appliance,"n. 器械, 用具, 应用
[医] 矫正器; 器"
exposure,"n. 暴露, 揭发, 揭露
[化] 曝光量; 照射; 照射量"
procedure,"n. 程序, 过程, 手续
[计] 规程; 过程"
regardless,"a. 不管, 不注意, 不顾"
criticize,"v. 批评, 吹毛求疵, 非难"
channel,"n. 海峡, 航道, 频道
vt. 引导, 在...上挖沟, 形成河道
[计] 信道, 通道"
moreover,[网络] 再说；再加上
bargain,"n. 交易, 买卖协定, 特价商品
v. 讲价, 交易"
distribute,"vt. 分配, 散布, 分发
[经] 分配, 分发"
execute,"vt. 执行, 实行, 完成, 处死, 制成
[计] 执行"
executive,"n. 执行部门, 执行委员会, 执行者, 经理主管人员
a. 执行的, 善于执行的, 善于经营的
[计] 执行程序"
interpretation,"n. 解释, 演出, 翻译
[计] 插值; 插值法; 解释"
command,[网络] 命令
scale,"n. 刻度, 衡量, 比例, 比例尺, 数值范围, 等级, 规模, 天平, 秤, 鳞, 积垢
vt. 依比例决定, 攀登, 测量, 绘制, 刮鳞, 使生垢, 过秤
vi. 剥落, 生水垢, 重量为, 攀登, 衡量
[计] 刻度"
gather,"n. 集合, 聚集
vi. 聚集, 集合, 渐增
vt. 使聚集, 搜集, 积聚"
fund,"n. 基金, 资金, 存款, 财源, 贮藏
vt. 提供资金, 积累"
spoil,"n. 战利品, 赃物, 奖品, 变质, 次品
vt. 损坏, 破坏, 溺爱
vi. 腐坏, 掠夺"
division,"n. 分, 分开, 除法, 部门(如部、处、系等), 师
[计] 部分"
somewhat,[网络] 一些什么；稍微；有点
arise,"vi. 站立, 出现, 起来"
