take inventory,[经] 实地清点盘存
two left feet,[网络] 有两左脚；笨手笨脚；有两只左脚
audience,"n. 听众, 观众, 读者
[法] 听讼, 观众, 听众"
cactus plant,无
chemistry set,一套化学用具
flu shot,注射流感疫苗
income tax form,[经] 所得税申报书
ingredients,材料；作料
metal detector,[电] 金属检查器
minister,"n. 部长, 牧师, 公使
vi. 服侍, 救助, 主持宗教仪式"
mortgage,"n. 抵押, 约束性义务, 抵押借款
vt. 抵押, 以...作担保, 把...许给"
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出
[电] 绩效, 性能"
postcard,明信片
printer,"n. 印刷工, 打印机
[计] 打印机"
snowman,[网络] 雪人；小雪人；雪人於
traffic light,"红绿灯
[法] 交通指挥灯"
wedding dress,n. 结婚礼服
alarm clock,闹钟
assembly line,"装配线
[经] 装配线, 流水作业线"
audience,"n. 听众, 观众, 读者
[法] 听讼, 观众, 听众"
automobile factory, 汽车制造厂; 汽车厂
cactus plant,无
chemistry set,一套化学用具
condo,"n. 共同统治, 共管下的政府, 共管, 多层公寓大楼, 由个人占用的一套公寓房间"
cotton,"n. 棉花
vi. 和谐, 有好感, 理解"
disease,[网络] 不舒服；不适；疾病
encore,"n. 再演唱的要求, 要次登场
interj. 再演唱一次
vt. 要求再演(或唱)"
flu shot,注射流感疫苗
income tax form,[经] 所得税申报书
ingredients,材料；作料
metal detector,[电] 金属检查器
minister,"n. 部长, 牧师, 公使
vi. 服侍, 救助, 主持宗教仪式"
mood,"n. 心情, 气氛, 生气, 基调
[医] 心境"
mortgage,"n. 抵押, 约束性义务, 抵押借款
vt. 抵押, 以...作担保, 把...许给"
nursery school,幼儿园
optimist,"n. 乐观者, 乐观主义者"
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出
[电] 绩效, 性能"
postcard,明信片
printer,"n. 印刷工, 打印机
[计] 打印机"
relatives,n. 亲属；[语法学]关系词（relative的复数）
rumor,"n. 谣言, 传闻
vt. 谣传"
school play, 校园剧
snowman,[网络] 雪人；小雪人；雪人於
traffic light,"红绿灯
[法] 交通指挥灯"
wedding dress,n. 结婚礼服
close down,"关闭, 歇业, 停止播音"
expect,"vt. 预期, 盼望, 期待"
get searched,无
get stopped,无
hand in,"na. 交进
[网络] 上交；交上；递交"
perform,"vt. 进行, 履行, 完成, 执行, 表演
vi. 行动, 工作, 执行, 演出"
run by,[网络] 运行者；解释给…听；问…意见
save,"n. 救球
vt. 解救, 挽救, 储蓄, 保存, 节省, 保留
vi. 挽救, 节省, 救球
prep. 除...之外
[计] 保存"
scold,"n. 好骂街的人, 责骂
v. 责骂"
set off,"na. 分；分割；划开；区划
[网络] 出发；动身；引起"
shrink,"n. 收缩, 萎缩, 回避
vi. 收缩, 退缩, 萎缩, 缩小, 回避
vt. 使收缩, 使缩小"
shut down,"na. 关闭；关拢(窗等)；停业；禁止
[网络] 关机；停工；使关闭"
take lessons,"听课,学习"
trust,"n. 信任, 信赖, 相信, 受托, 职责, 信心, 托拉斯
a. 信托的, 托拉斯的
vt. 信赖, 信任, 相信, 盼望, 赊卖给
vi. 相信, 信赖, 依靠
[计] 委托, 信任"
confused,"adj. 困惑的；混乱的；糊涂的
v. 困惑（confuse的过去式）"
convinced,"a. 确信的, 深信的"
irritable,"a. 易怒的, 急躁的
[医] 应激性的, 过敏的"
lonely,"a. 孤单的, 孤寂的, 荒凉的"
miserable,a. 悲惨的；痛苦的；卑鄙的
prepared,"adj. 准备好的；精制的
v. 准备（prepare的过去分词）"
rare,"a. 稀罕的, 罕有的, 珍奇的, 稀薄的, 半熟的, 非常好的
adv. 非常"
have a hard day,无
out of place,"不在合适位置, 不合适"
put up for sale,"na. 拿出拍卖
[网络] 拿出销售；可供出售"
run out of,用完
set on fire, 激起
under the weather," 身体不舒服, 心情不好"
bride,n. 新娘
groom,"n. 马夫, 新郎, 男仆
vt. 喂马, 使...整洁, 推荐
vi. 打扮, 穿戴"
interviewer,"n. 会见者, 面谈者, 进行面试者"
movie star,n. 电影明星
school-bus driver,无
college entrance exam,无
dictionary,"n. 字典, 词典
[计] 词典"
engine,"n. 引擎, 发动机, 机车
vt. 安装发动机于"
lion,"n. 狮子；名人；勇猛的人；社交场合的名流
n. (Lion)人名；(西、葡)利昂；(德、法、意、捷、瑞典)利翁；(英)莱昂"
message,"n. 消息, 通讯, 讯息, 教训, 预言, 广告词
vt. 通知
vi. 通报, 报告, 报信
[计] 报文; 消息; 信息"
navy,"n. 海军, 海军人员, 海军军力, 烟蒂"
pipe,"n. 管, 导管, 输送管, 管状器官, 声带, 尖细的声音, 烟斗, 笛, 管乐器
vt. 以管输送, 吹哨子, 吹奏, 尖声唱
vi. 吹笛, 尖叫, 吹长哨发令
[计] 管道"
puppy,"n. 小狗, 小动物, 自负的年轻人"
radiator,"n. 暖气装置, 散热器, 辐射体
[化] 散热器"
robbery,"n. 抢掠, 抢夺
[法] 强盗, 抢劫, 劫掠"
advice,"n. 忠告, 劝告, 意见, 报道, 通知
[经] 通知书, 通知, 建议"
bride,n. 新娘
college entrance exam,无
dictionary,"n. 字典, 词典
[计] 词典"
engine,"n. 引擎, 发动机, 机车
vt. 安装发动机于"
grease,"n. 脂肪, 兽脂, 油脂, 贿赂
vt. 涂脂于, 贿赂"
groom,"n. 马夫, 新郎, 男仆
vt. 喂马, 使...整洁, 推荐
vi. 打扮, 穿戴"
interviewer,"n. 会见者, 面谈者, 进行面试者"
lion,"n. 狮子；名人；勇猛的人；社交场合的名流
n. (Lion)人名；(西、葡)利昂；(德、法、意、捷、瑞典)利翁；(英)莱昂"
message,"n. 消息, 通讯, 讯息, 教训, 预言, 广告词
vt. 通知
vi. 通报, 报告, 报信
[计] 报文; 消息; 信息"
movie star,n. 电影明星
navy,"n. 海军, 海军人员, 海军军力, 烟蒂"
pipe,"n. 管, 导管, 输送管, 管状器官, 声带, 尖细的声音, 烟斗, 笛, 管乐器
vt. 以管输送, 吹哨子, 吹奏, 尖声唱
vi. 吹笛, 尖叫, 吹长哨发令
[计] 管道"
position,[网络] 位置
puppy,"n. 小狗, 小动物, 自负的年轻人"
radiator,"n. 暖气装置, 散热器, 辐射体
[化] 散热器"
robber,"n. 强盗, 盗贼"
school-bus driver,无
training,"n. 训练, 培养
[医] 训练"
advise,"vt. 劝告, 给...出主意, 通知, 建议
vi. 提意见, 商量"
apply,"vt. 涂, 应用
vi. 申请, 适用"
bother,"vt. 烦扰, 迷惑
vi. 烦恼, 操心
n. 麻烦, 纠纷, 讨厌的人"
cancel,"n. 取消, 撤消, 盖销(邮票)
vt. 取消, 删去, 抵销, 盖销
vi. 相互抵销
[计] 作废"
clog,"n. 障碍, 脚坠
v. 障碍, 阻塞"
deliver,"vt. 递送, 陈述, 释放, 发表, 引渡, 投递, 交付
[经] 交运"
depend,"vi. 靠, 视...而定, 信赖"
disturb,"vt. 扰乱, 妨碍, 使不安
[法] 滋扰, 扰乱"
dye,[网络] 染料
escape,"n. 逃亡, 避难设备, 逃跑
vi. 逃脱, 避开, 溜走
vt. 逃避, 避免, 被...忘掉"
kiss,[网络] 小司
leave on,[网络] 留住；让…留在原处；好聚好散
lock,[网络] -锁
pour,"n. 流出, 倾泻, 骤雨
vt. 倒, 灌, 注, 倾泻, 诉说, 倾吐
vi. 倾泻, 蜂涌而来, 下大雨"
prevent,"v. 预防, 防止, 阻止, 妨碍"
annoyed,a. 恼怒的；烦闷的
confident,"a. 有信心的, 有把握的"
engaged,"a. 忙碌的, 使用中的"
prepared,"adj. 准备好的；精制的
v. 准备（prepare的过去分词）"
professional,"n. 专业人才
a. 专业的, 职业的"
qualified,"a. 有资格的
[经] 合格的, 有条件的, 有限制的"
reassured,"(re-assure 的过去分词) vt. 使…安心, 使消除疑虑"
unaware,"a. 未认识到的, 不知道的
[法] 不知道的, 不察觉的, 无意的"
willing,"a. 乐意的, 自愿的, 甘愿的"
couple,"n. 对, 夫妇, 数个
vt. 使成双, 连接, 使成婚, 把...联系起来
vi. 结合, 成婚"
dolphin,n. 海豚
kite,"n. 风筝, 筝帆, 空头支票, 骗子
vi. 象风筝一样飞, 轻快地移动, 使用空头支票
vt. 使上升, 骗钱"
memo,"n. 备忘录
[经] 备忘录"
moon,"n. 月亮, 月球, 月光
vi. 闲荡
vt. 虚度"
spare tire,n. 备用轮胎
toaster,"n. 烤面包器, 烤面包炉, 祝酒人"
wagon,"n. 四轮马车, 货车
[法] 囚车, 马车, 运货车"
engaged,"a. 忙碌的, 使用中的"
overcooked,"(over-cook 的过去分词) 过煮
糊煮"
punctual,"a. 准时的, 守时的, 点状的, 中肯的
[经] 准时的, 不误期的, 准时"
scary,"a. 容易受惊的, 胆小的, 提心吊胆的"
allergic,"a. 对...过敏的, 极反感的
[医] 变应性的"
angry,"a. 生气的, 愤怒的"
considerate,adj. 体谅的，体贴的，关切的；考虑周全的，周密的；[废语]谨慎的；深思熟虑的
cooperative,"a. 合作的；有协作精神的；愿意配合的; 齐心协力的；合作进行的
n. 合作社；合作机构"
dedicated,"a. 专注的, 献身的"
efficient,"comb.form 表示“效率高的”,“充分利用的”：cost-efficient,energy-efficient"
engaged,"a. 忙碌的, 使用中的"
famous,"a. 出名的, 极好的"
friendly,[网络] -友善
generous,"具,有"
honest,"a. 诚实的, 坦直的, 可靠的"
industrious,"a. 勤勉的, 刻苦的"
nervous,adj. 神经的；紧张不安的；强健有力的
online,"[经] (与主机)联机, 在线, 机内"
overcooked,"(over-cook 的过去分词) 过煮
糊煮"
pleased,"a. 高兴的, 喜欢的, 满足的"
polite,"a. 有礼貌的, 文雅的, 客气的, 有教养的"
promoted,a. 晋升的
punctual,"a. 准时的, 守时的, 点状的, 中肯的
[经] 准时的, 不误期的, 准时"
scary,"a. 容易受惊的, 胆小的, 提心吊胆的"
shocked,a. 震撼的；震惊的
sour,"a. 酸的, 酸臭的, 发酵的, 愠怒的, 讨厌的, 拙劣的, 不健全的
vi. 变酸, 发酵, 厌烦, 变坏
vt. 使变酸, 使失望
n. 酸味, 酸饮料"
unfair,"a. 不公平的, 不正直的, 不正当的
[法] 不正直的, 不公平的, 偏颇的"
upset,上端局设备
accusation,"n. 控告, 指控, 指责
[法] 控告, 起诉, 告发"
championship,n. 锦标赛；冠军称号；冠军的地位
common cold,[医] 感冒
couple,"n. 对, 夫妇, 数个
vt. 使成双, 连接, 使成婚, 把...联系起来
vi. 结合, 成婚"
cure,"n. 治疗, 治愈, 治疗法
vt. 治疗, 治愈, 改正, 腌制, 加工处理, 使硫化
vi. 受治疗, 被加工处理, 被硫化"
dolphin,n. 海豚
engagement,"n. 诺言, 约会, 婚约, 交战
[医] 衔接"
guy,"n. 家伙, 支索
vt. 用支索撑住, 取笑, 嘲弄
vi. 逃跑"
memo,"n. 备忘录
[经] 备忘录"
moon,"n. 月亮, 月球, 月光
vi. 闲荡
vt. 虚度"
Olympics,n. 奥林匹克运动会
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出
[电] 绩效, 性能"
ride,"n. 骑马, 乘坐, 乘车, 搭便车
vt. 骑, 乘坐, 压迫, 控制
vi. 骑马, 乘车, 漂游"
SAT test score,无
spare tire,n. 备用轮胎
spot,"n. 污点, 地点, 斑点, 点, 娱乐场所, 处境, 少量
a. 当场的, 现场的, 现货买卖的, 现金交易的, 抽样的
vt. 点缀, 玷污, 认出, 准确定...的位, 用灯光照射
vi. 玷污, (从空中)侦察敌方目标"
suspect,"n. 被怀疑者, 嫌疑犯
a. 令人怀疑的, 不可信的, 可疑的
v. 怀疑, 猜想"
toaster,"n. 烤面包器, 烤面包炉, 祝酒人"
vacation day,[网络] 带薪假期；假期日
wagon,"n. 四轮马车, 货车
[法] 囚车, 马车, 运货车"
wedding anniversary, 结婚纪念
White House,[经] 白宫
celebrate,"v. 庆祝, 祝贺, 举行"
complain,"v. 抱怨, 抗议, 控诉"
date,"n. 日期, 约会, 枣椰树
vt. 约会, 定日期
vi. 注明日期, 过时"
discover,"vt. 发现, 找到, 暴露
vi. 发现"
lock,[网络] -锁
mention,"n. 提到, 言及, 陈述
vt. 提到, 提及"
miss,"n. 失误, 避免, 失败, 小姐
vt. 未得到, 未达到, 未听到, 未觉察, 逃脱, 遗漏, 错过, 思念
vi. 失败, 击不中"
move out,"搬出, 出发"
observe,"vt. 觉察到, 遵守, 注意到, 庆祝
vi. 注意, 评论"
perform,"vt. 进行, 履行, 完成, 执行, 表演
vi. 行动, 工作, 执行, 演出"
play frisbee,无
skateboard,n. 溜冰板
star,"n. 星, 恒星, 星形物, 运气, 明星
vt. 以星状物装饰, 用星号标, 使成为明星
vi. 变成明星"
taste,"n. 味道, 品味, 味觉, 感受, 体验, 爱好, 审美, 少量
vt. 尝, 察觉...的味道, 体会
vi. 品尝, 察觉味道, 有某种味道"
tie my shoes,无
cast,"vt. 投，抛；计算；浇铸；投射（光、影、视线等）
n. 投掷，抛；铸件，[古生] 铸型；演员阵容；脱落物
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来
n. (Cast)人名；(法)卡斯特"
chicken pox,水痘
cockroach,[网络] 蟑螂液
diner,n. 用餐者
files,n. 文件；文档（file的复数）
hamster,"n. 仓鼠
[医] 仓鼠"
income tax return,[经] 所得税申报表
key,[计] DataCAD图标工具条文件
mess,"n. 食堂, 伙食, 用膳, 一份食品, 混乱, 乱七八糟, 困境
vt. 将...弄糟, 妨碍, 使紊乱, 使就餐
vi. 陷入困境, 搞乱, 用膳"
passport,n. 护照，通行证；手段
pet food, 玩尝动物食品，猫狗食（罐头）
satellite dish,n. 圆盘式卫星电视天线
scrap paper,n. 便条纸
wallpaper,[化] 糊墙纸
wisdom tooth,智齿
advice,"n. 忠告, 劝告, 意见, 报道, 通知
[经] 通知书, 通知, 建议"
button,"n. 按钮；钮扣
vt. 扣住；扣紧；在…上装钮扣
vi. 扣住；装有钮扣；扣上钮扣
n. (Button)人名；(英)巴顿"
cast,"vt. 投，抛；计算；浇铸；投射（光、影、视线等）
n. 投掷，抛；铸件，[古生] 铸型；演员阵容；脱落物
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来
n. (Cast)人名；(法)卡斯特"
chicken pox,水痘
cockroach,[网络] 蟑螂液
diner,n. 用餐者
file,[网络] 文件；提取码；文件操作
hamster,"n. 仓鼠
[医] 仓鼠"
income tax return,[经] 所得税申报表
key,[计] DataCAD图标工具条文件
mess,"n. 食堂, 伙食, 用膳, 一份食品, 混乱, 乱七八糟, 困境
vt. 将...弄糟, 妨碍, 使紊乱, 使就餐
vi. 陷入困境, 搞乱, 用膳"
passport,n. 护照，通行证；手段
pet food, 玩尝动物食品，猫狗食（罐头）
pillow,"n. 枕头, 靠垫, 枕状岩
vt. 作...的枕头, 垫, 枕于
vi. 靠在枕上"
repairs,"(re-pair 的第三人称 -s形式) vi. 修理；修复
vt. 修理；恢复；补救, 纠正
n. 修理, 修补；修补部位"
satellite dish,n. 圆盘式卫星电视天线
scrap paper,n. 便条纸
ski instructor,[网络] 滑雪指导员；滑雪教练；胡子绅士
ski resort,[网络] 滑雪场；滑雪胜地；滑雪度假村
slope,"n. 倾斜, 斜坡, 斜率, 扛枪姿势
vt. 使倾斜, 弄斜, 扛
vi. 倾斜, 走, 逃走"
video,"n. 影像, 电视
a. 图像的, 电视的"
wallpaper,[化] 糊墙纸
wisdom tooth,智齿
assemble,"vt. 集合, 收集, 装配
vi. 集合
[计] 汇编"
delete,"vt. 删除
[计] 删除"
disconnect,"vt. 使分离, 使不相连, 拆开
vi. 断开
[计] 断开"
erase,"vt. 抹去, 擦掉
[计] 清洗; 擦除; 抹除; DOS内部命令:从磁盘上删除一个或多个文件"
lose my balance,无
misunderstand,"vt. 误解, 误会"
mix up,"na. 调匀；混淆；使结交坏朋友；【拳击】猛烈互击
[网络] 混合；搞糊涂；混合在一起"
press,"vt. 压；按；逼迫；紧抱
vi. 压；逼；重压
n. 压；按；新闻；出版社；[印刷] 印刷机
n. (Press)人名；(英、德、俄、西、瑞典)普雷斯"
program,[网络] 程序；程序下载；项目
put up,"adj. 预先商定的
[网络] 举起；张贴；搭起"
quit,"vi. 离开, 辞职, 停止
vt. 离开, 放弃, 使解除, 停止
n. 离开
[计] 结束, 退出"
replace,"vt. 取代, 代替；替换, 更换；归还, 偿还；把…放回原处"
rewind,[网络] 四个靓妹氹氹转
save,"n. 救球
vt. 解救, 挽救, 储蓄, 保存, 节省, 保留
vi. 挽救, 节省, 救球
prep. 除...之外
[计] 保存"
set up,"na. 建立；创立；发起；开办
[网络] 设立；设置；成立"
tip over,使翻倒
urge,"n. 冲动, 推动力, 迫切的要求
vt. 驱策, 力劝, 竭力主张, 推动
vi. 强烈要求"
work out,"v. 作出；拟定；制定；计划一下
[网络] 算出；解决；制定出"
