coda,"n.乐章结尾部,完结部,终结句"
mumble,"n.喃喃而语,咕哝,闭嘴细嚼v.喃喃而语,咕哝"
grumble,"adj.抱怨地表示,嘟囔地说n.怨言,满腹牢骚vi.抱怨,发牢骚,咕哝,嘟囔,隆隆响vt.喃喃地说出"
ennoble,"vt.封...为贵族,使高贵"
garble,"vt.断章取义,混淆"
warble,"v.鸟鸣,用柔和的颤声唱n.鸟啭,颤声"
voluble,"adj.爱说话的,有口才的,流利的,健谈的,[罕]易旋转的,缠绕的"
debacle,"n.崩溃,溃裂"
manacle,"n.手铐,脚镣,束缚vt.给...上手铐,束缚"
pinnacle,"n.小尖塔,山顶,顶点vt.造小尖塔,把...放在极高处"
saddle,"n.鞍,鞍状物v.承受"
waddle, 蹒跚而行
meddle,v.管闲事
peddle,"vi.挑卖,沿街叫卖vt.叫卖,散播"
mollycoddle,"n.娇惯的男人,懦夫vt.溺爱,娇生惯养"
befuddle,"vt.使酒醉昏迷,使迷惑,使迷糊"
wheedle,"vt.诱骗,哄骗,骗得vi.哄骗"
idle,"adj.空闲的,懒惰的,停顿的,无用的,无价值的vi.不做事,游手好闲,(机器)空转,虚度,闲散,不作事,游手好闲,浪费vt.虚度,使空闲,使空转"
bridle,"n.马勒,缰绳v.上笼头,昂首(表傲慢.愤怒等),抑制(欲望)"
kindle,"vt.点燃,使着火,引起,照亮vi.着火,煽动,激起,发亮"
dwindle,v.缩小
swindle,v.诈骗n.诈骗
doodle,"vi.混时间,闲荡,涂鸦n.傻子,乱画(或乱写)之物"
dawdle,"v.游手好闲,混日子"
baffle,"vt.困惑,阻碍,为难"
waffle,"vi.闲聊,胡扯n.华夫饼干,无聊话,动听而无意义的话"
muffle,"v.包,蒙住,压抑(声音)n.围巾,头巾,消声器"
ruffle,v.滋扰
stifle,"vt.使窒息,抑制vi.窒息,闷死"
boggle,"v.犹豫,不知是否应"
goggle,"n.眼睛睁视,(复数)风镜,护目镜adj.睁眼的,瞪眼的vi.眼珠转动,瞪眼看vt.使瞪眼"
inveigle,v.诱骗
mangle,"vt.乱砍,撕裂,破坏,毁损,损坏,轧布n.(洗衣用的)轧干机,熨平机"
wrangle,"vi.争论,争吵,口角vt.辩驳,放牧n.口角,吵嘴"
tangle,n.混乱状态v.处于混乱状态
entangle,"vt.使缠上,纠缠,卷入,连累,使混乱"
mingle,v.(使)混合
commingle,v.混合
bungle,v.办糟
labile,"adj.不安定的,易发生变化的"
facile,"adj.易做到的,易得到的,不花力气的,敏捷的,流畅的,(性格)柔顺的,温和的,容易的"
domicile,"n.住所,住宅v.(使)定居"
reconcile,"vt.使和解,使和谐,使顺从"
fragile,"adj.易碎的,脆的"
simile,"n.[修辞]明喻,明喻的说法,明喻的词语用法"
rile,"vt.激怒,使恼怒"
sterile,"adj.贫脊的,不育的,不结果的,消过毒的,毫无结果的"
puerile,"adj.幼稚的,孩子气的,未成熟的,平庸的"
volatile,"adj.飞行的,挥发性的,可变的,不稳定的,轻快的,爆炸性的n.[现罕]有翅的动物,挥发物"
versatile,"adj.通用的,万能的,多才多艺的,多面手的"
tactile,"adj.触觉的,有触觉的,能触知的n.[心]触觉型"
ductile,"adj.易延展的,易教导的,柔软的"
motile,"adj.能动的,显示活力的n.运动型"
futile,"adj.琐细的,无用的,无效果的,(人)没有出息的"
guile,"n.狡诈,诡计"
beguile,"vt.诱骗,诱惑"
vile,"adj.卑鄙的,可耻的,恶劣的,可憎的,简陋的,低廉的,坏透的,不足道的"
servile,"adj.奴隶的,奴性(态)的,卑屈的"
shackle,"n.手铐,脚镣,桎梏,束缚物vt.加桎梏,加枷锁,束缚"
ramshackle,adj.摇摇欲坠的
tackle,"n.工具,复滑车,滑车,用具,装备,扭倒vt.固定,应付(难事等),处理,解决,抓住vi.捉住,扭住,扭倒"
heckle,"vt.以麻梳梳理,激烈质问,诘问,集中质问n.麻梳"
fickle,"adj.(在感情等方面)变幻无常的,浮躁的,薄情的"
trickle,v.滴流
rankle,"vi.溃烂,发炎,怨恨vt.激怒"
hyperbole,n.[修辞]夸张法
condole,v.慰问
cajole,"vt.以甜言蜜语哄骗,勾引"
rigmarole,"n.冗长的废话,胡言乱语"
console,"vt.安慰,藉慰n.[计] 控制台"
disciple,"n.信徒,弟子,门徒"
rumple,"v.弄皱,弄得乱七八糟n.皱纹,皱褶"
crumple,"v.弄皱,压皱,变皱,崩溃,垮台"
supple,"adj.柔软的,逢迎的,顺从的vt.使柔软,使顺从vi.变柔顺"
scruple,"n.踌躇,犹豫,微量,吩,审慎vi.踌躇,有顾忌,迟疑"
subtle,"adj.狡猾的,敏感的,微妙的,精细的,稀薄的"
dismantle,v.拆除
disgruntle,vt.使不高兴
startle,v.震惊
bristle,"n.刚毛,猪鬃vi.(毛发等)竖起,发怒"
apostle,"n.使徒(指耶稣十二使徒),传道者,最初的传道者"
bustle,v.匆匆忙忙
rustle,"n.沙沙声,飒飒声vi.发出沙沙声,奋力工作,急速移动vt.使沙沙响"
mettle,n.勇气
nettle,n.荨麻
brittle,"adj.易碎的,脆弱的"
mottle,"vt.使成杂色,使有斑点n.杂色,斑点"
ridicule,"n.嘲笑,奚落v.嘲笑,奚落"
minuscule,"n.草写小字adj.用草写小字写的,极小的"
embezzle,"vt.盗用,挪用"
guzzle,"v.狂饮,暴食,喝酒化掉(钱)"
inflame,v.燃烧
tame,"adj.(指动物)驯服的、柔顺的,(指人)没精打彩的、顺从的,被开垦的,沉闷的,乏味的,平淡的vt.驯养,驯服,制服,使变得平淡vi.变得驯服"
acme,"n.顶点,极致"
sublime,"adj.庄严的,崇高的,壮观的,卓越的,极端的,异常的v.提高,(使)变高尚,(使)纯化,(使)升华n.庄严,崇高,顶点"
mime,"n.笑剧;v.模仿;Multipurpose Internet Mail Extension protocol,多用途的网际邮件扩充协议"
wholesome,"adj.卫生的,有益的,健康的,有益健康的"
noisome,"adj.有害的,有毒的"
winsome,adj.迷人的
cumbersome,"adj.讨厌的,麻烦的,笨重的"
lissome,"adj.柔软的,敏捷的"
bane,"n.毒药,祸害"
urbane,"adj.彬彬有礼的,文雅的"
hurricane,"n.飓风,狂风"
arcane,"adj.神秘的,不可思议的"
mundane,"adj.世界的,世俗的,平凡的"
profane,adj.亵渎的v.亵渎
germane,adj.有密切关系的
inane,adj.空洞的
wane,"vi.变小,亏缺,衰落,退潮,消逝,呈下弦n.月亏,月亏期,衰退,衰退期"
serene,adj.平静的
contravene,v.违反 抵触
convene,"v.召集,集合"
refine,"vt.精炼,精制,使文雅高尚"
confine,"vt.限制,禁闭n.界限,边界"
saturnine,n.阴郁
pine,"n.松树,树木v.消瘦,憔悴,渴望,渴慕"
repine,v.抱怨
opine,"v.想,以为"
supine,"adj.仰卧的,掌心向上的,懒散的,向后靠的"
saccharine,"n.<美>糖精adj.糖质的,含糖的"
elephantine,"adj.象的,粗笨的,巨大的"
quarantine,"n.检疫,隔离,(政治或商业上的)封锁,检疫期间vt.检疫,使在政治或商业上孤立"
byzantine,"adj.东罗马帝国的,拜占庭式的n.拜占庭人,拜占庭派的建筑师,画家"
serpentine,adj.蜿蜒的
libertine,"n.放荡不羁者,玩乐者,浪子,自由思想家adj.放荡的"
predestine,"vt.预定,注定"
clandestine,adj.秘密的
philistine,"n.(中东古国)腓力斯人,仇敌,俗气的人adj.非利士的,俗气的,无教养的"
pristine,adj.质朴的
sanguine,"adj.有望的,乐天的,面色红润的,血红色的,满怀希望的,指望的n.血红色,红腊笔vt.以血沾污,血染"
condone,"vt.宽恕,赦免"
hone,"n.(细)磨(刀)石,油石,[方言]抱怨,想念vt.用磨刀石磨"
drone,"n.雄蜂,嗡嗡的声音,懒惰者,靶标vi.嗡嗡作声,混日子vt.低沉地说出"
chaperone,n.(陪少女上交际场所的)女伴vt.伴护
atone,v.弥补
jejune,"adj.缺乏营养的,贫瘠的,无兴趣的,不成熟的"
immune,adj.免疫的
prune,v.剪除
importune,v.强求
opportune,"adj.(指时间)凑巧的、恰好的,(指行动或事件)及时、适宜的"
attune,"vt.(为乐器)调音,使合调,使相合"
anodyne,"n.止痛剂,镇痛剂adj.止痛的"
agape,"adj.adv.张口发呆地,目瞪口呆地"
shipshape,adj.井然有序的
jape,v.开玩笑n.笑话
gripe,"n.紧握,柄,把手,控制,苦恼vt.抓紧,抱住,激怒,使苦恼,使肠痛vi.肠痛,抱怨"
trope,"n.[语]修辞,比喻"
dupe,"n.易受骗的人,易受愚弄的人vt.欺骗,愚弄n.vt.(=duplicate)"
archetype,n.原型
stereotype,"n.[印]铅版,陈腔滥调,老套vt.使用铅版,套用老套,使一成不变"
prototype,n.原型
threadbare,"adj.穿破旧衣服的,俗套的"
snare,n.陷井v.诱捕
macabre,"adj.恐怖的,令人毛骨悚然的,以死亡为主题的"
mediocre,adj.普普通通的
adhere,"vi.粘附,胶着,坚持v.坚持"
sere,adj.干枯的n.演替系列
austere,"adj.严峻的,严厉的,操行上一丝不苟的,简朴的"
revere,"v.尊敬,敬畏,崇敬"
persevere,v.坚持
doctrinaire,n.教条主义者
dire,adj.可怕的
backfire,n.逆火
mire,n.泥潭v.陷入
repertoire,"n.(准备好演出的)节目,保留剧目,(计算机的)指令表,指令系统,<美>(某个人的)全部技能"
conspire,"v.共谋,阴谋,(指事件)凑合起来"
expire,"v.期满,终止,呼气,断气,届满"
acquire,"vt.获得,学到"
bore,"n.令人讨厌的人,怒潮,枪膛,孔v.使烦扰,钻孔 钻孔"
underscore,"vt.划线于...下,强调n.底线"
adore,"v.崇拜,爱慕,(口语)喜爱"
deplore,v.表示悲痛
pore,"n.毛孔,小孔,气孔vi.熟读,凝视,细想,沉思vt.因凝视过度使...疲劳"
sinecure,"n.工作清闲而报酬丰厚的职位,挂名职务,闲职"
epicure,"n.美食家,老饕,<古>享乐主义者"
procure,"v.获得,取得"
obscure,"adj.暗的,朦胧的,模糊的,晦涩的vt.使暗,使不明显"
transfigure,"vt.使变形,美化,理想化"
abjure,"vt.发誓放弃,避免,公开放弃"
conjure,"v.(以咒文)召唤,变戏法,想象vi.变戏法,施魔法vt.祈求,恳求"
allure,v.吸引
immure,"vt.监禁,禁闭,把...嵌在墙上"
inure,vt.使习惯vi.生效
censure,v.责难n.责难
reassure,"vt.使...安心,再保证,使...恢复信心,打消...的疑虑"
caricature,"n.讽刺画,漫画,讽刺描述法,歪曲(或拙劣)的模仿vt.画成漫画讽刺"
immature,"adj.不成熟的,未完全发展的"
stature,"n.身高,身材,(精神、道德等的)高度"
fracture,"n.破裂,骨折v.(使)破碎,(使)破裂"
conjecture,"n.v.推测,臆说,猜想"
stricture,n.责难
divestiture,"n.(头衔,财产权利等的)剥夺,脱衣"
rupture,"v.破裂,裂开,断绝(关系等),割裂n.破裂,决裂,敌对,割裂"
overture,n.建议
nurture,"n.养育,教育,教养,营养品vt.养育,给与营养物,教养"
posture,"n.(身体的)姿势,体态,状态,情况,心境,态度v.令取某种姿势,摆姿势,作出姿态"
suture,"n.[医]缝合,缝合处,缝合用的线vt.缝合"
abase,v.降低
debase,"vt.贬低,降低"
showcase,"n.(商店或博物馆的玻璃)陈列橱,<主美>显示优点的东西"
chase,"n.追赶,追击vt.追赶,追逐,雕镂"
blasé,
paraphrase,v.解释n.解释
malaise,n.不舒服
imprecise,"adj.不严密的,不精确的"
exorcise,"vt.驱邪,除怪"
paradise,n.天堂
enfranchise,"vt.给予选举权,给予自治权,解放"
compromise,"n.妥协,折衷v.妥协,折衷,危及...的安全"
surmise,v.猜测n.猜度
despise,vt.轻视
apprise,vt.通知
improvise,v.临时准备
repulse,"v.拒绝,排斥,反驳,击退,憎恶n.拒斥,击退,严拒"
incense,"n.熏香,熏香的烟vt.激怒"
pretense,"n.主张,要求,伪称,借口,自称"
verbose,"adj.详细的,冗长的"
metamorphose,"v.变形,变质,使变成"
grandiose,"adj.宏伟的,堂皇的,宏大的"
lachrymose,"adj.爱哭的,悲哀的"
footloose,"adj.自由自在的,到处走动的"
depose,"vt.免职,废(王位),作证vi.宣誓作证"
repose,"n.休息,睡眠,静止vt.使休息,寄托于vi.休息,长眠,静卧,建立于,座落,依靠"
compose,"v.组成,写作,排字,(使)安定,调解"
discompose,v.不安
dispose,"v.处理,处置,部署vt.布置,安排,除去,使愿意"
morose,"adj.郁闷的,乖僻的"
lapse,"n.失误,下降,流逝,丧失,过失v.失检,背离,堕入,流逝,失效,下降"
relapse,"n.复发,回复原状vi.故态复萌,旧病复发"
collapse,"n.倒塌,崩溃,失败,虚脱vi.倒塌,崩溃,瓦解,失败,病倒"
eclipse,"n.食,日蚀,月蚀,蒙蔽,衰落vt.引起日蚀,引起月蚀,超越,使黯然失色"
coarse,"adj.粗糙的,粗鄙的"
sparse,"adj.稀少的,稀疏的"
terse,"adj.简洁的,扼要的"
verse,"n.韵文,诗,诗节,诗句,诗篇"
averse,"adj.不愿意的,反对的"
traverse,"n.横贯,横断,横木,障碍,否认,反驳,(建筑)通廊vt.横过,穿过,经过,在...来回移动,反对,详细研究vi.横越,横断,旋转,来回移动adj.横断的,横的"
endorse,"v.在(票据)背面签名,签注(文件),认可,签署"
remorse,"n.懊悔,自责,同情,怜悯"
largesse,n.慷慨
finesse,"n.手腕,精密技巧,灵巧,策略,手段v.用计谋处理,出小牌,用巧计实现"
applause,"n.鼓掌欢迎,欢呼"
abuse,"n.滥用,虐待,辱骂,陋习,弊端v.滥用,虐待,辱骂"
disabuse,"vt.解惑,释疑,使省悟"
defuse,vt.去掉...的雷管
diffuse,"v.散播,传播,漫射,扩散,(使)慢慢混合adj.散开的,弥漫的"
suffuse,v.充满
infuse,"vt.灌输,注入,沏或泡(茶、药等),浸渍,鼓舞vi.泡,注"
recluse,"adj.隐遁的,寂寞的n.隐遁者,寂寞者"
douse,"vt.插入水中,把弄熄,弄湿,放松vi.浸泡n.泼洒"
espouse,"vt.嫁娶,支持,赞成"
rouse,"v.唤醒,激起,使振奋,惊起n.觉醒,奋起"
carouse,v.狂欢作乐
ruse,n.诡计
peruse,v.细读
abstruse,"adj.奥妙的,深奥的"
obtuse,"adj.钝的,圆头的,愚蠢的,迟钝的"
abate,"vt.使(数量、程度等)减少,减轻,除去,缓和,打折扣vi.(数量、程度等)减少,减轻,失效,缓和,(法令等)被废除"
reprobate,v.非难
exacerbate,"vt.恶化,增剧,激怒,使加剧,使烦恼"
incubate,vt.孵卵
placate,v.安抚
desiccate,"vt.使完全变干,干贮(食物等)vi.变干"
deprecate,"vt.抗议,不赞成,抨击,反对,藐视,轻视"
abdicate,"v.退位,放弃(职位,权力等)"
vindicate,"vt.维护,辩护,表白"
adjudicate,"v.判决,宣判,裁定"
pontificate,"n.教皇的职位,主教的地位vi.装作教皇的说话"
replicate,v.复制
complicate,v.(使)变复杂
supplicate,"v.恳求,哀求,恳请,祈祷"
duplicate,"adj.复制的,副的,两重的,两倍的,完全相同n.复制品,副本vt.复写,复制,使加倍,使成双"
explicate,v.说明
prevaricate,v.支吾搪塞
fabricate,"vt.制作,构成,捏造,伪造,虚构"
lubricate,vt.润滑v.加润滑油
extricate,
truncate,"v.截去(园锥等的)尖端,修剪(树等),把...截短adj.截短的,(羽,叶)平截的,平头的"
suffocate,"vt.使窒息,噎住,闷熄vi.被闷死,窒息,受阻"
reciprocate,"v.互给,酬答,互换,报答"
advocate,"n.提倡者,鼓吹者vt.提倡,鼓吹"
equivocate,"vi.说模棱两可的话,支吾"
bifurcate,v.(使)分叉adj.分叉的
obfuscate,"vt.使模糊,使迷乱"
sedate,"adj.安静的,稳重的v.给...服镇静剂"
antedate,"n.比正确日期早的日期v.提早日期,居先"
elucidate,"vt.阐明,说明"
consolidate,v.巩固
intimidate,v.胁迫
dilapidate,"v.(使)荒废,(使部分)毁坏,浪费"
inundate,v.淹没
accommodate,"vt.供应,供给,使适应,调节,和解,向...提供,容纳,调和;vi.适应"
permeate,"vt.弥漫,渗透,透过,充满vi.透入"
delineate,v.描绘
nauseate,"vi.作呕,产生恶感,厌恶vt.使厌恶,使恶心,使作呕"
propagate,"v.繁殖,传播,宣传"
delegate,n.代表vt.委派...为代表
abnegate,v.放弃
aggregate,"n.合计,总计,集合体adj.合计的,集合的,聚合的v.聚集,集合,合计"
profligate,"adj.放荡的,不检点的,肆意挥霍的n.放荡者,享乐者"
irrigate,"vt.灌溉,修水利,冲洗伤口,使潮湿vi.进行灌溉"
mitigate,v.减轻
castigate,v.严惩
instigate,v.鼓动
promulgate,"vt.发布,公布,传播"
abrogate,"vt.废除,取消"
interrogate,"vt.审问,询问v.审问"
surrogate,"n.代理,代用品,代理人vt.使代理,使代替"
expurgate,v.删除
subjugate,"vt.使屈服,征服,使服从,克制,抑制"
emaciate,"vt.使憔悴,使消瘦vi.消瘦"
depreciate,"v.折旧,(使)贬值,降低,贬低,轻视"
enunciate,"v.阐明,清晰发言"
excruciate,"vt.施酷刑,折磨,使苦恼"
mediate,"v.仲裁,调停,作为引起...的媒介,居中调停"
repudiate,v.批判
retaliate,v.报复
conciliate,"vt.安慰,赢得,调和"
humiliate,"v.羞辱,使丢脸,耻辱"
palliate,v.减轻
calumniate,"vt.中伤,诽谤"
expiate,"vt.补偿,赎vi.赎罪"
excoriate,v.批判
appropriate,adj.适当的
repatriate,v.遣返
striate,"adj.有条纹的,有细槽的vt.加条纹"
infuriate,adj.狂怒的vt.激怒
satiate,v.满足
initiate,"vt.开始,发动,传授v.开始,发起"
propitiate,v.劝解
vitiate,v.损害
substantiate,"vt.使实体化,证实"
potentiate,v.加强
negotiate,"v.(与某人)商议,谈判,磋商,,买卖,让渡(支票、债券等),通过,越过"
obviate,"vt.消除,排除(危险、障碍等),回避,预防,避免"
alleviate,"vt.使(痛苦等)易于忍受,减轻"
abbreviate,"v.缩写,缩短,简化,简写成,缩写为"
escalate,"vi.逐步升高,逐步增强vt.使逐步上升"
elate,"vt.使兴高采烈,使得意"
correlate,vt.使相互关联vi.和...相关
conflate,v.合并
dilate,"vi.扩大,详述,膨胀vt.使扩大,使膨胀"
vacillate,v.犹豫不定
oscillate,v.振荡
scintillate,"v.发出火花,闪耀光芒"
extrapolate,"v.推断,[数]外推"
contemplate,"v.凝视,沉思,预期,企图"
slate,"n.板岩,石板,石片,蓝色adj.暗蓝灰色的,含板岩的v.铺石板"
perambulate,v.巡行
discombobulate,"vt.使混乱,使泄气,使困惑"
maculate,adj.有斑点的v.玷污
immaculate,adj.完美的
speculate,"vi.推测,思索,做投机买卖"
matriculate,v.被录取入学n.被录取者
articulate,"adj.有关节的,发音清晰的vt.用关节连接,接合,清晰明白地说"
adulate,"vt.奉承,谄媚,奉承"
coagulate,v.凝结adj.凝结的
emulate,n.仿效
simulate,"vt.模拟,模仿,假装,冒充"
accumulate,"v.积聚,堆积"
manipulate,"vt.(熟练地)操作,使用(机器等),操纵(人或市价、市场),利用,应付,假造vt.(熟练地)操作,巧妙地处理"
stipulate,"v.规定,保证"
insulate,"vt.使绝缘,隔离"
capitulate,"vi.有条件投降,认输,屈服,让步,停止抵抗"
recapitulate,"v.重述要点,概括,摘要"
postulate,"n.假定,基本条件,基本原理vt.要求,假定vi.要求"
expostulate,"vi.劝诫,忠告"
amalgamate,"v.使与汞混合,合并"
acclimate,"vt.使适应新环境,使服水土vi.服水土,适应"
animate,v.鼓舞adj.生气勃勃的
inanimate,"adj.死气沉沉的,没生命的,单调的"
intimate,"adj.亲密的,隐私的vt.宣布,明白表示n.熟友"
consummate,"vt.完成,使达到极点adj.圆满的,至上的,完美的"
alienate,v.疏远
concatenate,v.连接
designate,"vt.指明,指出,任命,指派v.指定,指派"
deracinate,"vt.根除,使孤立,灭绝"
vaccinate,v.进行预防接种n.被接种牛痘者
fascinate,"vt.使着迷,使神魂颠倒vi.入迷,极度迷人的"
subordinate,"adj.次要的,从属的,下级的n.下属v.服从"
insubordinate,"adj.不顺从的,不听话的"
contaminate,v.污染
disseminate,v.散布
incriminate,"vt.控告...有罪,使负罪,控告"
discriminate,"v.歧视,区别,区别待遇"
culminate,v.达到顶点
fulminate,"vt.使爆发,以严词谴责vi.爆炸,电闪,怒喝n.雷酸盐,雷汞"
abominate,"vt.痛恨,憎恶"
germinate,"v.发芽,发育,使生长"
exterminate,v.消除
illuminate,"vt.照明,照亮,阐明,说明,使灿烂,以灯火装饰(街道等)vi.照亮"
ruminate,"v.反刍,沉思"
indoctrinate,v.灌输
procrastinate,"v.延迟,耽搁"
obstinate,"adj.倔强的,顽固的"
dispassionate,"adj.冷静的,不带感情的,平心静气的"
resonate,"v.(使)共鸣,(使)共振"
incarnate,"vt.体现,使具体化,使成化身adj.化身的,人体化的,肉色的"
inchoate,"adj.未形成的,早期的,不完全的"
emancipate,"vt.释放,解放,[律]使(孩子.妻子)摆脱家长的管教而获得合法权利"
dissipate,"v.驱散,(使)(云、雾、疑虑等)消散,浪费(金钱或时间)"
inculpate,"vt.使...有罪,控告"
exculpate,v.开脱
spate,n.大水
exhilarate,"vt.使高兴,使愉快"
disparate,adj.全异的
calibrate,v.校准
adumbrate,"vt.画轮廓,预示"
desecrate,"vt.亵渎,污辱,把(神物)供俗用"
execrate,"vt.痛骂,憎恨,憎恶,诅咒vi.诅咒"
dehydrate,vt.(使)脱水
berate,"vt.严厉指责,申斥"
deliberate,"adj.深思熟虑的,故意的,预有准备的v.商讨"
reverberate,v.反响
lacerate,v.割裂
macerate,v.浸软
moderate,"adj.中等的,适度的,适中的v.缓和"
proliferate,v.增生扩散
regenerate,"vt.使新生,重建,改革,革新vi.新生,再生,起革新作用adj.新生的,更新的"
venerate,v.崇敬
incinerate,"vi.把...烧成灰,烧弃"
exonerate,"vt.免除,证明无罪"
remunerate,v.酬劳
temperate,"adj.有节制的,适度的,戒酒的,(气候)温和的"
intemperate,adj.放纵的
exasperate,v.激怒
recuperate,v.复原
vituperate,"vt.谩骂,责骂"
commiserate,"v.怜悯,同情"
inveterate,"adj.根深的,成癖的"
reiterate,"vt.反复地说,重申,重做"
obliterate,"vt.涂去,删除,使湮没"
adulterate,"vt.掺杂adj.掺假的,通奸的"
grate,"n.壁炉,炉"
emigrate,vi.永久(使)移居vt.(使)移民
denigrate,v.毁誉
irate,"adj.生气,发怒的"
pirate,"n.海盗,盗印者,盗版者,侵犯专利权者vt.盗印,盗版,掠夺,翻印vi.做海盗"
elaborate,"adj.精心制作的,详细阐述的,精细vt.精心制作,详细阐述v.详细描述"
corroborate,"vt.使坚固,确证"
perforate,v.打孔
invigorate,v.鼓舞
ameliorate,"v.改善,改进"
prate,v.空谈n.空谈
infiltrate,v.渗透
concentrate,"v.集中,浓缩"
demonstrate,"vt.示范,证明,论证vi.示威"
prostrate,"adj.降伏的,沮丧的,衰竭的,俯卧的vt.弄倒,使屈服"
obdurate,"adj.冷酷无情的,顽固的,执拗的"
indurate,v.坚硬
inaugurate,"vt.举行就职典礼,创新,开辟,举行开幕(落成、成立)典礼."
commensurate,"adj.相称的,相当的"
incommensurate,"adj.不相称的,不适应的"
saturate,"v.使饱和,浸透,使充满"
sate,"vt.使心满意足,过分的给与"
dictate,"v.口述,口授,使听写,指令,指示,命令,规定n.指示(指理智,变心)"
resuscitate,"v.(使)复苏,(使)复兴"
meditate,"v.想,考虑,(尤指宗教上的)沉思,冥想"
premeditate,"v.预谋,预先考虑"
agitate,"v.搅动,摇动,煽动,激动"
rehabilitate,"v.使(身体)康复,使复职,使恢复名誉,使复原"
debilitate,"vt.使衰弱,使虚弱"
facilitate,"vt.(不以人作主语的)使容易,使便利,推动,帮助,使容易,促进"
precipitate,"n.沉淀物vt.猛抛,使陷入,促成,使沉淀vi.猛地落下adj.突如其来的,陡然下降(或下落)的,贸然轻率的"
irritate,"vt.激怒,使急躁v.刺激"
potentate,n.当权者
annotate,"v.注释,评注"
instate,vt.任命
understate,"v.打着折扣说,保守地说,有意轻描淡写"
mutate,v.变异
evacuate,"v.疏散,撤出,排泄"
attenuate,v.削弱
extenuate,"vt.掩饰,减轻,使人原谅,低估,<古>使稀薄"
infatuate,v.冲昏头脑
accentuate,"v.重读,强调,着重强调"
excavate,"v.挖掘,开凿,挖出,挖空"
aggravate,"vt.使恶化,加重"
elevate,"vt.举起,提拔,振奋,提升...的职位"
recidivate,"vi.复返,再犯"
cultivate,"vt.培养,耕作"
motivate,v.激发
captivate,"vt.迷住,迷惑"
renovate,"vt.革新,刷新,修复"
enervate,v.削弱
effete,"adj.(动植物等)生产力已枯竭的,衰老的,疲惫的,衰微的"
obsolete,"adj.荒废的,陈旧的n.废词,陈腐的人"
deplete,"vt.耗尽,使衰竭"
replete,adj.充满的
accrete,"vi.共生,合生,附着;vt.使依附,使连接;adj.共生的"
secrete,"vt.隐秘,隐藏,隐匿,[生理]分泌"
concrete,"adj.具体的,有形的n.混凝土v.用混凝土修筑,浇混凝土,凝结"
discrete,"adj.不连续的,离散的"
excrete,"vt.排泄,分泌"
incite,"vt.激动,煽动"
expedite,"v.加速,派出adj.畅通的,迅速的"
recondite,"adj.深奥的,隐藏的,晦涩的"
erudite,adj.博学的
mite,"n.微小的东西,<口>小孩,力所能及的微小贡献"
ignite,"v.点火,点燃"
infinite,"n.无限的东西(如空间、时间),[数]无穷大adj.无穷的,无限的,无数的,极大的"
respite,n.暂缓v.暂缓
rite,"n.仪式,典礼,习俗,惯例,礼拜式,教派"
sybarite,n.纵情逸乐之徒
trite,adj.陈腐的
contrite,"adj.深感懊悔的,由悔悟引起的"
requisite,"adj.需要的,必不可少的,必备的n.必需品"
prerequisite,n.先决条件adj.首要必备的
perquisite,"n.额外补贴,临时津贴"
exquisite,"adj.优美的,高雅的,精致的,剧烈的,异常的,细腻的,敏锐的"
apposite,adj.适当的
requite,"vt.报答,酬谢"
svelte,"adj.苗条的,体态娇美的"
dilettante,n.业余艺术爱好者adj.业余艺术爱好的
anecdote,"n.轶事,奇闻"
demote,"vt.使降级,使降职"
rote,"n.死记硬背,机械的做法,生搬硬套"
forte,n.长处
lambaste,"vt.痛打,严责"
vignette,"n.装饰图案,小插图vt.把....印放为虚光照"
coquette,n.卖弄风情之女子
tribute,"n.贡品,礼物,颂词,殷勤,贡物"
acute,"adj.敏锐的,[医]急性的,剧烈"
persecute,v.迫害
refute,"vt.驳倒,反驳"
dilute,"v.冲淡,变淡,变弱,稀释adj.淡的,弱的,稀释的"
absolute,"adj.完全的,绝对的"
resolute,adj.坚决的
dissolute,"adj.放荡的,风流的,肆意挥霍的"
mute,"n.哑巴,哑音字母,[律]拒不答辩的被告,弱音器adj.哑的,无声的,沉默的vt.减弱...的声音vi.排泄"
minute,"n.分,分钟,片刻,一瞬间,备忘录,笔记vt.记录,摘录,测定时间adj.微小的,详细的,仔细而准确的"
repute,"n.名誉,名声v.名誉,认为,称为"
substitute,"n.代用品,代替者,替代品v.代替,替换,替代"
institute,"n.学会,学院,协会vt.创立,开始,制定,开始(调查),提起(诉讼)"
constitute,"vt.制定(法律),建立(政府),组成,任命"
reconstitute,"vt.重新组成,重新设立"
astute,"adj.机敏的,狡猾的"
neophyte,"n.新入教者,新信徒"
subdue,v.征服
residue,"n.残余,渣滓,滤渣,残数,剩余物"
undue,adj.不适当的
plague,"n.瘟疫,麻烦,苦恼,灾祸vt.折磨,使苦恼,使得灾祸"
vague,"adj.含糊的,不清楚的,茫然的,暧昧的"
intrigue,"n.阴谋,诡计vi.密谋,私通vt.激起...的兴趣,用诡计取得"
fatigue,"n.疲乏,疲劳,累活,[军]杂役vt.使疲劳,使心智衰弱vi.疲劳"
harangue,"n.尤指指责性的,长篇大论,夸张的话vt.向...夸大地讲话,(作)长篇、大声、常带斥责的讲话"
pedagogue,"n.教师,卖弄学问者"
demagogue,"n.煽动政治家(尤指利用情绪或偏见煽动民众,以期获得领导地位及达到私人目的的人)"
epilogue,"n.结语,尾声,[戏]收场白"
monologue,"n.独白,独脚戏"
