a case in point,恰当的例子
at leisure,"na. 在闲暇中；从容不迫地；失业
[网络] 有空；有空，闲暇时；从容地"
at no time,决不
at one time,"同时, 曾经"
at random,"胡乱地, 随便地
[法] 任意地, 遂意地"
at the cost of,以...为代价
at the expense of,"归...付费, 在损害...的情况下
[法] 归...付费"
at the latest,最迟
at the moment,此刻
at the ready, 可立即使用的：立即可以投入使用的
at the risk of,"冒...的危险, 有...的危险/可能"
at this rate,这样的话
at times,"有时, 不时"
attend to, 处理; 注意; 听取; 致力于
attribute to,"na. 认为(成功)是(努力)的结果
[网络] 归因于；把…归因于；归咎于"
back down,n. 收回原来的声明[观点]
back out,"na. 食言；打退堂鼓；退出；后退
[网络] 退火；拧出；取消"
back up,"n. 倒车, 后退, 后援, 支持, 阻塞
vt. 做备份
a. 候补的, 支持的
[计] 备份; DOS外部命令:通常使用于将硬磁盘上指定的文件复制到软盘上"
bargain for,"指望, 想以廉价买"
bargain on,"指望,预料"
base on,"v. 根据
[网络] 基于；以……为基础；以…为根据"
be accustomed to doing sth.,无
be assigned to do,无
be at ease, 安逸，自由自在; 宽心; 放心
be at fault, [法]有过错
be at liberty,无
be at odds,[网络] 不和；闹别扭
be at odds with,"与...有争执, 与...不一致"
be at one's disposal,无
be at sea, 茫然不知所措; 无所适从; 茫然若失
be at stake, 在危险中
be at the mercy of,无
be better off,境况好
be beyond belief,无
be beyond compare,无
be without compare,无
be born with,"生来就有…,有…天赋"
be bound up in,热心于
be capable of,能够
be contrary to,与...相反
be dependent on,"依靠, 依赖"
be dependent upon,依靠(他人供给吃、住、钱等)，依赖；随…而定；依…而转移
be devoted to,致力于…
be entitled to,[法] 有资格或权利...
be equal to,"胜任, 相等, 合适"
be identical to sb.,与...相同
be identical with sb.,与...相同
be identical to sth.,与...相同
be identical with sth.,与...相同
be in charge, 管事；掌事
be in demand,"na. 有需要
[网络] 销路好；需求很大；有需要例如"
be in dispute,"有纠纷
有争执"
be in doubt,[网络] 值得怀疑
be in full swing, 热火朝天
be in opposition,无
be in opposition to,无
be in shape, 身体好
be in good shape,[网络] 身体好；健康状况良好；状态良好
be in sight,"看得见,在眼前"
be in the air,[网络] 将要发生的事情；即将发生
be in the balance,悬而未决，不能肯定
hang in the balance,安危未定
be in the saddle,"骑着马, 执政, 掌权"
be in use,[网络] 在使用中；使用之中；投入使用
be in the way,妨碍
be in one's way,无
be in the wrong,"错误, 理亏"
be indispensable to,v. 必需
be indispensable for,无
be innocent of,"没有...的, 无...的"
be keen on,喜爱
be keen about,喜爱
be liable for,"有...责任, 有...义务"
be liable to,"该受(罚), 应遵守..., 有...的倾向, 易于..."
be obsessed with,被…困扰
be off guard,无
be off one's guard, 麻痹大意
be on a diet,"进规定的饮食, 节食"
be on guard,[网络] 警惕；防范；有警惕
be on one's guard,警惕，提防；警戒
be on sale, 销行；行销
be on the increase,"na. 不断增加
[网络] 正在增加；增加中；上升"
be on the job,无
be on the point of,正要…的时候，正打算
be out of action,[网络] 失去作用
be out of breath, 上气不接下气
be out of condition,身体很好[不适]
be out of control,adj. 失掉控制（不受控制）
be out of date,日久失效
be out of print,已售完的; 已绝版的
be out of sight,"在视线外
看不见"
be out of stock,无
be out of touch,"un. 和…进行接触；失去联系
[网络] 没有联系；使失去联系"
be out of work,[网络] 失业；砸饭碗；工作的人已经失业
be partial to,"对...偏袒的, 对...过分错爱的"
be related to,"与...有关, 和...有联系, 和...有亲戚关系"
be relative to,"与...有关, 与...成比例/相应"
be scared of,害怕…
be sick of,"厌恶, 厌倦"
be superior to,"优于…,胜过…,比…更优越;不受…影响,不为…所动"
be sympathetic to,无
be under control,[网络] 处于控制之中；在控制之中；得到控制
be under way, 进行中
be up to date,无
be up to the minute,无
beat around the bush,"转弯抹角, 旁敲侧击, 拖延谈及正题"
beat about the bush,旁敲侧击
beat down,"na. 打倒；镇压；〈口〉还(价)；使失望
[网络] 杀；杀价；压倒"
beat up,"na. 搅(蛋)；虐待；冷不防地；打鼓召集
[网络] 痛打；毒打；殴打"
become of," 发生, 结果是"
beg off,请求免除
behind the scenes,"在后台, 在幕后
[法] 秘密地, 暗中, 幕后"
believe in,"信仰, 信任"
bend over backwards,"矫枉过正, 拼命"
beyond measure,"无可估量, 极度"
blast off,"n. 升空, 发射"
blow up,"v. 炸掉；爆炸；充气；放大
[网络] 炸毁；发脾气；爆发"
boast of,吹嘘;引以自豪地拥有
boast about,自夸
boil down to,归结为
branch out,"长出枝条, 扩展范围"
break down,"毁掉, 制服, 压倒, 倒塌, 垮掉, 分解
[化] 发生故障"
break into,"破门而入, 侵占
[法] 破门而入"
break off,"v. 断绝；摘；把…折断；使脱落
[网络] 中断；突然停止；打断"
break one's heart,(使某人)伤心，(使某人)悲痛欲绝；(使某人)伤心而死
break out,"突发, 爆发, 叫嚷, 倒空, 取出, 使作准备
[机] 铸漏"
break the ice,打破沉默
break through,"na. 【军】突破(点)；(科技等的)重大发现；关键问题的解决
[网络] 穿透；穿通；打破"
break up,"打碎, 破碎, 分裂, 分解, 驱散, 结束, 衰退, 衰落, 变坏"
bring about,"na. 造成；带来；【航】(使船)回转
[网络] 引起；导致；产生"
bring around,"na. 说服；〈口〉使恢复知觉[等]；〈口〉把(某人)作为客人带来
[网络] 使信服；使复苏；使改变观点"
bring round,"na. 说服；〈口〉使恢复知觉[等]；〈口〉把(某人)作为客人带来
[网络] 使苏醒；劝使；使恢复健康"
bring forth,生(孩子)；开(花)；结(果)；产生；宣布，公布，提出，显示；引起
bring forward,"na. 提出(计划等)；提示；提前；公开
[网络] 提议；把…提前；将…提前"
bring into effect,"实现, 实施"
carry into effect,"实行, 实现
[法] 实行, 实施, 实现"
put into effect,"使生效, 执行...
[经] 执行, 使生效"
bring off,"na. 办完；(从失事船只上)救出
[网络] 完成；圆满完成；获得成功"
bring out,"na. 公布；说出；出版；上演
[网络] 生产；阐明；说明"
bring through,救活
bring to justice,[网络] 使归案受审；绳之以法；移送法办
bring sb. to his knees,无
broaden one's horizon, 开阔眼界
brush aside,"扫除, 漠视"
brush off,"na. 刷去；打发走；摒弃；逃掉
[网络] 拂去；撇开；刷掉"
brush up,"刷干净, 复习, 提高
[机] 刷新, 擦光"
build on, 在原有的建筑物上增建; 以…为基础; 依赖; 一心指望
build upon,"堆积于......
建立在......"
build up,n. 建立；组合；(在数量、力量、影响等方面)逐渐增加，增长，增强，加强，发展；成长过程
bump against,"撞上,偶然碰见"
bundle up,(使)穿暖和(或臃肿)[亦作 wrap up](a-gainst)；把…包(或捆扎)起来
burn down,"na. 烧光；(蜡烛等)逐渐烧完；火力减弱
[网络] 燃尽图；烧毁；把…烧成平地"
burn out,"n. 烧尽, 烧坏, 熄火
[化] 燃尽"
burn up,"烧起来, 烧掉, 发怒"
burst into,"闯入, 开出, 突然出现"
but for,要不是
but then,但另一方面
butt in,"na. 插手
[网络] 插嘴；干涉；打断"
buy off,"na. (用贿赂)收买；用钱疏通[保护,救]；同“buy”
[网络] 验收；全部权利的买下；代购料加工"
buy out,"na. 出钱使某人出让地位[产权等]；买下…的全部产权
[网络] 收购全部；买进全部产权或股权；买断"
by accident,偶然
by all means,"na. 必定；千方百计；不惜一切；好的
[网络] 务必；一定；无论如何"
by and by,"n. 未来, 将来"
by and large,"大体上, 基本上"
by any chance,万一
by chance,"偶然, 也许"
by comparison,比较起来
in comparison, 相比之下
by default,"因对方缺席,在对方缺席的情况下"
by far,"na. (修饰比较级,最高级,表示数量,程度等)…得多；尤其；更
[网络] 到目前为止；非常；最多"
by itself,"单独地,孤零地;独立地"
by leaps and bounds,非常迅速地
in leaps and bounds,迅速地
by no means,决不
by the book,"na. “by book”的变体
[网络] 循规蹈矩的"
by turns,"轮流, 交替"
call for,"叫(某人)来, 要求, 为...叫喊, 为...叫"
call in,"n. 呼入；调入；收回；召集
n. (Callin)人名；(法)卡兰；(瑞典)卡林"
call off,"na. 〈口〉命令停止；丢手；取消(婚约)；〈美〉点(名)
[网络] 放弃；叫走，叫开；转移开"
call on,n. (Callon)人名；(法)卡隆
call upon," 号召, 拜访; 省视"
carry forward,"na. 推进；发扬；结转；使进行
[网络] 发扬光大；弘扬；继承"
carry off,"na. 得(奖)；夺去；诱拐；(病)夺去人命
[网络] 夺走；携走；拿走"
carry on,"继续开展, 行为愚蠢(或越轨)
[经] 继续发展(经营)下去"
carry out,"进行, 实现, 贯彻, 执行
[经] 进行(到底), 执行, 落实"
carry through,"na. 完成(计划等)；坚持到底
[网络] 贯彻；进行；进行到底"
carry weight,"重要, 有影响"
cash down,"即其付款
[经] 即期付款, 即付"
cash in on,"靠...赚钱, 乘机利用
[经] 靠...赚钱, 乘机利用"
cast about for,四处寻找，设法找到；设法；筹划
cast aside,"na. 抛弃
[网络] 废除；消除；唾弃"
cast away,"n. 被抛弃的人, 坐船遇难者
a. 被抛弃的, 遭难的"
cast off,"n. 被丢弃的人
[计] 封锁消息"
cast out,"na. 扔出；赶出；呕吐；〈英〉吵闹
[网络] 逐出"
catch a glimpse of,瞥见
catch one's eye,"un. 胡说；引起…的注意
[网络] 引人注目；引起某人的注意；引起某人注意"
catch sight of,瞥见
check out,"na. 开支票(提款)；(旅馆)付账后离开；及格；〔美俚〕死
[网络] 退房；检查；结帐"
check up,"核对, 检查
[经] 检查, 查对"
check up on,[美国英语]；查验；核实；校对；调查:；检查体格:
chew on,"寻思,细想,仔细考虑"
chew over,"na. “chew upon”的变体
[网络] 仔细考虑；仔细商量；深思，细想"
clear away,"na. 扫除；砍去；(雾等)消散
[网络] 收拾；把…清除掉；去掉"
clear off,"na. 理清(工作等)；清算；卖掉；撵走
[网络] 清除；消散；摆脱"
clear out,"na. 清空；腾空；清理；〈非正式〉匆忙离开
[网络] 清除；清仓甩卖；扫出"
close by,"na. 旁边
[网络] 笑哈哈"
close down,"[计] 停机, 关机, 停歇"
close up,"na. 靠紧；(伤)愈合；密闭；〔美国〕结束
[网络] 关闭；特写；靠近"
come about,"发生, 改变方向"
come across,偶遇
come along,"na. 进步；同意；一道来；请过来
[网络] 出现；进展；快点"
come around,"na. 得到；达到；袭击
[网络] 苏醒；顺便过来；拜访"
come round,"顺便来访, 绕道而来, 转向, 改主意, 苏醒, 平息"
come at,"袭击, 达到, 得到"
come down to,"流传下来;压缩为,归结为,简化为"
come into effect,"开始生效
[法] 生效"
go into effect,"生效,开始实施"
come on,"na. (演员)出台；进行(很好)；(暴风雨等)起；(病,苦痛等)加深
[网络] 来吧；加油；快点"
come out,"到边远地区来, 出现, 露出, 出版, 罢工, 结果是, 褪去, 被解出, 宣布"
come through,"经历...仍活着, 安然度过, 胜利, 表现"
come to,"na. 总计为；结果是；苏醒；把船朝着风头
[网络] 恢复知觉；达到；到达"
come to blows,开始互殴
come to the fore,"出名, 成为显赫人物"
come true,"实现, 成为事实"
come up,"走上前来, 发芽, 发生, 被提到, 流行
[建] 按照指标达到质量标准"
come up to,"达到, 等于"
come up with,"赶上, 提出"
commit oneself to,致力于
commit to, 把…送交， 托付给…; 对…作出承诺， 承担义务， 担负责任; 使（自己）致力于…; 把…固定在， 保留在…之上[之中]
compare to, 把…比作， 喻为; 与…相比
compete with,与…竞争
concern about, 使（自己）关心…
concern with,使关心
congratulate on,"un. 祝贺
[网络] 恭贺；就…向某人表示祝贺；祝贺某人某事"
congratulate upon,无
consent to,"同意, 答应"
consist in,存在于
consist of,由...组成
consume with,为(某种思想)而不断受折磨
contribute to,捐献
cool down,"变凉, 平静下来
[建] 冷却"
cool off,"na. 变凉；使…冷静；(销量,价钱等)下降
[网络] 平静下来；冷却；冷静下来"
cope with,"与...竞争, 应付, 处理"
correspond to,"相当于..., 与...相对应"
correspond with,"符合, 一致, 通信"
count in,"na. 算入
[网络] 把…计算在内；把……算入；算上"
count on,"依靠, 指望"
count upon,仰赖
count out,"(英下院)不满法定人数（40人）的休会, [体]（拳击）（对被击倒者宽限的）10秒, 数10下, [美]被故意少报票数而落选的候选人"
count up,"发射后报秒;正数, 发射后报秒，正数"
cover for,代替
crack down," 采取严厉措施, 制裁; 打击"
crack up,"na. 夸奖；吹捧某人；(人,身体等)疲惫不堪；〔美俚〕(飞机)坠毁
[网络] 撞坏；崩溃；撞毁"
credit to,"na. 把(某数)记入(某人)账户的贷方；把(成功)归(某人)
[网络] 把…归功于；增光的人；把…归于"
cross off, 划掉
cross out,"na. 取消
[网络] 删去；划掉；删除"
cry out for,哭嚷着要求得到；恳求；迫切需要；因…而哭
cut across,抄近路通过
cut back,"na. 缩减；修剪(树枝等)；回叙往事
[网络] 削减；减少；消减"
cut corners,抄近路
cut down,"na. 砍倒；削减；减价；夺去…活动力
[网络] 减少；缩短；降低"
cut in,"na. 突然插入；(汽车)超车；抢去别人的舞伴；在电话里窃听
[网络] 插嘴；插嘴，打断；超车抢挡"
cut off,"切掉, 删去, 切断, 断绝, 中断, 关掉, 使死亡
[建] 切断, 断流, 切去"
cut out,"切掉, 删掉, 裁剪出, 安排好, 使适合, 停止, 放弃, 取代, 使分离, 突然离开
[建] 切断, 安全器"
damp down,"na. (用灰把火)封上
[网络] 封火；浇灭；用封火"
deal with,"安排, 处理, 涉及, 做生意"
deep down, 本质上; 实际上; 事实上; 在内心深处
deprive of,"un. 剥夺
[网络] 剥夺某人的；使失去；使丧失"
derive from,从...得到；从...获取
descend upon,"毫无疑问,没错,没问题;降落在…,突然出现在…面前"
devote to, 把…专用于，完全用于（某事或做某事）; 致力于…; 务; 倾注
die away,"a. 消沉的, 憔悴的"
die down,n. 【植物学】枯死
dig up,"na. 查出；找到；开垦(荒地等)；采掘(山芋等)
[网络] 挖出；掘起；发现"
dip into,"na. 舀出；取出；查一查；探究
[网络] 随便翻阅"
disagree with,"不同意, 不一致, 不适合"
dish out,"na. 上(菜)；分配(饭菜等)；〈比喻〉托出；提供
[网络] 分发；盛于盘中；给予"
distinguish oneself,使杰出
do away with,"废除, 弄死"
do justice to,"公平对待, 适当处理"
do one's best,尽全力
try one's best,尽力
do one's utmost,竭力
do sb. good,"v. 有益
[网络] 做好事；有好处；行善"
do up,"v. 修缮；收拾
[网络] 系；打扮；包扎"
do without,没有...也可以
do the trick,获得成功
down with,"na. 放下；打倒
[网络] 把…拿下；狂热的；很可能"
draw in,"na. 拉入；流入；收(网等)；收回(借款等)
[网络] 到站；拉缩回；进站"
draw up,"na. 写出；正容；整(队)；拉起(鱼网等)
[网络] 起草；草拟；停住"
dream of,"梦见,梦想,向往,渴望"
dream up,"na. 凭空想出；凭空捏造出
[网络] 虚构；创造；梦想"
dress up,"na. 乔装；装扮；为…打扮；盛装打扮
[网络] 穿上盛装；装饰；精心打扮"
drink in,"na. 吸收；陶醉于
[网络] 汲取；欣赏；尽情地看"
drop by,n. (招待政治家、议员等的)招待会
drop in, [医]溴甲阿托品，溴化甲基阿托品，溴甲烷阿托品[抗消化性溃疡药]
drop off,"na. 同“drop”；睡着；(客)(一一)散去；衰落
[网络] 减少；减弱；下车"
drop out,"n. 退学学生, 中途退学
[电] 离去"
drum up,"na. 招揽(顾客等)；招募(新兵等)；鼓励；激起
[网络] 招徕；竭力争取；鼓动"
dry up,"na. 干涸；逐渐枯萎；使干；(演员)忘记台词
[网络] 枯竭；干透；乾涸"
due to,"由于, 应归于"
early on,"adj. 不久之前
[网络] 前一阵子；在早期；继续下去"
either ... or ...,"a. 两者择一, 两者择一的, 非此即彼的
[计] ""异"", 二者择一"
emerge from,从…出现
emphasis on,强调
end in,"na. 结果为…
[网络] 结果是；风骚姐妹"
end up,"竖着, 结束, 死"
engage in,"使从事于, 参加"
enquire into,"调查,探询…"
enter into,"进入, 参加, 成为...一部分, 讨论, 研讨, 体谅, 分享
[法] 进入, 参加, 缔结"
enter on,"正式开始, 着手, 开始考虑, 占有"
enter upon," 开始, 着手"
even as,"正巧在...的时候, 正如"
even if,即使
even though,"na. “even if”的变体
[网络] 纵然；即使；尽管"
ever so,"na. 非常；大大；“ever so/ever such ”的变体
[网络] 极其；即使如此；很"
every bit,"na. 从每一点；由任何一点看；完全
[网络] 全部；完全一样"
every inch,"在各方面, 彻底"
every other,"na. 每隔；所有其他；每隔一；其他的…都
[网络] 每隔一个的；每隔一个地；其他的...都"
except for,"除...以外
[经] 除...外"
exert oneself,"努力, 尽力"
explain away,"na. 巧辩过去
[网络] 把…解释过去；解释掉；辩解"
expose ... to,"un. 暴露于
[网络] 接触；使易受；使受"
face to face,"na. 面对面
[网络] 面对面的课堂学习；面对面地"
face up to,勇敢地面对
fall back on,"求助于, 退到, 回头再说"
fall behind,"落在后面, 拖欠"
fall for," 上当, 听信; 爱上"
fall out,"脱落, 离队, 争吵, 结果是
[化] 落下; 脱落; 散落物; 核爆炸散落物; 沉降物; 落下灰"
fall through,"na. 失败
[网络] 落空；成为泡影；坏了事"
fall to,"着手干, 开始进食"
far from,"远离, 远非"
feel like,"na. 〈口〉想要…；愿意…；感觉像是…
[网络] 感觉气温"
fend off,"na. 挡开；避开(灾祸等)
[网络] 挡回；抵御；垫开"
figure out,"na. 估计；解决；了解；〈口〉确定
[网络] 弄清楚；算出；推测"
fill in,"na. 填充；填写；同“fill”
[网络] 可达到加强节奏弦音效果；过门；备注"
fill out,"填写, 使长大, 变大, 使长胖, 使完备"
fill the bill,"符合要求, 使人满意"
find fault with,"挑剔,指责,对…吹毛求疵"
fish for,摸索寻找
fit in, 有地方容纳; 有时间从事（某事）; 有时间接待（某人）; 相处融洽
fit in with,"适合, 适应, 与...一致"
fix on,"确定, 决定"
fix up,"na. 〈美口〉修理；解决；组织；安顿住处
[网络] 修补；安顿下来；改进"
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
follow through,"n. 持久的贯彻, 持续"
follow up,"v. 把…探究到底；回答
[网络] 追踪，跟踪；跟进工作；继而进行"
fool about,"闲荡, 玩弄"
fool around,"闲荡, 干蠢事, 干无用的事, 干琐屑的事"
for all,"na. 无论…怎样；虽有[无论]…仍然
[网络] 尽管；虽然；语句的语法"
for fear of,"害怕,恐怕,生怕,唯恐,以防"
for fear that, 唯恐，害怕; 生恐; 惟恐; 生怕
for good,"永久地, 永远地, 一劳永逸地"
for sale,"na. 出售(的)
[网络] 待售；供出售；出售的"
for short,"简称, 缩写"
for sure,"adv. 确实
[网络] 肯定地；确切地；毫无疑问"
for the moment,"暂时, 目前"
for the sake of,"为...缘故, 为...起见, 为了某人, 为...目的, 为了...的利益"
free sb. from,"na. 无…的
[网络] 不受…影响的；免于；没有"
free sth. from,"na. 无…的
[网络] 不受…影响的；免于；没有"
from time to time,有时
gain ground,"na. 进展
[网络] 有进展；占优势；获得进展"
gain on,"逼近, 超过, 侵蚀"
gang up,"na. 成群结队；勾结起来；集合
[网络] 串骗；通同"
gang up on sb.,联合对付
gang up against sb.,联合攻击
generate from,无
get about,"na. 走动；旅行；(消息等)传开；参加社会活动
[网络] 微型轿车"
get across,"na. 使了解；使通过；使人了解；与(人)冲突
[网络] 讲清楚；使被理解；解释清楚"
get ahead,"na. 进步；前进
[网络] 获得成功；超过；走在前面"
get along,"na. 过活；生活；团结；有起色
[网络] 相处；进展；融洽相处"
get away from,"离开,摆脱,脱离"
get around,"病后能够走动, (非正式)旅行, 传开来"
get by,"通过, 混过"
get down,"na. 开始认真对待；落下；下车；写下
[网络] 下来；从…下来；降下"
get hold of,"抓住, 得到"
get in the way,"挡住去路,障碍,碍事"
get insight into,无
get into,[网络] 到达什么地方；这个错误可能使他陷入困境
get nowhere,无进展
get off,"na. 下车；脱下(衣服等)；脱(衣)；下(马)
[网络] 下来；动身；离开"
get on one's nerves,令人不安
get out,n. 逃脱，逃避；逃脱手段，脱身之计；收支相抵，销售款与支出费用相同
get over,"爬过, 克服, 熬过, 恢复, 原谅"
get the jump on,抢在...之前行动
get through,"做完, 通过, 度过"
give back,"na. 归还；返回；往后站；凹陷
[网络] 恢复；送还；后退"
give birth to,产生
give off,"na. 发散(水蒸气等)
[网络] 发出；放出；释放"
give out,"na. 发表；放出；分发
[网络] 发出；用完；发出传票"
give rise to,"引起, 使发生"
give up,"放弃, 停止, 献出, 抛弃, 认输, 把...送交
[法] 放弃, 停止, 把...送交"
give way to,"断裂, 倒塌, 垮了; 让某人在先, 让出, 放弃; 听任自己流露; 让步, 妥协; 被代替"
give ... the slip,"v. 悄悄溜掉
[网络] 年莫再追"
go about,"从事, 走动, 传开"
go after,"追逐, 追求"
go against,"反对, 违反, 不利于"
go along with,"陪...一起去, 赞同, 附和"
go round,"na. 绕着走；迂回着走；运行；(食物等)人人分到
[网络] 顺便去；绕道走；足够分配"
go around,"n. 回合；激烈争论；拖延；回旋
[网络] 菠菜；重飞；到处走走"
go back on,"违约, 背弃"
go by,"n. 轻视, 怠慢, 忽视"
go down,"na. 下去；(日,月)落下；继续到  (风,浪等)平静下来；消退
[网络] 下降；下沉；下降，降低"
go in for,"参加, 追求, 从事, 赞成"
go into,"进入, 加入, 探究, 变得, 进入...状态
[法] 调查, 探讨, 进入"
go into detail,"详细叙述,详述"
go into details,详细叙述，详述，详细说明，逐一说明，深谈
go out of use,被废弃
go over,"转变, 仔细检查, 润色, 复习"
go the round,传播
go the rounds,=do one's (或the) round(s)；(消息、传闻、流言等) 传遍
go the round of,"传遍,走遍"
go the rounds of,无
go through,"经历, 经受, 仔细检查, 搜查, 参加, 履行, 被通过, 用完"
go wrong,"走错路, 出毛病, 失败"
grab at,"抓住,攫取,伸手去抓"
grind out,"na. 碾成；单调地演奏手摇风琴；苦吟(诗句)
[网络] 刺耳地说出，单调地奏出；机械地做出；生拼硬凑地写出"
grow on,"引起...爱好, 加深影响"
grow out of,"长得与...不相称, 因长大而丢弃"
guard against,"预防,使提防"
hand down,"na. 宣布(判决等)；传下来
[网络] 把…传下去；传给；传递"
hand in hand,"na. 手拉手；联合
[网络] 手牵手；友好；心手相连"
hand over,"v. 转交；递给；送交(警察或有关当局)处理；移交(权力等)
[网络] 交出；让与；交给"
hang about,"na. 荡来荡去；缠住不放；在附近逗留
[网络] 闲荡；徘徊；闲逛"
hang around,"闲荡, 闲逛, 转悠, 观望, 等待, 聚在...临近, 缠(人), 与...泡在一起"
hang on,"v. 坚守；守住；坚持；支撑着
[网络] 摩托车大赛；讨论页说明暂缓快速删除"
hang out,"n. 常去的地方, 聚集处"
hang up,"v. 挂断电话；挂机；悬挂；耽搁
[网络] 挂起；把…挂起来；挂电话"
happen to,"碰巧,偶然;发生于"
have a reputation for,"na. 因…而著名
[网络] 以..闻名；以…而出名；以…出名"
have no business,无权〔不该〕(干某事)
help oneself,自用
help oneself to,自用
help out,"v. 帮助…摆脱困境；救出；协助
[网络] 帮忙；帮助解决困难；帮助克服困难"
hit on,"忽然想到,碰巧遇见,到达"
hit upon, 偶然发现
hold back,"na. 阻止；踌躇；隐瞒；抑制
[网络] 退缩；控制；退缩不前"
hold down,"na. 压制；牵制；阻止；压低(物价等)
[网络] 抑制；缩减；保有"
hold off,"na. 拖延；抵抗(进攻等)；使不接近
[网络] 释抑；触发释抑；脱出同步"
hold on,不挂断电话，等一下；继续
hold one's own,坚持住
hold out,"na. 伸出；提出；支持；制止
[网络] 不让步或坚持着；扣留测试；有人拿乔"
hold over,"na. 将…延迟；保存；期满后继续任职；期满后继续占有
[网络] 推迟；延期；拖延"
hold up,"n. 拦劫行人的强盗行为, 劫盗, 停顿, 索高价
[经] 索高价, 阻碍, 停顿"
hold with,"赞同, 容忍"
hook up,"[计] 挂钩联系, 试验线路
[医] 缆络, 钩住"
hope against hope,抱一线希望
idle away,"v. 虚度
[网络] 浪费光阴；荒废；虚度年华"
if only,"na. 只要；只要…；要是…就好  if possible 如果可能
[网络] 如果能再爱一次；要是……就好了；但愿"
impose on,"v. 强迫；欺骗
[网络] 把…强加于；施加影响于；利用"
impose upon,强加于
improve on,改进
improve upon,作出比…更好的东西;对…作出改进
in a sense,在某种意义上
in a way,"在某种程度上, 稍稍"
in a word,"na. “in a few words”的变体
[网络] 总之；简言之；总而言之"
in addition,另外
in addition to,"另外, 加之, 除…之外还"
in advance,"预先
[经] 预先"
in any case,无论如何
in brief,"简言之, 以简洁的形式"
in case,"v. 装进箱,筒,鞘等容器内, 包"
in case of,"假设, 万一"
in character,"na. (在)性格上；正合担任[扮演]；适当
[网络] 角色没有崩坏"
in charge,"主管, 看管, 在...看管下"
in charge of,"负责..., 管理..., 主管..., 掌管..., 看管..., 在...掌管/看管之下"
in cold blood,"残忍地
[法] 蓄意地, 残忍地"
in common,"un. 和…有共同之处；公有
[网络] 共同的；共有的；共用的"
in comparison with,与...比较
in conjunction with,与...协力
in connection with,"与…有联系,与…有关,关于"
in consequence,"n. 不合理, 矛盾, 不切题"
in consequence of,"由于的...缘故
[法] 由于...缘故, 基于"
in consideration of,"考虑到
[法] 鉴于, 考虑到"
by contrast,"对比起来, 与之相比, 相反地"
in contrast,"比较起来, 相反地, 而"
by contrast to,n.  对比(与 ... 相反)
in contrast to,"与...形成对照, 而..."
by contrast with,相比之下
in contrast with,"与...形成对照, 而..."
in control,"na. 由…控制(住)
[网络] 控制中；控制狀态中；管理状态"
in control of,控制住
in depth,"na. 广泛
[网络] 深入地；全面深入地；深入的"
in detail,详细地
in earnest,"正经地, 诚心地"
in effect,"有效
[法] 有效, 生效, 实际上"
in evidence,"na. 明显的
[网络] 显而易见的；显然"
in excess of,"超过, 较...为多"
in favor of,"赞同, 有利于"
in favour of,"[经] 同意, 支持, 有利于..."
in force,"na. 大批地；有效
[网络] 现行；实施中；有效的"
in full,"充足, 以全文
[经] 全额"
in general,大多数
in half,"分成两半,平分"
in harmony,"n. 不和谐, 不调和, 冲突"
in harmony with,"与...协调, 与...一致"
in haste,匆忙
in itself,"na. 本身；实质上；“in itself/of itself”的变体
[网络] 自在；自身之中；文化自在"
