act on,"按...行动, 作用于
[机] 作用于"
look back,"na. 回顾；回头看；追想 (to；upon)；(对事业等)不起劲
[网络] 回环；同本义；追忆"
look back at,无
look back on,"回头看,回顾,追忆"
look forward to," 期望, 盼望; 瞩望; 属望; 企"
look into,"窥视, 浏览, 观察
[法] 调查"
look out,"n. 警戒, 搜寻, 注意, 了望台, 监视者, 了望员, 监视哨, 景色, 前途, 远景"
lose sleep,"na. 失眠
[网络] 忧虑；担心"
laughing stock,n. 笑柄
less than," 小于, 决不; 以内; 没有; 不足"
life sentence,无期徒刑（等于life）
make fun of,取笑
make up,"弥补, 赔偿, 配制, 包装, 编辑, 虚构, 缝制, 组成, 和解, 结算, 整理, 化装
[经] 弥补, 赔偿, 内部运装"
make no difference,没有影响
make use of,使用
manage to, 达成，设法
marvel at,对...惊奇
meet the requirements of,vt.  适应(满足 ... 的需要)
move on,"na. 继续前进；不停地向前走；〔交通警察命令〕向前!
[网络] 慕风；继续前进协会；木木"
multiply by,"v. 乘
[网络] 乘以；乘上；使相乘"
make an effort,作出努力
make money,"挣钱
[经] 赚钱, 挣钱"
make progress,取得进步/展
make sacrifice,无
market-oriented, 以市场为导向
meet one's need,满足某人的需要
millions of,"成千上万的..., 无数的..."
more often than not,"多半, 通常"
more than,"na. …以上；比…更
[网络] 多于；超过；不止"
move against,行动起来反对
merit pay,[经] 功绩酬劳
muscle tone, [医]肌紧张，肌肉紧张度
no less than,正如
no longer,"na. 已不
[网络] 不再是"
nothing more than,不过是...
now that,"既然..., 由于..."
neglect of,疏忽
neither ... nor,[网络] 既不……也不；两者都不；均不
never mind,"un. 不要紧；没关系；开诚布公地谈
[网络] 在线"
no doubt,"na. 无疑地；〈口〉很可能
[网络] 毫无疑问；必定；不要怀疑合唱团"
no other than,"na. 就是；只有
[网络] 正是；除…外没有；不是别的"
no sooner ... than,"na. 才…(就)
[网络] 一……就；不早于；刚…就"
not as ... as,无
not so ... as,"不如...那样..., 没有...那么..."
not ... at all,一点也不；别客气
not ... but,"虽然,但并非不…"
nothing but,只
not in the least,"绝对不, 一点也不"
not to mention,不必提及
no way,"na. 无论如何不
[网络] 不行；不可能；没门"
no wonder,[网络] 难怪；怪不得；我是船长
owe to,"v. 由于；把…归功于
[网络] 应该把…归功于；欠；因为"
on average, 平均起来
on behalf of,"代表...
[经] 代表"
once for all,"na. 只此一次；断然
[网络] 一次赐下而恒常不变；一次即成"
only if,只要...就
on the average, 平均而言; 一般来说;  通常; 平均来讲
on an average,"作为平均数, 通常"
on the basis of,以...为基础
on the contrary,"正相反
[法] 正相反, 相反地"
on the other hand,另一方面
on the whole,"大体上, 基本上"
other than,(人、物等)不同于…
out of date,"过时的, 废弃的
[化] 过期的; 过时的"
owing to,"由于..., 因为..."
occur to,…发生在; 被想起〔到〕
open up,"展开, 给...开刀, 打开, 开发, 开办, 展示, 开始
[法] 吐露真情"
operate on,对...施手术
originate in," 归因于…, 产生于…; 起源"
originate from,发源于
ought to,应该
of course,"na. 当然
[网络] 当然了；自然；当然可以"
off and on,"断断续续地, 时不时地"
off balance,"un. 偿清债务；趔趄
[网络] 失去平衡的；失去平衡；不平衡"
off duty,"na. 在工作时间外；下班
[网络] 轻松迎接下班；轻松接连下班"
on account of,由于
on a daily basis, 每天（指一起共事）
on business,因公
once again,"na. 一再；再一次；“once again/more”的变体
[网络] 再度；再次；又一次"
once in a while,na. 偶尔；有时；时不时
once more,再一次
once upon a time,"na. 很久很久以前；从前；古时候
[网络] 明信片"
on condition that,"若是…, 以…为条件"
on demand,comb.form 表示“一经用户要求即刻提供的电信服务”[参较 fax-on-demand]
on duty,"na. 在工作时间内；上班；值班
[网络] 工作用语；综合"
one after another,"接连地
[计] 批次发送"
one another,"na. 互相；相互
[网络] 彼此；互相地；强调三或三者以上的相互"
on earth,"在世上, 究竟"
one way or another,无论如何
on fire,"起火, 非常激动"
on foot,"na. 步行；在进行中；徒步
[网络] 走路；步行时；走路去"
on guard,"na. 看守；值班
[网络] 站岗；警惕；防范"
on hand,"na. 现有；〈美〉出席；〈美〉在近处
[网络] 在手边；在场；在手头"
on impulse,一时冲动
on line,"un. 在线的；联机；电站并网；机控
[网络] 线上人数"
on occasion,有时
on one's own,"na. 独自地；独立地；凭自己力量；主动地
[网络] 单独；靠自己；靠自己的力量"
on order,"已定(购)而尚未交货的
[经] 已定购而未交货"
on paper,"以书面形式, 在名义上"
on purpose,"故意
[法] 故意地"
on sale,"na. 出售的；上市的；待售(的)；廉价出售(的)
[网络] 大减价；拍卖"
on schedule,adv. 按时；按照预定时间
on the air,adv.正在广播(发信机在工作中)
on the decline,没落
on the go,adj. 活跃的; 忙碌的
on the increase,正在增长
on the point of,正要...的时候
on the rise,"在上涨, 在增长"
on the run,"跑着, 逃跑, 急急忙忙, 奔走, 被通辑着
[法] 在逃"
on the spot,"当场, 立即, 在危险中, 处境尴尬
[经] 在现场, 当场, 立即"
on the verge of,"接近于, 濒临于"
on time,"na. 准时；按时
[网络] 定时；准时到府；准时性"
open-minded,"adj. 虚心的
[网络] 开诚布公；开朗的；开放思维"
or else,否则
or so,"un. 与其说…不如说…；大约
[网络] 职业退休计划(Occupational Retirement Scheme Ordinance)；职业退休计划保障；公积金"
out of control,"na. 失去控制
[网络] 失控；不在管制状态下；在控制中"
out of doors,adv. 户外
out of hand,"无法控制, 脱手, 告终, 立即"
out of the way,"不挡道, 不恰当, 异常, 偏僻
[法] 把...移开, 把...除掉"
over the years,"在这几年中, 在那几年中"
over time,"n. 超时, 加班, 延长时间
a. 超时的, 加班的
adv. 加班地
vt. 使超过时间"
odds and ends,na. 零星杂品
off-the-cuff,"a. 未预备的, 即席的"
of no account,不重要的
on cue,就在这个时候
on oath,"发誓, 在誓言的约束下
[法] 发誓"
under oath,"宣誓,发誓,凭誓言"
on one's honor, 以名誉担保
on the blink,"奄奄一息,濒于死亡;坏了,失灵"
on the brink of,"在…边缘,濒于,接近,几乎,差点"
on the horizon,在地平线上
on the ropes,"倒在栏索上, 处于困境, 濒于失败"
on the sly,诡秘地
out of character,"不符合某人一贯的性格, 与自己的性/习惯/所扮的角色不适合"
over-the-counter,"a. 不通过交易所而直接售给顾客的, 不需处方可以出售的(药)"
pay attention to,注意
point out,"na. 指出
[网络] 指明；说明；指示"
prefer to,"un. 较喜欢；宁愿:
[网络] 更喜欢；宁可；倾向于"
provide for,"v. 为…作准备
[网络] 为…提供；供养；赡养"
provide ... with,"v. 供给；供应
[网络] 提供；给…提供；以…装备"
put forward,"na. 提出(计划,意见等)；建议；促进；推举(候补人等)
[网络] 提前；推荐；表提出"
parallel to, vt. 平行于；与……平等
parallel with,与...比较
prior to,"在前, 居先
[经] 在...之前"
participate in,"参加, 参与, 分享"
part with," 失去, 卖掉[付出]…, 与…分开; 割舍"
pass down,"un. 过；一闪即逝；下达
[网络] 传递；传下去；传下来"
pave the way for,为...铺平道路
pay back,"na. 偿还；报答；向…报复；付还
[网络] 回报；还钱；还钱给"
pay for,付...款
pick up,"n. 拾起, 加速, 刺激, 猎物的收集, 好转, 恢复健康, 搭车者, 兴奋剂, 电视摄像
[电] 拾音器"
piece together,"na. 拼合
[网络] 拼凑；拼凑在一起；综合"
play with,"和…一起玩耍,漫不经心地摆弄,玩弄"
prepare against,"为对付…做好准备,防备…"
prepare for,[网络] 准备；为…作准备；为…做准备
press for,"na. 催逼；(时间)迫促；(资金)短少
[网络] 迫切要求；催促；敦促"
press on,"na. 向前挤；坚决推进；“press ahead”的变体
[网络] 加紧赶路；加紧进行；压迫"
pull through,"(使)渡过难关, (使)恢复健康"
push aside,"v. 推开
[网络] 把…推到一边；拨开；扒开"
push up,"v. 提高；强使(物价等)上升
n. 【体】俯卧撑
[网络] 向上推；伏地挺身；掌上压"
put an end to,"结束, 终止"
put through,"na. 经受；测试；试验；使…通过
[网络] 接通；完成；把……接通"
put up,"举起, 抬起, 进行, 推举, 参加竞选, 提供, 建造, 接待, 包装, 公布, 上演
[化] 搭架"
package deal,[贸易] 一揽子交易；[贸易] 整批交易；成套交易
persuade sb. to do sth.,无
point of view,"na. 观点
[网络] 视点；视角；主述观点"
pose a contrast,无
preferable to,"adj. 优于；胜过
[网络] 更好的；更可取的；比…更可取"
public figure,n. 社会名人; 人士
put pen to paper,落笔
pin down,"na. 强迫(人)承认[履行]条约；用…束缚住；阻止；牵制
[网络] 确定；压制；使受约束"
plead for,为...辩护
plough through,"驶过,穿过,乘风破浪"
point at, （把…）对准，指向; 针对; 指画
point to,指向
prey on,"捕食, 掠夺"
part and parcel,na. 重要[基本]部分；(…的)重要部分
pink slip,"解雇通知书
[法] 解雇通知书"
prejudice against,使对…抱有偏见
put down roots,[网络] 落地生根；定居；扎根
quick-witted,"n. 有急智的；机智的
adj. 伶俐的
[网络] 敏锐的；古灵精怪"
refer to,"v. 查阅；提到
[网络] 参考；涉及；谈到"
resort to,"诉诸于, 采取
[法] 诉诸"
rest on,n. 莱斯顿（姓）；雷斯顿（美国、加拿大、英国地名）
result from,"由...产生
[法] 由于, 由...引起"
result in,"导致
[法] 产生, 导致"
rather than,"na. 而不
[网络] 而不是；而非；宁愿"
regardless of,"不注意, 不关心"
reflect on,"深思, 反省, 导致, 招致非议"
relate to,"na. 有关联；与…有关；理解
[网络] 涉及；与…有联系；与……有关联"
rely on,"v. 依靠；信赖
[网络] 依赖；同本义；凭借"
reply to,回答
report back," 带回…的报告, 汇报"
resign from,"v. 辞职
[网络] 辞去；辞去……职务；从…辞职"
respond to ...,"答复,响应,对…作出反应"
retreat from,"放弃, 退出"
return to,回复到...
ride on,un. 在…上运动:；取决于；骑在(马、自行车等)上:；在…上航行
root in,[网络] 裕田；扎根于；来源于
rule out,"na. 排除
[网络] 排除…的可能性；划去；拒绝考虑"
run out,"跑出, 离开, 流逝, 期满, 被用完, 被放出去, 伸向, 逐出
[法] 背弃, 遗弃, 逃避"
rush through,"匆忙做完,草草完成;掠过"
ready for, 准备好干某事; 准备供（某人、事）用的; 准备应付; 对付
ready-made,"[经] 现成的, 预先制好的"
real estate,"n. 房地产；房产；不动产
[网络] 房地产论坛；房地产专业；地产房产"
reason for,…的原因
research into,"探究, 调查"
research on, 研究， 探讨…
responsible for,na. 为…负责；是造成…的原因
responsible to,[网络] 有责任于；对…有反应；向某人负责
run wild,放肆
revolve around," 旋转, 绕转; 环绕"
rallying cry,"na. 呐喊
[网络] 战斗口号；鼓舞之吼；振奋战呼"
rumor has it,[网络] 流言蜚语；当真爱碰上八卦；据传言说
scrape through,勉强通过
search for,搜查
seek to,vt. 设法; 企图，试图
show sympathy for,无
show up,"na. 显眼；揭发；嘲笑；露面
[网络] 出现；出席；揭露"
shut down,"na. 关闭；关拢(窗等)；停业；禁止
[网络] 关机；停工；使关闭"
shut out,"na. 不让进来；遮得看不见；【棒球】不让得分
[网络] 退关；排除；把…排斥在外"
slow down,"n. 降低速度, 减速"
split up, <非正>瓜分; 劈成; （使）分成若干小部分; <非正>（使）断绝关系
stay away from,不在，外出；走开；不接近，不打扰；避开
stick to,"na. 粘住
[网络] 坚持；忠于；遵守"
subscribe to,"预订, 同意, 订阅"
suffer from,"忍受, 遭受
[法] 患...病, 苦于, 因...损害"
sum up,"计算...的总数, 概括, 总结
[法] 总结, 概述"
similar to,"v. 与…类似
[网络] 相似；与……相似；与……类似"
so far,"na. 就是那么些；到现在为止；到目前(此地)为止；就此范围来说
[网络] 向阳之诗；家人远离"
so long as,只要
as long as,只要...
so that,"如此…以致…；以致…, 结果是…；以便"
such as,"un. 像；例如；象…这样；诸如…之类
[网络] 三千石地产；三千石地产有限公司"
scale down,"na. (按比例)缩减；【无线】分频；“scale back”的变体
[网络] 按比例缩小；缩小比例；按比例减少"
search for,搜查
seize on,"抓住, 占有"
send on,"na. 转送；转寄(信等)；预送；先送
[网络] 转交；派遣；预先运送或中转运送"
separate from,"把...和...分开, 把...和...区分开, 使...从...离析"
set off,"出发, 开始, 引起, 衬托, 点缀, 抵销, 分开, 划分
[法] 抵销"
set out,"出发, 开始, 陈列, 宣布, 陈述, 栽种, 设计...的布局, 测定
[法] 发表, 宣布, 打算"
shut up,"na. 关上；监禁；密封；停止
[网络] 闭嘴；禁止谁在多少时间内说话；来电感应"
side with,"同意, 站在...的一边"
sign up,"签约参加工作, 签约雇用"
sit on,"为...的一员, 开会讨论, 审理, 拖延, 管教
[法] 调查, 询问, 占有一席次"
sit up,"坐起, 端坐, 熬夜, 诧异"
size up,n. 估量；对火情的估计；放大画面；测定尺寸
smell of,有...的气味
sort out,"na. 清理
[网络] 分类；整理；解决"
speak of,"谈到..., 论及..."
speak out,"na. 大声讲；老老实实讲
[网络] 表白；大声说；言语"
speak up,"更大声地说, 大胆说出, 无保留地说出"
speed up,"加速
[经] 加速"
spell out,"na. 详细说明；【印】正式拼写
[网络] 讲清楚；清楚地说明；拼出"
spread out," 伸展, 延长; 分散; 铺设; 衍"
spread over,"na. 〈英〉(根据特殊需要而作的)部分工时调整
[网络] 遍布；传遍；遍布在"
spring up,出现
stand by,"n. 可依靠的人, 被喜爱的食品, 备用品, 准备发报, 准备收报
[电] 备用的"
stand for,"代表, 代替, 象征, 支持, 担任...的候选人
[法] 代替, 代表, 拥护"
stand in,"na. 加入；〈口〉使花费
[网络] 代课"
stand out,"na. 突出；显眼；不参加战争；抵抗到底
[网络] 突出量；才华出众的人；杰出人才"
stand up for,"支持
[法] 坚持, 维护, 辩护"
stand up to,"经得起..., 勇敢地面对, 抵抗"
start off,"na. 动身
[网络] 出发；开始；上路"
start out,"出发, 动身"
start up,"突然站起, 突然出现, 发动, 开动"
start with,从...开始
stay out,呆在户外
stay out of,不参与…;不插手;置身于…之外
stay up,"na. 不去睡觉；不沉
[网络] 长筒袜；紧口长筒袜"
stay with,与...并驾齐驱
stem from,"起源于,出自,出身于…"
step in,"a. 一伸脚即可穿好的, 一套上即可穿好的
n. 船鞋, 女内裤"
step out,"以步测量
[电] 不同步"
step up,"v. 加紧；走上前；登上；增加
[网络] 舞出我人生；提高；舞出真我"
stick around,逗留
stick together,"团结友爱, 互相支持"
stick with, 继续做; 跟着…; 插满
stir up,"v. 转播；重播；搅拌；煽动
[网络] 激起；挑起；引起"
stop by,"na. 顺便到(某处)访问；同“stop off”
[网络] 顺便到访问；顺便拜访；顺便访问"
stop off,"na. 中途停留(地)
[网络] 禁止移动关"
stop short,突然停止
straight away,"n. 直道
a. 直线行进的, 通俗易懂的, 立刻的"
strive for,"奋斗, 争取"
strive to, 力图；力求
submit to,"un. 使某人忍受某事:
[网络] 顺从；服从；屈服于"
succeed in,在...方面成功
suffer from,"忍受, 遭受
[法] 患...病, 苦于, 因...损害"
supply to,向…提供〔供应〕…
sweep into,把…扫入…; 昂然走进
switch off,"na. 不收听(某一广播)
[网络] 关掉；收起并隐没；定时关机"
switch on,"v. 打开；接通；参见
[网络] 开启；合闸；打开开关"
switch to,"切换到
[计] 切换到"
safe and sound,安然无恙的
second-rate,"n. 次等货；次级品；二等战舰；二流人物
adj. 第二流的；二等的；次等的"
short of,"缺乏, 达不到, 除...以外"
side effect,"副作用
[计] 副作用"
so as to,"使得, 以致"
so-called,"a. 所谓的, 号称的
[法] 所谓的, 据称的"
something of,"在某种意义上, 在某种程度上"
sooner or later,迟早
sort of,有几分地；到某种程度；稍稍
stand-point,"n. 立场, 观点"
state-owned,"un. 国有的；国营的
[网络] 国有企业"
step by step,adj. 步进的(逐步的；逐渐的按位的)
stock option,"na. 〈美〉(股东的)优先认股权
[网络] 股票期权"
success in,[网络] 的成功；在…方面成功；在…上的成功
suitable for,适合...的
superior to, [医]adj.优于，胜于
shell out,"na. 交出；付出；付款
[网络] 支付；交付；出需要的或应付的钱"
shrug off,"na. (耸肩)表示轻蔑[不屑]；摆脱；扭身脱掉(衣服)
[网络] 耸肩表示对…不屑理睬；对…不屑一顾；对……满不在乎"
snap up,"na. 咬住；突然插嘴
[网络] 抢购；争购；抢购，争夺"
sniff out,"na. 闻出；〈非正式〉发现
[网络] 发觉；寻找；嗅出"
soak up,"v. 吸取
[网络] 吸收；摄取；吸收摄取"
stake out,"na. “stake off”的变体
[网络] 立桩标出；放样；监视"
steer clear of,"避开, 绕开"
strike out,"na. 打去；打出(火花等)；涂去；拟出
[网络] 三振出局；删去；想出"
stumble across,偶然发现
swarm into,涌入
self-contradictory,"a. 自相矛盾的
[法] 自相矛盾的"
silver lining,n. （不幸或失望中的）一线希望
slot machine,[机] 自动售贷机
stand a chance of,有…的希望
take advantage of,"v. 利用
 欺骗, 占…的便宜"
take in,"接受, 接待, 吸收, 改小, 理解, 注意到, 包括, 轻信, 欺骗, 观看, 拘留
[法] 收容, 了解, 接受"
take pride in,以...为傲
tend to,"注意, 趋向"
thirst for,"渴望, 热望"
trifle with,玩弄
turn out,"打扫, 驱逐, 使外歪, 生产, 制造, 培养出, 翻出, 关掉, 装饰, 出动, 起床, 结果是
[法] 逐出, 驱逐, 结果"
take measures,採用措施
take place,"na. 发生；举行
[网络] 产生；多指通过人为安排的发生；进行"
take the lead,"为首, 带头"
take account of,考虑
take after,"像, 学样
[法] 象, 相似, 追赶"
take apart,"na. 分解；拆分；剖析
[网络] 拆开；拆卸；卸开"
take ... as,"把...看作是..., 把...当作是..."
take away,"a. <主英>（饭食）外带的, （餐厅）供应外带食物的（相当于美语take-out）"
take back,"na. 退回；收回(说过的话)；承认…是错的；拿回
[网络] 回收；起手有回真小人；摆杆"
take care of,"照顾
[法] 抚养, 赡养, 扶养"
take down,"n. 拆卸, (非正式)失面子, 羞辱
a. 可拆卸的
[计] 卸下"
take hold,adj. [美国口语] =take-charge
take note of,注意到
take off,"拿掉, 取消, 脱下, 领走, 减去, 复制, 起飞, 离开, 岔开
[经] 取消"
take on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
[网络] 承担；雇用；雇佣"
take over,"na. 接管；继承
[网络] 接收；接任；接替"
take part in,"参与, 参加
[经] 参加, 参与"
take the place of,"代替
[法] 代替"
take to,"na. 嗜好；开始；参加；逃入
[网络] 喜欢；从事；喜爱"
take up,"拿起, 开始从事, 继续, 接纳, 吸收, 占据, 拘捕, 承兑, 认购, 绷紧
[经] 付清, 承兑(汇票), 认购(债券等)"
talk back,"n. 对讲系统, 对讲电话"
talk down to,用高人一等的口气对人说话
talk into,"na. 说服(某人)做…
[网络] 说服做；劝说某人做某事；说服某人做某事"
talk over,"商量, 讨论, 说服
[法] 以口才使改变立场, 商量, 讨论"
team up,"un. 配合
[网络] 组队；家校共同教育；球员参与的社区互助活动"
tear at,"v. 撕
[网络] 撕扯；用力撕；撕开"
tear down,"na. 扯下；拆毁；猛冲
[网络] 拆除；拆卸；罐头卷封切割"
tell off,"na. 数清；分派(工作)；【罕】编号；谴责
[网络] 斥责；责备；分派出"
think about,"考虑, 回想"
think back to,回想，回忆；重新思考(往事)
think better of,"重新考虑后决定不做, 经考虑...改变主意
[法] 改变...的念头"
think highly of,"认为…很了不起,对…评价很高,非常看重"
think of,"考虑, 关心, 想起, 记起, 想像, 有...的看法"
think of ... as ...,把...看作
think over,"v. 仔细考虑
[网络] 仔细思考；仔细考虑一下；再三考虑"
think up,"na. 想出；〔口语〕发明
[网络] 想起；设计出；是想出，编造"
throw away,"n. 免费散发的传单, 脱口而出的话, 一次性使用的物品
[经] 废品, 废件"
throw oneself into,积极从事
throw out,"伸出, 扔掉, 说出, 解雇, 拒绝, 显示, 散发出, 放出, 派出, 使延伸, 打扰, 使出局
[法] 否决, 发表, 拒绝"
throw up,"na. 呕吐；抬起；急造；丢弃
[网络] 泡泡字创作；最后三分钟的泡泡字创作"
tie up,"绑好, 缚牢, 包扎, 停泊, 阻碍, 合伙, 密切联系, 占用
[法] 罢工, 停滞"
tire out,"na. 使疲倦到极度
[网络] 筋疲力尽；使筋疲力尽；使……十分疲劳"
toss out," 丢弃, 扔掉"
touch down,"na. 【橄】触地得分；【航】着陆；着陆过程中的一部分；着陆时间
[网络] 降落；挽球"
touch on,"与...有关, 涉及..., 提到..., 提及, 谈及"
touch up,"na. 润色；完成；用鞭等轻轻打(马)；轻轻打痛
[网络] 补焊；修补画面；涂料修饰"
trace to,"上溯, 追查到"
track down,"追捕到
[法] 追踪至捕获, 探索至发现"
trade off,n. （公平）交易（等于trade-off）；权衡；折衷
triumph over,"击败, 成功, 得胜"
try on,"na. 试穿；〈非正式〉搞恶作剧(以试探能否被容忍)；〈非正式〉耍花招
[网络] 试试看；试穿衣物；试衣服"
try out,"na. (采用前)严密试验；筛矿；量(金属的)纯度
[网络] 试用；尝试；考验"
try to,试图/努力(做)...
turn away,"离开,转变…的方向;不看;解雇,不许进入,不愿接受,走开,出发"
turn back,"na. 同“turn down ”
[网络] 折回；往回走；翻回到"
turn down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
[网络] 做晚床；量程比；量程比可调"
turn in,"拐入, 上床睡觉, 上缴, (使)向里歪, 告发, 出卖, 作出
[法] 归还, 移交, 交出"
turn into,"进入, (使)变成"
turn off,"关掉, 卖掉, 使转变方向, 解雇, 生产, 制造, 车削成, 使厌烦, 拐弯, 变成"
turn on,"na. 转向；对…进行突击
[网络] 打开；接通；开启"
turn over,"打翻, 营业额达到, 周转, 移交给, 翻阅, 反复考虑, 翻身
[法] 移交, 交付, 让渡"
turn round,"转身, 转变, 改变意见, 采取新政策
[经] 船双进港卸货, 装货和离境的全部过程"
turn to,"转向, 变成, 求助于, 起劲地开始行动"
turn up,"n. 翻起物, 衣服的卷起部分, (英)裤腿的卷边, 裤脚的翻边, (英)吵闹, 打架, 吵架
a. 翻起的, 可翻起的, 卷起的, 可卷起的, 翘起的, 可翘起的"
take a chance,冒险
take action,"采取行动, 提出诉讼"
take care,"v. 留心；当心
[网络] 小心；保重；注意"
take effect,"见效, 生效
[法] 生效"
take ... for granted,[法] 认为当然
take heart,振作
take ... into account,"na. 考虑
[网络] 把…考虑进去；考虑到；顾及"
take ... into consideration,"v. 顾及
[网络] 考虑到；把……考虑进去；予以考虑"
take one's time,从容不迫
take pains,"尽力, 耐心"
take root,"生根, 扎根"
take shape,"成形, 形成, 具体化"
take steps,[经] 采取措施
take turns,"轮流, 依次"
thanks to,由于
that is,"na. 就是说；用于纠正之前说过的内容
[网络] 即；那就是；换言之"
the same as,"与...相同, 与...一致"
think-tank,"n. 智囊团
[网络] 智库；创意坦克；智库又称思想库"
thousands of,"成千上万,数千,许许多多"
to a certain extent,在某种程度上
to be fair, 公平地说
to begin with,首先
to be sure,"诚然, 固然, 哎呀"
to date,"na. 到今天
[网络] 到今天为止"
to death,极度
to excess,过度
to ... extent,达到某种程度
together with,"和, 加之"
to one's knowledge,[网络] 据某人所知；据…所知；就某人所知
too ... to,[网络] 太……而不能；太……以致不能；用法
to some extent,在某种程度上
to the extent of,达到…程度;在…范围内
to the limit of,无
to the point,"na. 露骨；中肯
[网络] 正中其点；那已被赋予一个适切；目标"
to the point of,达到...的成度
turn a deaf ear to,置若罔闻
take stock of,"估计, 察看
[经] 估量, 观察"
thumb through,翻查
tune in,n.调入
take its toll,"造成损失,造成伤亡"
take one's cue from,从...处得到暗示
take the initiative,带头
take the plunge,冒险尝试
throw one's weight around,"滥用权势, 仗势欺人, 摆起架子指使人
[法] 仗势欺人, 过分夸耀自己的地位, 专权"
to one's heart's content,adj. 心满意足地
used to,"过去经常(做)..., 过去有规律地发生"
use up,"na. 用完；耗尽
[网络] 用光；消耗，耗费；毁灭"
under control,"un. 失去控制；被控制住；克制；在控制之下
[网络] 处于控制之下；在控制中；受到控制"
under fire,"na. 在炮火下；受到攻击；在弹雨下
[网络] 欠火的；自下燃烧；搧风点火"
under pressure,"n. 底部压力
[网络] 在压力下；在压力之下；处于压力之下"
under way,a. 航行中的；进行中的；起步的
up in the air,悬而未决
up to,"na. 到；干(着)；适于；…的责任
[网络] 高达；一直到；轮到"
up to date,"a. 直到现在的, 最近的, 现代化的
[化] 最新的"
usher in,"na. 迎接(来客)；传报
[网络] 开创；开始；引领"
view ... as,"把...看作..., 认为...是..."
wake up,"na. 同“wake”；叫醒；醒来；振作起来
[网络] 唤醒；起床；醒醒"
ward off,"v. 挡开；架开
[网络] 避开；防止；挡住"
wipe out,"na. 擦去；【无线】遮蔽；遮蔽地域；【信】封闭
[网络] 消灭；彻底摧毁；消灭，毁灭"
with regard to,关于
would rather,"倒愿意…,宁愿…"
wait for,"na. 等；等待
[网络] 等候；动作上的等待；等待某人"
wait on,"服侍, 招待, 拜访, 焦急地等待"
walk out,"罢工, 领出(某人), 退席
[法] 罢工, 退席抗议, 离开"
walk up,"n. 无电梯的大楼
a. 无电梯大楼的"
warm up,"na. 加热；变暖；热中起来；【运】作准备动作
[网络] 热身；暖身；热身运动"
warn of,"na. 警告(某人)有危险
[网络] 发出关于…的警告；警告某人某事；警告可能会出现某事"
wash out,"n. 冲刷, 冲蚀, 冲蚀的地区, 失败者"
wash up,"洗手洗脸, 洗餐具"
waste away,"na. 消瘦
[网络] 日益消瘦；日渐衰弱；日趋消瘦"
watch out,"na. 当心；留神；小心；提防
[网络] 注意；密切注视；监视"
watch out for,"戒备, 提防, 密切注意"
wear away,"磨损, 流逝, 消磨, 虚度"
wear off,"逐渐减弱, 消失, 磨损, 耗损"
wear out,"na. 精疲力尽；用坏；穿破；磨破
[网络] 磨损；穿坏；穿旧"
win over,"na. 争取过来
[网络] 把…争取过来；战胜；战胜对方"
wish for,"盼望, 企求"
work at,解(题)
work on,"继续工作, 设法说服, 影响"
work off,"v. 渐渐消除
[网络] 除去；售出；清理"
work out,"v. 作出；拟定；制定；计划一下
[网络] 算出；解决；制定出"
work through, （使）逐渐通过[穿过]; 完成; 解决; 闯过
work up,"na. 刺激；煽动；刻苦完成；展开(故事的情节)
[网络] 激发；激起；逐步引起"
work with,"与…共事,与…协作"
wrap up,"na. 包起来；包好；穿暖和些；〈非正式〉完成
[网络] 结束；包裹；总结"
write down,"写下, 写文章贬低, 降低地位, 减低帐面价值
[法] 记录, 记下, 以文字诋毁"
write off,"na. 注销(债款等)；报废；提笔就写(文章等)；减低资产账面额
[网络] 勾销；取消；冲销"
well-balanced,"a. 匀称的, 营养成分均衡的, 神志健全的, 明智的, 通情达理的
[计] 良平衡的"
well-known,"a. 众所周知的, 有名的"
well-meaning," 出于好心的, 好心好意的, 善意的（但常事与愿违）"
what is more,而且
whether or not,"无论…与否,不管是不是"
with respect to,"关于..., 至于...
[法] 顾及到, 关于"
word for word,"a. 逐字的, 逐字翻译的"
wade through,"跋涉通过,趟水穿过,吃力地通过,费力地读完"
whip up,"na. 鞭(马等)飞跑；督促；集合(听众等)；抓住
[网络] 当场完成；激起；鞭打"
wind up,"卷起, 卷拢, 上紧...发条, 使紧张, 使振奋, 结束
[经] 停止营业"
when it comes to,当提到…
you bet,当然啦；一点没错；你说的没错
