defensive,"adj.防御用的,自卫的n.防御"
troop,"n.群,组,多数,军队vi.群集,结队,成群而行vt.把(骑兵)编成骑兵连"
cunning,"adj.狡猾的,巧妙的,<美>漂亮的,可爱的n.狡猾,诡诈"
delicate,"adj.精巧的,精致的,病弱的,脆弱的,微妙的,棘手的,灵敏的,精密的"
elegance,"n.高雅,典雅,优雅,雅致"
elegant,"adj.文雅的,端庄的,雅致的,<口>上品的,第一流的"
exquisite,"adj.优美的,高雅的,精致的,剧烈的,异常的,细腻的,敏锐的"
aisle,"n.走廊,过道"
arch,"n.拱门,弓形结构,拱形v.(使)弯成弓形adj.主要"
architect,n.建筑师
architectural,"adj.建筑上的,建筑学的"
architecture,"n.建筑,建筑学 体系机构"
background wall,
bay window,
beam,"n.梁,桁条,(光线的)束,柱,电波,横梁v.播送"
bolt,"n.门闩,螺钉,闪电,跑掉v.上门闩,囫囵吞下,逃跑"
building technique,
cabin,"n.小屋,船舱"
carve,"v.雕刻,切开"
chamber,"n.室,房间,议院,会所,(枪)膛"
civil engineering,
construct,"vt.建造,构造,创立"
construction,"n.建筑,建筑物,解释,造句"
corridor,n.走廊
dome,n.圆屋顶
embed,"vt.使插入,使嵌入,深留,嵌入,[医]包埋"
enclose,"vt.放入封套,装入,围绕"
foundation,"n.基础,根本,建立,创立,地基,基金,基金会"
hall,"n.会堂,礼堂,大厅,走廊,门厅"
insert,"vt.插入,嵌入n.插入物"
layout,"n.规划,设计,(书刊等)编排,版面,配线,企划,设计图案,(工厂等的)布局图 版面设计"
log structure,
memorial,"n.纪念物,纪念馆,纪念议事,请愿书adj.记念的,记忆的"
metal frame,
module,"n.模数,模块,登月舱,指令舱"
monument,n.纪念碑
monumental architecture,
overlap,v.(与...)交迭
paste,"n.糊,面团,黏土团vt.用浆糊粘,张贴n.粘贴"
pillar,"n.[建] 柱子,栋梁,重要的支持者"
pitch,"n.程度,斜度,树脂,投掷,定调,(船只)前后颠簸,倾斜,沥青vt.投,掷,向前倾跌,定位于,用沥青涂,扎营vi.搭帐篷,投掷,坠落,倾斜"
plane graph,
plaster,"n.石膏,灰泥,膏药,橡皮膏vt.涂以灰泥,敷以膏药,减轻,粘贴,重创"
polish,"n.磨光,光泽,上光剂,优雅,精良vt.擦亮,发亮,磨光,推敲vi.发亮,变光滑adj.波兰的n.波兰人 Polish 波兰(Poland)的"
rebuild,"v.重建,改造,复原,重新组建"
reconstruction,"n.重建,改造"
residential,"adj.住宅的,与居住有关的"
restructure,"vt.更改结构,重建构造,调整,改组"
roof,"n.屋顶,房顶,顶"
screw,"n.螺丝钉,螺旋,螺杆,螺孔,螺旋桨,吝啬鬼vt.调节,旋,加强,压榨,强迫,鼓舞vi.转动,旋,拧"
skylight,n.天窗
skyscraper,"n.摩天楼,高丛的烟囱"
slope,"n.斜坡,斜面,倾斜v.(使)顺斜"
structural,"adj.结构的,建筑的"
temple,"n.庙,寺,神殿,教堂,礼拜堂,太阳穴,鬓角"
tilt,"v.(使)倾斜,(使)翘起,以言词或文字抨击"
tuck,"n.缝摺,活力,鼓声,船尾突出部下方,食物(尤指点心、蛋糕)vt.打摺,卷起,挤进,塞,使隐藏vi.折成摺子,缩拢"
undo,"vt.解开,松开v.取消 撤消"
unload,"vi.卸货,退子弹vt.摆脱...之负担,倾销,卸"
waterproof,"adj.防水的,不透水的"
wedge,"n.楔vt.楔入,楔进"
map,"n.地图,图v.绘制地图 [计]由LINK工具生成的一种文本文件,其中包含有被连接的程序的某些信息,例如程序中的组信息和公共符号信息等"
vast,"adj.巨大的,辽阔的,大量的,巨额的"
ornate,"adj.装饰的,华丽的,(文体)绚丽的"
ceremonial,n.仪式adj.正式的
apartment,"n.<美>公寓住宅,单元住宅,房间"
ancient,"adj.远古的,旧的"
antique,"n.古物,古董adj.古时的,过时的"
archaeological,"adj.考古学的,考古学上的"
archaeologist,n.考古学家
artifact,n.人造物品
bury,"vt.埋葬,掩埋,隐藏"
by accident,
clue,n.线索
density,n.密度
dig,"v.掘,挖,钻研,搜集"
distribution,"n.分配,分发,配给物,销售,法院对无遗嘱死亡者财产的分配,分布状态,区分,分类 发送,发行"
dwelling,n.住处
engrave,"v.雕刻,(线条,文字,图案)于一硬面上,深印于(心上),使铭记,铭刻"
entire,"adj.全部的,完整的,整个"
epoch,"n.新纪元,时代,时期,时间上的一点,[地质]世"
excavation,"n.挖掘,发掘,挖掘成的洞,出土文物"
fragment,"n.碎片,断片,片段"
locate,"vt.查找...的地点,使...坐落于,位于v.定位,位于"
observable,"adj.看得见的,引人注目的"
palace,"n.宫,宫殿"
pinpoint,n.精确adj.极微小的v.查明
pottery,"n.陶器,陶器场"
primitive,"adj.原始的,远古的,粗糙的,简单的"
rubble,n.碎石
savage,"adj.野蛮的,未开化的,凶猛的,残忍的vt.用暴力对付n.原始的人,粗鲁的人"
select,"vt.选择,挑选adj.精选的"
settlement,"n.沉降,解决,结算,殖民,殖民地"
site,"n.地点,场所,遗址vt.定...的地点n.站点"
systematic,"adj.系统的,体系的"
systematically,"adv.系统地,有系统地"
technique,"n.技术,技巧,方法,表演法,手法"
terrain,n.地形
tomb,n.坟墓v.埋葬
gigantic,"adj.巨人般的,巨大的"
grand,"adj.盛大的,豪华的,重大的,主要的,极重要的"
grave,"n.墓穴,坟墓adj.严重的,(颜色)黯淡的,(声音)低沉的v.雕刻,铭记"
immense,"adj.极广大的,无边的,<口>非常好的"
ingenious,"adj.机灵的,有独创性的,精制的,具有创造才能"
lofty,"adj.高高的,崇高的,高傲的,高级的"
magnificent,"adj.华丽的,高尚的,宏伟的"
spectacular,"adj.引人入胜的,壮观的"
splendid,"adj.壮丽的,辉煌的,极好的"
worth," prep.相当...价值n.价值,财产adj.值钱的,值的看中的"
effect,"n.结果,效果,作用,影响,(在视听方面给人流下的)印象vt.招致,实现,达到(目的等)"
enlarge,"v.扩大,放大"
original,"adj.最初的,原始的,独创的,新颖的n.原物,原作"
motive,"n.动机,目的adj.发动的,运动的"
apart from,
appetite,"n.食欲,胃口,欲望,爱好"
by-product,
civilize,"vt.使开化,使文明,教化"
crush,"vt.压碎,碾碎,压服,压垮,粉碎,(使)变形"
dealing,"n.行为,交易"
defect,"n.过失,缺点"
deviate,"vi.背离,偏离v.偏离"
difference,"n.差异,差别,分歧,争论,[数]差额,差分adj.[数]微分的,[机]差动的"
directive,n.指示
disposition,n.部署
disrupt,"v.使中断,使分裂,使瓦解,使陷于混乱,破坏"
distinctively,"adv.区别地,特殊地"
distinguish,"v.区别,辨别"
drawback,"n.缺点,障碍,退还的关税,退税(指进口货物再出口时退还其进口时的关税)"
emotional,"adj.情绪的,情感的"
enslavement,"n.奴役,强制"
entity,n.实体
essence,"n.基本,[哲]本质,香精"
evil,"adj.邪恶的,带来麻烦的,不幸的,有害的,诽谤的n.邪恶,不幸,罪恶"
feat,"n.技艺,功绩,武艺,壮举,技艺表演adj.漂亮的,合适的"
gradually,adv.逐渐地
gratify,vt.使满足
hatred,"n.憎恨,乱意,仇恨"
headway,"n.进展,净空高度"
incidental,"adj.附带的,伴随的,非主要的,偶然的,容易发生的n.伴随事件,(用复数)杂项、杂费"
industriousness,
instill,vt.慢慢地灌输
mislead,vt.误导
out of account,
output,"n.产量,输出,输出量"
overrule,"vt.驳回,否决,支配,制服"
overthrow,"n.推翻,打倒,扔得过远得球vt.打倒,推翻,颠覆"
perish,"vi.毁灭,死亡,腐烂,枯萎vt.毁坏,使麻木"
perpetuity,n.永恒
rely,"v.依赖,依靠,信赖,信任,依赖于"
resent,"v.愤恨,怨恨"
restrain,"vt.抑制,制止"
restraint,"n.抑制,制止,克制"
schooling,"n.学校教育,学费"
thrift,"n.节俭,节约,[植]海石竹"
tuition,n.学费
ultimate,"adj.最后的,最终的,根本的n.最终"
undeveloped,"adj.不发达的,未开发的"
uproar,"n.喧嚣,骚动"
mental,"adj.精神的,智力的"
behind,adv.在后地 prep.在...之后
temporarily,adv.临时
view,"n.景色,风景,观点,见解,观察,观看,意见,认为vt.观察,观看"
capable,"adj.有能力的,能干的,有可能的,可以...的"
restore,"vt.恢复,使回复,归还,交还,修复,重建"
instant,"adj.立即的,直接的,紧迫的,刻不容缓的,(食品)速溶的,方便的,即时的"
common,"adj.共同的,公共的,公有的,普通的,庸俗的,伪劣的n.[复][总]平民,公有,普通,共通"
confidence,n.信心
conflict,"n.斗争,冲突vi.抵触,冲突"
conscience,"n.良心,道德心"
healthy,"adj.健康的,健壮的,有益于健康的"
helpful,"adj.有帮助的,有用的,有益的"
hesitate,"v.犹豫,踌躇,不愿"
immune,adj.免疫的
innate,"adj.先天的,天生的"
instinct,n.本能
intelligent,"adj.聪明的,伶俐的,有才智的,[计]智能的"
manage,"vi.处理,应付过去vt.管理,控制,操纵,维持,运用,搞成,设法,达成"
mend,"n.改进,改良,补丁,修理部分,好转vt.修改,改进,加快,修理,修补vi.好转,改善,改正"
mentally,"adv.精神上,智力上,在内心"
mundane,"adj.世界的,世俗的,平凡的"
nutrition,"n.营养,营养学"
optimism,"n.乐观,乐观主义"
patience,"n.耐性,忍耐 Patience 佩兴斯(女子名)"
perfectly,"adj.极佳地,完美的adv.很,完全,完美地"
self-esteem,
shatter,"n.粉碎,碎片,落花(叶,粒等)vt.打碎,使散开,粉碎,破坏vi.粉碎,损坏,落叶"
sigh,"n.叹息,叹息声vi.叹息,叹气"
suicide,"n.自杀,自毁,给自己带来伤害或损失的行为"
sympathy,"n.同情,同情心"
trouble,"n.烦恼,麻烦,动乱,纠纷,疾病,故障,问题vt.(使)烦恼,麻烦,打扰,麻烦自己,费神,费心"
void,"n.空间,空旷,空虚,怅惘adj.空的,无人的,空闲的,无效的,无用的,没有的"
wisdom,"n.智慧,明智的行为,学识,名言,贤人,至理名言"
exterior,"adj.外部的,外在的,表面的,外交的,[建](适合)外用的n.外部,表面,外型"
horizontal,"adj.地平线的,水平的"
interior,"adj.内部的,内的n.内部"
intermediate,adj.中间的n.媒介
inverse,"adj.倒转的,反转的n.反面v.倒转"
lateral,"n.侧部,支线,边音adj.横(向)的,侧面的"
linear,"adj.线的,直线的,线性的"
medium,"n.媒体,方法,媒介adj.中间的,中等的,半生熟的"
mutual,"adj.相互的,共有的"
oriental,"n.东方人(尤指中国人和日本人)adj.东方诸国的,亚洲的,东方的,(珍珠等)最优质的"
overhead,"adj.在头上的,高架的n.企业一般管理费用,天花板adv.在头顶上,在空中,在高处"
rear,"n.后面,背后,后方,屁股adj.后面的,背面的,后方的vt.培养,饲养,举起,树立,栽种vi.高耸,暴跳,用后腿站起"
bump,"n.撞击,肿块v.碰(伤),撞(破),颠簸"
creep,"vi.爬,蹑手蹑脚,蔓延"
dash,"n.少量(搀加物),冲撞,破折号,锐气,精力,干劲vi.猛掷,冲撞vt.泼溅,使猛撞,搀和,使破灭,使沮丧,匆忙完成"
halt,"n.停止,暂停,中断vt.使停止,使立定vi.立定,停止,踌躇,有缺点"
linger,"v.逗留,闲荡,拖延,游移"
mount,"n.乘用马,衬纸,山,装配vi.乘马,爬上,增长vt.爬上,使上马,装上,设置,安放,制作...的标本,上演"
overtake,"vt.赶上,追上,(暴风雨、麻烦等)突然来袭,压倒"
procession,"n.行列,队伍"
scramble,"n.爬行,攀缘,抢夺,混乱vi.攀缘,杂乱蔓延,争夺,拼凑,匆忙vt.攀登,搅乱,使混杂"
stagger,"v.摇晃,蹒跚,交错,摇摇摆摆adj.交错的"
stroll,"n.漫步,闲逛,四处流浪v.闲逛,漫步,跋涉于"
ignorant,adj.无知的
drama,"n.(在舞台上演的)戏剧,戏剧艺术"
literature,"n.文学(作品),文艺,著作,文献"
glory,"n.荣誉,光荣"
honor,"n.尊敬,敬意,荣誉,光荣vt.尊敬,给以荣誉"
actor,"n.男演员,行动者,参与者"
actress,n.女演员
alliance,"n.联盟,联合"
amateur,"n.业余爱好者,业余艺术家"
amazed,"adj.吃惊的,惊奇的"
author,"n.作家,创造者"
comedian,n.喜剧演员
comedy,"n.喜剧,喜剧性的事情"
decay,"vi.腐朽,腐烂,衰减,衰退n.腐朽,腐烂,衰减,衰退v.衰落"
dignity,"n.尊严,高贵"
disguise,"v.假装,伪装,掩饰n.伪装"
distinction,"n.区别,差别,级别,特性,声望,显赫"
dramatic,"adj.戏剧性的,生动的"
dramatist,n.剧作家
entertainment,"n.款待,娱乐,娱乐表演"
episode,"n.一段情节,[音]插曲,插话,有趣的事件"
extraordinary,"adj.非常的,特别的,非凡的,特派的"
farcical,"adj.引人发笑的,闹剧的,滑稽的"
genius,"n.天才,天赋,天才人物"
hero,"n.英雄,男主角,男主人公"
heroine,"n.女英雄,女主人公"
host,"n.主机,主人,旅馆招待vt.当主人招待"
inhabitant,"n.居民,居住者"
interval,"n.间隔,距离,幕间休息n.时间间隔"
main plot,
majesty,"n.最高权威,王权,雄伟"
monologue,"n.独白,独脚戏"
opera,n.歌剧
perform,"vt.履行,执行,表演,演出v.完成任务"
play,"n.游戏,比赛,运动,赌博,剧本v.玩,扮演,播放,进行比赛v.播放"
playhouse,"n.剧场,儿童游戏室,玩具小屋"
poetry,"n.诗,作诗法,诗意,诗情"
popular,"adj.通俗的,流行的,受欢迎的"
professional,"n.自由职业者,专业人员,职业运动员,职业艺人adj.专业的,职业的"
prosper,"v.成功,兴隆,昌盛,(指上帝)使成功,使昌隆,繁荣"
puppet,"n.傀儡,木偶"
repertoire,"n.(准备好演出的)节目,保留剧目,(计算机的)指令表,指令系统,<美>(某个人的)全部技能"
sarcastic,adj.讽刺的
script,"n.手稿,手迹,剧本,考生的笔试卷,原本"
spot,"n.班点,污点,地点,场所,现场v.沾污,弄脏,侦察vt.认出,发现"
stage,"n.舞台,戏剧,活动场所,发展的进程,阶段或时期,驿站vt.上演,筹备,举行"
symbol,"n.符号,记号,象征"
theater,"n.剧场,戏院,电影院,阶梯教室,手术教室,手术室,全体观众,戏剧"
trace,"n.痕迹,踪迹,微量,迹线,缰绳vt.描绘,映描,画轮廓,追踪,回溯,探索vi.上溯,沿路走"
tragedy,"n.悲剧,惨案,悲惨,灾难"
tragic,"adj.悲惨的,悲剧的n.(文艺作品或生活中的)悲剧因素,悲剧风格"
triumph,"n.胜利,成功v.获得胜利"
classic,"n.[pl.] 杰作,名著adj.第一流的"
classical,"adj.古典的,正统派的,古典文学的"
climax,"n.高潮,顶点"
compile,"vt.编译,编辑,汇编"
contemporary,"n.同时代的人adj.当代的,同时代的"
fable,"n.寓言,神话,谎言vi.讲故事,编寓言,煞有其事地讲述"
fairy,"n.仙女,精灵,<美俚>漂亮姑娘adj.仙女的"
fantastic,"adj.幻想的,奇异的,稀奇古怪的,荒谬的,空想的"
ghost,"n.鬼,幽灵"
hollow,"n.洞,窟窿,山谷adj.空的,虚伪的,空腹的,凹的adv.<口>彻底vi.形成空洞vt.挖空,弄凹"
legend,"n.传说,伟人传,图例 联想集团,中国最大的国有品牌微机制造商之一"
manuscript,"n.手稿,原稿"
masterpiece,"n.杰作,名著"
medieval,"adj.中世纪的,仿中世纪的,老式的,<贬>原始的"
metaphor,"n.[修辞]隐喻,暗喻,比喻说话"
orthodox,"adj.正统的,传统的,习惯的,保守的,东正教的"
pirate,"n.海盗,盗印者,盗版者,侵犯专利权者vt.盗印,盗版,掠夺,翻印vi.做海盗"
poet,n.诗人
preface,"n.序文,绪言,前言vi.作序,写前言vt.为...写序言,开始"
renaissance,"n.复兴,复活,新生,文艺复兴,文艺复兴时期"
satire,"n.讽刺文学,讽刺"
serial,adj.连续的
tale,"n.故事,坏话,流言蜚语,谣言,叙述,传说"
verse,"n.韵文,诗,诗节,诗句,诗篇"
vivid,"adj.生动的,鲜明的,鲜艳的,大胆的,清晰的,活泼的,逼真的"
loyal,"adj.忠诚的,忠心的"
favor,"n.好感,宠爱,关切,欢心,好意,喜爱vt.支持,赞成,照顾,促成,象,喜欢,证实,赐予"
favour,"n.亲切,宠爱"
sustain,"vt.支撑,撑住,维持,持续"
aggressive,"adj.好斗的,敢作敢为的,有闯劲的,侵略性的"
blunder,"v.跌跌撞撞地走,犯大错,做错n.大错,失误"
cease,"v.停止,终了"
circular,"adj.圆形的,循环的n.函件 通知"
circulate,"v.(使)流通,(使)运行,(使)循环,(使)传播"
commonplace,"n.平凡的事,平常话adj.平凡的"
compact,"adj.紧凑的,紧密的,简洁的n.契约,合同,小粉盒"
competitor,n.竞争者
counterpart,"n.副本,极相似的人或物,配对物"
decline,"vi.下倾,下降,下垂v.拒绝,衰落n.下倾,下降,下垂,斜面,斜坡,衰败,衰落"
discontinue,"v.停止,废止,放弃"
dwarf,"n.矮子,侏儒v.(使)变矮小"
edition,"n.版本,版"
essentially,"adv.本质上,本来"
exposure,"n.暴露,揭露,暴光,揭发,揭露,位向,方向,陈列"
foresighted,"adj.有先见之明的,深谋远虑的,能预料的"
market,"n.市场,销路,行情vt.在市场上交易,使上市vi.在市场上买卖"
newsprint,n.新闻用纸
nostalgia,"n.思家病,乡愁,向往过去,怀旧之情"
overpay,vt.多付(钱财)vi.付得过多
press,"n.压,按,印刷,压力,拥挤,紧握,新闻vt.压,压榨,紧抱,逼迫vi.压,逼迫,拥挤,受压"
print,"n.版,印刷物,印迹,印章,印刷业,照片v.印刷,出版,印于,用印刷体写 [计]打印"
publish,"v.出版,刊印vt.公布,发表"
resume,"n.摘要,概略,<美> 履历vt.再继续,重新开始,重新占用,再用,恢复"
situation,"n.情形,境遇,(建筑物等的)位置"
subscribe,"v.捐款,订阅,签署(文件),赞成,预订"
transition,"n.转变,转换,跃迁,过渡,变调"
tremendous,"adj.极大的,巨大的"
assist,"v.援助,帮助"
auxiliary,"adj.辅助的,补助的"
avail,"vi.有益于,有帮助,有用,有利vt.有利于n.效用,利益"
endow,"v.捐赠,赋予"
facilitate,"vt.(不以人作主语的)使容易,使便利,推动,帮助,使容易,促进"
salvation,"n.拯救,救助"
policymaker,"n.政策制定者,决策人"
refocus,v.重调焦距
effort,"n.努力,成就"
improve,"v.改善,改进"
rather than,
simply,"adv.简单地,完全,简直,仅仅,只不过,朴素地,只是"
worry,"n.烦恼,忧虑,苦恼,撕咬vt.使烦恼,使焦虑,使苦恼,撕咬,困扰,折磨vi.烦恼,担心,撕咬,挣扎着前进"
GDP,
figure,
avoid,"vt.避免,消除"
forecasted,
doom,"n.厄运,毁灭,死亡,世末日v.注定,判决 著名的3D动作游戏"
progress,"n.前进,进步,发展vi.前进,进步,进行"
anticipate,"vt.预期,期望,过早使用,先人一着,占先v.预订,预见,可以预料"
apt,"adj.易于...的,有...倾向的,灵敏的,灵巧的,适当的,切题的,敏捷,倾向是"
foresee,"vt.预见,预知"
foretell,"v.预言,预示,预测"
imminent,"adj.即将来临的,逼近的"
promising,"adj.有希望的,有前途的"
tend,"vi.趋向,往往是vt.照管,护理"
disaster,"n.灾难,天灾,灾祸"
disastrous,"adj.损失惨重的,悲伤的"
distress,"n.悲痛,穷困,不幸,危难,忧伤v.使悲痛,使穷困,使忧伤"
misfortune,"n.不幸,灾祸"
unfortunate,"adj.不幸的,不合宜的,不吉利的,使人遗憾的n.不幸的人"
blossom,"n.花(尤指结果实者),花开的状态,兴旺期vi.开花,兴旺,发展"
boom,"n.繁荣,隆隆声v.发隆隆声,兴隆,大事宣传"
develop,"vt.发展,发达,发扬,进步,逐步展开(情节,音乐主题,方程式等)洗印,显影vi.发展,生长,发育,逐步显示出来"
grow,"vi.生长,成长,渐渐变得,增长,增高vt.种植,栽培,培育"
progressive,"n.改革论者,进步论者adj.前进的,(税收)累进的,进步的"
appoint,"vt.约定,指定(时间,地点),任命,委任"
ballot,"n.选举票,投票,票数vi.投票"
bureau,"n.办公桌,衣柜 <美>局,办公署"
bureaucracy,"n.官僚,官僚作风,官僚机构"
committee,n.委员会
conference,"n.会议,讨论会,协商会"
congress,"n.(代表)大会,[C～] (美国等国的)国会,议会"
denial,"n.否认,否定,谢绝,拒绝"
eloquent,"adj.雄辩的,有口才的,动人的,意味深长的"
ethnic,"adj.人种的,种族的,异教徒的"
federation,"n.同盟,联邦,联合,联盟"
metropolitan,"adj.首都的,主要都市的,大城市"
municipal,"adj.市政的,市立的,地方性的,地方自治的"
nominate,"vt.提名,推荐,任命,命名"
parliament,"n.国会,议会"
predecessor,"n.前辈,前任,(被取代的)原有事物"
premier,"adj.第一的,首要的n.总理"
preside,v.主持
regulate,"vt.管制,控制,调节,校准"
sanction,"n.批准,同意,支持,制裁,认可v.批准,同意,支持,鼓励,认可"
senate,"n.参议院,上院"
veto,"n.否决,禁止,否决权vt.否决,禁止"
indeed,
absurd,"adj.荒谬的,可笑的"
state,"n.情形,状态,国家,政府,州adj.国家的,国有的,国营的,州的,正式的,典礼用的vt.声明,陈述,规定"
involve,"vt.包括,笼罩,潜心于,使陷于"
fundamentally,"adv.基础地,根本地"
grassroots,
community,"n.公社,团体,社会,(政治)共同体,共有,一致,共同体,(生物)群落"
association,"n.协会,联合,结交,联想"
attend,"vt.出席,参加,照顾,护理,注意vi.专心,留意"
participate,"vi.参与,参加,分享,分担"
abroad,"adv.往国外,到处,海外,广泛,差得远,心里没有谱"
accelerate,"v.加速,促进"
bat,"n.蝙蝠,球棒v.用球棒击球 [计] 批处理文件的扩展名 [军] Basic Armor Training,装甲兵基础训练"
bruise,"n.瘀伤,擦伤v.打伤,撞伤"
champion,"n.冠军,拥护者,战士vt.拥护,支持"
commemorate,vt.纪念
couch,"n.(文学)床,睡椅 v.(用语言)表达"
distance,"n.距离,远离,一长段时间,远方,远景,遥远,(时间的)间隔,(时日的)经过"
distant,"adj.远的,关系远的(亲戚),疏远的,间隔的,冷漠的"
dive,"vi.潜水,跳水,下潜,俯冲n.潜水,跳水,下潜,俯冲"
drift,"n.冲洗,漂流物,观望,漂流v.(使)漂流"
elite,"n.<法>[集合名词]精华,精锐,中坚分子"
fence,"n.栅栏,围墙,剑术vt.用篱笆围住,练习剑术,防护vi.击剑,围以栅栏,跳过栅栏,搪塞"
gasp,"vi.喘息,气喘vt.气吁吁地说"
gymnasium,"n.健身房,体育馆"
helmet,"n.头盔,钢盔"
inspire,"vt.吸(气),鼓舞,感动,激发,启示,使生灵感,产生vi.吸入,赋予灵感"
intimidate,v.胁迫
legacy,"n.遗赠(物),遗产(祖先传下来)"
minute,"n.分,分钟,片刻,一瞬间,备忘录,笔记vt.记录,摘录,测定时间adj.微小的,详细的,仔细而准确的"
obesity,"n.肥胖,肥大"
parachute,n.降落伞
pedal,n.踏板v.踩...的踏板
phenomenon,n.现象
pledge,"n.保证,誓言,抵押,抵押品vt.保证,使发誓,抵押,典当,举杯祝...健康"
population,n.人口
provision,"n.供应,(一批)供应品,预备,防备,规定"
racket,"n.球拍,喧闹纷乱v.过着花天酒地的生活"
rally,"v.重整旗鼓,给予新力量,(使)恢复健康,力量,决心,集结n.集会"
range,"n.山脉,行列,范围,射程vt.排列,归类于,使并列,放牧vi.平行,延伸,漫游"
saddle,"n.鞍,鞍状物v.承受"
shot,"n.开枪,射击,子弹,炮弹"
soccer,n.英式足球
soccer-mad,
spectator,n.观众(指比赛或表演)
sponsor,"n.发起人,主办者,保证人,主办人vt.发起,主办v.赞助"
swear,"vi.诅咒v.宣誓,发誓"
thrive,"v.兴旺,繁荣,茁壮成长,旺盛"
tournament,"n.比赛,锦标赛,联赛"
trial,"n.试验,考验,审讯,审判"
volunteer,"n.志愿者,志愿兵adj.志愿的,义务的,无偿的v.自愿"
World Cup,
craftsman,"n.工匠,手艺精巧的人,艺术家"
farmer,"n.农夫,百姓,农民,农场主,承包主,牧场主,畜牧者"
let alone,
dependent,"adj.依靠的,依赖的,由...决定的,随...而定的"
servant,n.仆人
literary,"adj.文学(上)的,从事写作的,文艺的,精通文学的,书本的"
analyze,"vt.分析,分解"
obvious,"adj.明显的,显而易见的"
fully,"adv.充分地,完全地,足足,至少"
intellectualized,
atmosphere,"n.大气,空气,气氛"
attach,"vt.缚上,系上,贴上v.配属,隶属于"
bay,"n.海湾,狗吠声,绝路vt.吠,使走投无路vi.吠"
carrier,"n.运送者,邮递员,带菌者,(自行车等)行李架,搬运器,航空母舰n.[电]载波(信号)"
church,"n.教堂,礼拜堂,教会,教派,[宗]礼拜"
civility,"n.礼貌,端庄"
clergyman,"n.牧师,教士"
confusion,"n.混乱,混淆"
decisive,adj.决定性的
distinctive,"adj.与众不同的,有特色的"
earnestness,
emigrate,vi.永久(使)移居vt.(使)移民
Englander,
European,
examination,"n.考试,检查,细查"
extensively,adv.广阔地
fate,"n.天数,命运,运气vt.注定,送命"
forget,"vt.忘记,忽略vi.忘记,忘形,忘乎所以"
frustration,"n.挫败,挫折,受挫"
gentleman,"n.阁下,先生,有身分的人,绅士,[pl.] 男厕所,男盥洗室"
history,"n.历史,历史学,过去的事(的记载),来历,历史记录"
importance,"n.重要(性),重大,价值,傲慢"
journey,"n.旅行,旅程v.旅行"
magical,adj.不可思议的
normally,"adv.正常地,通常地"
nowhere,"adv.无处,到处都无"
preoccupation,n.当务之急
puritan,n.清教徒adj.清教徒的
scene,"n.现场,场面,情景,景色,发生地点,[戏剧]一场,布景,道具布置"
sermon,"n.训诫,说教,布道"
settle,"n.有背的长凳vt.安放,使定居,安排,解决,决定,整理,支付,使平静vi.安家,定居,停留,下陷,沉淀,决定,澄清"
sexual,"adj.性的,性别的,[生]有性的"
southern,"adj.南的,南方的"
superstition,n.迷信
tailor,
theological,"adj.神学的,神学上的"
thoroughly,"adv.十分地,彻底地"
unclean,"adj.不洁的,含糊不清的"
virtuosity,n.艺术鉴别力
accountant,"n.会计(员),会计师"
acrobat,"n.(走钢丝的)杂技演员,随机应变者,翻云覆雨者"
barber,"n.理发员,理发师vt.为...理发,刮脸等"
butcher,"n.屠夫,屠户vt.屠宰,屠杀"
carpenter,n.木匠
clergy,"n.(集合称)圣职者,牧师,僧侣,神职人员"
cop,"n.警官,巡警,[纺]管纱vt.抓住"
correspondent,"n.通讯记者,通信者"
crew,"n.全体人员,(工作)队 vbl.crow的过去式"
cripple,n.跛子v.削弱
ministry,n.(政府的)部门
missionary,"adj.传教的,传教士的n.传教士"
mistress,"n.主妇,女主人,女能人,情妇"
mob,"n.(集合词)暴徒,乌合之众,(盗贼等的)一群v.成群暴动,聚众滋扰"
physicist,"n.物理学者,唯物论者"
pilgrim,"n.圣地朝拜者,朝圣"
porter,"n.守门人,门房,行李搬运工"
priest,n.牧师
prince,n.王子
princess,n.公主
witch,"n.巫婆,女巫,迷人的女子vt.施巫术,迷惑"
comment,"n.注释,评论,意见vi.注释,评论"
preferable,"adj.更可取的,更好的,更优越的"
journalist,"n.新闻记者,从事新闻杂志业的人"
notion,"n.概念,观念,想法,意见,打算,主张,(复数)<美语>小饰物"
significance,"n.意义,重要性"
judgment,n.判断
amongst," prep.在...中间,在...之中"
basis,"n.基础,基本,根据,主要成分(或要素),(认识论中的)基本原则或原理"
citizen,"n.市民,公民"
continental,"adj.大陆的,大陆性的n.欧洲人"
desirable,"adj.值得要的,合意的,令人想要的,悦人心意的"
educator,n.教育家
established,"adj.已制定的,确定的"
event,"n.事件,事变,结果,活动,精力,竞赛"
forge,"v.稳步前进,铸造,伪造"
functioning,
furthermore,"adv.此外,而且"
greatly,"adv.很,非常"
happily,"adv.幸福地,愉快地,恰当地,幸亏"
inform,"v.(～ of/about) 通知,告诉,获悉,告知"
interpret,"v.解释,说明,口译,通译,认为是...的意思"
journalistic,"adj.新闻事业的,新闻从业员的,新闻工作者的"
ordinary,"adj.平常的,普通的,平凡的n.[律] 推事,<英>[宗]罪犯的忏悔牧师"
parcel,"n.小包,包裹vt.打包,捆扎"
production,"n.生产,产品,作品,(研究)成果"
profoundly,"adv.深深地,衷心地"
recent,"adj.新近的,近来的"
