accustomed,"adj.通常的,习惯的,按照风俗习惯的"
articulate,"adj.有关节的,发音清晰的vt.用关节连接,接合,清晰明白地说"
assassinate,"vt.暗杀,行刺"
assume,"vt.假定,设想,采取,呈现"
backfire,n.逆火
banish,"vt.流放,驱逐,消除"
bar,"n.条,棒(常用作栅栏,扣栓物),横木,酒吧间,栅,障碍物vt.禁止,阻挡,妨碍,把门关住,除...之外,(Bar)律师业 /n.条形/柱形图"
bill,"n.帐单,钞票,票据,清单,议案,法案,广告vt.用海报宣传,把...列成表,给...开帐单"
blast,"n.一阵(风),一股(气流),爆炸,冲击波vt.爆炸,,毁灭,使枯萎,损害"
blossom,"n.花(尤指结果实者),花开的状态,兴旺期vi.开花,兴旺,发展"
bode,v.预示 vbl.忍耐
bounce,"v.(使)反跳,弹起,(指支票)被银行退票,弹跳n.(球)跳起,弹回"
bully,"n.欺凌弱小者vt.威吓,威逼"
bust,"n.半身像,胸像,(妇女的)胸部"
bypass,"n.旁路vt.设旁路,迂回"
capitalize,"vt.以大写字母写,变成资本"
capitalize on,
circumvent,"vt.围绕,包围,智取"
cite,"vt.引用,引证,提名表扬"
claim,"n.(根据权利提出)要求,要求权,主张,要求而得到的东西vt.(根据权利)要求,认领,声称,主张,需要"
collaborate,"vi.合作,通敌"
commit,"vt.犯(错误),干(坏事),把...交托给,提交,答应负责"
complement,"n.补足物,[文法]补语,[数]余角vt.补助,补足"
compliment,"n.称赞,恭维,致意,问候,道贺vt.称赞,褒扬,恭维"
comprehend,"vt.领会,理解,包括(包含),由...组成"
comprise,"v.包含,由...组成"
conceal,"vt.隐藏,隐蔽,隐瞒v.隐蔽"
confiscate,"vt.没收,充公,查抄,征用adj.被没收的"
conjure,"v.(以咒文)召唤,变戏法,想象vi.变戏法,施魔法vt.祈求,恳求"
conjure up,
consult,"v.商量,商议,请教,参考,考虑"
contain,"vt.包含,容纳,容忍vi.自制v.[军]牵制(敌军)v.[数]可被...除尽"
contract,"n.合同,契约,婚约v.使缩短,感染,订约"
contradict,"vt.同...矛盾,同...抵触"
convene,"v.召集,集合"
coordinate,"n.同等者,同等物,坐标(用复数)adj.同等的,并列的vt.调整,整理"
covet,"v.垂涎,觊觎"
crash,"n.碰撞,坠落,坠毁,撞击声,爆裂声v.碰撞,坠落,坠毁,(指商业公司,政府等)破产,垮台"
crave,"v.恳求,渴望"
cripple,n.跛子v.削弱
cruise,"vi.巡游,巡航n.巡游,巡航"
crumble,"v.弄碎,粉碎,崩溃n.面包屑"
crunch,"v.嘎扎嘎扎的咬嚼,压碎,扎扎地踏过n.咬碎,咬碎声,扎扎地踏"
cultivate,"vt.培养,耕作"
defect,"n.过失,缺点"
defy,"vt.不服从,公然反抗,藐视,挑衅,违抗,使...难于n.挑战"
denounce,"vt.公开指责,公然抨击,谴责"
deploy,"v.展开,配置"
depreciate,"v.折旧,(使)贬值,降低,贬低,轻视"
derail,v.出轨
derive,vt.得自vi.起源
deter,v.阻止
dictate,"v.口述,口授,使听写,指令,指示,命令,规定n.指示(指理智,变心)"
diminish,"v.(使)减少,(使)变小"
discipline,"n.纪律,学科v.训练"
disclose,"vt.揭露,透露"
disdain,"n.轻蔑,以高傲的态度对待vt.蔑视,鄙弃"
dissolve,"v.溶解,解散"
distract,v.转移
drain,"n.排水沟,消耗,排水vt.排出沟外,喝干,耗尽vi.排水,流干"
dwarf,"n.矮子,侏儒v.(使)变矮小"
elaborate,"adj.精心制作的,详细阐述的,精细vt.精心制作,详细阐述v.详细描述"
embed,"vt.使插入,使嵌入,深留,嵌入,[医]包埋"
embody,"vt.具体表达,使具体化,包含,收录"
emulate,n.仿效
engineer,"n.工程师,技师,火车司机,轮机员,工兵"
enlist,"v.征募,谋取(支持、赞助等),应募,赞助,支持,征召,参军"
envision,"vt.想象,预想"
eradicate,v.根除
erupt,vt.喷出vi.爆发
escalate,"vi.逐步升高,逐步增强vt.使逐步上升"
escort,"n.护卫(队),护送,陪同(人员),护卫队v.护卫,护送,陪同"
evaluate,"vt.评价,估计,求...的值v.评价"
evoke,"vt.唤起,引起,博得"
expire,"v.期满,终止,呼气,断气,届满"
fake,"n.假货,欺骗adj.假的vt.伪造,赝造,捏造,假造,仿造vi.伪装"
feature,"n.面貌的一部分(眼,口,鼻等)特征,容貌,特色,特写vt.是...的特色,特写,放映vi.起重要作用"
feature in,
foresee,"vt.预见,预知"
foreshadow,v.预示
forgo,"vt.作罢,放弃"
forego,"vt.(在位置时间或程度方面)走在...之前,居先"
foster,"vt.养育,抚育,培养,鼓励,抱(希望) n.养育者,鼓励者"
fret,"v.(使)烦恼,(使)焦急,(使)腐蚀,(使)磨损"
hamper,"v.妨碍,牵制"
harass,v.烦恼
harbor,n.海港
harness,"n.(全套)马具,系在身上的绳子,甲胄vt.上马具,披上甲胄,利用(河流、瀑布等)产生动力(尤指电力)"
haunt,v.神鬼出没
heap sth. on sb.,
hobble,v.蹒跚
ignite,"v.点火,点燃"
illustrate,"vt.举例说明,图解,加插图于,阐明vi.举例"
immerse,"vt.沉浸,使陷入"
immerse oneself,
imply,"vt.暗示,意味"
incorporate,"adj.合并的,结社的,一体化的vt.合并,使组成公司,具体表现vi.合并,混合,组成公司vt.[律]结社,使成为法人组织"
induce,"vt.劝诱,促使,导致,引起,感应"
indulge,v.纵容
indulge in,
inflict,v.造成
instill,vt.慢慢地灌输
intervene,"vi.干涉,干预,插入,介入,(指时间)介于其间v.干涉"
intimidate,v.胁迫
intrigue,"n.阴谋,诡计vi.密谋,私通vt.激起...的兴趣,用诡计取得"
isolate,"vt.使隔离,使孤立,使绝缘,离析n.隔离种群"
jeopardize,v.危害
lapse,"n.失误,下降,流逝,丧失,过失v.失检,背离,堕入,流逝,失效,下降"
lobby,"n.大厅,休息室,<美>游说议员者vi.游说议员,经常出入休息室vt.对(议员)进行疏通"
locate,"vt.查找...的地点,使...坐落于,位于v.定位,位于"
loom,"n.织布机,织机v.隐现,迫近"
loot,"v.掠夺,抢劫,劫掠n.掠夺物,战利品,抢劫"
manifest,"n.载货单,旅客名单adj.显然的,明白的vi.出现vt.表明,证明"
marvel,"n.奇迹v.大为惊异,觉得惊奇"
monitor,"n.班长,监听器,监视器,监控器vt.监控v.监控"
moonlight,"n.月光adj.月光的,月夜的"
mourn,"v.哀悼,忧伤,服丧"
multiply,"v.繁殖,乘,增加"
nurture,"n.养育,教育,教养,营养品vt.养育,给与营养物,教养"
outfit,"n.用具,配备,机构,全套装配,vt.配备,装备vi.得到装备"
penetrate,"vt.穿透,渗透,看穿,洞察vi.刺入,看穿,渗透,弥漫"
phase,"n.阶段,状态,相,相位v.定相"
phase in,
phase out,
plunge,"n.跳进,投入vi.投入,跳进,陷入vt.使投入,使插入,使陷入"
proclaim,"vt.宣布,声明,显示,显露"
prod,
prompt,"n.提示,付款期限vt.提示,鼓动,促使,(给演员)提白adj.敏捷的,迅速的,即时的adv.准时地"
prosecute,"vt.实行,从事,告发,起诉vi.告发,起诉,作检察官"
provoke,"vt.激怒,挑拨,煽动,惹起,驱使"
prowl,v.巡游
quell,v.镇压
rebound,n.回弹v.回弹
reclaim,"vt.要求归还,收回,开垦"
reconcile,"vt.使和解,使和谐,使顺从"
recruit,"n.新兵,新分子,新会员vt.使恢复,补充,征募vi.征募新兵,复原"
relate,"vt.叙述,讲,使联系,发生关系"
relinquish,v.放弃
renounce,v.断绝关系
repent,"v.后悔,悔改,忏悔,悔悟"
restrain,"vt.抑制,制止"
retrieve,v.重新得到n.找回
savor,"n.滋味,气味,食欲,特定的味道或气味,一种有特色的性质vi.有...的滋味,有...气味vt.加调味品于,使有风味,尝到或闻到,尽情享受"
scramble,"n.爬行,攀缘,抢夺,混乱vi.攀缘,杂乱蔓延,争夺,拼凑,匆忙vt.攀登,搅乱,使混杂"
scrape,"n.刮,擦,擦痕,刮擦声,困境vi.刮掉,擦掉,刮出刺耳声vt.刮,擦,擦伤,挖成"
seduce,v.诱使
shatter,"n.粉碎,碎片,落花(叶,粒等)vt.打碎,使散开,粉碎,破坏vi.粉碎,损坏,落叶"
shell,"n.贝壳,壳,外形,炮弹vt.去壳,脱落,炮轰vi.剥落,脱壳 [计] 设定命令行解释器的位置"
shun,"vt.避开,避免"
shuttle,"n.往返汽车(列车、飞机),航天飞机,梭子,穿梭v.穿梭往返"
snap,"v.猛地吸住,突然折断,使劈啪地晌,猛咬n.猛咬,突然折断,劈啪声adj.突然的"
snap up,
spell,"n.符咒,魅力,一段时间,轮班vt.拼写,拼成,意味着,轮值,招致,迷住vi.轮替,拼字"
spur,"n.踢马剌,剌激物,(鸟,虫等的)距,刺激v.鞭策,刺激,疾驰,驱策"
strand,"n.绳、线之一股,线,绳,串,海滨,河岸vi.搁浅vt.使搁浅,使落后,使陷于困境,弄断,搓"
strangle,v.扼死
stride,"v.大步走(过),跨过,大步行走n.步幅"
stuff,"n.原料,材料,素材资料vt.塞满,填满,填充"
stumble,"v.绊倒,使困惑,蹒跚,结结巴巴地说话,踌躇n.绊倒,错误"
subsidize,"v.资助,津贴"
surf,"n.海浪,拍岸浪vi.作冲浪运动vt.在激浪上驾(船),在...冲浪"
surge,"n.巨涌,汹涌,澎湃vi.汹涌,澎湃,振荡,滑脱,放松vt.使汹涌奔腾,急放"
surpass,"vt.超越,胜过"
swarm,"n.蜂群,一大群v.涌往,挤满,密集,成群浮游,云集"
tamper,"vi.干预,玩弄,贿赂,损害,削弱,篡改vt.篡改n.捣棒,夯,填塞者"
tap,"n.轻打,活栓,水龙头vt.轻打,轻敲,敲打出,开发,分接,使流出,选择,攻螺纹于vi.轻叩,轻拍,轻声走n.<美>(用复数)熄灯号"
tempt,"vt.诱惑,引诱,吸引,使感兴趣,考验,试探"
tip,"n.顶,尖端,梢,倾斜,轻击,末端,小费,秘密消息vt.在...顶端装附加物,使倾斜,使翻倒,暗示,轻击,给,泄露,给小费vi.倾斜,翻倒,倾覆,踮脚走,给小费n.提示,技巧"
topple,v.倾倒
torment,n.痛苦v.折磨
trail,"n.踪迹,痕迹,形迹vt.跟踪,追踪,拉,拖,拖拉,(指植物)蔓生,蔓延,(指人)没精打采地走"
trigger,"vt.引发,引起,触发n.板机"
tug,"v.用力拖,吃力地搬运,苦干,用拖轮拖,拖拉n.拖,苦干,拖船,(牵引用的)绳索"
uncover,"vt.揭开,揭露v.揭示"
underline,"vt.在...下面划线,作...的衬里,加下划线,强调n.下划线"
unravel,v.拆开
unveil,"vt.使公诸于众,揭开,揭幕,除去...的面纱vi.显露,除去面纱"
vanish,"vi.消失,突然不见,[数]成为零n.[语]弱化音"
verify,"vt.检验,校验,查证,核实 [计] 打开或关闭文件的读写校验"
warrant,"n.授权,正当理由,根据,证明,凭证,委任状,批准,许可证vt.保证,辩解,担保,批准,使有正当理由"
whip,"n.鞭子,车夫v.鞭打,抽打,突然移动"
wreck,"n.失事船(或飞机),残骸,(船,飞机的)失事vt.破坏,拆毁"
addict,"vt.使沉溺,使上瘾;n.入迷的人,有瘾的人"
adversary,"n.敌手,对手"
advocate,"n.提倡者,鼓吹者vt.提倡,鼓吹"
alert,"adj.提防的,警惕的n.警惕,警报"
anecdote,"n.轶事,奇闻"
antidote,"n.[医]解毒剂,矫正方法"
arbitration,"n.仲裁,公断"
arrogance,"n.傲慢态度,自大"
assets,n.资产
autonomy,n.自治
beneficiary,"n.受惠者,受益人"
bid,"vt.出价,投标,祝愿,命令,吩咐n.出价,投标v.支付"
blockbuster,"n.(破坏力极大的)巨型炸弹,一鸣惊人者"
bloom,"n.花,旺盛,青春v.(使)开花,(使)繁盛"
capacity,"n.容量,生产量,容量,智能,才能,能力,接受力,地位"
casualty,n.伤亡
celebrity,"n.名声,名人"
censorship,"n.审查机构,审查制度"
chunk,"n.大块,矮胖的人或物"
clamor,"n.喧闹,叫嚷,大声的要求v.喧嚷,大声的要求"
cliche,"n.陈词滥调,铅版adj.陈腐的"
consolation,"n.(被)安慰,起安慰作用的人或事物"
context,"n.上下文,文章的前后关系"
conviction,"n.深信,确信,定罪,宣告有罪"
counterpart,"n.副本,极相似的人或物,配对物"
cult,"n.礼拜,祭仪,一群信徒,礼拜式"
curfew,"n.(中世纪规定人们熄灯安睡的)晚钟声,打晚钟时刻,宵禁令(时间)"
delinquency,"n.行为不良,错失"
demise,"n.死亡,君权的转移或授与,让位,禅让vt.让渡,遗赠,转让"
dilemma,"n.进退两难的局面,困难的选择"
disguise,"v.假装,伪装,掩饰n.伪装"
dismay,"n.沮丧,惊慌v.使沮丧,使惊慌"
disruption,"n.中断,分裂,瓦解,破坏"
dissident,n.持不同政见者
doom,"n.厄运,毁灭,死亡,世末日v.注定,判决 著名的3D动作游戏"
edge,"n.刀口,利刃,锋,优势,边缘,优势,尖锐vt.使锋利,挤进,镶边,开刃vi.缓缓移动,侧着移动"
expertise,"n.专家的意见,专门技术"
fiasco,"n.惨败,大失败,可耻的下场"
flaw,"n.缺点,裂纹,瑕疵,一阵狂风vt.使破裂,使有缺陷,使无效vi.生裂缝,变的有缺陷"
foul,"adj.污秽的,邪恶的,肮脏的,淤塞的,恶劣的vt.弄脏,妨害,污蔑,犯规,淤塞vi.腐烂,犯规,缠结n.犯规,缠绕adv.违反规则地,不正当地"
franchise,"n.特权,公民权v.赋予特权,赋予公民权"
fraud,"n.欺骗,欺诈行为,诡计,骗子,假货"
frenzy,"n.狂暴,狂怒"
friction,"n.摩擦,摩擦力"
gear,"n.齿轮,传动装置v.调整,(使)适合,换档"
glamor,"n.魔法,迷人的美vt.迷惑"
glamour,"n.[亦作glamor] 魔力,魅力v.迷惑"
gratification,n.满意
gross,"adj.总的,毛重的n.总额"
guise,"n.外观,姿态,装束,伪装v.伪装"
guru,"n.[印度教](个人的)宗教老师(或指导),(受下属崇敬的)领袖,头头"
gut,"n.[复]内脏,(幽门到直肠间的)肠子,勇气,剧情,内容,肚子,内脏,海峡vt.取出内脏,摧毁(房屋等的)内部装置"
guts,"v.狼吞虎咽,贪婪地吃  飞碟游戏(比赛双方每组5人,相距15码,互相掷接飞碟)"
handicap,"n.障碍,阻碍,障碍赛跑v.妨碍,使不利,阻碍"
haul,"n.用力拖拉,拖,拉,捕获物,努力得到的结果,(尤指)一网捕获的鱼量,拖运距离vi.拖,拉,改变方向,改变主意vt.拖拉,拖运"
havoc,"n.大破坏,浩劫vt.严重破坏"
hedge,"n.树篱,障碍物v.用树篱围住,避免作正面答复"
heed,"n.注意,留意v.注意,留意"
hegemony,n.霸权
heyday,"int.喜悦、惊奇时所发声音n.全盛期,年富力强时期"
hub,"n.毂,木片,中心;n.网络集线器,网络中心"
hurdle,"n.篱笆,栏,障碍,跨栏,活动篱笆v.用篱笆围住,跳过(栏栅),克服(障碍)"
hybrid,"n.杂种,混血儿,混合物adj.混合的,杂种的"
hypocrisy,n.伪善
infidelity,n.失真
instinct,n.本能
intuition,"n.直觉,直觉的知识"
knack,n.诀窍
lag,"n.落后,囚犯,迟延,桶板,防护套adj.最后的vi.缓缓而行,滞后vt.落后于,押往监狱,加上外套"
landscape,"n.风景,山水画,地形,前景v.美化"
legacy,"n.遗赠(物),遗产(祖先传下来)"
legitimacy,"n.合法(性),正统(性),正确(性),合理(性)"
lieutenant,"n.陆军中尉,海军上尉,副职官员"
limelight,n.引人注目的中心
literacy,"n.有文化,有教养,有读写能力"
loophole,"n.枪眼,望孔,射弹孔"
lure,v.引诱
lyrics,
maneuver,v.机动n.机动
mania,"n.[医]颠狂,狂躁,癖好,狂热"
manipulation,"n.处理,操作,操纵,被操纵"
mayhem,"n.伤害罪之一种,故意的伤害罪"
melodrama,n.情节剧
memoir,n.论文集
moderation,
namesake,"n.同名的人,同名物"
newsletter,n.时事通讯
obsession,"n.迷住,困扰"
onset,"n.攻击,进攻,有力的开始,肇端n.[医]发作"
outfit,"n.用具,配备,机构,全套装配,vt.配备,装备vi.得到装备"
parallel,"adj.平行的,相同的,类似的,并联的n.平行线,平行面,类似,相似物v.相应,平行"
peer,"n.同等的人,贵族vi.凝视,窥视vt.与...同等,封为贵族"
perspective,"n.透视画法,透视图,远景,前途,观点,看法,观点,观察"
pinnacle,"n.小尖塔,山顶,顶点vt.造小尖塔,把...放在极高处"
plight,"n.情况,状态,困境,盟誓(婚姻)vt.保证,约定"
poise,"n.平衡,均衡,姿势,镇静,砝码vt.使平衡,使悬着,保持...姿势vi.平衡,悬着,准备好,犹豫"
portfolio,n.部长职务
precedent,n.先例
predator,"n.掠夺者,食肉动物"
predicament,n.困境
prohibition,"n.禁止,阻止,<美>禁酒令"
prophet,"n.先知,预言者,提倡者"
prototype,n.原型
psyche,"n. 心智,灵魂,心灵,精神"
rally,"v.重整旗鼓,给予新力量,(使)恢复健康,力量,决心,集结n.集会"
rehearsal,"n.排演,演习,预演,试演"
retaliation,"n.报复,报仇"
reversion,"n.反转,逆转,返祖,隔代遗传,回复,复原,归还,继承权"
rhetoric,adj.花言巧语的
sensation,"n.感觉,感情,感动,耸人听闻的"
setback,"n.顿挫,挫折,退步,逆流,(疾病的)复发"
siege,"n.包围,围城,长期努力,不断袭击,围攻v.包围,围攻"
skirmish,n.小冲突v.进行一场小冲突
smash,"v.打碎,粉碎n.打碎,粉碎adj.出色的"
spell,"n.符咒,魅力,一段时间,轮班vt.拼写,拼成,意味着,轮值,招致,迷住vi.轮替,拼字"
spoiler,"n.抢夺者,损坏者"
stagnation,n.停滞
stake,n.树桩
staple,"n.钉书钉,钉,主要产品(或商品),原材料,主要成分,来源adj.主要的,常用的,大宗生产的v.把...分类,把...分级"
stereotype,"n.[印]铅版,陈腔滥调,老套vt.使用铅版,套用老套,使一成不变"
stewardship,"n.乘务员(服务员)的职位,工作"
stigma,"n.污名,(植物)柱头,[动物] 气门,耻辱"
stroke,"n.击,敲,报时的钟声,(网球等)一击,(划船等)一划,(绘画等)一笔,一次努力,打击vt.抚摸"
stroll,"n.漫步,闲逛,四处流浪v.闲逛,漫步,跋涉于"
suspense,"n.焦虑,悬念,悬而不决"
symptom,"n.[医][植]症状,征兆"
threshold,"n.开始,开端,极限"
transaction,"n.办理,处理,会报,学报,交易,事务,处理事务"
transmission,"n.播送,发射,传动,传送,传输,转播"
treason,"n.叛逆,通敌,背信,叛国罪"
upheaval,n.剧变
velocity,"n.速度,速率,迅速,周转率"
venture,"n.冒险,投机,风险v.冒险,冒昧,斗胆,胆敢(谦语)"
visionary,"adj.幻影的,幻想的,梦想的n.空想家,梦想者,好幻想的人"
watershed,n.分水岭
windfall,"n.被风吹落的果子(尤指苹果),横财"
abysmal,"adj.深不可测的,无底的"
all-out,
antagonistic,"adj.反对的,敌对的"
apace,"adv.快速地,急速地"
appalling,"adj.令人震惊的,骇人听闻的"
astute,"adj.机敏的,狡猾的"
awry,"adj.歪曲的,错误的adv.歪斜地"
ballistic,"adj.弹道的,弹道学的"
go ballistic,
benign,"adj.(病)良性的,(气候)良好的,仁慈的,和蔼的"
breezy,"adj.有微风的,通风好的,活泼的,轻松愉快的"
bulky,"adj.大的,容量大的,体积大的"
cameo,n.刻有浮雕的宝石或贝壳
canny,"adj.谨慎的,精明的,节约的"
chagrined,
comely,"adj.清秀的,标致的"
consecutive,"adj.连续的,联贯的"
cutthroat,"n.凶手,谋杀者adj.残酷的,杀人的"
cynical,adj.愤世嫉俗的
deadpan,n.<俚>无表情的脸
demure,adj.端庄的
dubious,"adj.可疑的,不确定的"
edgy,"adj.刀口锐利的,急躁的,尖利的"
eerily,
engaging,"adj.动人的,有魅力的,迷人的"
engrossing,"adj.引人入胜的,极有趣的"
feisty,"adj.易怒的,活跃的"
fickle,"adj.(在感情等方面)变幻无常的,浮躁的,薄情的"
formidable,"adj.强大的,令人敬畏的,可怕的,艰难的"
graphic,"adj.绘画似的,图解的"
grass-roots,
hilarious,adj.欢闹的
hip,"n.臀,蔷薇果,忧郁adj.熟悉内情的vt.使忧郁,给(屋顶)造屋脊int.喝彩声"
impromptu,"n.即席演出,即兴曲adj.即席的adv.即席地,未经准备地"
invincible,"adj.不能征服的,无敌的"
lackluster,"n.无光泽,暗淡"
malign,v.诽谤adj.恶毒的
maverick,n.没打烙印的动物vi.闹独立的人
mercurial,"adj.墨丘利神的,水星的,雄辩机智的,活泼善变的,水银的n.水银剂,汞剂"
microscopic,"adj.用显微镜可见的,精微的"
nascent,adj.初生的
nimble,adj.敏捷的
no-holds-barred,
oblivious,"adj.遗忘的,忘却的,健忘的"
ostensible,"adj.可公开得,(指理由等)表面的,虚假的"
palatable,adj.美味的
paltry,"adj.不足取的,无价值的,琐碎的,下贱的"
provisional,adj.临时的
replete,adj.充满的
resilient,"adj.弹回的,有回弹力的"
riveting,
runaway,"n.逃跑,逃跑者,巨大的胜利,失控的车(或核子反应堆系统)adj.逃亡的,逃走的"
saturated,"adj.渗透的,饱和的,深颜色的"
savvy,"v.知道,了解n.机智,头脑,理解,悟性"
seamless,"adj.无缝合线的,无伤痕的"
sinister,adj.险恶的
sleek,adj.圆滑的
stark,"adj.刻板的,十足的,赤裸的,荒凉的adv.完全地"
staunch,adj.坚定的
steadfast,adj.坚定的
torrential,adj.奔流的
trailblazing,
ubiquitous,"adj.到处存在的,(同时)普遍存在的"
unfathomable,"adj.深不可测的,无底的,难解的"
unfettered,"adj.被除去脚镣的,无拘无束的"
unscrupulous,"adj.肆无忌惮的,无道德的,不谨慎的"
virtuoso,n.艺术品鉴赏家
voracious,"adj.狼吞虎咽的,贪婪的"
wayward,adj.任性的
whizzy,
wistful,"adj.渴望的,想望的"
abide,"vi.坚持,遵守;vt.忍受,容忍"
abscond,"vi.潜逃,避债"
adapt,"vt.使适应,改编"
aggravate,"vt.使恶化,加重"
annex,"n.附件vt.并吞,附加"
apprehend,v.领会理解
assail,"vt.攻击,质问"
beef up,
bolster,n.垫子v.支持
brandish,vt.挥舞n.挥舞
breach,"n.违背,破坏,破裂,裂口vt.打破,突破"
bristle,"n.刚毛,猪鬃vi.(毛发等)竖起,发怒"
brush aside,
chasten,v.磨炼
chide,"v.斥责,责骂"
churn out,
click,v.发出滴答声n.滴答声
clobber,"n.衣服,浅黑浆糊vt.痛殴,击倒,使惨败"
coincide,"vi.一致,符合"
confine,"vt.限制,禁闭n.界限,边界"
consolidate,v.巩固
contravene,v.违反 抵触
culminate,v.达到顶点
dabble,"v.弄湿,弄水,涉足"
debilitate,"vt.使衰弱,使虚弱"
decry,v.谴责
deluge,"n.洪水,豪雨v.使泛滥,淹,浸,压倒"
despise,vt.轻视
dissemble,"v.掩饰,假装不知道"
diverge,"vi.(道路等)分叉,(意见等)分歧,脱离"
diversify,"v.使多样化,作多样性的投资"
don,"n.<西>君,先生(西班牙语冠于男子姓名前),阁下,(英国剑桥或牛津大学)指导教师vt.穿上"
dub,"vt.[电影]配音,轻点,授予称号,打击n.鼓声,笨蛋"
elude,v.躲避
entertain,"vt.娱乐,招待,接受,怀抱vi.款待"
entitle,"vt.给...权利(或资格),给...题名,给...称号v.授权,授权"
epitomize,"vt.摘要,概括,成为...缩影"
evaporate,"v.(使)蒸发,消失"
extol,v.赞美
extoll,vt.<美>=extol
flout,"vt.轻视,嘲笑,愚弄vi.表示轻蔑n.侮辱,嘲笑,愚弄,轻视"
flush,"n.奔流,晕红,激动,萌芽,活力旺盛,发烧,一手同花的五张牌,惊鸟;adj.挥霍的,直接的,泛滥的;adv.齐平地,直接地;vi.(脸)发红,奔涌,充沛,惊飞;vt.淹没,冲洗,使脸红,使齐平,使惊飞,使激动"
flush out,
foil,"n.箔,金属薄片,[建]叶形片,烘托,衬托vt.衬托,阻止,挡开,挫败,贴箔于"
garner,v.储存
gobble,"n.火鸡叫声vt.狼吞虎咽vi.贪食,咯咯叫声"
gobble up,
grab,"v.抢夺,攫取,夺取"
gridlock,
grill,"n.烤架,铁格子,烤肉v.烧,烤,严加盘问"
huddle,"v.拥挤,卷缩,草率从事,挤作一团n.杂乱的一堆,拥挤"
hurtle,v.急飞
impede,v.阻止
indict,"vt.起诉,控告,指控,告发"
infringe,"v.破坏,侵犯,违反"
inhibit," 抑制,约束,[化][医]抑制"
invoke,v.调用
jolt,v.摇晃n.摇晃
languish,"vi.憔悴,凋萎,衰退,苦思"
leverage,n.杠杆作用
mimic,"adj.模仿的,假装的,[生]拟态的n.效颦者,模仿者,小丑,仿制品vt.模仿,摹拟"
molest,"vt.骚乱,困扰,调戏"
mushroom,"n.蘑菇,<古>暴发户vi.迅速生长,迅速增加,采蘑菇adj.蘑菇形的,迅速生长的"
negotiate,"v.(与某人)商议,谈判,磋商,,买卖,让渡(支票、债券等),通过,越过"
nibble,"n.半位元组,细咬,轻咬,啃v.一点一点地咬,细咬,吹毛求疵"
nudge,"n.用肘轻推,轻推为引起注意"
override,"vt.制服,践踏,奔越过,蹂躏,不顾,不考虑(某人的意见,决定,愿望等)n.代理佣金"
peg,"n.钉,栓,桩,销子,借口vt.钉木钉,固定,限制vi.坚持不懈地工作 Peg 佩格(女子名)"
perch,"n.栖木,人所居的高位,有利的地位,杆,河鲈v.(使)栖息,就位,位于"
precipitate,"n.沉淀物vt.猛抛,使陷入,促成,使沉淀vi.猛地落下adj.突如其来的,陡然下降(或下落)的,贸然轻率的"
prescribe,"v.指示,规定,处(方),开(药)"
pursue,"vt.追赶,追踪,追击,继续,从事"
rankle,"vi.溃烂,发炎,怨恨vt.激怒"
ravage,"n.破坏,蹂躏,劫掠后的痕迹,创伤v.毁坏,掠夺"
recede,v.后退
rehabilitate,"v.使(身体)康复,使复职,使恢复名誉,使复原"
reiterate,"vt.反复地说,重申,重做"
relish,n.意味
rendezvous,n.集合点v.在指定地点集合
repeal,"v.废止,撤销,否定,放弃,废除n.废除,撤销"
replenish,v.补充
revile,"v.辱骂,斥责"
revitalize,v.新生
rig,"n.索具装备,钻探设备,钻探平台,钻塔v.装上索具,配备,装配"
scurry,"vi.急赶,急跑,急转,以轻快而交替的步子走动n.急赶,急跑,急转"
shell out,
simulate,"vt.模拟,模仿,假装,冒充"
solicit,v.恳求
spawn,"n.(鱼等的)卵,(植物)菌丝,产物v.产卵"
spearhead,n.先头部队v.充当先锋
stifle,"vt.使窒息,抑制vi.窒息,闷死"
synchronize,v.同步
torpedo,"n.鱼雷,油井爆破筒v.用鱼雷进攻,破坏"
tout,v.吹捧
traverse,"n.横贯,横断,横木,障碍,否认,反驳,(建筑)通廊vt.横过,穿过,经过,在...来回移动,反对,详细研究vi.横越,横断,旋转,来回移动adj.横断的,横的"
trudge,v.跋涉
trumpet,n.喇叭
underscore,"vt.划线于...下,强调n.底线"
unravel,v.拆开
usher in,
vilify,"vt.诽谤,辱骂,贬低,轻视"
vindicate,"vt.维护,辩护,表白"
wink,"n.眨眼,使眼色,瞬间,(星光等的)闪烁vi.眨眼,使眼色,闪烁,打信号,假装不见,终止,熄灭vt.眨(眼)"
advent,"n.(尤指不寻常的人或事)出现,到来 (Advent)n. 基督降临 2降临节"
animosity,"n.仇恨,憎恶"
antecedent,n.先辈adj.先行的
aura,"n.气氛,气味,(圣象头部的)光环 [医]先兆,预感"
behemoth,"n.[圣经]河马,巨兽,庞然大物"
bulwark,"n.壁垒,防波堤"
bump,"n.撞击,肿块v.碰(伤),撞(破),颠簸"
carnage,"n.(尤指在战场上的)残杀,大屠杀,流血"
catalyst,n.催化剂
censure,v.责难n.责难
charisma,"n.超凡魅力,感召力,教皇般的指导力"
chic,n.别致的款式(尤指妇女的服饰)adj.别致的
conglomerate,v.聚结
contingency,"n.偶然,可能性,意外事故,可能发生的附带事件"
contraption,"n.精巧的设计,装置"
corridor,n.走廊
coup,"n.砰然而有效的一击,妙计,出乎意料的行动,政变"
dearth,n.缺乏
detractor,"n.诽谤者,恶意批评者"
dominion,"n.主权,领土,统治权,支配,控制"
downsizing,减少规模 缩小化
