catastrophic,"a. 悲惨的, 灾难的"
inch,"n. 英寸, 身高, 小岛
vi. 慢慢前进, 慢慢移动
vt. 使缓慢地移动"
infuse,"vt. 注入, 使充满, 泡制, 鼓舞
vi. 泡"
intuitively,[计] 直觉地
jangling,"v. 铁器相碰发出刺耳的声音( jangle的现在分词 ); 烦扰, 刺激神经"
jostle,"n. 推挤, 冲撞
vi. 推挤, 冲撞
vt. 推, 挤, 煽动"
lament,"n. 悲叹, 悔恨, 恸哭, 挽歌, 悼词
vt. 哀悼
vi. 悔恨, 悲叹"
logistics,"n. 后勤学, 后勤
[医] 后勤学"
minutely,"adv. 详细地, 精密地"
mutter,"n. 喃喃低语
vi. 喃喃自语, 作低沉声
vt. 出怨言, 抱怨地说"
neuron,"n. 神经原, 轴索, 神经细胞
[计] 神经元"
neuroscientist, [医]神经科学家：神经科学各分支的专家
pedestrian,"n. 行人, 步行者
a. 人行的, 徒步的, 呆板的, 通俗的, 平淡无奇的"
penetrate,"vt. 穿透, 刺穿, 渗透, 看穿, 洞察, 了解, 使充溢
vi. 刺入, 看穿, 渗透, 打进"
proliferation,"n. 增殖, 激增
[医] 增生, 增殖"
proximity,"n. 接近, 亲近"
contracting,"[法] 缔约的, 承包的"
expansionist,"a. (关于)扩张主义的, 赞同扩张主义的
n. 扩张主义者, 领土扩张论者"
fidgety,"a. 不安的, 不沉着的, 烦燥的, 难以取悦的"
foursome,"n. 四人的一组, 四人对抗赛
a. 四人做的, 由四组成的"
genome,基因组
quaint,"a. 古雅的, 离奇有趣的, 奇怪的"
relentless,"a. 无情的, 冷酷的, 残酷的"
routinely,"adv. 日常, 乏味, 常规, 例行"
scribble,"n. 潦草的写法, 潦草写成的东西, 拙劣的作品
v. 潦草地书写, 乱写, 滥写"
shrink,"n. 收缩, 萎缩, 回避
vi. 收缩, 退缩, 萎缩, 缩小, 回避
vt. 使收缩, 使缩小"
shuffle,"n. 拖着脚走, 曳步, 混乱, 蒙混, 洗纸牌
v. 拖曳, 马虎地做, 笨手笨脚地穿(脱)衣, 推诿, 洗牌
[计] 混洗"
sidle,"v. 横着走, 悄悄贴近, 侧身而行
n. 侧走, 挨近"
Slinky,"a. 鬼鬼祟祟的, 苗条的"
souped-up,"na. 加大马力；加快(飞机)速度
[网络] 汤布屋"
spread,"n. 传播, 散布, 伸展
a. 双唇展开的, 伸展的
vt. 展开, 铺开, 传播, 推广, 伸出, 涂, 敷, 延伸
vi. 展开, 扩大, 传开, 延伸
[计] 展开"
stake,"n. 桩, 炮烙刑, 木柱, 赌注, 奖金
vt. 打桩, 用桩撑, 下赌注, 资助
vi. 打赌"
tidal,"a. 潮汐的, 受潮汐影响的"
tread,"n. 踏, 步态, 梯级, 交尾, 鞋底
vi. 踏, 行走, 交尾
vt. 踩, 踏, 践踏, 跳(舞)"
trespass,"n. 擅自进入, 非法侵入, 侵害
vi. 侵害, 侵入, 打扰, 冒犯"
velvet,"n. 天鹅绒
a. 天鹅绒的"
wager,"n. 赌注, 赌博, 赌物
vt. 下赌注, 向...保证
vi. 打赌"
wedge,"n. 楔子, 楔形物, 起因, 导致分裂的东西
vt. 楔住, 挤进, 楔入
vi. 楔入, 挤进"
zigzag,"adj. 曲折的；锯齿形的；之字形的
vt. 使成之字形；使曲折行进
vi. 曲折行进；作之字形行进
n. 之字形；Z字形
adv. 曲折地；之字形地；Z字形地"
tidal wave,"潮汐波, 浪潮
[医] 潮波"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
[计] 访问, 存取"
addicted,"a. 沉溺于...的, 无法摆脱(某种嗜好)的
[法] 嗜, 好, 惯于"
alcoholic,"adj. 酒精的，含酒精的
n. 酒鬼，酗酒者"
alienate,"vt. 使疏远, 离间, 转让
[法] 转让, 让与, 疏远"
alienation,"n. 疏远, 离间, 转让
[医] 精神错乱"
binge,"n. 狂闹, 狂欢"
converse,"n. 相反的事物, 倒, 逆向
a. 相反的, 逆向的, 颠倒的
vi. 交谈, 谈话"
cyberspace,网际空间之意
depressed,"adj. 沮丧的；萧条的；压低的
v. 使沮丧；使萧条（depress的过去式和过去分词形式）；压低"
dramatically,"adv. 戏剧地, 引人注目地, 突然地"
exaggeration,"n. 夸张, 夸大的事物, 夸大之词"
forum,"n. 论坛, 公开讨论的广场, 法庭, 讨论会
[法] 讨论会, 专题讨论, 公共论坛"
foster,"a. 收养的, 养育的
vt. 养育, 抚育, 培养, 鼓励, 抱(希望)"
fragmentation,"n. 分裂, 破碎
[计] 在IP层将打包文件切成适当大小的程序"
globalization,"[计] 全球化, 普及到世界范围"
gratification,"n. 令人满足的事(或物), 满足, 喜悦
[医] 愿望满足, 满意"
modal,"a. 形式的, 样式的, 形态上的, 模态的
[计] 模态的"
moderate,"a. 适度的, 稳健的, 中等的, 节制的
vt. 节制, 减轻, 使缓和
vi. 变缓和, 主持会议"
oyster,"n. 牡蛎, 蚝, 沉默者"
perceive,"v. 感觉; 认识, 理解; 察觉到, 意识到, 注意到"
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
simulated,"a. 模仿的
[计] 模拟的"
skew,"a. 斜的, 歪的
n. 歪斜, 偏态家庭关系
vi. 歪斜, 侧转
vt. 使歪斜, 曲解
[计] 扭斜; 歪斜; 偏斜"
surf,"n. 海浪, 拍岸浪
vi. 作冲浪运动"
apprehend,"vt. 理解, 忧虑, 逮捕
vi. 担心, 理解"
artistry,n. 艺术性
char,"n. 家庭杂务, 炭
vi. 打杂, 烧焦"
constitute,"vt. 构成, 组成, 任命
[建] 构造, 组成"
continuation,"n. 继续, 续集, 补编
[医] 连续"
counterpoise,"衡重体,平衡器,平衡物,砝码;平衡网络;地网"
dispatch,"vt. 派遣
n. 派遣, 急件
[计] 调度"
intact,[网络] 完好无缺
ledge,n. 壁架；突出之部份；暗礁；矿层
outskirt,"n. 边缘, 郊外, 外围"
peril,"n. 危险, 冒...之险, 险境, 险因
vt. 置...于险境, 冒险, 危及"
pulse,"n. 脉冲, 脉搏, 情绪, 意向, 拍子, 豆类
vi. 跳动, 脉跳
vt. 使跳动, 用脉冲调制
[计] 脉冲"
rubble,"n. 粗石, 碎砖, 粗石堆"
stumble,"n. 绊倒, 蹒跚而行, 失足
vt. 使绊倒, 使困惑
vi. 绊倒, 失足, 失策, 犯错, 蹒跚, 踌躇"
unearthly,"a. 非世间的, 神秘的, 怪异的"
wreckage,"n. 残骸, 失事, 破坏
[经] (船双等的)失事遭难"
accessory,"n. 附件, 零件, 附加物, 从犯, 同谋
a. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的
[计] 附件"
adversity,"n. 逆境, 不幸, 灾祸, 灾难"
affecting,"a. 感人的, 动人的"
atavistic,"a. 隔代遗传的
[医] 返祖性的, 隔代重现的"
attachment,"n. 连接, 附属物, 连接物, 爱慕
[计] 附加, 附件"
bonding,"n. 结合, 屏蔽接地, 搭接
[计] 压焊"
buddy,"n. 好朋友, 伙伴"
budget,adj. 预算的；与形容词；像'low'和'big'连用形成形容词指花费多少钱的尤指拍电影的预算；comb
celluloid,"n. 赛璐珞
[化] 赛璐珞"
chase,"n. 追求, 狩猎, 追逐
vt. 追捕, 追逐, 雕刻, 在...上镶嵌宝石
vi. 追赶, 奔跑"
chum,"n. 密友, 室友
vi. 结为密友"
claustrophobic,"a. (患)幽闭恐怖症的,导致幽闭恐怖症的"
confess,"v. 承认, 坦白, 忏悔, 供认"
confidence,[网络] 有自信
cosmic,"a. 宇宙的, 宇宙航行的, 无限的, 有秩序的
[医] 宇宙的"
cull,"vt. 采, 摘, 拣
n. 拣出的等外品, 被剔出的动物"
drastically,"adv. 激烈地, 彻底地"
flick,"n. 快速的轻打, 轻打声, 弹开
v. 轻弹, 轻轻拂去, 忽然摇动"
fragility,"n. 脆弱, 虚弱
[化] 易碎性"
grievance,"n. 委屈, 冤情, 苦况
[经] 不满(对雇用条件的)"
loathsome,"a. 讨厌的, 可恶的, 令人憎恶的"
moan,"n. 呻吟, 悲叹
vi. 呻吟, 抱怨, 悲叹
vt. 呻吟着说"
palpably,"adv. 摸得出, 可触知, 明显可知, 容易感觉到, 易用感官感知"
pan,[网络] 一的炒米芳
primal,"a. 主要的, 最初的, 原始的"
resiliency,n. 弹性；跳回
restraint,"n. 抑制, 克制, 束缚
[医] 约束, 拘束"
shoot-out,"射出, 伸出, 抽出"
sidekick,n. 伙伴，密友
tapestry,"n. 挂毯, 绒绣
vt. 用挂毯装饰"
tissue,"n. 薄的织物, 薄纱, 棉纸, 组织, 一套
[化] 组织"
trenchmate,无
trendiness,"n. 时髦,时新"
vérité,无
wretched,"a. 可怜的, 不幸的, 卑鄙的"
backdrop,"交流声,哼声;背景;干扰"
barbecue,"n. 烤肉
vt. 烤肉, 烧烤"
bonnet,"n. 软帽
[化] 阀盖; 阀帽"
cliché,无
confront,"vt. 使面对, 对抗, 遭遇, 使对质, 比较
[法] 对证, 使对质, 比较"
enlightenment,"n. 启迪, 教化"
expatriate,[网络] 最适合移居国外人士
fleeciness,"n. 以羊毛盖上的, 羊毛似的东西, 蓬松的东西"
folly,"n. 愚蠢, 荒唐事, 讽刺剧"
goggle-eyed,"a. 突眼的, 眼珠突出的"
heritage,"n. 遗产, 祖先遗留物, 继承物
[医] 遗传性"
immersed,a. 专注的；浸入的
jarring,"a. 辗轧的, 刺耳的, 不和谐的
n. 辗轧声, 震动, 冲突"
lacuna,"n. 空白, 空隙, 阙文
[医] 腔隙, 陷窝"
launch,"n. 下水, 汽艇, 发射
vt. 使下水, 发射, 发动
vi. 起飞, 下水, 投入, 开始"
make-believe,"假装
[法] 假装, 佯为借口, 托词"
peer,"n. 同等的人, 匹敌, 贵族
vi. 凝视, 窥视, 费力地看, 隐现
vt. 与...同等, 封为贵族"
personify,"vt. 看做人, 赋与人性, 使人格化, 体现, 是...的化身"
prompt,"n. 激励, 提示, 提醒物, 提词, 付款期限
a. 迅速的, 敏捷的, 立刻的, 提词员的
vt. 激励, 鼓动, 提示
adv. 准时地
[计] 提示符; DOS内部命令:设定DOS命令行的提示符"
pursue,"vt. 追赶, 追踪, 追随, 追求, 实行, 继续, 从事
vi. 追赶, 继续"
reenactment,[网络] 重现；重演；事件重演
regulation,"n. 规则, 管理, 调整
[计] 调整; 规章; 规则; 调节"
resonate,"v. (使)共鸣, (使)共振"
riposte,"n. (击剑中)还击, 机敏的回答
vi. 迅速还击, 机敏回答"
sinister,"a. 不吉利的, 凶恶的, 左边的
[医] 左的"
skirmish,"n. 前哨战, 小争论, 小冲突
vi. 发生小争论, 侦察"
suppress,"vt. 镇压, 使止住, 禁止, 抑制, 查禁
[法] 镇压, 平定, 禁止出版"
swell,"n. 增大, 隆起的部分, 巨浪, 肿胀
a. 优秀的, 一流的
vi. 增大, 膨胀, 肿胀, 增强, 骄傲
vt. 使膨胀, 使增大, 使上涨, 使骄傲"
twinge,"n. 一阵一阵痛, 刺痛, 剧痛
vt. 使一阵一阵痛, 使刺痛"
unease,n. 不安
agony,"n. 极大的痛苦, 挣扎
[医] 濒死苦闷; 剧痛"
arrogance,"n. 傲慢态度, 自大"
benefactor,"n. 恩人, 捐助者, 施主
[法] 捐赠人, 赠送人"
burlesque,"n. (讽刺性的)诙谐模仿, 滑稽戏
a. 滑稽的, 可笑的"
callous,"a. 麻木的, 无情的, 坚硬的, 硬皮的, 起老茧的
vt. 使生茧, 使变硬"
caricature,"n. 讽刺画, 漫画, 漫画手法
vt. 画成漫画讽刺"
compromise,"n. 妥协, 折中, 折中方案, 和解
vi. 妥协处理
vt. 危害"
conceit,"n. 自负, 空想, 狂妄"
conceive,"vt. 构思, 认为
vi. 怀孕"
conversationalist,"n. 交谈者, 健谈者"
mania, …狂；…癖
mistress,"n. 主妇, 女主人, 情妇"
nerve,"n. 精神, 勇气, 叶脉, 神经
vt. 鼓起勇气"
pamphlet,"n. 小册子, 活页文选"
procession,"n. 队伍, 连续, 列队行进, 涌出"
rajah,"n. 印度王公, 统治者"
rave,"n. 狂吼, 狂暴
v. 愤怒地说, 叫嚷, 咆哮"
recipient,"a. 领受的, 容易接受的, 感受性强的
n. 领受者, 容纳者, 容器"
shudder,"n. 战栗, 发抖
vi. 战栗, 发抖"
stupendous,"a. 惊人的, 巨大的"
delusion,"n. 迷惑, 欺瞒, 错觉
[医] 妄想"
demon,n. 魔鬼
downright,[网络] 彻底的；舞台右前方；向下
exhausting,"a. 使耗尽的, 使人筋疲力尽的
[计] 经验, 技巧, 穷举, 耗尽, 排气"
gloom,"n. 忧郁, 暗处, 幽暗
vi. 变忧沉, 变黑暗
vt. 使忧郁, 使黑暗"
grandeur,"n. 庄严, 伟大, 壮丽"
groveling,a. 匍匐的；卑躬屈节的
harangue,"n. 演讲, 热烈讨论, 长篇大论, 夸夸其谈
vt. 向...夸夸其谈地讲话"
idiotic,"a. 白痴的, 愚蠢的, 呆头呆脑的"
infidelity,"n. 不信神, 无信仰, 背信"
libretto,"n. 歌词集, 剧本"
loftily,"adv. 高尚地, 傲慢地"
suicidal,"a. 自杀的, 自杀性的, 自我毁灭的
[法] 自杀的"
testimony,"n. 证言, 证据, 声明
[医] 证据"
tiresome,"a. 累人的, 烦人的"
torment,"n. 使人痛苦的东西, 折磨者, 苦痛
vt. 使苦恼, 纠缠, 歪曲, 拷问"
undersized,(under-size 的过去分词) 尺寸小于标准
unscrupulous,"a. 无道德原则的, 不审慎的, 肆无忌惮的"
vegetarianism,"n. 素食主义
[医] 素食主义"
volubility,"n. 流畅, 流利"
accomplice,"n. 共犯, 同谋
[医] 协同菌"
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿
[经] 承认, 答谢, 收到的通知"
assemble,"vt. 集合, 收集, 装配
vi. 集合
[计] 汇编"
athwart,"adv. 横跨着, 相反
prep. 横跨, 逆, 与...相反"
awkwardly,adv. 笨拙地；无技巧地
bonsai,n. [日]盆栽
cache,"n. 隐藏所, 隐藏的粮食或物资, 贮藏物, 高速缓冲存储器
vt. 隐藏, 窖藏
[计] 高速缓冲存储器, 高速缓冲"
close-cropped,"a. (头发、草)剪得短短的, (头发、毛发)剪短了的"
deceased,"a. 已故的
n. 死者"
dignified,"a. 有尊严的, 高尚的"
disinfectant,"a. 消毒的, 杀菌的
n. 消毒剂, 杀菌剂"
dome,[网络] 都想整我；整死我；利用我
facsimile,[网络] 完全模仿；意思是；摹写本
forceps,"n. 镊子, 钳子, 钳子状器官
[医] 钳, 镊, 钳状体"
furtive,"a. 秘密的, 隐密的, 偷偷摸摸的"
heft,"n. 重量, 影响, 重要性
vt. 举起试重量, 举起
vi. 称重量"
inert,"a. 惰性的, 迟钝的, 无活力的, 呆滞的
[医] 惰性的, 无作用的, 无效的"
kickshaw,"n. 精美的菜肴, 华而不实的玩物"
oatmeal,"燕麦粉,燕麦面,燕麦片,燕麦粥"
probe,"n. 探索, 调查, 探针, 探测器
v. 用探针探测, 调查, 探索"
prune,"n. 洋李, 李子干, 深紫红色, 傻瓜
vt. 修剪, 砍掉, 删除
vi. 删除, 删节"
repose,"n. 休息；睡眠；静止
vt. 使休息；寄托于
vi. 休息；座落；长眠；依靠；静卧；建立于"
scab,"n. 痂, 恶棍, 工贼
vi. 结痂, 当工贼"
scramble,"n. 攀缘, 爬行, 抢夺, 混乱, 紧急起飞
vi. 攀缘, 杂乱蔓延, 争夺, 拼凑, 匆忙
vt. 攀登, 扰乱, 使混杂"
shard,"n. 陶瓷碎片, 鞘翅, 薄硬壳"
snowbound,璱妠（中国女装品牌）
stance,"n. 准备击球姿势, 站立的姿势, 位置, 姿态
[经] 地位, 形势"
stump,"n. 残株, 树桩, 烟蒂, 讲演台
vt. 砍断, 挑战, 难住
vi. 蹒跚而走"
tan,坛
vile,"a. 恶劣的, 肮脏的, 低廉的, 卑鄙的
[法] 极坏的, 恶劣的, 卑鄙的"
scrambled egg,"n. (军官军帽上的)金色丝带,金编带"
abundant,"a. 丰富的, 充分的, 大量的"
cadence,"n. 韵律, 抑扬, 调子, 节奏
[电] 步调"
catfish, [医]鲶（鱼），鲇鱼
critique,"n. 评论文章, 评论"
daze,"vt. 使茫然, 使发昏, 使眼花缭乱
n. 迷乱, 眼花缭乱"
dubious,"a. 可疑的, 不确定的"
grit,"n. 砂砾, 粗砂石
vt. 覆以砂砾, 咬牙切齿地说
vi. 摩擦作声"
humiliate,"vt. 使丢脸, 使蒙羞, 屈辱"
kinship,"n. 亲属关系
[法] 亲属关系, 家族关系, 关系"
maneuver,"n. 演习, 调遣, 策略
v. 调遣, 演习, 用计"
mentor,门托(美国俄亥俄州东北部城市)
nondenominational,[网络] 兼容信仰
oratorical,"a. 演说的, 雄辩的, 演说家的, 高谈阔论的"
pound,"n. 磅, 英镑, 重击, 鱼塘, 拘留所, 兽栏
vt. 强烈打击, 捣烂, 监禁, 关入栏内
vi. 连续重击, 苦干"
prodigious,"a. 庞大的, 惊人的, 异常的"
resurrect,"vi. 复活
vt. 使复活, 复兴, 恢复, 盗掘"
retreat,"n. 重新处理
[网络] 重新治疗；重新提出了"
savor,"n. 滋味, 气味, 食欲
vi. 有...的滋味
vt. 加调味品于, 使有风味, 尝到"
sermon,"n. 说教, 启示, 布道"
smirk,"vi. 傻笑, 假笑, 得意地笑
n. 傻笑, 假笑, 得意的笑"
snicker,"n. 窃笑
vi. 窃笑
vt. 窃笑着说"
stutter,"n. 口吃, 结结巴巴
v. 结结巴巴地说"
traumatic,"a. 外伤的, 创伤的
[医] 创伤的, 外伤的"
trilogy,"n. 三部剧, 三部曲
[医] 三联, 三联症"
tutelage,"n. 守护, 监护, 指导
[法] 监护, 保护, 指导"
vent,"n. 排气口, 出口, 通风孔, 发泄
vt. 发泄, 排出, 给...开孔"
vibrant,"a. 振动的, 战栗的, 响亮的, 活跃的"
wry,"a. 扭歪的, 歪曲的, 歪斜的
v. 扭曲, 扭歪"
atomize,"vt. 使粉碎, 将...喷成雾状
[化] 雾化; 粉化"
bosky,"a. 矮林丛生的, 有丛林的, 有树荫的"
boutique,n. 专卖流行衣服的小商店
congregate,"v. (使)集合, (使)聚集
a. 集合在一起的, 集体的"
cruise,"n. 巡航, 巡弋, 漫游
v. 巡航, 巡弋, 漫游"
disdain,"n. 蔑视
vt. 蔑视, 鄙弃"
exertion,"n. 努力, 发挥, 运用
[医] 劳力, 用力"
exurb,n. 远郊地区
fetid,"a. 恶臭的
[医] 恶臭的"
Fonda-ize,无
gregarious,"a. 社交的, 群居的"
grievous,"a. 痛苦的, 严重的, 充满悲伤的
[法] 极大的, 严重的, 惨无人道的"
idiocy,"n. 白痴, 极端愚蠢
[医] 白痴"
insolence,"n. 傲慢, 无耻, 傲慢态度
[法] 无礼, 蛮横, 侮辱性言行"
insomniac,"n. 失眠症患者
[医] 失眠患者"
lunacy,"n. 精神失常, 精神病, 疯狂愚蠢的行为
[医] 精神错乱(精神病的旧名)"
pampering,"v. 纵容, 宠, 娇养( pamper的现在分词 )"
posture,"n. 姿势, 态度, 情形, 形势
vt. 作...的姿势
vi. 作姿势"
precondition,n. 前提条件；先决条件
pretense,"n. 借口, 虚假, 伪装"
prim,普林
quaintly,"adv. 离奇地, 灵巧地"
reel,[地名] 里湖 ( 爱 )
reign,"v. 为王，为君；当政；统治
n. 为王，为君；当政；统治"
rururb,无
scurry,"vi. 急赶, 急跑, 急转
n. 急赶, 急跑, 急转, 阵雪, 阵雨"
simulation,"n. 模拟, 假冒物, 模仿
[计] 模拟"
sleek,"a. 光滑的, 油嘴滑舌的, 线条明快的, 圆滑的, 时髦的
vt. 使光滑, 掩盖
vi. 打扮漂亮, 滑动"
slump,"n. 暴跌, 垂头弯腰的姿态
vi. 猛然掉落, 陷入, 衰落(经济等)"
solitude,"n. 孤独, 单独, 孤寂"
spindly,"a. 纺锤形的, 细长的"
unisex,a. 男女皆宜的
urbane,a. 彬彬有礼的
well-groomed, 整洁且衣着得体的
cavalryman,n. 骑兵；地面机械化部队
colossal,"a. 巨大的, 巨像似的"
contrivance,"n. 发明, 发明的才能, 想出的办法, 发明物
[化] 设计方案"
crumble,"v. (使)粉碎, (使)成为碎屑, 瓦解, 崩溃, 败落"
debris,"n. 碎片, 残骸
[医] 碎屑"
depression,"n. 不景气, 消沉, 沮丧, 洼地
[医] 抑郁[症], 阻抑, 压低, 凹, 窝, 衰退, 俯角"
devastate,"vt. 毁坏
[法] 使荒废, 毁灭, 掠夺"
disrupt,"a. 分裂的, 中断的
vt. 使分裂, 使瓦解"
dynamite,"n. 炸药
vt. 炸毁, 破坏"
flank,"n. 侧面, 侧腹, 胁, 腰窝肉
vt. 攻击侧面, 守侧面
vi. 侧面与...相接"
fling,"n. 投掷, 急冲, 嘲弄
vt. 投, 丢下, 抛弃, 使陷入, 挥动, 嘲笑, 扫视
vi. 猛冲"
fringe,"n. 边缘, 端, 流苏, 穗, 初步
vt. 加穗于, 加饰边于
a. 边缘的, 附加的"
ghetto,n. 犹太人区
go-cart, [体]单人游戏车
gracious,"a. 亲切的, 慈善的"
gut,"n. 剧情, 内容, 内脏, 肚子, 海峡, 勇气
vt. 取出内脏, 毁坏...的内部"
harness,"n. 马具, 挽具状带子, 甲胄
vt. 给...上挽具, 驾驭, 披上甲胄, 利用...以产生动力"
horizontal,"n. 水平线, 水平面, 水平位置
a. 水平线的, 平坦的, 横的
n. 水平
[计] 水平"
hump,"n. 驼背, 圆形隆起物, 鸵峰
vi. 隆起, 急速行进, 努力
vt. 使弓起, 使烦恼, 使努力干"
conflagration,"n. 大火灾, 大火, 冲突
[化] 暴燃; 快速燃烧"
hysteria,"n. 歇斯底里症, 不正常的兴奋, 癔病
[医] 癔病, 歇斯底里"
lavishly,"adv. 浪费地, 丰富地"
lurid,"a. 火烧似的, 苍白的, 华丽的, 可怕的"
nabob,"n. 印度莫卧儿帝国的地方长官, 在印度发财的欧洲人, 富豪"
onrush,"n. 突进, 突击, 袭击, 洪流"
perpendicular,"n. 垂直线, 垂直的位置, 直立(姿势), 刚正, 垂规
a. 垂直的, 直立的, 陡峭的"
picket,"n. 桩, 尖桩, 警戒哨, 巡逻艇, 纠察队
vt. 围住, 警戒, 派...担任纠察
vi. 担任纠察"
ridge,"n. 脊, 山脊, 山脉
[医] 嵴, 脊, 棱线"
shrewd,"a. 精明的, 锐利的, 剧烈的, 机灵的, 厉害的"
silhouette,"n. 黑色半身侧面影, 影子, 轮廓, 剪影
vt. 描绘...成侧面影, 使照出影子来, 使仅仅显出轮廓"
smash,"n. 打碎, 粉碎, 打碎时哗啦声, 猛击, 扣球, 杀球, 经营失败, 破产, 硬币, 假硬币
a. 非常轰动的, 了不起的
vt. 打碎, 粉碎, 击溃, 使破产, 使裂变, 使用假硬币
vi. 碎裂, 猛撞, 破产, 扣球, 杀球
adv. 轰隆一声, 哗啦一声"
smoulder,燻烧
tottering,"a. 蹒跚的, 动摇的"
twitch,"vi. 急拉, 抽搐, 阵痛
vt. 急拉, 攫取, 抽动
n. 急拉, 抽搐, 阵痛"
vestige,"n. 遗迹, 痕迹, 残余, 丝毫, 退化的器官
[医] 遗迹, 剩件, 剩余"
withstand,"vt. 抵住, 顶住, 经得起"
wrought,"a. 制成的, 精细的
work的过去式和过去分词"
baby buggy, = buggy (2)
picket line,"纠察线, 哨兵线, 拴马索
[法] 警戒线"
aberrant,"a. 偏离正路的, 偏离常轨的, 畸变的
[化] 异常的"
addict,"vt. 使沉溺, 使上瘾
n. 入迷的人, 上瘾者"
affirmation,"n. 肯定, 断言, 证实
[医] 肯定, 确认"
befriend,[网络] 与…为友；当朋友；做朋友
beset,[网络] 准备好
blatancy,n. 喧哗
crack,"n. 裂缝, 爆裂声
v. (使)爆裂, (使)裂开, (使)发出爆裂声
a. 第一流的
adv. 啪地一声"
deduce,"vt. 推论, 演绎出
[法] 推断, 推出, 演绎"
depiction,"n. 描写, 叙述"
disproportionately,"adv. 不匀称, 不相称"
drive-by,推动
dysfunctional,a. 功能失调的
illiterate,"n. 文盲
a. 目不识丁的, 没受教育的"
imbalanced,a. 失衡的；失调的
infest,"vt. 骚扰, 寄生于, 大批出没
[医] 传染, 感染"
insidious,"a. 隐伏的, 阴险的, 狡猾的
[医] 隐袭的"
myopic,a. [眼科]近视的；目光短浅的
pathetic,"a. 悲哀的, 可怜的, 感伤的, 差劲的
[医] 感情的"
period,"n. 时期, 节段, 节, 句点, 学时, 周期
a. 当时特有的, 过去某段时期的
interj. 就是这话, 就是这么回事"
pervasive,"a. 普遍的, 流行的, 到处蔓延的, 到处渗透的"
prostitute,"n. 妓女, 男娼
vt. 使沦为妓女
a. 卖淫的, 堕落的"
scenario,"n. 剧本提纲, 情节, 剧本, 方案, 事态
[计] 方案"
self-reliant,a. 独断独行的
tenement,"n. 房屋, 住房, 保有物, 居所
[经] 地产, 住屋"
undeniably,adv. 确凿无疑地；不可否认地
validity,"n. 有效性, 正确性
[计] 有效性"
vanity,"n. 虚荣心, 虚无, 自负, 空虚, 时髦的小摆饰"
warfare,"n. 战争, 战斗, 交战, 斗争, 竞争
[法] 战事, 作战, 交战"
welfare,"n. 福利, 安宁, 幸福, 福利事业
a. 福利的"
aesthete,"n. 审美家, 唯美主义者"
anti-marital,无
bliss,"n. 福佑, 天赐的福
[计] 实现系统软件的基本语言"
blooming,"a. 盛开的
[化] 喷霜"
caustic,"n. 腐蚀剂
a. 腐蚀性的"
crude,"a. 天然的, 未成熟的, 粗糙的, 粗鲁的
n. 天然的物质"
