favour,"n.亲切,宠爱"
portray,v.描绘
informative,"adj.情报的,提供情报的,见闻广博的"
conceive,"vt.构思,以为,持有vi.怀孕,考虑,设想"
telescope,n.望远镜v.压缩
gear,"n.齿轮,传动装置v.调整,(使)适合,换档"
eject,"vt.逐出,撵出,驱逐,喷射n.推断的事物"
asylum,"n.庇护,收容所,救济院,精神病院"
pretension,"n.借口,要求,主张,自负,骄傲"
delinquency,"n.行为不良,错失"
objection,"n.异议,缺陷,妨碍,拒绝之理由"
assign,"vt.分配,指派v.赋值 [计] 将驱动器符重定向至第二个驱动器符"
rebound,n.回弹v.回弹
guilty,"adj.犯罪的,有罪的,心虚的"
tension,"n.紧张(状态),不安,拉紧,压力,张力,牵力,电压vt.拉紧,使紧张"
camouflage,v.伪装n.伪装
entice,"v.诱惑,诱使"
infringe,"v.破坏,侵犯,违反"
interface,"n.[地质]分界面,接触面,[物、化]界面"
skew,adj.歪斜的
radically,"adv.根本上,以激进的方式"
omit,"vt.省略,疏忽,遗漏"
adequate,
reactive,"adj.反应的,起反作用的,反动的,电抗性的"
convert,"n.皈依者vt.使转变,转换...,使...改变信仰"
legitimacy,"n.合法(性),正统(性),正确(性),合理(性)"
decompose,"v.分解,(使)腐烂"
stimulus,"n.刺激物,促进因素,刺激,刺激"
fertile,"adj.肥沃的,富饶的,能繁殖的"
indolent,"adj.懒惰的,不痛的"
creativity,"n.创造力,创造"
generalisation,n.<主英>=generalization
on-the-spot,
purify,vt.使纯净v.净化
administrative,  court//n.行政法庭 law//n.行政法
viscous,"adj.粘性的,粘滞的,胶粘的"
harness,"n.(全套)马具,系在身上的绳子,甲胄vt.上马具,披上甲胄,利用(河流、瀑布等)产生动力(尤指电力)"
scratch,"n.乱写,刮擦声,抓痕,擦伤vt.乱涂,勾抹掉,擦,刮,搔,抓,挖出vi.发刮擦声,搔,抓adj.打草稿用的,凑合的"
conquest,n.征服n.战利品
vertebrate,"n.脊椎动物adj.有椎骨的,有脊椎的,脊椎动物"
tap,"n.轻打,活栓,水龙头vt.轻打,轻敲,敲打出,开发,分接,使流出,选择,攻螺纹于vi.轻叩,轻拍,轻声走n.<美>(用复数)熄灯号"
whereas," conj.然而,反之,鉴于,尽管,但是"
ample,"adj.充足的,丰富的"
improvement,"n.改进,进步"
swollen,adj.肿胀的
obscurity,"n.阴暗,朦胧,偏僻,含糊,隐匿,晦涩,身份低微"
overdue,adj.迟到的
patent,"n.专利权,执照,专利品adj.特许的,专利的,显著的,明白的,新奇的vt.取得...的专利权,请准专利"
appropriate,adj.适当的
preponderance,"n.优势,占优势"
property,"n.财产,所有物,所有权,性质,特性,(小)道具"
irritable,"adj.易怒的,急躁的"
fabulous,"adj.寓言中的,寓言般的,神话般的,传统上的,惊人的,难以置信的"
specialisation,n.<主英> =specialization
terminal,"n.终点站,终端,接线端adj.末期,每期的,每学期的"
landfill,"n.垃圾掩埋法,垃圾"
mountainous,"adj.多山的,山一般的,巨大的"
consolation,"n.(被)安慰,起安慰作用的人或事物"
retrenchment,"n.节省,删除"
hygiene,"n.卫生,卫生学"
contract,"n.合同,契约,婚约v.使缩短,感染,订约"
absolute,"adj.完全的,绝对的"
foresight,"n.远见,深谋远虑"
visual,"adj.看的,视觉的,形象的,栩栩如生的"
functional,adj.功能的
victimise,
penalty,"n.处罚,罚款"
earthwork,"n.[建]土方(工程),[军]土木工事"
insularity,"n.岛国性质(或状态),岛屿生活状况,与外界隔绝的生活状况,(思想,观点等的)偏狭,性僵化"
aridity,"n.干旱,乏味"
memorise,v.<主英> =memorize
retrieve,v.重新得到n.找回
inspiration,n.灵感
surge,"n.巨涌,汹涌,澎湃vi.汹涌,澎湃,振荡,滑脱,放松vt.使汹涌奔腾,急放"
nationality,"n.国籍,国家,部落,民族,民族性"
alleviate,"vt.使(痛苦等)易于忍受,减轻"
paramount,adj.极为重要的
variant,adj.不同的n.变量
wrestle,"n.摔跤,角力,扭斗vi.摔跤,格斗,斗争,斟酌vt.与(对手)摔跤,使劲搬动"
forfeit,"n.(因犯罪.过失.违约等而)丧失的东西,没收物,罚款vt.没收,丧失adj.丧失了的"
progressive,"n.改革论者,进步论者adj.前进的,(税收)累进的,进步的"
sophisticated,"adj.诡辩的,久经世故的"
quote,"vt.引用,引证,提供,提出,报(价)"
determination,"n.决心,果断"
qualitative,"adj.性质上的,定性的"
reckon,"vt.计算,总计,估计,猜想vi.数,计算,估计,依赖,料想"
dormancy,"n.睡眠,冬眠,隐匿"
slump,"n.消沉,衰退,(物价)暴跌v.失败,消沉,(物价)暴跌,跌落"
alternate,"adj.交替的,轮流的,预备的v.交替,轮流,改变"
collude,"vi.串通,勾结,共谋"
cease,"v.停止,终了"
onwards,"adv.向前地,在先地"
cultivate,"vt.培养,耕作"
inclined, 倾向...的
facilitate,"vt.(不以人作主语的)使容易,使便利,推动,帮助,使容易,促进"
halve,"vt.二等分,平分,分享,减半"
casualty,n.伤亡
tropospheric,
withstand,"vt.抵挡,经受住"
sinister,adj.险恶的
landmark,"n.(航海)陆标,地界标,里程碑,划时代的事,"
facility,"n.容易,简易,灵巧,熟练,便利,敏捷,设备,工具"
prospect,"n.景色,前景,前途,期望vi.寻找,勘探"
dictation,"n.听写,口述"
narrator,
constrain,"vt.强迫,抑制,拘束"
adjacent,"adj.邻近的,接近的"
rear,"n.后面,背后,后方,屁股adj.后面的,背面的,后方的vt.培养,饲养,举起,树立,栽种vi.高耸,暴跳,用后腿站起"
catastrophic,"adj.悲惨的,灾难的"
infiltrate,v.渗透
fundamental,"adj.基础的,基本的n.[pl.] 基本原则,基本原理"
emotive,"adj.使感动的,感情的,动感情的"
digestion,"n.消化力,领悟"
trail,"n.踪迹,痕迹,形迹vt.跟踪,追踪,拉,拖,拖拉,(指植物)蔓生,蔓延,(指人)没精打采地走"
impede,v.阻止
interpretation,"n.解释,阐明,口译,通译"
rigorous,"adj.严格的,严厉的,严酷的,严峻的"
pamper,v.纵容
scrape,"n.刮,擦,擦痕,刮擦声,困境vi.刮掉,擦掉,刮出刺耳声vt.刮,擦,擦伤,挖成"
haphazard,"n.偶然,偶然事件adj.偶然的,随便的adv.偶然地"
scenario,"n.想定 游戏的关,或是某一特定情节"
strike,"n.罢工,打击,殴打vt.打,撞击,冲击,罢工,打动,划燃,到达,侵袭vi.打,打击,罢工,抓,敲,搏动,打动,穿透"
deliberate,"adj.深思熟虑的,故意的,预有准备的v.商讨"
infant,"n.婴儿,幼儿adj.婴儿的,幼稚的"
whisper,"n.耳语,私语,密谈,谣传,飒飒的声音vi.耳语,密谈,飒飒地响vt.低声说"
instrumental,"adj.仪器的,器械的,乐器的"
recession,"n.撤回,退回,退后,工商业之衰退,不景气"
inflict,v.造成
discrepancy,"n.相差,差异,矛盾"
probation,"n.试用,见习,鉴定,查验,证明,察看,缓刑"
sufficient,"adj.充分的,足够的"
conference,"n.会议,讨论会,协商会"
prevailing,"adj.占优势的,主要的,流行的"
instance,"n.实例,建议,要求,情况,场合vt.举...为例,获得例证"
leadership,"n.领导能力,领导阶层"
disseminate,v.散布
maternal,"adj.母亲的,似母亲的,母性的"
consecutive,"adj.连续的,联贯的"
trim,"adj.整齐的,整洁的vt.整理,修整,装饰"
perennial,"adj.四季不断的,终年的,长期的,永久的,(植物)多年生的"
defect,"n.过失,缺点"
suitable,"adj.适当的,相配的"
subtract,"v.(～ from)减去,减"
magnificent,"adj.华丽的,高尚的,宏伟的"
hazardous,"adj.危险的,冒险的,碰运气的"
intensive,"adj.强烈的,精深的,透彻的,[语法]加强语气的n.加强器"
censor,"n.检查员vt.检查,审查"
solemn,"adj.庄严的,隆重的,严肃的"
orthodox,"adj.正统的,传统的,习惯的,保守的,东正教的"
gullible,adj.易受骗的
debate,"v.争论,辩论n.争论,辩论"
evil,"adj.邪恶的,带来麻烦的,不幸的,有害的,诽谤的n.邪恶,不幸,罪恶"
observation,"n.观察,观测,[pl.] 观察资料(或报告)"
stroke,"n.击,敲,报时的钟声,(网球等)一击,(划船等)一划,(绘画等)一笔,一次努力,打击vt.抚摸"
interfere,"vi.干涉,干预,妨碍,打扰"
newsletter,n.时事通讯
plagiarise,v.<主英>=plagiarize
flexibility,"n.弹性,适应性,机动性,挠性"
instill,vt.慢慢地灌输
plummet,"n.铅锤,重荷vi.垂直落下"
monologue,"n.独白,独脚戏"
succeed,"vi.(～ in) 成功v.继...之后,继任,继承,取得成功"
sentient,"adj.有感觉力的,有感情的,感觉灵敏的,意识到的n.有知觉力的人"
bare,"adj.赤裸的,无遮蔽的,空的vt.使赤裸,露出"
split,"v.劈开,(使)裂开,分裂,分离n.裂开,裂口,裂痕"
glide,"v.滑行,悄悄地走,(时间)消逝,滑翔n.滑行,滑翔,滑移,滑音"
execution,"n.实行,完成,执行,死刑,制作,(武器等的)破坏效果,杀伤力"
neutral,"n.中立者,中立国,非彩色,齿轮的空档adj.中立的,中立国的,中性的,无确定性质的,(颜色等)不确定的"
inescapable,"adj.逃不掉的,不可避免的"
rickety,"adj.[医]患佝偻病的,驼背的,摇摆的"
indicator,"n.指示器,[化]指示剂"
tendency,"n.趋向,倾向"
dynamic,"adj.动力的,动力学的,动态的"
photosynthesis,n.光合作用
sculpture,"n.雕刻,雕刻品,雕塑,雕塑品,[地理] 刻蚀v.雕刻,雕塑,刻蚀"
pasture,"n.牧地,草原,牧场v.放牧,牧(牛、羊)等,吃草"
flip,"vt.掷,弹,轻击,(用鞭等)抽打,空翻vi.用指轻弹,抽打,翻动书页(或纸张),蹦跳n.抛,弹,筋斗adj.无礼的,冒失的,轻率的"
subordinate,"adj.次要的,从属的,下级的n.下属v.服从"
suicidal,"adj.自杀的,自毁的,自取灭亡的"
begrudge,"vt.嫉妒,羡慕,舍不得给"
tuition,n.学费
violation,"n.违反,违背,妨碍,侵害,[体]违例,强奸"
offensive,"adj.讨厌的,无礼的,攻击性的n.进攻,攻势"
crystal,"adj.结晶状的n.水晶,水晶饰品,结晶,晶体"
allergic,"adj.[医]过敏的,患过敏症的"
meagre,"adj.瘦的,贫弱的"
elastic,adj.弹性的
offspring,"n.(单复数同形)儿女,子孙,后代,产物"
dazzle,"v.(使)眼花,眩耀n.耀眼"
flustered,
ironically,"adv.说反话地,讽刺地"
permission,"n.许可,允许"
intense,"adj.强烈的,剧烈的,热切的,热情的,激烈的"
fortunately,adv.幸运地
pavement,"n.人行道,公路"
capsize,v.(特指船)倾覆
generic,"adj.[生物]属的,类的,一般的,普通的,非特殊的"
contempt,"n.轻视,轻蔑,耻辱,不尊敬,[律]藐视法庭(或国会)"
aptitude,"n.恰当,智能,聪明,自然倾向"
miscellaneous,"adj.各色各样混在一起,混杂的,多才多艺的"
industrialisation,n.工业化
methodology,"n.方法学,方法论"
remuneration,n.报酬
upgrade,"n.升级,上升,上坡adv.往上vt.使升级,提升,改良品种"
preserve,"vt.保护,保持,保存,保藏vi.做蜜饯,禁猎n.蜜饯,果酱,禁猎地,禁区,防护物"
verification,"n.确认,查证,作证,[律]诉状结尾的举证声明"
nickel,"n.[化]镍,镍币,(美国和加拿大的)五分镍币vt.镀镍于"
alienate,v.疏远
decisive,adj.决定性的
germinate,"v.发芽,发育,使生长"
survival,"n.生存,幸存,残存,幸存者,残存物"
renowned,"adj.有名的,有声誉的"
alert,"adj.提防的,警惕的n.警惕,警报"
undergo,"vt.经历,遭受,忍受"
discomfort,"n.不便之处,不适"
variability,n.可变性
malevolent,
scamper,v.奔跳n.奔跑
utterance,"n.意见,说话,发表,说话的方式,死"
opulence,n.富裕
inequality,"n.不平等,不同,不等式,不平均,(表面)不平坦(用复数)"
reservoir,"n.水库,蓄水池"
alight,"vi.落下adj.点着的,发亮的"
throughout," prep.遍及,贯穿adv.到处,始终,全部"
devastating,"adj.破坏性的,全然的"
pragmatic,"adj.国事的,团体事务的,实际的,注重实效的"
outdo,v.胜过
malleable,"adj.有延展性的,可锻的"
gorge,"n.咽喉,胃,暴食,山峡,峡谷,障碍物v.狼吞虎咽,塞饱"
spectrum,"n.光,光谱,型谱 频谱"
philosophy,"n.哲学,哲学体系,达观,冷静"
inventive,"adj.善于创造的,发明的"
reverse,"n.相反,背面,反面,倒退adj.相反的,倒转的,颠倒的vt.颠倒,倒转"
therapy,n.治疗
imitate,"vt.模仿,仿效,仿制,仿造v.模仿"
detect,"vt.察觉,发觉,侦查,探测v.发现"
cluster,"n.串,丛;vi.丛生,成群"
animation,"n.活泼,有生气,动画"
clash,"n.冲突,撞击声,抵触v.(使)发出撞击声,猛撞,冲突"
triumphant,"adj.胜利的,成功的,狂欢的,洋洋得意的"
mainstream,n.主流
refugee,"n.难民,流亡者"
reunite,v.(使)再结合
spawn,"n.(鱼等的)卵,(植物)菌丝,产物v.产卵"
payable,"adj.可付的,应付的"
indigenous,adj.本土的
tramp,"v.重步行走,踏,践,践踏"
reproduce,"v.繁殖,再生,复制,使...在脑海中重现"
sensitive,"adj.敏感的,灵敏的,感光的"
lull,"n.暂停,麻痹vt.使平静,哄骗,使安静vi.变平静"
exceed,"vt.超越,胜过vi.超过其他"
whip,"n.鞭子,车夫v.鞭打,抽打,突然移动"
proceed,"vi.进行,继续下去,发生"
ration,"n.定量,配给量,定量配给v.配给,分发,实行定量配给"
suspect,"n.嫌疑犯adj.令人怀疑的,不可信的,可疑的v.怀疑,猜想,对...有所觉察"
autobiography,n.自传
discharge,"vt.卸下,放出,清偿(债务),履行(义务),解雇,开(炮),放(枪),射(箭)vi.卸货,流注n.卸货,流出,放电"
fabrication,"n.制作,构成,伪造物,装配工"
circumscribe,"vt.在...周围画线,限制"
subterranean,adj.地下的
retirement,"n.退休,引退,退却,撤退"
campaign,"n.[军]战役,(政治或商业性)活动,竞选运动vi.参加活动,从事活动,作战"
inexperienced,"adj.无经验的,不熟练的"
obstacle,"n.障碍,妨害物"
standardise,
gadget,"n.小器具,小配件,小玩意,诡计"
feasible,"adj.可行的,切实可行的"
elucidate,"vt.阐明,说明"
tribute,"n.贡品,礼物,颂词,殷勤,贡物"
inalienable,"adj.(指权利等)不能让与的,不能剥夺的"
constitution,"n.宪法,构造,体质,体格,国体,章程,惯例"
surpass,"vt.超越,胜过"
beneficial,"adj.有益的,受益的,[法律]有使用权的adj.有益的,得利的,[律]有使用权的"
turbulence,"n.骚乱,动荡,(液体或气体的)紊乱"
inhibit," 抑制,约束,[化][医]抑制"
scorching,"adj.灼热的,激烈的"
genuine,"adj.真实的,真正的,诚恳的"
ambiguity,"n.含糊,不明确"
contaminate,v.污染
cascade,"n.小瀑布,喷流vi.成瀑布落下n.层叠"
prehistoric,"adj.史前的,陈旧的"
recruitment,"n.征募新兵,补充"
headquarters,"n.司令部,指挥部,总部"
instruct,"vt.教,教导,命令,指示,通知"
repetitive,"adj.重复的,反复性的"
legitimate,"adj.合法的,合理的,正统的v.合法"
mount,"n.乘用马,衬纸,山,装配vi.乘马,爬上,增长vt.爬上,使上马,装上,设置,安放,制作...的标本,上演"
anatomy,"n.剖析,解剖学"
predatory,"adj.掠夺的,食肉的"
protrude,v.突出
astonishing,adj.可惊异的
insuperable,"adj.不能制胜的,不能克服的"
unconquerable,"adj.不可征服的,克服不了的,压制不了的"
generate,"vt.产生,发生"
junction,"n.连接,接合,交叉点,汇合处"
moderation,
mite,"n.微小的东西,<口>小孩,力所能及的微小贡献"
speculation,"n.思索,做投机买卖"
hasty,"adj.匆忙的,草率的"
antidote,"n.[医]解毒剂,矫正方法"
accomplish,"vt.完成,达到,实现"
pessimistic,"adj.悲观的,厌世的"
seasonal,"adj.季节的,季节性的,周期性的"
pharmacy,"n.药房,药剂学,配药业,制药业,一批备用药品"
imitation,"n.模仿,效法,冒充,赝品,仿造物"
avail,"vi.有益于,有帮助,有用,有利vt.有利于n.效用,利益"
incur,v.招致
notorious,adj.声名狼籍的
recruit,"n.新兵,新分子,新会员vt.使恢复,补充,征募vi.征募新兵,复原"
ailment,"n.疾病(尤指微恙),不宁,不安"
variation,"n.变更,变化,变异,变种,[音]变奏,变调"
liberate,"v.解放,释放"
undertake,"vt.承担,担任,许诺,保证v.采取"
longevity,"n.长命,寿命,供职期限,资历"
spectator,n.观众(指比赛或表演)
interval,"n.间隔,距离,幕间休息n.时间间隔"
inherent,"adj.固有的,内在的,与生俱来的"
fluctuate,"vi.变动,波动,涨落,上下,动摇vt.使动摇,使波动,使起伏"
autonomy,n.自治
soluble,"adj.可溶的,可溶解的"
abound,"vi.多,大量存在,富于,充满"
depressed,"adj.沮丧的,降低的"
banner,"n.旗帜,横幅,标语"
abide,"vi.坚持,遵守;vt.忍受,容忍"
miraculous,"adj.奇迹的,不可思议的"
undermine,v.破坏
pirate,"n.海盗,盗印者,盗版者,侵犯专利权者vt.盗印,盗版,掠夺,翻印vi.做海盗"
concede,"vt.勉强,承认,退让vi.让步"
tease,"n.揶揄,戏弄,逗惹vt.取笑,逗恼,奚落,欺负,嘲弄,取笑,强求,梳理"
dredge,"n.挖泥机,挖泥船,捞网v.挖掘,疏浚,捞取,撒在食物上"
fabric,"n.织品,织物,布,结构,建筑物,构造"
consumption,"n.消费,消费量,肺病"
heartless,"adj.无情的,无勇气的"
revolve,"v.(使)旋转,考虑,循环出现"
thereby,"adv.因此,从而,在那方面,在那附近"
astound,"vt.使惊骇,使大吃一惊"
execute,"vt.执行,实行,完成,处死,制成,[律]经签名盖章等手续使(证书)生效"
impair,v.削弱
magma,"n.(有机物或矿物的)稀糊,岩浆,[药]乳浆剂"
swivel,v.旋转
boom,"n.繁荣,隆隆声v.发隆隆声,兴隆,大事宣传"
unpromising,"adj.无前途的,没有希望的"
acquire,"vt.获得,学到"
despair,"n.绝望,失望,令人失望的人(事物)vi.绝望"
elevate,"vt.举起,提拔,振奋,提升...的职位"
hurl,"n.<俚>[棒球]用力或猛烈的投掷vt.用力投掷,愤慨地说出,丢下,推翻vi.猛投,猛掷"
elaboration,"n.苦心经营,苦心经营的结果,详尽的细节"
thermal,"adj.热的,热量的"
ensue,"vi.跟着发生,继起vt.(基督教<<圣经>>用语)追求"
gallop,"n.疾驰,飞奔vi.飞驰,急速进行,急急忙忙地说vt.使飞跑,迅速运输"
productive,"adj.生产性的,生产的,能产的,多产的"
downturn,n.低迷时期
endure,"v.耐久,忍耐"
disintegration,n.瓦解
nuclear,"adj.[核]核子的,原子能的,核的,中心的"
sponsor,"n.发起人,主办者,保证人,主办人vt.发起,主办v.赞助"
calcium,n.[化]钙(元素符号Ca)
interplay,v.相互影响n.相互影响
tide,"n.潮,潮汐,潮流,趋势"
precipitation,n.仓促
accidental,"adj.意外的,非主要的,附属的n.非本质属性,次要方面"
indefinitely,adv.不确定地
deduce,"vt.推论,演绎出"
await,vt.等候
vigorous,"adj.精力旺盛的,有力的,健壮的"
glacier,n.冰河
altitude,"n.(尤指海拔)高度,高处(海拔甚高的地方),(等级,地位等)高等"
harvest,"n.收获,收成,结果,成果v.收获,收割"
venue,"n.犯罪地点,审判地,集合地点,会议地点,比赛地点,管辖地"
dislodge,v.驱逐
equator,"n.赤道,赤道似的圈.圆"
undoubtedly,"adv.无庸置疑地,的确地"
unique,"adj.唯一的,独特的"
appliance,"n.用具,器具"
credibility,n.可信性
exhaust,"vt.用尽,耗尽,抽完,使精疲力尽vi.排气n.排气,排气装置adj.用不完的,不会枯竭的"
germ,"n.微生物,细菌"
reflective,adj.沉思的
scout,"n.侦察,搜索,侦察员,侦察机vi.守候,侦察,巡视,嘲笑vt.侦察,跟踪,觅得,监视,轻蔑地拒绝(建议,意见等)"
churn,"n.搅乳器v.搅拌,搅动"
domesticate,"vt.驯养,使安于土地,教化"
coincidence,"n.一致,相合,同时发生或同时存在(尤指偶然)的事"
necessity,"n.必要性,需要,(常 pl.) 必需品"
ongoing,adj.正在进行的
minister,"n.部长,大臣"
remains,"n.残余,遗迹,遗体"
particle,"n.粒子,点,极小量,微粒,质点,小品词,语气"
usher,"n.引座员,招待员,传达员,前驱vt.引导,展示vi.作招待员"
quiver,"n.震动,颤抖,箭袋,箭袋中的箭vi.颤抖,振动,射中vt.使颤动adj.敏捷的"
seclusion,n.隔离
revolution,"n.革命,旋转"
preconception,"n.预想,偏见"
jungle,"n.丛林,生死关头"
identify,"vt.识别,鉴别,把...和...看成一样v.确定"
limp,"adj.柔软的,易曲的vi.跛行"
manifestation,"n.显示,表现,示威运动"
insulation,n.绝缘
tedious,"adj.单调乏味的,沉闷的,冗长乏味的"
underestimate,"vt.低估,看轻n.低估"
autocratic,"adj.独裁的,专制的"
prevalence,n.流行
democratic,"adj.民主的,民主主义的,民主政体的,平民的"
multiply,"v.繁殖,乘,增加"
cargo,"n.船货,(车、船、飞机等运输的)货物"
subsequent,"adj.后来的,并发的"
abode,"n.住所,住处"
substitute,"n.代用品,代替者,替代品v.代替,替换,替代"
inadequate,"adj.不充分的,不适当的"
envious,"adj.嫉妒的,羡慕的"
stagnate,"v.(使)淤塞,(使)停滞,(使)沉滞,(使)变萧条"
precondition,n.前提v.预处理
superiority,"n.优越,高傲"
welfare,"n.福利,安宁,幸福,福利事业,社会安全adj.福利的"
characteristic," ally//adv.表示特adj.特有的,表示绦缘"
souvenir,n.纪念品
comparable,"adj.可比较的,比得上的"
scrub,"v.洗擦,擦净,使(气体)净化,擦洗n.洗擦,擦净,擦洗者,矮树,灌木,丛林地,矮小的人(或动物)adj.次等的,矮小的,临时凑合的"
adhesive,"adj.带粘性的,胶粘;n.粘合剂"
demolish,"vt.毁坏,破坏,推翻,粉碎"
stipulate,"v.规定,保证"
up-to-date,
tricky,"adj.狡猾的,机警的"
barrier,"n.(阻碍通道的)障碍物,栅栏,屏障"
grand,"adj.盛大的,豪华的,重大的,主要的,极重要的"
antipode,n.正相反的事物
wholesome,"adj.卫生的,有益的,健康的,有益健康的"
prevalent,"adj.普遍的,流行的"
enthusiasm,"n.狂热,热心,积极性,激发热情的事物"
desirable,"adj.值得要的,合意的,令人想要的,悦人心意的"
contingency,"n.偶然,可能性,意外事故,可能发生的附带事件"
estimate,"v.估计,估价,评估n.估计,估价,评估"
demographic,adj.人口统计学的
advisable,"adj.可取的,明智的"
hemisphere,n.半球
reasonable,"adj.合理的,有道理的,通情达理的,讲道理的"
sustenance,"n.食物,生计,(受)支持"
signpost,n.路标
secrete,"vt.隐秘,隐藏,隐匿,[生理]分泌"
lever,"n.杆,杠杆,控制杆v.抬起"
saturate,"v.使饱和,浸透,使充满"
fertiliser,n.<主英>=fertilizer
proponent,"n.建议者,支持者,[律]提出认证遗嘱者"
rectangle,"n.长方形,矩形"
extensive,"adj.广大的,广阔的,广泛的"
genetic,"adj.遗传的,起源的"
specimen,"n.范例,标本,样品,样本,待试验物"
relentless,adj.无情的
awareness,"n.知道,晓得"
assumption,"n.假定,设想,担任,承当,假装,作态,圣母升天"
pedigree,"n.血统,家谱"
biography,n.传记
unconscious,"adj.不省人事,未发觉的,无意识的"
distortion,"n.扭曲,变形,曲解,失真"
flourishing,"adj.繁茂的,繁荣的,欣欣向荣的"
unemployment,"n.失业,失业人数"
extension,"n.延长,扩充,范围n.扩展名adj.[逻]外延的,客观现实的"
conditioner,"n.调节者,调节装置"
contrary,"adj.相反的,逆的,<口语>执拗n.反面adv.相反地"
decompression,"n.减压,解压"
amenable,"adj.应服从的,有服从义务的,有责任的"
dietary,"adj.饭食的n.规定的食物,饮食之规定"
sibling,"n.兄弟,姐妹,同胞,同属"
abolish,"vt.废止,废除(法律、制度、习俗等)"
gigantic,"adj.巨人般的,巨大的"
motivation,n.动机
mixture,"n.混合,混合物,混合剂"
launch,"n.下水,汽艇,发射,发行,投放市场vt.使(船)下水,掷(标枪等),发射(导弹、火箭等),开办,发动,发起vi.起飞,下水,投入,开始"
provision,"n.供应,(一批)供应品,预备,防备,规定"
inborn,"adj.天生的,生来的,先天的"
brittle,"adj.易碎的,脆弱的"
bleach,"v.漂白,变白"
heighten,"v.提高,升高"
feminism,n.女权运动
thoughtful,"adj.深思的,有思想性的,体贴的,关切的"
recapture,"n.取回,夺回,政府对公司超额收益或利润的征收vt.拿回,夺回,再体验,政府征收再经历,再体验"
