keep in touch with,与...保持联络
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
heart attack,心脏病发作
circulate,"v. (使)流通, (使)循环, (使)传播"
stroke,"n. 笔划, 打, 中风, 抚, 摩, 冲程
vt. 划尾桨, 抚, 摩, 划去
[计] 笔划"
blood sugar,[医] 血糖
diabetes,"n. 糖尿病, 多尿症
[医] 糖尿病; 多尿症"
abnormal,"a. 反常的, 不规则的, 变态的, 畸形的
n. 畸形的人"
mould,"霉菌，模具, 霉菌；模型"
astonish,vt. 使惊讶
try out,"na. (采用前)严密试验；筛矿；量(金属的)纯度
[网络] 试用；尝试；考验"
application,"n. 应用, 申请, 志愿书, 应用程序
[计] 应用, 应用程序"
unable,"a. 不能的, 不会的
[法] 无能力的, 无资格的, 没有办法的"
effective,"a. 有效的, 有力的, 实际的
n. 有生力量"
approval,"n. 赞成, 批准
[化] 核准"
accelerate,"v. 加速, 促进"
mass,"n. 块, 大多数, 质量, 大量, 群众, 弥撒
a. 群众的, 大规模的, 整个的
vt. 使集合, 集中
vi. 聚集"
sickness,"n. 疾病, 不健康, 呕吐
[医] 病"
symptom,"n. 症状, 征候, 征兆
[医] 症状"
bleed,"vi. 流血, 悲痛, 渗出
vt. 使出血, 榨取"
wear somebody out, 使疲乏，使筋疲力尽，使厌烦
reasonable,adj. 合理的，公道的；通情达理的
outcome,n. 结果，结局；成果
applaud,"v. 拍手喝彩, 称赞, 赞同"
arrangement,"n. 排列, 整齐, 安排
[计] 排列"
dull,"a. 钝的, 无趣的, 呆滞的, 阴暗的
vt. 使迟钝, 使阴暗, 缓和
vi. 变迟钝, 减少"
pressure point, （身体上的）压迫点
sword,[网络] 英语常用同义词辨析；熟人就出声
let out,[网络] 阿尔都塞思想的全部整体
swell,"n. 增大, 隆起的部分, 巨浪, 肿胀
a. 优秀的, 一流的
vi. 增大, 膨胀, 肿胀, 增强, 骄傲
vt. 使膨胀, 使增大, 使上涨, 使骄傲"
acupuncturist,n. 针灸医生
stainless,"a. 无瑕疵的, 不锈的
[机] 不绣的, 污染的"
sharp,[网络] 夏普；日本夏普；真切得
complex,"n. 综合体, 情结, 络合物
a. 复杂的, 组合的"
pulse,"n. 脉冲, 脉搏, 情绪, 意向, 拍子, 豆类
vi. 跳动, 脉跳
vt. 使跳动, 用脉冲调制
[计] 脉冲"
heartbeat,[医] 心搏
wrist,"n. 手腕, 腕关节
[医] 腕"
organ,"n. 风琴, 器官, 元件, 机构, 机关
[电] 风琴"
alcoholic,"adj. 酒精的，含酒精的
n. 酒鬼，酗酒者"
addicted,"a. 沉溺于...的, 无法摆脱(某种嗜好)的
[法] 嗜, 好, 惯于"
theory,"n. 理论, 学说, 原理, 意见, 推测
[化] 理论"
phenomenon,"n. 现象, 迹象, 表现, 奇迹, 奇才
[化] 现象"
relate,"vt. 讲, 叙述, 使互相关联
vi. 有关, 符合, 相处得好"
subscribe,"vi. 订阅；捐款；认购；赞成；签署
vt. 签署；赞成；捐助"
brand,[网络] 布兰多
source,"n. 来源, 水源, 根源, 原始资料, 源
[计] 来源, 源程序"
turn to somebody,无
turn to something,[网络] 转向某事
click,"n. 咔哒声, 啪嗒声
vi. 作咔哒声
vt. 使发咔哒声
[计] 单击"
abundant,"a. 丰富的, 充分的, 大量的"
command,[网络] 命令
claim,叫喊
assumption,"n. 假定, 自负, 担任, 假装
[经] 假定, 承担"
statistics,"n. 统计学, 统计资料
[计] 统计信息"
bond,"n. 捆绑物, 结合, 债券, 契约, 粘合剂, 保证人, 键, 关栈保留
vt. 存入关栈, 使黏合
vi. 结合"
diverse,"a. 不同的, 变化多的"
what is more,而且
correspond,"vi. 符合, 通信, 相当
[法] 符合, 一致, 相当"
globe,"n. 球, 球状物, 地球仪, 天体
v. (使)成球状"
avenue,"n. 大街, 途径, 林荫路"
address,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
[计] 地址, 寻址"
evaluate,"vt. 评估, 评价, 赋值"
accuracy,"n. 精确, 正确
[计] 准确度"
up to date,"最近的, 最新的
[经] 直到最近的, 现代的"
weakness,n. 弱点；软弱；嗜好
false,"a. 错误的, 虚伪的, 假的, 不老实的
adv. 不准确地, 欺诈地"
educator,n. 教育家
reference,"n. 参考, 索引, 参照
vt. 给...加上参考资料
vt. 引用
vi. 引用
[计] 引用"
booth,"n. 亭, 摊棚
[经] 货摊, 电话间"
drop out,"掉出, 退出, 离队
[机] 落砂"
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
conference,"n. 会议
[经] 会议, 讨论会, 协商会"
explicit,"a. 详述的, 清楚的, 直言的"
alarm,"n. 惊恐, 警报, 警钟
vt. 使惊恐, 警告
[计] 报警信号"
lifetime, 使用期限，寿命
competence,"n. 胜任, 职称, 能力
[医] 能力, 活性"
inventor,"n. 发明家
[法] 发明人, 发明家, 创造者"
bulb,"n. 球茎, 电灯泡
[医] 球, 鳞茎, 球茎"
abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
appointment,"n. 约会, 委任的职位, 委派
[经] 任命, 派, 指定"
sample,"n. 样品, 范例, 样本
vt. 抽样, 尝试
[计] 示例, 字样"
terminal,"n. 终端机, 终点, 末端, 极限, 终点站
a. 终点的, 定期的, 致死的, 结尾的, 末端的, 晚期的
[计] 终端; 终端设备"
search engine,(指关键字搜寻演算法或是指包括搜寻演算法的套装软件)
directory,"n. 目录, 工商名录, 指南
[计] 目录"
classify,"vt. 分类, 归类, 分等
[建] 分类, 分级, 分粒"
type," 表示：“典型”,“范例”,“样板”,“类型”：prototype; “版”,“铅字”,“印刷”：ferrotype"
web,[网络] 蜘蛛网；换为
qualification,"n. 资格, 条件, 限制
[计] 限定"
comb,[网络] 梳子
specific,"a. 特殊的, 特定的；明确的；详细的；[药] 具有特效的
n. 特性；细节；特效药"
category,"n. 种类, 类项
[计] 分类"
bunch,"n. 串, 束
[医] 骨肿块(马)"
relevant,"a. 有关联的, 有关系的, 适当的, 相应的
[法] 有关的, 相关的"
bother,"vt. 烦扰, 迷惑
vi. 烦恼, 操心
n. 麻烦, 纠纷, 讨厌的人"
correction,"n. 订正, 改正, 改正的地方
[化] 校正"
plus,"prep. 加上, 加, 外加
a. 正的, 附加的
n. 正号, 加号, 附加额, 正数, 增益
[计] 正差"
sparrow,n. 麻雀
minus,"n. 负号, 不足
a. 减的, 负的, 阴性的
prep. 减, 缺
[计] 负差"
outline,"n. 大纲, 轮廓, 概要
vt. 描画轮廓, 描述要点
n. 大纲, 分级, 轮廓
[计] 大纲, 分级, 轮廓"
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿
[经] 承认, 答谢, 收到的通知"
route,"n. 路径, 途径, 路线
vt. 确定路线, 按规定路线发送
[计] 传递, 路由设定程序"
drop off,"na. 同“drop”；睡着；(客)(一一)散去；衰落
[网络] 减少；减弱；下车"
rail,"n. 横杆, 围栏, 栏杆, 铁轨, 扶手, 秧鸡
vt. 以横木围栏, 给...铺铁轨
vi. 责骂, 抱怨"
outer,"a. 外部的, 外面的, 在外的, 远离中心的
[机] 外部的, 外面的, 外侧的"
horse-drawn,"adj. 马拉的
n. 马拉的
[网络] 车被马拉所以是被动语态；雪上马车；抽签选出的马匹"
tram,"n. 电车轨道；煤车
vt. 用煤车运载
vi. 乘电车"
cab,"n. 出租车；计程车；的士；（公共汽车、火车、卡车的）驾驶室
abbr. 〈美(=Civil Aeronautics Board)民用航空局
v. 作弊
[网络] 醋酸丁酸纤维素(cellulose acetate butyrate)；出租汽车；出租马车"
convey,"vt. 传达, 运输, 转让
[经] 转让(财产等), 搬运"
unfortunately,"adv. 恐怕, 不幸的是"
unbelievable,a. 难以置信的
traffic jam,"塞车, 交通阻塞"
metropolitan,"n. 大都市居民, 都主教, 宗主国的公民
a. 大都市的, 都主教区的, 宗主国的"
via,"prep. 取道，通过；经由
n. (Via)人名；(意、孟)维亚"
postpone,"vt. 延迟, 使延期, 缓办, 搁延
vi. 延缓, 延缓发作"
tunnel,"n. 隧道, 地下道
vi. 挖隧道
vt. 掘隧道于"
section,"n. 区段, 部分, 区域, 节, 截面, 处, 科, 区, 扇区
vt. 把...分段, 把...切片
vi. 被切成片
[计] 扇区"
link up," （使）连接, （使）结合, （使）合并; 贯通; 连贯; 沟通"
interval,"n. 间隔, 距离, 间歇, 间隙
[计] 时间间隔"
choke,"vt. 窒息, 阻塞, 噎, 抑制
vi. 窒息, 阻塞, 噎
n. 窒息, 噎, 阻气门"
undertake,"vt. 试图, 从事, 保证, 承担, 同意, 接受
[化] 承包; 承担"
ownership,n. 所有权；物主身份
authority,"n. 权力, 当权者, 当局, 权威, 专家
[经] 代理权, 授权, 权威"
architect,"n. 建筑师, 设计者, 缔造者"
prime,"n. 最佳部分, 初期, 全盛期
a. 主要的, 最初的, 根本的
v. 加油启动, 灌注, 填装"
minister,"n. 部长, 牧师, 公使
vi. 服侍, 救助, 主持宗教仪式"
Prime Minister,"总理, 首相
[法] 总理, 首相, 内阁总理"
enlarge,"vt. 扩大, 增大
vi. 扩大, 详述"
user-friendly,[电] 使用者亲和性
anniversary,n. 周年纪念
subway,"n. 地铁, 地道
vi. 乘地铁"
platform,"n. 平台；月台, 站台；坛；讲台"
growth,"n. 生长, 栽培, 增长
[计] 等比级数"
put through,"na. 经受；测试；试验；使…通过
[网络] 接通；完成；把……接通"
decide on,"决定,选定,确定…"
decide upon,对…作出决定[决议]
put off,"na. 延期；辩解
[网络] 推迟；拖延；推延"
turn up,"v. 朝上翻；出现
[网络] 开大；找到；露面"
enquiry,"n. 询问
[经] 询价, 询盘"
fill in,"na. 填充；填写；同“fill”
[网络] 填满；填入；过门"
handful,"n. 少数, 一把, 棘手事"
split,"n. 劈开, 裂片, 裂缝, 分裂, 派系, 派别, 柳条
a. 劈开的
vi. 分离, 分开, 裂开, 被劈开
vt. 劈开, 切开, 使分裂, 使分离
[计] 拆分"
annual,"n. 年刊, 年报
a. 每年的, 一年一次的, 全年的, 一年生的"
receptionist,n. 接待员
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
reservation,"n. 保留, 预定, 保留品, 保留地
[经] 预定, 预约, 权益保留"
newsflash,"电讯,简讯,新闻短讯"
speed up,"加速
[经] 加速"
timetable,时间表
departure,"n. 离开, 出发, 违背, 偏离
[经] 启运"
ferry,"n. 渡船, 渡口
[法] 摆渡营业权, 轮渡"
port,"n. 港口, 埠, 舱门, 避风港, 左舷, 炮眼, 姿势, 意义
vt. 左转舵, 持(枪)
vi. 左转舵
[计] 端口, 移植"
punctual,"a. 准时的, 守时的, 点状的, 中肯的
[经] 准时的, 不误期的, 准时"
arise,"vi. 站立, 出现, 起来"
cyclist,n. 骑脚踏车的人
pedestrian,"n. 行人, 步行者
a. 人行的, 徒步的, 呆板的, 通俗的, 平淡无奇的"
minibus,"n. 小型公共汽车,小巴士"
aggressive,"a. 侵略的, 挑畔的, 进取的
[法] 侵略的, 爱挑衅的, 行为过火的"
lane,[网络] 局域网仿真技术
crash,"n. 哗啦声, 猛撞, 崩溃, 粗布
v. 撞碎, 破碎, (使)...坠毁
a. 速成的
[计] 崩溃"
fine,"n. 罚款, 罚金, 晴天, 精细
a. 好的, 晴朗的, 健康的, 细小的, 精细的
vt. 罚款, 精炼, 澄清
vi. 变清, 变细
adv. 很好
[计] 精细"
drunk,"a. 喝醉了的
drink的过去式"
violate,"vt. 违犯, 亵渎, 违反, 侵犯, 妨碍
[经] 违犯, 违反"
beer,[网络] 铍-铒；阳痿早泄成为的人
turning,"n. 旋转, 转弯处, 车削工作
[化] 车削"
load,"n. 负载，负荷；工作量；装载量
vi. [力] 加载；装载；装货
vt. 使担负；装填"
brake,"n. 刹车, 阻碍, 丛林
v. 刹车"
tyre,"n. 轮胎
vt. 装轮胎于"
crossing,"n. 横越, 横渡, 交叉点, 渡口
[经] 划线"
