abatement,n.消除
antipathy,"n.憎恶,反感"
antiquarianism,"n.古物研究,好古癖"
antiquated,adj.陈旧的
antique,"n.古物,古董adj.古时的,过时的"
antiquity,"n.古代,古老,古代的遗物"
antiseptic,"adj.防腐的,杀菌的,消过毒的n.防腐剂,杀菌剂"
antithesis,n.对立面
antithetical,"adj.正相反的,对立的"
apathetic,"adj.缺乏兴趣的,缺乏感情的,无动于衷的"
apex,n.顶点
aphorism,"n.格言,警语,谚语"
appall,"vt.使胆寒,使惊骇"
apparition,"n.离奇出现的东西,(尤指)鬼怪,幽灵,幻影"
appease,"vt.平息,安抚,缓和,使满足"
appetizing,"adj.美味可口的,促进食欲的"
applaud,"v.拍手喝彩,称赞,赞同"
applicability,"n.适用性,适应性"
apply,"vt.申请,应用vi.申请,适用"
apportion,v.分配
apposite,adj.适当的
appreciate,"vt.赏识,鉴赏,感激vi.增值,涨价"
appreciative," a欣赏的,有欣赏力的,表示感激的,承认有价值的"
apprehensive,adj.有理解力的
apprise,vt.通知
approach,"n.接近,逼近,走进,方法,步骤,途径,通路vt.接近,动手处理vi.靠近"
approaching,
approbation,"n.官方批准,认可,嘉许"
appropriate,adj.适当的
approximate,"adj.近似的,大约的v.近似,接近,接近,约计"
apropos,"adj.adv.适当地,恰好的"
aptitude,"n.恰当,智能,聪明,自然倾向"
aquatic,"adj.水的,水上的,水生的,水栖的"
arable,"adj.可耕的,适于耕种的"
arbiter,"n.仲裁者,判优器"
arbitrary,"adj.任意的,武断的,独裁的,专断的"
arboreal,"adj.树的,乔木的,树栖的"
arcane,"adj.神秘的,不可思议的"
archaeological,"adj.考古学的,考古学上的"
archaic,"adj.古老的,古代的,陈旧的"
archetypally,
architect,n.建筑师
architectural,"adj.建筑上的,建筑学的"
archive,vt.存档n.档案文件
arduous,"adj.费劲的,辛勤的,险峻的"
argumentative,"adj.好辩的,争论的"
arid,"adj.干旱的,贫瘠的(土地等),无趣的,沉闷的"
aristocratic,"adj.贵族的,贵族化的,贵族政治的"
armored,"adj.披甲的,装甲的"
aromatic,adj.芬芳的
arresting,"adj.引人注意的,可观的"
arrogant,"adj.傲慢的,自大的"
articulate,"adj.有关节的,发音清晰的vt.用关节连接,接合,清晰明白地说"
artisan,"n.工匠,技工"
artistry,n.艺术之性质
artless,adj.朴实的
ascent,"n.上升,(地位,声望等的)提高,攀登,上坡路"
ascetic,"n.禁欲者,苦行修道者adj.修道的,苦行的"
asceticism,"n.禁欲主义,苦行"
ascribe,"vt.归因于,归咎于"
aseptic,n.防腐剂adj.无菌的
aspect,"n.样子,外表,面貌,(问题等的)方面"
aspen,"n.白杨adj.白杨的,类似白杨的,颤抖的"
aspiration,"n.热望,渴望"
aspiring,"adj.热心的,积极的,有抱负的"
assail,"vt.攻击,质问"
assertion,"n.主张,断言,声明"
assertive,"adj.断定的,过分自信的"
assessment,"n.(为征税对财产所作的)估价,被估定的金额"
assiduous,"adj.勤勉的,刻苦的"
assimilate,v.吸收
assorted,adj.多样混合的v.分类配全
assume,"vt.假定,设想,采取,呈现"
assuming,"adj.傲慢的,不逊的,僭越的"
assure,"vt.断然地说,确告,保证,担保"
assuredness,"n.确信,确实,自信"
astigmatic,"adj.乱视的,散光的,纠正散光的"
astound,"vt.使惊骇,使大吃一惊"
astounding,adj.令人惊骇的
astray,"adv.迷途地,入歧途地"
astronomical,"adj.天文学的,庞大无法估计的n.天文"
astute,"adj.机敏的,狡猾的"
asunder,"adv.分离,成碎片"
asymmetric,"adj.不均匀的,不对称的"
atheist,n.无神论者
atomic,"adj.原子的,原子能的,微粒子的"
atonement,"n.赎罪,弥补"
atrocity,"n.残暴,暴行,凶恶"
atrophy,"n.[医]萎缩,萎缩症"
attenuation,"n.变薄,稀薄化,变细,衰减"
attest,v.证明
attribute,"n.属性,品质,特征,加于,归结于"
attrition,"n.磨擦,磨损"
attune,"vt.(为乐器)调音,使合调,使相合"
audacious,"adj.大胆的,卤莽的,大胆创新的"
audible,adj.听得见的
audience,"n.听众,观众,接见,拜见"
audit,"n.审计,稽核,查帐vt.稽核,旁听vi.查账"
augment,"v.增加,增大n.增加"
auspices,n.由...主办及赞助
auspicious,"n.吉兆的,幸运的"
austere,"adj.严峻的,严厉的,操行上一丝不苟的,简朴的"
authentic,adj.可信的
authenticate,v.鉴别
authoritative,"adj.权威的,有权威的,命令的"
autobiographical,
autobiography,n.自传
autograph,"n.亲笔签名,手稿adj.署名v.署名"
automated,
automotive,"adj.汽车的,自动推进的"
autonomous,adj.自治的
autonomy,n.自治
avarice,"n.贪财,贪婪"
avaricious,"adj.贪财的,贪婪的"
averse,"adj.不愿意的,反对的"
avid,adj.渴望的
avocational,
avoid,"vt.避免,消除"
awe,n.敬畏vt.敬畏
awe-inspiring,
awe-struck,
awkward,"adj.难使用的,笨拙的"
axiom,n.[数]公理
bacterium,n.细菌
baffle,"vt.困惑,阻碍,为难"
balk,"n.障碍,梁木v.妨碍,(马)不肯前进"
ballad,"n.民歌,歌谣,叙事歌,流行歌曲,情歌"
balm,"n.(止痛或疗伤的)香油,香膏,安慰物"
balmy,"adj.芳香的,温和的,止痛的,(空气)温和的"
banal,"adj.平凡的,陈腐的,老一套的"
bane,"n.毒药,祸害"
banish,"vt.流放,驱逐,消除"
banter,"n.善意地取笑,逗弄v.善意的与人开玩笑"
barbarous,"adj.野蛮的,残暴的,粗野的,(声音)刺耳的,沙哑的"
baroque,"n.巴洛克时期艺术和建筑风格的,巴洛克式adj.巴洛克式的,结构复杂的,形式怪样的"
barren,"adj.不生育的,不孕的,贫瘠的,没有结果的,无益的,单调的,无聊的,空洞的n.荒地"
barrier,"n.(阻碍通道的)障碍物,栅栏,屏障"
base,"n.底部,基础,根据地,基地,本部,基数,(运动)出发点vt.以...作基础,基于... adj.卑鄙的,低级的"
bashfulness,
bask,"vi.晒太阳(享受温暖),感到温暖,愉快或舒适"
bastion,"n.(可扩大射击范围的)棱堡,堡垒,阵地工事"
beaded,"adj.饰以珠的,珠状的"
befriend,"vt.待人如友,帮助"
beleaguer,"vt.围,围攻"
belie,v.掩饰
believable,adj.可信的
belittle,"vt.轻视,使渺小,使...显得渺小"
bellicose,"adj.好战的,好斗的"
belligerent,"adj.好战的,交战国的,交战的"
bemuse,vt.使发呆
benefactor,"n.恩人,捐助者,赠送者,赞助人"
beneficent,"adj.慈善的,仁慈的,善行的"
beneficiary,"n.受惠者,受益人"
benevolent,adj.慈善的
benign,"adj.(病)良性的,(气候)良好的,仁慈的,和蔼的"
bereave,"vt.剥夺,使失去"
beset,v.困扰
besiege,"vt.围困,围攻,包围,"
bestow,"vt.给予,安放"
betray,"vt.出卖,背叛,泄露(秘密),露出...迹象"
bewilder,"vt.使迷惑,使不知所措,使昏乱"
bias,"n.偏见,偏爱,斜线vt.使存偏见"
bibliomania,"n.藏书癖,藏书狂"
bilateral,"adj.有两面的,双边的"
bilingual,adj.能说两种语言的
billion,n.adj.十亿(的)
birthright,"n.生来就有的权利,长子继承权"
bizarre,"adj.奇异的(指态度,容貌,款式等)"
blackmail,"n.勒索,勒索所得之款vt.勒索"
blameworthy,"adj.该受责备的,应受谴责的"
bland,"adj.温和的,柔和的,乏味的,冷漠的,刺激性少的"
blatant,"adj.喧嚣的,俗丽的,吵闹的,炫耀的"
blazing,"adj.炽烧的,闪耀的,强烈的"
bleach,"v.漂白,变白"
blighted,adj.毁灭的
blindness,"n.失明,文盲,愚昧,轻举妄动,盲目性"
blissful,adj.有福的
blithe,"adj.愉快的,高兴的"
blockbuster,"n.(破坏力极大的)巨型炸弹,一鸣惊人者"
blueprint,"n.蓝图,设计图,计划vt.制成蓝图,计划"
bluff,"n.断崖,绝壁,诈骗adj.绝壁的,直率的vt.vi诈骗,"
blur,"v.涂污,污损(名誉等),把(界线,视线等)弄得模糊不清,弄污n.污点"
boastfulness,
boisterous,"adj.狂暴的,喧闹的"
bolster,n.垫子v.支持
bombastic,"adj.夸大的,言过其实的"
bonanza,"n.富矿带,带来好运之事,幸运"
boon,"n.恩惠,实惠,福利"
boost,v.推进
bootless,"adj.无用的,无益的"
boredom,n.厌倦
boundless,"adj.无限的,无边无际的"
bowlegged,adj.弯脚的
braggart,"n.吹嘘adj.吹牛的,自夸的"
braid,v.编织n.编织物
brassy,"adj.象黄铜的,厚脸皮的n.铜头高尔夫球棍"
bravado,"n.虚张声势,装作有自信的样子"
brazen,"adj.黄铜制的,厚颜无耻的"
breach,"n.违背,破坏,破裂,裂口vt.打破,突破"
breed,"v.(使)繁殖,教养,抚养n.品种,种类"
brevity,"n.(时间)短暂,(讲话,文章等)简短"
brilliant,"adj.灿烂的,闪耀的,有才气的"
brink,n.(峭岸、崖的)边缘
briny,"adj.盐水的,咸的,海水的"
brook,n.小溪vt.容忍
brownish,adj.呈褐色的
brusqueness,
brutality,"n.残忍,野蛮的行为"
brute,"adj.残忍的,畜生般的n.残忍的人,畜生"
buckle,"n.带扣v.扣住,变弯曲"
bulky,"adj.大的,容量大的,体积大的"
bumper,"n.缓冲器,保险杆;adj.丰收的"
buoyant,"adj.有浮力的,轻快的"
burdensome,"adj.繁重的,烦累的,难以承担的"
burgeon,n.嫩芽v.萌芽
burning,"adj.燃烧的,强烈的,极严重的v.燃烧"
burst,"v.爆裂,炸破,急于,爆发n.突然破裂,爆发,脉冲"
buttress,"n.(建筑)扶壁,支持物vt.支持,(以扶壁)扶住"
bygone,n.过去的事adj.过去的
byproduct,n.副产品
byzantine,"adj.东罗马帝国的,拜占庭式的n.拜占庭人,拜占庭派的建筑师,画家"
cabinet,"n.(有抽屉或格子的)橱柜,<美>内阁adj.<美>内阁的,小巧的"
cacophonous,"adj.发音不和谐的,粗腔横调的"
calamity,"n.灾难,不幸事件"
calculable,"adj.可计算的,能预测的"
callous,"adj.无情的,冷淡的,硬结的,起老茧的"
calumny,"n.诽谤,中伤"
camaraderie,"n.同志之爱,友情"
candid,"adj.无偏见的,公正的,坦白的,率直的"
candor,"n.坦白,直率"
cannily,"adv.精明的,机灵地,用心地"
canny,"adj.谨慎的,精明的,节约的"
cantankerous,"adj.脾气坏的,爱吵架的,刚愎的,任性的"
capitulate,"vi.有条件投降,认输,屈服,让步,停止抵抗"
capricious,adj.反复无常的
captious,"adj.吹毛求疵的,挑剔的"
captivating,"adj.迷人的,有魅力的"
capture,"n.捕获,战利品vt.俘获,捕获,夺取"
cardiac,"n.强心剂,强胃剂adj.心脏的,(胃的)贲门的"
cardinal,"n.枢机主教,红衣主教adj.主要的,最重要的"
caricature,"n.讽刺画,漫画,讽刺描述法,歪曲(或拙劣)的模仿vt.画成漫画讽刺"
carnage,"n.(尤指在战场上的)残杀,大屠杀,流血"
carnivorous,adj.食肉类的
carve,"v.雕刻,切开"
cast,"n.投掷,铸件,脱落物,一瞥,演员表v.投,抛,投射,浇铸,计算,派(角色)"
caste,"n.印度的世袭阶级,(排他的)社会团体,职业等级,(具有严格等级的)社会地位,社会等级制度"
castigate,v.严惩
catalyze,"vt.催化,刺激,促进"
catastrophe,"n.大灾难,大祸"
category,"n.种类,别,[逻]范畴"
cater,"vi.备办食物,满足(需要),投合"
caterpillar,n.毛虫
causal,"adj.原因的,因果关系的,表示原因或理由的n.表示原因的词(如连词)"
caustic,"adj.腐蚀性的,刻薄的"
cautionary,adj.警戒的
cautious,"adj.谨慎的,小心的"
cavil,"vi.挑剔,找错"
cavity,"n.洞,空穴,[解剖]腔"
celestial,adj.天上的
celibate,"n.独身者,独身主义者adj.独身的,未婚的,禁欲的"
cellular,adj.细胞的;蜂窝技术
censorious,"adj.受批判的,挑剔的"
censure,v.责难n.责难
centralization,"n.集中,中央集权化"
ceramic,adj.陶器的n.陶瓷制品
cerebral,"adj.脑的,大脑的"
ceremonious,"adj.讲究仪式的,隆重的"
certainty,"n.确定,确实的事情"
certitude,"n.确实,确信"
cessation,n.停止
chafe,"v.(将皮肤等)擦热,擦破,使恼火"
chagrin,"n.懊恼,气愤,委屈"
chancy,"adj.不确实的,不安的"
chantey,"n.船夫曲,水手歌(亦作chanty 或shanty)"
chaotic,"adj.混乱的,无秩序的"
characteristic," ally//adv.表示特adj.特有的,表示绦缘"
characterize,"vt.表现...的特色,刻画的...性格"
charismatic,"adj.神赐能力的,超凡魅力的"
charitable,"adj.仁慈的,(为)慈善事业的,宽恕的"
charlatan,n.吹牛者
chart,"n.海图,图表vt.制图"
charter,"vt.租,包(船、车等)n.宪章"
chary,"adj.仔细的,谨慎的,吝啬的"
chastisement,n.惩罚
chip,"n.碎片,筹码v.削成碎片,碎裂 芯片"
chivalrous,"adj.有武士风度的,侠义的"
choppy,"adj.(海等)波浪起伏的,(指风)不断改变方向的"
chorale,n.赞美诗
choreographic,"adj.舞蹈术的,舞台舞蹈的"
chorus,"n.合唱,合唱队,齐声"
chromatic,adj.彩色的
chromosome,n.[生物]染色体
chronological,adj.按年代顺序排列的
chubby,"adj.丰满的,圆胖的"
circuitous,adj.迂回线路的
circulate,"v.(使)流通,(使)运行,(使)循环,(使)传播"
circulation,"n.循环,流通,发行额"
circumlocution,n.婉转曲折的陈述
circumscribe,"vt.在...周围画线,限制"
circumspect,"adj.慎重的,周到的"
circumstantial," /n.旁謎ty/`s:kEm9stAnl/adj.依照情况的//,间接证据"
circumvent,"vt.围绕,包围,智取"
cite,"vt.引用,引证,提名表扬"
civil,"adj.全民的,市民的,公民的,国民的,民间的.民事的,根据民法的,文职的,有礼貌的"
civility,"n.礼貌,端庄"
claim,"n.(根据权利提出)要求,要求权,主张,要求而得到的东西vt.(根据权利)要求,认领,声称,主张,需要"
clamber,"vi.爬上,攀登"
clamor,"n.喧闹,叫嚷,大声的要求v.喧嚷,大声的要求"
clannish,"adj.氏族的,宗族排外的,团结心很强的"
clarification,"n.澄清,净化"
clarify,"v.澄清,阐明"
clause,"n.子句,条款"
claustrophobic,"adj.(患)幽闭恐怖症的,导致幽闭恐怖症的"
cleave,"v.劈,劈开,裂开vi.粘着,忠于,坚持"
clemency,"n.温和,仁慈,和蔼"
cliche,"n.陈词滥调,铅版adj.陈腐的"
climactic,"adj.顶点的,渐层法的,高潮的"
climate,"n.气候,风土,思潮"
climax,"n.高潮,顶点"
clinical,"adj.临床的,病房用的"
clog,"n.木底鞋,障碍v.障碍,阻塞"
closet,"n.壁橱,储藏室,厕所adj.关起门来的vt.关入私室密谈"
clumsy,adj.笨拙的
clutter,n.混乱
coalesce,v.接合
coarse,"adj.粗糙的,粗鄙的"
coax,"v.哄,耐心使..."
code,"n.代码,代号,密码,编码v.编码"
codify,"vt.编成法典,使法律成文化"
coerce,"vt.强制,强迫"
coercion,"n.强迫,威压,高压政治"
coercive,"adj.强制的,强迫的"
cogent,"adj.强有力的,使人信服的,使人首肯的,恰到好处的"
cognitive,"adj.认知的,认识的,有感知的"
cognizant,adj.认知的
coherence,n.一致
coherent,"adj.粘在一起的,一致的,连贯的"
cohesive,adj.粘着的
coincidental,"adj.一致的,符合的,巧合的"
coincidentally,
cold-blooded,
collaborate,"vi.合作,通敌"
collaborative,"adj.合作的,协作的,协力完成的"
collateral,adj.间接的
colloquial,"adj.口语的,通俗的"
collusion,"n.共谋,勾结"
collusive,adj.共谋的
colonize,"vt.拓殖,殖民"
colony,"n.殖民地,侨民,(聚居的)一群同业,一批同行,(生物)群体"
coloration,"n.染色,着色"
colorful,"adj.华美的,色彩的,有趣的"
colossal,"adj.巨大的,庞大的"
combative,"adj.好战的,杀气的,好斗的"
combine,"v.(使)联合,(使)结合n.联合企业,联合收割机n.联合收割机"
combustible,adj.易燃的
cometary,"adj.彗星的,彗星似的"
comic,"n.滑稽演员adj.滑稽的,喜剧的"
commend,"vt.称赞,表扬,推荐,委托,吸引"
commensurate,"adj.相称的,相当的"
commentary,"n.注释,解说词"
commentator," 评论员,讲解员"
commercialize,"v.使商业化,使商品化"
commingle,v.混合
commiserate,"v.怜悯,同情"
commission,"n.委任,委托,代办(权),代理(权),犯(罪),佣金vt.委任,任命,委托,委托制作,使服役"
commitment,"n.委托事项,许诺,承担义务"
committed,
commodious,adj.宽敞的
commodity,n.日用品
communal,"adj.公共的,公社的"
comparison,"n.比较,对照,比喻,比较关系"
compass,"n.罗盘,指南针,[pl.] 圆规v.包围"
compassion,"n.同情,怜悯"
compassionate,adj.富于同情心的
compel,"vt.强迫,迫使"
compelling,"adj.强制的,强迫的,引人注目的"
compendium,"n.纲要,概略"
compensatory,adj.补偿性的
competence,n.能力
competing,
complacence," n (=complacency)满足,自满,沾沾自喜的"
complacency,"n.满足,安心"
complacent,"adj.自满的,得意的"
complementary,"adj.补充的,补足的"
compliance,"n.依从,顺从"
compliant,"adj.顺从的,适应的"
complicate,v.(使)变复杂
compliment,"n.称赞,恭维,致意,问候,道贺vt.称赞,褒扬,恭维"
component,"n.成分adj.组成的,构成的"
composed,"adj.镇静的,沉着的"
composure,"n.镇静,沉着"
compound,"n.混合物,[化]化合物adj.复合的v.混合,配合"
comprehend,"vt.领会,理解,包括(包含),由...组成"
comprehensible,"adj.可理解的,易于了解的"
comprehensively,adv.包括地
compromise,"n.妥协,折衷v.妥协,折衷,危及...的安全"
concede,"vt.勉强,承认,退让vi.让步"
conceive,"vt.构思,以为,持有vi.怀孕,考虑,设想"
concentrate,"v.集中,浓缩"
concentration,"n.集中,集合,专心,浓缩,浓度"
concentric,adj.同中心的
conceptual,adj.概念上的
conciliatory,"adj.抚慰的,调和的"
conclusive,"adj.确实的,最后的,决定性的"
concoction,"n.调合,混合,调合物"
concomitant,adj.伴随的n.伴随物
concurrent,"n.同时发生的事件adj.并发的,协作的,一致的"
condemnation,"n.谴责,指责,定罪"
condense,"v.(使)浓缩,精简"
condescending,"adj.谦逊的,故意屈尊的,叫人欠情似的"
condone,"vt.宽恕,赦免"
cone,"n.[数、物]锥形物,圆锥体,(松树的)球果vt.使成锥形"
confide,"v.倾诉,委托,信赖"
confidently,"adv.信赖地,安心地"
configuration,"n.构造,结构,配置,外形"
confine,"vt.限制,禁闭n.界限,边界"
conflagration,"n.大火,大火灾,突发"
conflate,v.合并
conflict,"n.斗争,冲突vi.抵触,冲突"
conformity,"n.一致,符合"
confound,"vt.使混淆,把...搞混,挫败,讨厌"
confront,"vt.使面临,对抗"
confrontation,"n.面对,面对面,对质"
confusion,"n.混乱,混淆"
congenial,"adj.性格相似的,适意的"
congenital,"n.adj.天生的,先天的,天赋的"
congruent,adj.适合的
congruity,"n.一致,适合,调和"
congruous,"adj.一致的,符合的,适合的"
conifer,"n.[植]松类,针叶树"
conjecture,"n.v.推测,臆说,猜想"
conjure,"v.(以咒文)召唤,变戏法,想象vi.变戏法,施魔法vt.祈求,恳求"
connive,"vi.默许,纵容,暗中合作,密谋策划"
connoisseur,"n.(艺术品的)鉴赏家,鉴定家,内行"
connotation,"n.含蓄,储蓄的东西(词、语等),内涵"
conquer,"vt.征服,战胜,占领,克服(困难等),破(坏习惯等)"
conscientious,adj.尽责的
consciousness,"n.意识,知觉,自觉,觉悟,个人思想"
consecutive,"adj.连续的,联贯的"
conserve,"vt.保存,保藏"
considerable,"adj.相当大(或多)的,值得考虑的,相当可观的"
consign,"vt.托运,委托"
consort,"vi.配偶(指夫或妻),(尤指)君王或女王的配偶,同航线的船vi.陪伴,结交,符合vt.使配对"
conspiracy,"n.共谋,阴谋"
constant,"n.[数、物]常数,恒量adj.不变的,持续的,坚决的"
consternation,"n.惊愕,恐怖,惊惶失措"
constituent,"n.选举者,委托人,要素adj.有选举权的,组成的"
constitute,"vt.制定(法律),建立(政府),组成,任命"
constitution,"n.宪法,构造,体质,体格,国体,章程,惯例"
constrain,"vt.强迫,抑制,拘束"
constraint,"n.约束,强制,局促"
constrict,v.压缩
construction,"n.建筑,建筑物,解释,造句"
constructive,adj.建设性的
construe,"v.解释,分析,直译"
consult,"v.商量,商议,请教,参考,考虑"
consummate,"vt.完成,使达到极点adj.圆满的,至上的,完美的"
consumption,"n.消费,消费量,肺病"
contact,"n.接触,联系vt.接触,联系"
contagious,"adj.传染性的,会感染的"
containment,"n.围堵政策,牵制政策"
contemplate,"v.凝视,沉思,预期,企图"
contemplation,"n.注视,沉思,预期,企图,打算"
contemplative,"adj.沉思的,冥想的,[宗]祈祷的"
contemporary,"n.同时代的人adj.当代的,同时代的"
contempt,"n.轻视,轻蔑,耻辱,不尊敬,[律]藐视法庭(或国会)"
contemptible,adj.可鄙的
contemptuous,"adj.轻蔑的,侮辱的"
content,"n.内容,容量,目录,满足adj.满足的,满意的,愿意vt.使满足"
contention,"n.争夺,争论,争辩,论点"
contentious,"adj.好争吵的,争论的,有异议的"
context,"n.上下文,文章的前后关系"
continental,"adj.大陆的,大陆性的n.欧洲人"
continuation,"n.继续,续集,延长,延长物,扩建物,附加部分,(报刊等的)续刊、增刊,续篇"
contradict,"vt.同...矛盾,同...抵触"
contradictory,"adj.反驳的,反对的,抗辩的n.矛盾因素,对立物"
contrary,"adj.相反的,逆的,<口语>执拗n.反面adv.相反地"
contravene,v.违反 抵触
contrite,"adj.深感懊悔的,由悔悟引起的"
contrition,"n.悔悟,后悔"
contrive,"v.发明,设计,图谋"
control,"n.控制,支配,管理,调节,抑制,控制器,调节装置vt.控制,支配,管理(物价等),操纵,抑制"
controversial,"adj.争论的,争议的"
controversy,"n.论争,辩论,论战"
conventional,"adj.惯例的,常规的,习俗的,传统的"
conventionalize,
