abandon oneself to,沉溺于
set free,"释放
[法] 释放, 使获自由"
for free,免费地
make fun of,取笑
be free from,免于…
furnish ... with,"v. 装备
[网络] 供给；用…装饰；提供"
give up,"na. 放弃；断绝；投降；自首
[网络] 停止；抛弃；认输"
at a glance,"看一眼, 一下子"
be good for,"值得, 有效"
be good at,擅长
take ... for granted, 信以为然
on the grounds of, 以…为理由，根据
guard against,"预防,使提防"
at hand,"在手边, 在附近, 即将到来"
lend sb. a hand,"na. 帮忙；参加；帮助
[网络] 伸出援手；助一臂之力；伸出一只手"
on the one hand ... on the other hand, 一方面…，另一方面…
in the hands of,"在某人手中,被某人控制,由某人负责"
keep one's head,保持冷静
head for,"出发, 动身, 前往"
hinge on,"靠...转动, 以...为转移"
hinge upon,vi. 随……而定
hinder ... from,"阻碍, 使不能"
at home,"在家, 在本地, 在国内, 熟悉"
in honor of,"为向…表示敬意,为庆祝…为纪念…"
on the horizon,在地平线上
to one's horror,无
in a hurry,匆忙
be identical with,与...相同
be identified with,以…著名
impact on,影响，产生(不良)影响 [亦作 impact upon]
impose sth. on sb.,"v. 强迫；欺骗
[网络] 把…强加于；施加影响于；利用"
be independent of,"独立于...之外, 不受...支配, 与...无关, 不依赖..."
be indicative of,"表示..., 提示..., 指示..., 暗示..."
be inferior to,"劣于..., 比...差"
inform sb. of sth.,"v. 通知关于
[网络] 告诉；将…告知；报告"
insist on,"坚持, 坚决要求"
instead of,代替
intend to,"打算(做)..., 想要(做)..."
be interested in,对…很感兴趣
in the interests of,为了，为了…的利益；符合…的利益
interfere in,"干预,干涉,介入"
at intervals,"不时, 相隔一定距离"
be jealous of,妒嫉
keen on, 热衷于有兴趣的
be keen on,喜爱
keep sb. from sth.,"na. 避开；禁止；抑制；隐瞒
[网络] 阻止；使免于；使…不"
keep up with sb.,"跟上
[法] 追上, 跟上, 赶得上"
keep up with sth.,"跟上
[法] 追上, 跟上, 赶得上"
keep a close watch on,"密切注意, 关注"
keep ... to oneself,"un. 强调；紧贴；秘而不宣；独自承受
[网络] 保守秘密；不与人来往；不与他人交往"
at large,"未被捕, 详尽, 普遍
[法] 未被捕的, 逍遥法外的, 详尽的"
lay off,"na. 辞退；停止；暂停
[网络] 解雇；下岗；裁员"
at least,"至少
[法] 至少"
in the least,丝毫
not in the least,"绝对不, 一点也不"
leave alone, 置于不顾
at leisure,"na. 在闲暇中；从容不迫地；失业
[网络] 有空；有空，闲暇时；从容地"
lend itself to,有助于
lend themselves to,无
at length,"最后, 详细地"
let sb. down,"na. 使失望；放下；丢面子
[网络] 失望沮丧；辜负；松劲"
let sth. down,"na. 使失望；放下；丢面子
[网络] 失望沮丧；辜负；松劲"
be liable to,"该受(罚), 应遵守..., 有...的倾向, 易于..."
lie in,"在于..., 分娩, 睡懒觉"
in the light of,"由于, 当作
[法] 根据, 按照"
throw light on,"照亮,阐明,使理解,启迪"
in line with,符合
live off sth.,"以...为食料, 靠...生活"
live up to,"实践, 做到"
log in,[计] 注册
before long,不久以后
in the long run,"长远, 最后"
look down on sb.,"轻视, 看不起"
look forward to," 期望, 盼望; 瞩望; 属望; 企"
look into sth.,"窥视, 浏览, 观察
[法] 调查"
at a loss,"困惑, 亏本地"
major in,"主修, 专攻"
make believe,"假装
[法] 假装, 佯为借口, 托词"
make it,"及时抵达, 做成"
make up for,"补偿,弥补"
make out,"na. 理解；发现；起草；证明
[网络] 辨认出；填写；开列"
manage to, 达成，设法
many a,[地名] 马尼亚河 ( 俄 )
as a matter of fact,事实上
by all means,"尽一切办法, 一定"
in memory of,纪念...
not to mention,不必提及
at the mercy of,受...支配
in a mess,"肮脏,混乱,紊乱,一塌煳涂,一团糟"
bear ... in mind,"na. 记住；铭记不忘；注意
[网络] 牢记在心；记在心里；考虑到"
keep ... in mind,"na. 记在心里；记住；注意
[网络] 牢记；紧记；牢记在心"
make up one's mind,"下决心, 接受, 承认"
the moment, 一…就; 此刻，那时
the moment that,一…(就…)
no more ... than,"na. 某乙也不[是,能]…
[网络] 仅仅；至多；不过"
move on,继续前进
much as," 虽然, 尽管"
a multitude of,"大批的,大量的,许许多多的…"
name after, 以…的名字起名
native to,[网络] 所产的；土生土长的；土生土长在
by nature,天生地
none other than,"不是别人而正是..., 不是他物而正是..."
nothing but,只
get nowhere,无进展
by occasion of,"因为,由于"
it occurs to sb. that ...,无
against all odds,尽管很困难
against all the odds,尽管形势不利
at odds with sb., 与…不和，与…争吵
off and on,断断续续地
more often than not,"多半, 通常"
only too,"非常, 实在, 完全"
in order that,"为了,以便"
other than,"不同于, 除了"
from the outset,从一开始
once upon a time,从前
be opposed to ...,"反对..., 与...相对"
be opposite to,与...相对/反
on one's own,"na. 独自地；独立地；凭自己力量；主动地
[网络] 单独；靠自己；靠自己的力量"
take pains,"尽力, 耐心"
for one's part,"对某人来说, 就个人来说"
play a part,"扮演角色, 参与, 有影响, 装腔骗人"
play a part in,"在…中扮演角色,在…中起作用"
part with," 失去, 卖掉[付出]…, 与…分开; 割舍"
participate in,"参加, 参与, 分享"
particular about,对…特别讲究
be particular about,"对…很挑剔,过于讲究"
in particular,特别
pass away,"去世, 停止, 离去, 消逝"
pay off,"na. 偿清(债务等)；付清；发清(工钱)；发清工钱解雇
[网络] 还清；偿还；报复"
peculiar to ..., 是…特有的
in person,"亲自, 外貌上
[法] 亲自"
phase in,"na. 逐步采用
[网络] 逐渐采用；逐步引入；分阶段引入"
pick up,"v. 拾起；探出；重新开始
[网络] 捡起；拿起；学会"
pin down,"na. 强迫(人)承认[履行]条约；用…束缚住；阻止；牵制
[网络] 确定；压制；使受约束"
take place,"na. 发生；举行
[网络] 产生；多指通过人为安排的发生；进行"
take the place of,"代替
[法] 代替"
plug in,"v. 插入；插插头；插上
[网络] 插件；连接；插上电源"
take the plunge,冒险尝试
come to the point,"变尖锐, 到紧要关头, 说到要点, 扼要地说"
get to the point,[网络] 言归正传；有话直说；有话直说，别吞吞吐吐
there is no point in doing sth.,无
to the point,"中肯, 扼要"
point out,"na. 指出
[网络] 指明；说明；指示"
Poke one's nose into,探听
on the spot,"当场, 立即, 在危险中, 处境尴尬
[经] 在现场, 当场, 立即"
prefer sth. to sth.,"un. 较喜欢；宁愿:
[网络] 更喜欢；宁可；倾向于"
prefer doing sth. to sth.,无
prefer doing sth. to doing sth.,无
without prejudice,"[法] 无偏见, 无损, 无偏袒的裁决"
without prejudice to sth.,"不使...受损害
[经] 不损害(...权利)"
in the presence of,在面前
at present,"现在, 目前"
preside over,"负责, 主持"
prevail over,胜过
fall prey to sb.,[网络] 成为……的牺牲品；深受…之害；受害
fall prey to sth.,[网络] 成为……的牺牲品；深受…之害；受害
take pride in,以...为傲
pride oneself on,使得意
pride oneself upon,以…自豪，以…自傲，以…自鸣得意，对…感到满意
in principle,"原则上, 大体上"
prior to,"在前, 居先
[经] 在...之前"
prohibit ... from,"禁止, 阻止"
in proportion to,与...成比例
protect ... from,保护
provide for,"v. 为…作准备
[网络] 为…提供；供养；赡养"
in public,当众
on purpose,"故意
[法] 故意地"
in pursuit of, 追求，寻求
put down to,[网络] 归因于；说…因而起；归因为
put sth. into practice,"na. 实行
[网络] 实施；付诸实施；落实"
put on weight,体重增加
put up with sth.,"忍受, 容忍
[法] 容忍"
put up with sb.,"忍受, 容忍
[法] 容忍"
be out of the question,不可能
in question,"正被讨论, 可怀疑
[法] 正被谈论的, 成问题的, 被争论"
without question,毫无疑问
be caught in the rain,被雨淋着了
rake in,"un. 赚大钱
[网络] 迅速取得；大量地敛集；大量敛集"
at random,"胡乱地, 随便地
[法] 任意地, 遂意地"
at any rate,"无论如何, 至少"
at this rate,这样的话
within reason, 在合理范围内; 不过分
react to,作出反应
for real,"真的, 实在的, 可能的, 很, 非常"
by reason of,"由于, 因为"
reckon with,"和...算帐, 认真对付"
refer to ... as,"v. 提交；归类；称谓
[网络] 把…称作；把…当作；称为"
with reference to,"关于
[法] 关于, 根据"
in reference to,"关于..., 根据...
[法] 有关, 指"
regardless of,"不注意, 不关心"
to one's regret,无
relevant to, [医]adj.有关的
to one's relief,无
relieve ... of,"v. 解除
[网络] 减轻；消除；减轻……的"
rely on,"依赖, 依靠"
remind sb. of,"v. 提醒
[网络] 使记起；想起；使想起"
resort to,"诉诸于, 采取
[法] 诉诸"
in response to,"回答..., 响应..., 对...有反应
[法] 为响应, 答复"
rest with,取决于
restrict ... to,"把…限制〔控制, 保持〕在…"
as a result,结果
result in,"导致
[法] 产生, 导致"
in retrospect,回顾
in return,作为报答
get rid of,"摆脱, 除去"
in the right,站在正义的一边
ring up,"v. 在收款机上结算；一段时间内收入或损失的钱；打电话给
[网络] 用收银机记录；给……打电话；把记入现金收入记录机"
give rise to,"引起, 使发生"
at risk,"un. 担风险
[网络] 有危险；在危险中；处于危险中"
at the risk of,"冒...的危险, 有...的危险/可能"
take root,"生根, 扎根"
in a row,"成一长行, 连续, 一连串"
in ruins,成为一片废墟
rule out,"na. 排除
[网络] 排除…的可能性；划去；拒绝考虑"
on the run,"跑着, 逃跑, 急急忙忙, 奔走, 被通辑着
[法] 在逃"
run out,"na. 耗尽；用光；过有效期；失效
[网络] 用完；用尽；到期"
run out of,用完
in safety,平安地
for the sake of,"为...缘故, 为...起见, 为了某人, 为...目的, 为了...的利益"
for sale,"待售
[经] 出售, 待售"
on sale,"廉售的, 拍卖的"
be satisfied with,对...感到满意
save for,存钱作…之用
to say the least,退一步说
on a large scale,大规模地
scarcely ... when,刚…就…
on schedule,"按时
[化] 按计划"
ahead of schedule,提前
be scheduled for,"订于…,定于…"
scrape through,勉强通过
scrape through in,无
from scratch," <非正>从头做起, 从零开始"
seal off,"na. =seal up.；熨开；脱焊
[网络] 封锁；封闭；把…封锁起来"
in season,"当令, 及时, 及早"
seeing,"n. 视觉, 视力, 观看
conj. 鉴于"
seeing that,"conj. 鉴于, 既然"
senior to,"adj. 年长于
[网络] 比…年长；比我大两岁；资格老于"
in a sense,在某种意义上
make sense,有意义
in sequence,"挨次,按顺序,一个接一个"
serve sb. right,"na. 给(某人)该得的待遇
[网络] 活该；给应得的待遇；活该，给应得的待遇"
it serves sb. right,[网络] 活该
set out,"n. 开始；出发；动身；准备
[网络] 陈列；着手；陈述"
set out to do sth.,[网络] 着手做；着手做某事；开始做
share in,"分享, 分担"
for short,"简称, 缩写"
be short of,"缺乏..., ...不足"
shoulder to shoulder,"肩并肩地, 齐心协力地"
show off,"炫耀, 卖弄, 使显眼"
show up,"na. 显眼；揭发；嘲笑；露面
[网络] 出现；出席；揭露"
shrug sth. off,"na. (耸肩)表示轻蔑[不屑]；摆脱；扭身脱掉(衣服)
[网络] 耸肩表示对…不屑理睬；对…不屑一顾；对……满不在乎"
shut up,"关闭, 监禁, 住口, 保藏"
be shy of,"畏缩, 迟疑"
catch sight of,瞥见
at the sight of,在看到…时
in sight,被看到
lose sight of,"不再看见, 忽略, 忘记"
sink in,"完全被弄懂, 渗入, 透入"
slow down,(使)慢下来
on the sly,诡秘地
smooth over,"na. “smooth away”的变体
[网络] 消除；缓和；克服"
not so much ... as,"conj. 甚至不
[网络] 与其说…不如说；甚至没有；连…都不肯"
sooner or later,迟早
would sooner do sth.,无
would sooner do sth. than do sth.,无
sort out,"na. 清理
[网络] 分类；整理；解决"
speak ill of,说坏话
specialize in,专门研究...
at stake,"危如累卵, 在危险中"
take a stand against,"反对,对…持不赞成的立场"
stand for,"代表, 代替, 象征, 支持, 担任...的候选人
[法] 代替, 代表, 拥护"
stand out,"突出, 坚持抵抗"
stare at,"凝视, 盯住"
in step,步调一致
stick sth. on,"保持在...之上, 贴上"
stick to,粘住
stir up,"v. 转播；重播；搅拌；煽动
[网络] 激起；挑起；引起"
in stock,"现有, 在贮存中
[经] 在仓库中, 有存货"
in store,"贮藏着, 保存着, 准备着, 将要发生
[经] 存仓"
at a stretch,一口气地
at full stretch,非常紧张
be strict with,"对...严格, 对...严历"
be on strike,在罢工
stumble across,偶然发现
stumble on,"无意中发现,偶然找到"
stumble upon,偶然发现
subject ... to,"v. 处于…中；使服从
[网络] 受制于；以……为条件；以……为准"
submit ... to,"un. 使某人忍受某事:
[网络] 顺从；服从；屈服于"
substitute ... for,"代替…,替换…,取代…"
suffer from,"忍受, 遭受
[法] 患...病, 苦于, 因...损害"
in sum,总言之
sum up,"na. 〈口〉概括；总结
[网络] 总计；归纳；总括"
in summary,总之
be surprised at,对…惊讶
take ... by surprise,"v. 突然惊吓
[网络] 吃惊；袭取；突袭"
to one's surprise,使某人惊奇的是
suspect sb. of,[网络] 怀疑；对……猜疑；猪八戒怀疑
switch on,"v. 打开；接通；参见
[网络] 开启；合闸；打开开关"
be in sympathy with,无
take in,"na. 加以考虑；〔美国〕访问；收进；收容
[网络] 欺骗；吸收；接受"
take off,"v. (飞机)起飞；出去；拿掉；移送
[网络] 脱下；脱掉；脱去"
take over,"na. 接管；继承
[网络] 接收；接任；接替"
talk sb. into,"na. 说服(某人)做…
[网络] 说服做；劝说某人做某事；说服某人做某事"
taste of,"有...味道, 体验, 吃一点..."
in good taste,"得体, 大方"
to one's taste,合味口
tear down,"na. 拆毁；扯下；猛冲
[网络] 拆除；拆卸；拆除某物"
lose one's temper,发脾气
be on good terms with,与…有交情
in terms of,"用...的话, 根据, 按照, 在...方面
[法] 用...话, 以...措词, 按照"
thanks to,由于
in that,"既然, 因为"
now that,"既然..., 由于..."
at the thought of,一想起
be through with,"完成, 弃绝"
at no time,决不
at one time,"同时, 曾经"
for the time being,暂时
on time,"准时
[法] 准时, 按时, 按时付款"
in time,"na. 经过一段时间以后；早晚；在恰好的时候；和…合拍
[网络] 及时；钟点战；时间规划局"
in no time,立刻
at times,"有时, 不时"
by the same token,出于同样原因
in total,"总共, 总计
[经] 合计, 全部"
in touch with,与…保持联络
keep track of,了解
in trouble,"处于不幸中, 在监禁中"
come true,"实现, 成为事实"
in turn,"na. 挨次
[网络] 依次；轮流；反过来"
take turns,"轮流, 依次"
turn around,"na. 转身；〈美〉使向好的方向转变
[网络] 回转；转过身；转过来"
turn down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
[网络] 关小；调低；驳回"
turn out,"v. 证明；原来；到场
[网络] 生产；结果是；关掉"
be typical of,是...的特点
be up to sb.,"胜任,达到,由…负责"
be in use,[网络] 在使用中；使用之中；投入使用
be used to,习惯于
used to,"过去经常(做)..., 过去有规律地发生"
do one's utmost,竭力
in vain,"徒然
[法] 徒然, 无效"
a variety of,"各种各样的..., 种种..."
be on the verge of, 濒临；濒临灭绝；快要
in the vicinity, 左近
in the vicinity of,"在邻近
[法] 在...附近"
by virtue of,"依靠, 由于
[法] 凭藉, 依靠, 由于..."
be vulnerable to,易受...的伤害
in the wake of,"尾随, 紧跟, 仿效"
ward off,"v. 挡开；架开
[网络] 避开；防止；挡住"
warm up,"na. 加热；变暖；热中起来；【运】作准备动作
[网络] 热身；暖身；热身运动"
watch out,"密切注意, 当心, 戒备, 提防"
watch out for,"戒备, 提防, 密切注意"
by the way,"在途中, 顺便"
give way to,"断裂, 倒塌, 垮了; 让某人在先, 让出, 放弃; 听任自己流露; 让步, 妥协; 被代替"
in a way,"在某种程度上, 稍稍"
in one way,"在某点上, 在某种程度上, 有几分, 稍微"
in the way,挡道
in no way,决不
under way,"进行中, 在行进"
wear out,"na. 精疲力尽；用坏；穿破；磨破
[网络] 磨损；穿坏；穿旧"
under the weather," 身体不舒服, 心情不好"
as well,也
as well as,"也, 又"
may just as well,倒不如；(满)可以；不妨…；还是…的好；最好…，还是…的好；倒不如；同样；其实可以…，原该(带有责备意味)
once in a while,偶尔
at will,"随意, 任意"
no wonder,不足为奇的
keep one's word,守信
in other words,换句话说
out of work,"失业, 机器有毛病
[化] 不能工作的; 工作有妨碍的; 失效的"
what is worse, 更糟的是
be worthy of,"值得,应得到"
go wrong,"走错路, 出毛病, 失败"
yield to,"让步于,屈服于,向…投降"
as yet,至今仍
and yet,可是
