triumph,"n.胜利,成功v.获得胜利"
saturate,"v.使饱和,浸透,使充满"
segregate,v.隔离
shift,"n.移动,轮班,移位,变化,办法,手段vt.替换,转移,改变,移转,推卸,变速vi.转换,移动,转变,推托,变速"
similar,"adj.相似的,类似的"
arbitrary,"adj.任意的,武断的,独裁的,专断的"
arouse,"vt.唤醒,唤起,鼓励,引起vi.睡醒"
articulate,"adj.有关节的,发音清晰的vt.用关节连接,接合,清晰明白地说"
ascertain,"vt.确定,探知"
infrastructure,"n.下部构造,基础下部组织"
ingenious,"adj.机灵的,有独创性的,精制的,具有创造才能"
inhabit,"vt.居住于,存在于,占据,栖息"
inhabitant,"n.居民,居住者"
lately,"adv.近来,最近"
advance,"n.前进,提升,预付款v.前进,提前,预付adj.前面的,预先的 预付(款项)"
hostile,"adj.敌对的,敌方的n.敌对"
implicit,"adj.暗示的,盲从的,含蓄的,固有的,不怀疑的,绝对的"
imply,"vt.暗示,意味"
solidarity,n.团结
spacious,"adj.广大的,大规模的"
stalk,"n.茎,柄,梗,秆"
striking,"adj.打击的,显著的,惊人的,罢工的"
available,"adj.可用到的,可利用的,有用的,有空的,接受探访的"
auction,n.拍卖vt.拍卖
attribute,"n.属性,品质,特征,加于,归结于"
participant,"n.参与者,共享者adj.参与的"
substitute,"n.代用品,代替者,替代品v.代替,替换,替代"
drought,"n.干旱,缺乏"
migrate,"vi.移动,移往,移植,随季节而移居,(鸟类的)迁徙vt.使移居,使移植"
seminar,"n.研究会,讨论发表会"
temptation,"n.诱惑,诱惑物"
exceed,"vt.超越,胜过vi.超过其他"
excel,"v.优秀,胜过他人"
excerpt,"n.vt.摘录,引用"
executive,"adj.实行的,执行的,行政的n.执行者,经理主管人员"
marginal,"adj.记在页边的,边缘的,边际的"
nasty,"adj.污秽的,肮脏的,令人厌恶的,淫秽的,下流的,凶相的,威胁的"
pessimistic,"adj.悲观的,厌世的"
plead,"vi.辩护,恳求vt.为...辩护,借口,托称"
precise,"adj.精确的,准确的n.精确"
predominant,"adj.卓越的,支配的,主要的,突出的,有影响的"
recede,v.后退
shelter,"n.掩蔽处,身避处,掩蔽,保护,庇护所,掩体v.掩蔽,躲避"
sophisticated,"adj.诡辩的,久经世故的"
sponsor,"n.发起人,主办者,保证人,主办人vt.发起,主办v.赞助"
sympathy,"n.同情,同情心"
inspiration,n.灵感
condemn,"vt.判刑,处刑,声讨,谴责"
legitimate,"adj.合法的,合理的,正统的v.合法"
legislation,"n.立法,法律的制定(或通过)"
magnify,"vt.放大,扩大,赞美,夸大,夸张vi.有放大能力"
maneuver,v.机动n.机动
summarize,"v.概述,总结,摘要而言"
surgery,"n.外科,外科学,手术室,诊疗室"
technique,"n.技术,技巧,方法,表演法,手法"
vacant,"adj.空的,空白的,空灵的,头脑空虚的,神情茫然的,空闲的,空缺的"
vertical,"adj.垂直的,直立的,顶点的,[解]头顶的n.垂直线,垂直面,竖向"
voluntary,"adj.自动的,自愿的,主动的,故意的,非官办的,志愿的,自发的"
charm,"n.吸引力,(女人的)魔力,魅力,符咒vt.迷人,使陶醉,行魔法vi.用符咒,有魔力"
certify,"v.证明,保证"
characterize,"vt.表现...的特色,刻画的...性格"
collision,"n.碰撞,冲突"
figure,
fine,"adj.美好的,优良的,杰出的,精美的,杰出的,细,纤细,纯粹n.罚款,罚金,晴天,精细vt.罚款,精炼,澄清vi.变清,变细adv.<口>很好,妙,[常用于构成复合词]细微地,精巧地"
gigantic,"adj.巨人般的,巨大的"
resign,"n.辞去(职务)v.辞去,辞职"
shield,"n.防护物,护罩,盾,盾状物vt.(from) 保护,防护v.遮蔽"
thoughtful,"adj.深思的,有思想性的,体贴的,关切的"
conduct,"n.行为,操行v.引导,管理,为人,传导"
violence,"n.猛烈,强烈,暴力,暴虐,暴行,强暴"
vigorous,"adj.精力旺盛的,有力的,健壮的"
vacation,"n.假期,休假,(房屋等的)腾出v.<美>度假,休假"
confer,"vt.授予(称号、学位等),赠与,把...赠与,协议v.协商,交换意见"
deliver,"vt.递送,陈述,释放,发表(一篇演说等),交付,引渡,瞄准,给予(打击)"
delegate,n.代表vt.委派...为代表
deduct,"vt.扣除,演绎"
deduce,"vt.推论,演绎出"
cultivate,"vt.培养,耕作"
courtesy,"n.谦恭,允许,礼貌"
corrupt,"adj.腐败的,贪污的,被破坏的,混浊的,(语法)误用的vt.使腐烂,腐蚀,使恶化vi.腐烂,堕落"
convenience,"n.便利,方便,有益,有用的,方便的用具、机械、安排等"
convenient,"adj.便利的,方便的"
contaminate,v.污染
continuous,"adj.连续的,持续的"
consensus,"n.一致同意,多数人的意见,舆论"
challenge,n.挑战vt.向...挑战
lateral,"n.侧部,支线,边音adj.横(向)的,侧面的"
massive,"adj.厚重的,大块的,魁伟的,结实的"
match,"n.火柴,比赛,竞赛,匹配,(足球,捧球,蓝球)比赛v.相配,相称,比赛,相比,匹配"
analyze,"vt.分析,分解"
appropriate,adj.适当的
confess,"v.承认,坦白,忏悔"
distribute,"vt.分发,分配,散布,分布,分类,分区v.分发"
dramatic,"adj.戏剧性的,生动的"
exclusive,"adj.排外的,孤高的,唯我独尊的,独占的,唯一的,高级的"
extract,"n.精,汁,榨出物,摘录,选粹vt.拔出,榨取,开方,求根,摘录,析取,吸取"
confidence,n.信心
feminine,"adj.妇女(似)的,娇柔的,阴性的,女性的"
feeble,"adj.虚弱的,衰弱的,无力的,微弱的,薄弱的"
formulate,"vt.用公式表示,明确地表达,作简洁陈述v.阐明"
hatred,"n.憎恨,乱意,仇恨"
honor,"n.尊敬,敬意,荣誉,光荣vt.尊敬,给以荣誉"
image,"n.图象,肖像,偶像,形象化的比喻,极为相象,映像,典型vt.想象,作...的像,反映,象征"
imagine,"vt.想象,设想"
sequence,"n.次序,顺序,序列"
severe,"adj.严厉的,严格的,剧烈的,严重的,严峻的"
confidential,"adj.秘密的,机密的"
slippery,"adj.滑的,光滑的"
deceive,"v.欺骗,行骗"
decisive,adj.决定性的
declare,"vt.断言,宣称,宣布,宣告,声明,(向海关)中报进口应纳税之货物"
decade,"n.十年,十"
deed,"n.行为,事实,功绩,实行,契约vt.立契转让(旧产等)"
rate,"n.比率,速度,等级,价格,费用vt.估价,认为,鉴定等级,责骂vi.被评价,责骂"
reciprocal,"adj.互惠的,相应的,倒数的,彼此相反的n.倒数,互相起作用的事物"
recur,"vi.复发,重现,再来"
rein,"n.缰绳,统治,支配vt.以缰绳控制,统治,驾驭vi.勒住马,止住"
scorn,"n.轻蔑,嘲笑,被叱责的人vt.轻蔑,不屑做"
shabby,"adj.破旧的,褴褛的,低劣的,卑鄙的,不公平的"
spirit,"n.精神,灵魂,幽灵,妖精,勇气,火力,热情,情绪vt.诱拐,鼓励,鼓舞"
spur,"n.踢马剌,剌激物,(鸟,虫等的)距,刺激v.鞭策,刺激,疾驰,驱策"
steady,"adj.稳固的,稳定的,坚定的,扎实的,坚定不移的v.(使)稳定,(使)稳固"
temperament,"n.气质,性情,易激动,急躁"
territory,"n.领土,版图,地域"
wander,"vi.漫步,徘徊,迷路,迷失方向,离题"
wild,"adj.野性的,野生的,野蛮的,狂热的,疯狂的"
controversial,"adj.争论的,争议的"
contrive,"v.发明,设计,图谋"
convert,"n.皈依者vt.使转变,转换...,使...改变信仰"
continent,"n.大陆,陆地"
contemplate,"v.凝视,沉思,预期,企图"
conspicuous,adj.显著的
conscientious,adj.尽责的
property,"n.财产,所有物,所有权,性质,特性,(小)道具"
prudent,adj.谨慎的
punctual,"adj.严守时刻的,准时的"
purify,vt.使纯净v.净化
qualitative,"adj.性质上的,定性的"
quantitative,"adj.数量的,定量的"
racial,"adj.人种的,种族的,种族间的"
renovate,"vt.革新,刷新,修复"
reproach,v.责备
retention, 保持力
smooth,"adj.平滑的,平坦的,平稳的,无毛的,流畅的,圆滑的,安祥的vt.使光滑,烫平,使优雅,消除vi.变平滑,变平静n.一块平地,平滑部分"
sphere,"n.球,球体,范围,领域,方面,圈子,半球"
status,"n.身份,地位,情形,状况"
straightforward, dly//adv.正直地
stun,"vt.使晕倒,使惊吓,打晕n.晕眩,打昏,惊倒"
subordinate,"adj.次要的,从属的,下级的n.下属v.服从"
analogue,"n.相似物,类似情况,对等的人"
abound,"vi.多,大量存在,富于,充满"
acute,"adj.敏锐的,[医]急性的,剧烈"
administration," /[)n/n.管理,经营,衅]网络管理"
adolescent,"adj.青春期的,青春的;n.青少年"
aesthetic,"adj.美学的,审美的,有审美感的"
petition,"n.请愿,情愿书,诉状,陈情书v.请求,恳求,请愿"
pet,"n.宠物,受宠爱的人,不悦adj.宠爱的,亲昵的vt.宠爱vi.拥抱,爱抚,生气,发脾气"
phenomenon,n.现象
pilgrim,"n.圣地朝拜者,朝圣"
material,"n.材料,原料,物资,素材,布料adj.物质的,肉体的,具体的,重要的,实质性的"
moral,"adj.道德(上)的,精神的n.道德"
occupy,"vt.占,占用,占领,占据"
reliable,"adj.可靠的,可信赖的"
reliance,"n.信任,信心,依靠,依靠的人或物"
pity,"v.(觉得)可怜n.憾事,怜悯,同情"
plague,"n.瘟疫,麻烦,苦恼,灾祸vt.折磨,使苦恼,使得灾祸"
confine,"vt.限制,禁闭n.界限,边界"
ponder,"v.沉思,考虑"
postpone,"vt.推迟,使延期,延迟"
practitioner,"n.从业者,开业者"
precious,"adj.宝贵的,贵重的,珍爱的,过于精致的,珍爱的"
raise,"n.上升,高地,提出vt.升起,唤起,提高,使出现,解除,饲养,筹集,使复活"
reckless,adj.不计后果的
refute,"vt.驳倒,反驳"
remote,"adj.遥远的,偏僻的,细微的"
resume,"n.摘要,概略,<美> 履历vt.再继续,重新开始,重新占用,再用,恢复"
conflict,"n.斗争,冲突vi.抵触,冲突"
sanction,"n.批准,同意,支持,制裁,认可v.批准,同意,支持,鼓励,认可"
security,n.安全
slight,"adj.轻微的,微小的"
acid,"n.酸,<俚>迷幻药;adj.酸的,讽刺的,刻薄的;""atomicity,consistency,isolation,and durability"" 原子性,一致性,不相关性和持久性"
address,"n.地址,致辞,演讲,说话的技巧vt.向...致辞,演说,写姓名地址,从事,忙于"
adjacent,"adj.邻近的,接近的"
adjective,n.形容词
advisable,"adj.可取的,明智的"
advocate,"n.提倡者,鼓吹者vt.提倡,鼓吹"
adventure,"n.冒险,冒险的经历v.冒险"
advent,"n.(尤指不寻常的人或事)出现,到来 (Advent)n. 基督降临 2降临节"
affect,"vt.影响,感动,侵袭,假装"
affiliate,"v.(使...)加入,接受为会员"
agony,"n.苦恼,极大的痛苦"
agitate,"v.搅动,摇动,煽动,激动"
airline,n.定期航线
corporation,"n.[律]社团,法人,公司,企业,<美>有限公司,(市,镇的)自治机关,<口>大肚皮"
correlate,vt.使相互关联vi.和...相关
degenerate,adj.退化的v.退化
deprive,"vt.剥夺,使丧失"
descend,"vi.下来,下降,遗传(指财产,气质,权利),突击,出其不意的拜访v.下去"
design,"n.设计,图案,花样,企图,图谋,(小说等的)构思,纲要v.设计,计划,谋划,构思"
desirable,"adj.值得要的,合意的,令人想要的,悦人心意的"
desperate,"adj.不顾一切的,拚死的,令人绝望的"
detach,"vt.分开,分离,分遣,派遣(军队)"
metropolitan,"adj.首都的,主要都市的,大城市"
minus,"adj.负的,减的 prep.减去n.负数"
miracle,"n.奇迹,奇事"
reproduce,"v.繁殖,再生,复制,使...在脑海中重现"
restore,"vt.恢复,使回复,归还,交还,修复,重建"
routine,"n.例行公事,常规,日常事务,程序"
ruin,"v.(使)破产,(使)堕落,毁灭n.毁灭,崩溃,(pl.) 废墟,遗迹"
rumor,"n.流言,谣言,传闻vt.谣传,传闻"
solution,"n.解答,解决办法,溶解,溶液 解决方案"
sparkle,"v.发火花,(使)闪耀,(香槟酒等)发泡,用眼神表达,发光闪烁n.火花,闪光,光彩,活力,发泡"
spray,"n.喷雾,飞沫vt.喷射,喷溅"
starve,vt.使饿死vi.饿得要死
strenuous,"adj.奋发的,使劲的,紧张的,热烈的,艰辛发奋的"
stubborn,"adj.顽固的,固执的,坚定的,坚决的,难应付的,难处理的"
submit,"v.(使)服从,(使)顺从vt.提交,递交"
summon,"v.召集,召唤,号召,鼓起,振作"
supreme,"adj.极度的,极大的,至高的,最高的"
adequate,
adhere,"vi.粘附,胶着,坚持v.坚持"
allocate,"vt.分派,分配"
alter,v.改变
amaze,vt.使吃惊
ambiguous,"adj.暧昧的,不明确的"
amplify,"vt.放大,增强v.扩大"
invent,"vt.发明,创造v.发明"
invisible,"adj.看不见的,无形的"
literacy,"n.有文化,有教养,有读写能力"
lofty,"adj.高高的,崇高的,高傲的,高级的"
loyalty,"n.忠诚,忠心"
manifest,"n.载货单,旅客名单adj.显然的,明白的vi.出现vt.表明,证明"
margin,"n.页边的空白,(湖、池等的)边缘,极限,利润,差数,(时间、金额等的)富余vt.加边于,加旁注于"
profound,"adj.深刻的,意义深远的,渊博的,造诣深的"
administer,"v.管理,给予,执行"
adore,"v.崇拜,爱慕,(口语)喜爱"
adjoin,"v.邻接,毗连"
literally,"adv.照字面意义,逐字地"
mood,"n.心情,情绪,语气,状态"
addict,"vt.使沉溺,使上瘾;n.入迷的人,有瘾的人"
affluent,"adj.丰富的,富裕的"
affirm,"v.断言,确认,肯定"
afford,"vt.提供,给予,供应得起,"
aggressive,"adj.好斗的,敢作敢为的,有闯劲的,侵略性的"
altitude,"n.(尤指海拔)高度,高处(海拔甚高的地方),(等级,地位等)高等"
latitude,"n.纬度,范围,(用复数)地区,行动或言论的自由(范围)"
prospective,adj.预期的
psychology,"n.心理学,心理状态"
qualify,"v.(使)具有资格,证明合格,限制修饰vt.限制,限定"
random,"n.随意,任意adj.任意的,随便的,胡乱的adv.胡乱地"
recite,"v.背诵,朗读,叙述,[律]书面陈述(事实)"
reckon,"vt.计算,总计,估计,猜想vi.数,计算,估计,依赖,料想"
reconcile,"vt.使和解,使和谐,使顺从"
recruit,"n.新兵,新分子,新会员vt.使恢复,补充,征募vi.征募新兵,复原"
refresh,"v.(使)精神振作,(使)精力恢复,更新"
refugee,"n.难民,流亡者"
resident,"n.居民adj.居住的,常驻的"
saint,"n.圣人,道德崇高的人,圣徒adj.神圣v.成为圣徒"
satire,"n.讽刺文学,讽刺"
confuse,"vt.搞乱,使糊涂"
stern,"adj.严厉的,苛刻的n.船尾"
sturdy,"adj.强健的,坚定的,毫不含糊的n.[兽医]家畜晕倒病"
subjective,"adj.主观的,个人的"
symptom,"n.[医][植]症状,征兆"
tempt,"vt.诱惑,引诱,吸引,使感兴趣,考验,试探"
testimony,"n.证词(尤指在法庭所作的),宣言,陈述"
tolerate,"vt.忍受,容忍"
agenda,n.pl.议程
amateur,"n.业余爱好者,业余艺术家"
amuse,"vt.使发笑,使愉快"
annoy,"vt.使苦恼,骚扰"
apparatus,"n.器械,设备,仪器"
arrogant,"adj.傲慢的,自大的"
assert,"v.断言,声称"
captive,"n.俘虏,被美色或爱情迷住的人adj.被俘的,被迷住的"
category,"n.种类,别,[逻]范畴"
civilization,"n.文明,文化,文明社会 文明,一个著名游戏的名称"
coherent,"adj.粘在一起的,一致的,连贯的"
cohesive,adj.粘着的
collaborate,"vi.合作,通敌"
comfort,"n.安慰,舒适,安慰者vt.安慰,使(痛苦等)缓和"
commute,"v.交换,抵偿,减刑,<电工>整流"
coordinate,"n.同等者,同等物,坐标(用复数)adj.同等的,并列的vt.调整,整理"
exquisite,"adj.优美的,高雅的,精致的,剧烈的,异常的,细腻的,敏锐的"
extinguish,"vt.熄灭,消灭,压制,使黯然失色,偿清"
confront,"vt.使面临,对抗"
faulty,"adj.有过失的,有缺点的,不完美的,不完善的"
facilitate,"vt.(不以人作主语的)使容易,使便利,推动,帮助,使容易,促进"
flourish,"vi.繁荣,茂盛,活跃,手舞足蹈,兴旺,处于旺盛时期vt.挥动,夸耀n.茂盛,兴旺,华饰,繁荣"
formidable,"adj.强大的,令人敬畏的,可怕的,艰难的"
fragrant,"adj.芬芳的,香的"
glorious,"adj.光荣的,显赫的"
gorgeous,"adj.华丽的,灿烂的"
graceful,adj.优美的
guarantee,"n.保证,保证书,担保,抵押品vt.保证,担保"
harmony,"n.协调,融洽"
harness,"n.(全套)马具,系在身上的绳子,甲胄vt.上马具,披上甲胄,利用(河流、瀑布等)产生动力(尤指电力)"
handicap,"n.障碍,阻碍,障碍赛跑v.妨碍,使不利,阻碍"
humorous,"adj.富幽默感的,滑稽的,诙谐的,想入非非的,异想天开的"
ignorant,adj.无知的
imitate,"vt.模仿,仿效,仿制,仿造v.模仿"
individual,"n.个人,个体adj.个别的,单独的,个人的"
indispensable,"n.不可缺少之物adj.不可缺少的,绝对必要的"
innovation,"n.改革,创新"
integrity,"n.正直,诚实,完整,完全,完整性"
intricate,"adj.复杂的,错综的,难以理解的"
invariable,"n.不变的,永恒的adj.[数]不变的,不变量"
journalist,"n.新闻记者,从事新闻杂志业的人"
occurrence,"n.发生,出现,事件,发生的事情"
odd,"adj.奇数的,单数的,单只的,不成对的,临时的,不固定的,带零头的,余的"
odds,"n.可能的机会,成败的可能性,优势,不均,不平等,几率,差别"
relay,"n.驿马,接替,[电工]继电器vt.(消息,货物等)分程传递,使接替,转播vi.得到接替,转播"
release,"n.释放,让渡,豁免,发行的书,释放证书vt.释放,解放,放弃,让与,免除,发表n.版本,发布"
relief,"n.(痛苦等的)减轻,(债务等的)免除,救济,调剂,安慰,浮雕,地貌"
leading,"adj.领导的,第一位的,最主要的"
leisure,"n.空闲,闲暇,悠闲,安逸"
liable,"adj.有责任的,有义务的,易...的,有...倾向的,负有责任的,很有可能的"
privacy,"n.独处而不受干扰,秘密"
priority,"n.先,前,优先,优先权"
proclaim,"vt.宣布,声明,显示,显露"
prospect,"n.景色,前景,前途,期望vi.寻找,勘探"
solitary,adj.孤独的
specify,"vt.指定,详细说明,列入清单"
speculate,"vi.推测,思索,做投机买卖"
stain,"n.污点,瑕疵v.染污,沾污"
stall,"n.货摊,畜栏,厩,出售摊v.(使)停转,(使)停止,迟延"
budget,"n.预算vi.做预算,编入预算"
awkward,"adj.难使用的,笨拙的"
avail,"vi.有益于,有帮助,有用,有利vt.有利于n.效用,利益"
congratulate,"vt.祝贺,庆贺,恭喜"
authentic,adj.可信的
attendant,n.服务员
assume,"vt.假定,设想,采取,呈现"
attend,"vt.出席,参加,照顾,护理,注意vi.专心,留意"
augment,"v.增加,增大n.增加"
congress,"n.(代表)大会,[C～] (美国等国的)国会,议会"
benign,"adj.(病)良性的,(气候)良好的,仁慈的,和蔼的"
boost,v.推进
brief,"n.摘要,大纲adj.简短的,短暂的vt.摘要,(军事)下达简令"
cardinal,"n.枢机主教,红衣主教adj.主要的,最重要的"
cargo,"n.船货,(车、船、飞机等运输的)货物"
cause,"n.原因,导致某事发生的人或事,动机,理由,根据,目标,理想,事业vt.引起,惹起,使(发生),促成"
cognitive,"adj.认知的,认识的,有感知的"
coincide,"vi.一致,符合"
commit,"vt.犯(错误),干(坏事),把...交托给,提交,答应负责"
competitive,adj.竞争的
competent,"adj.有能力的,胜任的"
consolidate,v.巩固
incentive,n.动机adj.激励的
incorporate,"adj.合并的,结社的,一体化的vt.合并,使组成公司,具体表现vi.合并,混合,组成公司vt.[律]结社,使成为法人组织"
inertia,"n.惯性,惯量"
innocent,"adj.(～ of) 清白的,无罪的,天真的,无知的"
insure,vt.给...保险v.确保
intelligible,adj.可理解的
intimate,"adj.亲密的,隐私的vt.宣布,明白表示n.熟友"
lubricate,vt.润滑v.加润滑油
luxury,"n.奢侈,华贵"
malignant,adj.恶性的
marvelous,"adj.引起惊异的,不可思议的,非凡的"
meditate,"v.想,考虑,(尤指宗教上的)沉思,冥想"
miserable,"adj.痛苦的,悲惨的,可怜"
moderate,"adj.中等的,适度的,适中的v.缓和"
mount,"n.乘用马,衬纸,山,装配vi.乘马,爬上,增长vt.爬上,使上马,装上,设置,安放,制作...的标本,上演"
conjunction,"n.联合,关联,连接词"
novelty,"n.新颖,新奇,新鲜,新奇的事物"
