triumph,"n.胜利,成功v.获得胜利"
gallon,n.加仑
gallop,"n.疾驰,飞奔vi.飞驰,急速进行,急急忙忙地说vt.使飞跑,迅速运输"
gamble,"n.冒险v.赌博,投机,孤注一掷"
game,"n.比赛,游戏,竞赛,[复]运动会,玩耍,比分,比赛规则,策略vi.赌博adj.勇敢的,有胆量的,关于野味的,跛的"
gang,"n.(一)伙,(一)群"
gap,"n.缺口,裂口,间隙,缝隙,差距,隔阂"
garage,"n.汽车间,修车厂,车库v.放入车库"
garbage,"n.垃圾,废物"
garden,"n.(菜、花)园,花园"
garlic,"n.[植]大蒜,(Akkuyn sadtium),蒜头"
garment,"n.衣服,外衣,外表"
gas,
gasoline,n.汽油
gasp,"vi.喘息,气喘vt.气吁吁地说"
gate,n.大门
gather,"n.集合,聚集vi.集合,聚集,渐增,蹙眉,化脓vt.使聚集,搜集,积聚,推断"
gay,"adj.欢迎的,<美俚>同性恋的,放荡的,快乐的n.<美俚> 同性恋者,尤指男性同性者"
gaze,"v.盯,凝视n.凝视"
gear,"n.齿轮,传动装置v.调整,(使)适合,换档"
gender,"n.[语法] 性,<口>性别,性,性交"
gene,"n.[遗传]因子,[遗传]基因 Gene 吉恩(男子名)"
general,"n.普通,将军,概要adj.一般的,普通的,综合的,概括的,全面的,大体的 n.常规"
genius,"n.天才,天赋,天才人物"
gentle,"adj.温和的,文雅的"
gentleman,"n.阁下,先生,有身分的人,绅士,[pl.] 男厕所,男盥洗室"
gently,"adv.轻轻地,逐渐地"
geography,"n.地理学,地理"
geology,"n.地质学,地质概况"
geometry,n.几何学
germ,"n.微生物,细菌"
gesture,"n.姿态,手势,表示v.作手势,以手势表示"
get,"vt.获得,变成,收获,使得,挣得,受到(惩罚,打击等),染上,抓住vi.到达,成为,变得n.生殖,幼兽"
ghost,"n.鬼,幽灵"
giant,"n.巨人,大力士,巨大的动物或植物,伟人,天才adj.庞大的,巨大的"
giggle,v.哈哈地笑n.傻笑
give,"n.弹性,可弯性vt.给,授予,供给,献出,让步,引起,发表,捐助vi.捐赠,让步"
glad,"adj.高兴的,乐意的,感到高兴的"
glance,"vi.扫视,匆匆一看n.一瞥,眼光,匆匆一看"
glare,"n.眩目的光,显眼,怒目而视,(冰等的表面)光滑的表面v.闪耀"
glass,"n.玻璃,玻璃制品,玻璃杯,镜子,眼镜,望远镜,气压计,晴雨表vt.装玻璃于,反映vi.成玻璃状"
glide,"v.滑行,悄悄地走,(时间)消逝,滑翔n.滑行,滑翔,滑移,滑音"
glimpse,"n.一瞥,一看v.瞥见"
glitter,"vi.闪闪发光,闪烁,闪光n.闪光"
gloomy,"adj.黑暗的,阴沉的,令人沮丧的,阴郁的"
glory,"n.荣誉,光荣"
glow,"vi.发光,发热"
glue,"n.胶,胶水vt.胶合,粘贴,粘合"
go,"vi.离去,走,进行,变成,趋于,达到,求助于,诉诸vt.以...打赌,忍受,出产n.去,进行"
goal,"n.目的,目标,守门员,球门,(球赛等的)得分"
god,"n.神,上帝,神像,偶像vt.使神化"
gold,"n.黄金,金币adj.金的,金制的"
golden,"adj.金色的,金黄色的,贵重的,极好的,黄金的"
goodness,"n.仁慈,善良"
goods,"n.货物,<美俚>工具"
goose,"n.鹅,雌鹅,鹅肉,(裁缝用的有长曲柄的)熨斗vt.突然加大油门,嘘骂"
gossip,"n.闲话,闲谈"
govern,"v.统治,支配,管理"
governor,"n.统治者,管理者,地方长官,主管人员"
gown,"n.长袍,法衣,礼服,睡袍"
grab,"v.抢夺,攫取,夺取"
grace,"n.优美,雅致,优雅 Grace 格雷斯(女子名)"
grade,"n.等级,级别vt.评分,评级v.分等级"
gradual,"adj.逐渐的,逐步的,渐进的"
graduate,"n.(大学)毕业生,研究生v.(使)(大学)毕业"
grain,"n.谷物,谷类,谷粒,细粒,颗粒,粮食"
gram,"n.克,[植]鹰嘴豆(用作饲料)"
grand,"adj.盛大的,豪华的,重大的,主要的,极重要的"
grape,"n.葡萄,葡萄树"
graph,"n.图表,曲线图"
graphic,"adj.绘画似的,图解的"
grasp,"vt.抓住,抓紧,掌握,领会n.抓住,抓紧,掌握,领会"
grateful,"adj.感激的,感谢的"
grave,"n.墓穴,坟墓adj.严重的,(颜色)黯淡的,(声音)低沉的v.雕刻,铭记"
gravity,"n.地心引力,重力"
gray,"n.灰色,暗淡,灰暗adj.灰色的,灰白的,老的,老练的,阴沉的,<美俚>广告商的,广告业的 v.(使)变灰色"
graze,"v.放牧,吃草,擦伤,擦过n.放牧,牧草,轻擦,擦破处"
grease,"n.油脂,贿赂vt.涂脂于,<俗>贿赂"
greedy,"adj.贪吃的,贪婪的,渴望的"
green,"n.绿色,绿色颜料,绿色物品adj.绿色的,未成熟的,新鲜的,精力旺盛的,无经验的,青春的"
greenhouse,"n.温室,花房"
greeting,"n.祝贺,问候"
grief,"n.悲痛,伤心事,不幸,忧伤"
grim,adj.严酷的
grin,"n.露齿笑,裂口笑v.露齿而笑"
grind,"v.磨(碎),碾(碎),折磨"
grip,"vt.紧握,紧夹n.掌握,控制,把手v.抓住"
groan,"n.呻吟,叹息vi.呻吟,受折磨,受压迫发出嘎吱声vt.呻吟着说"
grocer,"n.食品商,杂货店"
grope,v.n.摸索
ground,"n.地面,土地,战场,场所,范围adj.土地的,地面上的vt.把...放在地上,使搁浅,打基础vi.具有基础,着陆,搁浅 vbl.grind的过去式"
group,"n.团体,组,团,群,批,[地]界,[化]基v.聚合,成群"
grow,"vi.生长,成长,渐渐变得,增长,增高vt.种植,栽培,培育"
grown-up,
growth,"n.生长,种植,栽培,发育,等比级数"
guard,"n.守卫,警戒,护卫队,防护装置vt.保卫,看守,当心vi.防止,警惕,警卫"
guess,"vt.猜测,推测,猜中,猜对,想,认为vi.猜,推测n.猜测,推测"
guest,"n.客人,来宾,旅客vt.招待,款待vi.作客,寄宿"
guidance,"n.指导,领导"
guide,"n.领路人,导游者,向导,引导者,指南vt.指导,支配,管理,带领,操纵vi.任向导"
guideline,n.方针
guilt,"n.罪行,内疚"
guitar,"n.吉他,六弦琴vi.弹吉他"
gulf,"n.海湾,深渊,漩涡,隔阂vt.吞没,使深深卷入"
gum,"n.齿龈,树脂,橡胶,橡胶树,口香糖,香口胶,泡泡糖"
gut,"n.[复]内脏,(幽门到直肠间的)肠子,勇气,剧情,内容,肚子,内脏,海峡vt.取出内脏,摧毁(房屋等的)内部装置"
gymnasium,"n.健身房,体育馆"
habit,"n.习惯,习性"
habitat,"n.(动植物的)生活环境,产地、栖息地,居留地,自生地,聚集处"
hail,"n.冰雹,致敬,招呼,一阵vt.向...欢呼,致敬,招呼,使象下雹样落下,猛发vi.招呼,下雹int.万岁,欢迎"
ham,"n.火腿,大腿的后部,大腿及臀部,笨拙的演员adj.过火的,做作的v.演得过火"
hamburger,"n.<美> 碎牛肉,牛肉饼,汉堡包"
hammer,"n.铁锤,槌,锤子v.锤击,锤打"
hamper,"v.妨碍,牵制"
handicap,"n.障碍,阻碍,障碍赛跑v.妨碍,使不利,阻碍"
handkerchief,n.手帕
handle,"n.柄,把手,把柄,口实,手感vt.触摸,运用,买卖,处理,操作vi.搬运,易于操纵n.[计]句柄"
hang,"n.悬挂的方式,(动作的)暂停,中止vt.悬挂,附着,装饰,绞死,踌躇,使悬而未决,垂下vi.悬着,垂下,被绞死,悬而不决"
happen,"vi.发生,碰巧,偶然v.发生,恰巧,偶然发现"
happy,"adj.快乐的,幸福的,陶醉于...的,恰当的"
hard,"adj.硬的,坚固的,(问题,工作等)困难的,艰苦的,猛烈的,确实的adv.努力地,辛苦地,坚硬地,牢固地,接近地,猛烈地"
harden,"vt.使变硬,使坚强,使冷酷vi.变硬,变冷酷,涨价"
hardly,"adv.刚刚,几乎不,仅,严厉的,艰辛的"
hardship,"n.困苦,艰难,辛苦"
hardware,"n.五金器具,(电脑的)硬件,(电子仪器的)部件"
harm,"vt.伤害,损害n.伤害,损害"
harsh,"adj.粗糙的,荒芜的,苛刻的,刺耳的,刺目的"
harvest,"n.收获,收成,结果,成果v.收获,收割"
hatch,"n.孵化,舱口,舱口盖,(门、墙壁、地板上的)开口vt.孵,孵出,策划,图谋vi.孵化"
hate,"vt.憎恨,恨,不愿,不喜欢n.憎恶,憎恨v.憎恨,讨厌,不愿"
hawk,"n.鹰,掠夺他人的人,鹰派成员vi.放鹰,像鹰一般地袭击,清嗓,咳嗽vt.捕捉,咳出,兜售,(沿街)叫卖,散播"
hay,
head,"n.头,头脑,领袖,(队伍,名单等)最前的部分,人,顶点vt.作为...的首领,朝向,前进,用头顶vi.成头状物,出发adj.头的,主要的"
headache,"n.头痛,令人头痛之事"
heading,n.标题
headline,n.大字标题
health,"n.健康,健康状态,兴旺,为健康干杯"
healthy,"adj.健康的,健壮的,有益于健康的"
heap,"n.堆,大量,许多vt.堆,堆起v.堆积"
hear,"vt.听到,听说,听取,审理,允许vi.听见,听到"
hearing,"n.听力,听觉,听取意见,听讼v.倾听"
heart,"n.心,心脏,中心,心地,心情,精神,宝贝儿,感情vt.把...放在中心"
heat,
heave,v.举起n.举起
heaven,"n.天,天空,天堂"
heavy,"adj.重的,繁重的,巨大的,沉重的,阴沉的adv.沉重地,笨重地,大量地n.重物,严肃角色"
hedge,"n.树篱,障碍物v.用树篱围住,避免作正面答复"
heel,"n.脚后跟,踵,跟部"
height,"n.高度,海拔,高地(常用复数),顶点"
heighten,"v.提高,升高"
heir,"n.继承人,后嗣"
helicopter,"n.直升(飞)机,直升机"
hell,"n.地狱,苦境,阴间,地狱中的人,训斥vi.狂饮,飞驰int.该死!"
hello,"int.喂,哈罗"
helmet,"n.头盔,钢盔"
help,"n.帮忙,补救办法,助手,治疗,<美>佣工vt.帮助,助长,接济,治疗,款待vi.有用,救命,招待 [计] 显示命令格式的简短概述"
helpful,"adj.有帮助的,有用的,有益的"
hemisphere,n.半球
hen,"n.母鸡,雌鸟"
hence,"adv.因此,从此"
henceforth,"adv.自此以后,今后"
her," pron.她的,她"
herb,"n.药草,香草"
herd,"n.兽群,牧群v.把...赶在一起放牧,成群"
heroic,"adj.英雄的,英勇的"
heroin,"n.海洛因,吗啡"
heroine,"n.女英雄,女主人公"
hide,"n.兽皮,皮革v.剥...的皮,痛打,隐藏,掩藏,隐瞒,掩饰"
highland,"n.高地,丘陵地带"
highly,"adv.高地,非常"
highway,"n.公路,大路"
hike,"v.远足,飞起,步行n.远足,增加"
hinder,"adj.后面的v.阻碍,打扰"
hinge,"n.(门、盖等的)铰链,枢纽,关键vt.装铰链v.装以绞链,依...而转移"
hip,"n.臀,蔷薇果,忧郁adj.熟悉内情的vt.使忧郁,给(屋顶)造屋脊int.喝彩声"
hire,"n.租金,工钱,租用,雇用vt.雇请,出租vi.受雇"
his, pron.他的
historian,"n.历史学家,史家"
historic,"adj.历史上著名的,有历史性的"
historical,"adj.历史(上)的,有关历史的"
history,"n.历史,历史学,过去的事(的记载),来历,历史记录"
hit,"n.打击,打,碰撞,讽刺,(演出等)成功vt.打,打击,碰撞,击中,袭击,偶然发现,伤...的感情,找到vi.打,打中,打击,碰撞,偶然碰上"
hitherto,"adv.迄今,至今"
hobby,n.业余爱好
hoist,"n.提升间,升起"
hold,"n.把握,把持力,柄,控制,监禁,掌握,货舱vt.拿着,保存,支持,占据,持有,拥有vi.支持,保持,有效n.控制,保留"
holder,"n.持有者,占有者,(台、架等)支持物,固定器"
hole,"n.洞,孔,突破口v.凿洞"
holiday,"n.假日,节日,假期"
hollow,"n.洞,窟窿,山谷adj.空的,虚伪的,空腹的,凹的adv.<口>彻底vi.形成空洞vt.挖空,弄凹"
holy,"adj.神圣的,圣洁的n.神圣的东西"
honest,"adj.诚实的,正直的"
honey,"n.(蜂)蜜,蜂蜜"
hook,"n.钩,吊钩v.钩住,沉迷,上瘾"
hop,"v.单脚跳,(鸟,蛙等)跳跃n.蛇麻草"
horn,"n.(牛、羊等的)角,喇叭,触角v.装角"
horrible,"adj.可怕的,恐怖的,讨厌的"
horror,"n.惊骇,恐怖,惨事,极端厌恶"
horsepower,n.马力
hose,"n.软管,水龙带,长筒袜v.用软管浇水"
hospitality,"n.好客,宜人,盛情"
host,"n.主机,主人,旅馆招待vt.当主人招待"
hostage,"n.人质,抵押品"
hostess,"n.女主人,女房东,女老板,女服务员,舞女"
hound,"n.猎犬vt.带猎犬狩猎,卑鄙的人,追捕,激励,使追逐"
household,"n.一家人,家庭,家族,王室adj.家庭的,家族的,家属的,普通的,平常的"
housework,"n.家务,劳动,家务事"
housing,"n.供给住宅,住宅群,机架,住房供给"
hover,v.盘旋
how,"adv.(指方式,方法,健康状况等)怎样,(指范围,程度,数量,价值)多少,多么n.方式(或方法)"
however,"adv.无论如何,可是,仍然,究竟 conj.不管用何种方法,然而,可是"
howl,"v.嚎叫,怒吼,嚎啕大哭,喝住,号叫n.嚎叫,怒号,嚎哭"
huddle,"v.拥挤,卷缩,草率从事,挤作一团n.杂乱的一堆,拥挤"
hug,
huge,"adj.巨大的,极大的,无限的"
hum,"v.嗡嗡叫,哼n.嗡嗡声,吵杂声"
human,"n.人,人类adj.人的,人类的,人性的,有同情心的"
humanity,"n.人性,人类,博爱,仁慈"
humble,"adj.卑下的,微贱的,谦逊的,粗陋的vt.使...卑下,挫,贬抑"
humid,"adj.充满潮湿的,湿润的,多湿气的"
humidity,"n.湿气,潮湿,湿度<美>沼泽中的肥沃高地"
humor,"n.幽默,心情,诙谐vt.迎合,牵就,顺应"
hundred,"n.一百个(人或物)一组,许多 num.百,百个adj.许多的"
hunger,"n.饥饿,欲望,渴望v.饥饿"
hungry,"adj.饥饿的,渴望的,荒年的,不毛的"
hunt,"v.打猎,猎取,搜索,搜寻,猎获n.打猎,猎取,搜索,搜寻,狩猎"
hurl,"n.<俚>[棒球]用力或猛烈的投掷vt.用力投掷,愤慨地说出,丢下,推翻vi.猛投,猛掷"
hurricane,"n.飓风,狂风"
hut,"n.小屋,棚屋"
hydrogen,n.氢
ideal,"n.理想adj.理想的,完美的,想象的,观念的,唯心论的"
identification, /n.身份证
identify,"vt.识别,鉴别,把...和...看成一样v.确定"
identity,"n.同一性,身份,一致,特性,恒等式"
idiom,"n.成语,方言,土语,习惯用语"
idiot,"n.白痴,愚人,傻瓜"
idle,"adj.空闲的,懒惰的,停顿的,无用的,无价值的vi.不做事,游手好闲,(机器)空转,虚度,闲散,不作事,游手好闲,浪费vt.虚度,使空闲,使空转"
ignite,"v.点火,点燃"
ignore,"vt.不理睬,忽视,[律](因证据不足而)驳回诉讼"
ill,"adj.有病的,坏的,恶意的,生病"
illness,"n.疾病,生病"
illusion,n.幻想
illustration,"n.说明,例证,例子,图表,插图 插图,图解"
imagination,"n.想象,空想,想象的事物,想象力,听觉"
immediate,"adj.直接的,紧接的,紧靠的,立即的,知觉的"
immense,"adj.极广大的,无边的,<口>非常好的"
immigrant,"adj.(从外国)移来的,移民的,移居的n.移民,侨民"
impact,"n.碰撞,冲击,冲突,影响,效果vt.挤入,撞击,压紧,对...发生影响"
impatient,"adj.不耐烦的,急躁的,不耐心的"
impetus,"n.推动力,促进"
implement,"n.[常pl.] 工具,器具vt.贯彻,实现v.执行"
implication,"n.牵连,含意,暗示"
import,"n.进口货(常用复数),进口,输入,意思,重要性vt.输入,进口,含...的意思,重要,引入vi.有关系,有重要性"
importance,"n.重要(性),重大,价值,傲慢"
important,"adj.重要的,重大的,有权力的,有地位的"
impose,"vt.征税,强加,以...欺骗vi.利用,欺骗,施影响"
impossible,"adj.不可能的,不会发生的,难以忍受的"
impress,"vt.印,盖印,留下印象"
impression,"n.印象,感想,盖印,压痕"
impressive,"adj.给人深刻印象的,感人的"
improve,"v.改善,改进"
improvement,"n.改进,进步"
impulse,"n.推动,刺激,冲动,推动力vt.推动"
in," prep.在...之内(上),在...期间,从事于,符合,穿着;adv.进入,朝里,在家,已到达(来临);adj.在里面的,执政的;n.执政者,入口;India,印度;In,元素铟(indium);Intelligent Network,智能网络"
inch,n.英寸(=1/12英尺)
incident,"n.事件,事变adj.附带的,易于发生的"
incidentally,"adv.附带地,顺便提及"
incline,"n.倾斜,斜坡,斜面vt.使倾向于,使倾斜vi.倾向,倾斜"
include,"vt.包括,包含"
inclusive,
income,"n.收入,收益,进款,所得"
increase,"n.增加,增大,增长vt.增加,加大vi.增加,繁殖"
increasingly,"adv.日益,愈加"
independence,"n.独立,自主"
independent,"n.中立派,无党派者adj.独立自主的,不受约束的"
index,"n.索引,[数学]指数,指标,(刻度盘上)指针vt.编入索引中,指出vi.做索引"
indication,"n.指出,指示,迹象,暗示"
indignant,"adj.愤怒的,愤慨的"
indignation,"n.愤慨,义愤"
industrial,"adj.工业的,产业的,实业的,从事工业的n.工业工人,[商]工业股票"
industry,"n.工业,产业,行业,勤奋"
infant,"n.婴儿,幼儿adj.婴儿的,幼稚的"
infect,"vt.[医] 传染,感染"
infectious,"adj.有传染性的,易传染的,有感染力的"
infer,v.推断
inference,n.推论
infinite,"n.无限的东西(如空间、时间),[数]无穷大adj.无穷的,无限的,无数的,极大的"
inflation,"n.胀大,夸张,通货膨胀,(物价)暴涨"
influence,"n.影响,感化,势力,有影响的人(或事),(电磁)感应vt.影响,改变"
inform,"v.(～ of/about) 通知,告诉,获悉,告知"
information,"n.通知,报告,消息,情报,知识,见闻,资料,起诉 信息"
infrared,adj.红外线的n.红外线
inhale,vt.吸入vi.吸气
inherent,"adj.固有的,内在的,与生俱来的"
inject,"vt.注射,注入"
injure,"vt.损害,伤害v.伤害"
injury,"n.伤害,侮辱"
ink,
inland,"adj.内陆的,国内的adv.在内地,向内地n.内地"
inlet,"n.进口,入口,水湾,小港,插入物"
inn,"n.(尤指乡村或公路边的) 旅馆,客栈vi.住旅馆"
inner,"adj.内部的,里面的,内心的n.内部"
innumerable,"adj.无数的,数不清的"
input,n.输入v.输入
inquiry,"n.质询,调查"
insect,"n.昆虫,卑鄙的人adj..虫的,虫子一样的,对付虫子的"
insert,"vt.插入,嵌入n.插入物"
insight,"n.洞察力,见识"
inspect,"vt.检查,视察v.检查"
install,"vt.安装,安置,使就职"
installation,"n.[计]安装,装置,就职"
installment,n.部分
instance,"n.实例,建议,要求,情况,场合vt.举...为例,获得例证"
instruct,"vt.教,教导,命令,指示,通知"
instruction,"n.指示,用法说明(书),教育,指导,指令"
instrument,"n.工具,手段,器械,器具,手段"
instrumental,"adj.仪器的,器械的,乐器的"
insulate,"vt.使绝缘,隔离"
intact,"adj.完整无缺的,尚未被人碰过的,(女子)保持童贞的,(家畜)未经阉割的"
integral,"adj.完整的,整体的,[数学] 积分的,构成整体所需要的n.[数学] 积分,完整,部分"
intend,"vt.想要,打算,意指,意谓"
intense,"adj.强烈的,剧烈的,热切的,热情的,激烈的"
intensity,"n.强烈,剧烈,强度 亮度"
intensive,"adj.强烈的,精深的,透彻的,[语法]加强语气的n.加强器"
intention,"n.意图,目的"
interact,"vi.互相作用,互相影响"
interim,"adj.中间的,临时的,间歇的n.中间时期,过渡时期,暂定"
interior,"adj.内部的,内的n.内部"
intermediate,adj.中间的n.媒介
intermittent,"adj.间歇的,断断续续的"
internal,"adj.内在的,国内的"
interrupt,"vt.打断(正在说话或动作的人),中断,妨碍,插嘴vi.打断(别人的讲话或行动)n.(发给电脑的)中断信号"
intersection,"n.[数]交集,十字路口,交叉点"
interval,"n.间隔,距离,幕间休息n.时间间隔"
interview,"vt.接见,会见n.接见,会见"
intimidate,v.胁迫
intrinsic,
introduction,"n.介绍,传入,初步,导言,绪论,入门"
intuition,"n.直觉,直觉的知识"
invade,"vt.侵略,侵袭,拥挤"
invasion,n.入侵
inverse,"adj.倒转的,反转的n.反面v.倒转"
invest,"v.投(资),购买(有用之物)～,授予,投资"
investigate,"v.调查,研究"
investment,"n.投资,可获利的东西"
invitation,"n.邀请,招待"
invite,"vt.邀请,引起n.邀请"
involve,"vt.包括,笼罩,潜心于,使陷于"
inward,"adv.向内,在内adj.向内的,内在的"
iron,"n.铁,熨斗,坚强,烙铁,镣铐vt.烫平,熨,用铁装备vi.烫衣服"
irony,"n.反话,讽刺,讽刺之事"
irrigate,"vt.灌溉,修水利,冲洗伤口,使潮湿vi.进行灌溉"
isle,"n.小岛,岛vt.使成为岛屿vi.住在岛屿上"
isolate,"vt.使隔离,使孤立,使绝缘,离析n.隔离种群"
issue,"n.出版,发行,(报刊等)期、号,论点,问题,结果,(水,血等的)流出vi.发行,流出,造成...结果,进行辩护,传下vt.使流出,放出,发行(钞票等),发布(命令),出版(书等)发给 [律]子女,后嗣"
item,"n.(可分类或列举的)项目,条款,(消息、情报等的)一则,一条"
jail,n.监狱vt.监禁
jam,"n.果酱,拥挤,堵塞,困境vt.挤进,使塞满,混杂,压碎,使堵塞vi.堵塞,轧住,拥挤"
jar,"n.震动,刺耳声,震惊,争吵,罐,广口瓶vi.震惊,冲突,发刺耳声,不一致vt.震动,刺激"
jargon,n.行话
jaw,"n.[解]颚,颌,下巴(用复数),(山谷、海峡等的)狭窄的入口,[机]叉钳,钳夹v.闲谈,教训,唠叨"
jazz,"n.(20世纪产生于美国的一种舞曲性音乐)爵士乐,喧闹adj.爵士乐的,喧吵的,颜色过于艳丽的vi.奏爵士乐,跳爵士舞,游荡vt.奏爵士乐,使活泼"
jealous,"adj.妒忌的,猜疑的,警惕的,嫉妒的"
jet,"n.喷射,黑玉v.喷射adj.黑玉色的,墨黑的 喷气机"
jewel,n.宝石
jewelery,
jog,"n.轻推,轻撞,漫步v.轻推,(使)蹒跚行进,(使)慢跑"
jolly,"adj.欢乐的,高兴的,快活的"
journal,"n.定期刊物,杂志,航海日记,分类账"
jug,"n.水壶,监牢,[象声]模仿夜莺的叫声vt.放入壶中,炖,关押vi.模仿夜莺叫"
jungle,"n.丛林,生死关头"
junior,"n.年少者,晚辈,下级,(年龄、职位等)较低者,大学三年级学生adj.年少的,下级的,后进的"
junk,"n.垃圾,舢板"
just,"adj.正义的,公正的,正确的,应得的,有充分根据的adv.正好,仅仅,刚才,只是,不过"
justice,"n.正义,正当,公平,正确,司法,审判,欣赏"
keen,"adj.锋利的,敏锐的,敏捷的,热心的,渴望的"
keep,"n.保持,保养,生计,监狱,[史]要塞vt.保持,保存,遵守,经营,看守,拘留,维持,记(日记,帐等)vi.保持,继续不断"
kettle,"n.壶,罐,釜,鼓"
key,"n.钥匙,关键,解答,(打字机等的)键,调子,对译本,(开钟表、发条的)栓,要害vt.调节...的音调,锁上,插上栓,提供线索vi.使用钥匙n.[乐]键,调,基调"
kidnap,"vt.诱拐(小孩),绑架,勒赎"
kidney,"n.肾,(动物可食用的)腰子,个性,性格"
kill,"v.杀死,毁掉,杀伤"
kind,"n.种类,性质adj.仁慈的,和蔼的,亲切的,友爱的"
kindergarten,"n.幼儿园adj.幼儿园的,初级的,启蒙阶段的"
kindness,"n.仁慈,亲切,好意,善意"
kit,"n.成套工具,用具包,工具箱,成套用具"
kite,"n.风筝,(微风时使用的)高而轻的帆,<俚>[商]空头支票,试探性行动vi.象风筝一样飞,轻快地移动,使用空头支票vt.使上升,骗钱"
knee,"n.膝,膝盖"
kneel,vi.跪下
knife,"n.刀,餐刀"
knit,"v.编织,密接,结合"
knob,"n.(门,抽屉等的)球形捏手,节,瘤,旋钮,球形突出物,(煤,砂糖等的)小块vt.使有球形突出物vi.鼓起"
knot,"n.(绳等的)结,(树的)节,节(船速,＝哩／小时)v.打结"
label,"n.标签,签条,商标,标志vt.贴标签于,指...为,分类,标注 [计] 加上或修改磁盘的标签"
laboratory,n.实验室
lace,"n.饰带,花边,缎带,鞋带vt.扎带子,扎,饰以花边vi.缚带子"
lack,"n.缺乏,短缺的东西vt.缺乏,没有,需要vi.缺乏,没有"
lad,"n.少年,青年男子,<口>伙计,家伙(呢称)"
ladder,"n.梯子,阶梯vi.袜子抽丝,装设梯子"
lady,"n.女士,夫人,小姐"
lag,"n.落后,囚犯,迟延,桶板,防护套adj.最后的vi.缓缓而行,滞后vt.落后于,押往监狱,加上外套"
lamb,"n.小羊,羔羊v.生小羊"
lame,"adj.跛足的,僵痛的,不完全的,金属薄片,不知内情的人,(辩解、论据等)无说服力的vi.变跛,瘸行vt.使成残废"
lantern,"n.灯笼,提灯,幻灯,信号,天窗"
lap,"n.(坐时的)大腿前部,膝盖,舔声,(水)溅泼声,重叠的部分,(跑道的)一圈,衣兜,下摆vi.重叠,围住,轻拍,舔vt.包围,抱...在膝上,使重叠,舔食,泼溅,拍打"
lapse,"n.失误,下降,流逝,丧失,过失v.失检,背离,堕入,流逝,失效,下降"
laptop,膝上型电脑
laser,"n.激光;Light amplification by stimulated emission of radiation,激光器,应用量子效应产生相干光束的设备。"
lash,"n.鞭子,鞭打,睫毛,责骂,讽刺vt.鞭打,摆动,扎捆,冲击,煽动,讽刺vi.猛击,急速甩动"
latter,"adj.后面的,(两者中)后者的,较后的,近来的"
laundry,"n.洗衣店,要洗的衣服,洗熨"
lavatory,"n.厕所,<主英>抽水马桶,<美>洗脸盆,浴室"
lay,"vt.放置,铺设,产(卵)提出,平息,布置vi.下蛋,打赌n.位置,层面,形势,短叙事诗adj.世俗的,外行的 vbl.lie的过去式"
layer,"n.层,阶层"
layman,n.外行
layoff,"n.临时解雇,操作停止,活动停止期间,失业期"
layout,"n.规划,设计,(书刊等)编排,版面,配线,企划,设计图案,(工厂等的)布局图 版面设计"
lazy,"adj.懒惰的,懒散的"
lead,"vt.领导,引导,致使vi.领导,(道路等)通向,导致,用水砣测深n.领导,领先,导线,铅,(自船上测海水深度的)铅陲,石墨,铅笔芯"
leadership,"n.领导能力,领导阶层"
leaf,"n.叶,树叶,(书的)一张(两叶),页vi.生叶,翻书页vt.翻...的页"
leaflet,"n.小叶,传单"
league,"n.同盟,联盟,盟约,联合会,社团v.组联盟,(使)加盟"
leak,"n.漏洞,漏出,漏出物,泄漏,<俚>撒尿vi.漏,泄漏vt.使渗漏"
lean,"n.倾斜,倾斜度,倚靠,倾向adj.瘦的,贫乏的,歉收的vi.倚靠,倾斜,依赖,倾向,偏向vt.使倾斜"
leap,"v.跳,跳越,跳跃n.跳跃,飞跃"
learn,"vi.学习,听到,获悉vt.学习,学会,认识到"
learned,"adj.有学问的,学术上的"
learning,"n.知识,学问,学习,学"
least,"adj.最小的,最少的adv.最少,最小"
leather,"n.皮革,皮革制品"
leave,"n.许可,同意,请假,休假vt.离开,动身,剩下,遗忘,委托,遗弃vi.出发,离开,生叶,动身"
lecture,"n.演讲,讲稿,谴责,教训vt.演讲,训诫,说教vi.讲演"
left,"adj.左边的,左倾的,左侧的,左派的,左翼的adv.在左面n.左,左边,左派 vbl.leave的过去式和过去分词"
leg,"n.腿,胫,旅程的一段vi.走,跑"
legal,"adj.法律的,法定的,合法"
legend,"n.传说,伟人传,图例 联想集团,中国最大的国有品牌微机制造商之一"
lens,"n.透镜,镜头"
less,"n.较少,较小adj.少的,小的adv.较少地,更小地,不及 prep.减去"
lesson,"n.功课,(一节)课,[pl.] 课程,教训"
lest," conj.唯恐,以免,免得,(用于fear,be afraid之后,等于that)"
let,"vt.假设,出租,允许,排放,让...进入(或通过),妨碍vi.出租,(工程等)被承包n.出租屋,障碍"
letter,"n.文字,字母,信函,字面意义,铅字,(pl.)证书,(pl.)文学,学问vt.用字母标明,在...上刻(或题)字vi.写印刷体字母"
level,"n.水平,水平面,水准,标准,级别adj.同高的,平坦的,齐平的,水平的vt.使...水平,夷平,使同等,瞄准,对准vi.变平,拉平"
lever,"n.杆,杠杆,控制杆v.抬起"
liberate,"v.解放,释放"
liberty,"n.自由,特权,随意,冒失,冒昧,失礼"
librarian,"n.图书馆员,图书管理员"
library,"n.图书馆,藏书室,库"
lick,"n.舔,少许,打vt.舔,卷过,鞭打,克服,征服vi.轻轻拍打"
lid,"n.盖子,<美口>限制,眼睑vt.给...盖盖子"
