benefit,"n.利益,好处vt.有益于,有助于vi.受益"
witness,"n.[律]证人,目击者,证据,证明,证词vt.目击,为...作证,证明,表明vi.作证,成为证据"
disagree,"vi.不一致,不适宜"
exhaust,"vt.用尽,耗尽,抽完,使精疲力尽vi.排气n.排气,排气装置adj.用不完的,不会枯竭的"
joint,"n.接缝,接合处,接合点,关节,(牛、羊等的腿)大块肉adj.共同的,联合的,连接的,合办的vt.连接,接合,使有接头vi.贴合,生节"
deserve,"vt.应受,值得v.应受"
consent,"vi.同意,赞成,答应n.同意,赞成,允诺"
amuse,"vt.使发笑,使愉快"
recipe,n.处方
hence,"adv.因此,从此"
competent,"adj.有能力的,胜任的"
resist,"vt.抵抗,反抗,抗,忍得住"
worship,"n.崇拜,礼拜,尊敬vi.敬神,拜神vt.崇拜,尊敬"
allocate,"vt.分派,分配"
depict,"vt.描述,描写"
jeopardize,v.危害
jeopardise,"v.使受危险,危及"
diverse,"adj.不同的,变化多的"
temporary,"adj.暂时的,临时的,临时性"
refund,"v.退还,偿还n.归还,偿还额,退款"
nutrition,"n.营养,营养学"
sneak,"vi.鬼鬼祟祟做事vt.偷偷摸摸地做,<口>偷窃n.鬼鬼祟祟的人,偷偷摸摸的行为,<美口>帆布胶底运动鞋adj.暗中进行的"
retail,"n.零售adj.零售的vt.零售,转述vi.零售adv.以零售方式"
multitude,"n.多数,群众"
badge,"n.徽章,证章"
skip,"v.跳,蹦,急速改变,跳读,遗漏,跳跃n.跳跃"
ethnic,"adj.人种的,种族的,异教徒的"
steep,"adj.陡峭的,险峻的,急剧升降的,不合理的n.悬崖,峭壁,浸渍,浸渍液v.浸,泡,沉浸"
retreat,"vi.撤退,退却n.撤退,退却"
update,"v.使现代化,修正,校正,更新n.现代化,更新"
persist,"vi.坚持,持续"
transparent,"adj.透明的,显然的,明晰的"
competence,n.能力
harmony,"n.协调,融洽"
outset,"n.开端,开始"
adequate,
quit,"vi.离开,辞职,停止vt.离开,放弃,解除,停止"
component,"n.成分adj.组成的,构成的"
extract,"n.精,汁,榨出物,摘录,选粹vt.拔出,榨取,开方,求根,摘录,析取,吸取"
upset,"vt.颠覆,推翻,扰乱,使不适,使心烦vi.翻倒,倾覆n.翻倒,混乱"
bulk,"n.大小,体积,大批,大多数,散装vt.显得大,显得重要,"
possess,"vt.占有,拥有,持有,摆布,支配"
ancestor,"n.祖先,祖宗"
instant,"adj.立即的,直接的,紧迫的,刻不容缓的,(食品)速溶的,方便的,即时的"
fade,"vi.(声音等)减弱下去,褪色,消失,枯萎,凋谢vt.使褪色n.淡入,淡出adj.乏味的,平淡的"
impart,"vt.给予(尤指抽象事物),传授,告知,透露"
circulate,"v.(使)流通,(使)运行,(使)循环,(使)传播"
convey,"vt.搬运,传达,转让"
lean,"n.倾斜,倾斜度,倚靠,倾向adj.瘦的,贫乏的,歉收的vi.倚靠,倾斜,依赖,倾向,偏向vt.使倾斜"
prestige,"n.声望,威望,威信"
contemporary,"n.同时代的人adj.当代的,同时代的"
evaporate,"v.(使)蒸发,消失"
whereas," conj.然而,反之,鉴于,尽管,但是"
overstate,"vt.夸大的叙述,夸张"
scratch,"n.乱写,刮擦声,抓痕,擦伤vt.乱涂,勾抹掉,擦,刮,搔,抓,挖出vi.发刮擦声,搔,抓adj.打草稿用的,凑合的"
primitive,"adj.原始的,远古的,粗糙的,简单的"
liberate,"v.解放,释放"
contrary,"adj.相反的,逆的,<口语>执拗n.反面adv.相反地"
announce,"vt.宣布,通告"
participate,"vi.参与,参加,分享,分担"
reluctant,"adj.不顾的,勉强的,难得到的,难处理的"
inferior,"adj.下等的,下级的,差的,次的,自卑的,劣等的"
military,"adj.军事的,军用的"
dispute,"v.争论,辩论,怀疑,抗拒,阻止,争夺(土地,胜利等)n.争论,辩论,争吵"
harness,"n.(全套)马具,系在身上的绳子,甲胄vt.上马具,披上甲胄,利用(河流、瀑布等)产生动力(尤指电力)"
quantify,vt.确定数量v.量化
instruct,"vt.教,教导,命令,指示,通知"
exotic,"adj.异国情调的,外来的,奇异的"
diagnose,v.诊断
element,"n.要素,元素,成分,元件,自然环境"
exclude,"vt.拒绝接纳,把...排除在外,排斥"
accomplish,"vt.完成,达到,实现"
bare,"adj.赤裸的,无遮蔽的,空的vt.使赤裸,露出"
entrepreneur,"n.<法>企业家,主办人"
clue,n.线索
reap,"v.收割,收获"
resolve,"n.决心v.决心,决定,决心要,(使)分解,溶解,解决vt.解决"
barrier,"n.(阻碍通道的)障碍物,栅栏,屏障"
momentum,"n.动力,要素"
entity,n.实体
milestone,"n.里程碑,里程标,重要事件,转折点"
construct,"vt.建造,构造,创立"
negotiate,"v.(与某人)商议,谈判,磋商,,买卖,让渡(支票、债券等),通过,越过"
spouse,n.配偶(指夫或妻)
hinder,"adj.后面的v.阻碍,打扰"
consistent,"adj.一致的,调和的,坚固的,[数、统]相容的"
inspire,"vt.吸(气),鼓舞,感动,激发,启示,使生灵感,产生vi.吸入,赋予灵感"
delicate,"adj.精巧的,精致的,病弱的,脆弱的,微妙的,棘手的,灵敏的,精密的"
prevail,"vi.流行,盛行,获胜,成功"
abundant,"adj.丰富的,充裕的,丰富,盛产,富于"
harsh,"adj.粗糙的,荒芜的,苛刻的,刺耳的,刺目的"
infer,v.推断
exploit,"vt.开拓,开发,开采,剥削,用以自肥v.使用"
adverse,"adj.不利的,敌对的,相反的"
embark,"v.上船,上飞机,着手,从事,装于船上,登上"
sphere,"n.球,球体,范围,领域,方面,圈子,半球"
fraction,"n.小部分,片断,分数"
texture,"n.(织品的)质地,(木材,岩石等的)纹理,(皮肤)肌理,(文艺作品)结构"
dip,
context,"n.上下文,文章的前后关系"
invade,"vt.侵略,侵袭,拥挤"
acquire,"vt.获得,学到"
contact,"n.接触,联系vt.接触,联系"
handle,"n.柄,把手,把柄,口实,手感vt.触摸,运用,买卖,处理,操作vi.搬运,易于操纵n.[计]句柄"
represent,"vt.表现,描绘,声称,象征,扮演,回忆,再赠送,再上演vi.提出异议"
trend,"n.倾向,趋势vi.伸向,倾向,通向"
appeal,"n.请求,呼吁,上诉,吸引力,要求;vi.求助,诉请,要求;vt.控诉"
fluid,"n.流动性,流度adj.流动的,不固定的,可改变的,可另派用场的,流畅的"
accent,"n.重音,口音,重音符"
dispose,"v.处理,处置,部署vt.布置,安排,除去,使愿意"
surrender,"vt.交出,放弃,使投降,听任vi.投降,自首n.交出,放弃,投降 投降算了"
aviation,"n.飞行,航空,航空学,航空术"
prominent,"adj.卓越的,显著的,突出的"
sole,"adj.单独的,唯一的n.脚底,鞋底,基础v.换鞋底"
conform,"vt.使一致,使遵守,使顺从vi.符合,相似,适应环境adj.一致的,顺从的"
spoil,"vt.损坏,搞糟,宠坏,溺爱v.扰乱"
intrinsic,
inherit,"vt.继承,遗传而得"
approximately,"adv.近似地,大约"
temptation,"n.诱惑,诱惑物"
insert,"vt.插入,嵌入n.插入物"
minimize,vt.将...减到最少v.最小化
minimise,
annoy,"vt.使苦恼,骚扰"
initial,"adj.最初的,词首的,初始的n.词首大写字母"
dimension,"n.尺寸,尺度,维(数),度(数),元"
disclose,"vt.揭露,透露"
barely,"adv.仅仅,刚刚,几乎不能"
spray,"n.喷雾,飞沫vt.喷射,喷溅"
compensation,"n.补偿,赔偿"
pursuit,n.追击
prey,"n.被掠食者,牺牲者,掠食vi.捕食,掠夺,折磨"
roughly,"adv.概略地,粗糙地"
commodity,n.日用品
rally,"v.重整旗鼓,给予新力量,(使)恢复健康,力量,决心,集结n.集会"
suspend,"vt.吊,悬挂v.延缓"
deteriorate,v.(使)恶化
deterioration,"n.变坏,退化,堕落"
genius,"n.天才,天赋,天才人物"
innocent,"adj.(～ of) 清白的,无罪的,天真的,无知的"
inherent,"adj.固有的,内在的,与生俱来的"
malicious,"adj.怀恶意的,恶毒的"
transcend,"vt.超越,胜过"
rational,"adj.理性的,合理的,推理的n.[数]有理数"
substance,"n.物质,实质,主旨,物质,物"
distort,"vt.弄歪(嘴脸等),扭曲,歪曲(真理、事实等),误报"
hesitant,"adj.犹豫的,吞吞吐吐的,犹豫不决"
herd,"n.兽群,牧群v.把...赶在一起放牧,成群"
gloomy,"adj.黑暗的,阴沉的,令人沮丧的,阴郁的"
dense,"adj.密集的,浓厚的"
reunion,"n.团圆,重聚"
approve,"vi.赞成,满意vt.批准,通过v.批准"
optimism,"n.乐观,乐观主义"
monopoly,"n.垄断,垄断者,专利权,专利事业"
hazard,"n.冒险,危险,冒险的事vt.冒...的危险,赌运气,使遭危险"
addicted,adj.沉溺于某种嗜好中的
bargain,"n.契约,合同,成交商品,便宜货v.议价"
interpret,"v.解释,说明,口译,通译,认为是...的意思"
freight,"n.货物,船货,运费,货运vt.装货,使充满,运送"
manipulate,"vt.(熟练地)操作,使用(机器等),操纵(人或市价、市场),利用,应付,假造vt.(熟练地)操作,巧妙地处理"
adventurous,"adj.喜欢冒险的,敢做敢为的,充满危险的"
propel,"vt.推进,驱使"
expedition,"n.远征,探险队,迅速,派遣"
slight,"adj.轻微的,微小的"
deficit,"n.赤字,不足额"
panel,"n.面板,嵌板,仪表板,座谈小组,全体陪审员vt.嵌镶板"
bully,"n.欺凌弱小者vt.威吓,威逼"
immune,adj.免疫的
overturn,"n.倾覆,破灭,革命vt.推翻,颠倒vi.翻倒n.翻转,毁灭"
envisage,v.正视
summit,"n.顶点,最高阶层adj.政府首脑的vi.参加最高级会议的"
grim,adj.严酷的
permanent,"adj.永久的,持久的"
illuminate,"vt.照明,照亮,阐明,说明,使灿烂,以灯火装饰(街道等)vi.照亮"
ambition,"n.野心,雄心"
ambitious,"adj.有雄心的,野心勃勃的"
sensible,"adj.有感觉的,明智的,有判断力的"
grieve,"v.(使)悲痛,(使)伤心,忧伤"
appendix,"n.附录,附属品,[解]阑尾"
designate,"vt.指明,指出,任命,指派v.指定,指派"
legislation,"n.立法,法律的制定(或通过)"
diploma,"n.文凭,毕业证书,证明权力、特权、荣誉等的证书,奖状"
productive,"adj.生产性的,生产的,能产的,多产的"
scope,"n.(活动)范围,机会,余地"
discharge,"vt.卸下,放出,清偿(债务),履行(义务),解雇,开(炮),放(枪),射(箭)vi.卸货,流注n.卸货,流出,放电"
geometry,n.几何学
deed,"n.行为,事实,功绩,实行,契约vt.立契转让(旧产等)"
bond,"n.结合(物),粘结(剂),联结,公债,债券,合同v.结合"
disturb,"vt.弄乱,打乱,打扰,扰乱v.扰乱"
manifest,"n.载货单,旅客名单adj.显然的,明白的vi.出现vt.表明,证明"
identical,"adj.同一的,同样的"
enforce,"vt.强迫,执行,坚持,加强"
vigorous,"adj.精力旺盛的,有力的,健壮的"
undergo,"vt.经历,遭受,忍受"
evident,"adj.明显的,显然的"
pension,"n.养老金,退休金"
excessive,"adj.过多的,过分的,额外"
rug,"n.(小)地毯,垫子"
precise,"adj.精确的,准确的n.精确"
clarify,"v.澄清,阐明"
verify,"vt.检验,校验,查证,核实 [计] 打开或关闭文件的读写校验"
lounge,"n.闲逛,休闲室,长沙发vi.闲荡,懒洋洋地躺卧vt.虚度光阴"
rigid,"adj.刚硬的,刚性的,严格的"
quote,"vt.引用,引证,提供,提出,报(价)"
slash,"v.猛砍,鞭打,砍伤,大量削减,严历批评,抽打n.猛砍,(大幅度)削减,斜线"
bleak,"adj.寒冷的,阴冷的,荒凉的,凄凉的,黯淡的,"
spectacular,"adj.引人入胜的,壮观的"
confine,"vt.限制,禁闭n.界限,边界"
endorse,"v.在(票据)背面签名,签注(文件),认可,签署"
inclusive,
trail,"n.踪迹,痕迹,形迹vt.跟踪,追踪,拉,拖,拖拉,(指植物)蔓生,蔓延,(指人)没精打采地走"
conception,"n.观念,概念"
conquer,"vt.征服,战胜,占领,克服(困难等),破(坏习惯等)"
meantime,"n.其间,其时adv.其间"
patron,"n.(对某人,某种目标,艺术等)赞助人,资助人"
ratio,"n.比,比率,[财政]复本位制中金银的法定比价"
qualify,"v.(使)具有资格,证明合格,限制修饰vt.限制,限定"
forthcoming,adj.即将来临的n.来临
fluent,"adj.流利的,流畅的"
attorney,"n.<美>律师,(业务或法律事务上的)代理人"
tolerance,"n.公差,宽容,忍受,容忍,(食物中残存杀虫剂的)(法定)容许量vt.给(机器部件等)规定公差"
criticism,"n.批评,批判"
strain,"n.过度的疲劳,紧张,张力,应变vt.扭伤,损伤v.拉紧,扯紧,(使)紧张,尽力"
amend,"v.修正,改进,改正"
indifferent,adj.无关紧要的
compose,"v.组成,写作,排字,(使)安定,调解"
explosive,"adj.爆炸(性)的,爆发(性)的,暴露n.爆炸物,炸药"
render,"vt.呈递,归还,着色,汇报,致使,放弃,表演,实施vi.给予补偿n.交纳,粉刷,打底"
flaw,"n.缺点,裂纹,瑕疵,一阵狂风vt.使破裂,使有缺陷,使无效vi.生裂缝,变的有缺陷"
exceed,"vt.超越,胜过vi.超过其他"
strip,"vt.剥,剥去n.条,带"
intent,"n.意图,目的,意向,[律](犯罪或侵权行为的)故意adj.专心的,决心的,热心的"
forge,"v.稳步前进,铸造,伪造"
extinguish,"vt.熄灭,消灭,压制,使黯然失色,偿清"
sustain,"vt.支撑,撑住,维持,持续"
stain,"n.污点,瑕疵v.染污,沾污"
explicit,"adj.外在的,清楚的,直率的,(租金等)直接付款的"
restrict,"vt.限制,约束,限定"
polish,"n.磨光,光泽,上光剂,优雅,精良vt.擦亮,发亮,磨光,推敲vi.发亮,变光滑adj.波兰的n.波兰人 Polish 波兰(Poland)的"
baffle,"vt.困惑,阻碍,为难"
confidential,"adj.秘密的,机密的"
alert,"adj.提防的,警惕的n.警惕,警报"
concerning, prep.关于
amid, prep.在...中
accountable,"adj.应负责的,有责任的,可解释的"
dedicate,"vt.献(身),致力,题献(一部著作给某人)"
jail,n.监狱vt.监禁
aggregate,"n.合计,总计,集合体adj.合计的,集合的,聚合的v.聚集,集合,合计"
convince,"vt.使确信,使信服"
aspiration,"n.热望,渴望"
straightforward, dly//adv.正直地
incur,v.招致
mode,"n.方式,模式,样式,时尚"
retailer,"n.零售商人,传播的人"
reunite,v.(使)再结合
recipient,"adj.容易接受的,感受性强的n.容纳者,容器"
tedious,"adj.单调乏味的,沉闷的,冗长乏味的"
infect,"vt.[医] 传染,感染"
enrol,"vt.登记,入学vi.参军,注册"
enroll,"v.[亦作enrol] 登记,招收,使入伍(或入会、入学等),参加,成为成员"
underscore,"vt.划线于...下,强调n.底线"
forth,"adv.往前,向外"
miniature,"n.缩小的模型,缩图,缩影adj.微型的,缩小的"
ideology,n.意识形态
margin,"n.页边的空白,(湖、池等的)边缘,极限,利润,差数,(时间、金额等的)富余vt.加边于,加旁注于"
fate,"n.天数,命运,运气vt.注定,送命"
manual,"n.手册,指南adj.手的,手动的,手工的,体力的,手册(性质)的,[律]实际占有的"
multiply,"v.繁殖,乘,增加"
displace,"vt.移置,转移,取代,置换v.转移"
overwhelm,"vt.淹没,覆没,受打击,制服,压倒"
overwhelming,"adj.压倒性的,无法抵抗的"
requirement,"n.需求,要求,必要条件,需要的东西,要求必备的条件"
suite,"n.(一批)随员,(一套)家具,套房,套,组,组曲"
transmit,"vt.传输,转送,传达,传导,发射,遗传,传播vi.发射信号,发报"
suicide,"n.自杀,自毁,给自己带来伤害或损失的行为"
threshold,"n.开始,开端,极限"
slump,"n.消沉,衰退,(物价)暴跌v.失败,消沉,(物价)暴跌,跌落"
minority,"n.少数,少数民族"
composition,"n.写作,作文,成分,合成物"
proposition,"n.主张,建议,陈述,命题"
distinctive,"adj.与众不同的,有特色的"
nurture,"n.养育,教育,教养,营养品vt.养育,给与营养物,教养"
boundary,"n.边界,分界线"
formulate,"vt.用公式表示,明确地表达,作简洁陈述v.阐明"
proceed,"vi.进行,继续下去,发生"
athletic,adj.运动的
renowned,"adj.有名的,有声誉的"
triumph,"n.胜利,成功v.获得胜利"
arrest,"vt.逮捕,拘留,吸引n.逮捕,拘留"
sensitivity,"n.敏感,灵敏(度),灵敏性;感光度"
flip,"vt.掷,弹,轻击,(用鞭等)抽打,空翻vi.用指轻弹,抽打,翻动书页(或纸张),蹦跳n.抛,弹,筋斗adj.无礼的,冒失的,轻率的"
collide,"vi.碰撞,抵触"
prime,"n.最初,青春,精华adj.主要的,最初的,有青春活力的,最好的,第一流的,根本的,[数]素数的v.预先准备好,<口>让人吃(喝)足,灌注,填装"
manufacture,"vt.制造,加工n.制造,制造业,产品"
arouse,"vt.唤醒,唤起,鼓励,引起vi.睡醒"
sway,"v.摇摆,摇动"
tolerant,"adj.容忍的,宽恕的,有耐药力的"
cling,"vi.粘紧,附着,紧贴,坚持(意见),墨守(习惯)"
cooperate,"vi.合作,协作"
desperate,"adj.不顾一切的,拚死的,令人绝望的"
solidarity,n.团结
boast,"n.自夸,值得夸耀的事物v.自夸,以有...而自豪"
verbal,adj.口头的
haunt,v.神鬼出没
migrant,"n.候鸟,移居者"
superiority,"n.优越,高傲"
declaration,"n.宣布,宣言,声明"
commission,"n.委任,委托,代办(权),代理(权),犯(罪),佣金vt.委任,任命,委托,委托制作,使服役"
ignorance,"n.无知,不知"
exposure,"n.暴露,揭露,暴光,揭发,揭露,位向,方向,陈列"
virtually,"adv.事实上,实质上"
complaint,"n.诉苦,抱怨,牢骚,委屈,疾病"
confusion,"n.混乱,混淆"
conservation,"n.保存,保持,守恒"
correlation,"n.相互关系,相关(性)"
impression,"n.印象,感想,盖印,压痕"
residence,"n.居住,住处"
circulation,"n.循环,流通,发行额"
collision,"n.碰撞,冲突"
whereby,"adv.凭什么,为何"
disposal,"n.处理,处置,布置,安排,配置,支配"
persistent,adj.持久稳固的
inspiration,n.灵感
maturity,"n.成热,完备,(票据)到期,成熟"
presumption,n.假定
privileged,"adj.有特权的,有特别恩典的"
accustom,vt.使习惯于
cast,"n.投掷,铸件,脱落物,一瞥,演员表v.投,抛,投射,浇铸,计算,派(角色)"
tempt,"vt.诱惑,引诱,吸引,使感兴趣,考验,试探"
constitute,"vt.制定(法律),建立(政府),组成,任命"
violate,"vt.违犯,亵渎(圣物),冒犯,干扰,违反,妨碍,侵犯,强暴"
hostile,"adj.敌对的,敌方的n.敌对"
certificate,"n.证书,证明书vt.发给证明书,以证书形式授权给..."
dominate,"v.支配,占优势"
disrupt,"v.使中断,使分裂,使瓦解,使陷于混乱,破坏"
conscious,
deem,"v.认为,相信"
plunge,"n.跳进,投入vi.投入,跳进,陷入vt.使投入,使插入,使陷入"
bind,"v.绑,镶边,装订,凝固,约束"
heritage,"n.遗产,继承权,传统"
trigger,"vt.引发,引起,触发n.板机"
stripe,"n.斑纹,条纹"
incidentally,"adv.附带地,顺便提及"
substitute,"n.代用品,代替者,替代品v.代替,替换,替代"
dump,"vt.倾倒(垃圾),倾卸n.堆存处"
stock,"n.树干,库存,股票,股份,托盘,祖先,血统,原料adj.股票的,普通的,常备的,存货的,繁殖用的vt.装把手于,进货,备有,放牧vi.出新芽,采购"
shelter,"n.掩蔽处,身避处,掩蔽,保护,庇护所,掩体v.掩蔽,躲避"
contempt,"n.轻视,轻蔑,耻辱,不尊敬,[律]藐视法庭(或国会)"
ignite,"v.点火,点燃"
halt,"n.停止,暂停,中断vt.使停止,使立定vi.立定,停止,踌躇,有缺点"
sacrifice,"n.牺牲,献身,祭品,供奉v.牺牲,献出,献祭,供奉"
counsel,"n.讨论,商议,辩护律师vt.劝告,忠告"
snack,"n.小吃,快餐,一份v.吃快餐(小吃)"
slide,"v.(使)滑动,(使)滑行n.滑,滑动,幻灯片"
brew,"v.酿造,酝酿"
edible,adj.可食用的
ritual,"n.典礼,(宗教)仪式,礼节adj.典礼的,(宗教)仪式的"
span,"n.跨度,跨距,范围v.横越"
celebrity,"n.名声,名人"
transit,"n.经过,通行,搬运,运输,运输线,转变vt.横越,通过,经过vi.通过n.[天] 中天,经纬仪"
glance,"vi.扫视,匆匆一看n.一瞥,眼光,匆匆一看"
reckon,"vt.计算,总计,估计,猜想vi.数,计算,估计,依赖,料想"
tolerate,"vt.忍受,容忍"
entitle,"vt.给...权利(或资格),给...题名,给...称号v.授权,授权"
estate,"n.状态,不动产,时期,阶层,财产"
sponsor,"n.发起人,主办者,保证人,主办人vt.发起,主办v.赞助"
harmonious,"adj.和谐的,协调的,和睦的,悦耳的"
feasible,"adj.可行的,切实可行的"
insure,vt.给...保险v.确保
indulge,v.纵容
notorious,adj.声名狼籍的
maximum,"n.最大量,最大限度,极大adj.最高的,最多的,最大极限的"
premium,"n.额外费用,奖金,奖赏,保险费,(货币兑现的)贴水"
scrutiny,n.详细审查
confrontation,"n.面对,面对面,对质"
registration,"n.注册,报到,登记"
dedication,"n.贡献,奉献"
crack,"n.裂缝,噼啪声v.(使)破裂,裂纹,(使)爆裂adj.最好的,高明的"
comply,"vi.顺从,答应,遵守"
drift,"n.冲洗,漂流物,观望,漂流v.(使)漂流"
commute,"v.交换,抵偿,减刑,<电工>整流"
reckless,adj.不计后果的
input,n.输入v.输入
crush,"vt.压碎,碾碎,压服,压垮,粉碎,(使)变形"
coordinate,"n.同等者,同等物,坐标(用复数)adj.同等的,并列的vt.调整,整理"
misfortune,"n.不幸,灾祸"
sensation,"n.感觉,感情,感动,耸人听闻的"
withstand,"vt.抵挡,经受住"
terminal,"n.终点站,终端,接线端adj.末期,每期的,每学期的"
dictate,"v.口述,口授,使听写,指令,指示,命令,规定n.指示(指理智,变心)"
relay,"n.驿马,接替,[电工]继电器vt.(消息,货物等)分程传递,使接替,转播vi.得到接替,转播"
embody,"vt.具体表达,使具体化,包含,收录"
pave,
virtual,"adj.虚的,实质的,[物]有效的,事实上的"
irrigate,"vt.灌溉,修水利,冲洗伤口,使潮湿vi.进行灌溉"
oblige,"vt.迫使,责成"
rein,"n.缰绳,统治,支配vt.以缰绳控制,统治,驾驭vi.勒住马,止住"
mislead,vt.误导
amaze,vt.使吃惊
inevitable,"adj.不可避免的,必然的"
grid,"n.格子,栅格"
bearing,"n.轴承,关系,方面,意义,[pl.] 方向,方位"
utility,"n.效用,有用"
sculpture,"n.雕刻,雕刻品,雕塑,雕塑品,[地理] 刻蚀v.雕刻,雕塑,刻蚀"
neutral,"n.中立者,中立国,非彩色,齿轮的空档adj.中立的,中立国的,中性的,无确定性质的,(颜色等)不确定的"
stretch,"v.伸展,伸长n.一段时间,一段路程,伸展"
dock,"n.<美> 码头,船坞,被告席,尾巴的骨肉部分vt.靠码头,引入坞,剪短vi.入船坞"
flourish,"vi.繁荣,茂盛,活跃,手舞足蹈,兴旺,处于旺盛时期vt.挥动,夸耀n.茂盛,兴旺,华饰,繁荣"
eternal,"adj.永恒的,永远的,不灭的,没完没了的"
squeeze,"n.压榨,挤v.压榨,挤,挤榨"
speculate,"vi.推测,思索,做投机买卖"
convert,"n.皈依者vt.使转变,转换...,使...改变信仰"
multiple,"adj.多样的,多重的n.倍数,若干v.成倍增加"
subsistence,"n.生存,生活,留存"
distinct,"adj.清楚的,明显的,截然不同的,独特的"
agony,"n.苦恼,极大的痛苦"
ecology,"n.生态学,[社会]环境适应学,均衡系统"
casual,"adj.偶然的,不经意的,临时的"
apparent,"adj.显然的,外观上的"
enrich,"vt.使富足,使肥沃,装饰,加料于,浓缩"
tremendous,"adj.极大的,巨大的"
namely,"adv.即,也就是"
infinite,"n.无限的东西(如空间、时间),[数]无穷大adj.无穷的,无限的,无数的,极大的"
tribe,"n.部落,部族"
weird,"adj.怪异的,超自然的,神秘的,不可思议的,超乎事理之外的n.<古><苏格兰>命运,预言,符咒"
compatible,"adj.谐调的,一致的,兼容的"
spur,"n.踢马剌,剌激物,(鸟,虫等的)距,刺激v.鞭策,刺激,疾驰,驱策"
apt,"adj.易于...的,有...倾向的,灵敏的,灵巧的,适当的,切题的,敏捷,倾向是"
pierce,"vt.刺穿,刺破,穿透,突破,深深感动"
likewise,"adv.同样地,照样地,又,也n.同样地"
stale,"n.(牲畜等的)尿adj.不新鲜的,陈腐的,疲倦的,陈旧的vt.使变旧,走味vi.变陈旧,变无味,失时效,撒尿"
donate,"v.捐赠,赠予"
supplement,"n.补遗,补充,附录,增刊v.补充"
invisible,"adj.看不见的,无形的"
intensive,"adj.强烈的,精深的,透彻的,[语法]加强语气的n.加强器"
fatigue,"n.疲乏,疲劳,累活,[军]杂役vt.使疲劳,使心智衰弱vi.疲劳"
snap,"v.猛地吸住,突然折断,使劈啪地晌,猛咬n.猛咬,突然折断,劈啪声adj.突然的"
decent,"adj.正派的,端庄的,有分寸的,(服装)得体的,大方的adj.<口>相当好的、象样的"
delay,"v.耽搁,延迟,延期,迟滞n.耽搁,延迟,迟滞"
facility,"n.容易,简易,灵巧,熟练,便利,敏捷,设备,工具"
occur,"vi.发生,出现"
collaborate,"vi.合作,通敌"
innovate,
enact,"vt.制定法律,颁布,扮演"
plead,"vi.辩护,恳求vt.为...辩护,借口,托称"
fluctuate,"vi.变动,波动,涨落,上下,动摇vt.使动摇,使波动,使起伏"
invariably,"adv.不变地,总是n.总是"
weave,"n.编法,织法,编织vt.编织,组合,编排,使迂回前进vi.纺织,迂回行进,摇晃n.织法,织物"
affiliate,"v.(使...)加入,接受为会员"
correspond,"vi.符合,协调,通信,相当,相应"
breakdown,"n.崩溃,衰弱,细目分类"
sketch,"n.略图,草图,概略,梗概,草图,拟定vi.绘略图,素描v.勾画"
glimpse,"n.一瞥,一看v.瞥见"
terrify,"vt.使恐怖,恐吓"
warrant,"n.授权,正当理由,根据,证明,凭证,委任状,批准,许可证vt.保证,辩解,担保,批准,使有正当理由"
hint,"n.暗示,提示,线索"
friction,"n.摩擦,摩擦力"
smuggle,"n.走私,偷带v.走私"
download,"下载,下传"
eject,"vt.逐出,撵出,驱逐,喷射n.推断的事物"
publicize,v.宣扬
publicise,vt.<主英> =publicize
simplify,"vt.单一化,简单化"
precaution,"n.预防,警惕,防范"
insane,"adj.患精神病的,精神病患者的,极愚蠢的"
regime,"n.政体,政权,政权制度"
assure,"vt.断然地说,确告,保证,担保"
caption,"n.标题,说明,字幕vt.加上标题,加上说明"
chaos,"n.混乱,混沌(宇宙未形成前的情形)"
slender,"adj.苗条的,微薄的,微弱的"
distil,"v.蒸馏,提取....的精华"
distill,"vt.蒸馏,提取vi.滴下"
fringe,"n.边缘,须边,刘海adj.边缘的,额外的v.在...上加以缘饰,成为...的边缘"
preview,"n.事先查看,[计]预览vt.事先查看,预展,预演"
fuss,"n.忙乱,大惊小怪,大惊小怪的人v.忙乱,大惊小怪"
diversion,"n.转移,转换,牵制,解闷,娱乐"
ponder,"v.沉思,考虑"
immunize,"vt.使免疫,赋予免疫性,使成为无害"
immunise,"v.使免疫,赋予免疫性"
enthusiastic,"adj.热心的,热情的"
gross,"adj.总的,毛重的n.总额"
clutch,"v.抓住,攫住n.离合器"
perpetual,adj.永久的
overlap,v.(与...)交迭
prevalent,"adj.普遍的,流行的"
provocative,adj.煽动的n.刺激物
streak,"v.飞跑,加上条纹"
supervise,"v.监督,管理,指导"
astonish,vt.使惊讶
resume,"n.摘要,概略,<美> 履历vt.再继续,重新开始,重新占用,再用,恢复"
defect,"n.过失,缺点"
presume,"vt.假定,假设,认为"
resent,"v.愤恨,怨恨"
absolute,"adj.完全的,绝对的"
epidemic,"adj.流行的,传染的,流行性n.时疫,疫疾流行,(风尚等的)流行,流行病"
reconcile,"vt.使和解,使和谐,使顺从"
manuscript,"n.手稿,原稿"
outgoings,
dispense,"vt.分发,分配"
inner,"adj.内部的,里面的,内心的n.内部"
merit,"n.优点,价值v.有益于"
infringe,"v.破坏,侵犯,违反"
pervasive,adj.普遍深入的
cluster,"n.串,丛;vi.丛生,成群"
circuit,"n.电路,一圈,周游,巡回"
crude,"adj.天然的,未加工的,粗糙的,拙劣的,粗鲁的n.天然的物质"
bald,"adj.光秃的,单调的,枯燥的"
pendulum,"n.钟摆,摇锤"
