benefit,"n.利益,好处vt.有益于,有助于vi.受益"
chase,"n.追赶,追击vt.追赶,追逐,雕镂"
compress,"vt.压缩,摘要叙述n.(外科)敷布"
forecast,"n.先见,预见,预测,预报vt.预想,预测,预报,预兆"
disapprove,v.不赞成
outlook,"n.景色,风光,观点,见解,展望,前景"
irritate,"vt.激怒,使急躁v.刺激"
nourish,"vt.滋养,使健壮,怀有(希望,仇恨等)"
descend,"vi.下来,下降,遗传(指财产,气质,权利),突击,出其不意的拜访v.下去"
proximity,"n.接近,亲近"
overlook,"vt.俯瞰,耸出,远眺,没注意到n.眺望,俯瞰中的景色"
steer,"v.驾驶,掌舵"
subsidy,"n.补助金,津贴"
emphasize,"vt.强调,着重v.强调"
emphasise,
degenerate,adj.退化的v.退化
relish,n.意味
prolong,"vt.延长,拖延"
constrain,"vt.强迫,抑制,拘束"
assemble,"vt.集合,聚集,装配vi.集合"
linear,"adj.线的,直线的,线性的"
literal,"adj.文字的,照字面上的,无夸张的"
disorder,"n.杂乱,混乱,无秩序状态vt.扰乱,使失调,使紊乱"
beneath,adv.在...之下 prep.在...之下
radical,"adj.根本的,基本的,激进的n.激进分子"
radiate,"vt.放射,辐射,传播,广播vi.发光,辐射,流露adj.有射线的,辐射状的"
descent,"n.降下,降落,世系,血统,侵袭"
confer,"vt.授予(称号、学位等),赠与,把...赠与,协议v.协商,交换意见"
paradox,"n.似非而是的论点,自相矛盾的话"
cruise,"vi.巡游,巡航n.巡游,巡航"
sue,"vt.控告,向...请求,请愿vi.提出诉讼,提出请求"
flap,"n.拍打,拍打声,副翼v.拍打,鼓翼而飞,飘动,拉下(帽)的边,扔,掷"
esteem,"vt.把...看作,尊敬,尊重,认为n.尊敬,尊重"
discern,"v.目睹,认识,洞悉,辨别,看清楚"
induce,"vt.劝诱,促使,导致,引起,感应"
premise,"n.[逻][法]前提,(企业,机构等使用的)房屋连地基vt.提论,预述,假定vi.作出前提"
recur,"vi.复发,重现,再来"
trim,"adj.整齐的,整洁的vt.整理,修整,装饰"
refreshment,"n.(常pl.) 点心,饮料,精力恢复,爽快"
proposal,"n.提议,建议"
ventilate,"vt.使通风,给...装通风设备"
applause,"n.鼓掌欢迎,欢呼"
haul,"n.用力拖拉,拖,拉,捕获物,努力得到的结果,(尤指)一网捕获的鱼量,拖运距离vi.拖,拉,改变方向,改变主意vt.拖拉,拖运"
chunk,"n.大块,矮胖的人或物"
versus," prep.对(指诉讼,比赛等中),与...相对"
hasty,"adj.匆忙的,草率的"
fixture,"n.固定设备,预定日期,比赛时间,[机]装置器,工作夹具"
successor,"n.继承者,接任者,后续的事物"
spectator,n.观众(指比赛或表演)
dart,"n.标枪,镖,(昆虫的)刺,飞快的动作v.飞奔,投掷"
specify,"vt.指定,详细说明,列入清单"
hail,"n.冰雹,致敬,招呼,一阵vt.向...欢呼,致敬,招呼,使象下雹样落下,猛发vi.招呼,下雹int.万岁,欢迎"
scarce,"adj.缺乏的,不足的,稀有的,不充足的"
hatch,"n.孵化,舱口,舱口盖,(门、墙壁、地板上的)开口vt.孵,孵出,策划,图谋vi.孵化"
motive,"n.动机,目的adj.发动的,运动的"
drown,"v.溺死,淹死vt.淹没"
explosion,"n.爆发,发出,爆炸,[矿]煤气爆炸"
rebel,"n.造反者,叛逆者,反抗者,叛乱者adj.造反的,叛逆的,反抗的v.造反,反叛,反抗,叛乱"
antique,"n.古物,古董adj.古时的,过时的"
stiff,"adj.硬的,僵直的,拘谨的,呆板的,艰难的,费劲的,僵硬的"
maximize,"vt.取...最大值,最佳化"
maximise,vt.<主英> =maximize
dizzy,"adj.(指人)晕眩的,昏乱的,(指地点,情况)使人晕眩的"
delightful,"adj.令人愉快的,可喜的"
depress,"vt.使沮丧,使消沉,压下,压低,使不活泼,使萧条v.压下"
altitude,"n.(尤指海拔)高度,高处(海拔甚高的地方),(等级,地位等)高等"
deviate,"vi.背离,偏离v.偏离"
stall,"n.货摊,畜栏,厩,出售摊v.(使)停转,(使)停止,迟延"
testify,"v.证明,证实,作证"
privilege,"n.特权,特别待遇,基本公民权力,特免vt.给与...特权,特免"
liability,"n.责任,义务,倾向,债务,负债,与assets相对"
tribute,"n.贡品,礼物,颂词,殷勤,贡物"
venue,"n.犯罪地点,审判地,集合地点,会议地点,比赛地点,管辖地"
accordance,"n.一致,和谐"
lever,"n.杆,杠杆,控制杆v.抬起"
loom,"n.织布机,织机v.隐现,迫近"
quota,"n.配额,限额"
allege,"vt.宣称,断言"
overtake,"vt.赶上,追上,(暴风雨、麻烦等)突然来袭,压倒"
abolish,"vt.废止,废除(法律、制度、习俗等)"
ample,"adj.充足的,丰富的"
patrol,"v.出巡,巡逻n.巡逻"
intricate,"adj.复杂的,错综的,难以理解的"
rhythm,"n.节奏,韵律"
expel,"v.驱逐,开除,排出,发射"
dub,"vt.[电影]配音,轻点,授予称号,打击n.鼓声,笨蛋"
defy,"vt.不服从,公然反抗,藐视,挑衅,违抗,使...难于n.挑战"
exemplify,"vt.例证,例示,作为...例子"
misguided,adj.被误导的
sheer,"adj.全然的,纯粹的,绝对的,彻底的,透明的,峻峭的vi.避开,躲避,偏航vt.使避开,使偏航adv.完全,全然,峻峭n.偏航"
instantaneous,"adj.瞬间的,即刻的,即时的"
insulate,"vt.使绝缘,隔离"
conspicuous,adj.显著的
turnover,"n.翻覆,翻折,半圆卷饼,流通量,营业额,周转adj.有一部分翻转的,可翻转的"
promising,"adj.有希望的,有前途的"
complement,"n.补足物,[文法]补语,[数]余角vt.补助,补足"
erode,"vt.侵蚀,腐蚀,使变化vi.受腐蚀,逐渐消蚀掉"
avoidance,
alleviate,"vt.使(痛苦等)易于忍受,减轻"
fragile,"adj.易碎的,脆的"
brisk,"adj.敏锐的,凛冽的,轻快的,活泼的vt.使活泼vi.活跃起来"
statue,vt.以雕像装饰n.雕像
undertake,"vt.承担,担任,许诺,保证v.采取"
temper,"n.(钢等)韧度,回火,性情,脾气,情绪,心情,调剂,趋向v.(冶金)回火、锻炼,调和,调节"
contradict,"vt.同...矛盾,同...抵触"
throne,"n.王座,君主"
erupt,vt.喷出vi.爆发
impair,v.削弱
subordinate,"adj.次要的,从属的,下级的n.下属v.服从"
immerse,"vt.沉浸,使陷入"
inertia,"n.惯性,惯量"
merge,"v.合并,并入,结合,吞没,融合"
legislator,n.立法者
buck,"n.<美口> 元,雄鹿,公羊,公兔v.(马等)突然一跃(将骑手摔下)"
analyze,"vt.分析,分解"
analyse,"vt.分析,分解n.分析"
closet,"n.壁橱,储藏室,厕所adj.关起门来的vt.关入私室密谈"
erase,"vt.抹去,擦掉,消磁,<俚>杀死"
ambiguity,"n.含糊,不明确"
bust,"n.半身像,胸像,(妇女的)胸部"
disregard,"v.不理漠视n.漠视,忽视"
assimilate,v.吸收
inhabit,"vt.居住于,存在于,占据,栖息"
foul,"adj.污秽的,邪恶的,肮脏的,淤塞的,恶劣的vt.弄脏,妨害,污蔑,犯规,淤塞vi.腐烂,犯规,缠结n.犯规,缠绕adv.违反规则地,不正当地"
tilt,"v.(使)倾斜,(使)翘起,以言词或文字抨击"
dazzle,"v.(使)眼花,眩耀n.耀眼"
drain,"n.排水沟,消耗,排水vt.排出沟外,喝干,耗尽vi.排水,流干"
slack,"n.松弛,静止,淡季,闲散,家常裤adj.松弛的,不流畅的,疏忽的,软弱的,漏水的,呆滞的,懒散的adv.马虎地,缓慢地vt.使松弛,使缓慢,马虎从事vi.松懈,减弱,松驰"
visa,n.签证vt.签准 维萨信用卡
lunar,"adj.月的,月亮的"
scatter,"v.分散,散开,撒开,驱散"
conviction,"n.深信,确信,定罪,宣告有罪"
generalize,"vt.归纳,概括,推广,普及"
generalise,v.<主英>=generalize
confess,"v.承认,坦白,忏悔"
strand,"n.绳、线之一股,线,绳,串,海滨,河岸vi.搁浅vt.使搁浅,使落后,使陷于困境,弄断,搓"
random,"n.随意,任意adj.任意的,随便的,胡乱的adv.胡乱地"
shuttle,"n.往返汽车(列车、飞机),航天飞机,梭子,穿梭v.穿梭往返"
elaborate,"adj.精心制作的,详细阐述的,精细vt.精心制作,详细阐述v.详细描述"
impatient,"adj.不耐烦的,急躁的,不耐心的"
permissible,"adj.可允许的,可容许程度的"
striking,"adj.打击的,显著的,惊人的,罢工的"
compact,"adj.紧凑的,紧密的,简洁的n.契约,合同,小粉盒"
compartment,"n.间隔间,车厢"
vegetation,"n.[植]植被,(总称)植物、草木,(植物的)生长、呆板单调的生活"
assault,"n.攻击,袭击v.袭击"
icon,"n.图标,肖像,偶像"
hospitality,"n.好客,宜人,盛情"
fabric,"n.织品,织物,布,结构,建筑物,构造"
dual,"adj.双的,二重的,双重"
eccentric,adj.古怪n.行为古怪的人
plea,"n.恳求,请求,辩解,藉口"
courageous,"adj.勇敢的,有胆量的"
acute,"adj.敏锐的,[医]急性的,剧烈"
optimum,n.最适宜adj.最适宜的
escort,"n.护卫(队),护送,陪同(人员),护卫队v.护卫,护送,陪同"
contaminate,v.污染
bypass,"n.旁路vt.设旁路,迂回"
intimidate,v.胁迫
barrel,n.桶vt.装入桶内
provoke,"vt.激怒,挑拨,煽动,惹起,驱使"
utmost,"n.极限,最大可能,极力adj.极度的,最远的"
accounting,"n.会计学,清算帐目"
linger,"v.逗留,闲荡,拖延,游移"
skim,v.撇去
testimony,"n.证词(尤指在法庭所作的),宣言,陈述"
thorough,"adj.十分的,彻底的"
deregulation,"n.违反规定,反常"
blur,"v.涂污,污损(名誉等),把(界线,视线等)弄得模糊不清,弄污n.污点"
royalty,"n.皇室,王权"
imitate,"vt.模仿,仿效,仿制,仿造v.模仿"
orient,"n.东方,东方诸国(指地中海以东各国)adj.东方的,上升的,灿烂的vi.适应形势,向东vt.使朝东,使适应,确定方向"
spacious,"adj.广大的,大规模的"
animate,v.鼓舞adj.生气勃勃的
foremost,"adj.(位置或时间)最先的,最初的,最重要的adv.首要地,首先"
log,"n.航行日志,原木,园形木材,园木v.把...记入航行日志,伐木,把...锯成段"
cornerstone,"n.墙角石,基础"
surpass,"vt.超越,胜过"
normalize,v.规格化
normalise,v.<主英> =normalize
foresee,"vt.预见,预知"
drastic,"adj.激烈的,(药性等)猛烈的"
probe,"n.探针,探测器vt.(以探针等)探查,查明"
coalition,"n.合并,接合,联合"
inquire,"v.询问,问明,查究"
domain,"n.领土,领地,(活动、学问等的)范围,领域"
superficial,"adj.表面的,肤浅的,浅薄的"
magnitude,"n.大小,数量,巨大,广大,量级"
mainstream,n.主流
visualize,"vt.形象,形象化,想象vi.显现"
visualise,v.<主英> =visualize
awkward,"adj.难使用的,笨拙的"
situate,"vt.使位于,使处于"
dilute,"v.冲淡,变淡,变弱,稀释adj.淡的,弱的,稀释的"
bubble,"n.泡沫,幻想的计划vi.起泡,潺潺的流"
leaflet,"n.小叶,传单"
intuition,"n.直觉,直觉的知识"
singular,"n.单数adj.单一的,非凡的,异常的,持异议的"
hike,"v.远足,飞起,步行n.远足,增加"
notable,"adj.值得注意的,显著的,著名的"
spill,"n.溢出,溅出,摔下,木片,小塞子,暴跌,溢出量vt.使溢出,使散落,洒,使流出,使摔下,倒出vi.溢出,涌流,充满"
whip,"n.鞭子,车夫v.鞭打,抽打,突然移动"
extinct,"adj.熄灭的,灭绝的,耗尽的vt.<古>使熄灭"
vanish,"vi.消失,突然不见,[数]成为零n.[语]弱化音"
foretell,"v.预言,预示,预测"
automate,"v.使自动化,自动操作"
permeate,"vt.弥漫,渗透,透过,充满vi.透入"
acid,"n.酸,<俚>迷幻药;adj.酸的,讽刺的,刻薄的;""atomicity,consistency,isolation,and durability"" 原子性,一致性,不相关性和持久性"
deploy,"v.展开,配置"
revise,"vt.修订,校订,修正,修改"
defeat,"n.击败,战胜,失败vt.击败,战胜,使失败,挫折v.击败"
suppress,"vt.镇压,抑制,查禁,使止住"
rap,"n.叩击,轻拍,轻敲,斥责vt.敲,拍,打,厉声说出,斥责,使着迷vi.敲击,交谈 [军] Rocket Assisted Projectile,火箭助推炮弹"
betray,"vt.出卖,背叛,泄露(秘密),露出...迹象"
grip,"vt.紧握,紧夹n.掌握,控制,把手v.抓住"
fright,"n.惊骇,吃惊"
destination,"n.目的地,[计] 目的文件,目的单元格"
proceeding,"n.行动,进行,[pl.] 会议录,学报"
council,"n.政务会,理事会,委员会,参议会,讨论会议,顾问班子,立法班子"
robbery,"n.抢掠,抢夺"
evoke,"vt.唤起,引起,博得"
frustrate,"v.挫败,阻挠,使感到灰心,阻止"
recount,v.叙述
backup,"n.后援,支持,阻塞;vt.做备份;adj.候补的,支持性的"
commence,"v.开始,着手"
elevate,"vt.举起,提拔,振奋,提升...的职位"
foster,"vt.养育,抚育,培养,鼓励,抱(希望) n.养育者,鼓励者"
spite,"n.(in ～ of)不顾,不管,敌意v.困扰"
mortal,"n.凡人,人类adj.必死的,致命的,人类的,临终的adj.<口>极端的,非常大(长)的"
mature,"adj.成熟的,到期的,充分考虑的,(票据等)到期的vt.使成熟vi.成熟,到期"
rivalry,"n.竞争,竞赛,敌对,敌对状态"
renaissance,"n.复兴,复活,新生,文艺复兴,文艺复兴时期"
episode,"n.一段情节,[音]插曲,插话,有趣的事件"
regulatory,adj.调整的
buzz,"n.嗡嗡声v.作嗡嗡声,嗡嗡作响,逼近"
dreadful,"adj.可怕的,<口>讨厌的"
bless,"vt.祝福,保佑,<口>哎呀!我的天哪!"
polar,"adj.[天]两极的,极地的,南辕北辙的,南极的,(北极星似的)指引的,极性的,北极的n.极线,极面"
decay,"vi.腐朽,腐烂,衰减,衰退n.腐朽,腐烂,衰减,衰退v.衰落"
assert,"v.断言,声称"
presumably,"adv.推测起来,大概"
bunch,"n.串,束v.捆成一束"
visible,"adj.看得见的,明显的,显著的n.可见物"
punch,"n.冲压机,冲床,打孔机vt.冲孔,打孔"
script,"n.手稿,手迹,剧本,考生的笔试卷,原本"
bilingual,adj.能说两种语言的
elicit,"vt.得出,引出,抽出,引起"
illusion,n.幻想
honorary,"adj.荣誉的,名誉的,(债务的)道义上的"
interior,"adj.内部的,内的n.内部"
radiation,"n.发散,发光,发热,辐射,放射,放射线,放射物"
scarcity,"n.缺乏,不足"
situated,"adj.位于,被置于境遇,处于...的立场"
hierarchy,n.层次 层级
portrait,"n.肖像,人像"
conversely,"adv.倒地,逆地"
graphic,"adj.绘画似的,图解的"
dissolve,"v.溶解,解散"
idle,"adj.空闲的,懒惰的,停顿的,无用的,无价值的vi.不做事,游手好闲,(机器)空转,虚度,闲散,不作事,游手好闲,浪费vt.虚度,使空闲,使空转"
rating,"n.等级级别(尤指军阶),额定,责骂,申斥"
landmark,"n.(航海)陆标,地界标,里程碑,划时代的事,"
variable,"n.[数]变数,可变物,变量adj.可变的,不定的,易变的,[数]变量的"
stroke,"n.击,敲,报时的钟声,(网球等)一击,(划船等)一划,(绘画等)一笔,一次努力,打击vt.抚摸"
coincidence,"n.一致,相合,同时发生或同时存在(尤指偶然)的事"
bug,"n.小虫,臭虫,缺陷,错误;v.装置窃昕器,打扰"
cosmetic,n.化妆品adj.化妆用的
expire,"v.期满,终止,呼气,断气,届满"
funding,
bankrupt,"n.破产者adj.破产了的,完全丧失vt.使破产"
sanction,"n.批准,同意,支持,制裁,认可v.批准,同意,支持,鼓励,认可"
erect,"adj.直立的,竖立的,笔直的vt.盖,使竖立,使直立,树立,建立vi.[生理]勃起"
envy,"n.vt.羡慕,嫉妒"
dental,adj.牙齿的
defence,"n.防卫,防卫设备n.[律](被告的)答辩、辩护"
defense,
generosity,"n.慷慨,宽大"
expenditure,"n.支出,花费"
distinction,"n.区别,差别,级别,特性,声望,显赫"
conversion,"n.变换,转化"
nonsense,"n.胡说,废话"
hurl,"n.<俚>[棒球]用力或猛烈的投掷vt.用力投掷,愤慨地说出,丢下,推翻vi.猛投,猛掷"
certification,n.证明
compulsory,"adj.必需做的,必修的,被强迫的,被强制的,义务的"
credible,"adj.可信的,可靠的"
compassionate,adj.富于同情心的
layout,"n.规划,设计,(书刊等)编排,版面,配线,企划,设计图案,(工厂等的)布局图 版面设计"
unprecedented,adj.空前的
traverse,"n.横贯,横断,横木,障碍,否认,反驳,(建筑)通廊vt.横过,穿过,经过,在...来回移动,反对,详细研究vi.横越,横断,旋转,来回移动adj.横断的,横的"
segregate,v.隔离
furnish,"vt.供应,提供,装备,布置v.供给"
retrieve,v.重新得到n.找回
dietary,"adj.饭食的n.规定的食物,饮食之规定"
finite,"adj.有限的,[数]有穷的,限定的"
practicable,"adj.能实行的,行得通的,可以实行的"
homogeneous,"adj.同类的,相似的,均一的,均匀的"
sentiment,"n.情操,情感,情绪,观点,多愁善感,感情"
negligible,"adj.可以忽略的,不予重视的"
vocational,adj.职业的
vacant,"adj.空的,空白的,空灵的,头脑空虚的,神情茫然的,空闲的,空缺的"
opponent,"adj.对立的,对抗的n.对手,反对者"
certify,"v.证明,保证"
dividend,"n.被除数,股息,红利,额外津贴,奖金,年息"
endeavor,"n.努力,尽力vi.尽力,努力"
endeavour,"n.<英>尽力,竭力"
cumulative,adj.累积的
recruit,"n.新兵,新分子,新会员vt.使恢复,补充,征募vi.征募新兵,复原"
profitable,adj.有利可图的
enclose,"vt.放入封套,装入,围绕"
awesome,"adj.引起敬畏的,可怕的"
pitch,"n.程度,斜度,树脂,投掷,定调,(船只)前后颠簸,倾斜,沥青vt.投,掷,向前倾跌,定位于,用沥青涂,扎营vi.搭帐篷,投掷,坠落,倾斜"
interfere,"vi.干涉,干预,妨碍,打扰"
clarity,"n.清楚,透明"
reign,"vi.统治,支配,盛行,占优势n.统治,统治时期,支配"
equivalent,"adj.相等的,相当的,同意义的n.等价物,相等物"
refute,"vt.驳倒,反驳"
infectious,"adj.有传染性的,易传染的,有感染力的"
classified,v.分类adj.机密的
enrolment,"n.登记,入学"
enrollment,"n.登记,注册,入伍,入会,入学"
renewable,"adj.可更新的,可恢复的"
submission,"n.屈服,降服,服从,谦恭,投降"
cultivation,"n.培养,教养,耕作,中耕"
investigator,n.调查人
likelihood,"n.可能,可能性"
deliberate,"adj.深思熟虑的,故意的,预有准备的v.商讨"
representative,"n.代表adj.典型的,有代表性的"
extension,"n.延长,扩充,范围n.扩展名adj.[逻]外延的,客观现实的"
controversial,"adj.争论的,争议的"
tendency,"n.趋向,倾向"
underway,"adj.起步的,进行中的,航行中的"
respondent,adj.回答的n.回答者
dwarf,"n.矮子,侏儒v.(使)变矮小"
noticeable,"adj.显而易见的,值得注意的"
grace,"n.优美,雅致,优雅 Grace 格雷斯(女子名)"
offend,"v.犯罪,冒犯,违反,得罪,使...不愉快"
perish,"vi.毁灭,死亡,腐烂,枯萎vt.毁坏,使麻木"
criticize,"v.批评,责备"
criticise,"v.批评,吹毛求疵,非难"
spectacle,"n.观览物,展览物,公开展示,奇观,景象,光景,(a pair of ～s)眼镜"
excess,"n.过度,剩于,无节制,超过,超额adj.过度的,额外的"
intermediate,adj.中间的n.媒介
despise,vt.轻视
solitary,adj.孤独的
legitimate,"adj.合法的,合理的,正统的v.合法"
peculiar,"adj.奇特的,罕见的,特殊的n.特有财产,特权"
marine,"n.舰队,水兵,海运业adj.海的,海产的,航海的,船舶的,海运的"
revelation,"n.显示,揭露,被揭露的事,新发现,启示,揭示"
adhere,"vi.粘附,胶着,坚持v.坚持"
prescribe,"v.指示,规定,处(方),开(药)"
stumble,"v.绊倒,使困惑,蹒跚,结结巴巴地说话,踌躇n.绊倒,错误"
condense,"v.(使)浓缩,精简"
duplicate,"adj.复制的,副的,两重的,两倍的,完全相同n.复制品,副本vt.复写,复制,使加倍,使成双"
deceive,"v.欺骗,行骗"
banner,"n.旗帜,横幅,标语"
divert,"v.转移,转向,使高兴"
segment,"n.段,节,片断v.分割"
denote,"vt.指示,表示"
coincide,"vi.一致,符合"
cue,"n.暗示,提示,球杆"
creep,"vi.爬,蹑手蹑脚,蔓延"
fascinate,"vt.使着迷,使神魂颠倒vi.入迷,极度迷人的"
pinch,"n.捏,撮,收缩,紧急关头,匮乏,压力vt.掐,夹痛,修剪,勒索,使感缺乏,使萎缩,偷vi.收缩,节省"
revolve,"v.(使)旋转,考虑,循环出现"
cease,"v.停止,终了"
rectify,"vt.矫正,调整,[化]精馏"
versatile,"adj.通用的,万能的,多才多艺的,多面手的"
hover,v.盘旋
revive,"v.(使)苏醒,(使)复兴,(使)复活,(使)再生效,回想"
compute,"v.计算,估计,用计算机计算(或确定)"
torture,"n.折磨,痛苦,拷问,拷打vt.拷问,曲解,折磨,使弯曲"
delegate,n.代表vt.委派...为代表
sovereign,"n.君主,统治adj.至高无上的,君主的,独立自主的,完全的"
scrape,"n.刮,擦,擦痕,刮擦声,困境vi.刮掉,擦掉,刮出刺耳声vt.刮,擦,擦伤,挖成"
extravagant,"adj.奢侈的,浪费的,过分的,放纵的"
revolt,"v.反抗,起义,反叛,反感,厌恶"
omit,"vt.省略,疏忽,遗漏"
abort,"vi.异常中断,中途失败,夭折,流产,发育不全n.中止计划[任务]"
perplex,v.困惑
given,"adj.赠予的,沉溺的,特定的,假设的 vbl.give的过去分词"
instinct,n.本能
decree,"n.法令,政令,教令,天命,判决v.颁布"
limp,"adj.柔软的,易曲的vi.跛行"
accusation,"n.谴责,[律]指控"
siege,"n.包围,围城,长期努力,不断袭击,围攻v.包围,围攻"
deplore,v.表示悲痛
stride,"v.大步走(过),跨过,大步行走n.步幅"
referee,"n.仲裁人,调解人,[体]裁判员v.仲裁,裁判"
discrete,"adj.不连续的,离散的"
convict,"vt.证明...有罪,宣告...有罪n.罪犯"
civilize,"vt.使开化,使文明,教化"
civilise,"v.(=civilize)文明化,教化"
articulate,"adj.有关节的,发音清晰的vt.用关节连接,接合,清晰明白地说"
differentiate,"v.区别,区分"
groan,"n.呻吟,叹息vi.呻吟,受折磨,受压迫发出嘎吱声vt.呻吟着说"
reassure,"vt.使...安心,再保证,使...恢复信心,打消...的疑虑"
absurd,"adj.荒谬的,可笑的"
authoritative,"adj.权威的,有权威的,命令的"
expend,"vt.花费,消耗,支出,[海]把(暂时不用的绳)绕在杆上"
intensify,vt.加强vi.强化
pretext,"n.借口,托辞v.借口"
symposium,"n.讨论会,座谈会"
swamp,"n.沼泽,湿地,煤层聚水v.陷入沼泽,淹没,覆没"
coarse,"adj.粗糙的,粗鄙的"
administer,"v.管理,给予,执行"
originality,"n.创意,新奇"
scramble,"n.爬行,攀缘,抢夺,混乱vi.攀缘,杂乱蔓延,争夺,拼凑,匆忙vt.攀登,搅乱,使混杂"
auction,n.拍卖vt.拍卖
harassment,n.折磨
haste,"n.匆忙,急忙"
preach,v.鼓吹
chorus,"n.合唱,合唱队,齐声"
retention, 保持力
corrupt,"adj.腐败的,贪污的,被破坏的,混浊的,(语法)误用的vt.使腐烂,腐蚀,使恶化vi.腐烂,堕落"
catastrophe,"n.大灾难,大祸"
avert,v.转移
visionary,"adj.幻影的,幻想的,梦想的n.空想家,梦想者,好幻想的人"
sabotage,"n.(不满的职工或敌特等的)阴谋破坏,怠工,破坏vi.从事破坏活动vt.对...采取破坏行动,妨害,破坏"
mourn,"v.哀悼,忧伤,服丧"
scorn,"n.轻蔑,嘲笑,被叱责的人vt.轻蔑,不屑做"
adjoin,"v.邻接,毗连"
immense,"adj.极广大的,无边的,<口>非常好的"
eloquent,"adj.雄辩的,有口才的,动人的,意味深长的"
complication,"n.复杂化,(使复杂的)因素n.[医]并发症"
intermediary,"n.仲裁者,调解者,中间物adj.中间的,媒介的"
tickle,"n.搔,胳肢,发痒vt.胳肢,逗笑,使高兴,使发痒vi.觉得痒,使人痒"
cynical,adj.愤世嫉俗的
hitherto,"adv.迄今,至今"
batter,"n.击球手v.打坏,猛击"
comprise,"v.包含,由...组成"
prosecute,"vt.实行,从事,告发,起诉vi.告发,起诉,作检察官"
prosecution,"n.进行,经营,检举,起诉"
moderate,"adj.中等的,适度的,适中的v.缓和"
murmur,"n.低沉连续的声音,咕哝,怨言,低语v.发低沉连续的声音,发怨言,低声说,低语"
denounce,"vt.公开指责,公然抨击,谴责"
quench,"vt.结束,熄灭,淬火vi.熄灭,平息"
disclosure,"n.揭发,败露,败露的事情"
casualty,n.伤亡
dismay,"n.沮丧,惊慌v.使沮丧,使惊慌"
spontaneous,"adj.自发的,自然产生的"
bruise,"n.瘀伤,擦伤v.打伤,撞伤"
proficiency,"n.熟练,精通,熟练程度"
proclaim,"vt.宣布,声明,显示,显露"
blunder,"v.跌跌撞撞地走,犯大错,做错n.大错,失误"
rip,"v.撕,剥,劈,锯,裂开,撕裂n.裂口,裂缝  愿灵安眠 RIP(rest in peace)"
groove,"n.(唱片等的) 凹槽,惯例,最佳状态vt.开槽于"
maneuver,v.机动n.机动
manoeuvre,"n.[亦作maneuvre] 策略,调动v.用策略,调动,演习,(敏捷地)操纵"
onset,"n.攻击,进攻,有力的开始,肇端n.[医]发作"
exclusive,"adj.排外的,孤高的,唯我独尊的,独占的,唯一的,高级的"
deport,"vt.举止,驱逐"
shutter,"n.关闭者,百叶窗,快门,<美俚>安眠药;vt.关上,装以遮门,以百叶窗遮闭"
insult,"n.侮辱,凌辱vt.侮辱,凌辱"
fabulous,"adj.寓言中的,寓言般的,神话般的,传统上的,惊人的,难以置信的"
ascribe,"vt.归因于,归咎于"
propagate,"v.繁殖,传播,宣传"
submerge,"v.浸没,淹没,掩没vi.潜水"
quotation,"n.引用语,价格,报价单,行情表"
petty,"adj.小的,不重要的,小规模的,小型的,细微的,小器的,卑鄙的"
assassin,"n.暗杀者,刺客"
curfew,"n.(中世纪规定人们熄灯安睡的)晚钟声,打晚钟时刻,宵禁令(时间)"
acquaint,"vt.使熟知,通知"
deduct,"vt.扣除,演绎"
suspension,"n.吊,悬浮,悬浮液,暂停,中止,悬而未决,延迟"
faint,"n.昏晕,昏倒adj.虚落地,衰弱的,软弱的,无力的,微弱的,暗淡的,模糊的vi.昏晕,昏倒,变得微弱,变得没气力"
glare,"n.眩目的光,显眼,怒目而视,(冰等的表面)光滑的表面v.闪耀"
gleam,"n.微弱的闪光,一丝光线,瞬息的一现vi.闪烁,隐约地闪现vt.使发微光,使闪烁"
glitter,"vi.闪闪发光,闪烁,闪光n.闪光"
chill,"n.寒意,寒战,寒心adj.寒冷的,扫兴的v.使冷,变冷,冷藏"
exclaim,"v.呼喊,惊叫,大声叫"
accord,"n.一致,符合,调和,协定;vt.一致,给与;vi.符合"
chord,"n.弦,和音,情绪n.[解]腱"
diffuse,"v.散播,传播,漫射,扩散,(使)慢慢混合adj.散开的,弥漫的"
utter,"adj.全然的,绝对的vt.发出,做声,发表,发射,流通"
utter,"adj.全然的,绝对的vt.发出,做声,发表,发射,流通"
salute,"n.(尤指军队等之)举手礼,升降旗致敬,呜礼炮等,敬礼v.行礼致敬,敬礼"
inject,"vt.注射,注入"
summon,"v.召集,召唤,号召,鼓起,振作"
enlighten,"vt.启发,启蒙,教导,授予...知识,开导,<古>照耀"
snatch,v.攫取n.攫取
redundant,adj.多余的
flatter,"vt.过分夸赞,奉承,阿谀,使高兴,使满意,(画,肖像上的形象)胜过(真人或实物)"
startle,v.震惊
necessitate,v.成为必要
horizon,"n.地平线n.地平(线),(知识,思想等的)范围,视野"
mingle,v.(使)混合
blush,"v.脸红,羞愧,呈现红色,使成红色n.脸红,红色,红光"
flush,"n.奔流,晕红,激动,萌芽,活力旺盛,发烧,一手同花的五张牌,惊鸟;adj.挥霍的,直接的,泛滥的;adv.齐平地,直接地;vi.(脸)发红,奔涌,充沛,惊飞;vt.淹没,冲洗,使脸红,使齐平,使惊飞,使激动"
corrode,"v.使腐蚀,侵蚀"
oppress,"vt.压迫,压抑"
senate,"n.参议院,上院"
abundance,"n.丰富,充裕,丰富充裕"
commemorate,vt.纪念
ascend,"v.攀登,上升"
