adjust,"vt.调整,调节,校准,使适合"
threaten,"vt.恐吓,威胁,预示(危险),似有发生或来临的可能,可能来临"
traveler," 旅行者,旅游者"
typical,"adj.典型的,象征性的"
variation,"n.变更,变化,变异,变种,[音]变奏,变调"
vegetarian,"n.素食者,食草动物adj.素食的"
take up,
abrupt,"adj.突然的,陡峭的,生硬的"
accompany,"vt.陪伴,伴奏"
accomplish,"vt.完成,达到,实现"
assure,"vt.断然地说,确告,保证,担保"
caution,"n.小心,谨慎,警告vt.警告"
compliment,"n.称赞,恭维,致意,问候,道贺vt.称赞,褒扬,恭维"
constantly,"adv.不变地,经常地,坚持不懈地"
corporation,"n.[律]社团,法人,公司,企业,<美>有限公司,(市,镇的)自治机关,<口>大肚皮"
definitely,"adv.明确地,干脆地"
delegation,"n.代表团,授权,委托"
discourage,"vt.使气馁,阻碍"
fancy,"adj.奇特的,异样的vt.想象,设想,认为,爱好,自负n.爱好,迷恋,想象力"
farewell,"n.辞别,再见,再会int.再会,别了!(常含有永别或不容易再见面的意思)"
feasible,"adj.可行的,切实可行的"
flee,"vt.逃避,逃跑,逃走vi.消散,逃,消失"
fluster,"n.慌乱,狼狈,混乱,激动vt.使酩醉,使慌张,使激动vi.慌慌张张的行动,混乱"
forth,"adv.往前,向外"
Godspeed,
gracefully,温文地
graciousness,
haste,"n.匆忙,急忙"
hostess,"n.女主人,女房东,女老板,女服务员,舞女"
inevitable,"adj.不可避免的,必然的"
landing,"n.登陆,着陆,码头,楼梯平台,降落"
mission,"n.使命,任务,使团,代表团"
modesty,"n.谦逊,虚心"
modify,"vt.更改,修改v.修改"
naughty,"adj.顽皮的,淘气的,不听话的,没规矩的,不适当的,下流的"
negotiation,"n.商议,谈判,流通"
one-upmanship,
parting,"n.分别,分歧处,(头发的)分缝adj.离别的,逝去的"
polar,"adj.[天]两极的,极地的,南辕北辙的,南极的,(北极星似的)指引的,极性的,北极的n.极线,极面"
politeness,"n.有礼,优雅"
proposal,"n.提议,建议"
protest,"n.主张,断言,抗议v.主张,断言抗议,拒付"
refusal,"n.拒绝,推却,优先取舍权,优先取舍的机会"
straightforwardness,
surpass,"vt.超越,胜过"
useless,"adj.无用的,无效的,无益的,无价值的"
and so forth,
go against,
go through,
hold true,
insist on,
many a,
put someone to trouble,
see someone off,
send someone off,
slip into,
smooth over,
start out,
take pride in,
with regard to,
apt,"adj.易于...的,有...倾向的,灵敏的,灵巧的,适当的,切题的,敏捷,倾向是"
candy,"n.糖果,冰糖v.蜜饯,糖煮(水果)"
celery,"n.[植]旱芹,芹菜"
cob,n.圆块vt.捣碎
contrary,"adj.相反的,逆的,<口语>执拗n.反面adv.相反地"
customary,"adj.习惯的,惯例的"
embarrassment,"n.困窘,阻碍"
equality,"n.等同性,同等,平等,相等,等式"
lettuce,"n.[植]莴苣,生菜,苦菜类,<俚>纸币"
likewise,"adv.同样地,照样地,又,也n.同样地"
napkin,"n.餐巾,餐巾纸,<英>尿布,<美>月经带"
olive,"n.橄榄树,橄榄叶,橄榄枝,橄榄色 Olive 奥利夫(女子名)"
original,"adj.最初的,原始的,独创的,新颖的n.原物,原作"
overstay,
peculiar,"adj.奇特的,罕见的,特殊的n.特有财产,特权"
prayer,n.祈祷
private,"adj.私人的,私有的,私营的,秘密的n.士兵"
radish,n.[植]萝卜
sensitive,"adj.敏感的,灵敏的,感光的"
sex,"n.性别,男性或女性,性欲,<口>性交,<俚>生殖器,阴茎vt.区别...的性别,引起...的性欲"
silverware,n.银器
spill,"n.溢出,溅出,摔下,木片,小塞子,暴跌,溢出量vt.使溢出,使散落,洒,使流出,使摔下,倒出vi.溢出,涌流,充满"
thoroughly,"adv.十分地,彻底地"
thoughtful,"adj.深思的,有思想性的,体贴的,关切的"
apt to do something,
at one's best,
break up,
follow someone's lead,
follow someone's example,
leave something to someone else,
on the contrary,
under way,
accordance,"n.一致,和谐"
blunt,"adj.钝的,生硬的"
booth,"n.货摊,售货亭,棚"
bouquet,n.花束
carving,"n.雕刻品,雕刻"
chrysanthemum,n.菊花
confessional,"adj.自白的,忏悔的n.(教堂中神甫听取忏悔的)忏悔室"
corporate,"adj.社团的,法人的,共同的,全体的"
customarily,adv.通常
funeral,"n.葬礼,出殡"
hierarchy,n.层次 层级
inappropriate,"adj.不适当的,不相称的"
joint,"n.接缝,接合处,接合点,关节,(牛、羊等的腿)大块肉adj.共同的,联合的,连接的,合办的vt.连接,接合,使有接头vi.贴合,生节"
lily,"n.百合,百合花,洁白的东西,纯洁的人adj.洁白的,纯洁的 Lily 莉莉(女子名)"
lowly,"adj.地位低的,卑贱的,谦逊的adv.位置低下的,低声地,谦逊地"
notion,"n.概念,观念,想法,意见,打算,主张,(复数)<美语>小饰物"
partially,adv.部分地
perfume,"n.香味,芳香,香水vt.使发香,洒香水于,发香味"
porcelain,"n.瓷器,瓷adj.瓷制的,精美的,脆的"
prestige,"n.声望,威望,威信"
proverbial,"adj.谚语的,谚语式的,众所周知的,公认的"
purple,adj.紫色的n.紫色
rank,"n.等级,横列,阶级adj.繁茂的,恶臭的,讨厌的,下流的vt.排列,归类于,把...分等vi.列为,列队n.[数] 秩"
secrecy,"n.秘密,保密"
sexy,"adj.有性感的,色情的,迷人的"
signify,"vt.表示,意味vi.要紧,有重要性v.颇为重要,表示"
statue,vt.以雕像装饰n.雕像
subtle,"adj.狡猾的,敏感的,微妙的,精细的,稀薄的"
symbolism,"n.象征主义,符号论"
tone,"n.音调,音质,语调,色调,状况,品质,语气,气氛vt.调和,增强,以特殊腔调说,配合,定音调vi.颜色调和"
unclothed,
undergarment,"n.内衣,贴身衣"
unwrap,"vt.打开,解开,展开"
well-intentioned,
in accordance with,
other than,
tone down,
agonize,"vt.使极度痛苦,折磨vi.感到极度痛苦"
amass,"vt.收集,积聚(尤指财富)"
aspire,"vi.热望,立志"
bankrupt,"n.破产者adj.破产了的,完全丧失vt.使破产"
bankruptcy,n.破产
confirm,"vt.确定,批准,使巩固,使有效v.确认,(基督教中)给...行按手礼"
dealer,"n.经销商,商人"
depart,"vi.离开,起程,不按照,逝世adj.过去的,逝世的"
elusive,"adj.难懂的,难捉摸的,易忘的"
evil,"adj.邪恶的,带来麻烦的,不幸的,有害的,诽谤的n.邪恶,不幸,罪恶"
ewe,
factor,"n.因素,要素,因数,代理人"
financial,"adj.财政的,金融的"
govern,"v.统治,支配,管理"
harmony,"n.协调,融洽"
hoard,v.储藏
inventor,n.发明家
lamb,"n.小羊,羔羊v.生小羊"
lest," conj.唯恐,以免,免得,(用于fear,be afraid之后,等于that)"
mortgage,n.抵押v.抵押
old-fashioned,
panic,"n.惊慌,恐慌,没有理由的"
pantry,"n.餐具室,食品室"
patent,"n.专利权,执照,专利品adj.特许的,专利的,显著的,明白的,新奇的vt.取得...的专利权,请准专利"
penniless,"adj.赤贫的,贫穷的"
philosophy,"n.哲学,哲学体系,达观,冷静"
pray,"v.祈祷,恳求,请"
purchase,"vt.买,购买n.买,购买"
spin,"v.旋转,纺,纺纱n.旋转"
stock,"n.树干,库存,股票,股份,托盘,祖先,血统,原料adj.股票的,普通的,常备的,存货的,繁殖用的vt.装把手于,进货,备有,放牧vi.出新芽,采购"
sum,"n.总数,和,金额,算术题"
test-drive,
thirst,"n.渴,口渴,(～ for)渴望,热望"
wagon,"n.四轮马车,货车v.用运货马车运输货物"
wealthy,"adj.富有的,丰裕的,充分的n.富人,有钱人"
all but,
cut back on,
do ... good,
for that matter,
keep ... up,
plow back,
point out,
calf,"n.小牛,小牛皮,小腿"
concerning, prep.关于
disobey,"v.违反,不服从"
drought,"n.干旱,缺乏"
duly,adv.适时地
entertain,"vt.娱乐,招待,接受,怀抱vi.款待"
exceed,"vt.超越,胜过vi.超过其他"
excess,"n.过度,剩于,无节制,超过,超额adj.过度的,额外的"
fodder,"n.饲料,草料,(创作的)素材,弹药vt.喂"
folk,"n.人们,亲属(复数),民族adj.民间的"
fowl,"n.家禽,禽,禽肉v.捕野禽"
grieve,"v.(使)悲痛,(使)伤心,忧伤"
hay,
indulge,v.纵容
infect,"vt.[医] 传染,感染"
mare,"n.母马,母驴,月球或火星等表面阴暗区"
misery,
moreover,"adv.而且,此外"
occupy,"vt.占,占用,占领,占据"
parable,"n.寓言,比喻"
profit,"n.利润,益处,得益vi.得益,利用vt.有益于,有利于"
proportion,"n.比例,均衡,面积,部分vt.使成比例,使均衡,分摊"
province,n.省(一个国家的大行政区)
respectable,"adj.可敬的,有名望的,高尚的,值得尊敬的"
wolf,"n.狼,残忍贪婪之人,极度的穷困vt.狼吞虎咽,大吃vi.猎狼"
break out laughing,
burst out laughing,
in authority,
in particular,
marry ... off,
reduce to,
rise to one's feet,
settle down,
so much so that,
turn ... out,
amiable,"adj.亲切的,和蔼可亲的"
bean,"n.豆,豆形果实"
brow,"n.眉毛,额,(面部)表情"
bunch,"n.串,束v.捆成一束"
centavo,n.分(菲律宾以及拉丁美洲的货币单位)
charity,"n.慈善,施舍,慈善团体,"
comment,"n.注释,评论,意见vi.注释,评论"
conscience,"n.良心,道德心"
contentment,"n.满意,知己"
convince,"vt.使确信,使信服"
corral,n.畜栏vt.关进畜栏
crest,"n.鸟冠,盔上的装饰(如羽毛),顶部,顶峰,浪头vi.到达绝顶vt.加以顶饰"
crook,"n.钩状物,(河、道的)弯处,<美口>骗子vt.使弯曲,诈骗vi.弯曲"
daybreak,"n.黎明,拂晓"
dot,"n.点,圆点,园点vt.在...上打点"
drape,n.窗帘
employee,"n.职工,雇员,店员"
evident,"adj.明显的,显然的"
hail,"n.冰雹,致敬,招呼,一阵vt.向...欢呼,致敬,招呼,使象下雹样落下,猛发vi.招呼,下雹int.万岁,欢迎"
hailstone,n.冰雹
hailstorm,n.下得很大的冰雹
heartily,adv.热忱地
instruct,"vt.教,教导,命令,指示,通知"
intimately,adv.密切地
kidney bean,
lick,"n.舔,少许,打vt.舔,卷过,鞭打,克服,征服vi.轻轻拍打"
locust,"n.[动]蝗虫,蚱蜢,蝉"
oblige,"vt.迫使,责成"
peso,n.比索(一种外国货币单位)
plague,"n.瘟疫,麻烦,苦恼,灾祸vt.折磨,使苦恼,使得灾祸"
postmaster,n.邮局女局长
rainfall,"n.降雨,降雨量"
resemble,"vt.象,类似"
resolution,"n.坚定,决心,决定,决议;分辨率"
resow,
salary,n.薪水vt.给...加薪
scan,"v.细看,审视,浏览,扫描n.扫描"
signature,"n.签名,署名,信号"
solitary,adj.孤独的
sorrowful,adj.悲伤的
wrinkle,n.皱纹v.使皱
ask for,
come up with,
look on,
stick to,
adolescent,"adj.青春期的,青春的;n.青少年"
aesthetic,"adj.美学的,审美的,有审美感的"
brand,"n.商标,牌子,烙印vt.打火印,污辱"
buyer,"n.买主,顾客,采购员"
buymanship,
campaign,"n.[军]战役,(政治或商业性)活动,竞选运动vi.参加活动,从事活动,作战"
consideration,"n.体谅,考虑,需要考虑的事项,报酬"
contemporary,"n.同时代的人adj.当代的,同时代的"
cosmetics,
criterion,"n.(批评判断的)标准,准据,规范"
distribute,"vt.分发,分配,散布,分布,分类,分区v.分发"
economics,n.经济学
educational,"adj.教育的,教育性的"
entertainment,"n.款待,娱乐,娱乐表演"
evaluation,"n.估价,评价,赋值"
extent,"n.广度,宽度,长度,范围,程度,区域,[律]<英>扣押,<美>临时所有权令"
growth,"n.生长,种植,栽培,发育,等比级数"
indicate,"vt.指出,显示,象征,预示,需要,简要地说明"
jeans,"n.斜纹布裤,牛仔裤"
jewelry,"n.珠宝,珠宝类"
kit,"n.成套工具,用具包,工具箱,成套用具"
loyalty,"n.忠诚,忠心"
male,"adj.男的,雄的,男性"
marketer,n.市场商人
marketplace,"n.集会场所,市场 商场"
mature,"adj.成熟的,到期的,充分考虑的,(票据等)到期的vt.使成熟vi.成熟,到期"
media,n.媒体
network,"n.网络,网状物,广播网"
nevertheless," conj.然而,不过adv.仍然,不过"
oriented,adj.导向的
parental,"adj.父母亲的,做双亲的"
peer,"n.同等的人,贵族vi.凝视,窥视vt.与...同等,封为贵族"
perceive,"vt.察觉v.感知,感到,认识到"
prior,"adj.优先的,在前的n.预先adv.在"
purchaser,"n.买方,购买者"
rational,"adj.理性的,合理的,推理的n.[数]有理数"
relatively, 相关地
rely,"v.依赖,依靠,信赖,信任,依赖于"
respondent,adj.回答的n.回答者
secondary,"adj.次要的,二级的,中级的,第二的"
selection,"n.选择,挑选,选集,精选品"
significant,"adj.有意义的,重大的,重要的"
stereo,"n.立体声系统,立体声,[印]铅版,立体照片adj.立体的,立体感觉的"
supervision,"n.监督,管理"
survey,"n.测量,调查,俯瞰,概观,纵览,视察vt.调查(收入,民意等) 测量,勘定,审视,视察,俯瞰,通盘考虑vi.测量土地"
teenage,adj.十几岁的
tentative,"n.试验,假设adj.试验性的,试探的,尝试的,暂定的"
trier,n.实验者
along with,
in terms of,
perceive ... as,
prior to,
rely on,
tend to,
amusement,"n.娱乐,消遣,娱乐活动"
appliance,"n.用具,器具"
broadly,"adv.宽广地,露骨地,广泛"
calendar,"n.日历,历法"
checkout," 检验,校验"
chromosome,n.[生物]染色体
dedicated,"adj.专注的,献身的"
devour,"vt.(尤指动物)吞吃,狼吞虎咽,挥霍,(火灾等)毁灭,破坏,吞没,贪看,贪听"
digest,"n.分类,摘要vi.消化vt.消化,融会贯通"
elbow,n.肘
flock,"n.羊群,(禽、畜等的)群,大量,众多v.聚结"
gambling,n.赌博
garment,"n.衣服,外衣,外表"
historical,"adj.历史(上)的,有关历史的"
makeup,"n.天性,化妆品,补充,虚构,组成,结构,补考,体格"
mall,"n.购物商场,商业街,林荫路"
merchandise,"n.商品,货物"
register,"n.记录,登记簿,登记,注册,寄存器vt.记录,登记,注册,提示,把...挂号vi.登记,注册,挂号"
replace,"vt.取代,替换,代替,把...放回原处"
ridicule,"n.嘲笑,奚落v.嘲笑,奚落"
seasonal,"adj.季节的,季节性的,周期性的"
snack,"n.小吃,快餐,一份v.吃快餐(小吃)"
spouse,n.配偶(指夫或妻)
stimulate,"vt.刺激,激励v.刺激,激励"
suspect,"n.嫌疑犯adj.令人怀疑的,不可信的,可疑的v.怀疑,猜想,对...有所觉察"
tiring,"adj.引起疲劳的,累人的"
unappreciated,adj.未被欣赏的
unfortunate,"adj.不幸的,不合宜的,不吉利的,使人遗憾的n.不幸的人"
unwilling,"adj.不愿意的,勉强的"
at best,
back and forth,
in reality,
in theory,
accuse,"vt.控告,谴责,非难"
advantageous,adj.有利的
breathtaking,"adj.惊人的,惊险的"
bulk,"n.大小,体积,大批,大多数,散装vt.显得大,显得重要,"
charming,"adj.迷人的,娇媚的"
circular,"adj.圆形的,循环的n.函件 通知"
cleaner,"n.清洁工人,清洁器"
decent,"adj.正派的,端庄的,有分寸的,(服装)得体的,大方的adj.<口>相当好的、象样的"
equivalent,"adj.相等的,相当的,同意义的n.等价物,相等物"
extort,"v.敲诈,逼取,强取,勒索"
extravagant,"adj.奢侈的,浪费的,过分的,放纵的"
fade,"vi.(声音等)减弱下去,褪色,消失,枯萎,凋谢vt.使褪色n.淡入,淡出adj.乏味的,平淡的"
freezer,"n.制冰淇淋者,冷藏工人"
grandchild,"n.孙子,孙女"
greedy,"adj.贪吃的,贪婪的,渴望的"
guilty,"adj.犯罪的,有罪的,心虚的"
impertinence,"n.不适宜,鲁莽,无礼"
insult,"n.侮辱,凌辱vt.侮辱,凌辱"
loo,"n.一种纸牌游戏,<英俚>厕所,洗手间"
murderer,"n.杀人犯,凶手"
nonsmoker,"n.不抽烟的人,禁止吸烟列车车厢"
novelty,"n.新颖,新奇,新鲜,新奇的事物"
orthodox,"adj.正统的,传统的,习惯的,保守的,东正教的"
outraged,
pea,
pengo,
pensioner,"n.领年金者,跟班"
plead,"vi.辩护,恳求vt.为...辩护,借口,托称"
prohibit,"vt.禁止,阻止"
roller-skate,
sake,"n.为了...之好处,出于对...的兴趣,缘故,理由,日本米酒"
sane,adj.健全的
saw,n.锯v.锯 vbl.see的过去式
seemingly,adv.表面上地
shilling,n.先令(1971年以前的英国货币单位)
spacious,"adj.广大的,大规模的"
specially,"adv.特别地,临时地"
sticky,"adj.粘的,粘性的"
tastily,adv.风趣地
toothpaste,n.牙膏
tremendous,"adj.极大的,巨大的"
unnecessary,"adj.不必要的,多余的"
utterly,"adv.完全地,绝对地,彻底地"
vaguely,"adv.含糊地,暧昧地"
whereupon,"adv.于是,因此 conj.在什么上面"
accuse ... of,
all the same,
cut off,
fall for something,
for the sake of,
in bulk,
might as well,
just as well,
bacteria,n.pl.细菌
behavioral,adj.动作的
belly,"n.腹部,胃vi.涨满"
boost,v.推进
cancer,"n.癌,毒瘤"
cell,"n.单元,细胞,蜂房,(尤指监狱或寺院的)单人房间,电池"
chronic,"adj.慢性的,延续很长的"
diverse,"adj.不同的,变化多的"
energize,"vt.使活跃,给予精力,加强,给与...电压vi.用力,活动"
flu,
hinder,"adj.后面的v.阻碍,打扰"
hostile,"adj.敌对的,敌方的n.敌对"
immune,adj.免疫的
immunity,n.免疫性
immuno-transmitter,
ingredient,"n.成分,因素"
mindfulness,
muscle,"n.肌肉,臂力,(可供食用的)瘦肉,[解]肌"
neurotransmitter,n.[生化]神经传递素
newlywed,"n.新婚的人,新婚夫妇"
optimistic,adj.乐观的
pessimistic,"adj.悲观的,厌世的"
receptor,"n.接受器,感受器,受体"
release,"n.释放,让渡,豁免,发行的书,释放证书vt.释放,解放,放弃,让与,免除,发表n.版本,发布"
respiration,"n.呼吸,呼吸作用"
reverse,"n.相反,背面,反面,倒退adj.相反的,倒转的,颠倒的vt.颠倒,倒转"
rhythmic,"adj.节奏的,合拍的"
stressful,
substance,"n.物质,实质,主旨,物质,物"
tension,"n.紧张(状态),不安,拉紧,压力,张力,牵力,电压vt.拉紧,使紧张"
virus,"n.[微]病毒,滤过性微生物,毒害,恶毒"
weaken,"v.削弱,(使)变弱"
well-being,
whichever," pron.无论那一个,任何一个"
be likely to,
be tired of,
give out,
let oneself go,
make sense of,
put on,
adrenalin,n.[生化]肾上腺素
aggravate,"vt.使恶化,加重"
aggression,"n.进攻,侵略"
assessment,"n.(为征税对财产所作的)估价,被估定的金额"
cardiac,"n.强心剂,强胃剂adj.心脏的,(胃的)贲门的"
cardiologist,n.心脏病专家
cholesterol,n.胆固醇
clarify,"v.澄清,阐明"
clue,n.线索
comparison,"n.比较,对照,比喻,比较关系"
conduct,"n.行为,操行v.引导,管理,为人,传导"
consequence,"n.结果,[逻]推理,推论,因果关系,重要的地位"
coronary,"adj.冠的,花冠的,冠状的"
counsel,"n.讨论,商议,辩护律师vt.劝告,忠告"
cumulative,adj.累积的
cynic,n.愤世嫉俗者
cynical,adj.愤世嫉俗的
elevator,"n.电梯,升降机,[空]升降舵"
episode,"n.一段情节,[音]插曲,插话,有趣的事件"
fatal,"adj.致命的,重大的,命运注定的,不幸的,致命的,毁灭性的"
generate,"vt.产生,发生"
glean,"v.拾落穗,收集"
heed,"n.注意,留意v.注意,留意"
hey,int.嗨!
hormone,"n.荷尔蒙,激素"
hostility,"n.敌意,恶意,不友善,敌对,对抗,反对"
inconsiderate,"adj.不顾及别人的,轻率的"
irritation,n.愤怒
mistreat,vt.虐待
mistrust,"n.不信任,猜疑v.不信任,猜疑"
mortality,n.死亡率
motive,"n.动机,目的adj.发动的,运动的"
noticeable,"adj.显而易见的,值得注意的"
odds,"n.可能的机会,成败的可能性,优势,不均,不平等,几率,差别"
outpouring,"n.倾泄,流出,流露"
pioneering,
pitch,"n.程度,斜度,树脂,投掷,定调,(船只)前后颠簸,倾斜,沥青vt.投,掷,向前倾跌,定位于,用沥青涂,扎营vi.搭帐篷,投掷,坠落,倾斜"
prevention,"n.预防,防止"
quotient,"n.商,份额"
recruit,"n.新兵,新分子,新会员vt.使恢复,补充,征募vi.征募新兵,复原"
recurrent,"adj.再发生的,周期性发生的,循环的"
refine,"vt.精炼,精制,使文雅高尚"
substantial,"adj.坚固的,实质的,真实的,充实的"
suspicion,"n.猜疑,怀疑"
threatening,"adj.胁迫的,危险的"
tighten,"v.变紧,绷紧,拉紧"
toxic,"adj.有毒的,中毒的"
trigger,"vt.引发,引起,触发n.板机"
unseen,"adj.未见过的,看不见的,未经预习的"
victim,"n.受害人,牺牲者,牺牲品"
virtue,"n.德行,美德,贞操,优点,功效,效力,英勇"
be about to,
in a hurry,
range from ... to ...,
activate,
bounce,"v.(使)反跳,弹起,(指支票)被银行退票,弹跳n.(球)跳起,弹回"
caregiver,
coach,"n.四轮大马车,长途汽车,教练v.训练,指导"
confident,"adj.自信的,确信的"
cope,"vi.(善于)应付,(善于)处理"
distress,"n.悲痛,穷困,不幸,危难,忧伤v.使悲痛,使穷困,使忧伤"
frustrated,"adj.失败的,落空的"
fundamental,"adj.基础的,基本的n.[pl.] 基本原则,基本原理"
infectious,"adj.有传染性的,易传染的,有感染力的"
intriguing,"adj.迷人的,有迷惑力的,引起兴趣(或好奇心)的"
jealousy,n.嫉妒
label,"n.标签,签条,商标,标志vt.贴标签于,指...为,分类,标注 [计] 加上或修改磁盘的标签"
lifelong,"adj.终身的,毕生的"
logic,"n.逻辑,逻辑学,逻辑性"
logical,"adj.合乎逻辑的,合理的"
maintain,"vt.维持,维修,继续,供养,主张"
midst,n.中间 prep.在...中间
naturally,adv.自然地
nerve,"n.神经,胆量,勇气,叶脉vt.鼓起勇气"
neuroscientist,
puppet,"n.傀儡,木偶"
reassure,"vt.使...安心,再保证,使...恢复信心,打消...的疑虑"
refrain,"n.重复,叠句,[乐]副歌vi.节制,避免,制止"
scared,adj.恐惧的
schoolwork,n.(包括课堂作业和家庭作业)作业
soothe,"vt.使(某人,其神经,其情绪)平静,安慰,使(痛苦,疼痛)缓和或减轻"
stomp,"n.跺脚vt.跺,践踏,重踏vi.跺脚,践踏,重踏"
stream,"n.溪,川,流,一股,一串,河流v.流,涌,流注"
tantrum,"n.发脾气,发怒"
tricky,"adj.狡猾的,机警的"
upsetting,"adj.令人心烦意乱的,令人苦恼的"
verbalize,v.描述
bounce back,
cope with,
in the midst of,
on the way,
