declare,"vt.断言,宣称,宣布,宣告,声明,(向海关)中报进口应纳税之货物"
renounce,v.断绝关系
stiff,"adj.硬的,僵直的,拘谨的,呆板的,艰难的,费劲的,僵硬的"
sprain,v.扭伤
prosperity,n.繁荣
climax,"n.高潮,顶点"
shrug,n.耸肩v.耸肩
stray,"v.迷路,偏离,漂泊,漂泊游荡adj.迷路的,离群的,偶遇的"
abandon,"vt.放弃,遗弃;n.放任,狂热"
irritate,"vt.激怒,使急躁v.刺激"
interpret,"v.解释,说明,口译,通译,认为是...的意思"
advance,"n.前进,提升,预付款v.前进,提前,预付adj.前面的,预先的 预付(款项)"
curiosity,n.好奇心
behalf,"n.为,利益"
slip,"n.滑倒,事故,片,纸片;vi.滑动,滑倒,失足,减退;vt.使滑动,滑过,摆脱,闪开,塞入;adj.滑动的,活络的,有活结的;Serial Line Interface Protocol,串行线路接口协议"
isolation,"n.隔绝,孤立,隔离,绝缘,离析"
stir,"n.轰动,搅动,监牢vt.动,移动,摇动,激起,搅和,惹起vi.走动,传播,流行"
crumble,"v.弄碎,粉碎,崩溃n.面包屑"
grim,adj.严酷的
victim,"n.受害人,牺牲者,牺牲品"
conflict,"n.斗争,冲突vi.抵触,冲突"
menace,"n.威胁,危险物v.恐吓,危及,威胁"
prominent,"adj.卓越的,显著的,突出的"
threaten,"vt.恐吓,威胁,预示(危险),似有发生或来临的可能,可能来临"
ordeal,"n.严酷的考验,痛苦的经验,折磨"
stifle,"vt.使窒息,抑制vi.窒息,闷死"
slumber,n.睡眠v.睡眠
accuse,"vt.控告,谴责,非难"
sway,"v.摇摆,摇动"
fathom,"n.长度单位(6英尺)vt.测量深度,看穿,彻底了解vi.测深,进行探索"
witness,"n.[律]证人,目击者,证据,证明,证词vt.目击,为...作证,证明,表明vi.作证,成为证据"
depart,"vi.离开,起程,不按照,逝世adj.过去的,逝世的"
feasible,"adj.可行的,切实可行的"
invade,"vt.侵略,侵袭,拥挤"
response,"n.回答,响应,反应"
wreck,"n.失事船(或飞机),残骸,(船,飞机的)失事vt.破坏,拆毁"
predominant,"adj.卓越的,支配的,主要的,突出的,有影响的"
transplant,"v.移植,移种,移民,迁移n.移植,被移植物,移居者"
unreasonable,"adj.不讲道理的,不合理的,过度的,不切实际的"
solicit,v.恳求
affix,"vt.使附于,粘贴n.[语]词缀"
browse,"v.n.浏览,吃草,放牧"
mock,"v.嘲笑,骗,挫败,嘲弄adj.假的n.嘲弄,模仿,仿制品"
interject,"vt.插嘴,突然插入"
simplify,"vt.单一化,简单化"
explore,"v.探险,探测,探究"
unique,"adj.唯一的,独特的"
essential,"adj.本质的,实质的,基本的,提炼的,精华的n.本质,实质,要素,要点"
jealous,"adj.妒忌的,猜疑的,警惕的,嫉妒的"
heritage,"n.遗产,继承权,传统"
eradicate,v.根除
innovation,"n.改革,创新"
demolish,"vt.毁坏,破坏,推翻,粉碎"
identity,"n.同一性,身份,一致,特性,恒等式"
detriment,"n.损害,损害物"
corrupt,"adj.腐败的,贪污的,被破坏的,混浊的,(语法)误用的vt.使腐烂,腐蚀,使恶化vi.腐烂,堕落"
courteously,"adv.有礼貌地,亲切地"
satire,"n.讽刺文学,讽刺"
withdrawal,"n.收回,撤退,退回,取消,退隐,停止服药,退股"
arrogant,"adj.傲慢的,自大的"
wither,"vt.使凋谢,使消亡,使畏缩vi.枯萎,衰退,感到羞愧"
underline,"vt.在...下面划线,作...的衬里,加下划线,强调n.下划线"
petition,"n.请愿,情愿书,诉状,陈情书v.请求,恳求,请愿"
tug,"v.用力拖,吃力地搬运,苦干,用拖轮拖,拖拉n.拖,苦干,拖船,(牵引用的)绳索"
dispense,"vt.分发,分配"
ponder,"v.沉思,考虑"
engulf,"vt.卷入,吞没,狼吞虎咽"
institution,"n.公共机构,协会,制度"
imaginative,"adj.想象的,虚构的"
notable,"adj.值得注意的,显著的,著名的"
massive,"adj.厚重的,大块的,魁伟的,结实的"
supervise,"v.监督,管理,指导"
depression,"n.沮丧,消沉,低气压,低压"
manifest,"n.载货单,旅客名单adj.显然的,明白的vi.出现vt.表明,证明"
profound,"adj.深刻的,意义深远的,渊博的,造诣深的"
probe,"n.探针,探测器vt.(以探针等)探查,查明"
elaborate,"adj.精心制作的,详细阐述的,精细vt.精心制作,详细阐述v.详细描述"
demonstrative,"adj.说明的,(语法)指示的"
discard,"vt.丢弃,抛弃v.放弃"
intense,"adj.强烈的,剧烈的,热切的,热情的,激烈的"
hatred,"n.憎恨,乱意,仇恨"
civilized,"adj.文明的,有礼的"
coarse,"adj.粗糙的,粗鄙的"
expire,"v.期满,终止,呼气,断气,届满"
stripe,"n.斑纹,条纹"
intercept,"vt.中途阻止,截取"
legend,"n.传说,伟人传,图例 联想集团,中国最大的国有品牌微机制造商之一"
transfer,"n.迁移,移动,传递,转移,调任,转帐,过户,转让vt.转移,调转,调任,传递,转让,改变vi.转移,转学,换车"
brag,n.v.吹牛
accordance,"n.一致,和谐"
sane,adj.健全的
margin,"n.页边的空白,(湖、池等的)边缘,极限,利润,差数,(时间、金额等的)富余vt.加边于,加旁注于"
explosion,"n.爆发,发出,爆炸,[矿]煤气爆炸"
outlaw,"n.歹徒,逃犯,丧失公权者v.将...放逐,宣布...为不合法"
restrict,"vt.限制,约束,限定"
review,"vt.回顾,复习n.回顾,复习,评论"
monopoly,"n.垄断,垄断者,专利权,专利事业"
knit,"v.编织,密接,结合"
community,"n.公社,团体,社会,(政治)共同体,共有,一致,共同体,(生物)群落"
recruit,"n.新兵,新分子,新会员vt.使恢复,补充,征募vi.征募新兵,复原"
negotiate,"v.(与某人)商议,谈判,磋商,,买卖,让渡(支票、债券等),通过,越过"
delegate,n.代表vt.委派...为代表
vibrate,"v.(使)振动,(使)摇摆"
brink,n.(峭岸、崖的)边缘
eccentric,adj.古怪n.行为古怪的人
cope,"vi.(善于)应付,(善于)处理"
lag,"n.落后,囚犯,迟延,桶板,防护套adj.最后的vi.缓缓而行,滞后vt.落后于,押往监狱,加上外套"
advocate,"n.提倡者,鼓吹者vt.提倡,鼓吹"
diversify,"v.使多样化,作多样性的投资"
lease,"n.租借,租约,租赁物,租期,延续的一段时间vt.出租,租出,租得"
sovereign,"n.君主,统治adj.至高无上的,君主的,独立自主的,完全的"
perch,"n.栖木,人所居的高位,有利的地位,杆,河鲈v.(使)栖息,就位,位于"
verify,"vt.检验,校验,查证,核实 [计] 打开或关闭文件的读写校验"
substantial,"adj.坚固的,实质的,真实的,充实的"
superstition,n.迷信
confront,"vt.使面临,对抗"
decorate,"v.装饰,为...做室内装修"
fume,"n.(浓烈或难闻的)烟,气体,一阵愤怒(或不安)v.用烟熏,冒烟,发怒"
insight,"n.洞察力,见识"
drowsy,"adj.昏昏欲睡的,催眠的,(街、市等)沉寂的"
deduce,"vt.推论,演绎出"
comprehensive,"adj.全面的,广泛的,能充分理解的,包容的"
disguise,"v.假装,伪装,掩饰n.伪装"
frugal,"adj.节俭的,朴素的"
immoral,"adj.不道德的,邪恶的,放荡的,淫荡的"
process,"n.过程,作用,方法,程序,步骤,进行,推移vt.加工,处理"
sympathetic,"adj.有同情心的,合意的,赞成的n.[解]交感神经,容易感受的人"
engrave,"v.雕刻,(线条,文字,图案)于一硬面上,深印于(心上),使铭记,铭刻"
envious,"adj.嫉妒的,羡慕的"
narrate,"v.叙述,讲述,作解说,讲故事"
uncover,"vt.揭开,揭露v.揭示"
constitute,"vt.制定(法律),建立(政府),组成,任命"
dwarf,"n.矮子,侏儒v.(使)变矮小"
tenant,"n.承租人,房客,租客v.出租"
magnify,"vt.放大,扩大,赞美,夸大,夸张vi.有放大能力"
angular,adj.有角的
transmission,"n.播送,发射,传动,传送,传输,转播"
naughty,"adj.顽皮的,淘气的,不听话的,没规矩的,不适当的,下流的"
absolve,v.宣布免除
vital,"adj.生死攸关的,重大的,生命的,生机的,至关重要的,所必需的"
soar,"v.高飞,高丛,滑翔,剧增,昂扬n.高飞范围,高涨程度"
custody,n.保官
compress,"vt.压缩,摘要叙述n.(外科)敷布"
predict,"v.预知,预言,预报"
refine,"vt.精炼,精制,使文雅高尚"
swarm,"n.蜂群,一大群v.涌往,挤满,密集,成群浮游,云集"
swerve,v.突然转向n.转向
emigrate,vi.永久(使)移居vt.(使)移民
emphasize,"vt.强调,着重v.强调"
retail,"n.零售adj.零售的vt.零售,转述vi.零售adv.以零售方式"
skim,v.撇去
batter,"n.击球手v.打坏,猛击"
untidy,"adj.不整洁的,凌乱的,不简练的,不整齐的"
dilemma,"n.进退两难的局面,困难的选择"
sling,"n.投石器,弹弓,投掷,钩悬带,吊索v.投掷,用悬带吊卦"
implement,"n.[常pl.] 工具,器具vt.贯彻,实现v.执行"
available,"adj.可用到的,可利用的,有用的,有空的,接受探访的"
overthrow,"n.推翻,打倒,扔得过远得球vt.打倒,推翻,颠覆"
terrify,"vt.使恐怖,恐吓"
intensify,vt.加强vi.强化
naval,adj.海军的
adjacent,"adj.邻近的,接近的"
tackle,"n.工具,复滑车,滑车,用具,装备,扭倒vt.固定,应付(难事等),处理,解决,抓住vi.捉住,扭住,扭倒"
opponent,"adj.对立的,对抗的n.对手,反对者"
supreme,"adj.极度的,极大的,至高的,最高的"
commit,"vt.犯(错误),干(坏事),把...交托给,提交,答应负责"
access,"n.通路,访问,入门vt.存取,接近"
surgery,"n.外科,外科学,手术室,诊疗室"
stunt,"v.阻碍...发育,妨碍...生长,作惊人表演,使绝招n.发育迟缓,矮小的人(或物),惊人表演,绝技"
smuggle,"n.走私,偷带v.走私"
flock,"n.羊群,(禽、畜等的)群,大量,众多v.聚结"
flaw,"n.缺点,裂纹,瑕疵,一阵狂风vt.使破裂,使有缺陷,使无效vi.生裂缝,变的有缺陷"
draft,"n.草稿,草案,草图vt.起草,为...打样,设计v.草拟"
payable,"adj.可付的,应付的"
scope,"n.(活动)范围,机会,余地"
inequality,"n.不平等,不同,不等式,不平均,(表面)不平坦(用复数)"
repeal,"v.废止,撤销,否定,放弃,废除n.废除,撤销"
illegible,"adj.难辨认的,字迹模糊的"
siege,"n.包围,围城,长期努力,不断袭击,围攻v.包围,围攻"
commemorate,vt.纪念
eruption,"n.爆发,火山灰,[医]出疹"
vaccination,"n.[医]接种疫苗,种痘,牛痘疤"
haunt,v.神鬼出没
pound,"n.磅,英镑,重击,鱼塘,兽栏,拘留所vt.强烈打击,捣烂,监禁,关入栏vi.连续重击,连续敲打,苦干"
charge,"n.负荷,电荷,费用,主管,掌管,充电,充气,装料v.装满,控诉,责令,告诫,指示,加罪于,冲锋,收费"
fiddle,"n.小提琴,无意识而不停地拨弄vt.虚度时光,拉小提琴vi.拉小提琴,瞎搞"
unveil,"vt.使公诸于众,揭开,揭幕,除去...的面纱vi.显露,除去面纱"
raid,"n.袭击,搜捕;v.奇袭,搜捕;Redundant Array of Indepnedent Disks,独立磁盘阵列"
mechanism,"n.机械装置,机构,机制"
deport,"vt.举止,驱逐"
conserve,"vt.保存,保藏"
chase,"n.追赶,追击vt.追赶,追逐,雕镂"
multiple,"adj.多样的,多重的n.倍数,若干v.成倍增加"
impact,"n.碰撞,冲击,冲突,影响,效果vt.挤入,撞击,压紧,对...发生影响"
overdue,adj.迟到的
certificate,"n.证书,证明书vt.发给证明书,以证书形式授权给..."
sift,v.详审
create,"vt.创造,创作,引起,造成"
hoarse,adj.嘶哑的
paste,"n.糊,面团,黏土团vt.用浆糊粘,张贴n.粘贴"
wholesale,"n.批发,趸售adj.批发的,[喻] 大规模的"
unanimous,"adj.意见一致的,无异议的"
grumble,"adj.抱怨地表示,嘟囔地说n.怨言,满腹牢骚vi.抱怨,发牢骚,咕哝,嘟囔,隆隆响vt.喃喃地说出"
argue,"vi.争论,辩论vt.说服"
react,"vi.起反应,起作用,反抗,起反作用"
retort,"v.反驳,反击,回报n.曲颈甑,曲颈瓶,蒸器"
organic,"adj.器官的,有机的,组织的,建制的"
stab,"n.刺,刺伤的伤口,一阵突然而强烈的感觉,中伤,伤痛v.剌,刺伤,伤害(感情等)"
chuckle,"n.吃吃的笑声vi.吃吃的笑,咯咯叫"
explosive,"adj.爆炸(性)的,爆发(性)的,暴露n.爆炸物,炸药"
accumulate,"v.积聚,堆积"
dominate,"v.支配,占优势"
clash,"n.冲突,撞击声,抵触v.(使)发出撞击声,猛撞,冲突"
slide,"v.(使)滑动,(使)滑行n.滑,滑动,幻灯片"
cultivate,"vt.培养,耕作"
shiver,"v.颤抖,打碎,碎裂n.(无法控制的)颤抖,碎片"
distinctive,"adj.与众不同的,有特色的"
desert,"n.沙漠,应得的赏罚,功过adj.沙漠的,不毛的,荒凉的vt.放弃,遗弃,逃跑vi.逃掉,逃亡,开小差"
fatigue,"n.疲乏,疲劳,累活,[军]杂役vt.使疲劳,使心智衰弱vi.疲劳"
malice,"n.恶意,怨恨,预谋,蓄意犯罪"
ferocious,"adj.凶恶的,残忍的,凶猛的,<口>十分强烈的,极度的"
soothe,"vt.使(某人,其神经,其情绪)平静,安慰,使(痛苦,疼痛)缓和或减轻"
flutter,"n.摆动,鼓翼,烦扰vi.鼓翼,飘动,悸动,乱跳,烦扰vt.拍(翅),使焦急"
dizzy,"adj.(指人)晕眩的,昏乱的,(指地点,情况)使人晕眩的"
interfere,"vi.干涉,干预,妨碍,打扰"
remove,"vt.移动,开除,移交vi.迁移,搬家n.移动,距离,班级,升级"
expose,"vt.使暴露,受到,使曝光v.揭露"
register,"n.记录,登记簿,登记,注册,寄存器vt.记录,登记,注册,提示,把...挂号vi.登记,注册,挂号"
expel,"v.驱逐,开除,排出,发射"
falter,"vt.支吾地说,结巴地讲出vi.支吾,蹒跚踉跄,摇摆,(声音)颤抖n.颤抖,支吾,踌躇"
campaign,"n.[军]战役,(政治或商业性)活动,竞选运动vi.参加活动,从事活动,作战"
council,"n.政务会,理事会,委员会,参议会,讨论会议,顾问班子,立法班子"
withdraw,"vt.收回,撤消vi.缩回,退出v.撤退"
virtue,"n.德行,美德,贞操,优点,功效,效力,英勇"
conscious,
protest,"n.主张,断言,抗议v.主张,断言抗议,拒付"
stationery,"n.文具,信纸"
multiply,"v.繁殖,乘,增加"
merge,"v.合并,并入,结合,吞没,融合"
dissolve,"v.溶解,解散"
grace,"n.优美,雅致,优雅 Grace 格雷斯(女子名)"
arouse,"vt.唤醒,唤起,鼓励,引起vi.睡醒"
tactic,"n.策略,战略adj.按顺序的,排列的"
sparse,"adj.稀少的,稀疏的"
memorize,"v.[亦作memorise] 记住,记忆"
rotate,v.(使)旋转 /v.旋转/翻转
hike,"v.远足,飞起,步行n.远足,增加"
integrate,"vt.使成整体,使一体化,求...的积分v.结合"
reckon,"vt.计算,总计,估计,猜想vi.数,计算,估计,依赖,料想"
stretch,"v.伸展,伸长n.一段时间,一段路程,伸展"
grin,"n.露齿笑,裂口笑v.露齿而笑"
locate,"vt.查找...的地点,使...坐落于,位于v.定位,位于"
ribbon,"n.缎带,丝带,带,带状物,带子"
shorten,"v.缩短,(使)变短"
humble,"adj.卑下的,微贱的,谦逊的,粗陋的vt.使...卑下,挫,贬抑"
crush,"vt.压碎,碾碎,压服,压垮,粉碎,(使)变形"
whereby,"adv.凭什么,为何"
observer,"n.观测者,观察员,遵守者"
whip,"n.鞭子,车夫v.鞭打,抽打,突然移动"
pretend,"vt.假装,装扮,(作为藉口或理由)伪称"
gasp,"vi.喘息,气喘vt.气吁吁地说"
suspicion,"n.猜疑,怀疑"
strain,"n.过度的疲劳,紧张,张力,应变vt.扭伤,损伤v.拉紧,扯紧,(使)紧张,尽力"
descend,"vi.下来,下降,遗传(指财产,气质,权利),突击,出其不意的拜访v.下去"
splinter,"n.裂片,尖片,小事,碎片v.裂成碎片,分裂"
superior,"n.长者,高手,上级adj.较高的,上级的,上好的,出众的,高傲的"
cripple,n.跛子v.削弱
detail,"n.细节,详情vt.详述,细说"
disappoint,vt.使失望
triangle,"n.[数]三角形,三人一组,三角关系"
foremost,"adj.(位置或时间)最先的,最初的,最重要的adv.首要地,首先"
judicial,"adj.司法的,法院的,公正的,明断的"
forecast,"n.先见,预见,预测,预报vt.预想,预测,预报,预兆"
whirl,"v.(使)旋转,急动,急走n.旋转,—连串快速的活动"
consistent,"adj.一致的,调和的,坚固的,[数、统]相容的"
nourish,"vt.滋养,使健壮,怀有(希望,仇恨等)"
integrity,"n.正直,诚实,完整,完全,完整性"
resign,"n.辞去(职务)v.辞去,辞职"
sketch,"n.略图,草图,概略,梗概,草图,拟定vi.绘略图,素描v.勾画"
consist,"vi.由...组成,在于,一致"
everlasting,"adj.永恒的,持久的,无止境的,耐用的"
affirm,"v.断言,确认,肯定"
inherent,"adj.固有的,内在的,与生俱来的"
comparison,"n.比较,对照,比喻,比较关系"
perplex,v.困惑
distribute,"vt.分发,分配,散布,分布,分类,分区v.分发"
respectively,"adv.分别地,各个地"
embark,"v.上船,上飞机,着手,从事,装于船上,登上"
accomplish,"vt.完成,达到,实现"
impulse,"n.推动,刺激,冲动,推动力vt.推动"
reconcile,"vt.使和解,使和谐,使顺从"
bid,"vt.出价,投标,祝愿,命令,吩咐n.出价,投标v.支付"
remain,"vi.保持,逗留,剩余,残存"
awaken,"v.唤醒,醒来,唤起"
intent,"n.意图,目的,意向,[律](犯罪或侵权行为的)故意adj.专心的,决心的,热心的"
impose,"vt.征税,强加,以...欺骗vi.利用,欺骗,施影响"
contention,"n.争夺,争论,争辩,论点"
confirm,"vt.确定,批准,使巩固,使有效v.确认,(基督教中)给...行按手礼"
overwhelm,"vt.淹没,覆没,受打击,制服,压倒"
provided, conj.倘若
burst,"v.爆裂,炸破,急于,爆发n.突然破裂,爆发,脉冲"
execute,"vt.执行,实行,完成,处死,制成,[律]经签名盖章等手续使(证书)生效"
discern,"v.目睹,认识,洞悉,辨别,看清楚"
startle,v.震惊
represent,"vt.表现,描绘,声称,象征,扮演,回忆,再赠送,再上演vi.提出异议"
twinkle,"v.闪烁,闪耀,(使)闪光n.闪烁,发光,牛眼"
despise,vt.轻视
determine,"v.决定,确定,测定,使下定决心,[律]使终止"
assist,"v.援助,帮助"
strengthen,"v.加强,巩固"
hideous,"v.骇人听闻的,可怕的adj.丑恶的"
confusion,"n.混乱,混淆"
incline,"n.倾斜,斜坡,斜面vt.使倾向于,使倾斜vi.倾向,倾斜"
aspect,"n.样子,外表,面貌,(问题等的)方面"
content,"n.内容,容量,目录,满足adj.满足的,满意的,愿意vt.使满足"
offend,"v.犯罪,冒犯,违反,得罪,使...不愉快"
mutually,"adv.互相地,互助"
deprive,"vt.剥夺,使丧失"
yield,"v.出产,生长,生产vi.(～ to)屈服,屈从n.产量,收益"
caution,"n.小心,谨慎,警告vt.警告"
lodging,"n.寄宿处,寄宿,(通常用复数)出租的房间、住房"
chill,"n.寒意,寒战,寒心adj.寒冷的,扫兴的v.使冷,变冷,冷藏"
hoist,"n.提升间,升起"
rival,"n.竞争者,对手v.竞争,对抗,相匹敌"
strip,"vt.剥,剥去n.条,带"
resist,"vt.抵抗,反抗,抗,忍得住"
anticipate,"vt.预期,期望,过早使用,先人一着,占先v.预订,预见,可以预料"
dictate,"v.口述,口授,使听写,指令,指示,命令,规定n.指示(指理智,变心)"
sacrifice,"n.牺牲,献身,祭品,供奉v.牺牲,献出,献祭,供奉"
confine,"vt.限制,禁闭n.界限,边界"
shelter,"n.掩蔽处,身避处,掩蔽,保护,庇护所,掩体v.掩蔽,躲避"
signify,"vt.表示,意味vi.要紧,有重要性v.颇为重要,表示"
slant,"v.(使)倾斜,歪向n.倾斜"
glorify,"v.使更壮丽,赞扬"
discretion,n.判断力
desolate,"adj.荒凉的,无人烟的"
bold,adj.大胆的n.粗体
foresee,"vt.预见,预知"
curse,"n.诅咒,咒语,祸根,祸因vt.诅咒,咒骂,降祸,使受罪"
prompt,"n.提示,付款期限vt.提示,鼓动,促使,(给演员)提白adj.敏捷的,迅速的,即时的adv.准时地"
expense,"n.费用,代价,损失,开支,费钱之物"
defect,"n.过失,缺点"
comfort,"n.安慰,舒适,安慰者vt.安慰,使(痛苦等)缓和"
summon,"v.召集,召唤,号召,鼓起,振作"
enable,"vt.使能够,授予权利或方法"
exert,"vt.尽(力),施加(压力等),努力v.发挥,竭尽全力,尽"
condemn,"vt.判刑,处刑,声讨,谴责"
maintain,"vt.维持,维修,继续,供养,主张"
lest," conj.唯恐,以免,免得,(用于fear,be afraid之后,等于that)"
eminent,"adj.显赫的,杰出的,有名的,优良的"
plague,"n.瘟疫,麻烦,苦恼,灾祸vt.折磨,使苦恼,使得灾祸"
instruct,"vt.教,教导,命令,指示,通知"
serene,adj.平静的
omit,"vt.省略,疏忽,遗漏"
fraud,"n.欺骗,欺诈行为,诡计,骗子,假货"
amend,"v.修正,改进,改正"
diligent,"adj.勤勉的,用功的,细心而继续不断的"
mortal,"n.凡人,人类adj.必死的,致命的,人类的,临终的adj.<口>极端的,非常大(长)的"
hamper,"v.妨碍,牵制"
disable,"v.使残废,使失去能力,丧失能力"
settlement,"n.沉降,解决,结算,殖民,殖民地"
illustrate,"vt.举例说明,图解,加插图于,阐明vi.举例"
provoke,"vt.激怒,挑拨,煽动,惹起,驱使"
decay,"vi.腐朽,腐烂,衰减,衰退n.腐朽,腐烂,衰减,衰退v.衰落"
correspond,"vi.符合,协调,通信,相当,相应"
launch,"n.下水,汽艇,发射,发行,投放市场vt.使(船)下水,掷(标枪等),发射(导弹、火箭等),开办,发动,发起vi.起飞,下水,投入,开始"
reward,"n.报酬,奖金vt.酬劳,奖赏"
peep,"n.窥看,隐约看见vi.窥视,偷看"
reign,"vi.统治,支配,盛行,占优势n.统治,统治时期,支配"
repent,"v.后悔,悔改,忏悔,悔悟"
claim,"n.(根据权利提出)要求,要求权,主张,要求而得到的东西vt.(根据权利)要求,认领,声称,主张,需要"
deposit,"n.堆积物,沉淀物,存款,押金,保证金,存放物vt.存放,堆积vi.沉淀"
thrash,"vt.打(谷),(用棍、鞭等)痛打,打败,使逆行,胜过,使颠簸,推敲vi.打谷,击,颠簸,逆行n.打谷,逆风浪行进"
restore,"vt.恢复,使回复,归还,交还,修复,重建"
heap,"n.堆,大量,许多vt.堆,堆起v.堆积"
excessive,"adj.过多的,过分的,额外"
intervene,"vi.干涉,干预,插入,介入,(指时间)介于其间v.干涉"
conquer,"vt.征服,战胜,占领,克服(困难等),破(坏习惯等)"
kindle,"vt.点燃,使着火,引起,照亮vi.着火,煽动,激起,发亮"
comply,"vi.顺从,答应,遵守"
pave,
extinct,"adj.熄灭的,灭绝的,耗尽的vt.<古>使熄灭"
fund,"n.资金,基金v.支助,投资"
hazard,"n.冒险,危险,冒险的事vt.冒...的危险,赌运气,使遭危险"
convenient,"adj.便利的,方便的"
proceed,"vi.进行,继续下去,发生"
praise,"vt.赞扬,歌颂,称赞n.赞扬,赞美的话,赞美,荣耀,称赞"
scramble,"n.爬行,攀缘,抢夺,混乱vi.攀缘,杂乱蔓延,争夺,拼凑,匆忙vt.攀登,搅乱,使混杂"
surge,"n.巨涌,汹涌,澎湃vi.汹涌,澎湃,振荡,滑脱,放松vt.使汹涌奔腾,急放"
blast,"n.一阵(风),一股(气流),爆炸,冲击波vt.爆炸,,毁灭,使枯萎,损害"
discontent,n.不满
mechanic,"n.技工,机修工,机械士"
disposal,"n.处理,处置,布置,安排,配置,支配"
appalling,"adj.令人震惊的,骇人听闻的"
vacant,"adj.空的,空白的,空灵的,头脑空虚的,神情茫然的,空闲的,空缺的"
trace,"n.痕迹,踪迹,微量,迹线,缰绳vt.描绘,映描,画轮廓,追踪,回溯,探索vi.上溯,沿路走"
enormous,"adj.巨大的,庞大的,<古>极恶的,凶暴的"
exclaim,"v.呼喊,惊叫,大声叫"
inquire,"v.询问,问明,查究"
grateful,"adj.感激的,感谢的"
originate,"vt.引起,发明,发起,创办vi.起源,发生"
engage,"vt.使忙碌,雇佣,预定,使从事于,使参加vi.答应,从事,交战,[机]接合,啮合"
rare,"adj.稀罕的,杰出的,珍贵的,(肉类)半熟的adv.非常"
prosperous,adj.繁荣的
tumble,"n.跌倒,摔跤,翻斤斗vi.翻倒,摔倒,倒塌,滚动,翻筋斗,仓惶地行动vt.使摔倒,使滚翻,弄乱"
prevent,"v.防止,预防"
sorrow,"n.悲哀,悲痛"
announce,"vt.宣布,通告"
partition,"n.分割,划分,瓜分,分开,隔离物vt.区分,隔开,分割"
flush,"n.奔流,晕红,激动,萌芽,活力旺盛,发烧,一手同花的五张牌,惊鸟;adj.挥霍的,直接的,泛滥的;adv.齐平地,直接地;vi.(脸)发红,奔涌,充沛,惊飞;vt.淹没,冲洗,使脸红,使齐平,使惊飞,使激动"
luxury,"n.奢侈,华贵"
escort,"n.护卫(队),护送,陪同(人员),护卫队v.护卫,护送,陪同"
investigate,"v.调查,研究"
slander,n.诽谤v.诽谤
daze,"vt.使茫然,发昏,使晕眩n.迷惑,眼花缭乱"
distinguish,"v.区别,辨别"
subtle,"adj.狡猾的,敏感的,微妙的,精细的,稀薄的"
chord,"n.弦,和音,情绪n.[解]腱"
astonish,vt.使惊讶
compel,"vt.强迫,迫使"
compact,"adj.紧凑的,紧密的,简洁的n.契约,合同,小粉盒"
distract,v.转移
discipline,"n.纪律,学科v.训练"
perpetual,adj.永久的
obscure,"adj.暗的,朦胧的,模糊的,晦涩的vt.使暗,使不明显"
gnawing,"n.咬,苛责,不断的苦痛adj.咬的,使苦恼的"
inform,"v.(～ of/about) 通知,告诉,获悉,告知"
specimen,"n.范例,标本,样品,样本,待试验物"
romantic,"adj.传奇式的,浪漫的,空想的,夸大的"
primary,"adj.第一位的,主要的,初步的,初级的,原来的,根源的"
irresistible,"adj.不可抵抗的,不能压制的"
stroll,"n.漫步,闲逛,四处流浪v.闲逛,漫步,跋涉于"
transaction,"n.办理,处理,会报,学报,交易,事务,处理事务"
blot,"n.污渍,污点v.弄污"
fling,"n.投,掷,猛冲,暴躁的行动,急冲,嘲弄,讥笑vt.猛投,抛,掷,使陷入,挥动,嘲笑,扫视vi.猛冲,直冲,急行"
interior,"adj.内部的,内的n.内部"
reverse,"n.相反,背面,反面,倒退adj.相反的,倒转的,颠倒的vt.颠倒,倒转"
spite,"n.(in ～ of)不顾,不管,敌意v.困扰"
confidence,n.信心
request,"vt.请求,要求n.请求,要求,邀请"
complain,"v.抱怨,悲叹,控诉"
clench,"n.牢牢抓住,钉紧,敲弯的钉头v.紧握,(拳头)牢牢地抓住,确定,敲弯vi.握紧,钉牢"
eternal,"adj.永恒的,永远的,不灭的,没完没了的"
brood,"n.(动物中鸟或家禽的)一窝,(同种或同类的)一伙vt.孵,沉思"
scrutiny,n.详细审查
reject,"n.被拒之人,被弃之物,不合格品,落选者,不及格者vt.拒绝,抵制,否决,呕出,驳回,丢弃"
contrast,"vt.使与...对比,使与...对照vi.和...形成对照n.对比,对照,(对照中的)差异"
gaze,"v.盯,凝视n.凝视"
embrace,"vt.拥抱,互相拥抱,包含,收买,信奉vi.拥抱n.拥抱"
celebrated,adj.著名的
slender,"adj.苗条的,微薄的,微弱的"
scale,"n.刻度,衡量,比例,数值范围,比例尺,天平,等级vt.依比例决定,攀登,测量vi.剥落,生水垢,重,攀登,衡量"
resemble,"vt.象,类似"
measure,"n.尺寸,量度器,量度标准,方法,测量,措施vt.测量,测度,估量,分派,权衡,调节vi.量"
sweep,"v.扫,打扫,清扫,席卷,冲光,扫过,掠过"
unexpected,"adj.想不到的,意外的,未预料到"
parallel,"adj.平行的,相同的,类似的,并联的n.平行线,平行面,类似,相似物v.相应,平行"
overtake,"vt.赶上,追上,(暴风雨、麻烦等)突然来袭,压倒"
outline,"n.大纲,轮廓,略图,外形,要点,概要vt.描画轮廓,略述"
scarcely,"adv.几乎不,简直没有"
fragilely,
gossip,"n.闲话,闲谈"
