triumph,"n.胜利,成功v.获得胜利"
undermine,v.破坏
significant,"adj.有意义的,重大的,重要的"
significantly,"adv.意味深长地,值得注目地"
interfere,"vi.干涉,干预,妨碍,打扰"
overall,"adj.全部的,全面的"
proof,"n.证据,试验,考验,[印刷]校样adj.不能透入的,证明用的,防...的,有耐力的vt.检验,校对,使不被穿透"
approximately,"adv.近似地,大约"
seemingly,adv.表面上地
consistent,"adj.一致的,调和的,坚固的,[数、统]相容的"
toll,"n.通行税(费),费,代价,钟声vt.征收,敲钟,鸣(钟)(特指宣布死亡),勾引,引诱vi.征税,鸣钟"
given,"adj.赠予的,沉溺的,特定的,假设的 vbl.give的过去分词"
indication,"n.指出,指示,迹象,暗示"
compromise,"n.妥协,折衷v.妥协,折衷,危及...的安全"
whereas," conj.然而,反之,鉴于,尽管,但是"
marginal,"adj.记在页边的,边缘的,边际的"
commit,"vt.犯(错误),干(坏事),把...交托给,提交,答应负责"
committed,
withdraw,"vt.收回,撤消vi.缩回,退出v.撤退"
striking,"adj.打击的,显著的,惊人的,罢工的"
generate,"vt.产生,发生"
anew,"adv.重新,再"
permanent,"adj.永久的,持久的"
owing to,
erode,"vt.侵蚀,腐蚀,使变化vi.受腐蚀,逐渐消蚀掉"
characteristic," ally//adv.表示特adj.特有的,表示绦缘"
intensive,"adj.强烈的,精深的,透彻的,[语法]加强语气的n.加强器"
recreation,"n.消遣,娱乐"
surplus,"n.剩余,过剩,[会计]盈余adj.过剩的,剩余的vt.转让,卖掉"
accustomed,"adj.通常的,习惯的,按照风俗习惯的"
depress,"vt.使沮丧,使消沉,压下,压低,使不活泼,使萧条v.压下"
convention,"n.大会,协定,习俗,惯例"
controversial,"adj.争论的,争议的"
conventional,"adj.惯例的,常规的,习俗的,传统的"
formative,adj.格式化的
abandon,"vt.放弃,遗弃;n.放任,狂热"
appealing,"adj.吸引人的,哀诉似的,恳求似的"
myth,"n.神话,神话式的人物(或事物),虚构的故事,荒诞的说法"
resolve,"n.决心v.决心,决定,决心要,(使)分解,溶解,解决vt.解决"
interfere with,
cut class,
on the other hand,
take a toll on,
take its toll on,
at risk,
at risk of,
to begin with,
in other words,
cut back on,
cut corners,
bit by bit,
burn the midnight oil,
drop out,
in turn,
contribute to,
hold on to,
soar,"v.高飞,高丛,滑翔,剧增,昂扬n.高飞范围,高涨程度"
frank,"adj.坦白的,率直的,老实的vt.免费邮寄n.免费邮寄特权 Frank 弗兰克(男子名)"
vigorous,"adj.精力旺盛的,有力的,健壮的"
absorb,"vt.吸收,吸引"
tuition,n.学费
tremendous,"adj.极大的,巨大的"
relevant,"adj.有关的,相应的"
spite,"n.(in ～ of)不顾,不管,敌意v.困扰"
obstacle,"n.障碍,妨害物"
collective,adj.集体的n.集体
collectively,"adv.全体地,共同地"
claim,"n.(根据权利提出)要求,要求权,主张,要求而得到的东西vt.(根据权利)要求,认领,声称,主张,需要"
endure,"v.耐久,忍耐"
bulge,"n.凸出部分v.凸出,膨胀"
tutor,"n.家庭教师,(大学)指导教师,助教,监护人,辅导教师v.辅导"
startle,v.震惊
startled,v.震惊 vbl.震惊
necessity,"n.必要性,需要,(常 pl.) 必需品"
luxury,"n.奢侈,华贵"
glimpse,"n.一瞥,一看v.瞥见"
prioritize,vt.把...区分优先次序
aware,"adj.知道的,明白的,意识到的"
influential,"adj.有影响的,有势力的"
illustrate,"vt.举例说明,图解,加插图于,阐明vi.举例"
cite,"vt.引用,引证,提名表扬"
dropout,"n.退学学生,中途退学,辍学学生"
evidence,"n.明显,显著,明白,迹象,根据,[物]证据,证物"
exhaust,"vt.用尽,耗尽,抽完,使精疲力尽vi.排气n.排气,排气装置adj.用不完的,不会枯竭的"
abuse,"n.滥用,虐待,辱骂,陋习,弊端v.滥用,虐待,辱骂"
authentic,adj.可信的
stress,"n.重压,逼迫,压力,重点,着重,强调,重音vt.着重,强调,重读"
tension,"n.紧张(状态),不安,拉紧,压力,张力,牵力,电压vt.拉紧,使紧张"
relieve,"vt.减轻,解除,援救,救济,换班"
burden,"n.担子,负担v.负担"
convince,"vt.使确信,使信服"
convinced,"adj.确信的,深信的"
ensure,"vt.保证,担保,使安全,保证得到v.确保,确保,保证"
responsible,"adj.有责任的,可靠的,可依赖的,负责的"
formal,"adj.外形的,正式的,合礼仪的,形式的,整齐匀称的n.正式的社交活动"
advanced,"adj.高级的,年老的,先进的"
singular,"n.单数adj.单一的,非凡的,异常的,持异议的"
financial,"adj.财政的,金融的"
furthermore,"adv.此外,而且"
readily,"adv.乐意地,欣然,容易地"
concede,"vt.勉强,承认,退让vi.让步"
mature,"adj.成熟的,到期的,充分考虑的,(票据等)到期的vt.使成熟vi.成熟,到期"
be in the minority,
be in a minority,
as for,
a matter of sth.,
a matter of doing sth.,
look back,
feel sorry for oneself,
be envious of,
catch a glimpse of,
get a glimpse of,
have a glimpse of,
relieve sb. of sth.,
fraud,"n.欺骗,欺诈行为,诡计,骗子,假货"
corruption,"n.腐败,贪污,堕落"
expel,"v.驱逐,开除,排出,发射"
purchase,"vt.买,购买n.买,购买"
layer,"n.层,阶层"
exemplify,"vt.例证,例示,作为...例子"
consumer,n.消费者
bribe,"n.贿赂vt.贿赂,向...行贿"
rip,"v.撕,剥,劈,锯,裂开,撕裂n.裂口,裂缝  愿灵安眠 RIP(rest in peace)"
accurate,"adj.正确的,精确的"
exaggerate,"v.夸大,夸张"
principle,"n.法则,原则,原理"
morality,adj.道德的n.道德
extensive,"adj.广大的,广阔的,广泛的"
facilitate,"vt.(不以人作主语的)使容易,使便利,推动,帮助,使容易,促进"
nerve,"n.神经,胆量,勇气,叶脉vt.鼓起勇气"
frustrate,"v.挫败,阻挠,使感到灰心,阻止"
frustration,"n.挫败,挫折,受挫"
ultimate,"adj.最后的,最终的,根本的n.最终"
illegal,"adj.违法的,不合规定的"
fake,"n.假货,欺骗adj.假的vt.伪造,赝造,捏造,假造,仿造vi.伪装"
browse,"v.n.浏览,吃草,放牧"
locate,"vt.查找...的地点,使...坐落于,位于v.定位,位于"
appropriate,adj.适当的
web,"n.环球网,网,蛛丝,蹼,翼手,织物,圈套,卷筒纸;vi.使陷入罗网,形成网;vt.织蜘蛛网于,使落入圈套"
conscious,
cope,"vi.(善于)应付,(善于)处理"
plagiarism,"n.剽窃,剽窃物"
software,n.软件
plagiarize,"v.剽窃,抄袭"
launch,"n.下水,汽艇,发射,发行,投放市场vt.使(船)下水,掷(标枪等),发射(导弹、火箭等),开办,发动,发起vi.起飞,下水,投入,开始"
campaign,"n.[军]战役,(政治或商业性)活动,竞选运动vi.参加活动,从事活动,作战"
eliminate,"vt.排除,消除v.除去"
attach,"vt.缚上,系上,贴上v.配属,隶属于"
attached,a.附加的
satisfactory,"adj.满意的,赎罪的"
confront,"vt.使面临,对抗"
reveal,"vt.展现,显示,揭示,暴露"
applaud,"v.拍手喝彩,称赞,赞同"
awareness,"n.知道,晓得"
imply,"vt.暗示,意味"
absolute,"adj.完全的,绝对的"
induce,"vt.劝诱,促使,导致,引起,感应"
descend,"vi.下来,下降,遗传(指财产,气质,权利),突击,出其不意的拜访v.下去"
chaos,"n.混乱,混沌(宇宙未形成前的情形)"
affirmative,"adj.肯定的,(对正式辩论中的问题)表示赞成的,(态度,方法等)积极的,乐观的,怀有希望的n.肯定语"
durable,"adj.持久的,耐用的"
turn in,
not to mention sth.,
rip off,
if this is the case,
if that is the case,
cope with,
launch a campaign,
make a complaint about sth.,
the good old days,
be confined to ...,
descend into,
element,"n.要素,元素,成分,元件,自然环境"
lump,"n.块(尤指小块),肿块,笨人vt.使成块状,混在一起,忍耐,笨重地移动vi.结块"
inhabitant,"n.居民,居住者"
encounter,"v.遭遇,遇到,相遇n.遭遇,遭遇战"
automatic,"n.自动机械adj.自动的,无意识的,机械的"
bump,"n.撞击,肿块v.碰(伤),撞(破),颠簸"
prompt,"n.提示,付款期限vt.提示,鼓动,促使,(给演员)提白adj.敏捷的,迅速的,即时的adv.准时地"
chase,"n.追赶,追击vt.追赶,追逐,雕镂"
reluctant,"adj.不顾的,勉强的,难得到的,难处理的"
elevator,"n.电梯,升降机,[空]升降舵"
switch,"n.开关,电闸,转换vt.转换,转变"
beep,n.哔哔声v.嘟嘟响
horn,"n.(牛、羊等的)角,喇叭,触角v.装角"
subway,"n.地道,<美> 地铁"
herd,"n.兽群,牧群v.把...赶在一起放牧,成群"
commute,"v.交换,抵偿,减刑,<电工>整流"
commuter,"n.通勤者,经常往返者"
elbow,n.肘
intimidate,v.胁迫
pregnant,"adj.怀孕的,重要的,富有意义的,孕育的"
nuisance,"n.讨厌的人或东西,麻烦事,损害"
trend,"n.倾向,趋势vi.伸向,倾向,通向"
traditional,"adj.传统的,惯例的,口传的,传说的"
minor,"n.未成年人,副修科目adj.较小的,次要的,二流的,未成年的vi.辅修n.[乐]小调,小音阶"
ignorant,adj.无知的
counsel,"n.讨论,商议,辩护律师vt.劝告,忠告"
counselor,"n.顾问,法律顾问"
disgraceful,"adj.可耻的,不名誉的"
insult,"n.侮辱,凌辱vt.侮辱,凌辱"
target,"n.目标,对象,靶子"
staff,"n.棒,杖,杆,支柱,全体职员,[军]参谋机构,[音]五线谱vt.供给人员,充当职员"
hostile,"adj.敌对的,敌方的n.敌对"
threaten,"vt.恐吓,威胁,预示(危险),似有发生或来临的可能,可能来临"
threatening,"adj.胁迫的,危险的"
agency,"n.代理处,行销处,代理,中介"
perceive,"vt.察觉v.感知,感到,认识到"
offensive,"adj.讨厌的,无礼的,攻击性的n.进攻,攻势"
verbal,adj.口头的
slap,"vt.拍,掌击,拍击n.拍,掌击,拍击"
curse,"n.诅咒,咒语,祸根,祸因vt.诅咒,咒骂,降祸,使受罪"
complaint,"n.诉苦,抱怨,牢骚,委屈,疾病"
punch,"n.冲压机,冲床,打孔机vt.冲孔,打孔"
utility,"n.效用,有用"
executive,"adj.实行的,执行的,行政的n.执行者,经理主管人员"
temper,"n.(钢等)韧度,回火,性情,脾气,情绪,心情,调剂,趋向v.(冶金)回火、锻炼,调和,调节"
norm,"n.标准,规范"
random,"n.随意,任意adj.任意的,随便的,胡乱的adv.胡乱地"
compassionate,adj.富于同情心的
volunteer,"n.志愿者,志愿兵adj.志愿的,义务的,无偿的v.自愿"
optimistic,adj.乐观的
prevail,"vi.流行,盛行,获胜,成功"
mind one's own business,
out of the way,
crop up,
cut in line,
give chase,
play a role in sth.,
play a role in doing sth.,
correspond with,
cut both ways,
in a ... fashion,
go beyond sth.,
all but,
get lost,
live with,
show up,
pass sth. on to sb.,
point to,
a variety of sth.,
gender,"n.[语法] 性,<口>性别,性,性交"
variable,"n.[数]变数,可变物,变量adj.可变的,不定的,易变的,[数]变量的"
contradiction,"n.反驳,矛盾"
intimate,"adj.亲密的,隐私的vt.宣布,明白表示n.熟友"
magnetic,"adj.磁的,有磁性的,有吸引力的"
sensitive,"adj.敏感的,灵敏的,感光的"
deliberate,"adj.深思熟虑的,故意的,预有准备的v.商讨"
comparison,"n.比较,对照,比喻,比较关系"
ritual,"n.典礼,(宗教)仪式,礼节adj.典礼的,(宗教)仪式的"
motion,"n.运动,动作v.运动"
sequence,"n.次序,顺序,序列"
deficiency,"n.缺乏,不足"
narrative,adj.叙述性的n.叙述
retreat,"vi.撤退,退却n.撤退,退却"
steer,"v.驾驶,掌舵"
steering,"n.操纵,掌舵,指导"
intact,"adj.完整无缺的,尚未被人碰过的,(女子)保持童贞的,(家畜)未经阉割的"
mission,"n.使命,任务,使团,代表团"
evident,"adj.明显的,显然的"
utter,"adj.全然的,绝对的vt.发出,做声,发表,发射,流通"
inevitable,"adj.不可避免的,必然的"
inevitable,"adj.不可避免的,必然的"
microphone,"n.扩音器,麦克风"
spill,"n.溢出,溅出,摔下,木片,小塞子,暴跌,溢出量vt.使溢出,使散落,洒,使流出,使摔下,倒出vi.溢出,涌流,充满"
elaborate,"adj.精心制作的,详细阐述的,精细vt.精心制作,详细阐述v.详细描述"
drama,"n.(在舞台上演的)戏剧,戏剧艺术"
rigid,"adj.刚硬的,刚性的,严格的"
farewell,"n.辞别,再见,再会int.再会,别了!(常含有永别或不容易再见面的意思)"
abrupt,"adj.突然的,陡峭的,生硬的"
abruptly,"adv.突然地,唐突地"
panic,"n.惊慌,恐慌,没有理由的"
splash,"n.溅,飞溅,斑点v.溅,泼,溅湿"
scare,"v.惊吓,受惊,威吓n.惊恐,恐慌,恐惧"
scared,adj.恐惧的
spontaneous,"adj.自发的,自然产生的"
spontaneously,"adv.自然地,本能地"
transparent,"adj.透明的,显然的,明晰的"
relief,"n.(痛苦等的)减轻,(债务等的)免除,救济,调剂,安慰,浮雕,地貌"
process,"n.过程,作用,方法,程序,步骤,进行,推移vt.加工,处理"
nurture,"n.养育,教育,教养,营养品vt.养育,给与营养物,教养"
genetic,"adj.遗传的,起源的"
tendency,"n.趋向,倾向"
masculine,"adj.男性的,男子气概的,[语法] 阳性的n.男子,男孩"
feminine,"adj.妇女(似)的,娇柔的,阴性的,女性的"
tend,"vi.趋向,往往是vt.照管,护理"
restrain,"vt.抑制,制止"
restrained,"adj.受限制的,拘谨的,有限的"
in ... terms,
in comparison,
make up for,
at the time,
on a mission,
pull away,
in a new light,
in a bad light,
in a different light,
look sb. in the eye,
to sb.'s relief,
be born with sth.,
privilege,"n.特权,特别待遇,基本公民权力,特免vt.给与...特权,特免"
co-worker,
framework,"n.构架,框架,结构"
diverse,"adj.不同的,变化多的"
subtle,"adj.狡猾的,敏感的,微妙的,精细的,稀薄的"
constitute,"vt.制定(法律),建立(政府),组成,任命"
forth,"adv.往前,向外"
casual,"adj.偶然的,不经意的,临时的"
casually,"adv.偶然地,随便地,临时地"
worship,"n.崇拜,礼拜,尊敬vi.敬神,拜神vt.崇拜,尊敬"
ally,"v.结盟,与...(在血统,性质等上)有关联,同盟n.同盟国,支持者"
committee,n.委员会
client,"n.[计]顾客,客户,委托人,客户机程序"
superficial,"adj.表面的,肤浅的,浅薄的"
scarcely,"adv.几乎不,简直没有"
variation,"n.变更,变化,变异,变种,[音]变奏,变调"
visible,"adj.看得见的,明显的,显著的n.可见物"
arbitrary,"adj.任意的,武断的,独裁的,专断的"
mood,"n.心情,情绪,语气,状态"
ceremony,"n.典礼,仪式,礼节,报幕员"
complicated,"adj.复杂的,难解的"
keen,"adj.锋利的,敏锐的,敏捷的,热心的,渴望的"
compatible,"adj.谐调的,一致的,兼容的"
compatibility,n.[计]兼容性
corresponding,"adj.相应的,通讯的"
philosophy,"n.哲学,哲学体系,达观,冷静"
boundary,"n.边界,分界线"
poetry,"n.诗,作诗法,诗意,诗情"
affection,"n.友爱,爱情,影响,疾病,倾向"
alliance,"n.联盟,联合"
wit,"n.智力,才智,智慧"
ideal,"n.理想adj.理想的,完美的,想象的,观念的,唯心论的"
inner,"adj.内部的,里面的,内心的n.内部"
loyalty,"n.忠诚,忠心"
enhance,"vt.提高,增强v.提高"
integrate,"vt.使成整体,使一体化,求...的积分v.结合"
integrated,"adj.综合的,完整的"
significance,"n.意义,重要性"
vital,"adj.生死攸关的,重大的,生命的,生机的,至关重要的,所必需的"
conversely,"adv.倒地,逆地"
guarantee,"n.保证,保证书,担保,抵押品vt.保证,担保"
gratitude,n.感谢的心情
extend,"v.扩充,延伸,伸展,扩大[军]使疏开,给予,提供,演化出的全文,<英>[律]对(地产等)估价"
profound,"adj.深刻的,意义深远的,渊博的,造诣深的"
profoundly,"adv.深深地,衷心地"
miracle,"n.奇迹,奇事"
shower sb. with sth.,
a lack of,
come into being,
back and forth,
apply to,
a range of,
not so much ... as ...,
debt of gratitude,
debt of thanks,
feel at home,
be at home,
