emperor,"n.皇帝,君主"
fatal,"adj.致命的,重大的,命运注定的,不幸的,致命的,毁灭性的"
currency,n.流通
disapprove,v.不赞成
complain,"v.抱怨,悲叹,控诉"
fact sheet,
audacious,"adj.大胆的,卤莽的,大胆创新的"
disrupt,"v.使中断,使分裂,使瓦解,使陷于混乱,破坏"
tramp,"v.重步行走,踏,践,践踏"
pest,n.有害物
inflation,"n.胀大,夸张,通货膨胀,(物价)暴涨"
statement,"n.声明,陈述,综述"
amount,"n.数量vi.(to) 总计,等于"
given,"adj.赠予的,沉溺的,特定的,假设的 vbl.give的过去分词"
advanced,"adj.高级的,年老的,先进的"
milestone,"n.里程碑,里程标,重要事件,转折点"
crank,"adj.脾气暴燥的,易怒的n.[机]曲柄,奇想vt.[机]装曲柄vi.[机]转动曲柄"
lexicographer,n.词典编纂者
bunch,"n.串,束v.捆成一束"
costume,"n.装束,服装"
scare,"v.惊吓,受惊,威吓n.惊恐,恐慌,恐惧"
manipulate,"vt.(熟练地)操作,使用(机器等),操纵(人或市价、市场),利用,应付,假造vt.(熟练地)操作,巧妙地处理"
juvenile,"adj.青少年的,幼稚的n.青少年,少年读物"
phenomenon,n.现象
freight,"n.货物,船货,运费,货运vt.装货,使充满,运送"
vulnerable,"adj.易受攻击的,易受...的攻击"
steam,"n.蒸汽,水汽vi.蒸发vt.蒸"
valuable,"adj.贵重的,有价值的,颇有价值的"
presumably,"adv.推测起来,大概"
sanctuary,n.避难所
bring out,
arithmetic,"n.算术,算法"
request,"vt.请求,要求n.请求,要求,邀请"
dash,"n.少量(搀加物),冲撞,破折号,锐气,精力,干劲vi.猛掷,冲撞vt.泼溅,使猛撞,搀和,使破灭,使沮丧,匆忙完成"
treatment,"n.待遇,对待,处理,治疗"
coarse,"adj.粗糙的,粗鄙的"
insecure,"adj.不可靠的,不安全的"
linen,"n.亚麻布,亚麻制品,亚麻纤维制成的优质纸adj.亚麻布制的,亚麻的"
inspiration,n.灵感
generous,"adj.慷慨的,大方的,有雅量的"
cultivate,"vt.培养,耕作"
campaign,"n.[军]战役,(政治或商业性)活动,竞选运动vi.参加活动,从事活动,作战"
disorder,"n.杂乱,混乱,无秩序状态vt.扰乱,使失调,使紊乱"
spot,"n.班点,污点,地点,场所,现场v.沾污,弄脏,侦察vt.认出,发现"
outcome,"n.结果,成果"
aggravate,"vt.使恶化,加重"
deception,"n.欺骗,诡计"
sharpen,"v.削尖,磨快,尖锐"
practical,"adj.实际的,实践的,实用的,应用的,有实际经验的"
pliable,"adj.易曲折的,柔软的,圆滑的,柔韧的"
disposal,"n.处理,处置,布置,安排,配置,支配"
subsidiary,"adj.辅助的,补充的"
cautious,"adj.谨慎的,小心的"
pattern,"n.模范,式样,模式,样品,格调,图案vt.模仿,仿造,以图案装饰vi.形成图案"
terrain,n.地形
darkroom,"n.(冲洗底片的)暗室,暗房"
kneel,vi.跪下
overwhelm,"vt.淹没,覆没,受打击,制服,压倒"
contempt,"n.轻视,轻蔑,耻辱,不尊敬,[律]藐视法庭(或国会)"
recognize,"vt.认可,承认,公认,赏识vi.具结"
badge,"n.徽章,证章"
economic,"adj.经济(上)的,产供销的,经济学的"
feeble,"adj.虚弱的,衰弱的,无力的,微弱的,薄弱的"
virtue,"n.德行,美德,贞操,优点,功效,效力,英勇"
fibre,"n.纤维,构造,纤维制品,[植]须根"
suburb,"n.市郊,郊区"
pulverise,vt.<主英> =pulverize
inductive reasoning,
fertilise,vt.<主英>=fertilize
ration,"n.定量,配给量,定量配给v.配给,分发,实行定量配给"
debt,"n.债务,罪过"
attractive,"adj.吸引人的,有魅力的"
conquest,n.征服n.战利品
sophisticate,"n.久经世故的人,老油条,精于...之道的人vt.篡改,曲解,使变得世故,掺合,弄复杂vi.诡辩"
snap,"v.猛地吸住,突然折断,使劈啪地晌,猛咬n.猛咬,突然折断,劈啪声adj.突然的"
express,"adj.急速的,特殊的,明确的n.快车,快递,专使vt.表达,表示adv.乘快车,以快递方式"
identifiable,adj.可以确认的
nominal,"adj.名义上的,有名无实的,名字的,[语]名词性的n.名词性词"
acquire,"vt.获得,学到"
bump into,
graphology,"n.笔迹学,笔迹相法"
register,"n.记录,登记簿,登记,注册,寄存器vt.记录,登记,注册,提示,把...挂号vi.登记,注册,挂号"
extremely,"adv.极端地,非常地"
rot,"v.(使)腐烂,(使)腐败n.腐烂,腐败"
ambulance,"n.战时流动医院,救护车"
miserable,"adj.痛苦的,悲惨的,可怜"
continuous,"adj.连续的,持续的"
divide,"v.分,划分,分开,隔开,"
gross,"adj.总的,毛重的n.总额"
cloakroom,"n.(剧场等)衣帽间,(车站等)行李站暂存处,<英>盥洗室,便所"
short-term,
refusal,"n.拒绝,推却,优先取舍权,优先取舍的机会"
coupon,"n.息票,商家的优待券"
tome,"n.册,卷,本,大本书"
toxin,n.[生化][生]毒素
simultaneously,adv.同时地
ridiculous,"adj.荒谬的,可笑的"
chip,"n.碎片,筹码v.削成碎片,碎裂 芯片"
polish,"n.磨光,光泽,上光剂,优雅,精良vt.擦亮,发亮,磨光,推敲vi.发亮,变光滑adj.波兰的n.波兰人 Polish 波兰(Poland)的"
wonder,"n.奇迹,惊奇,惊愕vt.对...感到惊讶,惊奇,想知道vi.惊讶,怀疑adj.非凡的,奇妙的"
scholarship,"n.奖学金,学问,学识"
familiarise,vt.<主英>=familiarize
expectancy,"n.期待,期望"
shilling,n.先令(1971年以前的英国货币单位)
blueprint,"n.蓝图,设计图,计划vt.制成蓝图,计划"
interplay,v.相互影响n.相互影响
convenient,"adj.便利的,方便的"
genuine,"adj.真实的,真正的,诚恳的"
attentive,"adj.注意的,专心的,留意的"
observation,"n.观察,观测,[pl.] 观察资料(或报告)"
personal,"adj.私人的,个人的,亲自的,容貌的,身体的,人身的,针对个人的adj.[语法]人称的"
vitality,"n.活力,生命力,生动性"
requirement,"n.需求,要求,必要条件,需要的东西,要求必备的条件"
advisable,"adj.可取的,明智的"
bankrupt,"n.破产者adj.破产了的,完全丧失vt.使破产"
deplete,"vt.耗尽,使衰竭"
influence,"n.影响,感化,势力,有影响的人(或事),(电磁)感应vt.影响,改变"
fantasy,"n.幻想,白日梦"
tragic,"adj.悲惨的,悲剧的n.(文艺作品或生活中的)悲剧因素,悲剧风格"
splint,"n.藤条,薄木条,薄金属片,(外科用的)夹板v.用夹板来"
foam,"n.泡沫,水沫,泡沫材料,泡沫橡皮,泡沫塑料vi.起泡沫,冒汗水,吐白沫vt.使起泡沫"
occupation,"n.职业,占有,占有(房屋等)期间"
format,"n.开本,版式,形式,格式vt.安排...的格局(或规格),[计]格式化(磁盘)"
bachelor,"n.单身汉,文理学士,幼雄兽"
typhoon,n.[气] 台风
appointment,
slope,"n.斜坡,斜面,倾斜v.(使)顺斜"
complex,"adj.复杂的,合成的,综合的n.联合体"
overhead,"adj.在头上的,高架的n.企业一般管理费用,天花板adv.在头顶上,在空中,在高处"
population,n.人口
prey,"n.被掠食者,牺牲者,掠食vi.捕食,掠夺,折磨"
catalogue,n.目录
prerequisite,n.先决条件adj.首要必备的
assessment,"n.(为征税对财产所作的)估价,被估定的金额"
suggest,"vt.建议,提出,使想起,暗示"
volt,"n.(马术中的)环骑,[击剑]闪避,[电工]伏特"
weed,"n.野草,杂草v.除草,铲除"
screw,"n.螺丝钉,螺旋,螺杆,螺孔,螺旋桨,吝啬鬼vt.调节,旋,加强,压榨,强迫,鼓舞vi.转动,旋,拧"
enlighten,"vt.启发,启蒙,教导,授予...知识,开导,<古>照耀"
textile,n.纺织品adj.纺织的
hesitate,"v.犹豫,踌躇,不愿"
tutor,"n.家庭教师,(大学)指导教师,助教,监护人,辅导教师v.辅导"
topsoil,"n.上层土,表层土"
background,"n.背景,后台,不重要或不引人注目的地方或位置"
impossible,"adj.不可能的,不会发生的,难以忍受的"
surgeon,n.外科医生
promise,"vt.允诺,答应n.允诺,答应,许诺"
battery,"n.电池,殴打"
thunder,"n.雷,雷声,轰隆声vi.打雷,雷鸣"
delicate,"adj.精巧的,精致的,病弱的,脆弱的,微妙的,棘手的,灵敏的,精密的"
account,"n.计算,帐目,说明,估计,理由;vi.说明,总计有,认为,得分;vt.认为"
booklet,n.小册子
layout,"n.规划,设计,(书刊等)编排,版面,配线,企划,设计图案,(工厂等的)布局图 版面设计"
venture,"n.冒险,投机,风险v.冒险,冒昧,斗胆,胆敢(谦语)"
shrink,"v.收缩,(使)皱缩,缩短"
gland,"n.[解剖]腺,[机械]密封管"
curriculum,n.课程
shortage,"n.不足,缺乏"
accreditation,"n.委派,信赖,鉴定合格"
clerk,"n.职员,办事员,<美> 店员"
attach,"vt.缚上,系上,贴上v.配属,隶属于"
flip,"vt.掷,弹,轻击,(用鞭等)抽打,空翻vi.用指轻弹,抽打,翻动书页(或纸张),蹦跳n.抛,弹,筋斗adj.无礼的,冒失的,轻率的"
comment,"n.注释,评论,意见vi.注释,评论"
emphasize,"vt.强调,着重v.强调"
flame,"n.火焰,光辉,光芒,热情,激情"
foresee,"vt.预见,预知"
historic,"adj.历史上著名的,有历史性的"
provision,"n.供应,(一批)供应品,预备,防备,规定"
president,"n.总统,会长,校长,行长"
internist,n.<美>内科医师
reception,"n.接待,招待会,接收"
suspend,"vt.吊,悬挂v.延缓"
explorer," [计]Windows资源管理器;n.探险家,探测者,探测器"
untrustworthy,"adj.不能信赖的,靠不住的"
prospective,adj.预期的
percentage,"n.百分数,百分率,百分比"
clue,n.线索
stammer,"v.口吃,结巴着说出,结结巴巴地说n.口吃"
hawk,"n.鹰,掠夺他人的人,鹰派成员vi.放鹰,像鹰一般地袭击,清嗓,咳嗽vt.捕捉,咳出,兜售,(沿街)叫卖,散播"
swamp,"n.沼泽,湿地,煤层聚水v.陷入沼泽,淹没,覆没"
jealous,"adj.妒忌的,猜疑的,警惕的,嫉妒的"
favour,"n.亲切,宠爱"
fickle,"adj.(在感情等方面)变幻无常的,浮躁的,薄情的"
uphill,"n.登高,上升adj.上坡的,向上的adv.上坡地,向上地"
succeed,"vi.(～ in) 成功v.继...之后,继任,继承,取得成功"
gender,"n.[语法] 性,<口>性别,性,性交"
consecutive,"adj.连续的,联贯的"
diversion,"n.转移,转换,牵制,解闷,娱乐"
donate,"v.捐赠,赠予"
defence,"n.防卫,防卫设备n.[律](被告的)答辩、辩护"
volume,"n.卷,册,体积,量,大量,音量"
refund,"v.退还,偿还n.归还,偿还额,退款"
regardless,"adj.不管,不顾,不注意"
emboss,"vt.饰以浮饰,使浮雕出来"
internationalist,
scatter,"v.分散,散开,撒开,驱散"
appetite,"n.食欲,胃口,欲望,爱好"
prevail,"vi.流行,盛行,获胜,成功"
glossary,n.术语表
consolidation,"n.巩固,合并"
sulphuric acid,
goodwill,"n.善意,亲切"
amass,"vt.收集,积聚(尤指财富)"
federal,"adj.联邦的,联合的,联邦制的,同盟的n.(南北战争时期)北部联邦同盟盟员 北京连邦软件产业发展公司,国内主要的正版软件经销商"
consideration,"n.体谅,考虑,需要考虑的事项,报酬"
grip,"vt.紧握,紧夹n.掌握,控制,把手v.抓住"
mansion,"n.大厦,官邸,公寓(用复数,用于专有名词中)"
galaxy,"n.星系,银河,一群显赫的人,一系列光彩夺目的东西"
route,"n.路线,路程,通道v.发送"
deficiency,"n.缺乏,不足"
opposite,"adj.相对的,对面的,对立的,相反的,对等的,对应的n.相反的事物"
sensational,"adj.使人感动的,非常好的"
participation,"n.分享,参与"
relief,"n.(痛苦等的)减轻,(债务等的)免除,救济,调剂,安慰,浮雕,地貌"
cultivation,"n.培养,教养,耕作,中耕"
pretension,"n.借口,要求,主张,自负,骄傲"
harness,"n.(全套)马具,系在身上的绳子,甲胄vt.上马具,披上甲胄,利用(河流、瀑布等)产生动力(尤指电力)"
bent,"n.倾向,爱好"
dormitory,n.宿舍
stitch,"v.缝,缝合n.一针,针脚,缝针"
manual,"n.手册,指南adj.手的,手动的,手工的,体力的,手册(性质)的,[律]实际占有的"
mite,"n.微小的东西,<口>小孩,力所能及的微小贡献"
burglar,n.夜贼
scheme,"n.安排,配置,计划,阴谋,方案,图解,摘要v.计划,设计,图谋,策划"
addition,"n.加,加起来,增加物,增加,加法"
sensory,"adj.感觉的,感官的"
grove,n.小树林
materialistic,"adj.唯物论的,唯物主义的"
detach,"vt.分开,分离,分遣,派遣(军队)"
torrent,"n.急流,洪流,连发,迸发"
clarify,"v.澄清,阐明"
thirsty,"adj.口渴的,渴望的,热望的"
inspect,"vt.检查,视察v.检查"
seam,"n.接缝,线缝,缝合线,衔接口,伤疤,层vt.缝合,接合,焊合,使留下伤痕vi.裂开,发生裂痕"
agriculture,"n.农业,农艺,农学"
microcosm,n.微观世界
surgery,"n.外科,外科学,手术室,诊疗室"
catastrophe,"n.大灾难,大祸"
overwork,"n.过度操劳,过度工作v.(使)工作过度"
parental,"adj.父母亲的,做双亲的"
sediment,"n.沉淀物,沉积"
various,"adj.不同的,各种各样的,多方面的,多样的"
resit," <英>vt.(尤指考试不及格后)再参加(考试);vi.(考试不及格后)再考,重考"
menace,"n.威胁,危险物v.恐吓,危及,威胁"
contain,"vt.包含,容纳,容忍vi.自制v.[军]牵制(敌军)v.[数]可被...除尽"
fasten,"vt.扎牢,扣住,闩住,拴紧,使固定,系,集中于,强加于vi.扣紧,抓住"
establish,"vt.建立,设立,安置,使定居,使人民接受,确定v.建立"
position,"n.位置,职位,立场,形势,阵地vt.安置,决定...的位置"
simulate,"vt.模拟,模仿,假装,冒充"
scratch,"n.乱写,刮擦声,抓痕,擦伤vt.乱涂,勾抹掉,擦,刮,搔,抓,挖出vi.发刮擦声,搔,抓adj.打草稿用的,凑合的"
flexitime,n.(=flextime)弹性上班制
assist,"v.援助,帮助"
mammal,n.哺乳动物
illegal,"adj.违法的,不合规定的"
ultimately,"adv.最后,终于,根本,基本上"
sinew,"n.肌肉,精力,体力,原动力,[解]腱vt.赋予力量,加强"
artificial,"adj.人造的,假的,非原产地的"
veil,"n.面纱,面罩,帐,幕,掩饰物,遮蔽物,口实,假托vt.戴面纱,隐藏,遮蔽,掩饰vi.蒙上面纱"
tend,"vi.趋向,往往是vt.照管,护理"
removal,"n.移动,免职,切除"
parallel,"adj.平行的,相同的,类似的,并联的n.平行线,平行面,类似,相似物v.相应,平行"
compel,"vt.强迫,迫使"
immediately,"adv.立即,马上,直接地"
institute,"n.学会,学院,协会vt.创立,开始,制定,开始(调查),提起(诉讼)"
serial,adj.连续的
oversee,"v.俯瞰,监视,检查,视察"
reinforce,"vt.加强,增援,补充,增加...的数量,修补,加固vi.求援,得到增援n.加固物"
commitment,"n.委托事项,许诺,承担义务"
donation,"n.捐赠品,捐款,贡献"
curious,"adj.好奇的,求知的,古怪的,爱挑剔的"
jungle,"n.丛林,生死关头"
overdraft,"n.透支,透支之款项"
optical,"adj.眼的,视力的,光学的"
otherwise,"adv.另外,否则,不同地,别的方式adj.另外的,其他方面的"
possession,"n.拥有,占有,所有,着迷,领土,领地,财产(常用复数),自制"
however,"adv.无论如何,可是,仍然,究竟 conj.不管用何种方法,然而,可是"
retail,"n.零售adj.零售的vt.零售,转述vi.零售adv.以零售方式"
cultural,adj.文化的
morality,adj.道德的n.道德
transaction,"n.办理,处理,会报,学报,交易,事务,处理事务"
twofold,"adj.两部分的,双重的adv.两部分地,双重地"
solution,"n.解答,解决办法,溶解,溶液 解决方案"
embassy,"n.大使及其随员,大使的派遣,大使馆,"
remark,"n.备注,评论,注意,注释vt.评论,注意,谈及vi.谈论"
delay,"v.耽搁,延迟,延期,迟滞n.耽搁,延迟,迟滞"
congress,"n.(代表)大会,[C～] (美国等国的)国会,议会"
germ,"n.微生物,细菌"
fashion,"n.样子,方式,流行,风尚,时样vt.形成,造,作,把...塑造成,使适应,使适合,改革,改变"
carousel,n.喧闹的酒会
splash,"n.溅,飞溅,斑点v.溅,泼,溅湿"
beforehand,adv.预先
spade,"n.铲,铁锹v.铲"
filter,"n.滤波器,过滤器,滤光器,筛选vt.过滤,渗透,用过滤法除去vi.滤过,渗入,(消息等)走漏,慢慢传开"
aspect,"n.样子,外表,面貌,(问题等的)方面"
objection,"n.异议,缺陷,妨碍,拒绝之理由"
tunnel,"n.隧道,地道"
contrast,"vt.使与...对比,使与...对照vi.和...形成对照n.对比,对照,(对照中的)差异"
effect,"n.结果,效果,作用,影响,(在视听方面给人流下的)印象vt.招致,实现,达到(目的等)"
parcel,"n.小包,包裹vt.打包,捆扎"
distance,"n.距离,远离,一长段时间,远方,远景,遥远,(时间的)间隔,(时日的)经过"
stem,"n.茎,干,词干,茎干v.滋生,阻止"
normal,"n.正规,常态,[数学]法线adj.正常的,正规的,标准的"
sincere,"adj.诚挚的,真实的,真诚的"
summarise,v.<主英> =summarize
vice versa,
foetus,n.胎儿
merge,"v.合并,并入,结合,吞没,融合"
aware,"adj.知道的,明白的,意识到的"
label,"n.标签,签条,商标,标志vt.贴标签于,指...为,分类,标注 [计] 加上或修改磁盘的标签"
guarantee,"n.保证,保证书,担保,抵押品vt.保证,担保"
interrelationship,
stationery,"n.文具,信纸"
limestone,n.石灰石
impulse,"n.推动,刺激,冲动,推动力vt.推动"
wax,"n.蜡,蜡状物,增加,月亮由亏转盈vi.变大,增大,月亮渐满vt.上蜡于"
incapacitate,"vt.使无能力,使不能胜任"
appear,"vi.出现,看来,似乎,公开露面,出版,发表"
check,"n.阻止,制止,控制,阻止物,支票,检讫的记号,饭馆的帐单vt.检查,制止,核对,寄存,托运vi.证明无误,核对无误,逐项相符,[象棋]将军"
collect,"v.收集,聚集,集中,搜集adj.由收件人付款的adv.由收件人付款地"
attract,"vt.吸引vi.有吸引力,引起注意"
describe,
chunk,"n.大块,矮胖的人或物"
agency,"n.代理处,行销处,代理,中介"
blend,vt.混和n.混和
conceive,"vt.构思,以为,持有vi.怀孕,考虑,设想"
affect,"vt.影响,感动,侵袭,假装"
frustrate,"v.挫败,阻挠,使感到灰心,阻止"
extend,"v.扩充,延伸,伸展,扩大[军]使疏开,给予,提供,演化出的全文,<英>[律]对(地产等)估价"
introduce,"vt.介绍,传入,引进,提出"
advice,"n.忠告,建议,[商]通知"
attitude,"n.姿势,态度,看法,意见"
deliver,"vt.递送,陈述,释放,发表(一篇演说等),交付,引渡,瞄准,给予(打击)"
course,"n.过程,经过,进程,方针,路线,跑道,课程,一道菜v.追猎,急行,运行,流动 学业"
match,"n.火柴,比赛,竞赛,匹配,(足球,捧球,蓝球)比赛v.相配,相称,比赛,相比,匹配"
employ,"vt.雇用,用,使用v.使用n.雇用"
pedal,n.踏板v.踩...的踏板
resident,"n.居民adj.居住的,常驻的"
optometrist,"n.验光师,视力测定者"
degrade,"v.(使)降级,(使)堕落,(使)退化"
particle,"n.粒子,点,极小量,微粒,质点,小品词,语气"
downpour,n.倾盆大雨
telescope,n.望远镜v.压缩
transport,"n.传送器,运输,运输机,激动,流放犯,狂喜vt.传送,运输,流放,放逐"
prepare,"v.准备,预备,有能力而且愿意"
registration,"n.注册,报到,登记"
chaos,"n.混乱,混沌(宇宙未形成前的情形)"
gorge,"n.咽喉,胃,暴食,山峡,峡谷,障碍物v.狼吞虎咽,塞饱"
recreational,"adj.休养的,娱乐的"
systematic,"adj.系统的,体系的"
subtropical,adj.亚热带的
detract,v.转移
seal,"n.封铅,封条,印,图章,密封vt.封,密封n.海豹,海豹毛皮"
depress,"vt.使沮丧,使消沉,压下,压低,使不活泼,使萧条v.压下"
scarce,"adj.缺乏的,不足的,稀有的,不充足的"
evidence,"n.明显,显著,明白,迹象,根据,[物]证据,证物"
besides,adv.此外 prep.除...之外
waterproof,"adj.防水的,不透水的"
exclusive,"adj.排外的,孤高的,唯我独尊的,独占的,唯一的,高级的"
majority,"n.多数,大半n.[律] 成年"
despite," prep.不管,尽管,不论"
dissolve,"v.溶解,解散"
release,"n.释放,让渡,豁免,发行的书,释放证书vt.释放,解放,放弃,让与,免除,发表n.版本,发布"
deploy,"v.展开,配置"
original,"adj.最初的,原始的,独创的,新颖的n.原物,原作"
branch,"n.枝,分枝,分部,分店,(学科)分科,部门,支流,支脉v.出现分歧"
chancellor,"n.长官,大臣"
vertical,"adj.垂直的,直立的,顶点的,[解]头顶的n.垂直线,垂直面,竖向"
herbivore,n.草食动物
flat,"adj.平坦的,扁平的,单调的,倒下的,浅的,干脆的,无聊的,无力的adv.平直地,仰卧地,恰恰,正好,断然地n.平面,平地,一层,公寓v.(使)变平,(使)降半音"
occasionally,"adv.有时候,偶而"
harridan,"n.形容枯槁(或脾气暴躁)的老妇人,名声不好的老泼妇"
accommodation,"n.住处,膳宿,(车,船,飞机等的)预定铺位,(眼睛等的)适应性调节,(社会集团间的)迁就融合"
static,"adj.静态的,静力的 静电噪声"
section,"n.部分,断片,部件,节,项,区,地域,截面"
scale,"n.刻度,衡量,比例,数值范围,比例尺,天平,等级vt.依比例决定,攀登,测量vi.剥落,生水垢,重,攀登,衡量"
constantly,"adv.不变地,经常地,坚持不懈地"
ailment,"n.疾病(尤指微恙),不宁,不安"
adhere,"vi.粘附,胶着,坚持v.坚持"
extracurricular,"adj.课外的,业余的"
propel,"vt.推进,驱使"
posture,"n.(身体的)姿势,体态,状态,情况,心境,态度v.令取某种姿势,摆姿势,作出姿态"
overseas,"adv.海外adj.外国的,海外的"
industrialise,v.<主英>=industrialize
empire,"n.帝国,帝权"
mechanic,"n.技工,机修工,机械士"
fracture,"n.破裂,骨折v.(使)破碎,(使)破裂"
glacial,"adj.冰的,冰状的,冰河的,冰河时代的,冰冷的"
badminton,n.羽毛球
dock,"n.<美> 码头,船坞,被告席,尾巴的骨肉部分vt.靠码头,引入坞,剪短vi.入船坞"
argument,"n.争论,辩论,论据,论点,～ (for,against),意见"
chase,"n.追赶,追击vt.追赶,追逐,雕镂"
brochure,n.小册子
convince,"vt.使确信,使信服"
teem,v.大量出现
confront,"vt.使面临,对抗"
exhibition,"n.表现,展览会,展览品,显示"
whereas," conj.然而,反之,鉴于,尽管,但是"
oak,"n.[植]橡树,橡木adj.橡木制的"
additional,"adj.另外的,附加的,额外的"
overlapping,
poultry,n.家禽
pregnancy,n.怀孕
confirmation,"n.证实,确认,批准"
unquote,
embezzlement,"n.盗用,侵占,挪用"
acrobatic,"adj.杂技的,特技的"
numerous,"adj.众多的,许多的,无数的"
balcony,"n.阳台,包厢,(戏院)楼厅"
postgraduate,"n.研究所学生,研究生adj.毕业后的"
well-being,
at random,
prime,"n.最初,青春,精华adj.主要的,最初的,有青春活力的,最好的,第一流的,根本的,[数]素数的v.预先准备好,<口>让人吃(喝)足,灌注,填装"
settle,"n.有背的长凳vt.安放,使定居,安排,解决,决定,整理,支付,使平静vi.安家,定居,停留,下陷,沉淀,决定,澄清"
fallow,"n.休耕地adj.[农]休耕的,未孕的,潜伏发,不活跃的vt.使(土地)休闲,休整,潜伏(指潜在的特征等)"
troupe,n.剧团
premise,"n.[逻][法]前提,(企业,机构等使用的)房屋连地基vt.提论,预述,假定vi.作出前提"
discerning,adj.有辨识能力的
niggle,"vi.为琐事费心,拘泥小节vt.小气地给..."
prospectus,"n.内容说明书,样张"
liaise,"vi.保持联络,担任联络官"
excavation,"n.挖掘,发掘,挖掘成的洞,出土文物"
continental,"adj.大陆的,大陆性的n.欧洲人"
modernism,"n.现代风,现代主义,现代思想"
artery,"n.动脉,要道"
premium,"n.额外费用,奖金,奖赏,保险费,(货币兑现的)贴水"
glamor,"n.魔法,迷人的美vt.迷惑"
barbecue,n.吃烤烧肉的野餐
material,"n.材料,原料,物资,素材,布料adj.物质的,肉体的,具体的,重要的,实质性的"
adapt,"vt.使适应,改编"
gullibly,
succession,"n.连续,继承,继任,演替,[农业] 轮栽,连续性"
sift,v.详审
spark,"n.火花,火星,闪光,情郎,花花公子,活力,电信技师,瞬间放电vi.闪烁,发火花,求婚vt.发动,鼓舞,使有朝气,求婚"
sympathy,"n.同情,同情心"
chill,"n.寒意,寒战,寒心adj.寒冷的,扫兴的v.使冷,变冷,冷藏"
multinational,"adj.多国的,跨国公司的,多民族的n.多国籍公司,跨国公司"
exposure,"n.暴露,揭露,暴光,揭发,揭露,位向,方向,陈列"
fierce,"adj.凶猛的,猛烈的,热烈的,暴躁的<美>极讨厌的,难受的,<英方>精力旺盛的"
crime,"n.犯罪,犯罪行为,罪行,罪恶"
constitute,"vt.制定(法律),建立(政府),组成,任命"
deceive,"v.欺骗,行骗"
haul,"n.用力拖拉,拖,拉,捕获物,努力得到的结果,(尤指)一网捕获的鱼量,拖运距离vi.拖,拉,改变方向,改变主意vt.拖拉,拖运"
emission,"n.(光、热等的)散发,发射,喷射"
procession,"n.行列,队伍"
bistro,"n.<俗>小酒馆,小咖啡店,酒馆跑堂者"
crash,"n.碰撞,坠落,坠毁,撞击声,爆裂声v.碰撞,坠落,坠毁,(指商业公司,政府等)破产,垮台"
pearl,n.珍珠 Pearl 珀尔(女子名)
workforce,
surpass,"vt.超越,胜过"
sociology,n.社会学
violent,"adj.猛烈的,激烈的,暴力引起的,强暴的"
frock,"n.上衣,外衣,工装,僧衣"
epidemic,"adj.流行的,传染的,流行性n.时疫,疫疾流行,(风尚等的)流行,流行病"
grab,"v.抢夺,攫取,夺取"
statue,vt.以雕像装饰n.雕像
appliance,"n.用具,器具"
facility,"n.容易,简易,灵巧,熟练,便利,敏捷,设备,工具"
consolation,"n.(被)安慰,起安慰作用的人或事物"
texture,"n.(织品的)质地,(木材,岩石等的)纹理,(皮肤)肌理,(文艺作品)结构"
assumption,"n.假定,设想,担任,承当,假装,作态,圣母升天"
dissatisfied,"adj.不满意的,不高兴的"
simultaneous,"adj.同时的,同时发生的"
sundial,"n.(通过太阳知道时间的) 日规,日晷"
toxic,"adj.有毒的,中毒的"
utilise,vt.<主英>=utilize
conformity,"n.一致,符合"
overrate,vt.对估价过高
dormant,"adj.睡眠状态的,静止的,隐匿的"
displace,"vt.移置,转移,取代,置换v.转移"
embrace,"vt.拥抱,互相拥抱,包含,收买,信奉vi.拥抱n.拥抱"
engrave,"v.雕刻,(线条,文字,图案)于一硬面上,深印于(心上),使铭记,铭刻"
disrespectful,"adj.失礼的,无礼的"
invade,"vt.侵略,侵袭,拥挤"
arcade,"n.[建]拱廊,有拱廊的街道"
commentary,"n.注释,解说词"
recreate,"v.(使)得到休养,(使)得到娱乐"
mock,"v.嘲笑,骗,挫败,嘲弄adj.假的n.嘲弄,模仿,仿制品"
territory,"n.领土,版图,地域"
prohibit,"vt.禁止,阻止"
shipment,"n.装船,出货"
calendar,"n.日历,历法"
magic,"n.魔法,巫术,戏法adj.魔术的,有魔力的,不可思议的"
slip,"n.滑倒,事故,片,纸片;vi.滑动,滑倒,失足,减退;vt.使滑动,滑过,摆脱,闪开,塞入;adj.滑动的,活络的,有活结的;Serial Line Interface Protocol,串行线路接口协议"
shatter,"n.粉碎,碎片,落花(叶,粒等)vt.打碎,使散开,粉碎,破坏vi.粉碎,损坏,落叶"
truce,"n.休战,休战协定,休止"
discount,n.折扣
tough,"n.恶棍adj.强硬的,艰苦的,坚强的,坚韧的,强壮的,吃苦耐劳的,凶恶的,粗暴的adv.<口>强硬地,顽强地vt.<美口>忍受,耐,坚持"
volunteer,"n.志愿者,志愿兵adj.志愿的,义务的,无偿的v.自愿"
eruption,"n.爆发,火山灰,[医]出疹"
pension,"n.养老金,退休金"
assignment,"n.分配,委派,任务,(课外)作业"
assign,"vt.分配,指派v.赋值 [计] 将驱动器符重定向至第二个驱动器符"
concert,"n.音乐会,一致"
microbiology,n.微生物学
stainless,"adj.纯洁的,无瑕疵的,不锈的"
hallowed,"adj.神圣化的,神圣的"
terminal,"n.终点站,终端,接线端adj.末期,每期的,每学期的"
climate,"n.气候,风土,思潮"
bring around,
bring round,
relevance,"n.中肯,适当"
reluctant,"adj.不顾的,勉强的,难得到的,难处理的"
