elementary,"adj.初步的,基本的,[化]元素的,自然力的"
preserve,"vt.保护,保持,保存,保藏vi.做蜜饯,禁猎n.蜜饯,果酱,禁猎地,禁区,防护物"
Singapore,
blogger,
firework,
massage,n.按摩v.按摩
Mud Festival,
parade,"n.游行,炫耀,阅兵,检阅,阅兵场v.游行,炫耀,夸耀,(使)列队行进"
swimsuit,n.(女)游泳衣
beep,n.哔哔声v.嘟嘟响
entrance,"n.入口,门口,进入"
North Beach Festival,
bang,"n.重击,突然巨响v.发巨响,重击"
candle,n.蜡烛vt.对着光检查
decorate,"v.装饰,为...做室内装修"
Diwali,
Hindu,
jasmine,"n.茉莉,素馨,淡黄色"
lotus,
rangoli,
rejoice,"v.(使)欣喜,(使)高兴,喜悦"
sunrise,n.日出
Ankara,
border,"n.边界,国界,边,边沿,边境vt.与...接壤,接近v.接壤"
continent,"n.大陆,陆地"
delicious,adj.美味的
Harajuku,
Istanbul,
Spice Bazaar,
trendy,"n.新潮人物,穿着时髦的人adj.流行的"
Turkey,
Whirling Dervish,
downtown,"adv.在市区,往市区adj.市区的"
electric,"adj.电的,导电的,电动的,电气"
fee,"n.费(会费、学费等),酬金"
regular,"adj.规则的,有秩序的,经常的,(花)整齐的,常备军的,等边的,合格的,定期的n.正规军,正式队员adv.经常地n.正常体"
adventurer,n.冒险家
author,"n.作家,创造者"
bubble,"n.泡沫,幻想的计划vi.起泡,潺潺的流"
community,"n.公社,团体,社会,(政治)共同体,共有,一致,共同体,(生物)群落"
cute,"adj.可爱的,聪明的,伶俐的,装腔作势的"
geography,"n.地理学,地理"
habitat,"n.(动植物的)生活环境,产地、栖息地,居留地,自生地,聚集处"
inspire,"vt.吸(气),鼓舞,感动,激发,启示,使生灵感,产生vi.吸入,赋予灵感"
Mumbai,
urban,"adj.城市的,市内的"
aeronautical,adj.航空学的
aviation,"n.飞行,航空,航空学,航空术"
cockpit,"n.驾驶员座舱,战场"
company,"n.公司,陪伴,(一)群,(一)队,(一)伙,连,连队"
customer,n.消费者
entrepreneur,"n.<法>企业家,主办人"
experience,"n.vt.经验,体验,经历,阅历"
flight,"n.飞行,逃走,飞跃,飞机的航程,班机,追逐,楼梯的一段,射程vi.成群飞行,迁徙vt.射击(飞禽),使惊飞"
inspiration,n.灵感
Miami,
pilot,"n.飞行员,领航员,引水员vt.驾驶(飞机等),领航,引水v.驾驶"
professional,"n.自由职业者,专业人员,职业运动员,职业艺人adj.专业的,职业的"
solo,n.独奏曲adj.单独的
bet,"n.赌,打赌v.赌,赌钱"
someday,adv.有一天
weird,"adj.怪异的,超自然的,神秘的,不可思议的,超乎事理之外的n.<古><苏格兰>命运,预言,符咒"
bathe,"v.沐浴,洗,(光线)充满n.洗澡"
Botswana,
capture,"n.捕获,战利品vt.俘获,捕获,夺取"
disguise,"v.假装,伪装,掩饰n.伪装"
endanger,vt.危及
herd,"n.兽群,牧群v.把...赶在一起放牧,成群"
lioness,n.雌狮
predator,"n.掠夺者,食肉动物"
wildlife,n.野生动植物
zebra,n.斑马
container,"n.容器(箱,盆,罐,壶,桶,坛子),集装箱"
didgeridoo,
drum,"n.鼓,鼓声,鼓形圆桶,[解]鼓膜,鼓室vi.击鼓,作鼓声vt.打鼓奏"
hip-hop,
jazz,"n.(20世纪产生于美国的一种舞曲性音乐)爵士乐,喧闹adj.爵士乐的,喧吵的,颜色过于艳丽的vi.奏爵士乐,跳爵士舞,游荡vt.奏爵士乐,使活泼"
Mongolia,
steel,"n.钢,钢铁"
Trinidad and Tobago,
horsehead violin,
wooden,adj.木制的
drug,"n.药,麻药,麻醉药,滞销货vi.<俗> 吸毒vt.使服毒品,毒化"
guitar,"n.吉他,六弦琴vi.弹吉他"
Hawaii,
recycle,"v.使再循环,反复应用n.再循环,再生,重复利用"
songwriter,
string,"n.线,细绳,一串,一行v.排成一列"
ukulele,n.夏威夷的四弦琴
album,"n.集邮本,照相簿,签名纪念册"
Bagamoyo,
cattle,"n.牛,家养牲畜"
herder,"n.牧者,牧人"
nephew,"n.侄子,外甥"
producer,"n.生产者,制作者,演出人,(电影)制片人"
promote,"vt.促进,发扬,提升,提拔,晋升为 /n.升级/降级"
Tanzania,
tradition,"n.传统,惯例"
WOMAD,
alone,"adj.单独的,独一无二的,孤独的,独自的adv.独自地"
Australia,
benefit,"n.利益,好处vt.有益于,有助于vi.受益"
couch,"n.(文学)床,睡椅 v.(用语言)表达"
hostel,"n.宿舍,旅店,客栈"
local,"adj.地方的,当地的,局部的,乡土的n.当地居民,本地新闻,慢车,局部"
negative,"n.否定,负数,底片adj.否定的,消极的,负的,阴性的vt.否定,拒绝(接受)"
networking,
privacy,"n.独处而不受干扰,秘密"
pros and cons,
site,"n.地点,场所,遗址vt.定...的地点n.站点"
social,"adj.社会的,爱交际的,社交的,群居的"
Couch Surfing,
uncomfortable,"adj.不舒服的,不安的,不合意的"
digital,"adj.数字的,数位的,手指的n.数字,数字式"
horrible,"adj.可怕的,恐怖的,讨厌的"
nomad,"n.游牧部落的人,流浪者,游牧民adj.游牧的"
split second,
access,"n.通路,访问,入门vt.存取,接近"
Bhutan,
celebrate,"v.庆祝,祝贺,表扬,赞美,举行"
challenging,
Himalaya Mountains,
motivation,n.动机
mound,"n.土墩,护堤,垛vt.筑堤,堆起vi.积成堆,隆起"
Mount Qomolangma,
slope,"n.斜坡,斜面,倾斜v.(使)顺斜"
survive,"v.幸免于,幸存,生还"
trek,"vi.牛拉车,艰苦跋涉vt.(牛)拉(货车),搬,运n.牛拉车旅行,艰苦跋涉"
woolly,adj.羊毛的
yak,
