a bit of,一点
be sorry for,"对...感到懊悔, 对...感到遗憾, 为...感到惋惜, 对...感到怜悯"
be strange to,对...感到陌生
be stressed out, 紧张，饱受压力
be strict in,[网络] 对某事严格要求；对某事要求严格；严于
be supposed to do sth., 应当，应该
be sure to do sth.,"na. 必定
[网络] 肯定做某事；一定会做某事；一定要做某事"
be surprised at,对…惊讶
be talented in,无
be terrified of,对...感到惊恐
be thankful to sb.,[网络] 感激；感谢；感激的
be tired of,厌烦
be up to,"胜任,达到,由…负责"
be used as,[网络] 被用作；被用做；被当作
be used for,用于…
be used to do sth.,无
be used to doing sth.,无
get used to doing sth.,无
be willing to do sth., 愿意做某事
be worn out,[网络] 筋疲力尽；被损坏；穿破
be worried about,为…着急
be worth doing sth.,无
because of,因为
before long,不久以后
beg sb. to do sth.,"na. 去乞讨；没有买主
[网络] 请求做某事；恳求做某事；恳请做某事"
begin ... with ...,"以…开始,首先"
believe in,"信仰, 信任"
belong to,属于
between ... and ...,无
borrow ... from ...,从…借入; 借用
both ... and ...,两个都；既...又...
break down,"毁掉, 制服, 压倒, 倒塌, 垮掉, 分解
[化] 发生故障"
break into,"破门而入, 侵占
[法] 破门而入"
break into pieces,成为碎片
break off,"v. 断绝；摘；把…折断；使脱落
[网络] 中断；突然停止；打断"
break out,"突发, 爆发, 叫嚷, 倒空, 取出, 使作准备
[机] 铸漏"
break the record,打破纪录
break the rule,违反规则
break up,"打碎, 破碎, 分裂, 分解, 驱散, 结束, 衰退, 衰落, 变坏"
bring out,"na. 公布；说出；出版；上演
[网络] 生产；阐明；说明"
bring ... to ...,"na. 使恢复知觉；【航】使停船
[网络] 使复苏；使苏醒；加进"
bring up,"na. 抚养；教导；教育；在…长大
[网络] 培养；提出；养育"
build up,n. 建立；组合；(在数量、力量、影响等方面)逐渐增加，增长，增强，加强，发展；成长过程
by accident,偶然
by air,乘飞机
by car,乘汽车
by chance,"偶然, 也许"
by doing sth.,[网络] 通过做某事；通过某种方式；通过做某事的方式
by means of,依靠
by mistake,由于差错
by oneself,"单独, 独自"
by the end of,"到…结束的时候,到…末"
by the time,"到…的时候,截至"
by the way,na. 见 way 条
by then,"na. 到那时
[网络] 到那时候；到那时为止；到那时侯"
by turns,"轮流, 交替"
call at ...,"na. 访问(某家)；(车船)停靠(某地)
[网络] 拜访"
call for help, 呼救
call the police,[网络] 报警；叫警察；打电话给警察
call up,"na. 传；召集；打电话给；【电讯】呼唤
[网络] 动员；盖洛普组织；同本义"
calm down,"平静下来, 镇定下来"
can't help doing sth.,[网络] 禁不住做某事；情不自禁做某事；忍不住做某事
care about,担心
care for,"喜欢, 照顾, 为...操心, 尊重"
carry on,"继续开展, 行为愚蠢(或越轨)
[经] 继续发展(经营)下去"
carry out,"进行, 实现, 贯彻, 执行
[经] 进行(到底), 执行, 落实"
catch cold,"na. 着凉
[网络] 感冒；伤风；染上感冒"
catch a cold,感冒
catch up with,赶上
change one's mind,"改变主意
[法] 改变主意, 改变计划"
chat with,与某人闲聊某事
clean out,"na. 扫除干净；〔俚语〕(把钱)花完
[网络] 清除；打扫干净；清扫"
clean up,"na. 收拾干净；【机械工程】改正；〔俚语〕赚厚利
[网络] 打扫；打扫干净；清除"
clear up,"n. 整理; 破案; 治愈
a. （案件）已经了结的; （罪犯）已捉拿的"
climb up,爬上
check in,"v. 〔美国〕报到；(旅馆)登记；签到；登记归还
[网络] 证实一下"
check out,"na. 开支票(提款)；(旅馆)付账后离开；及格；〔美俚〕死
[网络] 退房；检查；结帐"
cheer up,"v. 鼓舞；振作一点
[网络] 振作起来；高兴起来；使高兴起来"
close down,"[计] 停机, 关机, 停歇"
come across,偶遇
come along,"na. 进步；同意；一道来；请过来
[网络] 出现；进展；快点"
come and go,"n. 来回(交通；收缩膨胀)
adj. 大约的(易变的；不定的)"
come back,"n. 复原, 复辟, 复位, 尖刻的对答, 抱怨的原因
[计] 复原的"
come down,"下来, 下跌, 落泊, 流传下来, 捐钱, 反对"
come from,"来自, 出生于"
come in,"na. 进入；当选；上台；(党派)组阁
[网络] 进来；请进；流行起来"
come on,"na. (演员)出台；进行(很好)；(暴风雨等)起；(病,苦痛等)加深
[网络] 来吧；加油；快点"
come out,"到边远地区来, 出现, 露出, 出版, 罢工, 结果是, 褪去, 被解出, 宣布"
come over,"na. 从远方来；(从敌方)过来；变挂；〔口语〕欺骗
[网络] 顺便来访；抓住；丰田来未"
come to an end,结束
come to know, 知道; 发觉
come to life,苏醒
come to oneself,"苏醒, 醒悟"
come true,"实现, 成为事实"
come up to,"达到, 等于"
come up with,"赶上, 提出"
communicate with,通话
compare ... to ..., 把…比作， 喻为; 与…相比
compare ... with ...,"比较…,跟…相比,比得上…"
complain about,抱怨
concentrate on,"集中, 全神贯注于"
congratulations to,无
connect ... to ..., 使与…连接; 使与…接通电话
connect ... with ...,"连接, 联络"
consist of,由...组成
correct the mistakes,无
cut down,"na. 砍倒；削减；减价；夺去…活动力
[网络] 减少；缩短；降低"
cut in line,超车
cut off,"切掉, 删去, 切断, 断绝, 中断, 关掉, 使死亡
[建] 切断, 断流, 切去"
cut up,"na. 割裂；弄伤；歼灭(敌军)；使心痛
[网络] 切碎；剪碎；宰后得肉"
day after day,日复一日
day off,n. 休息日
deal with,"安排, 处理, 涉及, 做生意"
decide on,"决定,选定,确定…"
depend on,"依靠, 依赖"
develop a film,无
die from,"[法] 由于...而死, 死于"
die out,"熄灭, 平息, 消失"
differ from,不同
discuss about,讨论，议论(有关问题):
divide into,"把…划分成,分成"
do business,"na. 做买卖
[网络] 做生意；经商；特指经商"
do chores, 处理家务
do harm to, 损害。。。，伤害。。。; 残害
do sb. a favor,[网络] 帮忙；帮一个忙；做好事
do sb. good,"v. 有益
[网络] 做好事；有好处；行善"
do one's best,尽全力
do some exercises,无
do some shopping, 买东西
do the dishes, （饭后）洗餐具
do well in,"成绩好,…做得好"
do with,"与...相处, 忍受, 对付"
dozens of,"几十个,数十个;许多…"
draw ... from ..., 从…得到; 根据（记忆、构想等）绘画; 从…召集[选择]; 从（某处）取出
dream of,"梦见,梦想,向往,渴望"
dress up,"na. 乔装；装扮；为…打扮；盛装打扮
[网络] 穿上盛装；装饰；精心打扮"
drop by,n. (招待政治家、议员等的)招待会
drop out,"n. 退学学生, 中途退学
[电] 离去"
dry up,"na. 干涸；逐渐枯萎；使干；(演员)忘记台词
[网络] 枯竭；干透；乾涸"
due to,"由于, 应归于"
earn one's living,"谋生, 维持生活"
eat up,"吃光, 耗尽, 吞灭"
either ... or ...,"a. 两者择一, 两者择一的, 非此即彼的
[计] ""异"", 二者择一"
encourage sb. to do sth.,[网络] 鼓励…做；鼓励做某事
end up,"竖着, 结束, 死"
enjoy doing sth.,[网络] 喜欢做某事；享受做某事的乐趣；喜爱做某事
enjoy oneself,过得快乐
enter for,"na. 参加(赛跑)
[网络] 报名参加；报名参赛；报名参加比赛"
enter into,"进入, 参加, 成为...一部分, 讨论, 研讨, 体谅, 分享
[法] 进入, 参加, 缔结"
even if,即使
even though,"na. “even if”的变体
[网络] 纵然；即使；尽管"
ever since,自从…时候起(一直)
exchange ... with ...,v. 与…交换
face to face,"na. 面对面
[网络] 面对面的课堂学习；面对面地"
fail to do sth.,"未能(做)..., 没能(做)..."
fall behind,"落在后面, 拖欠"
fall ill,得病
fall in love with,爱上
fall into,"落入, 陷于, 开始, 分成, 属于, 注入"
fall off,"从...跌下, 下降, 减少, 衰退, 离开"
fall over,"na. 倒了；落在地上；(计算机)程序停止运行；跌倒
[网络] 故障转移方式；摔倒；摔入"
far away,"a. 遥远的, 恍惚的, 出神的"
far away from,远离…
feed on,"以...为食, 以...为能源"
feel like,"na. 〈口〉想要…；愿意…；感觉像是…
[网络] 感觉气温"
fight for, 为…而战斗[竞争]; 争取; 争夺
fill in,"na. 填充；填写；同“fill”
[网络] 可达到加强节奏弦音效果；过门；备注"
fill ... with ...,"v. 充满
[网络] 使充满；装满；用……填充"
find out,"na. 查出；发现；看清…的面目；识破
[网络] 查明；找出；了解"
find sb. doing sth.,无
finish doing sth., 完成做某事; 做完某事
first of all,首先
fix up,"na. 〈美口〉修理；解决；组织；安顿住处
[网络] 修补；安顿下来；改进"
for a long time, 长久；且；久；日长岁久
for ever,"na. 永远
[网络] 免费发短信的网站"
for example,"na. 例如
[网络] 举例；比如；譬如"
for free,免费地
for instance,n. [美国口语]例子
for pleasure,为了取乐
for sure,"adv. 确实
[网络] 肯定地；确切地；毫无疑问"
for the first time,第一次
force sb. to do sth.,"v. 强人所难
[网络] 强迫；好多都用不定式；被迫做某事"
forget doing sth.,忘记(曾做过)...
forget to do sth.,忘记(做)...
be free with,"直爽, 坦白"
from then on,从那时起
from time to time,有时
from ... to ...,[网络] 从到；从什么到什么；起止时间
get a ride, 搭车；搭便车；顺道搭车
get a word in,插进来说句话
get along,"na. 过活；生活；团结；有起色
[网络] 相处；进展；融洽相处"
get on,"na. 上马；安上；过日子；相投 (with together)
[网络] 上车；进展；相处"
get along with,"进展, 走开"
get on with, 继续（干某事）; 和…友好相处
get annoyed, 介意
get away,"na. 逃脱；出发；把…送出
[网络] 离开；逃离；逃跑"
get back,"na. 取回；回来；送回；〈俚〉报复
[网络] 收回；回家；取回物品"
get bored,[网络] 变得厌倦；变得无聊；厌烦
get down to,开始认真考虑;着手办理(某事)
get dressed, 穿衣服
get in,"na. 进入；收(庄稼)；收集(税收,捐款等)；插入
[网络] 到达；收割；进站"
get in the way,"挡住去路,障碍,碍事"
get in the way of,妨碍，阻碍
get into trouble,"na. 遇到麻烦；卷入纠纷；受责备；未结婚而怀孕
[网络] 陷入困境；陷入麻烦；惹上麻烦"
get lost,"int. 〈口〉滚开；别烦我
v. 迷路；迷失；陷入…而忽略了…
[网络] 走开；走失；失踪"
get mad at,无
be mad at,对…生气
get married to,[网络] 与某人结婚；和……结婚；与…结婚
be married to,"和…结婚,嫁给"
get off,"na. 下车；脱下(衣服等)；脱(衣)；下(马)
[网络] 下来；动身；离开"
get on,"na. 上马；安上；过日子；相投 (with together)
[网络] 上车；进展；相处"
get on well with, 与…相处融洽
get out,n. 逃脱，逃避；逃脱手段，脱身之计；收支相抵，销售款与支出费用相同
get out of,"na. 逐渐放弃(恶习)；避免；由…出来；拔出
[网络] 逃避；摆脱；离开"
get over,"爬过, 克服, 熬过, 恢复, 原谅"
get ready for,(使)准备好...
be ready for,为…作好准备
get ready to do sth.,无
be ready to do sth.,[网络] 准备做某事；准备好做某事；为做某事做好了准备
get rid of,"摆脱, 除去"
get sth. done,[网络] 完成；与句子主语是被动关系；表被动
get through,"做完, 通过, 度过"
get to,"na. 到达；开始；〈美口〉收买
[网络] 格托；鬼；隔都"
get together,"adj. 协议的；会商的；大群人的
n. 会商；〈美〉联欢会；集会
[网络] 聚会；聚集；聚一聚"
get up,"na. 起床；起身；站起来；叫…起床
[网络] 起立；打扮；安排"
give a concert, 举行音乐会
give advice to ...,[网络] 给……提建议；给某人提建议；建议给
give a hand,"un. 制住；帮着干一点
[网络] 帮助；帮忙；提供帮助"
give a talk, 做讲演（报告）
give away,"na. 赠送；分发；放弃；露马脚
[网络] 泄露；出卖；分送"
give back,"na. 归还；返回；往后站；凹陷
[网络] 恢复；送还；后退"
give birth to,产生
give in,"na. 让步；屈服；投降；上交
[网络] 交上；认输；放弃"
give off,"na. 发散(水蒸气等)
[网络] 发出；放出；释放"
give out,"na. 发表；放出；分发
[网络] 发出；用完；发出传票"
give reasons for,"陈述理由,解释"
give sb. a call,[网络] 给……打电话；给某人打电话；给我电话
give sb. a hand,"un. 制住；帮着干一点
[网络] 帮助；帮忙；提供帮助"
give up,"放弃, 停止, 献出, 抛弃, 认输, 把...送交
[法] 放弃, 停止, 把...送交"
go abroad,出国
go ahead,"na. 取得进展
[网络] 前进；开始；向前"
go along,"na. 前进
[网络] 进行；沿着……一直走；同意"
go back,"回去, 追溯"
go back home,回家
go by,"n. 轻视, 怠慢, 忽视"
go down,"na. 下去；(日,月)落下；继续到  (风,浪等)平静下来；消退
[网络] 下降；下沉；下降，降低"
go fishing,去钓鱼
go for a walk,散步
go hiking, 远足
go in for,"参加, 追求, 从事, 赞成"
go on a diet,"用规定食谱, 节食"
go on a picnic,去野餐
have a picnic,"吃野餐,去野餐"
go on to do sth.,无
go on with sth.,暂时使用
go on doing sth., 继续做
go out,"na. 出国；(火,灯)熄；辞职；下台
[网络] 熄灭；出去；外出"
go over,"转变, 仔细检查, 润色, 复习"
go shopping,去买东西
go sightseeing, 游览；游玩；观光
go to sleep,"入睡, 睡着"
go through with,完成
go with,"伴随, 与...相配"
go wrong,"走错路, 出毛病, 失败"
graduate from,从...毕业
green hand,n. 无经验的人；新手
grow up,"na. 长大
[网络] 成长；长大成人；成年"
had better do sth., 最好（做）
had better not do sth.,无
hand in,"na. 交进
[网络] 有发球权；有发球权的一方；交入"
hand in hand,"na. 手拉手；联合
[网络] 手牵手；友好；心手相连"
hand over,"v. 转交；递给；送交(警察或有关当局)处理；移交(权力等)
[网络] 交出；让与；交给"
hands up,"un. 举起手来
[网络] 举手；欧陆舞曲"
hang out,"n. 常去的地方, 聚集处"
hang up,"v. 挂断电话；挂机；悬挂；耽搁
[网络] 挂起；把…挂起来；挂电话"
happen to do sth., 碰巧做某事
happen to sb.,"碰巧,偶然;发生于"
hate doing sth.,[网络] 讨厌做某事；讨厌做过的事；不喜欢做
have a bath, 沐浴
take a bath,"洗个澡
[经] 遭受巨大损失"
have a class,[网络] 上课；学生上课
have a lesson, 上课
take a class,毕业考试得优等
take a lesson,[网络] 上课
have a good time,过得快乐
have a high fever,无
have got a high fever,无
have a look at,看一看…
have a meeting, 开会
have a mind,有意(做某事)；想(做某事)
have a good mind,很想(做某事)；很有(做某事)的意思；极有意(做某事)
have a rest, 休息一下; 歇
have fun, 玩得高兴，过得快活; 耍笑; 玩耍
have no idea, 不知道，不了解; 没谱儿
have no time to do,无
have to,"v. 必须；要；一定；应当
[网络] 不得不；需要；只索"
have ... off,[网络] 我休得假比你的少
have trouble doing sth.,[网络] 做某事有困难；做……有困难；做某事有麻烦
hear from,"接到...的信, 受...批评"
hear of,"na. 听说；获悉；收到…的消息；知道
[网络] 听到；听说过；得悉"
hear about,"听说,听到过"
help do sth.,[网络] 帮助做某事；帮助干某事；帮忙做
help to do sth.,[网络] 帮助做某事；帮忙做某事；有助于做某事
help oneself,自用
here and there,"各处, 到处, 四处"
hold a sports meeting,[网络] 举行运动会；开运动会；举办个运动会
hold on,不挂断电话，等一下；继续
hold on to, 紧紧抓住，不卖出
hold one's breath,屏息
hold up,"n. 拦劫行人的强盗行为, 劫盗, 停顿, 索高价
[经] 索高价, 阻碍, 停顿"
hope to do sth.,[网络] 希望做某事；希望去做某事；希望干某事
how far,"na. (离…)多远；到什么程度[范围]
[网络] 距离；有多远；多长距离"
how long,"conj. 多长时间
[网络] 多久；默然挥手；后浪"
how many, 几何；几；多少；几多
how often, 多久，多常
how old, 几岁
how soon, 多快， 多久以后
hundreds of,"几百..., 许许多多..."
hurry up,"na. 催促；赶快
[网络] 快点；赶紧；匆匆完成"
if not,"na. 要是不；不然的话
[网络] 否则；如果不；如果没有"
if only,"na. 只要；只要…；要是…就好  if possible 如果可能
[网络] 如果能再爱一次；要是……就好了；但愿"
if possible,如果可能的话
in a hurry,匆忙
in a low voice, 低声地; 悄声; 小声; 窃窃
in a loud voice,"高声地,大声地"
in a tired voice,无
in a mess,"肮脏,混乱,紊乱,一塌煳涂,一团糟"
in a minute,"马上, 立刻"
in a word,"na. “in a few words”的变体
[网络] 总之；简言之；总而言之"
in addition,另外
in addition to,"另外, 加之, 除…之外还"
in all,"总共
[经] 合计, 全部"
in another way,无
in case,"v. 装进箱,筒,鞘等容器内, 包"
in charge of,"负责..., 管理..., 主管..., 掌管..., 看管..., 在...掌管/看管之下"
in common,"un. 和…有共同之处；公有
[网络] 共同的；共有的；共用的"
in danger,"na. 在危险中
[网络] 垂危；处于危险之中；处于危险中"
in English, 用英语
in fact,"na. 其实；总之
[网络] 事实上；实际上；I事实上我"
in favor of,"赞同, 有利于"
in front of,在...前面
in general,大多数
in groups,"n. 内部集团
[网络] 团体；内团体；内群体"
in hospital,[网络] 在医院内；住院治疗；住院期间
in hunger,无
in no time,立刻
in one's fifties,无
in one's opinion,"na. 据某人意见
[网络] 在……看来；在某人看来；就某人看来"
in order,"整齐, 状况良好, 适宜"
in order to, 为了…
in public,当众
in red,[网络] 英瑞得；穿着红衣服
in return,作为报答
in safety,"na. 平安地
[网络] 安全地"
in search of,寻找
in short,"简而言之
[法] 简言之"
in spite of,不管
in style," 别具风格地, 时髦地, 很成功地"
in surprise,惊异地
in the 1970s,无
in the dark,"在黑暗中, 秘密地, 不知道
[法] 蒙在鼓里"
in the day, 在白天
in the end,"最后, 终于"
in the form of,以…形式
in the future,"未来, 将来, 往后"
in the habit of,"有…的习惯,习惯于…"
in the middle of,"在...当中, 在...的中途, 在...中央"
in the open air,在户外
in the past,在过去
in the past few years,无
in this way,这样
in time,"na. 经过一段时间以后；早晚；在恰好的时候；和…合拍
[网络] 及时；钟点战；时间规划局"
in trouble,"处于不幸中, 在监禁中"
in turn,"na. 挨次
[网络] 依次；轮流；反过来"
instead of,"na. 对某人很有用
[网络] 代替；替代；而不是"
join in,"na. 参加；参与
[网络] 加入；招商加盟；诚邀每个人"
join sb.,"vi. 参加, 结合, 加入
vt. 连接, 结合, 参加, 加入
n. 连接, 结合, 接合点
[计] 连接; 汇合指令"
join the army, 参军; 当兵
jump off,n. (赛跑或进攻的)开始
just a moment, 等一会儿
just now,刚刚
just then," 就在这时候, 那时候; 方才"
keep a diary,v. 写日记
keep doing sth.,[网络] 继续做；坚持做某事；一直做某事
keep fit,"保持健康,健身"
keep in good health, 养生
keep sb. in good health, 养生
keep in mind,"na. 记在心里；记住；注意
[网络] 牢记；紧记；牢记在心"
keep in touch with,与...保持联络
keep off,"让开, 不接近"
keep out,[计] 疏排
keep quiet,保持安静
keep secrets,无
keep a secret,保守秘密
keep up with,"跟上
[法] 追上, 跟上, 赶得上"
keep ... from doing sth.,[网络] 避免做；避免做某事；从某事中停下来
kind of,"na. 有点儿；有几分
[网络] 单位属性；用法小释"
knock at the door,敲门
knock on the door,夜晚敲门(恐怖统治的标志)；夜晚敲门(恐怖统治的标志)[亦作knock in the night]
knock into,撞上
knock over,"na. 弄倒；屈服；死；〈美〉(警察)袭击
[网络] 脱圈"
know about,"知道,了解,听说过…"
later on,稍后
laugh at,"嘲笑, 漠视, 因...发笑"
lead to,"导致, 通向"
learn about,"学习,听说,得悉,了解"
learn ... by heart,"na. 记住；熟记
[网络] 背诵；牢记；背熟"
learn from,向...学习
leave a message,给某人留个信
leave ... alone,"让独自呆着, 不打扰"
leave for,"un. 到…地方去；去某地:
[网络] 动身去；动身去某地；前往"
lend to,"un. 贡献:
[网络] 把…借给；把钱贷给；借给谁"
less and less,越来越少
less than," 小于, 决不; 以内; 没有; 不足"
let ... down,"放下, 使失望, 使屈辱, 松劲, 减速下降
[机] 放下, 排出"
let out,"na. 放宽；打；放出；泄漏
[网络] 泄露；发出；放掉"
lie down,"v. 躺；不反抗；屈服；顺从
[网络] 躺下；躺卧；倒卧"
lie in,"在于..., 分娩, 睡懒觉"
light up,"na. 点火；弄亮；点香烟；变快活
[网络] 照亮；点燃；灯照亮"
line up,"n. 一排人; 一组人; （用途相同的）一批东西; （比赛时）球员的阵容
v. 排成行, 排成直线"
listen to,听
live in,"na. 住进；(雇员)住在东家
[网络] 居住"
live on,"继续生活, 以...为主食, 靠...生活"
long before,在...以前很久
long for,渴望
look after,"目送, 照顾, 关心"
look around, 四下观望; （作出选择前）进行调查; 骋目四顾; 四顾
look at,"na. 看；考虑
[网络] 看着；注视；瞧"
look down on,"轻视, 看不起"
look for,"寻找, 期待"
look forward to," 期望, 盼望; 瞩望; 属望; 企"
look into,"窥视, 浏览, 观察
[法] 调查"
look like, 看起来与（某人或某物）相像[相似]; 很可能出现[引起]（某事、做某事）; 伣; 似
look out,"n. 警戒, 搜寻, 注意, 了望台, 监视者, 了望员, 监视哨, 景色, 前途, 远景"
look out of,从…向外看
look up,n. (在词典等中的)查找，查看[亦作 look-up]；【计算机】
look over,"na. 浏览；检查；察看
[网络] 查看；翻阅；调查"
look through,"na. 浏览；翻查；对…视而不见；看穿
[网络] 通过看得"
lose hope, 失望
lose one's job, 失业; 丢饭碗
lose one's life,"na. 死；丢了性命
[网络] 丧生；丧命；牺牲"
lose weight,体重减轻
lots of,"许多的..., 大量的..."
major in,"主修, 专攻"
make a choice,"挑选,选择"
make a decision,作决定
make a film,[网络] 拍电影；制作电影；排电影
make a fire,生火
make a living,"谋生, 挣钱度日, 维持生活"
make a mistake,犯错误
make a note of,"记录,把…记录下来"
make notes of,记录；记下
make a phone call to,无
make a suggestion,提建议
make contributions to,捐赠〔贡献〕给…
make faces, 扮鬼脸; 做鬼脸; 挤眉弄眼
make friends with,"(和某人)交友, 建立友谊"
make fun of,取笑
make it,（病痛等）好转；达到预定目标；及时抵达；走完路程
make money,"挣钱
[经] 赚钱, 挣钱"
make one's way to,到...去
make one's way towards,无
make one's way through,无
make out,"书写, 填写, 拼凑, 说明, 理解, 辨认出, 设法应付, 进展
[法] 开出, 写出, 看出"
make progress,取得进步/展
make sure,确定
make the bed,铺床
make up,"弥补, 赔偿, 配制, 包装, 编辑, 虚构, 缝制, 组成, 和解, 结算, 整理, 化装
[经] 弥补, 赔偿, 内部运装"
make up one's mind,"下决心, 接受, 承认"
manage to do sth., 设法做成某事
marry sb.,"vt. 与...结婚, 娶, 嫁
vi. 结婚"
match with ...,[网络] 和……相配；相匹配；与……相称
match ... with ...,[网络] 和……相配；相匹配；与……相称
mean to do sth., 打算做；有意做
meet the needs of,满足...的需要
meet with,"偶遇, 遭受"
millions of,"成千上万的..., 无数的..."
mistake ... for ...,错认
mix up,"na. 调匀；混淆；使结交坏朋友；【拳击】猛烈互击
[网络] 混合；搞糊涂；混合在一起"
mop the floor,[网络] 拖地；拖地板；擦地板
more and more,越来越多
more or less,"na. 有点儿；左右；或多或少；一点也…
[网络] 渐多或渐少"
more than,"na. …以上；比…更
[网络] 多于；超过；不止"
most of,"大多数,大部分"
move to,[计] 移到
neck and neck,adj. 并排的，并驾齐驱的
neither ... nor ...,[网络] 既不……也不；两者都不；均不
neither does sb.,无
never before,"un. 死也不肯；从来没有
[网络] 以前从未曾有过；以前从不；空前"
never mind,"un. 不要紧；没关系；开诚布公地谈
[网络] 在线"
next to,几乎
no choice but ...,无
no longer,"na. 已不
[网络] 不再是"
no matter how,不管如何
no wonder,[网络] 难怪；怪不得；我是船长
not at all,一点也不；别客气
not ... at all,一点也不；别客气
not only ... but also ...,[网络] 不仅……而且；不但而且；两个不仅……而且
not ... in the slightest,一点不
not ... until ...,直到...才...
nothing but,只
notice sb. do sth.,无
now and then,偶尔；有时
now that ...,"既然..., 由于..."
