abolish,"vt.废止,废除(法律、制度、习俗等)"
disaster,"n.灾难,天灾,灾祸"
blunder,"v.跌跌撞撞地走,犯大错,做错n.大错,失误"
slip,"n.滑倒,事故,片,纸片;vi.滑动,滑倒,失足,减退;vt.使滑动,滑过,摆脱,闪开,塞入;adj.滑动的,活络的,有活结的;Serial Line Interface Protocol,串行线路接口协议"
compulsory,"adj.必需做的,必修的,被强迫的,被强制的,义务的"
compulsive,"adj.强制的,强迫的,由强迫产生的,禁不住的"
notify,v.通报
inform,"v.(～ of/about) 通知,告诉,获悉,告知"
rent,"v.租,租借,出租n.租金"
hire,"n.租金,工钱,租用,雇用vt.雇请,出租vi.受雇"
historical,"adj.历史(上)的,有关历史的"
historic,"adj.历史上著名的,有历史性的"
flee,"vt.逃避,逃跑,逃走vi.消散,逃,消失"
escape,"n.逃,逃亡,溢出设备,出口,逃跑,[植]野生vi.逃脱,避开,溜走vt.逃避,避免,被忘掉"
trench,"n.沟渠,堑壕,管沟,电缆沟,战壕v.掘沟,挖战壕"
ditch,"n.沟,沟渠,壕沟"
climate,"n.气候,风土,思潮"
weather,"n.天气,气候,气象,处境adj.迎风的,露天的vt.使受风吹雨打,侵蚀,使风化,经受住vi.风化,受侵蚀,经受风雨"
appoint,"vt.约定,指定(时间,地点),任命,委任"
nominate,"vt.提名,推荐,任命,命名"
infectious,"adj.有传染性的,易传染的,有感染力的"
contagious,"adj.传染性的,会感染的"
unfold,"vt.打开,显露,开展,阐明vi.伸展,开花,呈现vt.放(羊)出栏"
open,"n.公开,户外,空旷adj.开着的,敞开的,(车等)无篷的,开阔的,营业着的,公开的,坦率的,未决定的vt.打开,公开,开放vi.展开,开始,展现"
feminine,"adj.妇女(似)的,娇柔的,阴性的,女性的"
female,"n.女性,女人,雌兽adj.女性的,女子的,妇女的,雌的,柔弱的,(声,色)柔和的"
vibrate,"v.(使)振动,(使)摇摆"
shake,"v.摇动,摇,颤抖,震动n.摇动,摇,颤抖,震动"
war,"n.战争vi.作战,打仗"
warfare,"n.战争,作战,冲突,竞争"
walk,"vi.步,行,走n.步行,散步,步,行道"
step,"n.脚步,步幅,步调,步伐,步骤,措施,梯级,台阶v.走,举步,移步,踏 产品数据转换规范"
endeavor,"n.努力,尽力vi.尽力,努力"
attempt,"n.努力,尝试,企图vt.尝试,企图"
try,"n.尝试v.试,试图,努力,试验,磨难,考验,审问"
raise,"n.上升,高地,提出vt.升起,唤起,提高,使出现,解除,饲养,筹集,使复活"
arise,"vi.出现,发生,起因于"
rise,"n.上升,增加,上涨,高地,小山,发生,出现vi.升起,起身,发源,起义,高耸,增长,上升,复活vt.使飞起"
diminish,"v.(使)减少,(使)变小"
decrease,"n.减少,减少之量v.减少"
reduce,"vt.减少,缩小,简化,还原"
disease,"n.疾病,弊病"
illness,"n.疾病,生病"
disorder,"n.杂乱,混乱,无秩序状态vt.扰乱,使失调,使紊乱"
transform,"vt.转换,改变,改造,使...变形vi.改变,转化,变换n.[数]变换(式),[语]转换"
vary,"vt.改变,变更,使多样化vi.变化,不同,违反"
change,"n.改变,变化,转变,找回的零钱,找头,辅币vt.改变,变革,改造,兑换"
likely,"adj.很可能的,合适的,可靠的,有希望的adv.或许,很可能"
apt,"adj.易于...的,有...倾向的,灵敏的,灵巧的,适当的,切题的,敏捷,倾向是"
prone,adj.倾向于
appropriate,adj.适当的
suitable,"adj.适当的,相配的"
proper,"adj.适当的,正确的,固有的,特有的,有礼貌的,正当的,严格意义上的,彻底的"
custom,"n.习惯,风俗,<动词单用>海关,(封建制度下)定期服劳役,缴纳租税,自定义,<偶用作>关税v.定制,承接定做活的"
habit,"n.习惯,习性"
convention,"n.大会,协定,习俗,惯例"
crush,"vt.压碎,碾碎,压服,压垮,粉碎,(使)变形"
clash,"n.冲突,撞击声,抵触v.(使)发出撞击声,猛撞,冲突"
crash,"n.碰撞,坠落,坠毁,撞击声,爆裂声v.碰撞,坠落,坠毁,(指商业公司,政府等)破产,垮台"
creep,"vi.爬,蹑手蹑脚,蔓延"
crawl,"vi.爬行,蠕动,徐徐行进n.爬行,蠕动,缓慢的行进"
climb,"v.攀登,爬n.攀登,爬"
mortal,"n.凡人,人类adj.必死的,致命的,人类的,临终的adj.<口>极端的,非常大(长)的"
fatal,"adj.致命的,重大的,命运注定的,不幸的,致命的,毁灭性的"
deadly,"adj.致命的,势不两立的,死一般的,极度的,必定的"
rock,"n.岩石,暗礁,石头,摇动vt.摇摆,使动摇vi.摇,摇动"
swing,"v.摇摆,摆动,回转,旋转n.秋千,摇摆,摆动"
sway,"v.摇摆,摇动"
corporation,"n.[律]社团,法人,公司,企业,<美>有限公司,(市,镇的)自治机关,<口>大肚皮"
company,"n.公司,陪伴,(一)群,(一)队,(一)伙,连,连队"
firm,"n.公司,(合伙)商号adj.结实的,坚硬的,坚定的,坚固的,牢固的,稳固的,严格的vt.使牢固,使坚定vi.变稳固,变坚实adv.稳固地,坚定地"
boundary,"n.边界,分界线"
border,"n.边界,国界,边,边沿,边境vt.与...接壤,接近v.接壤"
frontier,"n.国境,边疆,边境"
consent,"vi.同意,赞成,答应n.同意,赞成,允诺"
assent,n.赞成vi.同意
comply,"vi.顺从,答应,遵守"
vast,"adj.巨大的,辽阔的,大量的,巨额的"
immense,"adj.极广大的,无边的,<口>非常好的"
huge,"adj.巨大的,极大的,无限的"
massive,"adj.厚重的,大块的,魁伟的,结实的"
voyage,"n.航程,航空,航海记,旅行记vi.航海,航行vt.渡过,飞过"
journey,"n.旅行,旅程v.旅行"
trip,"n.(短途)旅行,绊倒,摔倒,失足,往返,差错,支吾,旅程vt.使跌倒,使犯错,使失败,挑剔vi.轻快地走,摔倒,绊倒,失足,结巴,远足,犯错,旅行"
travel,"v.旅行,传播vi.行进,传播n.旅行"
soldier,"n.士兵,军人"
veteran,"n.老兵,老手,富有经验的人,退伍军人adj.老兵的,经验丰富的"
glimpse,"n.一瞥,一看v.瞥见"
glance,"vi.扫视,匆匆一看n.一瞥,眼光,匆匆一看"
fare,"n.费用,旅客,食物vi.遭遇,进展,进步,经营,过活"
fee,"n.费(会费、学费等),酬金"
deceive,"v.欺骗,行骗"
cheat,"n.欺骗,骗子v.欺骗,骗取"
mankind,"n.人类,男性,男子"
man,"n.男人,人类,人,丈夫,雇工;vt.为...配备人手,操纵,在...就位,使振奋;Metropolitan Area Network 城域网"
idle,"adj.空闲的,懒惰的,停顿的,无用的,无价值的vi.不做事,游手好闲,(机器)空转,虚度,闲散,不作事,游手好闲,浪费vt.虚度,使空闲,使空转"
lazy,"adj.懒惰的,懒散的"
faithful,"adj.守信的,忠实的,详确的,可靠的n.信徒"
loyal,"adj.忠诚的,忠心的"
reward,"n.报酬,奖金vt.酬劳,奖赏"
award,"n.奖,奖品vt.授予,判给"
complement,"n.补足物,[文法]补语,[数]余角vt.补助,补足"
supplement,"n.补遗,补充,附录,增刊v.补充"
mutual,"adj.相互的,共有的"
common,"adj.共同的,公共的,公有的,普通的,庸俗的,伪劣的n.[复][总]平民,公有,普通,共通"
dubious,"adj.可疑的,不确定的"
doubtful,"adj.可疑的,不确的,疑心的"
humble,"adj.卑下的,微贱的,谦逊的,粗陋的vt.使...卑下,挫,贬抑"
modest,"adj.谦虚的,谦让的,适度的"
prospect,"n.景色,前景,前途,期望vi.寻找,勘探"
perspective,"n.透视画法,透视图,远景,前途,观点,看法,观点,观察"
sturdy,"adj.强健的,坚定的,毫不含糊的n.[兽医]家畜晕倒病"
vigorous,"adj.精力旺盛的,有力的,健壮的"
resist,"vt.抵抗,反抗,抗,忍得住"
withstand,"vt.抵挡,经受住"
progressive,"n.改革论者,进步论者adj.前进的,(税收)累进的,进步的"
advanced,"adj.高级的,年老的,先进的"
product,"n.产品,产物,乘积"
produce,"n.产物,农产品vt.提出,出示,生产,制造,结(果实),引起,招致,创作"
doubt,"n.怀疑,疑惑,疑问v.怀疑,不信,拿不准,<古>恐怕"
suspect,"n.嫌疑犯adj.令人怀疑的,不可信的,可疑的v.怀疑,猜想,对...有所觉察"
assist,"v.援助,帮助"
aid,"n.帮助,援助,帮助者,有帮助的事物;vt.资助,援助,帮助;Association Identifier,相关标识"
estimate,"v.估计,估价,评估n.估计,估价,评估"
evaluate,"vt.评价,估计,求...的值v.评价"
requirement,"n.需求,要求,必要条件,需要的东西,要求必备的条件"
requisite,"adj.需要的,必不可少的,必备的n.必需品"
furnish,"vt.供应,提供,装备,布置v.供给"
provide,"v.供应,供给,准备,预防,规定"
loyalty,"n.忠诚,忠心"
devotion,"n.热爱,投入"
hostage,"n.人质,抵押品"
pawn,"n.典当,抵押物,人质,(象棋)兵、卒,爪牙,被人利用的人vt.当掉,以...担保"
hasty,"adj.匆忙的,草率的"
reckless,adj.不计后果的
disabled,adj.伤残的v.丧失能力
handicapped,"n.残疾人,身体有缺陷的人adj.残废的"
rhythm,"n.节奏,韵律"
rhyme,"n.韵,押韵,押韵的词vi.押韵,作诗,韵律和谐vt.使押韵,用韵诗表达,把...写成诗"
shear,"v.剪,修剪,剪切"
share,"n.共享,参与,一份,部分,份额,参股vt.分享,均分,共有,分配vi.分享"
browse,"v.n.浏览,吃草,放牧"
skim,v.撇去
brochure,n.小册子
pamphlet,n.小册子
credible,"adj.可信的,可靠的"
credulous,adj.轻信的
comprehension,"n.理解,包含"
understanding,"n.谅解,理解"
evoke,"vt.唤起,引起,博得"
summon,"v.召集,召唤,号召,鼓起,振作"
conquest,n.征服n.战利品
triumph,"n.胜利,成功v.获得胜利"
victory,"n.胜利,战胜,克服,[罗神]胜利女神"
break,"n.休息,暂停,破裂,突变v.打破,违犯,折断,削弱,超过,突变"
crack,"n.裂缝,噼啪声v.(使)破裂,裂纹,(使)爆裂adj.最好的,高明的"
snap,"v.猛地吸住,突然折断,使劈啪地晌,猛咬n.猛咬,突然折断,劈啪声adj.突然的"
compound,"n.混合物,[化]化合物adj.复合的v.混合,配合"
blend,vt.混和n.混和
integrate,"vt.使成整体,使一体化,求...的积分v.结合"
apparatus,"n.器械,设备,仪器"
instrument,"n.工具,手段,器械,器具,手段"
device,"n.装置,设计,图案,策略,发明物,设备 [计]安装设备驱动程序"
beat,"n.敲打,拍子,巡逻区域v.打,打败"
hit,"n.打击,打,碰撞,讽刺,(演出等)成功vt.打,打击,碰撞,击中,袭击,偶然发现,伤...的感情,找到vi.打,打中,打击,碰撞,偶然碰上"
strike,"n.罢工,打击,殴打vt.打,撞击,冲击,罢工,打动,划燃,到达,侵袭vi.打,打击,罢工,抓,敲,搏动,打动,穿透"
ordinary,"adj.平常的,普通的,平凡的n.[律] 推事,<英>[宗]罪犯的忏悔牧师"
common,"adj.共同的,公共的,公有的,普通的,庸俗的,伪劣的n.[复][总]平民,公有,普通,共通"
general,"n.普通,将军,概要adj.一般的,普通的,综合的,概括的,全面的,大体的 n.常规"
comment,"n.注释,评论,意见vi.注释,评论"
commentary,"n.注释,解说词"
remark,"n.备注,评论,注意,注释vt.评论,注意,谈及vi.谈论"
