abscissa,n.横坐标
typology,"n.类型学,血型学,体型学,象征学"
vocal,"adj.发嗓音的,声音的,有声的,歌唱的n.元音,声乐作品"
morphology,"n.[生物]形态学、形态论,[语法]词法、词态学"
terminology,n.术语学
anthology,"n.诗选,文选"
autobiography,n.自传
composition,"n.写作,作文,成分,合成物"
epic,"n.史诗,伟大事迹adj.英雄的,壮丽的,大规模的"
fiction,"n.虚构,编造,小说"
pornography,"n.色情文学,色情描写"
mythology,n.神话
amino acid,
anatomy,"n.剖析,解剖学"
ankle,n.[解]踝
antibiotic,n.抗生素adj.抗生的
antidote,"n.[医]解毒剂,矫正方法"
appendix,"n.附录,附属品,[解]阑尾"
bacteria,n.pl.细菌
biofeedback,n.生物反馈
biological,adj.生物学的
biota,n.[生态]生物区
bloodstream,
bronchial,adj.[解]支气管的
carcass,n.(屠宰后)畜体
chordate,"adj.有脊索的,脊索动物的n.脊索动物"
chromosome,n.[生物]染色体
clavicle,n.[解剖]锁骨
crest,"n.鸟冠,盔上的装饰(如羽毛),顶部,顶峰,浪头vi.到达绝顶vt.加以顶饰"
cytology,n.[生]细胞学
cytoplasm,n.[生]细胞质
embryo,"n.胚胎,胎儿,胚芽adj.胚胎的,初期的"
enzyme,n.[生化]酶
fetal,"adj.胎儿的,胎的"
fossil,"n.化石,僵化的事物adj.化石的,陈腐的,守旧的"
fungi," 真菌类(包括霉菌,食用伞菌,酵母菌等),似真菌的,由真菌引起的"
gene,"n.[遗传]因子,[遗传]基因 Gene 吉恩(男子名)"
genetic,"adj.遗传的,起源的"
gland,"n.[解剖]腺,[机械]密封管"
hereditary,"adj.世袭的,遗传的"
admiral,"n.海军上将,舰队司令,旗舰"
ammunition,"n.军火,弹药"
array,"n.排列,编队,军队,衣服,大批;vt.部署,穿着,排列"
battalion,"n.军营,军队"
demobilization,n.复员
enlist,"v.征募,谋取(支持、赞助等),应募,赞助,支持,征召,参军"
fortress,"n.堡垒,要塞"
levy,"n.征收,征税,征兵v.征收,征集,征用"
maneuver,v.机动n.机动
martial,"adj.战争的,军事的,尚武的,威武的"
militancy,"n.战斗性,交战状态"
missile,"n.导弹,发射物"
nuclear,"adj.[核]核子的,原子能的,核的,中心的"
rear-echelon,
recruit,"n.新兵,新分子,新会员vt.使恢复,补充,征募vi.征募新兵,复原"
regiment,"n.团,大群v.把...编组,把...编成团,管辖"
samurai,"n.(封建时代的)日本武士,日本陆军军官"
sheathe,"vt.插入鞘,覆盖"
sniper,n.狙击兵
strategic,"adj.战略的,战略上的"
strategy,"n.策略,军略"
wage,n.[常pl.] 工资v.发动
warrior,"n.战士,勇士,武士,战斗,尚武,鼓吹战争的人adj.战斗的,尚武的"
defensive,"adj.防御用的,自卫的n.防御"
baptism,"n.浸洗,[喻]洗礼,严峻考验"
Buddha,
cult,"n.礼拜,祭仪,一群信徒,礼拜式"
divine,"adj.神的,神圣的,非凡的,超人的,非常可爱的n.牧师"
doctrine,"n.教条,学说"
dogma,n.教条
Islam,
mosque,n.清真寺
mundane,"adj.世界的,世俗的,平凡的"
parable,"n.寓言,比喻"
parish,n.教区
Puritan,
religious,"adj.信奉宗教的,虔诚的,宗教上的,修道的,严谨的n.僧侣,尼姑,修道士"
secular,adj.长期的
aeronautics,"n.航空学,航空术"
airborne,"adj.空运的,空气传播的,空降的"
asteroid,"n.[天文]小游星,小行星,海盘车adj.星状的"
astronaut,"n.太空人,宇航员"
astronomer,n.天文学家
aviation,"n.飞行,航空,航空学,航空术"
black hole,
celestial,adj.天上的
comet,n.彗星
cosmic,adj.宇宙的
eclipse,"n.食,日蚀,月蚀,蒙蔽,衰落vt.引起日蚀,引起月蚀,超越,使黯然失色"
envelope,"n.信封,封套,封袋,[天]包层,[数]包迹,[生]包膜"
galaxy,"n.星系,银河,一群显赫的人,一系列光彩夺目的东西"
neutron star,
planetary,n.行星的
spherical,"adj.球的,球形的"
supernova,n.[天]超新星
carol,"n.欢乐的歌,颂歌,(尤指)圣诞节颂歌v.歌颂,欢唱 Carol 卡罗尔(女子名)"
chant,n.圣歌
choreography,"n.舞蹈术,舞台舞蹈"
concert,"n.音乐会,一致"
concerto,n.协奏曲
debut,"n.v.初次登场,开张"
ethnomusicology,
finale,"n.(戏剧的)最后一场,结局,终了,最后的一个乐章,终曲"
foreshorten,"vt.[画]透视缩短,节略,省略"
instrument,"n.工具,手段,器械,器具,手段"
orchestra,"n.管弦乐队,乐队演奏处"
renaissance,"n.复兴,复活,新生,文艺复兴,文艺复兴时期"
rendition,"n.表演,演唱,翻译"
repertory,n.仓库
rhythmic,"adj.节奏的,合拍的"
rhythmical,"adj.节奏的,合拍的"
statue,vt.以雕像装饰n.雕像
calligraphy,n.书法
apolitical,adj.不关心政治的
autonomy,n.自治
bipartisan,adj.两党连立的
bureaucrat,n.官僚主义者
franchise,"n.特权,公民权v.赋予特权,赋予公民权"
municipal,"adj.市政的,市立的,地方性的,地方自治的"
NATO,
North Atlantic Treaty Organization,
non-partisan,
partisan,n.游击队
polyarchy,n.多头政治
regime,"n.政体,政权,政权制度"
suffrage,"n.投票,选举权,参政权,[宗]代祷"
terrestrial,adj.陆地
territory,"n.领土,版图,地域"
totalitarian,adj.极权主义的n.极权主义者
archaeology,n.考古学
climatology,"n.气候学,风土学"
demography,n.人口统计学
empirical,"adj.完全根据经验的,经验主义的,[化]实验式"
ethics,"n.偶尔,道德规范"
graphics,"n.(作单数用)制图法,制图学,图表算法,图形"
iconography,"n.肖像学,肖像画法"
qualitative,"adj.性质上的,定性的"
tentative,"n.试验,假设adj.试验性的,试探的,尝试的,暂定的"
theoretical, 理论的
analytical,"adj.分析的,解析的"
conceptual,adj.概念上的
concrete,"adj.具体的,有形的n.混凝土v.用混凝土修筑,浇混凝土,凝结"
applied,"adj.应用的,实用的"
hygiene,"n.卫生,卫生学"
antifreeze,n.<美>[化]防冻剂
ceramic,adj.陶器的n.陶瓷制品
apparatus,"n.器械,设备,仪器"
apparel,"n.衣服,装饰"
appliance,"n.用具,器具"
chisel,n.凿子v.砍凿
component,"n.成分adj.组成的,构成的"
device,"n.装置,设计,图案,策略,发明物,设备 [计]安装设备驱动程序"
equipment,"n.装备,设备,器材,装置,铁道车辆,(一企业除房地产以外的)固定资产,才能"
hinge,"n.(门、盖等的)铰链,枢纽,关键vt.装铰链v.装以绞链,依...而转移"
implement,"n.[常pl.] 工具,器具vt.贯彻,实现v.执行"
latch,n.门插销v.闭锁
microwave,n.微波(波长为1毫米至30厘米的高频电磁波)
mute,"n.哑巴,哑音字母,[律]拒不答辩的被告,弱音器adj.哑的,无声的,沉默的vt.减弱...的声音vi.排泄"
panel,"n.面板,嵌板,仪表板,座谈小组,全体陪审员vt.嵌镶板"
phonograph,"n.留声机,电唱机vi.灌入留声机"
pliers,"n.钳子,老虎钳"
plug,"vt.堵,塞,插上,插栓n.塞子,插头,插销"
plywood,"n.夹板,合板"
porcelain,"n.瓷器,瓷adj.瓷制的,精美的,脆的"
pottery,"n.陶器,陶器场"
receptor,"n.接受器,感受器,受体"
shuttle,"n.往返汽车(列车、飞机),航天飞机,梭子,穿梭v.穿梭往返"
sickle,n.镰刀
staple,"n.钉书钉,钉,主要产品(或商品),原材料,主要成分,来源adj.主要的,常用的,大宗生产的v.把...分类,把...分级"
throttle,v.扼杀
trench,"n.沟渠,堑壕,管沟,电缆沟,战壕v.掘沟,挖战壕"
scale,"n.刻度,衡量,比例,数值范围,比例尺,天平,等级vt.依比例决定,攀登,测量vi.剥落,生水垢,重,攀登,衡量"
telescope,n.望远镜v.压缩
wrapper,"n.包装材料,包装纸,书皮"
recipient,"adj.容易接受的,感受性强的n.容纳者,容器"
anonymous,adj.匿名的
apologist,"n.辩护者,辩证者,护教论者"
arbitrator,"n.仲裁人,公断者"
artisan,"n.工匠,技工"
attorney,"n.<美>律师,(业务或法律事务上的)代理人"
authorship,"n.作者的身份,著述业,(思想等的)原创作者,根源"
bandit,n.强盗
benefactor,"n.恩人,捐助者,赠送者,赞助人"
burglar,n.夜贼
cartographer,"n.地图制作者,制图师"
celebrity,"n.名声,名人"
chef,n.厨师
clerical,"adj.牧师的,书记的n.牧师"
comedian,n.喜剧演员
consultant,"n.顾问,商议者,咨询者"
contractor,"n.订约人,承包人"
courier,"n.送快信的人,旅行从仆"
distributor,n.发行人
donor,n.捐赠人n.[化] 原料物质
dropout,"n.退学学生,中途退学,辍学学生"
emperor,"n.皇帝,君主"
entrepreneur,"n.<法>企业家,主办人"
entrepreneurship,
executioner,"n.死刑执行人,刽子手"
gourmet,n.能精选品评美食、美洒的人
gymnast,n.体操运动员
gynecologist,n.妇科医生
historian,"n.历史学家,史家"
hypnotist,n.催眠士
signature,"n.签名,署名,信号"
tenant,"n.承租人,房客,租客v.出租"
victor,n.胜利者adj.胜利者的 Victor 维克托(男子名)
architect,n.建筑师
archive,vt.存档n.档案文件
auditorium,"n.听众席,观众席,<美>会堂,礼堂"
baroque,"n.巴洛克时期艺术和建筑风格的,巴洛克式adj.巴洛克式的,结构复杂的,形式怪样的"
basement,"n.地下室,墙脚"
buttress,"n.(建筑)扶壁,支持物vt.支持,(以扶壁)扶住"
cathedral,n.大教堂
chamber,"n.室,房间,议院,会所,(枪)膛"
cornerstone,"n.墙角石,基础"
pantheon,"n.万神殿,罗马万神殿,伟人祠"
tectonic,"adj.[建]构造的,建筑的"
tubular,adj.管状的
threshold,"n.开始,开端,极限"
congested,adj.拥挤的
embark,"v.上船,上飞机,着手,从事,装于船上,登上"
automatic,"n.自动机械adj.自动的,无意识的,机械的"
automobile,"n.<主美>汽车(=<英>motor car,car)"
braking,
chaise,"n.一种轻马车(通常有车蓬,尤指单马双轮者)"
cylinder,"n.圆筒,圆柱体,汽缸,柱面"
diesel,n.柴油机
freeway,n.高速公路
gasoline,n.汽油
headlight,"n.前灯,桅灯"
navigation,"n.航海,航空,导航,领航,航行"
pedal,n.踏板v.踩...的踏板
pedestrian,"n.步行者adj.徒步的,呆板的,通俗的"
reef,"n.暗礁,收帆v.收(帆)"
relay,"n.驿马,接替,[电工]继电器vt.(消息,货物等)分程传递,使接替,转播vi.得到接替,转播"
sedan,"n.私家轿车,轿子"
steerage,"n.最低票价的舱位,士官的二等室,操纵,驾驶,掌舵"
supersonic,"adj.超音波的n.超声波,超声频"
windshield,n.挡风玻璃
bakery,n.面包店
barrel,n.桶vt.装入桶内
basketry,"n.篮筐,篓编织品,编制工艺"
beverage,n.饮料
bookkeeping,n.簿记
boomerang,"n.回飞棒,飞去来器"
booth,"n.货摊,售货亭,棚"
bottleneck,n.瓶颈
bouquet,n.花束
brewery,n.酿酒厂
brine,n.盐水
buoy,"n.(湖,河等中的)浮标,浮筒,救生圈vt.使浮起,支撑,鼓励"
bust,"n.半身像,胸像,(妇女的)胸部"
cabin,"n.小屋,船舱"
cache,"n.隐藏处所,隐藏的粮食或物资,贮藏物;vt.隐藏,窖藏;n.高速缓冲存储器"
camcorder, 可携式摄像机
candidate,"n.候选人,投考者"
canopy,"n.天篷,遮篷"
canvas,v.彻底讨论探究n.帆布
censorship,"n.审查机构,审查制度"
census,n.人口普查
commuter,"n.通勤者,经常往返者"
container,"n.容器(箱,盆,罐,壶,桶,坛子),集装箱"
cork,"n.软木塞,软木,(用塞子)塞住"
detergent,"n.清洁剂,去垢剂"
domesticity,"n.家庭生活,专心于家务,对家庭的挚爱,家庭生活"
fiberglass,"n.玻璃纤维,玻璃丝"
funnel,"n.漏斗,烟窗"
fuse,"n.保险丝,熔丝v.熔合"
helicopter,"n.直升(飞)机,直升机"
ideology,n.意识形态
recreation,"n.消遣,娱乐"
insurance,"n.保险,保险单,保险业,保险费"
ceremonious,"adj.讲究仪式的,隆重的"
braise,"vt.炖,蒸"
palatable,adj.美味的
cater,"vi.备办食物,满足(需要),投合"
caviar,n.鱼子酱
chocolate,"n.巧克力,巧克力色"
clam,
culinary,"adj.厨房的,烹调用的,厨房用的"
dietary,"adj.饭食的n.规定的食物,饮食之规定"
digest,"n.分类,摘要vi.消化vt.消化,融会贯通"
dine,"vi.吃饭,进餐"
dough,"n.生面团,<美俚> 钱,金钱"
edible,adj.可食用的
ingest,"vt.摄取,咽下,吸收"
oatmeal,"n.(燕)麦片,(燕)麦粥"
processed food,
recipe,n.处方
sandwich,"n.夹心面包,三明治vt.夹入中间v.做成三明治"
sweetener,"n.(调味用)甜料,甜味佐料"
boldface,"n.[印刷]黑体字,粗体铅字"
portfolio,n.部长职务
brochure,n.小册子
catalogue,n.目录
charter,"vt.租,包(船、车等)n.宪章"
chronicle,n.编年史v.编入编年史
chronology,"n.年代学,年表"
compendium,"n.纲要,概略"
context,"n.上下文,文章的前后关系"
contraction,"n.收缩,缩写式,紧缩"
contractual,adj.契约的
convention,"n.大会,协定,习俗,惯例"
diploma,"n.文凭,毕业证书,证明权力、特权、荣誉等的证书,奖状"
editorial,"n.社论adj.编辑上的,主笔的,社论的"
episode,"n.一段情节,[音]插曲,插话,有趣的事件"
guideline,n.方针
manuscript,"n.手稿,原稿"
memoir,n.论文集
memorandum,"n.备忘录,便笺,便函,买卖契约书"
notification,"n.通知,布告,告示"
pamphlet,n.小册子
paperwork,n.文书工作
petition,"n.请愿,情愿书,诉状,陈情书v.请求,恳求,请愿"
protocol,"n.草案,协议"
referendum,"n.公民投票,(外交使节)请示书"
version,"n.译文,译本,翻译"
civic,"adj.市的,市民的,公民的"
civil,"adj.全民的,市民的,公民的,国民的,民间的.民事的,根据民法的,文职的,有礼貌的"
civilization,"n.文明,文化,文明社会 文明,一个著名游戏的名称"
compatriot,"n.同国人,同胞"
congregation,"n.集合,集会,[宗]圣会"
congress,"n.(代表)大会,[C～] (美国等国的)国会,议会"
denationalization,"n.剥夺国籍,剥夺公民权利"
electorate,"n.选民,选区,有选举权者"
inhabitant,"n.居民,居住者"
lot,"n.签,抽签,一堆,许多,命运,一块地,份额vt.划分vi.抽签,抓阄"
mainstream,n.主流
monarch,n.君主
phenomenon,n.现象
mason,n.泥瓦匠vt.用砖瓦砌成
gregarious,"adj.社交的,群居的"
commission,"n.委任,委托,代办(权),代理(权),犯(罪),佣金vt.委任,任命,委托,委托制作,使服役"
committee,n.委员会
corporation,"n.[律]社团,法人,公司,企业,<美>有限公司,(市,镇的)自治机关,<口>大肚皮"
division,"n.分开,分割,区分,除法,公司,(军事)师,分配,分界线"
faction,"n.派别,小集团,派系斗争,小派系,内讧"
federal,"adj.联邦的,联合的,联邦制的,同盟的n.(南北战争时期)北部联邦同盟盟员 北京连邦软件产业发展公司,国内主要的正版软件经销商"
guild,"n.(中世纪的)行会,同业公会,协会,行业协会"
eligible,"adj.符合条件的,合格的"
entitled,有资格的
contemporary,"n.同时代的人adj.当代的,同时代的"
epochal,"adj.新纪元的,划时代的"
era,"n.时代,纪元,时期,[地]代"
juvenile,"adj.青少年的,幼稚的n.青少年,少年读物"
medieval,"adj.中世纪的,仿中世纪的,老式的,<贬>原始的"
millennium,"n.太平盛世,一千年"
outdated,"adj.过时的,不流行的"
outmoded,adj.过时的
overdue,adj.迟到的
desegregation,n.废止种族歧视
gypsy,"n.吉普赛人,吉普赛语adj.象吉普赛人的vi.流浪"
enslave,"v.奴役,沉溺,束缚"
ethnic,"adj.人种的,种族的,异教徒的"
ethnicity,n.种族划分
ethnocentric,
ethnographic,
ethnology,"n.人种学,人类文化学"
interracial,"adj.人种间的,人种混合的"
minority,"n.少数,少数民族"
racist,n.种族主义者
tribal,"adj.部落的,种族的"
Spaniard,
clan,"n.部落,氏族,宗族,党派"
ancestor,"n.祖先,祖宗"
forebear,"n.祖先,祖宗"
fraternal,"adj.兄弟的,兄弟般的,友爱的"
kinship,n.血族关系
lineage,"n.血统,世系"
marital,adj.婚姻的
maternal,"adj.母亲的,似母亲的,母性的"
matrilineal,adj.母系的
paternal,"adj.父亲的,象父亲的"
paternity,"n.父权,父子关系"
patriarchal,"adj.家长的,族长的"
patrilineal,adj.父系的
spouse,n.配偶(指夫或妻)
cargo,"n.船货,(车、船、飞机等运输的)货物"
freight,"n.货物,船货,运费,货运vt.装货,使充满,运送"
importation,"n.进口,输入品"
dwelling,n.住处
habitat,"n.(动植物的)生活环境,产地、栖息地,居留地,自生地,聚集处"
habitation,"n.居住,生活环境,住所"
haven,"n.港口,避难所"
locale,"n.现场,场所"
refinery,n.精炼厂
reservoir,"n.水库,蓄水池"
roller coaster,
sanctuary,n.避难所
sewage,"n.下水道,污水v.用污水灌溉,装下水道于"
sewer,"n.下水道,缝具,缝纫者"
hockey,n.曲棍球
jog,"n.轻推,轻撞,漫步v.轻推,(使)蹒跚行进,(使)慢跑"
jolt,v.摇晃n.摇晃
outdistance,"v.抛在后头,凌驾"
outfield,"n.偏远的田园,边境,外场"
plummet,"n.铅锤,重荷vi.垂直落下"
slowdown,"n.降低速度,减速"
soar,"v.高飞,高丛,滑翔,剧增,昂扬n.高飞范围,高涨程度"
spiral,adj.螺旋形的n.螺旋v.盘旋
stride,"v.大步走(过),跨过,大步行走n.步幅"
traverse,"n.横贯,横断,横木,障碍,否认,反驳,(建筑)通廊vt.横过,穿过,经过,在...来回移动,反对,详细研究vi.横越,横断,旋转,来回移动adj.横断的,横的"
insight,"n.洞察力,见识"
intention,"n.意图,目的"
orientation,"n.方向,方位,定位,倾向性,向东方"
parental leave,
receptive,"adj.善于接受的,能接纳的"
retentive,adj.保持的
sentiment,"n.情操,情感,情绪,观点,多愁善感,感情"
standpoint,"n.立场,观点"
prestige,"n.声望,威望,威信"
residue,"n.残余,渣滓,滤渣,残数,剩余物"
sediment,"n.沉淀物,沉积"
vestige,"n.遗迹,痕迹,残余,丝毫,[生]退化的器官"
wreckage,n.遭难
logistics,"n.后勤学,后勤"
nutrition,"n.营养,营养学"
paleontologist,n.古生物学者
parapsychology,n.超心理学
pathology,n.病理学
pharmacology,n.药理学
physiology,n.生理学
pseudoscience,"n.假科学,伪科学"
socio-economic,
sociology,n.社会学
wholesale,"n.批发,趸售adj.批发的,[喻] 大规模的"
culminate,v.达到顶点
peak,"n.山顶,顶点,帽舌,(记录的)最高峰adj.最高的vi.到达最高点,消瘦,缩小vt.使竖起,使达到最高点"
pinnacle,"n.小尖塔,山顶,顶点vt.造小尖塔,把...放在极高处"
vertices,"n.至高点,头顶"
auction,n.拍卖vt.拍卖
bargain,"n.契约,合同,成交商品,便宜货v.议价"
bid,"vt.出价,投标,祝愿,命令,吩咐n.出价,投标v.支付"
humid,"adj.充满潮湿的,湿润的,多湿气的"
inclement,"adj.险恶的,严酷的"
meteorologist,n.气象学者
paleoclimatologist,
precipitate,"n.沉淀物vt.猛抛,使陷入,促成,使沉淀vi.猛地落下adj.突如其来的,陡然下降(或下落)的,贸然轻率的"
smog,n.烟雾
stratosphere,"n.[气]同温层,最上层,最高阶段"
amber,"n.琥珀adj.琥珀制的,琥珀色(黄色)的"
hail,"n.冰雹,致敬,招呼,一阵vt.向...欢呼,致敬,招呼,使象下雹样落下,猛发vi.招呼,下雹int.万岁,欢迎"
atmosphere,"n.大气,空气,气氛"
aurora,"n.黎明的女神,极光"
avalanche,n.雪崩v.雪崩
blast,"n.一阵(风),一股(气流),爆炸,冲击波vt.爆炸,,毁灭,使枯萎,损害"
crater,n.弹坑
deluge,"n.洪水,豪雨v.使泛滥,淹,浸,压倒"
ecological systems,
ecology,"n.生态学,[社会]环境适应学,均衡系统"
glacier,n.冰河
granite,n.花岗岩
hurricane,"n.飓风,狂风"
commonplace,"n.平凡的事,平常话adj.平凡的"
orthodox,"adj.正统的,传统的,习惯的,保守的,东正教的"
routine,"n.例行公事,常规,日常事务,程序"
abnormal,"adj.反常的,变态的"
anomalous,"adj.不规则的,反常的"
exotic,"adj.异国情调的,外来的,奇异的"
extraterrestrial,"adj.地球外的,宇宙的"
heretical,"adj.异教的,异端的"
infrequent,"adj.稀少的,很少发生的,罕见的"
inverse,"adj.倒转的,反转的n.反面v.倒转"
lopsided,"adj.倾向一方的,不平衡的"
miracle,"n.奇迹,奇事"
nontarget,
novelty,"n.新颖,新奇,新鲜,新奇的事物"
paranormal,"adj.超过正常的,超过正常范围的"
unconventional," /n.非常规,异常ly//adv.不依惯例l/adj.非传统的"
unpredictable,adj.不可预知的
unrealistic,"adj.不切实际的,不实在的"
untenable,"adj.防守不住的,站不住脚的,不能维持的,支持不住的"
slip,"n.滑倒,事故,片,纸片;vi.滑动,滑倒,失足,减退;vt.使滑动,滑过,摆脱,闪开,塞入;adj.滑动的,活络的,有活结的;Serial Line Interface Protocol,串行线路接口协议"
accidental,"adj.意外的,非主要的,附属的n.非本质属性,次要方面"
arbitrary,"adj.任意的,武断的,独裁的,专断的"
contingent,"adj.可能发生的,附随的,暂时的n.偶然的事情,分遣队"
haphazard,"n.偶然,偶然事件adj.偶然的,随便的adv.偶然地"
unbridled,adj.放肆的
accurate,"adj.正确的,精确的"
literal,"adj.文字的,照字面上的,无夸张的"
sophisticated,"adj.诡辩的,久经世故的"
adversary,"n.敌手,对手"
adverse,"adj.不利的,敌对的,相反的"
antagonism,"n.对抗(状态),对抗性"
antithesis,n.对立面
archenemy,"n.主要敌人,[基督教]撒旦"
foe,"n.反对者,敌人,危害物"
hostile,"adj.敌对的,敌方的n.敌对"
exclusionary,
ambiguous,"adj.暧昧的,不明确的"
blur,"v.涂污,污损(名誉等),把(界线,视线等)弄得模糊不清,弄污n.污点"
equivocal,"adj.意义不明确的,模棱两可的,可疑的"
loom,"n.织布机,织机v.隐现,迫近"
obscure,"adj.暗的,朦胧的,模糊的,晦涩的vt.使暗,使不明显"
potential,"adj.潜在的,可能的,势的,位的n.潜能,潜力,电压"
vague,"adj.含糊的,不清楚的,茫然的,暧昧的"
appreciable,"adj.可感知的,可评估的"
clarify,"v.澄清,阐明"
explicit,"adj.外在的,清楚的,直率的,(租金等)直接付款的"
expressly,"adv.明白地,特别地,清楚地"
manifestation,"n.显示,表现,示威运动"
patent,"n.专利权,执照,专利品adj.特许的,专利的,显著的,明白的,新奇的vt.取得...的专利权,请准专利"
pronounced,"adj.讲出来的,显著的,断然的,明确的"
remarkable,"adj.不平常的,非凡的,值得注意的,显著的"
specific,"n.特效药,细节adj.详细而精确的,明确的,特殊的,特效的,[生物]种的"
balance,"n.秤,天平,平衡,[商] 收支差额,结余,余额v.平衡,称,权衡,对比,结算n.资产平稳表"
bias,"n.偏见,偏爱,斜线vt.使存偏见"
equilibrium,"n.平衡,平静,均衡,保持平衡的能力,沉着,安静"
marginalize,"vt.使处于社会边缘,使脱离社会发展进程 忽视,排斥"
stabilize,v.稳定
tendency,"n.趋向,倾向"
tilt,"v.(使)倾斜,(使)翘起,以言词或文字抨击"
awkward,"adj.难使用的,笨拙的"
bizarre,"adj.奇异的(指态度,容貌,款式等)"
erratic,"adj.无确定路线,不稳定的,奇怪的n.古怪的人,漂泊无定的人"
coincide,"vi.一致,符合"
consensus,"n.一致同意,多数人的意见,舆论"
consistent,"adj.一致的,调和的,坚固的,[数、统]相容的"
intermingled,
nexus,"n.连结,关系"
proportionate,adj.成比例的v.成比例
symmetry,"n.对称,匀称"
systematic,"adj.系统的,体系的"
tally,"n.符木(古时用,上有刻痕记载交货、欠款等的数量),记账,得分,标记牌,标签,符合,对应物,计数器vt.点数,计算,记录,加标签于,使符合vi.符合,吻合,记分"
unification,"n.统一,合一,一致"
unison,"n.调和,和谐,一致,齐唱,齐奏adj.[音]同度的,同音的"
liken,vt.把...比作
collide,"vi.碰撞,抵触"
convenient,"adj.便利的,方便的"
expedient,adj.有利的n.权宜之计
inconvenience,"n.麻烦,不方便之处"
demure,adj.端庄的
severe,"adj.严厉的,严格的,剧烈的,严重的,严峻的"
stringent,"adj.严厉的,迫切的,银根紧的"
dilemma,"n.进退两难的局面,困难的选择"
famine,"n.饥荒,<古>饥饿,严重的缺乏"
impoverish,"vt.使贫穷,使枯竭"
indigent,"adj.贫乏的,穷困的"
irreconcilable,"adj.不能协调的,矛盾的"
quandary,"n.困惑,窘境,进退两难"
destabilize,vt.使动摇
disorder,"n.杂乱,混乱,无秩序状态vt.扰乱,使失调,使紊乱"
disrupt,"v.使中断,使分裂,使瓦解,使陷于混乱,破坏"
disruptive,"adj.使破裂的,分裂性的"
disturbance,"n.骚动,动乱,打扰,干扰,骚乱,搅动"
havoc,"n.大破坏,浩劫vt.严重破坏"
miscellaneous,"adj.各色各样混在一起,混杂的,多才多艺的"
problematic,"adj.问题的,有疑问的"
specious,"adj.外表美观,华而不实的,徒有其表的,似是而非的,外表美观的"
turbulent,"adj.狂暴的,吵闹的"
turmoil,"n.骚动,混乱"
dissonant,"adj.不谐和的,不调和的,刺耳的"
harmonize,v.协调
incompatible,"adj.性质相反的,矛盾的,不调和的"
reconcile,"vt.使和解,使和谐,使顺从"
solidarity,n.团结
sympathetic,"adj.有同情心的,合意的,赞成的n.[解]交感神经,容易感受的人"
prospect,"n.景色,前景,前途,期望vi.寻找,勘探"
endanger,vt.危及
hazardous,"adj.危险的,冒险的,碰运气的"
imperil,"vt.使处于危险,危害"
jeopardize,v.危害
menace,"n.威胁,危险物v.恐吓,危及,威胁"
precarious,adj.不稳定的
venture,"n.冒险,投机,风险v.冒险,冒昧,斗胆,胆敢(谦语)"
exterminate,v.消除
extinct,"adj.熄灭的,灭绝的,耗尽的vt.<古>使熄灭"
extinction,"n.消失,消灭,废止,[物]消光"
extinguish,"vt.熄灭,消灭,压制,使黯然失色,偿清"
mortality,n.死亡率
obituary,n.讣告adj.死亡的
perish,"vi.毁灭,死亡,腐烂,枯萎vt.毁坏,使麻木"
inappropriate,"adj.不适当的,不相称的"
inept,"adj.不适当的,无能的,不称职的"
maladaptive,adj.不适应的 适应不良的 不利于适应的 显示不适应的
acute,"adj.敏锐的,[医]急性的,剧烈"
cogent,"adj.强有力的,使人信服的,使人首肯的,恰到好处的"
intense,"adj.强烈的,剧烈的,热切的,热情的,激烈的"
vehement,"adj.激烈的,猛烈的,(情感)热烈的"
untainted,adj.无污点的
vacancy,"n.空,空白,空缺,空闲,清闲,空虚"
vanish,"vi.消失,突然不见,[数]成为零n.[语]弱化音"
beatific,"adj.祝福的,快乐的,幸福的"
euphoria,"n.精神欢快.欣快,兴高采烈,[心]欣快症"
well-being,
aftermath,"n.结果,后果"
calamity,"n.灾难,不幸事件"
casualty,n.伤亡
catastrophe,"n.大灾难,大祸"
doomed,命定的
agitate,"v.搅动,摇动,煽动,激动"
infest,v.大批滋生
obsess,"vt.迷住,使困扰"
ailment,"n.疾病(尤指微恙),不宁,不安"
allergic,"adj.[医]过敏的,患过敏症的"
amnesia,n.健忘症
arthritis,n.关节炎
asthma,n.[医]哮喘
convulsion,"n.震撼,动乱,震动,惊厥,痉挛"
cramp,"n.抽筋,腹部绞痛,(pl.)月经痛adj.狭窄的,难解的vt.使抽筋,以铁箍扣紧"
diabetes,"n.[医] 糖尿病,多尿症"
encephalitis,n.脑炎
epidemic,"adj.流行的,传染的,流行性n.时疫,疫疾流行,(风尚等的)流行,流行病"
hypertension,"n.高血压,过度紧张"
obesity,"n.肥胖,肥大"
sunburn,"n.晒斑,晒黑"
trauma,"n.[医] 外伤,损伤"
aversion,"n.厌恶,讨厌的事和人"
nuisance,"n.讨厌的人或东西,麻烦事,损害"
repellent,adj.排斥的
blemish,"n.污点,缺点,瑕疵vt.弄脏,玷污,损害"
contaminate,v.污染
effluent,"adj.发出的,流出的n.流出物,排水道,污水,排水渠"
landfill,"n.垃圾掩埋法,垃圾"
notorious,adj.声名狼籍的
odor,"n.气味,名声"
smear,"v.涂上,抹掉,涂污,诽谤,抹去n.油迹,污点,涂片,釉,中伤"
stench,"n.恶臭,臭气v.(使)发恶臭"
melancholy,n.忧郁adj.忧郁
depress,"vt.使沮丧,使消沉,压下,压低,使不活泼,使萧条v.压下"
