accuse of,"un. 控告
[网络] 指责；指控；因某事控告某人"
stand out,"na. 突出；显眼；不参加战争；抵抗到底
[网络] 突出量；才华出众的人；杰出人才"
stand up for,"支持
[法] 坚持, 维护, 辩护"
stand up to,"经得起..., 勇敢地面对, 抵抗"
start off,"na. 动身
[网络] 出发；开始；上路"
start out,"出发, 动身"
start up,"突然站起, 突然出现, 发动, 开动"
start with,从...开始
stay on,继续停留
stay out,呆在户外
stay out of,不参与…;不插手;置身于…之外
stay put,"na. 原位不动
[网络] 维持现状；交替型；停在原位不动"
stay up,"na. 不去睡觉；不沉
[网络] 长筒袜；紧口长筒袜"
stay with,与...并驾齐驱
stem from,"起源于,出自,出身于…"
step aside,避开
step down,"na. 走下；退出；【电】下降；辞退
[网络] 辞职；下台；让位"
step in,"a. 一伸脚即可穿好的, 一套上即可穿好的
n. 船鞋, 女内裤"
step out,"以步测量
[电] 不同步"
step up,"v. 加紧；走上前；登上；增加
[网络] 舞出我人生；提高；舞出真我"
stick around,逗留
stick at,"迟疑, 犹豫, 坚持"
stick by,忠于
stick out for,坚持索取
stick together,"团结友爱, 互相支持"
stick up for,"支持, 维护"
stick with, 继续做; 跟着…; 插满
stir up,"v. 转播；重播；搅拌；煽动
[网络] 激起；挑起；引起"
stock up,备货
stop by,"na. 顺便到(某处)访问；同“stop off”
[网络] 顺便到访问；顺便拜访；顺便访问"
stop off,"na. 中途停留(地)
[网络] 禁止移动关"
stop over,中途停留；暂留；立刻
stop short,突然停止
store away,"储存某物, 收起某物; 把…记在心里"
straight away,"n. 直道
a. 直线行进的, 通俗易懂的, 立刻的"
straight off," 立即, 马上; 痛痛快快"
straight up,"un. 真的
[网络] 酒加冰处理后喝纯酒法"
strive for,"奋斗, 争取"
strive to, 力图；力求
subject ... to ...,"v. 处于…中；使服从
[网络] 受制于；以……为条件；以……为准"
submit to,"un. 使某人忍受某事:
[网络] 顺从；服从；屈服于"
succeed in,在...方面成功
suffer from,"忍受, 遭受
[法] 患...病, 苦于, 因...损害"
suffer with,[网络] 遭受
supply with,把…提供〔供应给〕…
supply to,向…提供〔供应〕…
sweep into,把…扫入…; 昂然走进
switch off,"na. 不收听(某一广播)
[网络] 关掉；收起并隐没；定时关机"
switch on,"v. 打开；接通；参见
[网络] 开启；合闸；打开开关"
switch to,"切换到
[计] 切换到"
safe and sound,安然无恙的
second-rate,"n. 次等货；次级品；二等战舰；二流人物
adj. 第二流的；二等的；次等的"
short of,"缺乏, 达不到, 除...以外"
side effect,"副作用
[计] 副作用"
so as to,"使得, 以致"
so-called,"a. 所谓的, 号称的
[法] 所谓的, 据称的"
so long,"int. 〈口〉再会
[网络] 再见；邻家花美男；怕雨"
something of,"在某种意义上, 在某种程度上"
sooner or later,迟早
sort of,有几分地；到某种程度；稍稍
so so,"a. 平常的, 还过得去的, 马马虎虎的, 一般的
adv. 平常地, 还过得去地, 马马虎虎地, 一般地"
so to speak,na. “so to say”的变体
spare no effort,"不遗余力, 尽力"
stand-point,"n. 立场, 观点"
state-owned,"un. 国有的；国营的
[网络] 国有企业"
step by step,adj. 步进的(逐步的；逐渐的按位的)
stock option,"na. 〈美〉(股东的)优先认股权
[网络] 股票期权"
success in,[网络] 的成功；在…方面成功；在…上的成功
suitable for,适合...的
superior to, [医]adj.优于，胜于
save for,存钱作…之用
shell out,"na. 交出；付出；付款
[网络] 支付；交付；出需要的或应付的钱"
shrug off,"na. (耸肩)表示轻蔑[不屑]；摆脱；扭身脱掉(衣服)
[网络] 耸肩表示对…不屑理睬；对…不屑一顾；对……满不在乎"
sketch out,"v. 拟订出
[网络] 草拟；概述；概略地叙述"
slacken off, 松懈下来; 变迟缓; 松驰; 减弱
snap out of,"un. 怒气冲冲；震飞
[网络] 迅速从…中恢复过来；从……当中摆脱出来；使迅速从…中恢复过来"
snap up,"na. 咬住；突然插嘴
[网络] 抢购；争购；抢购，争夺"
sniff out,"na. 闻出；〈非正式〉发现
[网络] 发觉；寻找；嗅出"
soak up,"v. 吸取
[网络] 吸收；摄取；吸收摄取"
sound ... out,"v. 试探；打听
[网络] 用语言试探；试探是；试探口风"
spin out,"na. 拖延；使(钱等)勉强再维持一段时间；磨度过；使汽车作回形滑行
[网络] 拉长；延长；拖长"
spit out,"na. 同“spit”
[网络] 喷孔；共深度点资料选排"
sponge off," （用海绵）拭去, 除去; 依赖…生活"
square off,"na. (拳击中)摆好架势
[网络] 结清"
square up,"na. 清账；【拳击】摆好进攻架势
[网络] 摆好架势；结清；清帐"
stake out,"na. “stake off”的变体
[网络] 立桩标出；放样；监视"
stamp on,"踩踏, 阻拦"
stamp out,"na. 踏灭(火)；扑灭(暴动等)
[网络] 踩灭；消灭；踩出"
stay afloat,n. 顺利运营
steam up,"促进, 使发怒, 使有蒸汽"
steer clear of,"避开, 绕开"
strike off,"击断, 删去, 印出
[经] 勾销, 取销"
strike out,"na. 打去；打出(火花等)；涂去；拟出
[网络] 三振出局；删去；想出"
strike sb. as,无
strike up,"开始演奏, 建立起, 使开始"
strip off,"剥去,脱去,除去"
strip sb. of,"un. 剥去；剥掉；剥夺；失去
[网络] 除去"
stumble across,偶然发现
substitute for sth.,"代替…,替换…,取代…"
substitute for sb.,"代替…,替换…,取代…"
suck up to,"讨好,拍…的马屁"
swap out,"n. 换出
[网络] 内存换出；交换出内存"
swarm into,涌入
self-contradictory,"a. 自相矛盾的
[法] 自相矛盾的"
silver lining,n. （不幸或失望中的）一线希望
slot machine,[机] 自动售贷机
stab sb. in the back,[网络] 背后插刀；背后捅刀子；背后中伤
stand a chance of,有…的希望
state of affairs,"事态, 情势
[法] 事态, 形势"
stay out of the way,无
strike gold, 找到丰富的消息、财源、幸福源泉等
suffice it that,无
suffice it to say that,只要说…就够了，不用多说
take advantage of,"v. 利用
 欺骗, 占…的便宜"
take in,"接受, 接待, 吸收, 改小, 理解, 注意到, 包括, 轻信, 欺骗, 观看, 拘留
[法] 收容, 了解, 接受"
take pride in,以...为傲
tend to,"注意, 趋向"
thirst for,"渴望, 热望"
trade with,"与…交换,和…贸易"
trifle with,玩弄
turn out,"打扫, 驱逐, 使外歪, 生产, 制造, 培养出, 翻出, 关掉, 装饰, 出动, 起床, 结果是
[法] 逐出, 驱逐, 结果"
take efforts,无
take measures,採用措施
take one's stand,在…的位置；在…上站岗；站在…的立场；以…为根据
take place,"na. 发生；举行
[网络] 产生；多指通过人为安排的发生；进行"
take the lead,"为首, 带头"
take ... to extremes,[网络] 做得过多
take account of,考虑
take a delight in,以…为乐; 喜欢
take a fancy to,喜欢
take after,"像, 学样
[法] 象, 相似, 追赶"
take against,反对
take a hand in,"参与,介入"
have a hand in,"插手..., 参加, 分担"
take apart,"na. 分解；拆分；剖析
[网络] 拆开；拆卸；卸开"
take ... as,"把...看作是..., 把...当作是..."
take away,"a. <主英>（饭食）外带的, （餐厅）供应外带食物的（相当于美语take-out）"
take back,"na. 退回；收回(说过的话)；承认…是错的；拿回
[网络] 回收；起手有回真小人；摆杆"
take care of,"照顾
[法] 抚养, 赡养, 扶养"
take down,"n. 拆卸, (非正式)失面子, 羞辱
a. 可拆卸的
[计] 卸下"
take exception to,"反对
[法] 对...表示反对"
take for,"认为, 以为
[法] 当作, 误认为"
take hold,adj. [美国口语] =take-charge
take note,[网络] 记笔记
take note of,注意到
take off,"拿掉, 取消, 脱下, 领走, 减去, 复制, 起飞, 离开, 岔开
[经] 取消"
take on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
[网络] 承担；雇用；雇佣"
take over,"na. 接管；继承
[网络] 接收；接任；接替"
take part in,"参与, 参加
[经] 参加, 参与"
take the place of,"代替
[法] 代替"
take to,"na. 嗜好；开始；参加；逃入
[网络] 喜欢；从事；喜爱"
take up,"拿起, 开始从事, 继续, 接纳, 吸收, 占据, 拘捕, 承兑, 认购, 绷紧
[经] 付清, 承兑(汇票), 认购(债券等)"
talk back,"n. 对讲系统, 对讲电话"
talk down to,用高人一等的口气对人说话
talk into,"na. 说服(某人)做…
[网络] 说服做；劝说某人做某事；说服某人做某事"
talk out of,[网络] 劝阻；说服某人不做某事；强迫同意或决定不做
talk over,"商量, 讨论, 说服
[法] 以口才使改变立场, 商量, 讨论"
tangle with,"v. 吵架, 争论"
team up,"un. 配合
[网络] 组队；家校共同教育；球员参与的社区互助活动"
tear apart,"v. 弄乱；撕破
[网络] 使心碎；扯开；撕开"
tear at,"v. 撕
[网络] 撕扯；用力撕；撕开"
tear ... away,"a. 野性十足的, 行动鲁莽的
n. 野蛮狂暴的人, 流氓"
tear ... away from,无
tear down,"na. 扯下；拆毁；猛冲
[网络] 拆除；拆卸；罐头卷封切割"
tear into,"洞穿, 猛攻"
tear up,"na. 撕碎；连根拔起；扰乱；跑上
[网络] 撕毁；撕掉；拔出"
tell apart,辨别；将……区分开
tell from,"区别, 辨别"
tell off,"na. 数清；分派(工作)；【罕】编号；谴责
[网络] 斥责；责备；分派出"
think about,"考虑, 回想"
think back, 回想
think back to,回想，回忆；重新思考(往事)
think better of,"重新考虑后决定不做, 经考虑...改变主意
[法] 改变...的念头"
think highly of,"认为…很了不起,对…评价很高,非常看重"
think of,"考虑, 关心, 想起, 记起, 想像, 有...的看法"
think of ... as ...,把...看作
think out,"na. 想透；想出
[网络] 彻底地想一想；彻底思考；仔细考虑"
think over,"v. 仔细考虑
[网络] 仔细思考；仔细考虑一下；再三考虑"
think through,"na. 仔细考虑；全面考虑
[网络] 思考…直到得出结论；想通；彻底地全面考虑"
think up,"na. 想出；〔口语〕发明
[网络] 想起；设计出；是想出，编造"
throw away,"n. 免费散发的传单, 脱口而出的话, 一次性使用的物品
[经] 废品, 废件"
throw in,"na. 投入；发边界球；注入；插入
[网络] 掷界外球；扔进；额外奉送"
throw off,"na. 摆脱(习惯,拘束等)；抛弃；脱掉(衣服)；甩掉
[网络] 扔掉；摆脱掉；扔开"
throw oneself into,积极从事
throw out,"伸出, 扔掉, 说出, 解雇, 拒绝, 显示, 散发出, 放出, 派出, 使延伸, 打扰, 使出局
[法] 否决, 发表, 拒绝"
throw up,"na. 呕吐；抬起；急造；丢弃
[网络] 泡泡字创作；最后三分钟的泡泡字创作"
tide over,"v. 帮…度过难关
[网络] 渡过；克服；使度过"
tidy away,"un. 把(某物)收藏起来:
[网络] 收拾起来；收拾好；是东西用完整齐地放回原位"
tie down,"v. 束缚
[网络] 牵累；系紧；约束"
tie in with,(使)跟…相符; 跟…连接起来
tie up,"绑好, 缚牢, 包扎, 停泊, 阻碍, 合伙, 密切联系, 占用
[法] 罢工, 停滞"
tire out,"na. 使疲倦到极度
[网络] 筋疲力尽；使筋疲力尽；使……十分疲劳"
top up,"n. 补充的饮料；收入补贴
v. 装满；充值
adj. 附加的
[网络] 加满；加值；倒满"
toss out," 丢弃, 扔掉"
touch down,"na. 【橄】触地得分；【航】着陆；着陆过程中的一部分；着陆时间
[网络] 降落；挽球"
touch off,"na. 正确地表现；草草写；添画；发射
[网络] 触发；引起；激起"
touch on,"与...有关, 涉及..., 提到..., 提及, 谈及"
touch upon,"与...有关, 涉及..., 提到..., 提及, 谈及"
touch up,"na. 润色；完成；用鞭等轻轻打(马)；轻轻打痛
[网络] 补焊；修补画面；涂料修饰"
trace to,"上溯, 追查到"
track down,"追捕到
[法] 追踪至捕获, 探索至发现"
trade in,"n. 折价物
[经] 经营...(业),(以旧换新的)折价物"
trade off,n. （公平）交易（等于trade-off）；权衡；折衷
trade on,利用
trade upon,(为自私的目的)利用
transform into, 把…转变成…
treat of,"论及, 涉及"
triumph over,"击败, 成功, 得胜"
try on,"na. 试穿；〈非正式〉搞恶作剧(以试探能否被容忍)；〈非正式〉耍花招
[网络] 试试看；试穿衣物；试衣服"
try out,"na. (采用前)严密试验；筛矿；量(金属的)纯度
[网络] 试用；尝试；考验"
try to,试图/努力(做)...
turn away,"离开,转变…的方向;不看;解雇,不许进入,不愿接受,走开,出发"
turn back,"na. 同“turn down ”
[网络] 折回；往回走；翻回到"
turn down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
[网络] 做晚床；量程比；量程比可调"
turn in,"拐入, 上床睡觉, 上缴, (使)向里歪, 告发, 出卖, 作出
[法] 归还, 移交, 交出"
turn into,"进入, (使)变成"
turn off,"关掉, 卖掉, 使转变方向, 解雇, 生产, 制造, 车削成, 使厌烦, 拐弯, 变成"
turn on,"na. 转向；对…进行突击
[网络] 打开；接通；开启"
turn one's back on,"背弃, 抛弃"
turn over,"打翻, 营业额达到, 周转, 移交给, 翻阅, 反复考虑, 翻身
[法] 移交, 交付, 让渡"
turn round,"转身, 转变, 改变意见, 采取新政策
[经] 船双进港卸货, 装货和离境的全部过程"
turn to,"转向, 变成, 求助于, 起劲地开始行动"
turn up,"n. 翻起物, 衣服的卷起部分, (英)裤腿的卷边, 裤脚的翻边, (英)吵闹, 打架, 吵架
a. 翻起的, 可翻起的, 卷起的, 可卷起的, 翘起的, 可翘起的"
take a chance,冒险
take action,"采取行动, 提出诉讼"
take a loss,承担损失
take ... by surprise,"v. 突然惊吓
[网络] 吃惊；袭取；突袭"
take care,"v. 留心；当心
[网络] 小心；保重；注意"
take cover,"隐蔽, 躲藏"
take effect,"见效, 生效
[法] 生效"
take ... for granted,[法] 认为当然
take heart,振作
take ... into account,"na. 考虑
[网络] 把…考虑进去；考虑到；顾及"
take ... into consideration,"v. 顾及
[网络] 考虑到；把……考虑进去；予以考虑"
take one's time,从容不迫
take pains,"尽力, 耐心"
take root,"生根, 扎根"
take shape,"成形, 形成, 具体化"
take steps,[经] 采取措施
take ... to heart," 对…想不开, 为…伤心[烦恼等]; 在乎; 在意; 介"
take turns,"轮流, 依次"
talk nonsense,"胡说八道, 说废话"
talk sense,"说话有道理
[法] 讲有道理的话"
tell a white lie,[网络] 说善意的谎言；善意地谎言；说一个善意的谎言
tell the truth,说实话
thanks to,由于
that is,"na. 就是说；用于纠正之前说过的内容
[网络] 即；那就是；换言之"
that is to say,"na. “that is”的变体
[网络] 也就是说；那就是说；换句话说"
the advent of,(重要人物或事件)…的出现(或到来)
the bulk of,"大半,大多数,大部分"
the hell,"na. 见鬼去
[网络] 到底；究竟；地狱"
the moment, 一…就; 此刻，那时
the moment that,一…(就…)
the more ... the more,越…越…
then and there,"当时当地, 当场就"
the same as,"与...相同, 与...一致"
the small hours,午夜刚过的一段时间; 深夜
think-tank,"n. 智囊团
[网络] 智库；创意坦克；智库又称思想库"
thousands of,"成千上万,数千,许许多多"
time after time,"多次, 反复, 不断地"
time and again,反复地
time and time again, 一再
time out,n. [体]暂停比赛时间; [计]超时
to a certain extent,在某种程度上
to a day,一天也不差
to the day,恰好;一天也不差
to all appearances,"就外表来看, 显然"
to be fair, 公平地说
to begin with,首先
to be sure,"诚然, 固然, 哎呀"
to date,"na. 到今天
[网络] 到今天为止"
to death,极度
to excess,过度
to ... extent,达到某种程度
together with,"和, 加之"
to hell with,让...见鬼去吧
to my mind,"na. “in my mind”的变体
[网络] 依我之见；我认为；依我看"
to one's knowledge,[网络] 据某人所知；据…所知；就某人所知
too ... to,[网络] 太……而不能；太……以致不能；用法
to perfection,完全地
to say nothing of,"na. 更不必说
[网络] 更不用说；慢说；姑且不说"
to say the least,退一步说
to sb.'s credit,无
to some degree, 有点，稍微; 在某种程度上
to some extent,在某种程度上
to the contrary,相反地
to the core,直至核心
to the effect that,"大意是, 以便"
to the extent of,达到…程度;在…范围内
to the letter,"严格按照字句, 不择不扣地"
to the limit of,无
to the point,"na. 露骨；中肯
[网络] 正中其点；那已被赋予一个适切；目标"
to the point of,达到...的成度
train of thought,[医] 思潮
turn a blind eye to,熟视无睹
turn a deaf ear,"对…根本不听,对…置若罔闻"
turn a deaf ear to,置若罔闻
turn the corner,"拐弯, 转危为安"
turn the tables,"扭转局面
[法] 扭转局势, 转变形势, 转败为胜"
tag along,"na. 〈非正式〉跟随；尾随
[网络] 紧跟；跟随权；跟屁虫"
tail off,n. 尾推力中止
take aback," 使吃惊, 使惊呆"
take stock of,"估计, 察看
[经] 估量, 观察"
thin out,"使稀薄, 使稀疏"
thrash out,"v. 通过讨论解决
[网络] 研究解决；通过反复研讨解决；通过讨论解决问题"
thumb through,翻查
tick away, 使（分秒）在滴答声中溜走
tick by,[网络] 勾选
tip sb. off,"na. 向…透露消息，泄密；暗中通知某人；(把水等从器皿中)倒干净；使…掉下来；〈俚语〉杀死
[网络] 警告；通风报信；告密"
tone down,"na. 使柔和；变柔和
[网络] 缓和；降低；使缓和"
trail along, 没精打采地（跟在后面）走
trail away, 散去; （声音）逐渐变弱
trail off,"减弱, 缩小"
trip up,"na. 同“trip”
[网络] 绊倒；出差错；把…绊倒"
tuck away,"na. 藏起
[网络] 畅饮；大嚼；藏起来"
tuck in,"na. 〈非正式〉大吃一顿；掖被子；塞入；折进
[网络] 塞进；尽情吃；把一端塞进"
tuck up,"na. 折起一头；包；〔口语〕绞死(犯人)
[网络] 腹线"
tumble to,恍然大悟
tune in,n.调入
tune in to, 调谐，收听；收到
take in one's stride,轻而易举地做某事
take into one's confidence,向…吐露心事; 以…为心腹
take its toll,"造成损失,造成伤亡"
take one's cue from,从...处得到暗示
take one's leave of,(向…)辞行；(向…)告别
take sb.'s breath away,无
take sb. to task,"v. 责骂
[网络] 责备；找麻烦；指责"
take someone by the throat,无
have someone by the throat,无
take the initiative,带头
take the plunge,冒险尝试
take the plunge of,无
take ... with a grain of salt,不全信；对…采取保留态度
take ... with a pinch of salt,[网络] 将信将疑；不轻信；不大相信
talk through one's hat,[网络] 一派胡言；说话瞎扯不负责任
the other way around,从相反方向
the other way round,相反
the other way up,无
the rank and file,"普通士兵们, 老百姓"
through and through,na. 完完全全；彻头彻尾
through thick and thin,不畏艰险
throw one's weight about,仗势欺人
throw one's weight around,"滥用权势, 仗势欺人, 摆起架子指使人
[法] 仗势欺人, 过分夸耀自己的地位, 专权"
to be on the safe side,"为慎重起见, 以防万一"
to one's heart's content,adj. 心满意足地
to the fore,"在近处, 在手头, 在前面"
to the tune of,"达到...数量, 价格达..."
turn over a new leaf,"翻开新的一页, 重新开始
[法] 改过自新"
up in arms,"进行武装斗争, 竭力反对"
used to,"过去经常(做)..., 过去有规律地发生"
use up,"na. 用完；耗尽
[网络] 用光；消耗，耗费；毁灭"
under ... circumstances,[网络] 即期
under ... conditions, [法]下列情形
under control,"un. 失去控制；被控制住；克制；在控制之下
[网络] 处于控制之下；在控制中；受到控制"
under cover,"a. 秘密从事的, 秘密的, 从事间谍活动的
[法] 暗中从事的, 秘密的"
under fire,"na. 在炮火下；受到攻击；在弹雨下
[网络] 欠火的；自下燃烧；搧风点火"
under pressure,"n. 底部压力
[网络] 在压力下；在压力之下；处于压力之下"
under the weather," 身体不舒服, 心情不好"
under way,a. 航行中的；进行中的；起步的
up against,面临
up in the air,悬而未决
up to,"na. 到；干(着)；适于；…的责任
[网络] 高达；一直到；轮到"
up to date,"a. 直到现在的, 最近的, 现代化的
[化] 最新的"
up to the minute,"a. 直到最近的, 最新的"
upward of," 多于, 超过"
usher in,"na. 迎接(来客)；传报
[网络] 开创；开始；引领"
under one's breath,"低声说话, 轻声说话, 耳语"
up to scratch,"准备起跑, 准备行动, 达到标准"
view ... as,"把...看作..., 认为...是..."
vote against,[法] 投票反对
vote in,"选出, 选举
[法] 选举, 选出"
wake up,"na. 同“wake”；叫醒；醒来；振作起来
[网络] 唤醒；起床；醒醒"
ward off,"v. 挡开；架开
[网络] 避开；防止；挡住"
wipe out,"na. 擦去；【无线】遮蔽；遮蔽地域；【信】封闭
[网络] 消灭；彻底摧毁；消灭，毁灭"
with regard to,关于
would rather,"倒愿意…,宁愿…"
wait for,"na. 等；等待
[网络] 等候；动作上的等待；等待某人"
wait on,"服侍, 招待, 拜访, 焦急地等待"
wake up to,(使)认识到
walk away with,轻易取得
walk off with,"轻易赢得, 偷走"
walk on, <非正>小心翼翼; （演员）上台; 轻率地对待; 继续走
walk out,"罢工, 领出(某人), 退席
[法] 罢工, 退席抗议, 离开"
walk up,"n. 无电梯的大楼
a. 无电梯大楼的"
wall in, [人名] 沃林
warm to,"同情, 爱好"
warm up,"na. 加热；变暖；热中起来；【运】作准备动作
[网络] 热身；暖身；热身运动"
warn of,"na. 警告(某人)有危险
[网络] 发出关于…的警告；警告某人某事；警告可能会出现某事"
wash out,"n. 冲刷, 冲蚀, 冲蚀的地区, 失败者"
wash up,"洗手洗脸, 洗餐具"
waste away,"na. 消瘦
[网络] 日益消瘦；日渐衰弱；日趋消瘦"
watch out,"na. 当心；留神；小心；提防
[网络] 注意；密切注视；监视"
watch out for,"戒备, 提防, 密切注意"
wave aside,"na. 挥手使站开；挥手拒绝[排斥]
[网络] 置之不理；对…置之不理；不理会"
wear away,"磨损, 流逝, 消磨, 虚度"
wear off,"逐渐减弱, 消失, 磨损, 耗损"
wear out,"na. 精疲力尽；用坏；穿破；磨破
[网络] 磨损；穿坏；穿旧"
win out,"获胜,完成,摆脱"
win through,"历尽千辛万苦获得成功,终于获胜"
win over,"na. 争取过来
[网络] 把…争取过来；战胜；战胜对方"
wish for,"盼望, 企求"
work against,对…不利
work at,解(题)
work on,"继续工作, 设法说服, 影响"
work off,"v. 渐渐消除
[网络] 除去；售出；清理"
work out,"v. 作出；拟定；制定；计划一下
[网络] 算出；解决；制定出"
work through, （使）逐渐通过[穿过]; 完成; 解决; 闯过
work up,"na. 刺激；煽动；刻苦完成；展开(故事的情节)
[网络] 激发；激起；逐步引起"
work with,"与…共事,与…协作"
wrap up,"na. 包起来；包好；穿暖和些；〈非正式〉完成
[网络] 结束；包裹；总结"
write down,"写下, 写文章贬低, 降低地位, 减低帐面价值
[法] 记录, 记下, 以文字诋毁"
write off,"na. 注销(债款等)；报废；提笔就写(文章等)；减低资产账面额
[网络] 勾销；取消；冲销"
well-balanced,"a. 匀称的, 营养成分均衡的, 神志健全的, 明智的, 通情达理的
[计] 良平衡的"
well-known,"a. 众所周知的, 有名的"
well-meaning," 出于好心的, 好心好意的, 善意的（但常事与愿违）"
what is more,而且
what is worse, 更糟的是
whether ... or ...,"是…还是…, 不管…还是"
whether or not,"无论…与否,不管是不是"
with a view to,"以...为目标
[法] 为了要, 拟"
within reason, 在合理范围内; 不过分
with no air of,无
with an air of,带着…神情
without fail,"务必
[法] 必定, 务必"
without question,毫无疑问
with reference to,"关于
[法] 关于, 根据"
with respect to,"关于..., 至于...
[法] 顾及到, 关于"
word for word,"a. 逐字的, 逐字翻译的"
would sooner,"倒愿意…,宁愿…"
wade through,"跋涉通过,趟水穿过,吃力地通过,费力地读完"
wash one's hands of,adj. 不过问(不再管；洗手不干)
whip up,"na. 鞭(马等)飞跑；督促；集合(听众等)；抓住
[网络] 当场完成；激起；鞭打"
wind up,"卷起, 卷拢, 上紧...发条, 使紧张, 使振奋, 结束
[经] 停止营业"
wink at,"使眼色, 假装看不见"
when it comes to,当提到…
with one accord,一致
year after year,"年复一年地, 年年, 每年"
year by year,"a. 年年的, 每年的
adv. 年年,一年一年地"
you bet,当然啦；一点没错；你说的没错
