accuse of,"un. 控告
[网络] 指责；指控；因某事控告某人"
at the best," 至多, 充其量"
at the bottom,"根本上,实质上,实际上"
at the cost of,以...为代价
at the end of the day,"在一天的末了;到了最后,在结束的时候,在结账的时候"
at the expense of,"归...付费, 在损害...的情况下
[法] 归...付费"
at the height of,在…最盛的时候
at the instant of,无
at the latest,最迟
at the longest,至多
at the mercy of,受...支配
at the moment,此刻
at the outset,"开始,起初"
at the outside,至多
at the rate of,以…速度
at the risk of,"冒...的危险, 有...的危险/可能"
at the top,[网络] 在顶端；在顶部；在顶部这个范围之内
at the very least,"至少, 起码, 无论如何"
at worst,"adv. 无论怎样坏
[网络] 在最坏的情况下；最差的；就最不利的一方面看"
at the worst,"在最坏的情况下, 在最不利的情况下, 考虑到最不利的方面"
at will, [人名] [英格兰人姓氏] 阿特威尔 Attwell的变体
a variety of,"各种各样的..., 种种..."
a flash in the pan,昙花一现
agreed account,无
akin to, 类似于
an end in itself,目标本身；为积攒而积攒，为保留而保留
appropriate to, 将（某物）分配给…
a stab in the back,"诽谤, 伤人暗箭"
at a moment's notice,"即刻,立即"
base on,"v. 根据
[网络] 基于；以……为基础；以…为根据"
base upon,使建立在…基础上
benefit from,从…获利
blame on,[网络] 把责任推给；责怪；归罪于
bring about,"na. 造成；带来；【航】(使船)回转
[网络] 引起；导致；产生"
be applicable to,(适)用于
be biased against,"na. 对…抱有偏见
[网络] 对……有偏见"
be busy with,忙于
because of,因为
be cautious about,无
be concerned with,"涉及..., 与...有关"
be confronted with,面临
be conscious of,意识到...
be considered as,被认为/看作是...
be dependent on,"依靠, 依赖"
be deprived of,"被剥夺了…,失去…"
be dominant over,无
be eager to,"盼望,渴望"
beef up," <口>加强, 补充（人数、兵力）等; 使更大（更好、更有意思等）"
be entitled to,[法] 有资格或权利...
be exposed to,"[计] 曝光, 曝露"
be generous to,无
be immune to,"对...有免疫力, 可避免..., 不受...的影响"
be inclined to,"倾向于..., 有...的趋势"
be interested in,对…很感兴趣
be likely to,"有可能…,很可能…"
be obliged to, 不得不; 只得; 必须
be obsessed with,被…困扰
be puzzled by,无
be regarded as,[网络] 被认为是；被当做是；视为
be resistant to,"抵抗...的, 对...有耐药力的"
be satisfied with,对...感到满意
be second to,次于…
be subject to,"受支配, 从属于, 可以...的, 常遭受..."
be susceptible to,"易患..., 对...敏感"
be unlikely to,不大可能(做)...
be unprepared for,无
be vulnerable to,易受...的伤害
be willing to,愿意(做)...
be worth doing,无
by accident,偶然
by all means,"na. 必定；千方百计；不惜一切；好的
[网络] 务必；一定；无论如何"
by chance,"偶然, 也许"
by contrast,"对比起来, 与之相比, 相反地"
in contrast,"比较起来, 相反地, 而"
by means of,依靠
by nature,天生地
by way of,"经由, 作为, 为了
[经] 当作, 为了, 通过"
back up,"n. 倒车, 后退, 后援, 支持, 阻塞
vt. 做备份
a. 候补的, 支持的
[计] 备份; DOS外部命令:通常使用于将硬磁盘上指定的文件复制到软盘上"
bear in mind,"na. 记住；铭记不忘；注意
[网络] 牢记在心；记在心里；考虑到"
keep in mind,"na. 记在心里；记住；注意
[网络] 牢记；紧记；牢记在心"
bear out,"na. 证明
[网络] 证实；支持；证实是正确的"
begin with,"以…开始,首先"
benefit by,"得益于…,从…中获得好处"
bet on,n. <法>混凝土
bid for,"要求,争取,投标,出价竞买"
boast of,吹嘘;引以自豪地拥有
boast about,自夸
break up,"打碎, 破碎, 分裂, 分解, 驱散, 结束, 衰退, 衰落, 变坏"
bring into effect,"实现, 实施"
carry into effect,"实行, 实现
[法] 实行, 实施, 实现"
put into effect,"使生效, 执行...
[经] 执行, 使生效"
bring forth,生(孩子)；开(花)；结(果)；产生；宣布，公布，提出，显示；引起
bring in,"na. 生产；生(利)；收获(农作物等)；挣得(报酬等)
[网络] 引进；带来；引入"
bring into, 使达到…; 把…拿入; 使开始生效; 使清楚地被人理解[知道]
bring out,"na. 公布；说出；出版；上演
[网络] 生产；阐明；说明"
bring together, 使相合[连接]; 使相识;  使坐在一起;  使会面
build on, 在原有的建筑物上增建; 以…为基础; 依赖; 一心指望
build upon,"堆积于......
建立在......"
build up,n. 建立；组合；(在数量、力量、影响等方面)逐渐增加，增长，增强，加强，发展；成长过程
burn down,"na. 烧光；(蜡烛等)逐渐烧完；火力减弱
[网络] 燃尽图；烧毁；把…烧成平地"
burn out,"n. 烧尽, 烧坏, 熄火
[化] 燃尽"
burn up,"烧起来, 烧掉, 发怒"
burst into,"闯入, 开出, 突然出现"
burst out,"闯出来, 大声喊, 突发"
burst upon,突然来到
burst on, [人名] 伯斯顿; [地名] [英国] 伯斯顿
buy into,出钱入(某组织或企业)
buy off,"na. (用贿赂)收买；用钱疏通[保护,救]；同“buy”
[网络] 验收；全部权利的买下；代购料加工"
buy out,"na. 出钱使某人出让地位[产权等]；买下…的全部产权
[网络] 收购全部；买进全部产权或股权；买断"
buy up,"na. 囤积；整批收购；购进(其他公司)
[网络] 尽可能买进；全部买进；全部买下"
back and forth,[网络] 来来回回的
bad debt,[会计] 坏帐；[会计] 呆帐
badly off,"穷的, 缺少的"
be able to,"能, 会"
be accustomed to,习惯于
be addicted to,沉迷于…
be aware of,知道
be beneficial to,有益于
be bothered with,无
be bound to,"肯定,必然,注定;保证做某事,有义务做某事"
be bound up with,与...有密切关系
be central to,"是…的核心,对…是重要的"
be characterized by,"具有...的特性, 其特性为..."
be crucial to,[网络] 对……至关重要；决定性的；重要的
be different from,"与…不同,和…不一样"
be disappointed at,对…感到失望
be distracted by,被…搞得心烦意乱;被…搞得要发狂
be enrolled in,"v. 入伍,入学"
be equal to,"胜任, 相等, 合适"
be equipped with,"配备有,装备有…"
be equivalent to,"[计] 等价的, 等效的, 等值的"
be essential to,对…必要的
be faced with,"面对,面临着…"
be familiar with,熟悉
be familiar to,对…熟悉的
be fascinated with,无
be fond of,"喜爱, 爱好"
be forced to, 被迫做某事; 不得已; 迫不得已; 只好
behind someone's back,背着(某人)
behind the scenes,"在后台, 在幕后
[法] 秘密地, 暗中, 幕后"
be ignorant of,不知道
be independent of,"独立于...之外, 不受...支配, 与...无关, 不依赖..."
be indicative of,"表示..., 提示..., 指示..., 暗示..."
be irrelevant to, 与。。。不相干，不切题
seem irrelevant to,无
be jealous of,妒嫉
be liable for,"有...责任, 有...义务"
be liable to,"该受(罚), 应遵守..., 有...的倾向, 易于..."
be limited to,被限制在...上
be made of,由...所组成
be marked by,"特点是,以…为特点"
be of ... importance,无
be open to,"对...开放, 愿接受...的"
be opposed to,"反对..., 与...相对"
be popular with,为...所喜欢
be proud of,"自豪, 高兴"
be relevant to,与...有关
be sensitive to,"敏感, 灵敏"
be soft on,"爱上
钟情于
对......温柔"
be stuck in, 困于，停止不前，动弹不得
be supposed to,"应该, 被期望"
be the talk of,无
be tied to,"被束缚于…,与…紧密联系在一起"
be to blame,该受责备
be tolerant of,"忍耐,容忍,对…有忍耐力"
better off, 比较富裕; 情况好转
be typical of,是...的特点
be unaware of,"不知道, 不注意"
be unfamiliar with,"不熟悉…,对…很陌生"
be up to sb.,"胜任,达到,由…负责"
be urged to,无
be worthwhile to,无
be worthy of,"值得,应得到"
beyond dispute,"没有争论余地, 无疑地
[法] 不可争辩"
beyond one's ability,无
body of,[网络] 胆囊体
bottom line,"adj. 起码的；最终；基本的
[网络] 底线；做人的底线；最重要的部分"
box office,"adj. 卖座很好的；受人欢迎的
[网络] 票房；售票处；谈票房"
but then,但另一方面
by analogy,用类推的方法
by and large,"大体上, 基本上"
by common consent,"经一致同意,公认"
by hand,"na. 用手的；用手递交的；(婴儿)用牛奶抚养的
[网络] 用手工；手动；手工的"
by heart,[网络] 凭记忆；牢记；凭记性
by mistake,由于差错
by no means,决不
by reason of,"由于, 因为"
by rights,正当地
by the end of,"到…结束的时候,到…末"
bargain for,"指望, 想以廉价买"
bargain on,"指望,预料"
bear a similarity to,无
beat about the bush,旁敲侧击
beat around the bush,"转弯抹角, 旁敲侧击, 拖延谈及正题"
beat sb. to the punch,[网络] 先发制人；捷足先登；抢得先机
bed down,"安排(人/动物)舒服地睡觉, 使自己舒服地睡觉"
bite one's nails, （紧张时习惯性地）咬指甲，焦躁不安
blow up,"v. 炸掉；爆炸；充气；放大
[网络] 炸毁；发脾气；爆发"
boil down,"na. 熬干；熬稠；煮干
[网络] 熬浓；浓缩；归结为"
bombard with,以…轰击；以(问题、要求、指责等)质问(或困扰)
boot up,"un. 启动；自举；引导；使系统开始工作
[网络] 启动磁盘；引导程序"
build in,"na. 加入；埋入；围以(房屋,围墙等)
[网络] 静态编译的驱动模块"
build into, 使成为…的一部分
bundle up,(使)穿暖和(或臃肿)[亦作 wrap up](a-gainst)；把…包(或捆扎)起来
be appropriate for,"适合,适用于"
be charged with,"装满, 承担, 被控告
[法] 负...责任, 受...指控"
be correlated with,与...有关/相联系
be diligent in,无
be far removed from,[网络] 相去甚远；与……大相径庭
become far removed from,无
be indispensable to,v. 必需
be indispensable for,无
be injurious to,无
be on the wrong planet,无
beside the point,"离题, 不中肯"
between jobs,[网络] 失业；待业中；工作之间
be validated by,无
beyond one's comprehension, 不可理解
beyond the capability of,无
beyond the dreams of,无
book value,"na. 账面价值；买卖净值；股本净值；单股价值
[网络] 公司净值；账面值；账面价值记账"
by a large margin,无
by courtesy of,蒙...好意
by the book,"na. “by book”的变体
[网络] 循规蹈矩的"
call for,"叫(某人)来, 要求, 为...叫喊, 为...叫"
carry on,"继续开展, 行为愚蠢(或越轨)
[经] 继续发展(经营)下去"
cast doubt on,"引起对...的怀疑, 使人们不相信..."
check on,"检查,核对"
cling to,"依附, 依靠, 坚持"
come across,偶遇
compete with,与…竞争
comply with,照做
conform to,"符合,与…一致"
contribute to,捐献
cope with,"与...竞争, 应付, 处理"
cannot but,"不得不, 不能不"
concern for, 为…担心
contrary to,与…相反
call off,"na. 〈口〉命令停止；丢手；取消(婚约)；〈美〉点(名)
[网络] 放弃；叫走，叫开；转移开"
call up,"na. 传；召集；打电话给；【电讯】呼唤
[网络] 动员；盖洛普组织；同本义"
care about,担心
cast about for,四处寻找，设法找到；设法；筹划
cast around for,"cast around (for)
＝ cast about (for)"
cast aside,"na. 抛弃
[网络] 废除；消除；唾弃"
catch up,"na. 与…并驾齐驱 (to with)；扰乱(说话人)
[网络] 赶上；追上；跟上"
cater to,迎合
check out,"na. 开支票(提款)；(旅馆)付账后离开；及格；〔美俚〕死
[网络] 退房；检查；结帐"
check up on,[美国英语]；查验；核实；校对；调查:；检查体格:
cheer on,"un. 欢呼；喝采；高呼加油:；为某人打气
[网络] 向…欢呼；为…加油；鼓励"
cheer up,"v. 鼓舞；振作一点
[网络] 振作起来；高兴起来；使高兴起来"
clean out,"na. 扫除干净；〔俚语〕(把钱)花完
[网络] 清除；打扫干净；清扫"
clean up,"na. 收拾干净；【机械工程】改正；〔俚语〕赚厚利
[网络] 打扫；打扫干净；清除"
close down,"[计] 停机, 关机, 停歇"
close up,"na. 靠紧；(伤)愈合；密闭；〔美国〕结束
[网络] 关闭；特写；靠近"
coincide with,符合
combine with,与...结合
come about,"发生, 改变方向"
come along,"na. 进步；同意；一道来；请过来
[网络] 出现；进展；快点"
come around,"na. 得到；达到；袭击
[网络] 苏醒；顺便过来；拜访"
come round,"顺便来访, 绕道而来, 转向, 改主意, 苏醒, 平息"
come at,"袭击, 达到, 得到"
come by,"从旁边走过, 得到"
come down,"下来, 下跌, 落泊, 流传下来, 捐钱, 反对"
come down to,"流传下来;压缩为,归结为,简化为"
come in,"na. 进入；当选；上台；(党派)组阁
[网络] 进来；请进；流行起来"
come out,"到边远地区来, 出现, 露出, 出版, 罢工, 结果是, 褪去, 被解出, 宣布"
come to,"na. 总计为；结果是；苏醒；把船朝着风头
[网络] 恢复知觉；达到；到达"
come under,"归入, 遭受"
come up with,"赶上, 提出"
comment on,评论
communicate with,通话
compare to, 把…比作， 喻为; 与…相比
compare with,"比较…,跟…相比,比得上…"
complain about,抱怨
complain of,"抱怨, 抗议"
concentrate on,"集中, 全神贯注于"
confine to,"v. 限于
[网络] 局限于；限制；限制在一定范围之内"
confine within,把…关在…里
conflict with,"战斗, 冲突"
consent to,"同意, 答应"
consist of,由...组成
count as,"当成,算作"
count for,"有价值,起作用"
count in,"na. 算入
[网络] 把…计算在内；把……算入；算上"
cut across,抄近路通过
cut back,"na. 缩减；修剪(树枝等)；回叙往事
[网络] 削减；减少；消减"
cut down,"na. 砍倒；削减；减价；夺去…活动力
[网络] 减少；缩短；降低"
cut out,"切掉, 删掉, 裁剪出, 安排好, 使适合, 停止, 放弃, 取代, 使分离, 突然离开
[建] 切断, 安全器"
cut up,"na. 割裂；弄伤；歼灭(敌军)；使心痛
[网络] 切碎；剪碎；宰后得肉"
capable of, 有…能力（或技能）的，能…的
civil servant,"n. 公务员；政府官员
[网络] 文职人员；文官；行政能力倾向测试是公务员"
close by,"na. 旁边
[网络] 笑哈哈"
close to,"接近于, 靠近于"
come into being,"形成, 产生"
come into effect,"开始生效
[法] 生效"
go into effect,"生效,开始实施"
come into use,开始被使用
come to a close,结束
draw to a close,渐近结束
come to life,苏醒
come to light,"na. 显露
[网络] 真相大白；为人所知；出现"
come true,"实现, 成为事实"
commit a crime,犯罪
commit suicide,[法] 自杀
common to, 共同的，共有的
comparable with,"可比较的, 比得上的；与…相容；可同…比较"
comparable to,"可比较的, 比得上的"
control over,控制
convenient to, 便利的，方便的；便于
chance on,偶然发现
chance upon, 偶然发现[遇到]; 碰见
chew over,"na. “chew upon”的变体
[网络] 仔细考虑；仔细商量；深思，细想"
choke back,"na. 抑压住(感情)
[网络] 抑制；忍住；强忍住"
choke up,"塞住, 噎住, 阻塞"
clamp down,"v. 严厉打击；强制执行；严禁；施压
[网络] 取缔"
clear away,"na. 扫除；砍去；(雾等)消散
[网络] 收拾；把…清除掉；去掉"
clear off,"na. 理清(工作等)；清算；卖掉；撵走
[网络] 清除；消散；摆脱"
clear up,"n. 整理; 破案; 治愈
a. （案件）已经了结的; （罪犯）已捉拿的"
close in on,"包围,逼近"
come apart,"分开, 分裂"
come between,"na. 介入…之间；离间
[网络] 介入……之间；在…中间；妨碍"
come in for,"遭到, 受到"
come into,"得到, 继承
[法] 继承"
come out with,"发表, 出版, 说出, 提出, 把...投入市场销售"
compensate for,赔偿
confess to,"承认, 坦白; 〈宗〉向…忏悔"
confide in,信任
cool off,"na. 变凉；使…冷静；(销量,价钱等)下降
[网络] 平静下来；冷却；冷静下来"
correspond to,"相当于..., 与...相对应"
counter with,以…反击; 提出与之抗衡的(建议、计划等)
crack down," 采取严厉措施, 制裁; 打击"
crack down on,"制裁, 镇压"
cry out against,大声疾呼反对；对…大声抗议，强烈抗议
cure of,"v. 治愈
[网络] 医治；矫正；治癒"
curl up,"v. 蜷缩
[网络] 屈膝两头起；卷起；使蜷曲"
call out bids,无
clear-cut,"a. 轮廓清晰的, 明确的, 清楚的
[法] 清晰的, 明确的, 轮廓清楚的"
come into operation,[法] 开始实施
go into operation,"生效, 开始工作"
come right out and say,无
come to a head,"出脓, 到紧急关头"
come to blows,开始互殴
come to grief,"遭到不幸, 遭难, 失败"
come to grips with,与...搏斗
get to grips with,"对付, 处理"
come to hand,"na. 拿到手
[网络] 收到"
come to no harm, 没受伤，没有受到损害
come to one's senses,"苏醒过来, 醒悟"
come to terms,"达成协议, 妥协, 让步
[法] 达成协议"
common run of men,无
could yet do,无
may yet do,无
might yet do,无
coupled with, 加上，外加
cross section,"n. 横截面（图）；剖面（图）；断面（图）；典型的一群人（或事物）
[网络] 横断面；横切面；横剖面"
cut and dried,"枯燥无味的,刻板的,老一套的;现成的,事先准备好的"
cut short,"na. 打断(讲话)；使停止；缩减；从简
[网络] 中断；突然停止；缩短"
deal with,"安排, 处理, 涉及, 做生意"
depend on,"依靠, 依赖"
derive from,从...得到；从...获取
die out,"熄灭, 平息, 消失"
differentiate between A and B,把(甲)和(乙)区别/分开来
do harm to, 损害。。。，伤害。。。; 残害
doze off,不知不觉地睡着了
draw a conclusion from,由...得出结论
draw on,"戴上, 吸收, 利用, 向...提取, 引诱, 招致, 临近"
discontent with,无
date back to,"始于,可以追溯到…"
date back from,无
dedicate to,献身
define as,把…解释为；定(某词、短语等)的意义为，下定义为
deprive of,"un. 剥夺
[网络] 剥夺某人的；使失去；使丧失"
devote to, 把…专用于，完全用于（某事或做某事）; 致力于…; 务; 倾注
die down,n. 【植物学】枯死
differ in, [医]达芙文（阿达帕林、丙二醇和EDTA凝胶）<抗痤疮药>
disagree with,"不同意, 不一致, 不适合"
disapprove of,"不赞成,不同意"
dispose of,"处理, 安排, 转让, 卖掉, 除掉, 吃光, 解决"
distinct from,adj. 不同于N
do business,"na. 做买卖
[网络] 做生意；经商；特指经商"
do for,"na. 帮助；适合做；除掉；毁掉
[网络] 照料；对…有效；照应"
do justice to,"公平对待, 适当处理"
do with,"与...相处, 忍受, 对付"
draw into,"(火车或汽车)到站; 徐徐进站; 把…拉进, 吸引进"
draw out,"na. 抽出；拔出；掏出；提出
[网络] 拉长；取出；拉出"
dress up,"na. 乔装；装扮；为…打扮；盛装打扮
[网络] 穿上盛装；装饰；精心打扮"
drive away,"v. 赶走
[网络] 网站如；驱走；离开"
drop by,n. (招待政治家、议员等的)招待会
drop in, [医]溴甲阿托品，溴化甲基阿托品，溴甲烷阿托品[抗消化性溃疡药]
drop off,"na. 同“drop”；睡着；(客)(一一)散去；衰落
[网络] 减少；减弱；下车"
drop out,"n. 退学学生, 中途退学
[电] 离去"
drop out of,"退出,辍学,脱离"
drop to,下降到;跌到
dry out,n. 变干； (的过程)；干燥；[口语] (酒精中毒) 解毒办法 (或设备)
dry up,"na. 干涸；逐渐枯萎；使干；(演员)忘记台词
[网络] 枯竭；干透；乾涸"
do one's best,尽全力
try one's best,尽力
double-digit,"un. 两位数字的
[网络] 双位数；双位数字；位数百分比"
dozens of,"几十个,数十个;许多…"
draw a comparison,"做比较
打比方"
drive sb. to do sth.,无
due to,"由于, 应归于"
deduce from,"推断
[法] ...从...推断(推出)..."
detach from,使从…分离(或分开、脱离、拆开)
dip into,"na. 舀出；取出；查一查；探究
[网络] 随便翻阅"
discriminate against,歧视
dispense with,"免除, 省却, 无需"
divide by,用…整除;因…而发生分裂
do away with,"废除, 弄死"
double up,"na. 摺；捏起(拳头)；(旅客等)同住一室；弯着身子
[网络] 加倍还款；增加供款额"
do up,"v. 修缮；收拾
[网络] 系；打扮；包扎"
dream up,"na. 凭空想出；凭空捏造出
[网络] 虚构；创造；梦想"
drive down, [医]减速传动
dwell on,"细想, 详述"
dwell upon,凝思;详细论述;仔细研究
dead end,"a. 尽头的, 没有发展前景的, 无出路的
vi. 到达尽头"
do one's bidding,无
do one's bit,尽自己的一份力量
do one's share,无
do one's utmost,竭力
do the honors," 尽地主之谊, 招待宾客"
draw dividend,无
drive into action,无
evolve from,由...进化
exert influence on,对…施加影响
equipped with, 装备有
eat up,"吃光, 耗尽, 吞灭"
embark on,"从事, 着手"
enable ... to,无
engage in,"使从事于, 参加"
engage with,交战
enter on,"正式开始, 着手, 开始考虑, 占有"
enter upon," 开始, 着手"
equate with,[网络] 把…等同；看作相同；同等
escape from,逃脱
exchange for,用…换取
experiment on,对...进行实验
experiment upon,无
explain away,"na. 巧辩过去
[网络] 把…解释过去；解释掉；辩解"
extend to," （使）达到, 伸展到"
extract from,从…中提取
earn one's living,"谋生, 维持生活"
either ... or,"a. 两者择一, 两者择一的, 非此即彼的
[计] ""异"", 二者择一"
emphasis on,强调
even as,"正巧在...的时候, 正如"
even if,即使
even though,"na. “even if”的变体
[网络] 纵然；即使；尽管"
ever since,自从…时候起(一直)
every other,"na. 每隔；所有其他；每隔一；其他的…都
[网络] 每隔一个的；每隔一个地；其他的...都"
every so often,"时常, 常常, 不时"
except for,"除...以外
[经] 除...外"
expert in, 熟练于…
embed in,使牢牢嵌入
earn one's keep,"值得雇用, 挣饭吃"
fail to, 未能…
fall asleep,"入睡, 长眠, 懈怠, 静止不动"
fall short, 缺乏; 不足; 达不到（目标）; 不符合
filter out,[化] 滤出
fold ... into,(烹饪时)把…调[拌]入
feel disappointed at,无
for example,"na. 例如
[网络] 举例；比如；譬如"
for fear of,"害怕,恐怕,生怕,唯恐,以防"
for fear that, 唯恐，害怕; 生恐; 惟恐; 生怕
for instance,n. [美国口语]例子
for long,"na. 长久 longs and shorts 1. 诗〔尤指古希腊的和古拉丁的〕. 2. 【建筑】长短砌合
[网络] 弗隆；佛龙；欧龙"
fall away,"消瘦, 背离, 离开, 消失, 倾斜"
fall behind,"落在后面, 拖欠"
fall down,na. (向下游)流下；〔美俚〕失败；跌倒；同“fall”
fall for," 上当, 听信; 爱上"
fall off,"从...跌下, 下降, 减少, 衰退, 离开"
feel like,"na. 〈口〉想要…；愿意…；感觉像是…
[网络] 感觉气温"
fight back,"n. 回击
[网络] 我们的声音"
fight off,"n. 决赛, 拳击决赛"
figure out,"na. 估计；解决；了解；〈口〉确定
[网络] 弄清楚；算出；推测"
file for,[网络] 申请；提起诉讼；提出申请
fill up,"n. 真满；填满；填料；填筑的
v. 填塞；填补
[网络] 充满"
fill with,"v. 充满
[网络] 使充满；装满；用……填充"
find out,"na. 查出；发现；看清…的面目；识破
[网络] 查明；找出；了解"
finish up,"结束, 完成, 用光"
fit in, 有地方容纳; 有时间从事（某事）; 有时间接待（某人）; 相处融洽
fit into,"嵌入,进入"
fit in, 有地方容纳; 有时间从事（某事）; 有时间接待（某人）; 相处融洽
fit in with,"适合, 适应, 与...一致"
fix on,"确定, 决定"
fix up,"na. 〈美口〉修理；解决；组织；安顿住处
[网络] 修补；安顿下来；改进"
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
follow through,"n. 持久的贯彻, 持续"
fair play,"na. 正派的比赛；公平；漂亮
[网络] 公平裁判；费尔泼赖；费厄泼赖"
far from,"远离, 远非"
far off,"a. 遥远的, 心不在焉的"
far-reaching,"adj. 深远的；广泛的
[网络] 影响深远的"
first and foremost,首要地
first of all,首先
fit for, 给…量尺寸以便做…; 适于， 适合
fit to,"un. 调整到
[网络] 飞图；菲图；涂鸦墙"
follow one's example,无
follow suit,"跟着做, 跟着出同花色的牌"
for all,"na. 无论…怎样；虽有[无论]…仍然
[网络] 尽管；虽然；语句的语法"
for anything,无论如何
for a while,暂时
for certain,肯定地
for ever,"na. 永远
[网络] 免费发短信的网站"
for free,免费地
for fun,开玩笑地
for good,"永久地, 永远地, 一劳永逸地"
for life,"na. 终身；为逃[保]命
[网络] 终生；一生；为了生命"
for nothing,"免费, 徒然
[经] 空, 不花钱"
for one's part,"对某人来说, 就个人来说"
for one thing,首先
for real,"真的, 实在的, 可能的, 很, 非常"
for sale,"na. 出售(的)
[网络] 待售；供出售；出售的"
for short,"简称, 缩写"
for sure,"adv. 确实
[网络] 肯定地；确切地；毫无疑问"
for the benefit of,为…的利益 ; 为惩戒…
for the most part,在极大程度上
for purpose of,为…的目的
for the purpose of, 为了，因…起见; 借以
for the sake of,"为...缘故, 为...起见, 为了某人, 为...目的, 为了...的利益"
full time,"专职,全部工作时间的,全日制"
fall out of,"放弃, 中止"
find fault with,"挑剔,指责,对…吹毛求疵"
flare up,"na. (突然)焚烧；(信号的)闪光；激怒；(一时的)盛况
[网络] 急剧释放"
flash on,"立刻理解,马上体会出;闪亮,闪烁;感到恍恍忽忽"
flesh out,"na. 充实；使…具体化
[网络] 使有血有肉；使之更充实并具体化；充实完整"
flick through,"浏览,翻阅"
fool about,"闲荡, 玩弄"
fool around,"闲荡, 干蠢事, 干无用的事, 干琐屑的事"
far and wide,"到处, 广泛地"
feel the pinch,"感到拮据, 手头紧"
figure of speech,na. 形像化说法
fill the bill,"符合要求, 使人满意"
follow one's nose,"笔直走, 凭本能做事"
for good measure,"作为额外增添, 另外"
for the time being,暂时
from the bottom up,从下到上
get over,"爬过, 克服, 熬过, 恢复, 原谅"
get rid of,"摆脱, 除去"
