use,"vt.使用,利用,耗费n.使用,利用,用途,效用,使用价值"
designate,"vt.指明,指出,任命,指派v.指定,指派"
trust,"vt.信任,信赖,盼望,希望,赊卖,热望,切望n.(～ in) 信任,信赖"
real,"adj.真的,真实的,不动产的"
reality,"n.真实,事实,本体,逼真"
realistic,adj.现实(主义)的
trustworthiness,"n.可信赖,确实性"
present,"n.赠品,礼物,现在,瞄准adj.现在的,出席的,当面的vt.介绍,引见,给,赠送,上演,提出,呈现vi.举枪瞄准"
represent,"vt.表现,描绘,声称,象征,扮演,回忆,再赠送,再上演vi.提出异议"
representative,"n.代表adj.典型的,有代表性的"
culture,"n.文化,文明"
cultural,adj.文化的
cultivate,"vt.培养,耕作"
thought,"n.思考,想法,思想,思潮,关心,关怀,挂念 vbl.think的过去式和过去分词"
thoughtful,"adj.深思的,有思想性的,体贴的,关切的"
thoughtless,adj.欠考虑的
reform,"n.改革,改善,改良运动,感化vt.改革,革新,重新组成vi.革新,改过,重组"
analysis,"n.分析,分解"
analyze,"vt.分析,分解"
analytical,"adj.分析的,解析的"
position,"n.位置,职位,立场,形势,阵地vt.安置,决定...的位置"
posture,"n.(身体的)姿势,体态,状态,情况,心境,态度v.令取某种姿势,摆姿势,作出姿态"
expose,"vt.使暴露,受到,使曝光v.揭露"
purpose,"n.目的,意图,用途,效果,决心,意志vt.打算,企图,决心"
suppose,"vt.推想,假设,猜想vi.料想 conj.假使...结果会怎样"
composition,"n.写作,作文,成分,合成物"
composure,"n.镇静,沉着"
component,"n.成分adj.组成的,构成的"
oppose,"vt.反对,使对立,使对抗,抗争vi.反对"
propose,"vt.计划,建议,向...提议,求(婚)vi.打算,求婚"
opposite,"adj.相对的,对面的,对立的,相反的,对等的,对应的n.相反的事物"
opponent,"adj.对立的,对抗的n.对手,反对者"
disposition,n.部署
postpone,"vt.推迟,使延期,延迟"
impose,"vt.征税,强加,以...欺骗vi.利用,欺骗,施影响"
technology,"n.工艺,科技,技术"
technique,"n.技术,技巧,方法,表演法,手法"
technical,"adj.技术的,技术上的,技巧方面的"
technological,adj.科技的
rise,"n.上升,增加,上涨,高地,小山,发生,出现vi.升起,起身,发源,起义,高耸,增长,上升,复活vt.使飞起"
raise,"n.上升,高地,提出vt.升起,唤起,提高,使出现,解除,饲养,筹集,使复活"
arouse,"vt.唤醒,唤起,鼓励,引起vi.睡醒"
arise,"vi.出现,发生,起因于"
capacity,"n.容量,生产量,容量,智能,才能,能力,接受力,地位"
escape,"n.逃,逃亡,溢出设备,出口,逃跑,[植]野生vi.逃脱,避开,溜走vt.逃避,避免,被忘掉"
capture,"n.捕获,战利品vt.俘获,捕获,夺取"
capital,"n.首都,首府,大写字母,资本,资金,资产adj.首都的,重要的,死罪的,大写的,<口>极好的"
pattern,"n.模范,式样,模式,样品,格调,图案vt.模仿,仿造,以图案装饰vi.形成图案"
attempt,"n.努力,尝试,企图vt.尝试,企图"
tempt,"vt.诱惑,引诱,吸引,使感兴趣,考验,试探"
approach,"n.接近,逼近,走进,方法,步骤,途径,通路vt.接近,动手处理vi.靠近"
approximately,"adv.近似地,大约"
skill,"n.技能,,技巧,熟练,巧妙"
skillfully,"adv.巧妙地,技术好地"
executive,"adj.实行的,执行的,行政的n.执行者,经理主管人员"
consequence,"n.结果,[逻]推理,推论,因果关系,重要的地位"
pursue,"vt.追赶,追踪,追击,继续,从事"
pursuit,n.追击
suit,"v.合适,适合,相配,合式,适宜于n.一套衣服"
prosecute,"vt.实行,从事,告发,起诉vi.告发,起诉,作检察官"
consequently,"adv.从而,因此"
suitable,"adj.适当的,相配的"
prosecution,"n.进行,经营,检举,起诉"
respect,"n.尊敬,敬重,注意,考虑,尊重,关系,有关,敬意vt.尊敬,尊重,不防碍"
respectable,"adj.可敬的,有名望的,高尚的,值得尊敬的"
successful,adj.成功的
success,"n.成功,成就,胜利,发迹,兴旺"
succession,"n.连续,继承,继任,演替,[农业] 轮栽,连续性"
successive,"adj.继承的,连续的"
indicate,"vt.指出,显示,象征,预示,需要,简要地说明"
predict,"v.预知,预言,预报"
contradict,"vt.同...矛盾,同...抵触"
dedicate,"vt.献(身),致力,题献(一部著作给某人)"
index,"n.索引,[数学]指数,指标,(刻度盘上)指针vt.编入索引中,指出vi.做索引"
online,"n.联机,在线式"
money,"n.货币,钱,金钱"
monetary,"adj.货币的,金钱的"
ensure,"vt.保证,担保,使安全,保证得到v.确保,确保,保证"
insure,vt.给...保险v.确保
insurance,"n.保险,保险单,保险业,保险费"
assurance,"n.确信,断言,保证,担保"
peer,"n.同等的人,贵族vi.凝视,窥视vt.与...同等,封为贵族"
intellect,n.智力
intellectual,"adj.智力的,有智力的,显示智力的n.知识分子"
intelligence,"n.智力,聪明,智能"
select,"vt.选择,挑选adj.精选的"
selection,"n.选择,挑选,选集,精选品"
intelligent,"adj.聪明的,伶俐的,有才智的,[计]智能的"
neglect,"vt.忽视,疏忽,漏做n.忽视,疏忽,漏做"
election,"n.选举,当选,选择权,[宗]上帝的选拔"
eligible,"adj.符合条件的,合格的"
intend,"vt.想要,打算,意指,意谓"
intention,"n.意图,目的"
intentional,"adj.有意图的,故意的"
rely,"v.依赖,依靠,信赖,信任,依赖于"
reliance,"n.信任,信心,依靠,依靠的人或物"
status,"n.身份,地位,情形,状况"
constitution,"n.宪法,构造,体质,体格,国体,章程,惯例"
constitutional, /宪法
institute,"n.学会,学院,协会vt.创立,开始,制定,开始(调查),提起(诉讼)"
institution,"n.公共机构,协会,制度"
substitute,"n.代用品,代替者,替代品v.代替,替换,替代"
stand,"n.停止,抵抗的状态,立场,立足点,看台,架子,台v.站,立,站起,(使)竖立,(使)位于,维持不变,持久,经受"
withstand,"vt.抵挡,经受住"
constant,"n.[数、物]常数,恒量adj.不变的,持续的,坚决的"
observe,"vt.观察,观测,遵守,评述,说"
observer,"n.观测者,观察员,遵守者"
unique,"adj.唯一的,独特的"
despite," prep.不管,尽管,不论"
model,"n.样式,型,模范,典型,模型,原型,模特儿vt.模仿v.模拟"
mode,"n.方式,模式,样式,时尚"
mood,"n.心情,情绪,语气,状态"
moderate,"adj.中等的,适度的,适中的v.缓和"
modest,"adj.谦虚的,谦让的,适度的"
modify,"vt.更改,修改v.修改"
modification,"n.更改,修改,修正"
standard,"n.旗,军旗,标准,规格,本位adj.标准的,权威,第一流的"
standardize,"vt.使符合标准,使标准化"
free,"adj.自由的,大方的,免费的,免税的,丰富的,空闲的vt.释放,使自由adv.自由地,免费"
freely,"adv.自由地,直率地"
store,"vt.贮藏,贮备,存储n.商店,店铺,贮藏,贮备"
restore,"vt.恢复,使回复,归还,交还,修复,重建"
traditional,"adj.传统的,惯例的,口传的,传说的"
available,"adj.可用到的,可利用的,有用的,有空的,接受探访的"
measure,"n.尺寸,量度器,量度标准,方法,测量,措施vt.测量,测度,估量,分派,权衡,调节vi.量"
dimension,"n.尺寸,尺度,维(数),度(数),元"
home,"n.家,住宅,家乡,本国,产地,避难所adj.家庭的,国内的,有效的adv.在家,回家,深入地,在本国"
homeless,"adj.无家的,无家可归的"
figure,
fiction,"n.虚构,编造,小说"
chief,"n.首领,领袖,酋长,长官,主要部分,最有价值的部分adj.主要的,首要的,首席的,主任的"
achieve,"vt.完成,达到"
wide,"adj.宽的,广阔的,张大的,远离目标的adv.广阔地,广大地,远离目标地"
widespread,"adj.分布广泛的,普遍的"
worldwide,adj.全世界的
break,"n.休息,暂停,破裂,突变v.打破,违犯,折断,削弱,超过,突变"
breakthrough,n.突破
cut,"v.切(割、削),(直线等)相交,剪,截,刺穿,刺痛,删节,开辟n.(刀、剑、鞭等的)切削,削减,删节,伤口,切口"
scientist,n.科学家
conflict,"n.斗争,冲突vi.抵触,冲突"
determine,"v.决定,确定,测定,使下定决心,[律]使终止"
term,"n.学期,期限,期间,条款,条件,术语"
stick,"n.棍,棒,手杖v.粘住,粘贴vt.刺,戳"
stock,"n.树干,库存,股票,股份,托盘,祖先,血统,原料adj.股票的,普通的,常备的,存货的,繁殖用的vt.装把手于,进货,备有,放牧vi.出新芽,采购"
current,"adj.当前的,通用的,流通的,现在的,草写的,最近的n.涌流,趋势,电流,水流,气流"
currency,n.流通
course,"n.过程,经过,进程,方针,路线,跑道,课程,一道菜v.追猎,急行,运行,流动 学业"
occur,"vi.发生,出现"
curriculum,n.课程
discourse,"n.演讲,论述,论文,讲道,谈话,谈论vi.谈论,演说"
hand,"n.手,掌管,协助,支配,插手,指针,雇员,手艺vt.支持,搀扶,交给"
handful,"n.一把,少数"
handle,"n.柄,把手,把柄,口实,手感vt.触摸,运用,买卖,处理,操作vi.搬运,易于操纵n.[计]句柄"
manner,"n.礼貌,风格,方式,样式,习惯"
manipulate,"vt.(熟练地)操作,使用(机器等),操纵(人或市价、市场),利用,应付,假造vt.(熟练地)操作,巧妙地处理"
recommend,"vt.推荐,介绍,劝告,使受欢迎,托付,使...受欢迎,使...可取"
assess,"vt.估定,评定"
assessment,"n.(为征税对财产所作的)估价,被估定的金额"
return,"n.回来,返回,来回票,利润,回答adj.返回的,回程的,报答的,反向的,重现的vi.回返,归还vt.归还,回报,报告,获得,回答,返回"
investment,"n.投资,可获利的东西"
invest,"v.投(资),购买(有用之物)～,授予,投资"
investor,n.投资者
deep,"adj.深的,纵深的,远离中心的,深奥的,难懂的,(指人)诡计多端的,低沉的(声音)adv.深入地,迟n.深渊,深处"
depth,"n.深,深度,深奥,深刻"
award,"n.奖,奖品vt.授予,判给"
reward,"n.报酬,奖金vt.酬劳,奖赏"
regard,"n.关心,注意,尊敬,尊重,致意,问候,关系vt.看待,当作,重视,尊敬,关系"
regardless,"adj.不管,不顾,不注意"
warrant,"n.授权,正当理由,根据,证明,凭证,委任状,批准,许可证vt.保证,辩解,担保,批准,使有正当理由"
guarantee,"n.保证,保证书,担保,抵押品vt.保证,担保"
guardianship,"n.保护,守护,监护人的职责"
general,"n.普通,将军,概要adj.一般的,普通的,综合的,概括的,全面的,大体的 n.常规"
generally,"adv.一般,通常,一般地"
affect,"vt.影响,感动,侵袭,假装"
order,"n.次序,顺序,正常(工作)状态,秩序,会议规则,命令,定购,定单vt.命令,定购,定制"
disorder,"n.杂乱,混乱,无秩序状态vt.扰乱,使失调,使紊乱"
organization,"n.组织,机构,团体"
organ,"n.[机]元件,机构,机关,机关报 [乐]风琴,管风琴,嗓音 [生物]器官"
organism,"n.生物体,有机体"
secure,"adj.安全的,可靠的,放心的,无虑的v.保护"
cherish,"vt.珍爱,怀抱(希望等)"
cure,"v.治愈,治疗n.治愈,痊愈"
accuracy,"n.精确性,正确度"
curious,"adj.好奇的,求知的,古怪的,爱挑剔的"
curiosity,n.好奇心
emphasize,"vt.强调,着重v.强调"
emphasis,"n.强调,重点"
bank,"n.银行,堤,岸,沙洲,浅滩,一堆(土),(云)层,储藏所(库)vt.存(款)于银行,储蓄,(车或飞机)倾斜转弯"
banker,n.银行家
fundamental,"adj.基础的,基本的n.[pl.] 基本原则,基本原理"
fund,"n.资金,基金v.支助,投资"
funding,
founder,"n.铸工,翻沙工,创始人,奠基人vt.使沉没,使摔倒,弄跛,浸水,破坏vi.沉没,摔到,变跛,倒塌,失败 方正集团,中国最著名的电子照排系统的生产商"
foundation,"n.基础,根本,建立,创立,地基,基金,基金会"
profound,"adj.深刻的,意义深远的,渊博的,造诣深的"
establish,"vt.建立,设立,安置,使定居,使人民接受,确定v.建立"
stability,n.稳定性
stabilize,v.稳定
emerge,"vi.显现,浮现,暴露,形成,(由某种状态)脱出,(事实)显现出来"
earn,"vt.赚,挣得,获得v.赚得,获得"
earnings,"n.所得,收入"
born,"adj.天生的,原本,天生就...的 vbl.出生"
bear,"n.熊v.负担,忍受,带给,具有,挤,向"
birth,"n.出生,产生,出身"
birthright,"n.生来就有的权利,长子继承权"
childbirth,n.分娩
maintain,"vt.维持,维修,继续,供养,主张"
retain,"vt.保持,保留"
sustain,"vt.支撑,撑住,维持,持续"
sustainable,"adj.可以忍受的,足可支撑的,养得起的,"
essential,"adj.本质的,实质的,基本的,提炼的,精华的n.本质,实质,要素,要点"
essentially,"adv.本质上,本来"
essence,"n.基本,[哲]本质,香精"
concept,"n.观念,概念"
source,"n.来源,水源,消息来源,原始资料,发起者 源,源极"
resource,"n.[pl.] 资源,财力,办法,智谋"
low,"n.低,低价,牛叫声adj.低的,浅的,消沉的,微弱的,粗俗的,卑贱的,体质弱的adv.低下地,谦卑地,低声地,低价地vi.牛叫"
lower,"adj.较低的,下级的,下等的,下游的vi.降低,跌落,减弱vt.放下,降下,减弱,贬低"
site,"n.地点,场所,遗址vt.定...的地点n.站点"
protect,vt.保护 /n.保护/解除
protection,n.保护
rate,"n.比率,速度,等级,价格,费用vt.估价,认为,鉴定等级,责骂vi.被评价,责骂"
overrate,vt.对估价过高
series,"n.连续,系列,丛书,级数"
attract,"vt.吸引vi.有吸引力,引起注意"
attraction,"n.吸引,吸引力,吸引人的事物"
attractive,"adj.吸引人的,有魅力的"
abstract,"n.摘要,概要,抽象;adj.抽象的,深奥的,理论的;vt.摘要,提炼,抽象化"
extract,"n.精,汁,榨出物,摘录,选粹vt.拔出,榨取,开方,求根,摘录,析取,吸取"
extraction,"n.抽出,取出,[化]提取(法)萃取法,抽出物,摘要,血统,[数]开方(法)"
desire,"vt.想望,期望,希望,请求(官方丈礼)n.愿望,心愿,要求v.要求"
desirable,"adj.值得要的,合意的,令人想要的,悦人心意的"
undesirable,"adj.不合需要的,不受欢迎的,令人不快的"
importance,"n.重要(性),重大,价值,傲慢"
language,"n.语言,语言文学,术语,语言表达能力,(运用语言的)方式、能力、风格,[自](机器)代码 /n.语言/国家"
linguistic,"adj.语言上的,语言学上的"
criticism,"n.批评,批判"
critical,"adj.评论的,鉴定的,批评的,危急的,临界的"
criticize,"v.批评,责备"
criterion,"n.(批评判断的)标准,准据,规范"
population,n.人口
popular,"adj.通俗的,流行的,受欢迎的"
populate," 板上组装;v.使人民居住,移民"
popularity,"n.普及,流行,声望"
character,"n.(事物的)特性,性质,特征(的总和),(人的)品质,字符,性格,特征,人物vt.写,刻,印,使具有特征"
characteristic," ally//adv.表示特adj.特有的,表示绦缘"
characterize,"vt.表现...的特色,刻画的...性格"
type,"n.类型,典型,模范,[印刷]活字,铅字v.打字,测定(血等)类型"
typewriter,n.打字机
typical,"adj.典型的,象征性的"
broad,"adj.宽的,阔的,广泛的,明朗的,露骨的,显著的,主要的adv.宽阔地n.宽阔部分"
abroad,"adv.往国外,到处,海外,广泛,差得远,心里没有谱"
image,"n.图象,肖像,偶像,形象化的比喻,极为相象,映像,典型vt.想象,作...的像,反映,象征"
imagine,"vt.想象,设想"
imaginative,"adj.想象的,虚构的"
imitate,"vt.模仿,仿效,仿制,仿造v.模仿"
politics,"n.政治,政治学,政纲,政见"
poor,"adj.贫穷的,可怜的,乏味的,卑鄙的"
poorly,"adv.贫穷地,贫乏地adj.身体不舒服的,心情恶劣的"
poverty,"n.贫穷,贫困,贫乏,缺少"
range,"n.山脉,行列,范围,射程vt.排列,归类于,使并列,放牧vi.平行,延伸,漫游"
arrange,"v.安排,排列,协商"
rank,"n.等级,横列,阶级adj.繁茂的,恶臭的,讨厌的,下流的vt.排列,归类于,把...分等vi.列为,列队n.[数] 秩"
solve,"vt.解决,解答"
solution,"n.解答,解决办法,溶解,溶液 解决方案"
resolve,"n.决心v.决心,决定,决心要,(使)分解,溶解,解决vt.解决"
absolute,"adj.完全的,绝对的"
prospect,"n.景色,前景,前途,期望vi.寻找,勘探"
aspect,"n.样子,外表,面貌,(问题等的)方面"
perspective,"n.透视画法,透视图,远景,前途,观点,看法,观点,观察"
speculate,"vi.推测,思索,做投机买卖"
speculative,adj.投机的
retrospect,n.回顾
spectrum,"n.光,光谱,型谱 频谱"
fear,"n.恐怖,害怕,担心,敬畏v.害怕,畏惧,为...担心,敬畏(神等)"
food,"n.食物,养料"
feed,"n.饲养,饲料,(动物或婴儿的)一餐vt.喂养,饲养,放牧,靠...为生vi.吃东西,流入"
feedback,"n.[无]回授,反馈,反应"
news,"n.新闻,消息"
renew,"vt.使更新,使恢复,重申,补充,续借,复兴vi.更新,重新开始"
novel,"n.小说,长篇故事adj.新奇的,新颖的,异常的"
innovation,"n.改革,创新"
innovative,"adj.创新的,革新(主义)的"
income,"n.收入,收益,进款,所得"
promise,"vt.允诺,答应n.允诺,答应,许诺"
compromise,"n.妥协,折衷v.妥协,折衷,危及...的安全"
premise,"n.[逻][法]前提,(企业,机构等使用的)房屋连地基vt.提论,预述,假定vi.作出前提"
campaign,"n.[军]战役,(政治或商业性)活动,竞选运动vi.参加活动,从事活动,作战"
campus,"n.<美>校园,大学教育"
local,"adj.地方的,当地的,局部的,乡土的n.当地居民,本地新闻,慢车,局部"
locate,"vt.查找...的地点,使...坐落于,位于v.定位,位于"
complete,"adj.全部的,完全的,完成的vt.完成,使完善"
completely,"adv.十分,完全地"
comply,"vi.顺从,答应,遵守"
complementary,"adj.补充的,补足的"
supply,"n.补给,供给,供应品vt.补给,供给,提供,补充,代理vi.替代他人职务"
prevent,"v.防止,预防"
convention,"n.大会,协定,习俗,惯例"
conventional,"adj.惯例的,常规的,习俗的,传统的"
prevention,"n.预防,防止"
intervention,n.干涉
revenue,"n.收入,国家的收入,税收"
event,"n.事件,事变,结果,活动,精力,竞赛"
eventually,"adv.最后,终于"
except,"vt.除,把...除外,反对,不计vi.反对 prep.除了...之外,若不是,除非 conj.只是,要不是"
exception,"n.除外,例外,反对,异议"
consumer,n.消费者
consume,"vt.消耗,消费,消灭,大吃大喝,吸引vi.消灭,毁灭"
consumption,"n.消费,消费量,肺病"
assume,"vt.假定,设想,采取,呈现"
assumption,"n.假定,设想,担任,承当,假装,作态,圣母升天"
presumably,"adv.推测起来,大概"
light,"n.光,日光,发光体,灯adj.轻的,发光的,明亮的,浅的vt.点燃,照亮adv.轻地vi.点着,变亮"
enlighten,"vt.启发,启蒙,教导,授予...知识,开导,<古>照耀"
highlight,"n.加亮区,精彩场面,最显著(重要)部分vt.加亮,使显著,以强光照射,突出"
mark,"n.标志,分数,痕迹,记号vt.做标记于,打分数,标志vi.作记号 Mark 马克(男子名)"
remarkable,"adj.不平常的,非凡的,值得注意的,显著的"
margin,"n.页边的空白,(湖、池等的)边缘,极限,利润,差数,(时间、金额等的)富余vt.加边于,加旁注于"
rest,"n.休息,静止,支持物,台,架,[音]休止符,其余,其他vi.休息,睡眠,静止,依靠,搁在,保持(状态),取决于vt.使休息,使静止,睡眠,依靠,搁在"
arrest,"vt.逮捕,拘留,吸引n.逮捕,拘留"
class,"n.班级,阶级,社会等级,种类,(一节)课vt.把...分类(或分等级)"
classical,"adj.古典的,正统派的,古典文学的"
classify,"vt.分类,分等"
music,"n.音乐,乐曲"
amuse,"vt.使发笑,使愉快"
variety,"n.变化,多样性,种种,品种,种类"
collection,"n.收藏,征收,搜集品,捐款"
collective,adj.集体的n.集体
contribute,"v.捐助,捐献,贡献,投稿"
attribute,"n.属性,品质,特征,加于,归结于"
contribution,"n.捐献,贡献,投稿"
equal,"adj.相等的,均等的,胜任的,平静的,合适的,不相上下的n.相等的事物(或数量),对手,匹敌,同辈vt.等于,比得上"
equality,"n.等同性,同等,平等,相等,等式"
inequality,"n.不平等,不同,不等式,不平均,(表面)不平坦(用复数)"
adequate,
inadequate,"adj.不充分的,不适当的"
firm,"n.公司,(合伙)商号adj.结实的,坚硬的,坚定的,坚固的,牢固的,稳固的,严格的vt.使牢固,使坚定vi.变稳固,变坚实adv.稳固地,坚定地"
affirm,"v.断言,确认,肯定"
confirm,"vt.确定,批准,使巩固,使有效v.确认,(基督教中)给...行按手礼"
track,"n.轨迹,车辙,跟踪,航迹,足迹,路,磁轨,途径;vt.循路而行,追踪,通过,用纤拉;vi.追踪,留下足迹,走"
trace,"n.痕迹,踪迹,微量,迹线,缰绳vt.描绘,映描,画轮廓,追踪,回溯,探索vi.上溯,沿路走"
sale,"n.出售,卖出,贱卖,廉价出售,销路,销售额"
wholesale,"n.批发,趸售adj.批发的,[喻] 大规模的"
best-seller,
draw,"v.拉,曳,牵,画,绘制,拖曳vt.汲取,领取,提取,引起,吸引vi.向...移动,挨近n.平局,和局,拖曳"
draft,"n.草稿,草案,草图vt.起草,为...打样,设计v.草拟"
reflect,"v.反射,反映,表现,反省,细想"
flexibility,"n.弹性,适应性,机动性,挠性"
flexible,"adj.柔韧性,易曲的,灵活的,柔软的,能变形的,可通融的"
private,"adj.私人的,私有的,私营的,秘密的n.士兵"
privacy,"n.独处而不受干扰,秘密"
privilege,"n.特权,特别待遇,基本公民权力,特免vt.给与...特权,特免"
deprive,"vt.剥夺,使丧失"
land,"n.陆地,(书面语)国家、国土,地带,[复数]地产,田产vi.靠岸,登陆,登岸,到达vt.使上岸,使登陆,使到达,使处于"
landscape,"n.风景,山水画,地形,前景v.美化"
landing,"n.登陆,着陆,码头,楼梯平台,降落"
supreme,"adj.极度的,极大的,至高的,最高的"
superior,"n.长者,高手,上级adj.较高的,上级的,上好的,出众的,高傲的"
superiority,"n.优越,高傲"
supervise,"v.监督,管理,指导"
superstition,n.迷信
global,"adj.球形的,全球的,全世界的"
globally,
priority,"n.先,前,优先,优先权"
primary,"adj.第一位的,主要的,初步的,初级的,原来的,根源的"
prior,"adj.优先的,在前的n.预先adv.在"
prime,"n.最初,青春,精华adj.主要的,最初的,有青春活力的,最好的,第一流的,根本的,[数]素数的v.预先准备好,<口>让人吃(喝)足,灌注,填装"
primitive,"adj.原始的,远古的,粗糙的,简单的"
worth," prep.相当...价值n.价值,财产adj.值钱的,值的看中的"
worthwhile,"adj.值得做的,值得出力的"
worthless,"adj.无价值的,无益的"
requirement,"n.需求,要求,必要条件,需要的东西,要求必备的条件"
speak,"v.说话,谈话,说明事实,表示意见,发言,演讲,操(某种语言)"
speech,"n.演说,讲话 语音"
former,"adj.从前的,以前的n.形成者,创造者,模型,样板"
forecast,"n.先见,预见,预测,预报vt.预想,预测,预报,预兆"
forward,"adj.早的,迅速的,前进的vt.转寄,促进,运送adv.向前地,向将来n.[体](足球等)前锋"
straightforward, dly//adv.正直地
tolerance,"n.公差,宽容,忍受,容忍,(食物中残存杀虫剂的)(法定)容许量vt.给(机器部件等)规定公差"
tolerant,"adj.容忍的,宽恕的,有耐药力的"
tolerate,"vt.忍受,容忍"
enjoy,"vt.享受...的乐趣,欣赏,喜爱v.满意"
joy,"n.欢乐,喜悦,快乐,乐事,乐趣v.高兴 Joy 乔伊(女子名)"
expand,"vt.使膨胀,详述,扩张vi.张开,发展"
expansion,"n.扩充,开展,膨胀,扩张物,辽阔,浩瀚"
inspire,"vt.吸(气),鼓舞,感动,激发,启示,使生灵感,产生vi.吸入,赋予灵感"
spirit,"n.精神,灵魂,幽灵,妖精,勇气,火力,热情,情绪vt.诱拐,鼓励,鼓舞"
spiritual,adj.精神上的
expire,"v.期满,终止,呼气,断气,届满"
aspiring,"adj.热心的,积极的,有抱负的"
aspiration,"n.热望,渴望"
prosperity,n.繁荣
conspire,"v.共谋,阴谋,(指事件)凑合起来"
habit,"n.习惯,习性"
habitually,adv.习惯地
inhabitant,"n.居民,居住者"
labor,"n.劳动,努力,工作,劳工,分娩,阵痛vi.劳动,努力争取(for),苦干vt.详细分析,麻烦"
laboratory,n.实验室
collaborative,"adj.合作的,协作的,协力完成的"
elaborate,"adj.精心制作的,详细阐述的,精细vt.精心制作,详细阐述v.详细描述"
similar,"adj.相似的,类似的"
similarity,"n.类似,类似处"
similarly,"adv.同样地,类似于"
resemble,"vt.象,类似"
assemble,"vt.集合,聚集,装配vi.集合"
dominate,"v.支配,占优势"
dominant,"adj.有统治权的,占优势的,支配的adj.[生物] 显性的"
predominance,n.优势
direct,"adj.径直的,直接的,直系的,直率的,[天]由西向东运行的,顺行的adv.直接地vt.指引,指示,指挥,命令,导演vi.指导,指挥"
direction,"n.方向,指导,趋势,(常用复数)指示,用法,说明(书),收件人地址"
director,"n.主任,主管,导演,(机关)首长,(团体)理事,(公司)董事,指挥仪,控制器"
indirect,"adj.间接的,迂回的"
separate,"adj.分开的,分离的,个别的,单独的v.分开,隔离,分散,分别"
separation,"n.分离,分开"
cite,"vt.引用,引证,提名表扬"
quote,"vt.引用,引证,提供,提出,报(价)"
recite,"v.背诵,朗读,叙述,[律]书面陈述(事实)"
press,"n.压,按,印刷,压力,拥挤,紧握,新闻vt.压,压榨,紧抱,逼迫vi.压,逼迫,拥挤,受压"
congress,"n.(代表)大会,[C～] (美国等国的)国会,议会"
progress,"n.前进,进步,发展vi.前进,进步,进行"
progressive,"n.改革论者,进步论者adj.前进的,(税收)累进的,进步的"
aggressive,"adj.好斗的,敢作敢为的,有闯劲的,侵略性的"
congressional,"adj.会议的,大会的,国会的"
commission,"n.委任,委托,代办(权),代理(权),犯(罪),佣金vt.委任,任命,委托,委托制作,使服役"
commit,"vt.犯(错误),干(坏事),把...交托给,提交,答应负责"
commitment,"n.委托事项,许诺,承担义务"
competition,"n.竞争,竞赛"
competitive,adj.竞争的
competitor,n.竞争者
purchase,"vt.买,购买n.买,购买"
endeavor,"n.努力,尽力vi.尽力,努力"
win,"v.(获)胜,赢得,劝诱,取得胜利n.赢,胜利"
academic,"adj.学院的,理论的"
academy,"n.(高等)专科院校,研究院,学会,学术团体,学院"
overwhelm,"vt.淹没,覆没,受打击,制服,压倒"
mention,"vt.提及,说起n.提及,说起v.论及,提及"
permanent,"adj.永久的,持久的"
liberal,"n.自由主义者,(尤指英国、加拿大等国的)adj.慷慨的,不拘泥的,宽大的,自由主义的"
print,"n.版,印刷物,印迹,印章,印刷业,照片v.印刷,出版,印于,用印刷体写 [计]打印"
printer,"n.印刷工,打印机"
newsprint,n.新闻用纸
genetic,"adj.遗传的,起源的"
gene,"n.[遗传]因子,[遗传]基因 Gene 吉恩(男子名)"
generate,"vt.产生,发生"
generation,"n.产生,发生,一代,一代人"
gender,"n.[语法] 性,<口>性别,性,性交"
generous,"adj.慷慨的,大方的,有雅量的"
genius,"n.天才,天赋,天才人物"
computer,"n.计算机,电脑"
compute,"v.计算,估计,用计算机计算(或确定)"
compulsory,"adj.必需做的,必修的,被强迫的,被强制的,义务的"
reputation,"n.名誉,名声"
dispute,"v.争论,辩论,怀疑,抗拒,阻止,争夺(土地,胜利等)n.争论,辩论,争吵"
Internet,
net,"n.网,网络,网状物,净利,实价adj.净余的,纯粹的vt.用网捕,净赚,得到vi.编网 [域] Nerwork operations and service centers,网络服务商"
network,"n.网络,网状物,广播网"
commercial,"adj.商业的,贸易的"
element,"n.要素,元素,成分,元件,自然环境"
origin,"n.起源,由来,起因,出身,血统,[数]原点"
union,"n.联合,合并,结合,联盟,协会"
unite,"v.联合,团结"
unification,"n.统一,合一,一致"
unity,"n.团结,联合,统一,一致"
judgment,n.判断
judge,
prejudice,"n.偏见,成见,损害,侵害v.损害"
preserve,"vt.保护,保持,保存,保藏vi.做蜜饯,禁猎n.蜜饯,果酱,禁猎地,禁区,防护物"
teacher,n.教师
tuition,n.学费
join,"vi.参加,结合,加入vt.连接,结合,参加,加入n.连接,结合,接合点 [计] 用子目录名取代驱动器符"
joint,"n.接缝,接合处,接合点,关节,(牛、羊等的腿)大块肉adj.共同的,联合的,连接的,合办的vt.连接,接合,使有接头vi.贴合,生节"
jointly,"adv.共同地,连带地"
conjunction,"n.联合,关联,连接词"
administration," /[)n/n.管理,经营,衅]网络管理"
minister,"n.部长,大臣"
option,"n.选项,选择权,[经]买卖的特权"
adopt,"vt.采用,收养"
adapt,"vt.使适应,改编"
maladapted,
damage,"n.损害,伤害v.招致损害n.[律] (用复数)赔偿金"
condemn,"vt.判刑,处刑,声讨,谴责"
engage,"vt.使忙碌,雇佣,预定,使从事于,使参加vi.答应,从事,交战,[机]接合,啮合"
