radical,"adj.根本的,基本的,激进的n.激进分子"
despite," prep.不管,尽管,不论"
defeat,"n.击败,战胜,失败vt.击败,战胜,使失败,挫折v.击败"
despair,"n.绝望,失望,令人失望的人(事物)vi.绝望"
detective,n.侦探adj.侦探的
decay,"vi.腐朽,腐烂,衰减,衰退n.腐朽,腐烂,衰减,衰退v.衰落"
deceive,"v.欺骗,行骗"
defy,"vt.不服从,公然反抗,藐视,挑衅,违抗,使...难于n.挑战"
deliberate,"adj.深思熟虑的,故意的,预有准备的v.商讨"
deliberately,adv.故意地
demonstrate,"vt.示范,证明,论证vi.示威"
deputy,"n.代理人,代表"
descend,"vi.下来,下降,遗传(指财产,气质,权利),突击,出其不意的拜访v.下去"
descent,"n.降下,降落,世系,血统,侵袭"
depression,"n.沮丧,消沉,低气压,低压"
deteriorate,v.(使)恶化
description,"n.描写,记述,形容,种类,描述"
evident,"adj.明显的,显然的"
evidence,"n.明显,显著,明白,迹象,根据,[物]证据,证物"
visible,"adj.看得见的,明显的,显著的n.可见物"
invisible,"adj.看不见的,无形的"
vision,"n.视力,视觉,先见之明,眼力,想象力,幻想,幻影,景象vt.梦见,想象,显示"
devise,"vt.设计,发明,图谋,作出(计划),想出(办法),遗赠给n.遗赠"
revise,"vt.修订,校订,修正,修改"
witness,"n.[律]证人,目击者,证据,证明,证词vt.目击,为...作证,证明,表明vi.作证,成为证据"
summarize,"v.概述,总结,摘要而言"
summit,"n.顶点,最高阶层adj.政府首脑的vi.参加最高级会议的"
assume,"vt.假定,设想,采取,呈现"
consume,"vt.消耗,消费,消灭,大吃大喝,吸引vi.消灭,毁灭"
democracy,"n.民主政治,民主主义"
democratic,"adj.民主的,民主主义的,民主政体的,平民的"
electricity,"n.电流,电,电学"
ultimate,"adj.最后的,最终的,根本的n.最终"
warmth,"n.暖和,温暖,热心,热情"
growth,"n.生长,种植,栽培,发育,等比级数"
disturb,"vt.弄乱,打乱,打扰,扰乱v.扰乱"
disturbing,adj.烦扰的
disturbance,"n.骚动,动乱,打扰,干扰,骚乱,搅动"
frontier,"n.国境,边疆,边境"
confront,"vt.使面临,对抗"
withdraw,"vt.收回,撤消vi.缩回,退出v.撤退"
withstand,"vt.抵挡,经受住"
evolution,"n.进展,发展,演变,进化"
involve,"vt.包括,笼罩,潜心于,使陷于"
volume,"n.卷,册,体积,量,大量,音量"
revolution,"n.革命,旋转"
circumference,"n.圆周,周围"
circumstance,"n.环境,详情,境况"
opponent,"adj.对立的,对抗的n.对手,反对者"
oppose,"vt.反对,使对立,使对抗,抗争vi.反对"
synthetic,"adj.合成的,人造的,综合的"
symbol,"n.符号,记号,象征"
sympathy,"n.同情,同情心"
symptom,"n.[医][植]症状,征兆"
similar,"adj.相似的,类似的"
similarity,"n.类似,类似处"
resemble,"vt.象,类似"
assemble,"vt.集合,聚集,装配vi.集合"
assembly,"n.集合,装配,集会,集结,汇编"
capacity,"n.容量,生产量,容量,智能,才能,能力,接受力,地位"
destination,"n.目的地,[计] 目的文件,目的单元格"
static,"adj.静态的,静力的 静电噪声"
status,"n.身份,地位,情形,状况"
stadium,n.露天大型运动场
statistic,"n.统计量adj.统计的,统计学的"
statue,vt.以雕像装饰n.雕像
estate,"n.状态,不动产,时期,阶层,财产"
instance,"n.实例,建议,要求,情况,场合vt.举...为例,获得例证"
insist,"v.坚持,强调"
consist,"vi.由...组成,在于,一致"
resist,"vt.抵抗,反抗,抗,忍得住"
resistant,"adj.抵抗的,有抵抗力的"
resistance,"n.反抗,抵抗,抵抗力,阻力,电阻,阻抗"
setting,"n.安置,安装,(太阳)落山,(固定东西的)框架,底座"
sightseeing,n.观光
engineering,n.工程(学)
surroundings,n.环境
calculating,
imposing,"adj.使人难忘的,壮丽的"
regarding, prep.关于
concerning, prep.关于
skilled,adj.熟练的
sophisticated,"adj.诡辩的,久经世故的"
learned,"adj.有学问的,学术上的"
married,"adj.已婚的,婚姻的"
advanced,"adj.高级的,年老的,先进的"
talented,adj.有才能的
steady,"adj.稳固的,稳定的,坚定的,扎实的,坚定不移的v.(使)稳定,(使)稳固"
sticky,"adj.粘的,粘性的"
guilty,"adj.犯罪的,有罪的,心虚的"
handy,"adj.手边的,就近的,唾手可得的,便利的,敏捷的,容易取得的"
worthy,"n.杰出人物,知名人士adj.有价值的,应...的,可敬的,值得的,相称的"
greedy,"adj.贪吃的,贪婪的,渴望的"
slippery,"adj.滑的,光滑的"
dusty,"adj.满是灰尘的,积满灰尘的,粉末状的,含糊的"
faulty,"adj.有过失的,有缺点的,不完美的,不完善的"
difficulty,"n.困难,难点"
delivery,"n.递送,交付,分娩,交货,引渡n.[律] 财产等的正式移交 发送,传输"
dictate,"v.口述,口授,使听写,指令,指示,命令,规定n.指示(指理智,变心)"
dictation,"n.听写,口述"
predict,"v.预知,预言,预报"
addict,"vt.使沉溺,使上瘾;n.入迷的人,有瘾的人"
initial,"adj.最初的,词首的,初始的n.词首大写字母"
initiate,"vt.开始,发动,传授v.开始,发起"
ambition,"n.野心,雄心"
veteran,"n.老兵,老手,富有经验的人,退伍军人adj.老兵的,经验丰富的"
fate,"n.天数,命运,运气vt.注定,送命"
fatal,"adj.致命的,重大的,命运注定的,不幸的,致命的,毁灭性的"
local,"adj.地方的,当地的,局部的,乡土的n.当地居民,本地新闻,慢车,局部"
locate,"vt.查找...的地点,使...坐落于,位于v.定位,位于"
location,"n.位置,场所,特定区域,<美>[电影]外景拍摄场地"
flame,"n.火焰,光辉,光芒,热情,激情"
phenomenon,n.现象
economy,"n.经济,节约,节约措施,经济实惠,系统,机体,经济制度的状况"
economic,"adj.经济(上)的,产供销的,经济学的"
economical,"adj.节约的,经济的"
ecology,"n.生态学,[社会]环境适应学,均衡系统"
foundation,"n.基础,根本,建立,创立,地基,基金,基金会"
fund,"n.资金,基金v.支助,投资"
fundamental,"adj.基础的,基本的n.[pl.] 基本原则,基本原理"
alter,v.改变
alternative,"n.二中择一,可供选择的办法,事物adj.选择性的,二中择一的"
undergo,"vt.经历,遭受,忍受"
undertake,"vt.承担,担任,许诺,保证v.采取"
underline,"vt.在...下面划线,作...的衬里,加下划线,强调n.下划线"
industrial,"adj.工业的,产业的,实业的,从事工业的n.工业工人,[商]工业股票"
material,"n.材料,原料,物资,素材,布料adj.物质的,肉体的,具体的,重要的,实质性的"
official,"n.官员,公务员adj.职务上的,公务的,官方的,正式的"
potential,"adj.潜在的,可能的,势的,位的n.潜能,潜力,电压"
jury,"n.[律] 陪审团,评判委员会,陪审员adj.[海]临时应急的"
injure,"vt.损害,伤害v.伤害"
injury,"n.伤害,侮辱"
rigid,"adj.刚硬的,刚性的,严格的"
valid,"adj.[律]有效的,有根据的,正当的,正确的"
acid,"n.酸,<俚>迷幻药;adj.酸的,讽刺的,刻薄的;""atomicity,consistency,isolation,and durability"" 原子性,一致性,不相关性和持久性"
splendid,"adj.壮丽的,辉煌的,极好的"
patience,"n.耐性,忍耐 Patience 佩兴斯(女子名)"
patient,"n.病人,患者adj.忍耐的,耐心的"
compatible,"adj.谐调的,一致的,兼容的"
typical,"adj.典型的,象征性的"
neutral,"n.中立者,中立国,非彩色,齿轮的空档adj.中立的,中立国的,中性的,无确定性质的,(颜色等)不确定的"
dual,"adj.双的,二重的,双重"
dental,adj.牙齿的
magical,adj.不可思议的
statistical,"adj.统计的,统计学的"
arrival,"n.到来,到达,到达者"
irrational,"adj.无理性的,失去理性的"
conventional,"adj.惯例的,常规的,习俗的,传统的"
accidental,"adj.意外的,非主要的,附属的n.非本质属性,次要方面"
waterproof,"adj.防水的,不透水的"
proof,"n.证据,试验,考验,[印刷]校样adj.不能透入的,证明用的,防...的,有耐力的vt.检验,校对,使不被穿透"
frequency,"n.频率,周率,发生次数"
imagination,"n.想象,空想,想象的事物,想象力,听觉"
reputation,"n.名誉,名声"
resolution,"n.坚定,决心,决定,决议;分辨率"
temptation,"n.诱惑,诱惑物"
champion,"n.冠军,拥护者,战士vt.拥护,支持"
federation,"n.同盟,联邦,联合,联盟"
vocation,"n.召唤,号召,天命,天职,特殊的适应性,才能,行业,职业"
computation,"n.计算,估计"
cooperation,"n.合作,协作"
innovation,"n.改革,创新"
frustration,"n.挫败,挫折,受挫"
invitation,"n.邀请,招待"
pension,"n.养老金,退休金"
function,"n.官能,功能,作用,职责,典礼,仪式,[数]函数vi.(器官等)活动,运行,行使职责"
invasion,n.入侵
institution,"n.公共机构,协会,制度"
cohesion,"n.结合,凝聚,[物理]内聚力"
collection,"n.收藏,征收,搜集品,捐款"
companion,"n.同伴,共事者"
conjunction,"n.联合,关联,连接词"
convention,"n.大会,协定,习俗,惯例"
connection,"n.连接,关系,接线,线路,亲戚"
condition,"n.条件,情形,环境,社会地位vt.以...为条件,使达到要求的情况"
constitution,"n.宪法,构造,体质,体格,国体,章程,惯例"
consumption,"n.消费,消费量,肺病"
conversation,"n.会话,交谈"
combination,"n.结合,联合,合并,化合,化合物"
recognize,"vt.认可,承认,公认,赏识vi.具结"
recognition,"n.赞誉,承认,重视,公认,赏识 识别"
essence,"n.基本,[哲]本质,香精"
essential,"adj.本质的,实质的,基本的,提炼的,精华的n.本质,实质,要素,要点"
mistress,"n.主妇,女主人,女能人,情妇"
ceremony,"n.典礼,仪式,礼节,报幕员"
philosophy,"n.哲学,哲学体系,达观,冷静"
miracle,"n.奇迹,奇事"
marvel,"n.奇迹v.大为惊异,觉得惊奇"
admire,"v.赞美,钦佩,羡慕"
admiration,"n.钦佩,赞美,羡慕"
awesome,"adj.引起敬畏的,可怕的"
modest,"adj.谦虚的,谦让的,适度的"
commodity,n.日用品
accommodation,"n.住处,膳宿,(车,船,飞机等的)预定铺位,(眼睛等的)适应性调节,(社会集团间的)迁就融合"
moderate,"adj.中等的,适度的,适中的v.缓和"
protection,n.保护
protective,"adj.给予保护的,保护的"
architect,n.建筑师
detect,"vt.察觉,发觉,侦查,探测v.发现"
solve,"vt.解决,解答"
resolve,"n.决心v.决心,决定,决心要,(使)分解,溶解,解决vt.解决"
dissolve,"v.溶解,解散"
soluble,"adj.可溶的,可溶解的"
criticize,"v.批评,责备"
critical,"adj.评论的,鉴定的,批评的,危急的,临界的"
criticism,"n.批评,批判"
crisis,"n.疾病的转折点(或转好或恶化),决定性时刻,危机,危险期,历史上的紧要关头,[医]危象,转换期"
criterion,"n.(批评判断的)标准,准据,规范"
reference,"n.提及,涉及,参考,参考书目,证明书(人),介绍信(人)"
offer,"n.出价,提议,意图vt.提供,出价,贡献,使出现,企图,演出vi.(机会、时机等)出现,献祭,提议"
suffer,"vt.遭受,经历,忍受vi.受痛苦,受损害"
ferry,"n.摆渡,渡船,渡口vt.渡运,(乘渡船)渡过,运送vi.摆渡,(船)来往行驶"
infer,v.推断
indifferent,adj.无关紧要的
conservation,"n.保存,保持,守恒"
conservative,"adj.保守的,守旧的n.保守派"
serve,"v.当仆人,服务,服役,供职,招待,侍候,供应,适合n.发球"
preserve,"vt.保护,保持,保存,保藏vi.做蜜饯,禁猎n.蜜饯,果酱,禁猎地,禁区,防护物"
reserve,"n.储备(物),储藏量,预备队vt.储备,保存,保留,预定,预约"
deserve,"vt.应受,值得v.应受"
observe,"vt.观察,观测,遵守,评述,说"
observation,"n.观察,观测,[pl.] 观察资料(或报告)"
mislead,vt.误导
misunderstand,"vt.误解,误会"
misfortune,"n.不幸,灾祸"
permanent,"adj.永久的,持久的"
persist,"vi.坚持,持续"
perform,"vt.履行,执行,表演,演出v.完成任务"
performance,"n.履行,执行,成绩,性能,表演,演奏"
persuade,"v.说服,劝说,(使)相信,劝某人做(不做)某事"
persevere,v.坚持
scientific,adj.科学的
acquire,"vt.获得,学到"
enquire,
enquiry,n.询问
require,"vt.需要,要求,命令"
requirement,"n.需求,要求,必要条件,需要的东西,要求必备的条件"
conquer,"vt.征服,战胜,占领,克服(困难等),破(坏习惯等)"
conquest,n.征服n.战利品
request,"vt.请求,要求n.请求,要求,邀请"
weaken,"v.削弱,(使)变弱"
strengthen,"v.加强,巩固"
threaten,"vt.恐吓,威胁,预示(危险),似有发生或来临的可能,可能来临"
fasten,"vt.扎牢,扣住,闩住,拴紧,使固定,系,集中于,强加于vi.扣紧,抓住"
harden,"vt.使变硬,使坚强,使冷酷vi.变硬,变冷酷,涨价"
lessen,"v.减少,减轻"
loosen,"v.解开,放松,松开"
broaden,"v.放宽,变宽,扩大,加宽"
maiden,"n.少女,处女adj.未婚的,纯洁的,处女的,无经验的"
wooden,adj.木制的
submarine,"n.潜水艇,潜艇adj.水下的,海底的"
submerge,"v.浸没,淹没,掩没vi.潜水"
submit,"v.(使)服从,(使)顺从vt.提交,递交"
substance,"n.物质,实质,主旨,物质,物"
substantial,"adj.坚固的,实质的,真实的,充实的"
substitute,"n.代用品,代替者,替代品v.代替,替换,替代"
subtract,"v.(～ from)减去,减"
subject,"n.题目,主题,科目,学科,国民,[语法]主语adj.受他国统治的,未独立的,受制于...的,受...影响的,以...为条件的vt.使屈从于...,使隶属"
poetry,"n.诗,作诗法,诗意,诗情"
interaction,"n.交互作用,交感"
react,"vi.起反应,起作用,反抗,起反作用"
reaction,"n.反应,反作用,反动(力)"
exact,"adj.精确的,准确的,原样的,精密的,严格vt.强求,急需,要求"
journal,"n.定期刊物,杂志,航海日记,分类账"
journey,"n.旅行,旅程v.旅行"
flexible,"adj.柔韧性,易曲的,灵活的,柔软的,能变形的,可通融的"
reflect,"v.反射,反映,表现,反省,细想"
reflection,"n.反射,映象,倒影,反省,沉思,反映"
cultivate,"vt.培养,耕作"
culture,"n.文化,文明"
agriculture,"n.农业,农艺,农学"
ignore,"vt.不理睬,忽视,[律](因证据不足而)驳回诉讼"
diagnose,v.诊断
diagnosis,n.诊断
notify,v.通报
notion,"n.概念,观念,想法,意见,打算,主张,(复数)<美语>小饰物"
electric,"adj.电的,导电的,电动的,电气"
electrical,"adj.电的,有关电的"
electronic,adj.电子的
compose,"v.组成,写作,排字,(使)安定,调解"
composition,"n.写作,作文,成分,合成物"
component,"n.成分adj.组成的,构成的"
compound,"n.混合物,[化]化合物adj.复合的v.混合,配合"
positive,"adj.肯定的,实际的,积极的,绝对的,确实的adj.[数]正的adj.[电]阳的adj.[语法] 原级的"
impose,"vt.征税,强加,以...欺骗vi.利用,欺骗,施影响"
expose,"vt.使暴露,受到,使曝光v.揭露"
exposure,"n.暴露,揭露,暴光,揭发,揭露,位向,方向,陈列"
dispose,"v.处理,处置,部署vt.布置,安排,除去,使愿意"
extra,"adj.额外的,不包括在价目内的,特大的,特佳的adv.特别地,非常,另外n.额外的人(或物),(报纸)号外,上等产品,(电影)临时演员"
exterior,"adj.外部的,外在的,表面的,外交的,[建](适合)外用的n.外部,表面,外型"
external,"adj.外部的,客观的,[医]外用的,外国的,表面的n.外部,外面"
insert,"vt.插入,嵌入n.插入物"
desert,"n.沙漠,应得的赏罚,功过adj.沙漠的,不毛的,荒凉的vt.放弃,遗弃,逃跑vi.逃掉,逃亡,开小差"
postage,n.邮资
postpone,"vt.推迟,使延期,延迟"
radioactive,"adj.放射性的,有辐射能的"
radius,"n.半径,范围,辐射光线,有效航程,范围,界限"
alarm,"n.警报,惊慌,警告器vt.恐吓,警告"
alloy,"n.合金vt.使成合金,减低成色"
outline,"n.大纲,轮廓,略图,外形,要点,概要vt.描画轮廓,略述"
outside,"n.外面,外表,外界adj.外面的,外表的,外界的adv.在外面,外表,出界 prep.在...外"
outlook,"n.景色,风光,观点,见解,展望,前景"
output,"n.产量,输出,输出量"
outset,"n.开端,开始"
outstanding,"adj.突出的,显著的"
outbreak,"n.(战争的)爆发,(疾病的)发作"
outdated,"adj.过时的,不流行的"
outgoing,"n.外出,开支,流出adj.即将离职的,对人友好的 喜欢外出的"
outcome,"n.结果,成果"
outlet,"n.出口,出路"
classical,"adj.古典的,正统派的,古典文学的"
historical,"adj.历史(上)的,有关历史的"
identical,"adj.同一的,同样的"
thickness,"n.厚度,浓度,稠密,(一)层,混浊"
consciousness,"n.意识,知觉,自觉,觉悟,个人思想"
comrade,"n.朋友,同志,伙伴"
dumpling,"n.面团布丁,团子"
transfer,"n.迁移,移动,传递,转移,调任,转帐,过户,转让vt.转移,调转,调任,传递,转让,改变vi.转移,转学,换车"
transform,"vt.转换,改变,改造,使...变形vi.改变,转化,变换n.[数]变换(式),[语]转换"
transformer,"n.[电] 变压器,使变化的人"
transformation," 9trAnsfE`meIFalism/9trAnsfE`malist/9trAnsfE`mally/9trAnsfE`meist/9trAnsfE` men/n.变化,转化,改EnEl/adj.[语]转籩IFEnElIzEm/n.[觘IFEnElIst/n.[语IFEnElI/adv.[语]IFEnIst/n.=trans适,改革,转换"
transistor,n.[电子]晶体管
transmit,"vt.传输,转送,传达,传导,发射,遗传,传播vi.发射信号,发报"
transit,"n.经过,通行,搬运,运输,运输线,转变vt.横越,通过,经过vi.通过n.[天] 中天,经纬仪"
translate,"vt.翻译,解释,转化,转变为,调动vi.翻译,能被译出"
transplant,"v.移植,移种,移民,迁移n.移植,被移植物,移居者"
transaction,"n.办理,处理,会报,学报,交易,事务,处理事务"
transcript,n.抄本
transparent,"adj.透明的,显然的,明晰的"
clarify,"v.澄清,阐明"
classify,"vt.分类,分等"
qualify,"v.(使)具有资格,证明合格,限制修饰vt.限制,限定"
quantify,vt.确定数量v.量化
identify,"vt.识别,鉴别,把...和...看成一样v.确定"
modify,"vt.更改,修改v.修改"
specify,"vt.指定,详细说明,列入清单"
verify,"vt.检验,校验,查证,核实 [计] 打开或关闭文件的读写校验"
dignify,"vt.使尊荣,增威严,使高贵,故做显贵"
exemplify,"vt.例证,例示,作为...例子"
simplify,"vt.单一化,简单化"
triple,"n.三倍数,三个一组adj.三倍的vt.三倍与vi.增至三倍"
cosmos, 宇宙
alliance,"n.联盟,联合"
biochemistry,n.生物化学
biography,n.传记
biotechnology,n.生物工艺学
crucial,adj.至关紧要的
cruise,"vi.巡游,巡航n.巡游,巡航"
atmosphere,"n.大气,空气,气氛"
caution,"n.小心,谨慎,警告vt.警告"
victim,"n.受害人,牺牲者,牺牲品"
occur,"vi.发生,出现"
occurrence,"n.发生,出现,事件,发生的事情"
currency,n.流通
curriculum,n.课程
cure,"v.治愈,治疗n.治愈,痊愈"
secure,"adj.安全的,可靠的,放心的,无虑的v.保护"
accurate,"adj.正确的,精确的"
accuracy,"n.精确性,正确度"
amateur,"n.业余爱好者,业余艺术家"
technique,"n.技术,技巧,方法,表演法,手法"
overall,"adj.全部的,全面的"
overnight,"n.头天晚上adj.通宵的,晚上的,前夜的adv.在前一夜,整夜,昨晚一晚上"
overseas,"adv.海外adj.外国的,海外的"
overcome,"vt.战胜,克服,胜过,征服vi.得胜"
overlook,"vt.俯瞰,耸出,远眺,没注意到n.眺望,俯瞰中的景色"
overtake,"vt.赶上,追上,(暴风雨、麻烦等)突然来袭,压倒"
overdue,adj.迟到的
oversight,"n.勘漏,失察,疏忽,失败,小心照顾"
worthless,"adj.无价值的,无益的"
corrective,"adj.纠正的,矫正的n.矫正物,中和物"
objective,"n.目标,目的,(显微镜的)(接)物镜,[语法]宾格adj.客观的,[语法]宾格的"
incentive,n.动机adj.激励的
collective,adj.集体的n.集体
cowardice,"n.怯懦,胆小"
activist,"n.激进主义分子,行动主义分子"
columnist,n.专栏作家
liable,"adj.有责任的,有义务的,易...的,有...倾向的,负有责任的,很有可能的"
reliable,"adj.可靠的,可信赖的"
considerable,"adj.相当大(或多)的,值得考虑的,相当可观的"
advisable,"adj.可取的,明智的"
applicable,"adj.可适用的,可应用的"
available,"adj.可用到的,可利用的,有用的,有空的,接受探访的"
remarkable,"adj.不平常的,非凡的,值得注意的,显著的"
probable,"adj.很可能的,大概的"
reasonable,"adj.合理的,有道理的,通情达理的,讲道理的"
stable,adj.稳定的
fashionable,"adj.流行的,时髦的"
favourable,"adj.赞成的,称许的,有利的,顺利的n.有利"
honourable,"adj.可敬的,荣誉的,光荣的"
durable,"adj.持久的,耐用的"
invaluable,"adj.无价的,价值无法衡量的"
inevitable,"adj.不可避免的,必然的"
indispensable,"n.不可缺少之物adj.不可缺少的,绝对必要的"
rarely,"adv.很少地,罕有地"
shortly,"adv.立刻,不久,简略地,简言之,即刻"
virtually,"adv.事实上,实质上"
fairly,"adv.公正地,正当的,公平对待某人,公平地,相当地,还算,清楚地"
merely,"adv.仅仅,只,不过"
namely,"adv.即,也就是"
generally,"adv.一般,通常,一般地"
conversely,"adv.倒地,逆地"
emerge,"vi.显现,浮现,暴露,形成,(由某种状态)脱出,(事实)显现出来"
emergence,"n.浮现,露出,(植物)突出体,出现"
emergency,"n.紧急情况,突然事件,非常时刻,紧急事件"
emit,"vt.发出,放射,吐露,散发,发表,发行"
eliminate,"vt.排除,消除v.除去"
effective,"adj.有效的,被实施的,给人深刻印象,有生力量"
efficient,"adj.(直接)生效的,有效率的,能干的"
efficiency,"n.效率,功效"
emotion,"n.情绪,情感,感情"
emotional,"adj.情绪的,情感的"
evaporate,"v.(使)蒸发,消失"
event,"n.事件,事变,结果,活动,精力,竞赛"
erect,"adj.直立的,竖立的,笔直的vt.盖,使竖立,使直立,树立,建立vi.[生理]勃起"
establishment,"n.确立,制定,设施,公司,军事组织"
evolve,"v.(使)发展,(使)进展,(使)进化"
elegant,"adj.文雅的,端庄的,雅致的,<口>上品的,第一流的"
elevate,"vt.举起,提拔,振奋,提升...的职位"
elite,"n.<法>[集合名词]精华,精锐,中坚分子"
especially,"adv.特别,尤其"
ratio,"n.比,比率,[财政]复本位制中金银的法定比价"
rational,"adj.理性的,合理的,推理的n.[数]有理数"
manage,"vi.处理,应付过去vt.管理,控制,操纵,维持,运用,搞成,设法,达成"
management,"n.经营,管理,处理,操纵,驾驶,手段"
manager,"n.经理,管理人员,管理器"
manner,"n.礼貌,风格,方式,样式,习惯"
manipulate,"vt.(熟练地)操作,使用(机器等),操纵(人或市价、市场),利用,应付,假造vt.(熟练地)操作,巧妙地处理"
satisfactory,"adj.满意的,赎罪的"
satisfaction,"n.满意,满足,令人满意的事物"
urban,"adj.城市的,市内的"
illustrate,"vt.举例说明,图解,加插图于,阐明vi.举例"
illustration,"n.说明,例证,例子,图表,插图 插图,图解"
via," prep.经,通过,经由"
pacific,
comprehend,"vt.领会,理解,包括(包含),由...组成"
comprehension,"n.理解,包含"
comprehensive,"adj.全面的,广泛的,能充分理解的,包容的"
elect,"vt.选举,推选v.选择,作出选择,选举,选举,选举"
election,"n.选举,当选,选择权,[宗]上帝的选拔"
collect,"v.收集,聚集,集中,搜集adj.由收件人付款的adv.由收件人付款地"
neglect,"vt.忽视,疏忽,漏做n.忽视,疏忽,漏做"
religion,"n.宗教,信仰"
compete,"vi.比赛,竞争"
competition,"n.竞争,竞赛"
competent,"adj.有能力的,胜任的"
downward,adj.向下的
inward,"adv.向内,在内adj.向内的,内在的"
outward,"adj.外面的,外表的,公开的,向外的,外出的adv.向外,在外,表面上n.外表,周围世界"
backward,"adv.adj.向后地(的),相反地(的),追溯,退步,由好变坏"
afterwards,"adv.然后,后来地"
awkward,"adj.难使用的,笨拙的"
onward,"adj.向前的adv.向前,在前面"
mercury,"n.水银,汞,[罗神]墨丘利神(众神的信使)"
commerce,n.商业
commercial,"adj.商业的,贸易的"
origin,"n.起源,由来,起因,出身,血统,[数]原点"
original,"adj.最初的,原始的,独创的,新颖的n.原物,原作"
orient,"n.东方,东方诸国(指地中海以东各国)adj.东方的,上升的,灿烂的vi.适应形势,向东vt.使朝东,使适应,确定方向"
dominate,"v.支配,占优势"
dominant,"adj.有统治权的,占优势的,支配的adj.[生物] 显性的"
suppose,"vt.推想,假设,猜想vi.料想 conj.假使...结果会怎样"
supply,"n.补给,供给,供应品vt.补给,供给,提供,补充,代理vi.替代他人职务"
support,"vt.支撑,扶持,支持,支援,拥护,维持,赡养,忍受n.支撑,支持,支援,维持,赡养,支持者,支柱"
mathematics,n.数学
factor,"n.因素,要素,因数,代理人"
faculty,"n.才能,本领,能力,全体教员,(大学的)系,科,(授予的)权力"
fiction,"n.虚构,编造,小说"
defect,"n.过失,缺点"
deficit,"n.赤字,不足额"
deficient,"adj.缺乏的,不足的,不完善的"
proficient,n.精通
magnificent,"adj.华丽的,高尚的,宏伟的"
sufficient,"adj.充分的,足够的"
facilitate,"vt.(不以人作主语的)使容易,使便利,推动,帮助,使容易,促进"
possess,"vt.占有,拥有,持有,摆布,支配"
possession,"n.拥有,占有,所有,着迷,领土,领地,财产(常用复数),自制"
settle,"n.有背的长凳vt.安放,使定居,安排,解决,决定,整理,支付,使平静vi.安家,定居,停留,下陷,沉淀,决定,澄清"
situate,"vt.使位于,使处于"
reside,vi.居住
resident,"n.居民adj.居住的,常驻的"
residence,"n.居住,住处"
president,"n.总统,会长,校长,行长"
assess,"vt.估定,评定"
abundant,"adj.丰富的,充裕的,丰富,盛产,富于"
constant,"n.[数、物]常数,恒量adj.不变的,持续的,坚决的"
ignorant,adj.无知的
immigrant,"adj.(从外国)移来的,移民的,移居的n.移民,侨民"
inhabitant,"n.居民,居住者"
significant,"adj.有意义的,重大的,重要的"
consistent,"adj.一致的,调和的,坚固的,[数、统]相容的"
consultant,"n.顾问,商议者,咨询者"
ancient,"adj.远古的,旧的"
violent,"adj.猛烈的,激烈的,暴力引起的,强暴的"
urgent,"adj.急迫的,紧急的"
independent,"n.中立派,无党派者adj.独立自主的,不受约束的"
innocent,"adj.(～ of) 清白的,无罪的,天真的,无知的"
ingredient,"n.成分,因素"
coherent,"adj.粘在一起的,一致的,连贯的"
convenient,"adj.便利的,方便的"
reluctant,"adj.不顾的,勉强的,难得到的,难处理的"
relevant,"adj.有关的,相应的"
territory,"n.领土,版图,地域"
terrific,adj.令人恐怖的
mechanize,v.机械化
advertise,"v.做广告,登广告"
organize,"vt.组织,使有机化,给予生机vi.组织起来"
authorize,v.批准
rotate,v.(使)旋转 /v.旋转/翻转
rotary,adj.旋转的
rotation,n.旋转
automate,"v.使自动化,自动操作"
automatic,"n.自动机械adj.自动的,无意识的,机械的"
automobile,"n.<主美>汽车(=<英>motor car,car)"
behalf,"n.为,利益"
behave,"vi.举动,举止,运转v.行为表现"
behaviour,"n.行为,举止,习性"
belief,"n.信任,信心,信仰"
belong,"vi.属于,住"
beneath,adv.在...之下 prep.在...之下
beyond," prep.在(到)...较远的一边,超过,那一边adv.在远处n.远处"
betray,"vt.出卖,背叛,泄露(秘密),露出...迹象"
motion,"n.运动,动作v.运动"
motor,"n.发动机,电动机"
motive,"n.动机,目的adj.发动的,运动的"
motivate,v.激发
movement,"n.运动,动作,运转,乐章"
remote,"adj.遥远的,偏僻的,细微的"
custom,"n.习惯,风俗,<动词单用>海关,(封建制度下)定期服劳役,缴纳租税,自定义,<偶用作>关税v.定制,承接定做活的"
accustom,vt.使习惯于
accustomed,"adj.通常的,习惯的,按照风俗习惯的"
imply,"vt.暗示,意味"
implicit,"adj.暗示的,盲从的,含蓄的,固有的,不怀疑的,绝对的"
implication,"n.牵连,含意,暗示"
complex,"adj.复杂的,合成的,综合的n.联合体"
apply,"vt.申请,应用vi.申请,适用"
appliance,"n.用具,器具"
application,"n.请求,申请,申请表,应用,运用,施用,敷用 应用,应用程序,应用软件"
variable,"n.[数]变数,可变物,变量adj.可变的,不定的,易变的,[数]变量的"
variation,"n.变更,变化,变异,变种,[音]变奏,变调"
variety,"n.变化,多样性,种种,品种,种类"
various,"adj.不同的,各种各样的,多方面的,多样的"
addition,"n.加,加起来,增加物,增加,加法"
additional,"adj.另外的,附加的,额外的"
extend,"v.扩充,延伸,伸展,扩大[军]使疏开,给予,提供,演化出的全文,<英>[律]对(地产等)估价"
extensive,"adj.广大的,广阔的,广泛的"
extension,"n.延长,扩充,范围n.扩展名adj.[逻]外延的,客观现实的"
tender,"adj.嫩的,温柔的,软弱的"
